num_critic_for_reviews,actor_2_name,actor_1_name,actor_3_name,budget,imdb_score,movie_facebook_likes
164,Gert Fröbe,Honor Blackman,Lois Maxwell,3000000,7.8,0
188,Douglas Smith,Sarah Gadon,Caleb Landry Jones,3200000,5.7,0
206,Lionel Barrymore,Donna Reed,Thomas Mitchell,3180000,8.6,41000
134,Shirley Henderson,Kelly Macdonald,Ewen Bremner,3500000,8.2,21000
53,Cedric the Entertainer,Bernie Mac,Steve Harvey,3000000,6.6,290
264,Molly Ephraim,Sprague Grayden,Micah Sloat,3000000,5.7,14000
94,David Kelly,James Nesbitt,Fionnula Flanagan,3000000,7.4,0
215,Dick Clark,Michael Moore,Bill Clinton,4000000,8.0,4000
85,Daoming Chen,Li Gong,Ni Yan,,7.3,0
138,Robert Rusler,Clu Gulager,Marshall Bell,2200000,5.4,0
55,Rupert Graves,Julian Sands,Denholm Elliott,3000000,7.4,0
361,Adelaide Kane,Rhys Wakefield,Chris Mulkey,3000000,5.7,31000
411,Victoria Leigh,Danielle Kotch,James Ransone,3000000,6.8,58000
24,Mikki Padilla,Nancy O'Dell,Dayna Devon,3000000,5.4,63
70,Judith Anderson,Burl Ives,Jack Carson,3000000,8.1,0
78,Gregory Sierra,Linda Harrison,Victor Buono,3000000,6.1,0
35,Bill Cobbs,Kevin Zegers,Michael Jeter,3000000,5.1,902
39,Eric Stuart,Veronica Taylor,Lisa Ortiz,16000000,5.6,38
158,Ron Palillo,Tony Goldwyn,Vincent Guastaferro,3000000,5.9,0
122,Sessue Hayakawa,William Holden,Jack Hawkins,3000000,8.2,0
16,Royal Dano,Ariana Richards,Tonya Lee Williams,3000000,5.3,710
67,Bruce Dern,Ed Lauter,William Devane,4490375,6.8,609
183,Ray Walston,Fred MacMurray,David White,3000000,8.3,0
112,Leslie Jordan,Kane Hodder,Erin Gray,2500000,4.3,949
64,Lila Kedrova,Tamara Toumanova,David Opatoshu,6000000,6.7,933
114,Dave Chappelle,Common,Lauryn Hill,3000000,7.2,635
246,Kodi Smit-McPhee,Michael Fassbender,Ben Mendelsohn,,6.9,0
7,LisaGay Hamilton,Blair Underwood,Bobby Brown,3000000,6.6,889
49,Donald Faison,Omari Hardwick,Mike Epps,3000000,5.9,545
42,Jean Simmons,Shirley Jones,Edward Andrews,3000000,7.9,808
73,Montgomery Clift,Maximilian Schell,Spencer Tracy,3000000,8.3,0
16,Deon Richmond,Donald Faison,Countess Vaughn,,5.2,143
38,Seth Green,Matthew Senreich,Breckin Meyer,,7.8,1000
91,Walter Brennan,Montgomery Clift,Harry Carey Jr.,3000000,7.8,0
37,Jimmy Jean-Louis,Mo'Nique,Joyful Drake,3000000,3.0,837
405,Ariane Labed,Seamus Davey-Fitzpatrick,Athina Rachel Tsangari,3000000,7.9,62000
29,Robert Neary,John Astin,Kim Darby,3000000,3.2,491
81,A. Michael Baldwin,Angus Scrimm,James Le Gros,3000000,6.5,812
17,Kimberly Elise,Loretta Devine,Clifton Powell,,6.9,187
75,Lupe Ontiveros,America Ferrera,George Lopez,3000000,7.0,595
,Jessica De Gouw,Rachel Griffiths,Luke Ford,15000000,7.4,367
91,Lisa Ray,John Abraham,Seema Biswas,,7.8,0
82,Jimi Mistry,Archie Panjabi,Om Puri,1900000,6.9,1000
48,Brian Van Holt,Callie Thorne,David Heyman,3000000,4.4,131
33,Sarita Choudhury,Indira Varma,Rekha,3000000,6.0,0
133,Thomas Ian Nicholas,Oliver Platt,Ann Morgan Guilbert,,6.6,0
104,Jack Albertson,Peter Ostrum,Julie Dawn Cole,3000000,7.8,0
22,Zach Galligan,Julian Sands,Paula Marshall,3000000,5.3,217
30,George Hamilton,Kristy Swanson,Dyan Cannon,3000000,5.3,417
112,Stuart Margolin,Sam Shepard,Richard Libertini,3000000,8.0,0
79,Rob McElhenney,Matthew McConaughey,Amy Irving,4500000,7.1,430
49,Judy Greer,Julie Benz,Jeff Conaway,3500000,5.4,0
42,Michael Wincott,Gary Oldman,Courtney Love,3300000,6.9,0
345,Grace Gummer,Greta Gerwig,Vanessa Ray,,7.4,11000
152,Nambitha Mpumlwana,Terry Pheto,Rapulana Seiphemo,3000000,7.3,0
148,Jon Lovitz,Philip Seymour Hoffman,Dylan Baker,3000000,7.8,0
23,Joe Howard,Eddie Griffin,Robert Noble,3000000,6.6,26
254,Haley Joel Osment,Johnny Depp,Michael Parks,3000000,5.4,20000
305,Ji-tae Yu,Min-sik Choi,Hye-jeong Kang,3000000,8.4,43000
19,Michael Bolten,Robyn Lively,Christopher Schmidt,3500000,6.3,0
272,Robb Wells,Gregory Smith,Molly Dunsworth,3000000,6.1,37000
5,Héctor Jiménez,Kevin Pollak,Erick Elias,3000000,5.0,174
65,Dan Hedaya,Bokeem Woodbine,Robert Peters,3000000,6.9,0
5,Kevin Gage,William Morgan Sheppard,Brianna Brown,3000000,7.2,76
248,Harry Treadaway,Michael Fassbender,Jason Maza,,7.3,0
152,Megalyn Echikunwoke,Greta Gerwig,Zach Woods,,5.7,0
10,Colm Feore,Craig T. Nelson,Megalyn Echikunwoke,,5.0,518
156,Adam Scott,Kirsten Dunst,Andrew Rannells,3000000,5.3,0
7,Megan Hilty,Danny Pino,Zach Grenier,,7.9,3000
1,Aaron Ashmore,Virginia Madsen,Lindsey Haun,,5.0,47
82,William Atherton,Michael Gross,Bob Ross,3000000,5.3,0
175,Cjon Saulsberry,George Kennedy,Griffin Cleveland,25000000,6.0,0
4,Amanda Mealing,Susan Hampshire,Tim Healy,,7.6,450
40,Kostja Ullmann,Alicja Bachleda,Robert Stadlober,2700000,7.4,442
8,Eric Stoltz,Johnny Pacar,Brendan Fehr,3000000,5.9,348
63,Betsy Russell,Matt Cohen,Noah Segan,5000000,4.1,0
20,Patti LuPone,Gretchen Mol,Peter Onorati,3000000,6.7,117
174,Lauren German,Michael Biehn,Rosanna Arquette,3000000,5.8,0
90,Iben Hjejle,Aidan Quinn,Jim Norton,,6.2,580
58,Scott Mechlowicz,Frank Grillo,Aaron Yoo,3000000,5.3,0
14,Darren Keefe Reiher,Neil Hopkins,David Douglas,3000000,3.3,48
451,Alan Rickman,Johnny Depp,Anne Hathaway,200000000,6.5,24000
,Michael Rapaport,Taylor Negron,Talia Shire,3000000,6.2,54
21,Amy Sedaris,Tom Everett Scott,Chris Kattan,3000000,5.9,448
9,Kristi Clainos,John Savage,Emily Nelson,3000000,5.5,433
98,Amy Poehler,Christopher Meloni,Jack McBrayer,,5.5,0
29,Ashley Martin,French Stewart,Olivia Alexander,3000000,2.6,2000
23,Alex Meraz,Michael Jai White,Jillian Murray,3000000,5.8,6000
87,Angie Dickinson,Lee Marvin,Carroll O'Connor,3000000,7.4,3000
2,Sarah Rafferty,Stephanie Szostak,Salvatore Santone,3000000,5.1,32
17,David Bianchi,Noel Gugliemi,Jason Priestley,800000,5.2,406
7,Shantel VanSanten,Julian Morris,John Robinson,3000000,4.8,395
6,Brooke Newton,Bokeem Woodbine,Brett Wagner,3000000,3.9,398
9,Jack Taylor,Everett McGill,Fabio Testi,3000000,6.2,37
343,Derek Jacobi,Hayley Atwell,Lily James,95000000,7.0,56000
11,Stacy Keach,Mike Starr,Frank Vincent,3000000,6.2,229
34,Cybill Shepherd,Judy Greer,Shea Whigham,,5.9,480
71,Matheus Nachtergaele,Fernanda Montenegro,Othon Bastos,2900000,8.0,0
21,Glenn Ford,Ann-Margret,Thomas Mitchell,2900000,7.3,612
28,Nick Chinlund,Anthony L. Fernandez,Scott Evans,3000000,4.9,968
35,Michael Nouri,Dyan Cannon,Brenda Vaccaro,1500000,6.5,88
30,Patrick Bauchau,Olivia Rose Keegan,Mia Barron,3000000,4.3,421
73,James Ransone,Greg Crowe,Tempestt Bledsoe,3000000,6.4,0
154,Patrick Troughton,Lee Remick,Billie Whitelaw,2800000,7.6,7000
251,Maïwenn,Cécile De France,Oana Pellea,2200000,6.8,0
57,Patrick Brammall,Maeve Dermody,Kelly Paterniti,,6.1,0
14,Gregory Cruz,Q'orianka Kilcher,Allegra Carpenter,3000000,4.0,369
159,Paula Jai Parker,Isaac Hayes,Elise Neal,8000000,7.4,0
181,Joe E. Brown,Nehemiah Persoff,George Raft,2883848,8.3,10000
110,Terry Kiser,Kane Hodder,William Butler,2800000,5.3,0
213,Terry,Margaret Hamilton,Billie Burke,2800000,8.1,14000
129,Peter Boyle,Madeline Kahn,Teri Garr,2800000,8.0,14000
280,Shawn Roberts,Megan Park,Joe Dinicol,2000000,5.7,0
15,Sanjay Dutt,Vidya Balan,Jimmy Shergill,120000000,8.2,349
61,Patricia Richardson,Peter Fonda,Vanessa Zima,2700000,7.1,381
33,Kelly Reno,Teri Garr,Hoyt Axton,2700000,7.4,0
1,Neeru Bajwa,Bhavkhandan Singh Rakhra,Diljit Dosanjh,3000000,6.6,50
2,Frank Hvam,Iben Hjejle,Casper Christensen,,5.7,77
27,Cesar Romero,Lee Marvin,Jack Warden,2686585,6.9,573
19,Ariane Schluter,Rijk de Gooyer,Henri Garcin,2650000,7.0,121
9,Esther Williams,Spencer Tracy,Irene Dunne,2627000,7.0,116
121,David Huddleston,Madeline Kahn,Harvey Korman,2600000,7.8,12000
