director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,num_user_for_reviews,language,content_rating
Rod Lurie,110,131,37,Delroy Lindo,281,English,R
Walter Hill,100,91,394,Wilson Cruz,282,English,PG-13
Akiva Goldsman,189,118,167,William Hurt,126,English,PG-13
Harald Zwart,212,130,91,Kevin Zegers,457,English,PG-13
Brian Robbins,127,90,48,Mike O'Malley,109,English,PG
Walter Salles,196,103,179,Camryn Manheim,411,English,PG-13
Ron Howard,115,122,2000,Adam Goldberg,195,English,PG-13
Iain Softley,161,106,34,Stephen Graham,110,English,PG
Frank Miller,223,103,436,Jaime King,290,English,PG-13
David Koepp,181,107,192,Olivia Munn,188,English,R
Uwe Boll,140,156,892,Mike Dopud,368,English,PG-13
Martin Campbell,54,127,258,Teri Polo,156,English,R
Pou-Soi Cheang,14,119,3,Aaron Kwok,9,English,
John Dahl,81,132,131,Clayne Crawford,183,Filipino,R
Tim Miller,579,108,84,Ed Skrein,1058,English,R
Stephen Herek,56,114,65,Morgan Fairchild,88,English,PG
Clint Eastwood,490,133,16000,Leonard Roberts,916,English,R
Rob Letterman,218,103,11,Dylan Minnette,154,English,PG
,20,22,,Soleil Moon Frye,94,English,TV-G
Mark Waters,142,95,70,Ivana Milicevic,263,English,PG-13
Brian Levant,57,90,32,Mark Addy,85,English,PG
Peter MacDonald,84,87,10,Kurtwood Smith,171,English,R
George Clooney,186,114,0,Malcolm Goodwin,120,English,PG-13
Frank Coraci,53,119,153,Adam Sandler,143,English,TV-14
Marc Lawrence,133,103,30,Kim Shaw,121,English,PG-13
Shawn Levy,246,125,189,Jessica Szohr,281,English,PG-13
Paul W.S. Anderson,253,97,545,Boris Kodjoe,410,English,R
Anthony Hemingway,144,125,143,Nate Parker,273,English,PG-13
,46,30,,Kristin Davis,238,English,TV-MA
Taylor Hackford,117,136,138,Al Pacino,431,English,R
Sean Anders,157,116,51,Leighton Meester,198,English,R
Rob Cohen,60,103,357,Brian Thompson,139,English,PG-13
Brett Ratner,117,97,420,Don Cheadle,147,English,PG-13
Mark Neveldine,287,96,83,Spencer Wilding,331,English,PG-13
John Madden,96,131,108,Irene Papas,220,English,R
,26,22,,Noureen DeWulf,54,English,
Adam Shankman,125,95,163,Brad Garrett,225,English,PG
Kevin Bray,117,86,10,Ashley Scott,221,English,PG-13
Robert Zemeckis,149,142,0,Siobhan Fallon Hogan,1398,English,PG-13
Tim Hill,131,92,25,Beth Riesgraf,146,English,PG
Jay Roach,150,108,116,Blythe Danner,507,English,PG-13
Mike Gabriel,92,84,12,Frank Welker,216,English,G
Richard Donner,169,188,503,Margot Kidder,497,English,PG
Tom Shadyac,57,95,293,James Coburn,99,English,PG-13
Andy Tennant,171,118,72,Michael Rapaport,372,English,PG-13
Sam Weisman,53,92,39,Abraham Benrubi,103,English,PG
Jesse Dylan,153,74,58,Thomas Ian Nicholas,332,English,R
Paul Greengrass,491,134,521,Chris Mulkey,527,English,PG-13
Shawn Levy,247,101,189,James Franco,207,English,PG-13
Brad Silberling,26,100,52,Fred Rogers,92,English,PG
Antoine Fuqua,292,132,845,Chloë Grace Moretz,436,English,R
Wayne Wang,114,105,61,Frances Conroy,242,English,PG-13
Tony Scott,82,123,12000,Viggo Mortensen,194,English,R
Gabriele Muccino,201,117,125,Kurt Fuller,611,English,PG-13
Robert Schwentke,231,98,124,Michael Irby,600,English,PG-13
Barry Levinson,55,128,272,Dylan Baker,95,English,R
Brad Silberling,110,114,52,Andre Braugher,322,English,PG-13
Quentin Tarantino,354,111,16000,Vivica A. Fox,2105,English,R
Frank Oz,140,85,0,Adam Alexi-Malle,358,English,PG-13
,77,44,,Don S. Davis,181,English,TV-14
Quentin Tarantino,304,137,16000,Michael Parks,935,English,R
Andrey Konchalovskiy,45,97,96,Jack Palance,149,English,R
Robert Zemeckis,49,104,0,Meryl Streep,173,English,PG-13
Tom Dey,146,110,9,Jason Connery,293,English,PG-13
Stuart Baird,60,133,53,Joe Morton,144,English,R
Mark Waters,189,94,70,Ophelia Lovibond,108,English,PG
Rob Minkoff,206,104,50,Thomas McDonell,279,English,PG-13
Jimmy Hayward,118,91,39,Carlos Ponce,73,English,PG
David Fincher,210,145,21000,Holt McCallany,776,English,R
Alan Parker,76,135,317,Jimmy Nail,194,English,PG
John Frankenheimer,149,122,287,Natascha McElhone,572,English,R
Stephen Hopkins,62,110,81,Bernard Hill,155,English,R
Paul King,224,95,17,Matt Lucas,174,English,PG
Akiva Schaffer,265,102,82,Nicholas Braun,207,English,R
William Friedkin,135,94,607,Jenna Boyd,321,English,R
Jon Turteltaub,100,126,226,Maura Tierney,232,English,R
Bobby Farrelly,123,118,101,Terence Bernie Hines,154,English,PG-13
Kent Alterman,164,99,3,Maura Tierney,119,English,R
Peter Lord,238,88,91,Russell Tovey,101,English,PG
Clint Eastwood,264,141,16000,Michael Kelly,387,English,R
Andrew Davis,47,107,99,Morgan Freeman,95,English,PG-13
Tony Scott,50,116,12000,Kurt Fuller,89,English,R
Joel Schumacher,153,143,541,Minnie Driver,2047,English,PG-13
Shekhar Kapur,202,114,159,Abbie Cornish,216,English,PG-13
Karyn Kusama,178,93,45,Sophie Okonedo,532,English,PG-13
Ron Maxwell,84,280,33,Bruce Boxleitner,497,English,PG-13
Robert Butler,44,100,0,Lauren Holly,84,English,R
Karey Kirkpatrick,93,107,11,Ronny Cox,39,English,PG
James Bobin,277,119,33,Tina Fey,110,English,PG
Jonathan Frakes,76,95,906,Philip Winchester,229,English,PG
Steve Antin,197,119,59,Peter Gallagher,222,English,PG-13
Jean-Pierre Jeunet,186,133,0,André Dussollier,239,French,R
Stanley Kubrick,103,152,0,Shelley Winters,207,English,Not Rated
Jim Gillespie,66,96,13,Tom Berenger,142,English,R
Guillermo del Toro,224,117,0,Thomas Kretschmann,559,English,R
Gabriele Muccino,202,123,125,Rosario Dawson,599,English,PG-13
Walter Hill,279,92,394,Jason Momoa,131,English,R
Francis Ford Coppola,110,170,0,Joe Mantegna,545,English,R
Cameron Crowe,190,123,488,Kirsten Dunst,495,English,PG-13
Anthony Russo,136,110,94,Billy Gardell,195,English,PG-13
Richard Lester,121,116,44,Ned Beatty,269,English,PG
Martin Brest,131,121,102,Lenny Venito,418,English,R
Steven Zaillian,127,128,234,Anthony Hopkins,178,English,PG-13
John Singleton,160,99,309,Vanessa Williams,301,English,R
Don Bluth,78,94,383,Kelsey Grammer,191,English,G
Baz Luhrmann,209,127,1000,Kylie Minogue,2319,English,PG-13
Harold Becker,98,89,17,Teri Polo,190,English,PG-13
Scott Cooper,391,123,108,Benedict Cumberbatch,289,English,R
Clint Eastwood,279,135,16000,Chris Bauer,415,English,R
F. Gary Gray,216,118,473,Leslie Bibb,429,English,R
Robert Rodriguez,250,189,0,Rosario Dawson,532,English,R
Jonathan Demme,78,172,438,Kimberly Elise,207,English,R
Curtis Hanson,106,124,161,Robert Duvall,63,English,PG-13
Steven Spielberg,194,141,14000,Tom Hanks,667,English,PG-13
Kathryn Bigelow,558,157,0,Harold Perrineau,640,English,R
Peyton Reed,183,106,235,John Michael Higgins,483,English,PG-13
Phyllida Lloyd,238,108,58,Meryl Streep,611,English,PG-13
Garry Marshall,186,125,0,Taylor Lautner,211,English,PG-13
Jay Chandrasekhar,144,107,422,Jessica Simpson,612,English,PG-13
Terrence Malick,156,215,0,Miranda Otto,1448,English,R
David Dobkin,215,118,71,Olivia Wilde,149,English,R
Milos Forman,140,118,869,Gerry Becker,549,English,R
Martin Scorsese,133,178,17000,Don Rickles,533,English,R
Pierre Morel,203,92,180,Amber Rose Revah,211,English,R
Paul Hunter,127,104,13,Mako,180,English,PG-13
Bobby Farrelly,155,116,101,Tony Cox,481,English,R
Steve Oedekerk,98,90,176,Wanda Sykes,155,English,PG
John Whitesell,71,93,14,Jorge Garcia,110,English,PG
Chris Weitz,299,130,129,Kristen Stewart,919,English,PG-13
Andrew Adamson,212,90,80,Chris Miller,945,English,PG
George Nolfi,413,106,53,Michael Kelly,407,English,PG-13
Kevin Reynolds,67,155,58,Morgan Freeman,322,English,PG-13
Cameron Crowe,109,139,488,Kelly Preston,318,English,R
Seth MacFarlane,457,112,3000,Seth MacFarlane,623,English,R
James L. Brooks,156,139,274,Yeardley Smith,470,English,PG-13
Tom Shadyac,55,115,293,Philip Seymour Hoffman,375,English,PG-13
Adam McKay,272,143,285,Will Ferrell,346,English,PG-13
Steven Brill,117,96,65,Adam Sandler,309,English,PG-13
J.J. Abrams,539,112,14000,AJ Michalka,849,English,PG-13
Steven Soderbergh,169,131,0,Albert Finney,498,English,R
Donald Petrie,140,116,80,Adam Goldberg,357,English,PG-13
Phil Lord,330,112,97,Craig Roberts,322,English,R
Neil Jordan,120,123,277,Tom Cruise,406,English,R
Peyton Reed,190,104,235,Zooey Deschanel,243,English,PG-13
Rawson Marshall Thurber,177,107,43,Thomas Kretschmann,110,English,PG-13
Chris Columbus,65,124,0,Liam Aiken,252,English,PG-13
Sean Anders,145,96,51,Linda Cardellini,130,English,PG-13
Rob Marshall,321,125,252,Meryl Streep,779,English,PG
Spike Lee,230,129,0,James Ransone,646,English,R
Brian Helgeland,143,90,241,Deborah Kara Unger,394,English,R
Frank Marshall,55,109,155,Joe Don Baker,147,English,PG-13
Cameron Crowe,257,124,488,Matt Damon,199,English,PG
Alex Proyas,279,121,295,Ben Mendelsohn,791,English,PG-13
Tom Dey,143,95,9,Matthew McConaughey,242,English,PG-13
Hideo Nakata,196,128,62,Gary Cole,560,English,PG-13
Glenn Ficarra,310,118,43,Emma Stone,292,English,PG-13
Peter Hewitt,116,80,12,Mark Christopher Lawrence,232,English,PG
Joe Roth,105,99,148,Cheech Marin,209,English,PG
Bennett Miller,419,133,152,Robin Wright,312,English,PG-13
Wolfgang Petersen,64,127,249,Morgan Freeman,130,English,R
Jaume Collet-Serra,359,106,174,Nate Parker,384,English,PG-13
Andy Fickman,166,98,99,Billy Brown,110,English,PG
James McTeigue,525,132,160,Eddie Marsan,2042,English,R
David Dobkin,165,114,71,Anna-Louise Plowman,192,English,PG-13
,2,45,,Gemma Jones,9,English,
Matthew O'Callaghan,87,78,5,Frank Welker,118,English,G
Angela Robinson,117,101,23,Thomas Lennon,168,English,G
Gary Fleder,113,113,39,Jennifer Esposito,248,English,R
Tommy Wirkola,349,98,75,Derek Mears,304,English,R
Adrian Lyne,152,124,213,Erik Per Sullivan,533,English,R
D.J. Caruso,288,109,154,Emily Wickersham,329,English,PG-13
Stephen Gaghan,358,128,79,Amr Waked,625,English,R
Michael Bay,204,144,0,James Badge Dale,219,English,R
Jorge R. Gutiérrez,156,95,34,Hector Elizondo,102,English,PG
Richard Loncraine,171,105,12,Harrison Ford,306,English,PG-13
Clint Eastwood,76,121,16000,Mark Margolis,142,English,R
Ridley Scott,97,125,0,Demi Moore,142,English,R
David Fincher,157,129,21000,Armin Mueller-Stahl,506,English,R
Christophe Gans,267,132,50,Deborah Kara Unger,1740,English,R
Howard Deutch,118,118,41,Jon Favreau,261,English,PG-13
Jon Hurwitz,291,113,22,Dania Ramirez,181,English,R
F. Gary Gray,68,140,473,Michael Cudlitz,279,English,R
Steven Quale,228,89,77,Alycia Debnam-Carey,210,English,PG-13
John Landis,36,104,644,Jon Tenney,114,English,R
Joe Dante,105,106,287,Robert Picardo,148,English,PG-13
David Dobkin,276,141,71,Robert Duvall,275,English,R
Mimi Leder,93,124,75,Holt McCallany,156,English,R
Alexander Witt,191,98,38,Thomas Kretschmann,672,English,R
Beeban Kidron,143,108,17,Jim Broadbent,259,English,R
Carl Franklin,124,114,73,Sanaa Lathan,157,English,R
Steven Seagal,47,101,0,Joan Chen,140,English,R
Robert Rodriguez,66,93,0,Kristin Davis,177,English,PG
Danny Boyle,118,119,0,Virginie Ledoyen,548,English,R
Garry Marshall,93,119,0,Felicity Huffman,106,English,PG-13
James McTeigue,235,99,160,Ben Miles,194,English,R
Sam Raimi,113,137,0,Kelly Preston,226,English,PG-13
,14,105,,Bruce Alexander,33,English,
Andrew Bergman,51,117,31,Rumer Willis,118,English,R
Tom Dey,98,87,9,Judy Greer,65,English,PG
Clint Eastwood,315,129,16000,Jay Mohr,323,English,PG-13
Barbet Schroeder,136,115,58,Chris Penn,302,English,R
Richard Donner,61,132,503,Sylvester Stallone,84,English,R
Peter Webber,209,131,73,Stephen Walters,392,English,R
Rob Reiner,99,95,0,Tim Matheson,150,English,R
Andrew Niccol,298,125,487,Chandler Canterbury,347,English,PG-13
John McTiernan,131,98,323,Harry Connick Jr.,286,English,R
Clint Eastwood,146,110,16000,Anjelica Huston,260,English,R
Tom Tykwer,245,118,670,Brían F. O'Byrne,190,English,R
John Carpenter,104,101,0,Valeria Golino,227,English,R
,4,60,,Brittany Curran,22,English,
Brad Bird,162,90,663,Harry Connick Jr.,514,English,PG
Wes Anderson,259,119,0,Anjelica Huston,632,English,R
Gary Ross,79,139,378,Donald Watkins,47,English,R
Alan Parker,141,130,317,Kate Winslet,420,English,R
Stephen Herek,59,100,65,Vanessa Ferlito,94,English,PG-13
Jaume Collet-Serra,236,114,174,Common,205,English,R
David Cronenberg,356,96,0,Naomi Watts,398,English,R
John Stockwell,120,110,134,James Frain,208,English,PG-13
Luc Besson,111,158,0,David Bailie,390,English,R
David Gordon Green,208,102,234,Zooey Deschanel,274,English,R
Jim Sheridan,174,84,260,Gregory Smith,137,English,PG-13
Costa-Gavras,59,115,333,Blythe Danner,73,English,PG-13
Patrick Read Johnson,22,99,32,Lara Flynn Boyle,78,English,PG
Roland Joffé,34,135,596,Robert Duvall,90,English,R
Doug Liman,214,108,218,Ty Burrell,127,English,PG-13
,28,43,,Tony Curran,149,English,TV-MA
Tony Scott,186,127,12000,Mo'Nique,374,English,R
William Friedkin,50,107,607,Chazz Palminteri,70,English,R
Mark Neveldine,180,95,83,Logan Lerman,245,English,R
Richard LaGravenese,231,124,98,Zoey Deutch,258,English,PG-13
Danny DeVito,105,109,0,Vincent Schiavelli,341,English,R
Ben Stiller,226,102,0,Will Ferrell,150,English,PG-13
George Armitage,75,88,5,Andrew Wilson,93,English,PG-13
Mike Nichols,82,87,0,Linda Fiorentino,91,English,R
Patrick Lussier,296,104,71,Billy Burke,211,English,R
Andrzej Bartkowiak,103,96,43,Robin Shou,179,English,PG-13
James Wong,98,85,70,Jet Li,294,English,PG-13
,30,64,,Graham McTavish,148,English,TV-MA
Renny Harlin,48,104,212,Gilbert Gottfried,113,English,R
Richard Curtis,195,135,628,Charlie Rowe,209,English,R
Steven Soderbergh,223,190,0,Jacob Vargas,867,English,R
Steven Spielberg,149,127,14000,Julian Glover,477,English,PG-13
Joe Wright,324,129,456,Guro Nagelhus Schia,226,English,R
Neill Blomkamp,371,120,662,Sharlto Copley,627,English,R
Phillip Noyce,75,118,176,Angelina Jolie Pitt,397,English,R
David Fincher,233,112,21000,Dwight Yoakam,850,English,R
Chuck Bowman,32,89,42,Lochlyn Munro,32,English,
David O. Russell,150,114,737,Jamie Kennedy,560,English,R
Daniel Espinosa,172,137,79,Fares Fares,185,English,R
Jerry Zucker,103,112,109,Douglas Haase,497,English,PG-13
Iain Softley,140,120,34,Jeff Bridges,537,English,PG-13
James Mangold,125,123,446,Natasha Lyonne,316,English,PG-13
Harold Ramis,125,93,11000,Frances O'Connor,254,English,PG-13
Francis Ford Coppola,36,123,0,Bob Hoskins,84,English,R
James Mangold,295,122,446,Logan Lerman,560,English,R
Olivier Megaton,222,115,118,Dougray Scott,323,English,PG-13
Steven Soderbergh,158,123,0,Albert Brooks,307,English,R
Ben Stiller,72,96,0,Janeane Garofalo,345,English,PG-13
Deepa Mehta,34,110,375,Gulshan Grover,55,Hindi,Unrated
Warren Beatty,72,105,631,Warren Beatty,164,English,PG
John McTiernan,152,113,323,Faye Dunaway,419,English,R
Penny Marshall,89,132,545,Adam Garcia,210,English,PG-13
Ted Kotcheff,145,93,270,Brian Dennehy,376,English,R
Andrei Tarkovsky,144,115,0,Anatoliy Solonitsyn,236,Russian,PG
Paul Bolger,93,75,0,George Carlin,71,English,PG
Stephen Frears,46,108,350,Bronagh Gallagher,97,English,R
P.J. Hogan,84,105,29,Christopher Masterson,169,English,PG-13
Joe Roth,142,102,148,Rainn Wilson,343,English,PG-13
Christopher Nolan,185,118,22000,Maura Tierney,651,English,R
Jonathan Frakes,143,111,906,Alfre Woodard,286,English,PG-13
Jimmy Hayward,178,81,39,Billy Blair,176,English,PG-13
Edward Zwick,65,116,380,Matt Damon,107,English,R
Tom Shadyac,73,86,293,Swoosie Kurtz,243,English,PG-13
Brad Furman,72,127,65,Amy Ryan,29,English,R
Terence Young,10,140,92,Ben Gazzara,16,English,PG
Brian Levant,35,91,32,Elizabeth Perkins,85,English,PG
Olivier Megaton,358,98,118,Luke Grimes,461,English,PG-13
David Zucker,151,84,119,Pamela Anderson,347,English,PG-13
Donald Petrie,140,109,80,Wendy Raquel Robinson,370,English,PG-13
Eric Brevig,201,93,40,Brendan Fraser,212,English,PG
Garry Marshall,77,113,0,Raven-Symoné,152,English,G
Alan J. Pakula,43,141,79,Julia Roberts,89,English,PG-13
Joel Schumacher,39,119,541,Anthony LaPaglia,94,English,PG-13
Rob Reiner,207,97,0,Noel Gugliemi,310,English,PG-13
Phillip Noyce,47,117,176,Polly Walker,137,English,R
Robert Luketic,132,101,126,Jane Fonda,228,English,PG-13
Denis Villeneuve,454,153,777,Jake Gyllenhaal,620,English,R
Antoine Fuqua,109,122,845,Snoop Dogg,633,English,R
Dean Parisot,213,102,23,Enrico Colantoni,609,English,PG
Keenen Ivory Wayans,127,83,322,Veronica Cartwright,548,English,R
James Bobin,398,103,33,Eric Jacobson,252,English,PG
Stephen Norrington,184,110,45,Traci Lords,582,English,R
Thomas Carter,127,136,49,Rick Gonzalez,209,English,PG-13
Roger Michell,167,91,50,Matt Malloy,350,English,R
Luis Llosa,119,89,49,Eric Stoltz,271,English,PG-13
David McNally,155,107,18,Tyra Banks,379,English,PG-13
Richard Curtis,218,129,628,Liam Neeson,1004,English,R
John Lasseter,117,95,487,Madeline Kahn,317,English,G
Albert Hughes,208,122,117,Jason Flemyng,541,English,R
Luis Llosa,38,110,49,Rod Steiger,116,English,R
Ron Shelton,48,135,41,Cheech Marin,73,English,R
Melville Shavelson,8,111,5,Tom Bosley,61,English,Unrated
Jesse Dylan,94,95,58,Will Ferrell,118,English,PG
Garth Jennings,276,109,37,Kelly Macdonald,1053,English,PG
Joel Zwick,59,93,38,Nick Zano,91,English,PG
Russell Mulcahy,216,94,85,Mike Epps,348,English,R
Frank Coraci,173,117,153,Adam Sandler,184,English,PG-13
Wayne Wang,99,112,61,Alicia Witt,116,English,PG-13
Curtis Hanson,42,111,161,Glenn Morshower,69,English,PG-13
Frank Oz,25,96,0,Vincent Kartheiser,47,English,PG
Oliver Stone,339,141,0,Shea Whigham,269,English,R
David R. Ellis,127,94,160,Valerie Cruz,355,English,PG-13
Peter Howitt,122,87,29,Natalie Imbruglia,285,English,PG
John A. Davis,105,88,8,Meryl Streep,70,English,PG
David Lynch,144,177,0,Jürgen Prochnow,569,English,PG-13
Julie Taymor,156,133,278,T.V. Carpio,524,English,PG-13
Sam Mendes,323,119,0,Kate Winslet,414,English,R
Richard Donner,199,102,503,David Zayas,305,English,PG-13
Mathieu Kassovitz,164,101,326,Charlotte Rampling,214,English,PG-13
John Gray,39,91,29,Bob Gunton,80,English,R
Harold Ramis,43,117,11000,Brian Doyle-Murray,81,English,PG-13
John Schultz,82,86,13,Carter Jenkins,55,English,PG
Sean Penn,150,124,0,Adrien Dorval,531,English,R
Susan Stroman,168,134,38,Will Ferrell,409,English,PG-13
Pete Travis,432,95,38,Jason Cope,588,English,R
Simon Wincer,60,100,23,Treat Williams,148,English,PG
Billy Bob Thornton,85,220,0,Henry Thomas,183,English,PG-13
Oliver Stone,83,212,0,Bob Hoskins,161,English,R
Roman Polanski,343,128,2000,Olivia Williams,349,English,PG-13
Stephen Sommers,106,106,208,Jason Flemyng,273,English,R
Spike Lee,158,160,0,Omari Hardwick,182,English,R
Yimou Zhang,189,114,611,Ye Liu,229,Mandarin,R
Danny Pang,125,99,15,Charlie Yeung,154,English,R
Barry Sonnenfeld,87,74,188,Janeane Garofalo,186,English,PG-13
Mike Newell,115,139,179,Giovanna Mezzogiorno,115,English,R
,23,52,,Clotilde Hesme,47,French,TV-MA
George P. Cosmatos,24,103,170,Ben Gazzara,41,English,R
Oliver Parker,152,101,32,Tim McInnerny,142,English,PG
Lawrence Kasanoff,12,91,11,Larry Miller,66,English,PG
Ben Affleck,656,130,0,Scoot McNairy,695,English,R
Andrew Davis,119,130,99,Daniel Roebuck,270,English,PG-13
Andy Tennant,161,110,72,Dorian Missick,135,English,PG-13
Barry Levinson,73,147,272,Brad Pitt,259,English,R
George P. Cosmatos,96,96,170,Julia Nickson,217,English,R
Brian Gibson,28,118,13,Demi Moore,62,English,R
Norman Ferguson,105,88,3,Dickie Jones,147,English,Approved
Michael Cimino,102,325,517,Sam Waterston,189,English,R
Len Wiseman,206,102,235,Tony Curran,502,English,R
Paul McGuigan,159,110,118,Spencer Wilding,91,English,PG-13
Gus Van Sant,137,136,835,Rob Brown,297,English,PG-13
Betty Thomas,116,103,84,Viggo Mortensen,194,English,PG-13
Louis Leterrier,177,103,255,Jet Li,303,English,R
