plot_keywords,content_rating,budget,aspect_ratio,movie_facebook_likes
great barrier reef|protective father|separation from family|shark|short term memory loss,G,94000000,1.85,11000
battle|epic|king|orc|ring,PG-13,94000000,2.35,16000
epic|evil wizard|middle earth|ring|wizard,PG-13,94000000,2.35,10000
apprentice|demon|exorcism|master apprentice relationship|witch,PG-13,95000000,2.35,16000
illuminati|planetary alignment|time|tomb|tomb raider,PG-13,115000000,2.35,0
artificial intelligence|consciousness|power outage|scientist|technology,PG-13,100000000,2.35,37000
dinosaur|island|jurassic park|paleontologist|search,PG-13,93000000,1.85,0
alzheimer's disease|ape|chimpanzee|fire|when animals attack,PG-13,93000000,2.35,47000
actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,PG,90000000,2.35,0
bomb|cia|courthouse|escape|russian,R,92000000,1.85,66000
army|dictator|general|texan|texas,PG-13,107000000,2.35,701
hero|island|lawsuit|secret|superhero,PG,92000000,2.35,0
latin|pirate|pirate ship|treasure|treasure map,PG-13,98000000,2.35,1000
greek|lightning|lightning bolt|poseidon|teenager,PG,95000000,2.35,9000
alien|box office hit|flying saucer|laser gun|wisecrack humor,PG-13,90000000,1.85,0
collector|dog|friend|rescue|toy,G,90000000,1.85,0
freight train|race against time|runaway train|train|train engineer,PG-13,100000000,2.35,18000
boat|gang|hong kong|triad|vacation,PG-13,90000000,2.35,0
ghost|haunted house|research|secret|vermont,PG-13,100000000,2.35,0
food|giant food|mayor|sardine|weather,PG,100000000,2.35,0
egg|lost world|rescue|squirrel|weasel,PG,90000000,1.85,0
daydream|life magazine|magazine|photographer|snow leopard,PG,90000000,2.35,70000
booty shake|box office hit|duct tape over mouth|first part|martial arts,PG-13,92000000,2.35,0
boston|mole|police|undercover|undercover cop,R,90000000,2.35,29000
based on poem|based on true story|china|one word title|the huns,G,90000000,1.66,12000
film director|parody|spoof|vietnam|written and directed by cast member,R,92000000,2.35,0
computer hacker|hacker|investigation|journalist|punk,R,90000000,2.35,54000
bomb|detective|new york city|police|terrorist,R,90000000,2.35,0
black magic|bridge construction|professor moriarty|scotland yard inspector|sherlock holmes,PG-13,90000000,1.85,20000
,PG-13,,2.35,0
atlantis|crew|expedition|journal|museum,PG,120000000,2.35,0
chipmunk|highway travel|on the road|plane|road movie,PG,90000000,1.85,0
american actor playing foreigner|assassination|conspiracy|military|nazis,PG-13,75000000,1.85,0
hair stylist|jew|landlord|muslim|palestinian,PG-13,90000000,1.85,0
alien|arcade game|chase|driving in reverse|video gamer,PG-13,88000000,2.35,39000
affection|boy|fairy|future|robot,PG-13,100000000,1.85,11000
arachnophobia|crystal ball|ghost|haunted house|thunderstorm,PG,90000000,2.35,988
message from outer space|religion|religion versus science|scientist|universe,PG,90000000,2.35,15000
experiment|research|scientist|suburb|surrealism,R,95000000,1.85,0
african|assassination|dialect|interpreter|threat,PG-13,80000000,2.35,0
golden fleece|half brother|magical tree|sea|tree,PG,90000000,2.35,28000
duology|female hero|female lead|orb|pandora's box,PG-13,95000000,2.35,0
card trick|london england|magician|rain machine|rooftop,PG-13,90000000,2.35,15000
cold fusion|disguise|energy|fusion|the saint,PG-13,68000000,2.35,0
china|cia|cold war|friendship|retirement,R,92000000,2.35,0
astronaut|mars|mars the planet|outer space|zero gravity,PG,90000000,2.35,0
bird|brazilian|cockatoo|macaw|minnesota,G,90000000,2.35,19000
23rd century|android|artificial intelligence|dual role|robot,PG,100000000,1.85,0
earthquake|fire|lava|rescue|volcano,PG-13,90000000,1.85,2000
friendship|murder|northern ireland|police officer|terrorist,R,86000000,2.35,979
courage|radiation sickness|radioactive contamination|sea|test launch,PG-13,100000000,2.35,0
box office flop|critically bashed|portal|teleportation|troubled production,PG-13,120000000,2.35,41000
actual animal killed|cult|evil sorcerer|gladiator|warlord,R,20000000,2.35,0
boxer|boxing|dream|great depression|love,PG-13,88000000,2.35,0
box office flop|christmas|christmas eve|critically bashed|toy comes to life,PG,90000000,2.35,788
horse|horse racing|jockey|limp|seabiscuit,PG-13,87000000,2.35,0
device|disaster|divorce|storm|tornado,PG-13,92000000,2.35,0
eighteen wheeler|illegal street racing|truck|trucker|undercover cop,PG-13,38000000,2.35,14000
christmas|island|love|survival|talking to inanimate object,PG-13,90000000,1.85,23000
dance|emperor penguin|friend|penguin|song,PG,100000000,2.35,0
assassin|car chase|cia|hidden truth|one against many,PG-13,75000000,2.35,0
ex soldier|hijacker|hostage|president|terrorist,R,85000000,2.35,0
card dealer|casino|criminal mastermind|recruiting|ulcer,PG-13,85000000,2.35,0
box office flop|cardinal richelieu|critically bashed|duel|musketeer,PG-13,75000000,2.35,19000
dracula|hotel|invisible man|monster|transylvania,PG,85000000,1.85,28000
fairy tale|lawyer|love|new york|prince,PG,85000000,2.35,0
blood|cannibalism|fbi|manipulation|psychiatrist,TV-14,,1.78,59000
cia|cia agent|consulate|on the run|safe house,R,85000000,2.35,19000
dog|parole|parole officer|prison|puppy,G,85000000,1.85,372
apartment|fbi|fraud|heist|manager,PG-13,75000000,2.35,0
book|composer|house|love|self esteem,PG-13,85000000,1.85,19000
congressman|lawyer|nsa|on the run|surveillance,R,90000000,2.35,0
affair|divorce|graduation|vomiting|watching television,R,85000000,1.85,0
casino|heist|manmade earthquake|revenge|tunnel boring machine,PG-13,85000000,2.35,0
bear|deer|forest|grizzly bear|hunter,PG,85000000,1.85,863
army|brother sister relationship|dystopia|father son relationship|narrated by character,PG-13,85000000,2.35,49000
battle|german|russian|sniper|stalingrad,R,68000000,2.35,0
amazon|bounty hunter|fight|hunter|jungle,PG-13,85000000,2.35,0
action hero|hero|magic|ticket|video store,PG-13,70000000,2.35,0
coming of age|geisha|japan|jealousy|love,PG-13,85000000,2.35,0
car|challenge|drift racing|drifting|tokyo japan,PG-13,85000000,2.35,0
christmas|christmas eve|elf|high tech|resentment,PG,100000000,1.85,0
birthday|death|death personified|fear of death|wealth,PG-13,90000000,1.85,10000
bare chested boy|car explosion|colombia|explosion|terrorism,R,85000000,1.85,941
dancer|editing|stand up comedian|surgery|vomiting,R,,1.85,0
kingdom|prince|princess|queen|snow,PG,85000000,1.85,18000
band|dating|high school|hipster|rock band,PG-13,60000000,1.85,36000
core|earth|natural disaster|pacemaker|scientist,PG-13,60000000,2.35,0
alter ego|marriage|professor|scientist|serum,PG-13,65000000,1.85,374
amusement park|island|motorcycle|scooby doo|tough girl,PG,84000000,1.85,0
brutality|dark humor|female antagonist|female warrior|post apocalypse,R,35000000,2.35,46000
architect|frozen time|obese man|remote control|stopped time,PG-13,70000000,1.85,7000
anthology|child abuse|critically acclaimed|death|grindhouse,R,8000000,1.85,0
cartoon on tv|cat|dog|kitty|special agent,PG,85000000,1.85,0
bank|based on novel|ice|teleportation|vault,PG-13,85000000,2.35,0
creature|elf|prince|rebellion|superhero,PG-13,85000000,1.85,3000
cartoonist|reporter|serial killer|zodiac|zodiac killer,R,65000000,2.35,12000
clone|cloning|future|laser gun|murder,PG-13,82000000,2.35,0
answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,PG-13,81000000,1.85,0
action hero|assassination attempt|explosion|machine gun|rescue mission,R,80000000,2.35,57000
disguise|mission|spy|stealing|traitor,PG-13,80000000,2.35,0
fight to the death|game|massacre|self survival|suicide attempt,PG-13,78000000,2.35,140000
hotel|male frontal nudity|pubic hair|thailand|wedding,R,80000000,2.35,56000
box office hit|dc comics|gotham|mayor|penguin,PG-13,80000000,1.85,0
bear|food|forest|raccoon|turtle,PG,80000000,1.85,0
alien|escape|fugitive|hawaii|social worker,PG,80000000,1.66,0
barn|pig|piglet|spider|uncle,G,,1.85,0
astronomer|comet|mission|president|secretary,PG-13,75000000,2.35,0
cia|cia agent|rescue|russian|team,PG-13,84000000,2.35,22000
coach|convict|football|prison|warden,PG-13,82000000,2.35,0
chipmunk|cruise ship|football ball|overboard|tennis ball,G,75000000,1.85,0
belching|number in title|party|reference to nicki minaj|sneezing,PG-13,80000000,1.85,14000
airplane|misunderstanding|obese woman|overweight woman|spy,PG-13,80000000,1.85,0
beach|dating|doctor|heart attack|weekend,PG-13,80000000,1.85,0
female prisoner|plot twist|self delusion|surprise ending|year 1954,R,80000000,2.35,53000
airport|christmas|news broadcast|tv broadcast|tv news,PG-13,80000000,1.85,0
actor voicing multiple characters|box office hit|coffee|plate|robot,PG,75000000,1.85,0
death of child|face|face transplant|prison|terrorist,R,80000000,2.35,11000
2000s|bedtime story|elephant|handyman|tween girl,PG,80000000,2.35,0
1930s|blood|gun|on the run|revenge,R,80000000,2.35,0
chick flick|hawaii|love|plastic surgeon|woman wearing a string bikini,PG-13,80000000,1.85,19000
corruption|lawyer|partnership|superhero|vigilante,TV-MA,,16.0,55000
army rangers|convict|criminal|escape|prison,R,75000000,2.35,0
audio surveillance|death|pentagon|technology|twin brother,PG-13,80000000,2.35,0
civil war|mountain|soldier|well|wounded soldier,R,79000000,2.35,0
blind|book|long take|post apocalypse|water,R,80000000,2.35,20000
college|flubber|flying rubber|professor|wedding,PG,80000000,1.85,0
greenhouse|haunted house|horror movie remake|mansion|old house,PG-13,80000000,2.35,0
alien|basketball|basketball game|cult film|monstars,PG,80000000,1.77,0
diamond|france|investigation|pink panther|soccer,PG,65000000,1.85,0
alien|earth|giant robot|military|scientist,PG-13,80000000,2.35,0
conspiracy|fbi|mk ultra|newsletter|taxi,R,75000000,2.35,0
battle|battlefield|brutality|combat|tank,R,68000000,2.35,82000
airplane|island|pilot|storm|thunderstorm,PG-13,70000000,2.35,0
bear|mayor|park|sabotage|yogi bear,PG,80000000,1.85,0
cavalry|escape|herd|stallion|wild stallion,G,80000000,2.35,4000
champagne bottle|coca cola|jewelry box|red bull|zoo,PG,80000000,2.35,0
based on tv series|remake|robot|scientist|spaceship,PG-13,80000000,2.35,0
brainwashed assassin|conspiracy|critically acclaimed|mother son relationship|soldier,R,80000000,1.85,0
american|love|pin|ruby|stranger,PG-13,,1.85,91
california|dracula|hotel|transylvania|vampire,PG,80000000,1.85,16000
connecticut|magic|marriage|witch|witchcraft,TV-G,,4.0,0
abstract|ark|disney|fairy tale|piano,G,80000000,1.78,607
hunter|scientist|time machine|time travel|time travel romance,PG-13,80000000,2.35,3000
animal|california|gorilla|hunter|poacher,PG,90000000,1.85,0
computer|secret agent|terrorism|told in flashback|wearing a sound wire,R,80000000,2.35,0
california|fight|hero|mask|zorro,PG,75000000,2.35,951
heaven|hell|soul|soul mate|suicide,PG-13,85000000,2.35,32000
angel|devil|flask|hell|the devil,PG-13,80000000,1.85,0
creature|curse|exorcism|girl|village,PG-13,88000000,1.85,0
alien|general|martian|president|weapon,PG-13,70000000,2.35,0
boy|giving birth|nurse|sea|ultrasonography,,,2.35,257
bear|billionaire|crash|survival tactics|wilderness,R,,2.35,0
android|fbi agent|future|murder|robot,PG-13,80000000,2.35,0
blockade|crisis|cuba|missile|president,PG-13,80000000,1.85,0
collapsing tunnel|explosion|new jersey|tunnel|weimaraner,PG-13,80000000,1.85,0
brother|dinosaur|head butt|hero|orphan,PG,80000000,2.35,0
alien|bad acting|pulp fiction|resistance fighter|voyager golden record,PG-13,44000000,2.35,0
diamond|duck|monkey|spy|stuntman,PG,80000000,2.35,665
based on stage musical based on film|child abuse|film director|italian|mistress,PG-13,80000000,2.35,0
castle|france|professor|student|time machine,PG-13,80000000,2.35,0
drifter|escape|hope|postman|usa,R,80000000,2.35,0
animal|farm|farmer|hotel|pig,G,80000000,1.85,964
box office flop|burned to death|magic|witch|witch hunter,PG-13,90000000,2.35,21000
astronaut|mars|robot|robot as menace|survival,PG-13,70000000,2.35,995
boy|debt|garden|princess|treasure,PG,86000000,2.35,941
damselfish|ocean habitat|ocean life|razorfish|spider crab,G,40000000,2.35,0
butterfly|hunter|time|time travel|wave,PG-13,52000000,2.35,785
arena|lava bomb|mount vesuvius|pompeii|slave,PG-13,80000000,2.35,20000
,PG,8000000,,138
conspiracy|cryptography|mathematician|mental illness|nobel prize,PG-13,58000000,1.85,29000
king|prince|scar|uncle|unnecessary guilt,G,45000000,1.66,17000
gold|hurricane|island|mountain|mysterious island,PG,79000000,1.85,0
food|inventor|island|orangutan|scientist,PG,78000000,2.35,15000
criminal profile|fbi agent|madman|tabloid reporter|tragic villain,R,78000000,2.35,0
arab|cowboy|horse|race|sheik,PG-13,100000000,2.35,0
advertising|advertising executive|commercial|protective male|twins,PG,79000000,1.85,0
bust|racing|shotgun|street racing|undercover agent,PG-13,76000000,2.35,0
aviator|based on book|girl|little girl|the little prince,PG,81200000,2.35,31000
alien|epidemic|psychiatrist|space shuttle|virus,PG-13,80000000,1.85,0
deforestation|fbi|lighthouse|moose|squirrel,PG,76000000,1.85,413
animal control|lost animal|mongrel|pet|terrier,PG,75000000,1.85,36000
box office flop|captain nemo|dorian gray|invisible man|steampunk,PG-13,78000000,2.35,0
dating|minion|overprotective father|undercover spy|woman agent,PG,76000000,1.85,56000
alien|area 51|military|spacecraft|spaceship,PG-13,75000000,2.35,16000
capture|dinosaur|island|jurassic|jurassic park,PG-13,73000000,1.85,0
escape|jungle|lemur|madagascar|zoo,PG,75000000,1.85,0
chaos|england|long take|survival|violence,R,76000000,1.85,17000
first part|mutant|professor|superhero|superhero team,PG-13,75000000,2.35,0
assassin|bobble head doll|femme fatale|rejuvenation|strong female lead,R,75000000,2.35,0
alcatraz|fbi|general|hostage|rocket,R,75000000,2.35,51000
flood|mammoth|no opening credits|squirrel|valley,PG,80000000,1.85,0
dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,PG-13,75000000,2.35,11000
audition|best friend|dance|friend|tv dance show,PG,75000000,2.35,0
archeologist|church|excavation|faith|relic,R,50000000,2.0,893
actor playing multiple roles|claw|gadget|inspector|police,PG,75000000,1.85,509
bank|fbi|heist|interpol|magician,PG-13,75000000,2.35,105000
basketball|coach|daughter|high school|high school basketball,PG-13,80000000,1.85,12000
airport|construction site|fish out of water|flight attendant|man without a country,PG-13,60000000,1.85,16000
based on comic|based on comic book|dc arrowverse|dc comics|supernatural,TV-14,,16.0,10000
abandoned hotel|dog|foster home|overalls|playing with a dog,PG,35000000,1.85,1000
death|die hard scenario|k2|rescue|urination,PG-13,75000000,1.85,0
afghanistan|arms dealer|based on true story|cia|texas,R,75000000,1.85,0
anchor|fish|mobster|shark|vegetarian,PG,75000000,1.85,0
1960s|fire|pop chart|singer|trio,PG-13,70000000,2.35,0
cop|murder|partner|police|protective male,,,,0
concert|mobster|russian|sequel|widow,PG-13,53000000,2.4,0
arab|black september|israel|jew|munich olympics,R,70000000,2.35,0
dictator|doctor|jungle|rebel|refugee,R,70000000,2.35,0
hired killer|marriage|neighbor|on the run|store clerk,PG-13,75000000,2.35,0
box office flop|cia agent|criminal organization|kgb agent|nuclear bomb,PG-13,75000000,2.35,43000
chef|college|housekeeper|letter|mexico,PG-13,80000000,1.85,0
babysitter|halloween|house|neighbor|suburb,PG,75000000,2.35,0
bank manager|hypochondriac|love triangle|prison|television,PG-13,80000000,2.35,0
battle|king|king arthur|knight|marriage,PG-13,55000000,1.85,0
1860s|children|king|schoolteacher|siam,PG-13,75000000,2.35,0
burned alive|castration|olympus|torture|torture device,R,75000000,1.85,30000
california|hostage|hostage negotiator|organized crime|police,R,52000000,2.35,0
alien|captain|escape|pilot|scientist,PG,75000000,2.35,0
audition|kissing while having sex|machismo|murder|sex,PG-13,75000000,2.35,648
crash survivor|planet|sergeant|soldier|survivor,R,75000000,2.35,0
beach|disease|latex gloves|pandemic|virus,PG-13,,2.35,0
carnival|coma|death|monkey|nightmare,PG-13,75000000,1.85,683
captain|desert|rescue|stranded|survivor,PG-13,45000000,2.35,1000
child with gun|comic book|invulnerability|superhero|train crash,PG-13,75000000,2.35,0
antarctica|minion|queen|super villain|villain,PG,74000000,1.85,70000
alternate reality|escape|girl gang|prostitution|samurai,PG-13,82000000,2.35,42000
assassination|boxing|casino|conspiracy|long take,R,69000000,2.35,880
manifestation|ocean|spacecraft|spaceship|sphere,PG-13,75000000,2.35,0
butt|downward duck|fish|kingfisher|pig,PG,73000000,1.85,14000
debt|rapper|treasure|treasure hunter|yacht,PG-13,70000000,2.35,0
breasts|comedian|craigslist|infidelity|stand up comedian,R,75000000,1.85,0
al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch,R,70000000,2.35,0
car racing|french|friend|nascar|racing,PG-13,73000000,2.35,0
bear|doctor|false accusation|man with glasses|second part,PG,72000000,2.35,266
14th century|legend|revolt|scotland|tyranny,R,72000000,2.35,17000
american abroad|gulf war|u.s. military|u.s. soldier|usmc,R,70000000,2.35,0
alaska|dome|lake|pig|the simpsons,PG-13,75000000,2.35,0
amnesia|california|communist|small town|writer,PG,72000000,1.85,0
car race|german|race car|race car driver|rookie,PG-13,72000000,2.35,886
circus|death of protagonist|jungle|killing an animal|tiger,PG,59660000,2.35,2000
creature|pact|plot twist|village|woods,PG-13,60000000,1.85,0
box office hit|doctor|dog|first part|tiger,PG-13,71500000,1.85,694
crop circle|faith|farm|glass of water|loss of faith,PG-13,72000000,1.85,0
drag queen|physical appearance|princess|queen|sequel,PG,150000000,1.85,0
car|desert|route 66|tow truck|truck,G,120000000,2.35,0
bride|columnist|journalist|maryland|wedding,PG,70000000,2.35,0
agent|nsa|nsa agent|prague|russian,PG-13,70000000,2.35,10000
book|magic|pirate|plankton|time machine,PG,74000000,1.85,16000
bounty|fbi|millionaire|money|ransom,R,80000000,1.85,1000
france|german|nazis|revenge|scalping,R,75000000,2.35,42000
1990s|caught in a net|children|duel|hero,PG,70000000,2.35,13000
army|greek mythology|hercules|king|mercenary,PG-13,100000000,2.35,21000
airport|fuel|plane|police|terrorist,R,70000000,2.35,0
hostage|police|prison|swat team|training,PG-13,80000000,2.35,0
apocalypse|death|husband wife relationship|mother son relationship|murder,TV-14,,16.0,14000
death|dream|love|lynchian|reality,R,68000000,1.85,0
apartment|bedtime story|eagle|stuttering|swimming pool,PG-13,70000000,1.85,0
alien|antarctica|predator|pyramid|satellite,PG-13,60000000,2.35,0
adidas|chipmunk|hospital|school|waste container,PG,75000000,1.85,2000
air cavalry|battle|major|soldier|vietnamese,R,75000000,2.35,5000
political thriller|politics|president|speaker of the house|u.s. president,R,70000000,2.35,45000
alien|captain|commander|conspiracy|planet,PG,58000000,2.35,1000
alien|extraterrestrial|invasion|marine|mission,PG-13,70000000,2.35,25000
dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman,PG-13,70000000,1.37,26000
blood|publisher|publishing house|werewolf|wolf,R,70000000,1.85,0
barbed wire|british|cavalry|horse|world war one,PG-13,66000000,2.35,28000
art|art expert|nazi stolen art|soldier|world war two,PG-13,70000000,2.35,34000
alien|estranged couple|ocean|submarine|underwater,PG-13,69500000,2.35,0
corporate greed|crisis|economy|greed|mentor,PG-13,70000000,2.35,13000
death of wife|dracula|tarantula|turk|vampire,PG-13,70000000,2.35,37000
abduction|martial law|military|new york city|terrorist,R,70000000,2.35,0
king|magic|one word title|pirate|village,PG-13,70000000,2.35,15000
austria|dalai lama|himalaya|mountain|tibet,PG-13,70000000,2.35,0
best friend|friend|investigation|secret|two word title,PG-13,70000000,2.35,0
cia|cia agent|terrorist|twin|twin brother,PG-13,70000000,2.35,792
commando unit|extra chromosome|first person shooter|special forces|teleportation,R,60000000,2.35,0
boxer|espionage|spy|stealth|top secret,PG-13,70000000,1.37,531
battle|cryogenics|detective|scientist|vampire,R,70000000,2.35,24000
concert|love|music industry|panties|pole dancer,PG-13,75000000,2.35,33000
colonel|honor|lieutenant|pilot|racism,R,60000000,2.35,997
australia|death|mentor|revenge|secret society,R,35000000,2.35,17000
ball|blood|skating|song|year 2005,R,70000000,2.35,584
blood splatter|camera shot from inside human body|combat|die hard scenario|fbi,R,70000000,2.35,391
dam|flood|money|police|sheriff,R,70000000,2.35,815
blood|body|egg|virus|white blood cell,PG,70000000,2.35,2000
jester|kansas|oz|princess|tornado,PG,70000000,,5000
chinese|computer|cybercrime|hacker|one word title,R,70000000,2.35,11000
captain|pilot|reporter|robot|scientist,PG,70000000,1.85,0
drugs|murder|psychiatrist|scotland yard|sex,R,70000000,2.35,764
cia agent|escape|muslim|prison|ship,R,50000000,2.35,34000
ancient greece|forbidden love|hercules|king|slavery,PG-13,70000000,2.35,12000
analyst|cia|nuclear bomb|nuclear weapons|russia,PG-13,68000000,2.35,0
friendship|graduation|revenge|vampire|werewolf,PG-13,68000000,2.35,29000
partner|running|scepter|surveillance|thief,R,68000000,2.35,0
girl|minion|moon|pyramid|white picket fence,PG,69000000,1.85,31000
bare breasts|breast|loan shark|subway|train,R,68000000,2.35,617
baby|f word|fight|lawyer|marriage,R,68000000,2.35,30000
christian|love|philosophy|prefect|slave,R,70000000,2.35,29000
bowling|rajah|sphinx|spleen|superhero,PG-13,65000000,1.85,0
drugged food|female frontal nudity|male frontal nudity|male nudity|marriage,R,36000000,2.35,10000
cbs|cbs news|research|tobacco|whistleblower,R,68000000,2.35,0
1950s|coast guard|oil tanker|sinking ship|survival,PG-13,,2.35,12000
