director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,language,country,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Len Wiseman,129,235,297,Jonathan Sadowski,Live Free or Die Hard ,13961,Cyril Raffaelli,fbi|hacker|independence day|police|terrorist,http://www.imdb.com/title/tt0337978/?ref_=fn_tt_tt_1,English,USA,110000000,2007,300,7.2,2.35,0
Peter Jackson,171,0,857,Orlando Bloom,The Lord of the Rings: The Fellowship of the Ring ,22342,Billy Boyd,elf|hobbit|middle earth|quest|ring,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,English,New Zealand,93000000,2001,5000,8.8,2.35,21000
Frank Coraci,120,153,447,Steve Coogan,Around the World in 80 Days ,3175,Cécile De France,19th century|around the world|inventor|martial arts|train,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,English,USA,110000000,2004,1000,5.8,2.35,0
Michael Mann,165,0,780,Jada Pinkett Smith,Ali ,14196,Joe Morton,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1,English,USA,107000000,2001,851,6.8,2.35,0
Bo Welch,82,34,434,Kelly Preston,The Cat in the Hat ,2762,Spencer Breslin,based on cult comic book|cat|home alone|imagination|talking cat,http://www.imdb.com/title/tt0312528/?ref_=fn_tt_tt_1,English,USA,109000000,2003,743,3.8,1.85,946
Alex Proyas,115,295,466,Bruce Greenwood,"I, Robot ",12068,Chi McBride,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,http://www.imdb.com/title/tt0343818/?ref_=fn_tt_tt_1,English,USA,120000000,2004,981,7.1,2.35,0
Ridley Scott,194,0,195,Orlando Bloom,Kingdom of Heaven ,19600,Philip Glenister,12th century|crusader|jerusalem|knight|medieval times,http://www.imdb.com/title/tt0320661/?ref_=fn_tt_tt_1,English,USA,130000000,2005,5000,7.2,2.35,0
Rob Minkoff,84,50,692,Nathan Lane,Stuart Little ,3382,Jeffrey Jones,box office hit|cat|first part|mouse|orphanage,http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1,English,Germany,133000000,1999,886,5.9,1.85,0
Ron Clements,97,63,525,Jenifer Lewis,The Princess and the Frog ,2480,Anika Noni Rose,amphibian|dream|frog|frog prince|waitress,http://www.imdb.com/title/tt0780521/?ref_=fn_tt_tt_1,English,USA,105000000,2009,578,7.1,1.85,5000
Ridley Scott,151,0,372,Donald Glover,The Martian ,14831,Benedict Wong,astronaut|international cooperation|left for dead|nasa|space habitat,http://www.imdb.com/title/tt3659388/?ref_=fn_tt_tt_1,English,USA,108000000,2015,801,8.1,2.35,153000
Christopher Barnard,22,0,,,"10,000 B.C.             ",5,,,http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1,,,,,,7.2,,0
Michael Bay,136,0,3000,Steve Buscemi,The Island ,34839,Djimon Hounsou,clone|environment|escape|island|lottery,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1,English,USA,126000000,2005,12000,6.9,2.35,0
Peter Chelsom,104,23,591,Warren Beatty,Town & Country ,3133,Garry Shandling,anniversary|architect|cellist|friend|hardware store,http://www.imdb.com/title/tt0141907/?ref_=fn_tt_tt_1,English,New Line,90000000,2001,631,4.4,1.85,53
Dominic Sena,127,57,3000,Angelina Jolie Pitt,Gone in Sixty Seconds ,29069,Robert Duvall,auto theft|brother|car|theft|thief,http://www.imdb.com/title/tt0187078/?ref_=fn_tt_tt_1,English,USA,90000000,2000,11000,6.5,2.35,0
Ridley Scott,171,0,695,Connie Nielsen,Gladiator ,6521,Oliver Reed,battlefield|blood|combat|gladiator|roman empire,http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1,English,USA,103000000,2000,933,8.5,2.35,21000
Steven Spielberg,145,14000,533,Frank Grillo,Minority Report ,12546,Jessica Capshaw,future|murder|neo noir|washington d.c.|year 2054,http://www.imdb.com/title/tt0181689/?ref_=fn_tt_tt_1,English,USA,102000000,2002,798,7.7,2.35,0
Chris Columbus,174,0,9000,Rupert Grint,Harry Potter and the Chamber of Secrets ,35672,Emma Watson,bildungsroman|flying broom|invisibility cloak|monster|wizardry,http://www.imdb.com/title/tt0295297/?ref_=fn_tt_tt_1,English,UK,100000000,2002,10000,7.4,2.35,0
Martin Campbell,144,258,834,Tobias Menzies,Casino Royale ,9125,Ivana Milicevic,casino|espionage|free running|james bond|terrorist,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,English,UK,150000000,2006,1000,8.0,2.35,0
Tim Burton,119,13000,567,Estella Warren,Planet of the Apes ,2776,Erick Avari,astronaut|cage|planet|wilhelm scream|year 2029,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,English,USA,100000000,2001,658,5.7,2.35,0
James Cameron,153,0,539,Jenette Goldstein,Terminator 2: Judgment Day ,2829,S. Epatha Merkerson,future|liquid metal|multiple cameos|sexy woman|time travel,http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1,English,USA,102000000,1991,604,8.5,2.35,13000
Michael Mann,140,0,1000,Christian Bale,Public Enemies ,64599,Stephen Graham,1930s|bank|celebrity criminal|fbi|public enemy number one,http://www.imdb.com/title/tt1152836/?ref_=fn_tt_tt_1,English,USA,100000000,2009,23000,7.0,2.35,0
Ridley Scott,176,0,561,Ruby Dee,American Gangster ,20354,RZA,death|heroin|popcorn|smuggling|vietnam,http://www.imdb.com/title/tt0765429/?ref_=fn_tt_tt_1,English,USA,100000000,2007,782,7.8,1.85,0
James Cameron,141,0,618,Tia Carrere,True Lies ,4528,Tom Arnold,espionage|secret agent|secret mission|spy|spy film,http://www.imdb.com/title/tt0111503/?ref_=fn_tt_tt_1,English,USA,115000000,1994,1000,7.2,2.35,0
Tony Scott,106,12000,385,Ramon Rodriguez,The Taking of Pelham 1 2 3 ,19906,Michael Rispoli,hijack|hostage|ransom|subway|train,http://www.imdb.com/title/tt1111422/?ref_=fn_tt_tt_1,English,USA,100000000,2009,464,6.4,2.35,0
Paul Weitz,98,80,708,Blythe Danner,Little Fockers ,24082,Teri Polo,birthday|critically bashed|male nurse|nurse|suspicion,http://www.imdb.com/title/tt0970866/?ref_=fn_tt_tt_1,English,USA,100000000,2010,713,5.5,1.85,0
Adam McKay,116,285,107,Will Ferrell,The Other Guys ,20233,Derek Jeter,capitalist|detective|investigation|new york city|police,http://www.imdb.com/title/tt1386588/?ref_=fn_tt_tt_1,English,USA,100000000,2010,8000,6.7,2.35,16000
Chuck Russell,115,55,383,James Coburn,Eraser ,3454,Roma Maffia,assassination attempt|corporate crime|rogue agent|witness|witness protection program,http://www.imdb.com/title/tt0116213/?ref_=fn_tt_tt_1,English,USA,100000000,1996,773,6.1,2.35,0
Quentin Tarantino,165,16000,265,Christoph Waltz,Django Unchained ,40978,Ato Essandoh,dynamite|historically inaccurate|ku klux klan|n word|slavery,http://www.imdb.com/title/tt1853728/?ref_=fn_tt_tt_1,English,USA,100000000,2012,11000,8.5,2.35,199000
Gary Trousdale,91,21,542,Jason Alexander,The Hunchback of Notre Dame ,4842,Bill Fagerbakke,15th century|cathedral|gypsy|paris|victor hugo,http://www.imdb.com/title/tt0116583/?ref_=fn_tt_tt_1,English,USA,100000000,1996,700,6.9,1.78,0
Mark Dindal,78,10,253,Wendie Malick,The Emperor's New Groove ,2039,John Fiedler,antidote|disney|emperor|first part|llama,http://www.imdb.com/title/tt0120917/?ref_=fn_tt_tt_1,English,USA,100000000,2000,452,7.3,1.66,0
Simon West,103,165,13000,Sylvester Stallone,The Expendables 2 ,57881,Bruce Willis,church|hostage|mine|plutonium|revenge,http://www.imdb.com/title/tt1764651/?ref_=fn_tt_tt_1,English,USA,92000000,2012,13000,6.7,2.35,108000
Jon Turteltaub,131,226,341,Armando Riesco,National Treasure ,13679,Annie Parisse,declaration of independence|secret society|treasure|treasure hunt|treasure hunter,http://www.imdb.com/title/tt0368891/?ref_=fn_tt_tt_1,English,USA,100000000,2004,625,6.9,2.35,0
Stefen Fangmeier,104,14,203,Ed Speleers,Eragon ,4487,Gary Lewis,dragon|dragon rider|fictional war|sword and fantasy|teenage hero,http://www.imdb.com/title/tt0449010/?ref_=fn_tt_tt_1,English,USA,100000000,2006,762,5.1,2.35,0
Spike Jonze,101,0,279,Ryan Corr,Where the Wild Things Are ,1738,Max Records,based on children's book|creature|igloo|imagination|king,http://www.imdb.com/title/tt0386117/?ref_=fn_tt_tt_1,English,Germany,100000000,2009,468,6.8,2.35,11000
Joe Wright,111,456,394,Cara Delevingne,Pan ,21393,Nonso Anozie,1940s|child hero|fantasy world|orphan|reference to peter pan,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,English,USA,150000000,2015,548,5.8,2.35,24000
Chris Wedge,102,77,120,Emma Kenney,Epic ,14552,Troy Evans,father daughter relationship|forest|miniature person|shrinking|sword and fantasy,http://www.imdb.com/title/tt0848537/?ref_=fn_tt_tt_1,English,USA,100000000,2013,151,6.7,2.35,17000
Florian Henckel von Donnersmarck,103,207,3000,Angelina Jolie Pitt,The Tourist ,55175,Rufus Sewell,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,English,USA,100000000,2010,11000,6.0,2.35,25000
Peter Hyams,121,0,595,Mark Margolis,End of Days ,3903,Udo Kier,atheist|ex cop|female masturbation|female nudity|lucifer,http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1,English,USA,83000000,1999,1000,5.7,2.35,2000
Edward Zwick,143,380,452,Djimon Hounsou,Blood Diamond ,33160,Stephen Collins,diamond|elephant|fisherman|rebel|sierra leone,http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1,English,Germany,100000000,2006,3000,8.0,2.35,14000
Martin Scorsese,240,17000,4000,Matthew McConaughey,The Wolf of Wall Street ,46057,Jon Favreau,based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker,http://www.imdb.com/title/tt0993846/?ref_=fn_tt_tt_1,English,USA,100000000,2013,11000,8.2,2.35,138000
Joel Schumacher,121,541,680,Rene Auberjonois,Batman Forever ,2880,Debi Mazar,love|necktie|partner|rock music|tuxedo,http://www.imdb.com/title/tt0112462/?ref_=fn_tt_tt_1,English,USA,100000000,1995,710,5.4,1.85,0
Paul Verhoeven,129,719,423,Patrick Muldoon,Starship Troopers ,2031,Seth Gilliam,alien|federation|future|military|planet,http://www.imdb.com/title/tt0120201/?ref_=fn_tt_tt_1,English,USA,105000000,1997,475,7.2,1.85,0
Tom Tykwer,172,670,1000,Jim Sturgess,Cloud Atlas ,22686,Jim Broadbent,composer|future|letter|nonlinear timeline|nursing home,http://www.imdb.com/title/tt1371111/?ref_=fn_tt_tt_1,English,Germany,102000000,2012,5000,7.5,2.35,124000
Zack Snyder,101,0,577,Richard Roxburgh,Legend of the Guardians: The Owls of Ga'Hoole ,4286,Anthony LaPaglia,barn owl|escape|owl|ruler|soldier,http://www.imdb.com/title/tt1219342/?ref_=fn_tt_tt_1,English,USA,80000000,2010,653,7.0,2.35,16000
Pitof,87,26,566,Christopher Heyerdahl,Catwoman ,3144,Alex Borstein,based on cult comic book|bechdel test passed|cat|detective|radical transformation,http://www.imdb.com/title/tt0327554/?ref_=fn_tt_tt_1,English,USA,100000000,2004,825,3.3,2.35,0
Brett Ratner,101,420,467,Rufus Sewell,Hercules ,16235,Ingrid Bolsø Berdal,army|greek mythology|hercules|king|mercenary,http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1,English,USA,100000000,2014,3000,6.0,2.35,21000
Ron Clements,95,63,720,Martin Short,Treasure Planet ,26940,Michael Wincott,alien|cyborg|pirate|planet|treasure,http://www.imdb.com/title/tt0133240/?ref_=fn_tt_tt_1,English,USA,140000000,2002,770,7.1,1.5,0
Brad Silberling,102,52,526,Anna Friel,Land of the Lost ,10552,Bobb'e J. Thompson,human versus dinosaur|lizard|primate|time travel|tyrannosaurus rex,http://www.imdb.com/title/tt0457400/?ref_=fn_tt_tt_1,English,USA,100000000,2009,735,5.4,1.85,0
Patrick Hughes,131,385,11000,Sylvester Stallone,The Expendables 3 ,52610,Harrison Ford,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,http://www.imdb.com/title/tt2333784/?ref_=fn_tt_tt_1,English,USA,90000000,2014,13000,6.1,2.35,56000
Ericson Core,114,19,848,Edgar Ramírez,Point Break ,3962,Delroy Lindo,athlete|extreme sports|fbi|fbi agent|heist,http://www.imdb.com/title/tt2058673/?ref_=fn_tt_tt_1,English,USA,105000000,2015,897,5.3,2.35,37000
Lawrence Guterman,94,6,227,Traylor Howard,Son of the Mask ,1195,Ben Stein,baby|cartoon on tv|cartoonist|dog|mask,http://www.imdb.com/title/tt0362165/?ref_=fn_tt_tt_1,English,USA,84000000,2005,294,2.2,1.85,881
Ron Howard,122,2000,571,Benjamin Walker,In the Heart of the Sea ,28328,Frank Dillane,emaciation|ship|starvation|vomiting|whale,http://www.imdb.com/title/tt1390411/?ref_=fn_tt_tt_1,English,USA,100000000,2015,911,7.0,1.85,27000
Ron Underwood,95,31,683,Randy Quaid,The Adventures of Pluto Nash ,6161,Burt Young,casino|future|laser gun|moon|nightclub,http://www.imdb.com/title/tt0180052/?ref_=fn_tt_tt_1,English,USA,100000000,2002,695,3.8,1.85,416
Paul Greengrass,115,521,95,Sean Huze,Green Zone ,13761,Igal Naor,cia|iraq|iraqi|political military conspiracy|weapon of mass destruction,http://www.imdb.com/title/tt0947810/?ref_=fn_tt_tt_1,English,France,100000000,2010,537,6.9,2.35,0
Steve Martino,88,20,36,Venus Schultheis,The Peanuts Movie ,309,Bill Melendez,dog|girl|imagination|peanuts|red hair,http://www.imdb.com/title/tt2452042/?ref_=fn_tt_tt_1,English,USA,99000000,2015,42,7.2,1.85,33000
David Mamet,110,342,393,Felicity Huffman,The Spanish Prisoner ,1722,Campbell Scott,brother sister relationship|extradition|fbi|japanese tourist|secret,http://www.imdb.com/title/tt0120176/?ref_=fn_tt_tt_1,English,USA,10000000,1997,508,7.3,1.85,578
Stephen Sommers,130,208,591,Brendan Fraser,The Mummy Returns ,15972,Patricia Velasquez,ancient egypt|bracelet|king|scorpion|son,http://www.imdb.com/title/tt0209163/?ref_=fn_tt_tt_1,English,USA,98000000,2001,3000,6.3,2.35,0
Martin Scorsese,216,17000,1000,Liam Neeson,Gangs of New York ,47657,Jim Broadbent,butcher|civil war|gangster|new york city|revenge,http://www.imdb.com/title/tt0217505/?ref_=fn_tt_tt_1,English,USA,100000000,2002,14000,7.5,2.35,0
Yimou Zhang,146,611,28,Ni Ni,The Flowers of War ,23240,Shigeo Kobayashi,abusive stepfather|attempted rape|food shortage|sexual abuse|starving child,http://www.imdb.com/title/tt1410063/?ref_=fn_tt_tt_1,Mandarin,China,94000000,2011,196,7.6,2.35,13000
Ash Brannon,85,9,970,Zooey Deschanel,Surf's Up ,25590,Jon Heder,chicken|competition|island|penguin|surfing,http://www.imdb.com/title/tt0423294/?ref_=fn_tt_tt_1,English,USA,100000000,2007,11000,6.8,1.85,0
Frank Oz,93,0,465,Matthew Broderick,The Stepford Wives ,13748,Roger Bart,community|connecticut|fem bot|tv producer|writer,http://www.imdb.com/title/tt0327162/?ref_=fn_tt_tt_1,English,USA,90000000,2004,2000,5.2,1.85,0
Ridley Scott,152,0,557,Sam Shepard,Black Hawk Down ,4270,Ewen Bremner,army|helicopter|somali|somalia|warlord,http://www.imdb.com/title/tt0265086/?ref_=fn_tt_tt_1,English,USA,92000000,2001,820,7.7,2.35,10000
Jay Roach,85,116,329,Thomas Middleditch,The Campaign ,9271,Katherine LaNasa,campaigning|congressman|north carolina|title at the end|u.s. congressman,http://www.imdb.com/title/tt1790886/?ref_=fn_tt_tt_1,English,USA,95000000,2012,331,6.2,1.85,18000
Luc Besson,126,0,10000,Bruce Willis,The Fifth Element ,39319,Gary Oldman,1910s|alien|artificially created woman|love|taxi driver,http://www.imdb.com/title/tt0119116/?ref_=fn_tt_tt_1,English,France,93000000,1997,13000,7.7,2.35,18000
Michael Patrick King,146,127,722,Liza Minnelli,Sex and the City 2 ,4555,Kristin Davis,abu dhabi|box office hit|muslim|nanny|united arab emirates,http://www.imdb.com/title/tt1261945/?ref_=fn_tt_tt_1,English,USA,100000000,2010,740,4.3,1.85,0
Bibo Bergeron,89,10,442,Rosie Perez,The Road to El Dorado ,3372,Elton John,adventurer|el dorado|gold|high priest|implied sex,http://www.imdb.com/title/tt0138749/?ref_=fn_tt_tt_1,English,USA,95000000,2000,919,6.9,1.85,0
Steve Martino,88,20,916,Josh Gad,Ice Age: Continental Drift ,25354,Drake,acorn|herd|iceberg|ocean|pirate,http://www.imdb.com/title/tt1667889/?ref_=fn_tt_tt_1,English,USA,95000000,2012,1000,6.6,2.35,14000
Kenneth Branagh,105,0,502,Derek Jacobi,Cinderella ,4671,Lily James,dress|duke|fairy godmother|fairy tale|pumpkin,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,English,USA,95000000,2015,520,7.0,2.35,56000
Peter Jackson,135,0,310,AJ Michalka,The Lovely Bones ,2370,Tom McCarthy,1970s|afterlife|heaven|pedophile|rape,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,English,USA,65000000,2009,560,6.7,2.35,16000
Andrew Stanton,100,475,799,Stephen Root,Finding Nemo ,5641,Brad Garrett,great barrier reef|protective father|separation from family|shark|short term memory loss,http://www.imdb.com/title/tt0266543/?ref_=fn_tt_tt_1,English,USA,94000000,2003,939,8.2,1.85,11000
Peter Jackson,192,0,416,Billy Boyd,The Lord of the Rings: The Return of the King ,6434,Bernard Hill,battle|epic|king|orc|ring,http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1,English,USA,94000000,2003,857,8.9,2.35,16000
Peter Jackson,172,0,857,Orlando Bloom,The Lord of the Rings: The Two Towers ,23052,Billy Boyd,epic|evil wizard|middle earth|ring|wizard,http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1,English,USA,94000000,2002,5000,8.7,2.35,10000
Sergey Bodrov,102,44,766,Djimon Hounsou,Seventh Son ,17098,Olivia Williams,apprentice|demon|exorcism|master apprentice relationship|witch,http://www.imdb.com/title/tt1121096/?ref_=fn_tt_tt_1,English,USA,95000000,2014,3000,5.5,2.35,16000
Simon West,100,165,240,Noah Taylor,Lara Croft: Tomb Raider ,12150,Chris Barrie,illuminati|planetary alignment|time|tomb|tomb raider,http://www.imdb.com/title/tt0146316/?ref_=fn_tt_tt_1,English,USA,115000000,2001,509,5.7,2.35,0
Wally Pfister,119,0,968,Morgan Freeman,Transcendence ,54031,Clifton Collins Jr.,artificial intelligence|consciousness|power outage|scientist|technology,http://www.imdb.com/title/tt2209764/?ref_=fn_tt_tt_1,English,UK,100000000,2014,11000,6.3,2.35,37000
Joe Johnston,92,394,527,Trevor Morgan,Jurassic Park III ,2574,Alessandro Nivola,dinosaur|island|jurassic park|paleontologist|search,http://www.imdb.com/title/tt0163025/?ref_=fn_tt_tt_1,English,USA,93000000,2001,595,5.9,1.85,0
Rupert Wyatt,105,81,779,David Oyelowo,Rise of the Planet of the Apes ,13118,Tyler Labine,alzheimer's disease|ape|chimpanzee|fire|when animals attack,http://www.imdb.com/title/tt1318514/?ref_=fn_tt_tt_1,English,USA,93000000,2011,1000,7.6,2.35,47000
Mark Waters,107,70,330,Tod Fennell,The Spiderwick Chronicles ,1614,Joan Plowright,actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,http://www.imdb.com/title/tt0416236/?ref_=fn_tt_tt_1,English,USA,90000000,2008,419,6.6,2.35,0
John Moore,101,212,476,Cole Hauser,A Good Day to Die Hard ,15481,Megalyn Echikunwoke,bomb|cia|courthouse|escape|russian,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,English,USA,92000000,2013,787,5.3,1.85,66000
John Lee Hancock,137,102,877,Marc Blucas,The Alamo ,5780,Jordi Mollà,army|dictator|general|texan|texas,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1,English,USA,107000000,2004,973,6.0,2.35,701
Brad Bird,115,663,55,Craig T. Nelson,The Incredibles ,1901,Lou Romano,hero|island|lawsuit|secret|superhero,http://www.imdb.com/title/tt0317705/?ref_=fn_tt_tt_1,English,USA,92000000,2004,723,8.0,2.35,0
Renny Harlin,124,212,810,Frank Langella,Cutthroat Island ,3611,Matthew Modine,latin|pirate|pirate ship|treasure|treasure map,http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1,English,USA,98000000,1995,903,5.6,2.35,1000
Chris Columbus,118,0,1000,Rosario Dawson,Percy Jackson & the Olympians: The Lightning Thief ,14024,Steve Coogan,greek|lightning|lightning bolt|poseidon|teenager,http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1,English,UK,95000000,2010,3000,5.9,2.35,9000
Barry Sonnenfeld,98,188,602,Rip Torn,Men in Black ,12998,Linda Fiorentino,alien|box office hit|flying saucer|laser gun|wisecrack humor,http://www.imdb.com/title/tt0119654/?ref_=fn_tt_tt_1,English,USA,90000000,1997,826,7.3,1.85,0
John Lasseter,82,487,967,John Ratzenberger,Toy Story 2 ,21275,Wayne Knight,collector|dog|friend|rescue|toy,http://www.imdb.com/title/tt0120363/?ref_=fn_tt_tt_1,English,USA,90000000,1999,1000,7.9,1.85,0
Tony Scott,98,12000,1000,Rosario Dawson,Unstoppable ,25780,Ethan Suplee,freight train|race against time|runaway train|train|train engineer,http://www.imdb.com/title/tt0477080/?ref_=fn_tt_tt_1,English,USA,100000000,2010,3000,6.8,2.35,18000
Brett Ratner,90,420,141,John Lone,Rush Hour 2 ,664,Harris Yulin,boat|gang|hong kong|triad|vacation,http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1,English,USA,90000000,2001,165,6.6,2.35,0
Robert Zemeckis,130,0,568,Amber Valletta,What Lies Beneath ,12890,Miranda Otto,ghost|haunted house|research|secret|vermont,http://www.imdb.com/title/tt0161081/?ref_=fn_tt_tt_1,English,USA,100000000,2000,627,6.6,2.35,0
Phil Lord,90,97,56,Bobb'e J. Thompson,Cloudy with a Chance of Meatballs ,1227,Al Roker,food|giant food|mayor|sardine|weather,http://www.imdb.com/title/tt0844471/?ref_=fn_tt_tt_1,English,USA,100000000,2009,526,7.0,2.35,0
Carlos Saldanha,94,107,117,Maile Flanagan,Ice Age: Dawn of the Dinosaurs ,1258,Kelly Keaton,egg|lost world|rescue|squirrel|weasel,http://www.imdb.com/title/tt1080016/?ref_=fn_tt_tt_1,English,USA,90000000,2009,256,7.0,1.85,0
Ben Stiller,114,0,423,Adrian Martinez,The Secret Life of Walter Mitty ,5095,Joey Slotnick,daydream|life magazine|magazine|photographer|snow leopard,http://www.imdb.com/title/tt0359950/?ref_=fn_tt_tt_1,English,USA,90000000,2013,806,7.3,2.35,70000
McG,94,368,466,LL Cool J,Charlie's Angels ,15419,Kelly Lynch,booty shake|box office hit|duct tape over mouth|first part|martial arts,http://www.imdb.com/title/tt0160127/?ref_=fn_tt_tt_1,English,USA,92000000,2000,1000,5.5,2.35,0
Martin Scorsese,151,17000,1000,Matt Damon,The Departed ,45648,Ray Winstone,boston|mole|police|undercover|undercover cop,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,English,USA,90000000,2006,13000,8.5,2.35,29000
Tony Bancroft,88,7,484,Harvey Fierstein,Mulan ,4478,June Foray,based on poem|based on true story|china|one word title|the huns,http://www.imdb.com/title/tt0120762/?ref_=fn_tt_tt_1,English,USA,90000000,1998,500,7.5,1.66,12000
Ben Stiller,121,0,918,Steve Coogan,Tropic Thunder ,23484,Brandon T. Jackson,film director|parody|spoof|vietnam|written and directed by cast member,http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1,English,USA,92000000,2008,1000,7.0,2.35,0
David Fincher,158,21000,585,Goran Visnjic,The Girl with the Dragon Tattoo ,20388,Joely Richardson,computer hacker|hacker|investigation|journalist|punk,http://www.imdb.com/title/tt1568346/?ref_=fn_tt_tt_1,English,USA,90000000,2011,1000,7.8,2.35,54000
John McTiernan,128,323,489,Aldis Hodge,Die Hard with a Vengeance ,14274,Kevin Chamberlin,bomb|detective|new york city|police|terrorist,http://www.imdb.com/title/tt0112864/?ref_=fn_tt_tt_1,English,USA,90000000,1995,559,7.6,2.35,0
Guy Ritchie,128,0,727,Eddie Marsan,Sherlock Holmes ,23996,Robert Maillet,black magic|bridge construction|professor moriarty|scotland yard inspector|sherlock holmes,http://www.imdb.com/title/tt0988045/?ref_=fn_tt_tt_1,English,USA,90000000,2009,979,7.6,1.85,20000
