director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,movie_title,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,budget,movie_facebook_likes
16,John Gallagher Jr.,14000,71897215,10 Cloverfield Lane ,126893,Sumalee Montano,alien|bunker|car crash|kidnapping|minimal cast,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,English,15000000,33000
79,Steve-O,608,64267897,Jackass: The Movie ,67992,Chris Pontius,alligator|golf|japan|panda|stunt,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,327,English,5000000,0
26,Amiah Miller,2000,56536016,Lights Out ,13523,Gabriel Bateman,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,95,English,4900000,0
24,Sprague Grayden,581,104007828,Paranormal Activity 3 ,76828,Christopher Nicholas Smith,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,314,English,5000000,24000
10,Shelley Hennig,852,50820940,Ouija ,31915,Daren Kagasoff,death of girlfriend|funeral|ghost|ouija|spirit,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,159,English,5000000,18000
55,Heather Langenkamp,506,44793200,A Nightmare on Elm Street 3: Dream Warriors ,49820,Jennifer Rubin,dream|freddy krueger|killer|nightmare|springwood ohio,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,English,4500000,0
0,Allison Tolman,1000,43771291,The Gift ,79916,Wendell Pierce,compulsive liar|fired from a job|gift|rape|substance abuse,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,English,5000000,15000
399,Jessica Lindsey,399,44456509,Instructions Not Included ,22105,Hugo Stiglitz,father daughter relationship,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81,Spanish,5000000,14000
24,Brendon Eggertsen,235,53884821,Paranormal Activity 4 ,51204,Alisha Boe,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,247,English,5000000,26000
28,Jean Simmons,726,36000000,The Robe ,6359,Victor Mature,box office hit|crucifixion|nightmare|palestine|robe,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,English,5000000,0
688,Herbert Lom,462,,The Return of the Pink Panther ,19596,Catherine Schell,clouseau|diamond|panther|pink|pink panther,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73,English,5000000,620
54,Tom Arnold,40000,34872293,Freddy's Dead: The Final Nightmare ,30765,Yaphet Kotto,dark comedy|dream|freddy krueger|nightmare|serial murder,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,252,English,8500000,963
260,Bruce Dern,9000,34468224,Monster ,105568,Pruitt Taylor Vince,beach|female criminal|hooker|lesbian|prostitute,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,533,English,4500000,0
130,Robert J. Wilke,617,,"20,000 Leagues Under the Sea ",22123,Paul Lukas,captain|expedition|sea|submarine|whale,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,English,5000000,0
52,Gloria Sandoval,510,32453345,Paranormal Activity: The Marked Ones ,31791,Molly Ephraim,apartment|blood|demonic possession|neighbor|pentagram,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,English,5000000,10000
0,Anne Bancroft,12000,,The Elephant Man ,161972,Dexter Fletcher,curiosity|exploitation|freak|hospital|physical deformity,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,English,5000000,9000
212,Jennifer Garner,11000,27296514,Dallas Buyers Club ,326494,Denis O'Hare,drugs|fda|gay community|hiv|homophobia,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340,English,5000000,65000
26,Mark Duplass,10000,25799043,The Lazarus Effect ,28513,Donald Glover,electrocuted|experiment|hell|serum|university,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,126,English,3300000,0
22000,Thomas Lennon,716,25530884,Memento ,845580,Jorja Fox,flashback|memory|murder|short term memory|telephone,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,English,9000000,40000
59,Rory Cochrane,972,27689474,Oculus ,85688,Garrett Ryan,home office|mirror|released from a mental hospital|trauma|video camera,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,339,English,5000000,23000
0,Jason Mewes,1000,24138847,Clerks II ,114797,Brian O'Halloran,fast food|fast food restaurant|new jersey|quick stop|restaurant,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,472,English,5000000,0
335,Gary Lewis,838,21994911,Billy Elliot ,98354,Jamie Draven,audition|ballet|boxing|miner|miners strike,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,433,English,5000000,0
214,Liam James,7000,21501098,The Way Way Back ,115813,Jim Rash,awkward boy|shy kid|summer|vacation|water park,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,216,English,5000000,22000
0,Tisha Campbell-Martin,901,19281235,House Party 2 ,3571,Helen Martin,college|misogyny|money|new friend|party,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,English,5000000,232
18,Jack Thompson,492,,The Man from Snowy River ,5894,Tom Burlinson,australia|brumby|ranch|stallion|twin,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,56,English,3500000,0
0,Constance Shulman,2000,19421271,Doug's 1st Movie ,2448,Alice Playten,dance|friend|monster|reference to batman|valentine,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,18,English,5000000,122
3000,Todd Allen,205,20733485,The Apostle ,11622,June Carter Cash,church|louisiana|minister|preacher|texas,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,157,English,5000000,1000
24,Xander Berkeley,977,,Mommie Dearest ,10564,Diana Scarwid,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,161,English,5000000,0
37,Adam Scott,11000,24809547,Our Idiot Brother ,74875,Steve Coogan,art model|farmer|jail|nude model|three sisters,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,115,English,5000000,11000
81,Tony Curran,882,19097994,Race ,11744,David Kross,1930s|athlete|nazi germany|olympics|track and field,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,49,English,,0
0,Monica Calhoun,1000,23031390,The Players Club ,4345,Chrystale Wilson,catfight|dominatrix|rape|spanking|stripper,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26,English,4500000,575
596,Andrew Keegan,1000,16017403,O ,17333,John Heard,basketball|basketball player|boarding school|love|shakespeare's othello,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153,English,5000000,0
66,Edwin Hodge,1000,21197315,"As Above, So Below ",49948,Perdita Weeks,archeologist|catacomb|found footage|paris france|philosopher's stone,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,211,English,5000000,14000
23,Cameron Mills,1000,17382982,Addicted ,5975,Sharon Leal,adultery|attraction|lust|obsession|temptation,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,Spanish,5000000,0
148,Lynn Whitfield,2000,14821531,Eve's Bayou ,6915,Diahann Carroll,doctor|louisiana|secret|title directed by female|witchcraft,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,English,6000000,599
25,Hunter Parrish,17000,18656400,Still Alice ,86077,Seth Gilliam,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,195,English,5000000,45000
345,Peter Ustinov,535,,The Egyptian ,2498,Jean Simmons,afterlife|egypt|pharaoh|princess|pyramid,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,67,English,5000000,376
6,Lindsay Wagner,13000,,Nighthawks ,12519,Persis Khambatta,bomb|new york city|partner|shooting|terrorist,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,107,English,5000000,0
6,Peter Mark Richman,935,14343976,Friday the 13th Part VIII: Jason Takes Manhattan ,22961,Scott Reeves,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,291,English,5000000,1000
38,Louis Mandylor,567,241437427,My Big Fat Greek Wedding ,102071,Lainie Kazan,baptism|greek|greek restaurant|prejudice|travel agency,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,English,5000000,5000
520,Heather Morris,11000,14123773,Spring Breakers ,108683,Rachel Korine,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,561,English,5000000,25000
13,Kim Darby,742,15126948,Halloween: The Curse of Michael Myers ,20815,Mitchell Ryan,halloween|michael myers|nudity|returning character with different actor|slasher flick,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,335,English,5000000,0
0,Daniel Giménez Cacho,269,13622333,Y Tu Mamá También ,91377,María Aura,beach|cleaning a swimming pool|male male kiss|mexico|on the road,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,385,Spanish,2000000,0
1000,Dylan Moran,605,13464388,Shaun of the Dead ,395921,Rafe Spall,british horror|pub|record collection|zombie|zombie apocalypse,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,859,English,4000000,19000
7,Randy Wayne,1000,13350177,The Haunting of Molly Hartley ,7904,Haley Bennett,18th birthday|birthday|community center|resurrection|teenager,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,113,English,5000000,562
407,Clifton James,11000,13269963,Lone Star ,23202,Miriam Colon,father son relationship|interracial relationship|neo western|sheriff|texas,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,173,English,5000000,0
27,Kathleen Kinmont,742,17768000,Halloween 4: The Return of Michael Myers ,29629,Ellie Cornell,halloween|michael myers|murder|niece|october,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,374,English,5000000,0
17,Deborah Foreman,690,12947763,April Fool's Day ,10624,Clayton Rohner,april fool's day|island|mansion|psycho|secret,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,125,English,5000000,0
272,Daniel Stern,801,14100000,Diner ,14995,Ellen Barkin,baltimore colts|diner|marriage|salesman|wedding,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87,English,5000000,0
8,William Sanderson,926,12200000,Lone Wolf McQuade ,7973,Robert Beltran,drugs|martial arts|texas|texas ranger|weapon,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,65,English,5000000,0
17,Ryan Robbins,520,17683670,Apollo 18 ,47227,Andrew Airlie,cosmonaut|footprint|found footage|moon|secret mission,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,323,English,5000000,0
