num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
158,126,385,Kim Dickens,638,Frances Fisher,56665,2282,0,R,15000000,2003,7.6,1.85,0
96,128,1000,Josh Charles,49000,Robin Williams,277451,51609,0,PG,16400000,1989,8.0,1.85,23000
84,113,481,Mike Starr,879,Lauren Holly,288451,2985,2,PG-13,16000000,1994,7.3,1.85,0
114,89,62,Gretchen Palmer,227,Bruno Kirby,149108,485,0,R,16000000,1989,7.6,1.85,0
79,129,359,James Mason,844,Charlotte Rampling,26310,2330,0,R,16000000,1982,7.8,1.85,0
103,94,486,Rachel Blanchard,1000,Ethan Suplee,132963,3889,5,R,15600000,2000,6.5,1.85,0
67,106,35,Ron Lester,23000,Paul Walker,35312,23369,0,R,16000000,1999,6.4,1.85,0
576,100,628,Ed Lauter,996,Bérénice Bejo,190030,4606,0,PG-13,15000000,2011,8.0,1.33,30000
178,89,389,Atticus Shaffer,10000,Gary Oldman,42182,12183,1,PG-13,16000000,2009,4.8,2.35,0
487,94,559,Bill Murray,13000,Bruce Willis,237848,27911,2,PG-13,16000000,2012,7.8,1.85,71000
196,83,597,Jordana Brewster,20000,Matt Bomer,56269,26402,0,R,16000000,2006,5.9,1.85,0
24,111,107,Vincent Walsh,241,Clive Russell,1449,824,0,PG-13,18500000,2016,5.4,2.35,0
56,80,499,Kenan Thompson,911,Jennifer Esposito,18254,3058,2,PG,16000000,2002,3.3,1.85,1000
406,112,250,Maribel Verdú,634,Ivana Baquero,467234,1322,0,R,13500000,2006,8.2,1.85,27000
3,60,762,Jessika Van,1000,Joel Courtney,7210,4561,0,,,,6.6,16.0,0
51,94,635,Angus T. Jones,1000,Leslie Bibb,7392,4194,0,PG,35000000,2001,5.4,1.85,393
41,130,522,Snoop Dogg,939,Mo'Nique,9566,3107,2,R,16000000,2001,6.4,1.85,1000
138,91,638,Danneel Ackles,3000,Leighton Meester,29147,5349,1,PG-13,16000000,2011,4.8,2.35,0
78,91,459,Erik Per Sullivan,861,Brittany Daniel,41664,2543,0,PG-13,17700000,2001,5.9,1.85,0
40,110,51,Alonna Shaw,633,Bolo Yeung,28736,874,2,R,15000000,1991,5.5,1.85,0
285,121,108,Joe Cornish,175,Bill Bailey,352695,485,1,R,8000000,2007,7.9,2.35,17000
124,114,650,Debi Mazar,851,Jada Pinkett Smith,16582,3485,4,PG-13,16500000,2008,4.9,1.85,0
275,96,252,Kevin Dunn,19000,Scarlett Johansson,198111,19894,0,PG-13,15500000,2008,7.2,1.85,14000
34,270,292,Michael Nyqvist,908,Gustaf Skarsgård,18041,2762,1,,25000000,2007,6.6,2.35,0
81,100,851,Jay Hernandez,15000,Mila Kunis,4654,18786,9,R,20000000,2016,6.7,,18000
67,94,95,Amanda Detmer,3000,Alyson Hannigan,13661,3451,3,PG-13,16000000,2000,5.3,1.85,487
103,109,450,Cole Hauser,835,Patrick Fugit,25549,2572,0,PG-13,16000000,2002,7.2,1.85,0
300,107,271,Amy Sedaris,24000,J.K. Simmons,92712,24805,1,R,16000000,2009,5.1,1.85,6000
84,96,324,Jamie Lee Curtis,8000,Will Ferrell,11768,11078,0,PG-13,16000000,2000,5.6,1.85,492
64,88,233,Don Pardo,854,Mike Starr,24256,1653,0,PG,16000000,1987,7.6,1.85,0
169,110,734,Lea Thompson,12000,Nicolas Cage,24854,15044,1,PG-13,16000000,2014,3.1,2.35,31000
158,113,238,Lena Olin,21000,Robert Pattinson,113963,22088,0,PG-13,16000000,2010,7.2,1.85,24000
46,101,258,Alexandra Holden,812,Dylan Baker,8215,1882,1,PG-13,16000000,2003,5.7,1.85,371
15,105,384,Alyson Hannigan,11000,Jon Lovitz,21079,14677,0,PG-13,20000000,1988,5.2,1.85,818
68,125,372,Tom Hanks,18000,Denzel Washington,178731,33865,2,PG-13,26000000,1993,7.7,1.85,0
111,100,363,Craig Bierko,599,Gretchen Mol,51996,2389,0,R,16000000,1999,7.0,2.35,0
21,97,578,Vincent Pastore,1000,Farrah Fawcett,2385,3835,1,PG-13,,2004,3.6,1.85,177
42,108,316,Karl Malden,940,Martin Landau,5237,1945,7,PG,16000000,1979,4.9,2.35,392
65,112,215,Marian Seldes,555,Lochlyn Munro,8217,1227,0,R,15000000,2000,6.0,1.85,573
109,112,642,Debra Messing,11000,Woody Allen,21613,12766,0,PG-13,16000000,2002,6.6,1.85,762
42,95,322,Lin Shaye,1000,Natasha Lyonne,30682,2518,0,R,15000000,1999,6.8,2.35,0
112,110,186,Jon Polito,1000,Christopher Lambert,98629,1852,1,R,16000000,1986,7.2,1.85,0
146,118,295,Omar Benson Miller,1000,Alison Lohman,24104,1889,1,R,16000000,2007,7.2,2.35,0
36,97,465,Annabeth Gish,503,Charles Napier,8687,3100,1,PG-13,16000000,1997,2.8,1.85,0
230,120,310,Dagmara Dominczyk,10000,Jeremy Renner,20616,11019,3,R,16000000,2013,6.6,2.35,0
64,135,258,Natasha Richardson,898,Vanessa Redgrave,5321,2096,0,PG-13,16000000,2005,6.7,1.66,356
393,101,888,Spencer Wilding,3000,Rosario Dawson,92640,5056,0,R,20000000,2013,7.0,2.35,23000
75,92,618,Snoop Dogg,939,Mo'Nique,18271,3935,9,R,16000000,2004,4.4,1.85,0
78,106,27,Kad Merad,172,Dany Boon,30587,329,2,,11000000,2008,7.1,2.35,3000
67,92,227,Jodie Whittaker,10000,Viggo Mortensen,5664,11091,1,R,15000000,2008,6.2,2.35,921
216,161,116,Emily Alyn Lind,488,Paz de la Huerta,45449,943,0,Not Rated,13000000,2009,7.3,2.35,23000
54,92,613,Justin Kirk,1000,Taylor Negron,7444,3086,2,PG-13,16000000,2012,5.1,1.78,0
84,93,805,Sarah Roemer,1000,Cary-Hiroyuki Tagawa,155249,4453,0,G,16000000,2009,8.1,1.85,115000
69,110,44,Tanya van Graan,5000,Orlando Bloom,12817,5273,0,R,16000000,2013,6.7,2.35,0
208,122,567,Tim Blake Nelson,883,Barry Corbin,21370,2896,1,R,16000000,2014,6.6,2.35,0
32,91,574,Jenifer Lewis,890,Vivica A. Fox,5312,3104,3,PG-13,15600000,2002,4.5,1.85,939
20,45,15,Trond Fausa,422,Steven Van Zandt,19164,537,0,TV-MA,34000000,,8.1,16.0,16000
78,115,125,Marie-Josée Croze,232,David Alpay,8624,699,1,R,,2002,6.6,1.66,824
21,94,518,Jake Lloyd,844,Bruce Dern,1033,3583,0,PG,,2001,6.5,2.35,282
40,93,922,LL Cool J,1000,Mekhi Phifer,3299,4329,0,R,15500000,2005,5.9,1.85,191
40,94,17,Ryôko Hirosue,235,Carole Bouquet,29392,303,1,R,15300000,2001,6.6,2.35,0
251,95,102,Gregg Henry,499,Dustin Milligan,61912,1120,0,R,15500000,2006,6.5,1.85,0
94,105,383,Ronny Cox,901,Judge Reinhold,126464,3464,1,R,14000000,1984,7.3,1.85,0
102,103,925,Devin Ratray,3000,Macaulay Culkin,311075,7521,5,PG,18000000,1990,7.5,1.85,20000
21,102,801,Ted Danson,19000,Tom Selleck,36918,21499,4,PG,11000000,1987,5.9,1.85,3000
94,116,481,Sydney Pollack,13000,Bill Murray,77366,14701,1,PG,22000000,1982,7.4,2.35,0
173,110,555,Tom Skerritt,10000,Tom Cruise,219171,13069,2,PG,15000000,1986,6.9,1.33,19000
287,120,5,Pei-Pei Cheng,103,Chen Chang,217740,129,3,PG-13,15000000,2000,7.9,2.35,0
176,122,158,Peter Gallagher,18000,Kevin Spacey,822500,19078,0,R,15000000,1999,8.4,2.35,22000
479,118,520,Jennifer Ehle,14000,Colin Firth,503631,15732,0,R,15000000,2010,8.0,1.85,64000
27,107,247,Tony Jay,742,Kelly Preston,87538,2151,1,PG,15000000,1988,6.0,1.85,0
20,45,260,Bobby Campo,460,Bex Taylor-Klaus,18058,2380,0,TV-14,,,7.3,16.0,0
60,102,882,Eddie Redmayne,17000,Kristen Stewart,6723,30978,1,PG-13,15500000,2008,6.8,2.35,1000
70,154,271,Rae Dawn Chong,852,Oprah Winfrey,60988,2592,0,PG-13,15000000,1985,7.8,1.85,6000
43,103,13,Ji-won Ha,94,Nicole Dionne,2659,213,2,R,,2009,5.7,2.35,558
1,141,635,Ayelet Zurer,11000,Morgan Freeman,62,13390,2,PG-13,100000000,2016,6.1,2.35,0
454,114,305,Rory Kinnear,19000,Benedict Cumberbatch,467613,20295,1,PG-13,14000000,2014,8.1,2.35,165000
25,109,271,Albert Brooks,1000,Eileen Brennan,18140,2419,1,R,10000000,1980,6.1,1.85,855
46,124,572,Beverly D'Angelo,874,Sissy Spacek,12974,2667,0,PG,,1980,7.5,1.85,0
111,94,569,Zachary Gordon,17000,Chloë Grace Moretz,32002,20154,1,PG,15000000,2010,6.2,1.85,0
393,100,250,Megan Charpentier,1000,Javier Botet,134869,1949,1,PG-13,20000000,2013,6.2,1.85,57000
318,101,598,Donald Pleasence,2000,Jamie Lee Curtis,157857,4400,0,R,300000,1978,7.9,2.35,12000
55,98,624,Randy Quaid,816,Beverly D'Angelo,71183,3617,1,R,15000000,1983,7.4,1.85,0
157,102,27,Georgina Cates,925,Jackson Nicoll,77724,1018,0,R,15000000,2013,6.6,1.85,26000
280,94,39,Sylvia Syms,326,Roger Allam,85333,486,0,PG-13,9800000,2006,7.3,1.85,0
109,92,217,Jeffrey Jones,925,Catherine O'Hara,189413,1953,3,PG,15000000,1988,7.5,1.85,15000
41,113,607,Tasha Smith,2000,Michael Jai White,9811,6510,8,PG-13,15000000,2007,5.6,1.85,1000
27,115,902,Kirsten Dunst,23000,Christian Bale,36624,29370,4,PG,15000000,1994,7.3,1.85,0
462,95,259,Roger Allam,11000,Daniel Radcliffe,139749,11946,0,PG-13,17000000,2012,6.4,2.35,29000
152,87,383,Tessa Thompson,1000,Madeline Carroll,34711,2452,0,PG-13,15000000,2006,5.0,2.35,0
69,88,799,Donald Faison,934,Frankie Muniz,29008,3707,1,PG,15000000,2002,5.4,1.85,896
140,183,652,Meryl Streep,22000,Robert De Niro,232577,34025,2,R,15000000,1978,8.2,2.35,11000
130,97,957,Kirsten Dunst,22000,Robert De Niro,67604,29252,0,R,15000000,1997,7.1,1.85,12000
66,94,566,Adam Lamberg,925,Clayton Snyder,27580,3423,1,PG,17000000,2003,5.3,2.35,0
238,112,874,Harold Perrineau,12000,Dwayne Johnson,64747,15800,1,PG-13,15000000,2013,6.5,2.35,12000
198,98,562,Conchata Ferrell,3000,Adam Scott,29867,4567,0,PG-13,15000000,2015,6.2,2.35,27000
154,104,1000,Salma Hayek,4000,Jordana Brewster,92074,12170,1,R,15000000,1998,6.4,1.85,0
19,118,2,Virginia Capers,90,Rae'Ven Kelly,13442,114,0,R,,1993,7.2,1.85,0
131,120,1000,Sylvester Stallone,22000,Robert De Niro,69576,40117,3,R,10000000,1997,6.9,1.85,2000
97,99,971,JoAnna Garcia Swisher,11000,Chris Evans,80305,15369,0,R,16000000,2001,5.7,1.85,0
355,109,953,Anna Kendrick,15000,Jake Gyllenhaal,181025,27788,2,R,7000000,2012,7.7,1.85,38000
138,105,13000,Bradley Cooper,15000,Emma Stone,39782,44037,1,PG-13,37000000,2015,5.4,1.85,11000
102,106,883,Leslie Bibb,23000,Paul Walker,26846,26652,0,PG-13,15000000,2000,5.6,1.85,0
419,123,149,Emily Watson,13000,Eddie Redmayne,265507,14100,0,PG-13,15000000,2014,7.7,2.35,90000
37,86,685,Regina Hall,833,Greg Grunberg,15939,4435,3,PG-13,16000000,2003,5.1,2.35,0
78,120,944,James Frain,20000,Natalie Portman,27044,22383,2,PG-13,15000000,2000,6.8,1.85,0
181,227,87,José Ferrer,607,Claude Rains,192775,1076,8,PG,15000000,1962,8.4,2.2,11000
220,119,593,Tyler Mane,908,Scout Taylor-Compton,36372,3226,0,R,15000000,2009,4.9,1.85,3000
349,115,612,Kevin Rankin,2000,Michiel Huisman,86664,4896,1,R,15000000,2014,7.1,2.35,38000
241,114,616,Monica Potter,956,Tony Goldwyn,67822,3861,0,R,15000000,2009,6.6,1.85,0
103,90,458,Debra Messing,1000,Jack Davenport,38248,2666,0,PG-13,15000000,2005,6.1,1.85,0
151,94,731,Thomas Ian Nicholas,2000,Jamie Lee Curtis,26905,5440,5,R,15000000,2002,4.1,2.35,0
344,106,850,Jason Flemyng,14000,Liam Neeson,229687,18003,0,PG-13,125000000,2010,5.8,2.35,15000
185,98,594,Carol Kane,18000,Robin Wright,294163,20060,0,PG,16000000,1987,8.1,1.85,33000
112,126,697,Jurnee Smollett-Bell,18000,Denzel Washington,47626,22745,1,PG-13,15000000,2007,7.6,2.35,0
676,100,228,Albert Brooks,33000,Ryan Gosling,431578,34337,0,R,15000000,2011,7.8,2.35,81000
74,89,231,Carol Kane,811,Adam Garcia,23408,2167,8,PG,15000000,2004,4.6,1.85,810
65,111,106,Tim Daly,818,Liam Aiken,15582,1450,0,R,15000000,1998,6.0,1.85,849
274,100,306,Harold Perrineau,10000,Jeremy Renner,212167,11471,1,R,15000000,2007,7.0,1.85,0
50,115,100,Matthew Daddario,116,Jessie T. Usher,12596,525,0,PG,15000000,2014,6.7,1.85,0
96,106,649,Luke Benward,907,Cicely Tyson,8427,3462,5,PG,14000000,2005,6.4,1.85,1000
68,124,865,Sanaa Lathan,1000,Alfre Woodard,14322,5135,0,PG-13,15000000,2000,7.2,1.85,0
111,107,141,Michael Cudlitz,893,Minnie Driver,73347,2044,1,R,15000000,1997,7.4,1.85,0
128,99,628,Katy Mixon,14000,Bradley Cooper,33088,16461,3,PG-13,15000000,2009,4.8,1.85,0
160,90,162,Erica Leerhsen,193,Kim Director,28964,608,0,R,15000000,2000,4.0,1.85,949
93,101,266,Rachel True,838,Christine Taylor,57140,1812,0,R,15000000,1996,6.2,1.85,6000
278,119,400,Mark Gatiss,19000,Scarlett Johansson,166269,20391,3,R,15000000,2005,7.7,1.85,0
81,103,125,Hutch Dano,512,Sierra McCormick,13874,1002,2,G,15000000,2010,6.7,2.35,0
58,134,258,Peter Vaughan,12000,Anthony Hopkins,45703,12749,1,PG,11500000,1993,7.9,2.35,0
153,155,170,Nicole Ari Parker,3000,Don Cheadle,189032,3677,15,R,15000000,1997,7.9,2.35,0
25,94,232,Rosanna Arquette,1000,Kieran Culkin,17074,2210,0,R,15000000,1993,5.5,1.85,466
46,95,461,Danny Pino,1000,Alison Lohman,6095,3845,0,PG,15000000,2006,6.2,2.35,1000
161,89,399,Daniella Alonso,919,Jeff Kober,49721,2559,0,R,15000000,2007,5.1,2.35,0
108,97,579,Joey Lawrence,912,Loretta Devine,13048,2682,2,R,14000000,2000,4.1,2.35,243
69,90,613,Sissy Spacek,882,William Hurt,17983,2661,2,PG,15000000,2002,6.7,2.35,0
78,92,129,Firass Dirani,472,Kelly Carlson,27486,1045,1,PG-13,20000000,2006,4.7,1.85,0
129,100,415,Will Forte,826,Nia Long,15385,2958,2,R,15000000,2016,6.4,2.35,0
135,117,461,Cinda McCain,3000,Leighton Meester,14814,4204,4,PG-13,15000000,2010,6.3,2.35,0
96,84,918,Ethan Embry,989,Bruce Greenwood,17328,4660,3,R,15000000,1998,5.5,1.85,673
417,140,619,Ben Mendelsohn,33000,Ryan Gosling,187170,34413,3,R,15000000,2012,7.3,2.35,47000
172,108,537,Akie Kotabe,775,Luke Bracey,50056,3033,2,R,15000000,2014,6.3,2.35,0
88,109,159,Patrick Bergin,471,Jason Priestley,13320,1069,1,R,15000000,1999,4.9,2.35,327
388,131,383,Christian Camargo,10000,Jeremy Renner,332065,11114,0,R,15000000,2008,7.6,1.85,16000
45,114,563,George C. Scott,695,Heather Locklear,22797,3444,1,R,15000000,1984,6.0,2.35,0
414,97,748,Sam Shepard,11000,Brad Pitt,111625,14025,1,R,15000000,2012,6.2,2.35,20000
291,122,123,Nina Hoss,22000,Philip Seymour Hoffman,57210,22574,3,R,15000000,2014,6.8,2.35,13000
97,87,484,Harland Williams,826,Rip Torn,39788,2689,1,R,15000000,2001,4.5,1.85,0
37,85,23,Cam Clarke,354,Yuri Lowenthal,2037,568,0,G,15000000,2008,5.7,1.85,175
68,85,44,The Edge,468,Bono,2673,646,0,G,,2007,8.4,1.78,116
90,101,377,Adrian Paul,1000,Christopher Lambert,16340,2764,1,R,15000000,2000,4.6,2.35,356
81,121,526,Faizon Love,907,Cicely Tyson,4603,3633,4,R,15000000,2006,6.2,2.35,489
221,107,358,Jim Sturgess,11000,Anne Hathaway,106111,17627,0,PG-13,15000000,2011,7.0,2.35,49000
230,111,727,Jimmy Fallon,796,Daniel Stern,55665,2633,1,PG-13,15000000,2009,6.9,2.35,10000
57,92,366,Tom Noonan,14000,Vin Diesel,19768,15644,1,R,,2001,6.1,2.35,566
119,97,308,Brian Van Holt,436,Louis Lombardi,30643,1172,3,R,15000000,2003,6.7,2.35,622
97,97,745,Bradley Whitford,12000,Jeff Bridges,9294,15209,2,PG-13,15000000,1999,5.6,1.37,251
119,125,65,Keith Allen,427,Kevin McNally,9649,729,7,PG-13,20000000,2004,6.6,2.35,1000
42,124,563,Larry David,11000,Woody Allen,13692,12685,0,PG,15000000,1989,6.4,1.85,877
24,76,47,Kyla Pratt,595,Trevor Morgan,2724,1139,0,G,15000000,1998,2.8,1.85,436
208,107,353,RZA,746,Rick Yune,53471,2377,3,R,15000000,2012,5.4,2.35,29000
42,91,629,Jake Busey,925,Catherine O'Hara,7159,2913,2,PG-13,15000000,1998,5.0,1.85,247
44,96,670,Chris Klein,989,Bruce Greenwood,7403,3142,1,PG-13,15000000,2000,5.1,1.85,648
230,142,1000,Bob Hoskins,22000,Robert De Niro,152306,29475,0,R,15000000,1985,8.0,1.85,16000
46,103,782,Rebecca De Mornay,1000,Oliver James,22649,4676,0,PG,15000000,2004,5.9,2.35,1000
18,60,186,Nicole de Boer,443,David Ogden Stiers,7122,981,1,TV-14,,,7.5,,576
249,117,12000,Jeff Bridges,22000,Philip Seymour Hoffman,537419,47728,1,R,15000000,1998,8.2,1.85,35000
197,116,539,Michael Raymond-James,3000,Justin Timberlake,52421,5012,0,R,15000000,2006,7.0,2.35,0
71,118,274,Dash Mihok,556,Khandi Alexander,17261,1873,1,R,15000000,2002,6.6,2.35,455
190,108,254,Archie Panjabi,11000,Angelina Jolie Pitt,24150,12178,0,R,16000000,2007,6.7,2.35,923
50,94,612,Jodi Lyn O'Keefe,11000,James Franco,8055,13524,4,PG-13,15000000,2000,5.5,1.85,816
63,97,461,Lin Shaye,890,Vivica A. Fox,26598,3161,4,R,20000000,2002,4.9,1.85,1000
104,97,692,Tom Wilkinson,14000,Colin Firth,18966,16502,5,PG,15000000,2002,6.9,2.35,0
,99,224,Campbell Scott,1000,Jennifer Jason Leigh,1465,2166,1,Unrated,,1998,7.4,1.33,515
49,91,596,Neil Flynn,8000,Logan Lerman,6562,10732,0,PG,15000000,2006,5.6,1.85,647
300,107,39,Anna Madeley,65,Elizabeth Berrington,307639,173,1,R,15000000,2008,8.0,2.35,32000
43,95,426,S. Epatha Merkerson,931,Tyler James Williams,4065,3322,6,PG-13,15000000,2013,5.3,2.35,0
132,102,1000,Bradley Cooper,15000,Emma Stone,32311,33153,4,PG-13,15000000,2008,6.2,1.85,0
97,88,360,Zach Gilford,24000,J.K. Simmons,11498,25637,1,PG-13,15000000,2009,5.3,1.85,0
242,106,363,Hal Holbrook,13000,Matt Damon,30284,14544,1,R,15000000,2012,6.6,1.85,10000
218,92,386,Michael McKean,860,Larry David,58967,2717,1,PG-13,15000000,2009,7.2,1.85,10000
49,105,275,Susan Ward,477,Matthew Settle,3668,2312,4,PG-13,15000000,2000,4.6,1.85,157
172,107,289,Dwight Yoakam,572,Levon Helm,34194,1627,2,R,15000000,2005,7.5,2.35,0
68,120,693,Mark Margolis,49000,Robin Williams,12601,51657,2,PG-13,15000000,1999,6.5,1.85,0
223,103,611,Corbin Bernsen,21000,Robert Downey Jr.,175962,23932,2,R,15000000,2005,7.6,2.35,0
59,92,577,Fred Willard,890,Vivica A. Fox,33745,3654,0,R,20000000,1999,6.2,1.85,0
252,147,669,Robert Forster,6000,Naomi Watts,235992,8484,1,R,15000000,2001,8.0,1.85,16000
106,98,220,Agnes Bruckner,837,Olivier Martinez,15388,1675,0,PG-13,,2007,5.5,2.35,0
223,98,557,Naomi Watts,12000,Anthony Hopkins,36145,19310,0,R,22000000,2010,6.3,1.85,0
328,103,844,Charlie Rowe,10000,Andrew Garfield,109873,12867,0,R,15000000,2010,7.2,2.35,33000
9,286,527,Tom Hollander,857,Anna Silk,3828,3809,3,,,,7.9,1.78,733
150,111,25,Eduardo Noriega,918,Thomas Kretschmann,42792,1252,0,R,15000000,2008,6.7,2.35,0
21,98,90,Pamela Reed,876,Curtis Armstrong,4996,1351,0,R,15000000,1986,5.3,2.35,843
28,111,617,Elizabeth Perkins,783,Meat Loaf,5917,4834,0,PG-13,15000000,1999,6.3,2.35,391
250,111,287,Siobhan Fallon Hogan,6000,Naomi Watts,69569,6748,0,R,15000000,2007,6.5,1.85,0
17,100,46,Kalim Chandler,192,Thomas Stroppel,1933,527,0,,,2014,5.6,2.35,708
95,116,71,Elaine Cassidy,5000,Bob Hoskins,6690,5426,0,PG-13,,1999,7.0,2.35,284
