director_name,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,language,country,content_rating,title_year,imdb_score,movie_facebook_likes
John Pasquin,Ken Marino,854,Comedy|Drama,Joe Somebody ,8433,2765,Kelly Lynch,1,http://www.imdb.com/title/tt0279889/?ref_=fn_tt_tt_1,English,USA,PG,2001,5.5,168
Roman Polanski,Frank Langella,40000,Mystery|Thriller,The Ninth Gate ,137722,42344,Lena Olin,1,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,English,Spain,R,1999,6.7,0
Michael Apted,Paul Guilfoyle,24000,Crime|Drama|Mystery|Thriller,Extreme Measures ,14066,24547,Bill Nunn,0,http://www.imdb.com/title/tt0116259/?ref_=fn_tt_tt_1,English,USA,R,1996,6.1,352
Stephen Herek,Dagmara Dominczyk,628,Drama|Music,Rock Star ,34592,1265,Matthew Glave,0,http://www.imdb.com/title/tt0202470/?ref_=fn_tt_tt_1,English,USA,R,2001,6.2,0
Lee Daniels,Gabourey Sidibe,940,Drama,Precious ,86955,3277,Mariah Carey,0,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,English,USA,R,2009,7.3,12000
Ridley Scott,Jason Marsden,12000,Adventure|Drama,White Squall ,17859,16237,Ethan Embry,4,http://www.imdb.com/title/tt0118158/?ref_=fn_tt_tt_1,English,USA,PG-13,1996,6.6,911
John Carpenter,Richard Masur,957,Horror|Mystery|Sci-Fi,The Thing ,258078,1757,David Clennon,0,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,English,USA,R,1982,8.2,23000
David Twohy,Nolan Gerard Funk,14000,Action|Sci-Fi|Thriller,Riddick ,125305,17551,Bokeem Woodbine,0,http://www.imdb.com/title/tt1411250/?ref_=fn_tt_tt_1,English,USA,R,2013,6.4,39000
Jeb Stuart,Claudia Stedelin,37,Crime|Mystery|Thriller,Switchback ,9740,74,Ted Markland,1,http://www.imdb.com/title/tt0119210/?ref_=fn_tt_tt_1,English,USA,R,1997,6.4,389
Steve Miner,Usher Raymond,1000,Action|Adventure|Drama|Thriller|Western,Texas Rangers ,4757,2120,Leonor Varela,2,http://www.imdb.com/title/tt0193560/?ref_=fn_tt_tt_1,English,USA,PG-13,2001,5.2,474
Gil Kenan,Toby Jones,13000,Adventure|Family|Fantasy|Sci-Fi,City of Ember ,52908,15494,Harry Treadaway,0,http://www.imdb.com/title/tt0970411/?ref_=fn_tt_tt_1,English,USA,PG,2008,6.5,0
Paul Thomas Anderson,Jeffrey W. Jenkins,378,Drama,The Master ,105144,427,Bruce Goodchild,31,http://www.imdb.com/title/tt1560747/?ref_=fn_tt_tt_1,English,USA,R,2012,7.1,27000
David Leland,Ryan Cartwright,4000,Adventure|Comedy|History|Romance,Virgin Territory ,6691,4900,David Walliams,2,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,English,Italy,R,2007,4.8,366
Gary Fleder,Nicole Beharie,2000,Biography|Drama|Sport,The Express ,16673,5162,Charles S. Dutton,0,http://www.imdb.com/title/tt0469903/?ref_=fn_tt_tt_1,English,USA,PG,2008,7.3,0
J Blakeson,Maggie Siff,17000,Action|Adventure|Sci-Fi|Thriller,The 5th Wave ,55617,19974,Nick Robinson,0,http://www.imdb.com/title/tt2304933/?ref_=fn_tt_tt_1,English,USA,PG-13,2016,5.2,14000
Ryan Coogler,Phylicia Rashad,13000,Drama|Sport,Creed ,146708,15106,Graham McTavish,1,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,English,USA,PG-13,2015,7.7,70000
Ben Affleck,Jon Hamm,10000,Crime|Drama|Thriller,The Town ,280228,14296,Owen Burke,7,http://www.imdb.com/title/tt0840361/?ref_=fn_tt_tt_1,English,USA,R,2010,7.6,29000
Kirk Jones,Dennis Quaid,10000,Comedy|Drama|Romance,What to Expect When You're Expecting ,57266,13396,Thomas Lennon,12,http://www.imdb.com/title/tt1586265/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,5.7,14000
Ethan Coen,Brad Pitt,24000,Comedy|Drama,Burn After Reading ,248468,36093,Kevin Sussman,0,http://www.imdb.com/title/tt0887883/?ref_=fn_tt_tt_1,English,USA,R,2008,7.0,0
Jennifer Flackett,Anthony Simcoe,18000,Adventure|Comedy|Family|Fantasy,Nim's Island ,28109,18178,Christopher James Baker,3,http://www.imdb.com/title/tt0410377/?ref_=fn_tt_tt_1,English,USA,PG,2008,6.0,0
Ron Howard,Olivia Wilde,26000,Action|Biography|Drama|Sport,Rush ,312629,37206,Alexandra Maria Lara,0,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,English,UK,R,2013,8.1,83000
Paul Thomas Anderson,Neil Flynn,786,Drama,Magnolia ,241030,1906,Jim Meskimen,1,http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,English,USA,R,1999,8.0,13000
Kevin Smith,Tracy Morgan,13000,Action|Comedy|Crime,Cop Out ,75347,14483,Kevin Pollak,2,http://www.imdb.com/title/tt1385867/?ref_=fn_tt_tt_1,English,USA,R,2010,5.6,0
Christian Ditter,Damon Wayans Jr.,2000,Comedy|Romance,How to Be Single ,39440,4882,Nicholas Braun,4,http://www.imdb.com/title/tt1292566/?ref_=fn_tt_tt_1,English,USA,R,2016,6.1,15000
Charles Martin Smith,Michael Roark,11000,Drama|Family,Dolphin Tale ,17948,14209,Harry Connick Jr.,5,http://www.imdb.com/title/tt1564349/?ref_=fn_tt_tt_1,English,USA,PG,2011,6.9,0
Catherine Hardwicke,Taylor Lautner,17000,Drama|Fantasy|Romance,Twilight ,348007,44060,Anna Kendrick,1,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,5.2,19000
Nick Cassavetes,Laura Harring,18000,Crime|Drama|Thriller,John Q ,98899,20970,Anne Heche,1,http://www.imdb.com/title/tt0251160/?ref_=fn_tt_tt_1,English,USA,PG-13,2002,7.0,0
Les Mayfield,Dave Chappelle,789,Action|Comedy|Crime|Thriller,Blue Streak ,60572,2986,Tamala Jones,1,http://www.imdb.com/title/tt0181316/?ref_=fn_tt_tt_1,English,USA,PG-13,1999,6.3,0
Rawson Marshall Thurber,Molly C. Quinn,740,Comedy|Crime,We're the Millers ,316671,3425,Thomas Lennon,4,http://www.imdb.com/title/tt1723121/?ref_=fn_tt_tt_1,English,USA,R,2013,7.0,35000
Fedor Bondarchuk,Fedor Bondarchuk,463,Action|Adventure|Sci-Fi,Obitaemyy ostrov ,4387,599,Aleksey Serebryakov,0,http://www.imdb.com/title/tt0972558/?ref_=fn_tt_tt_1,Russian,Russia,,2009,5.3,240
Jonathan Mostow,M.C. Gainey,551,Action|Crime|Drama|Mystery|Thriller,Breakdown ,38399,1874,J.T. Walsh,0,http://www.imdb.com/title/tt0118771/?ref_=fn_tt_tt_1,English,USA,R,1997,6.9,0
Irvin Kershner,Klaus Maria Brandauer,180,Action|Adventure|Thriller,Never Say Never Again ,48636,762,Barbara Carrera,3,http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1,English,UK,PG,1983,6.2,0
Steve Pink,Collette Wolfe,496,Comedy|Sci-Fi,Hot Tub Time Machine ,139184,1272,Crystal Lowe,8,http://www.imdb.com/title/tt1231587/?ref_=fn_tt_tt_1,English,USA,R,2010,6.4,12000
Charles Martin Smith,Taylor Blackwell,11000,Drama|Family,Dolphin Tale 2 ,6069,13904,Harry Connick Jr.,0,http://www.imdb.com/title/tt2978462/?ref_=fn_tt_tt_1,English,USA,PG,2014,6.4,0
John Frankenheimer,James Frain,9000,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,Reindeer Games ,31113,10838,Clarence Williams III,0,http://www.imdb.com/title/tt0184858/?ref_=fn_tt_tt_1,English,USA,R,2000,5.7,852
F. Gary Gray,Jeff Kober,14000,Action|Crime|Drama|Thriller,A Man Apart ,38348,16611,Larenz Tate,0,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,English,USA,R,2003,6.1,0
Cameron Crowe,Bradley Cooper,15000,Comedy|Drama|Romance,Aloha ,39778,44037,Bill Murray,1,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,English,USA,PG-13,2015,5.4,11000
Rob Reiner,Virginia Madsen,2000,Drama|History,Ghosts of Mississippi ,8531,3968,Craig T. Nelson,0,http://www.imdb.com/title/tt0116410/?ref_=fn_tt_tt_1,English,USA,PG-13,1996,6.7,591
Scott Hicks,Reeve Carney,746,Drama|Mystery|Romance|Thriller,Snow Falling on Cedars ,12375,2393,Daniel von Bargen,1,http://www.imdb.com/title/tt0120834/?ref_=fn_tt_tt_1,English,USA,PG-13,1999,6.8,846
Mikael Håfström,Colin O'Donoghue,12000,Drama|Horror|Mystery|Thriller,The Rite ,75864,19904,Toby Jones,1,http://www.imdb.com/title/tt1161864/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,6.0,23000
Andrew Niccol,Xander Berkeley,685,Drama|Sci-Fi|Thriller,Gattaca ,220591,1942,Mason Gamble,2,http://www.imdb.com/title/tt0119177/?ref_=fn_tt_tt_1,English,USA,PG-13,1997,7.8,17000
Andrew Bergman,Nathan Lane,944,Biography|Comedy|Romance,Isn't She Great ,1977,2928,John Larroquette,0,http://www.imdb.com/title/tt0141399/?ref_=fn_tt_tt_1,English,USA,R,2000,5.3,133
Kirk De Micco,Kenan Thompson,541,Adventure|Animation|Comedy|Family|Sci-Fi,Space Chimps ,8860,2268,Omid Abtahi,0,http://www.imdb.com/title/tt0482603/?ref_=fn_tt_tt_1,English,USA,G,2008,4.5,279
Chris Rock,Dylan Baker,1000,Comedy,Head of State ,15046,4537,Tracy Morgan,1,http://www.imdb.com/title/tt0325537/?ref_=fn_tt_tt_1,English,USA,PG-13,2003,5.4,638
Todd Phillips,Rob Riggle,14000,Comedy,The Hangover ,583341,17623,Mike Epps,3,http://www.imdb.com/title/tt1119646/?ref_=fn_tt_tt_1,English,USA,R,2009,7.8,24000
Wilson Yip,Lynn Hung,461,Action|Biography|Drama|History,Ip Man 3 ,21912,615,Kwok-Kwan Chan,0,http://www.imdb.com/title/tt2888046/?ref_=fn_tt_tt_1,Cantonese,Hong Kong,PG-13,2015,7.2,12000
Jay Roach,Verne Troyer,45000,Action|Adventure|Comedy|Crime,Austin Powers: The Spy Who Shagged Me ,181225,47203,Robert Wagner,1,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,English,USA,PG-13,1999,6.6,0
Tim Burton,Jack Palance,920,Action|Adventure,Batman ,269033,2725,William Hootkins,0,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,English,USA,PG-13,1989,7.6,12000
Roland Joffé,Dougray Scott,877,Biography|Drama|War,There Be Dragons ,3865,3497,Lily Cole,0,http://www.imdb.com/title/tt1316616/?ref_=fn_tt_tt_1,English,Spain,PG-13,2011,5.9,2000
Richard Donner,Nick Chinlund,808,Action|Crime|Thriller,Lethal Weapon 3 ,128010,1446,Stuart Wilson,2,http://www.imdb.com/title/tt0104714/?ref_=fn_tt_tt_1,English,USA,R,1992,6.7,0
John Lee Hancock,Quinton Aaron,768,Biography|Drama|Sport,The Blind Side ,223127,3389,Kim Dickens,0,http://www.imdb.com/title/tt0878804/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,7.7,38000
,Aimee Garcia,778,Action|Comedy|Crime,Rush Hour             ,2185,2255,Wendie Malick,2,http://www.imdb.com/title/tt4085584/?ref_=fn_tt_tt_1,English,USA,TV-14,,5.8,0
Robert Rodriguez,Cheech Marin,2000,Action|Adventure|Comedy|Family|Sci-Fi,Spy Kids ,84325,4499,Daryl Sabara,0,http://www.imdb.com/title/tt0227538/?ref_=fn_tt_tt_1,English,USA,PG,2001,5.4,0
Seth Gordon,Lindsay Sloane,18000,Comedy|Crime,Horrible Bosses ,353442,18669,Reginald Ballard,5,http://www.imdb.com/title/tt1499658/?ref_=fn_tt_tt_1,English,USA,R,2011,6.9,31000
Ethan Coen,Jeff Bridges,13000,Adventure|Drama|Western,True Grit ,240962,25964,Bruce Green,0,http://www.imdb.com/title/tt1403865/?ref_=fn_tt_tt_1,English,USA,PG-13,2010,7.7,36000
David Frankel,Anne Hathaway,11000,Comedy|Drama|Romance,The Devil Wears Prada ,286178,23923,Rebecca Mader,0,http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1,English,USA,PG-13,2006,6.8,0
Robert Wise,Nichelle Nichols,12000,Adventure|Mystery|Sci-Fi,Star Trek: The Motion Picture ,63330,16007,Walter Koenig,2,http://www.imdb.com/title/tt0079945/?ref_=fn_tt_tt_1,English,USA,PG,1979,6.4,0
Seth Gordon,Eric Stonestreet,4000,Comedy|Crime,Identity Thief ,97664,5826,T.I.,2,http://www.imdb.com/title/tt2024432/?ref_=fn_tt_tt_1,English,USA,R,2013,5.7,17000
Martin Scorsese,Robert Mitchum,22000,Crime|Thriller,Cape Fear ,127503,24006,Joe Don Baker,0,http://www.imdb.com/title/tt0101540/?ref_=fn_tt_tt_1,English,USA,R,1991,7.3,0
Robert Luketic,Jim Sturgess,18000,Crime|Drama|Thriller,21 ,191470,25661,Josh Gad,2,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,6.8,0
Judd Apatow,Randall Park,492,Comedy|Romance,Trainwreck ,94241,1450,Josh Segarra,1,http://www.imdb.com/title/tt3152624/?ref_=fn_tt_tt_1,English,Japan,R,2015,6.3,25000
Kevin Rodney Sullivan,Nicole Sullivan,1000,Comedy|Romance,Guess Who ,33887,2689,Sherri Shepherd,2,http://www.imdb.com/title/tt0372237/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,5.9,919
Anthony Minghella,Kristin Scott Thomas,14000,Drama|Romance|War,The English Patient ,142067,15912,Jürgen Prochnow,0,http://www.imdb.com/title/tt0116209/?ref_=fn_tt_tt_1,English,USA,R,1996,7.4,0
Curtis Hanson,Matt McCoy,18000,Crime|Drama|Mystery|Thriller,L.A. Confidential ,414219,19129,Paul Guilfoyle,2,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,English,USA,R,1997,8.3,11000
Mike Mitchell,Kelly Preston,947,Adventure|Comedy|Family|Sci-Fi,Sky High ,61321,2968,Nicholas Braun,3,http://www.imdb.com/title/tt0405325/?ref_=fn_tt_tt_1,English,USA,PG,2005,6.2,0
Frank Oz,Wilford Brimley,19000,Comedy,In & Out ,32416,23504,Lauren Ambrose,0,http://www.imdb.com/title/tt0119360/?ref_=fn_tt_tt_1,English,USA,PG-13,1997,6.3,0
Roger Donaldson,Marg Helgenberger,900,Action|Horror|Sci-Fi|Thriller,Species ,61018,1715,Jordan Lund,0,http://www.imdb.com/title/tt0114508/?ref_=fn_tt_tt_1,English,USA,R,1995,5.8,0
Wes Craven,Lin Shaye,40000,Horror,A Nightmare on Elm Street ,149285,42918,Amanda Wyss,1,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,English,USA,X,1984,7.5,10000
Tarsem Singh,Jake Weber,812,Horror|Sci-Fi|Thriller,The Cell ,79877,2474,James Gammon,1,http://www.imdb.com/title/tt0209958/?ref_=fn_tt_tt_1,English,USA,R,2000,6.3,0
Randall Wallace,Anne Parillaud,29000,Action|Adventure,The Man in the Iron Mask ,125219,29265,Judith Godrèche,1,http://www.imdb.com/title/tt0120744/?ref_=fn_tt_tt_1,English,USA,PG-13,1998,6.4,0
Randall Wallace,Kevin Connolly,826,Biography|Drama|Family|History|Sport,Secretariat ,20827,2259,Dylan Walsh,0,http://www.imdb.com/title/tt1028576/?ref_=fn_tt_tt_1,English,USA,PG,2010,7.2,0
Kevin Munroe,Sarah Michelle Gellar,11000,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,TMNT ,53786,16571,Mako,0,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,English,Hong Kong,PG,2007,6.3,0
Michael Tollin,Riley Smith,1000,Biography|Drama|Sport,Radio ,32370,4231,Debra Winger,1,http://www.imdb.com/title/tt0316465/?ref_=fn_tt_tt_1,English,USA,PG,2003,6.9,0
Will Gluck,Justin Timberlake,15000,Comedy|Romance,Friends with Benefits ,270228,20956,Masi Oka,2,http://www.imdb.com/title/tt1632708/?ref_=fn_tt_tt_1,English,USA,R,2011,6.6,41000
Nicholas Stoller,Ike Barinholtz,17000,Comedy,Neighbors 2: Sorority Rising ,28041,17860,Kiersey Clemons,0,http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1,English,USA,R,2016,6.0,0
John Lee Hancock,Ruth Wilson,15000,Biography|Comedy|Drama|History|Music,Saving Mr. Banks ,117719,19809,B.J. Novak,2,http://www.imdb.com/title/tt2140373/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,7.5,39000
Spike Lee,Delroy Lindo,18000,Biography|Drama|History|Romance,Malcolm X ,63923,20143,Al Freeman Jr.,0,http://www.imdb.com/title/tt0104797/?ref_=fn_tt_tt_1,English,USA,PG-13,1992,7.7,0
Judd Apatow,Maude Apatow,529,Comedy,This Is 40 ,104005,1050,Mackenzie Aladjem,2,http://www.imdb.com/title/tt1758830/?ref_=fn_tt_tt_1,English,USA,R,2012,6.2,18000
Walt Becker,Bernie Mac,49000,Comedy|Family,Old Dogs ,31191,53370,Ann-Margret,2,http://www.imdb.com/title/tt0976238/?ref_=fn_tt_tt_1,English,USA,PG,2009,5.4,0
Patrick Tatopoulos,Kevin Grevioux,978,Action|Adventure|Fantasy|Sci-Fi|Thriller,Underworld: Rise of the Lycans ,119974,2184,Steven Mackintosh,1,http://www.imdb.com/title/tt0834001/?ref_=fn_tt_tt_1,English,USA,R,2009,6.6,0
Ken Kwapis,Christine Taylor,49000,Comedy|Romance,License to Wed ,32157,52566,Mindy Kaling,3,http://www.imdb.com/title/tt0762114/?ref_=fn_tt_tt_1,English,USA,PG-13,2007,5.3,913
Dennis Dugan,Jon Heder,11000,Comedy|Romance|Sport,The Benchwarmers ,40651,13125,Tim Meadows,2,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,English,USA,PG-13,2006,5.6,0
Gary David Goldberg,Victor Webster,944,Comedy|Romance,Must Love Dogs ,25883,4879,Elizabeth Perkins,2,http://www.imdb.com/title/tt0417001/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,5.9,0
Mike Newell,Al Pacino,40000,Biography|Crime|Drama,Donnie Brasco ,225122,56014,Anne Heche,2,http://www.imdb.com/title/tt0119008/?ref_=fn_tt_tt_1,English,USA,R,1997,7.8,0
Paul W.S. Anderson,Jaymes Butler,14000,Action|Horror|Sci-Fi,Resident Evil ,198701,17902,Colin Salmon,0,http://www.imdb.com/title/tt0120804/?ref_=fn_tt_tt_1,English,UK,R,2002,6.7,0
Tobe Hooper,Zelda Rubinstein,887,Fantasy|Horror,Poltergeist ,105446,3876,Craig T. Nelson,0,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,English,USA,PG,1982,7.4,11000
Ethan Coen,Tom Hanks,24000,Comedy|Crime|Thriller,The Ladykillers ,84131,41701,Stephen Root,1,http://www.imdb.com/title/tt0335245/?ref_=fn_tt_tt_1,English,USA,R,2004,6.2,0
John Moore,Beau Bridges,15000,Action|Crime|Drama|Mystery|Thriller,Max Payne ,107772,16249,Jamie Hector,1,http://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1,English,Canada,PG-13,2008,5.4,0
Andrew Niccol,Olivia Wilde,20000,Action|Sci-Fi|Thriller,In Time ,304318,34011,Justin Timberlake,2,http://www.imdb.com/title/tt1637688/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,6.7,52000
Alan Poul,Noureen DeWulf,1000,Comedy|Romance,The Back-up Plan ,40654,3356,Tom Bosley,0,http://www.imdb.com/title/tt1212436/?ref_=fn_tt_tt_1,English,USA,PG-13,2010,5.3,0
Luke Greenfield,Steve Howey,969,Comedy|Drama|Romance,Something Borrowed ,48019,2371,Kirsten Day,4,http://www.imdb.com/title/tt0491152/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,5.9,13000
,Kimberly Elise,897,Drama|Romance,Hit the Floor             ,1641,3438,Logan Browning,4,http://www.imdb.com/title/tt2368645/?ref_=fn_tt_tt_1,English,USA,,,7.0,265
Gil Junger,Marsha Thomason,1000,Adventure|Comedy|Fantasy,Black Knight ,30771,2643,Vincent Regan,1,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,English,USA,PG-13,2001,4.8,0
Michael Ritchie,Vic Morrow,288,Comedy|Drama|Family|Sport,The Bad News Bears ,16323,677,Joyce Van Patten,1,http://www.imdb.com/title/tt0074174/?ref_=fn_tt_tt_1,English,USA,PG,1976,7.3,0
Steven E. de Souza,Raul Julia,2000,Action|Adventure|Comedy|Thriller,Street Fighter ,53115,5443,Kylie Minogue,1,http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1,English,Japan,PG-13,1994,3.8,0
Roman Polanski,Frank Finlay,396,Biography|Drama|War,The Pianist ,497946,1075,Ed Stoppard,0,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,English,France,R,2002,8.5,21000
Albert Hughes,Jason Flemyng,40000,Horror|Mystery|Thriller,From Hell ,124765,41636,Ian Richardson,1,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,English,USA,R,2001,6.8,0
Catherine Hardwicke,Hiam Abbass,446,Drama|Family|Fantasy,The Nativity Story ,8143,966,Shaun Toub,0,http://www.imdb.com/title/tt0762121/?ref_=fn_tt_tt_1,English,USA,PG,2006,6.8,0
