duration,director_facebook_likes,actor_3_facebook_likes,movie_title,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,language,content_rating,budget
113,7,35,The Other Side of Heaven ,11116,1950s|idaho|love|missionary|mormon,85,English,PG,7000000
60,,652,Dark Angel             ,12051,cat burglar|female lead|future|mixed martial arts|post apocalypse,160,English,TV-14,
192,147,397,Veer-Zaara ,9984,fair|pakistan|prison|rescue|stranded,119,Hindi,,7000000
99,342,501,Redbelt ,2158,bar|debt|fight|instructor|jujitsu,119,English,R,7000000
91,157,224,Cyrus ,1136,21 year old|forename as title|musician|party|rearview mirror,126,English,R,7000000
100,0,359,A Dog of Flanders ,1906,artist|box office flop|dog|drawing|flanders,20,English,PG,7000000
105,261,617,Auto Focus ,2684,friendship|photography|radio|sex addict|video,147,English,R,7000000
99,60,628,Factory Girl ,6526,andy warhol|female nudity|public nudity|singer|socialite,106,English,R,7000000
112,159,77,We Need to Talk About Kevin ,3547,archery|defiance|mental illness|psychopath|toilet training,301,English,R,7000000
100,0,149,The Christmas Candle ,2909,angel|candle|christmas|miracle|village,34,English,PG,
99,2,455,The Mighty Macs ,2589,basketball|catholic|coach|college|nun,12,English,G,7000000
100,161,172,Losin' It ,11059,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,16,English,R,7000000
125,127,798,Mother and Child ,8876,adoption|baby|girl|lawyer|sex,65,English,R,4825000
107,6,375,March or Die ,2209,arab|bare chested male|foreign legion|french foreign legion|morocco,26,English,PG,9000000
107,8,39,Les visiteurs ,215,distant past|future time travel|nobleman|squire|trapped in the past,78,French,R,50000000
97,0,106,Somewhere ,684,actor|boredom|luxury hotel|party|trip,198,English,R,7000000
105,10,184,I Hope They Serve Beer in Hell ,1417,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,72,English,R,
95,43,611,Chairman of the Board ,5213,box office flop|company|invention|roommate|surfer,62,English,PG-13,10000000
106,58,973,Hesher ,44969,bully|car|car accident|fire|vomiting,99,English,R,7000000
93,47,13,Dom Hemingway ,1105,male frontal nudity|male nudity|male rear nudity|nudity|sex scene,66,English,R,
103,835,,Gerry ,13000,desert|friend|friendship|minimal dialogue|water,290,English,R,3500000
96,5,52,The Heart of Me ,1251,1930s|car accident|hospital|marital rape|painter,25,English,R,7000000
103,6,935,Freeheld ,9660,cancer|gay bar|lesbian kiss|partner|public hearing,25,English,PG-13,7000000
108,30,281,The Extra Man ,2029,co worker|escort|magazine|teacher|writer,29,English,R,7000000
177,23,0,Hard to Be a God ,8,fictional war|hanging|male full frontal nudity|medieval times|nudity,28,Russian,Not Rated,7000000
118,0,410,Ca$h ,27756,cash|financial problem|heist|land rover|mortgage,38,English,R,7000000
97,554,530,Wah-Wah ,2544,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,50,English,R,7000000
102,78,184,The Boondock Saints ,12680,fbi|fbi agent|friend|irish|mafia,876,English,R,7000000
92,4,4,Z Storm ,198,,1,Cantonese,,7000000
88,0,507,Twixt ,3150,ghost|hotel|murder|stake|what happened to epilogue,70,English,R,7000000
80,0,26,Snow Queen ,218,3d,9,Russian,PG,7000000
45,24,29,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,236,blindness|cave|spirit|wolf|wolf cub,6,,,7000000
115,16000,240,Pale Rider ,17209,gold|miner|preacher|prospector|sheriff,138,English,R,6900000
97,49,687,Stargate: The Ark of Truth ,4334,2000s|evil god|space opera|stargate|wormhole,42,English,,
102,0,787,Dazed and Confused ,18643,football|hazing|high school|last day of school|pledge,408,English,R,6900000
111,197,578,High School Musical 2 ,3009,2000s|basketball|country club|lifeguard|talent show,162,English,TV-G,7000000
96,16,63,Two Lovers and a Bear ,414,,6,English,,8700000
94,0,493,Criminal Activities ,17377,african american gangster|falling to death|in over one's head|murder|surveillance,38,English,,7000000
125,4,36,Aimee & Jaguar ,333,lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism,51,German,,15000000
108,3,436,The Chumscrubber ,2119,chumscrubber|death|friend|pills|school,129,English,R,6800000
101,0,83,Shade ,490,bar|strip club|stripper|texas hold 'em|thong,65,English,R,6800000
101,13,261,House at the End of the Street ,35717,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,160,English,PG-13,6900000
139,777,58,Incendies ,343,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,156,French,R,6800000
125,125,11,"Remember Me, My Love ",132,box office hit|dancer|sex scene|television|underage sex,21,Italian,R,5000000
88,11,415,Perrier's Bounty ,2728,burglary|estranged father|money|neighbor|thug,31,English,R,
115,294,15,Elite Squad ,666,brazil|military police|police|rio de janeiro brazil|slum,107,Portuguese,R,4000000
99,40,300,Annabelle ,2323,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,291,English,R,6500000
88,3,38,Bran Nue Dae ,225,australia|journey|love|priest|traveling,31,English,PG-13,6500000
112,309,15,Boyz n the Hood ,106,drugs|escape|football|friend|violence,183,English,R,6000000
108,7,51,La Bamba ,936,crash|hispanic|interracial relationship|interracial romance|racism,63,English,PG-13,6500000
107,0,146,The Four Seasons ,1285,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,33,English,PG,
104,0,517,Dressed to Kill ,2442,apartment|elevator|murder|psychiatrist|sunglasses,201,English,X,6500000
108,208,689,The Adventures of Huck Finn ,4840,boy|lesson|mississippi river|river|slave,54,English,PG,6500000
102,218,376,Go ,2475,drug deal|drugs|sex|sex on stairs|strip club,418,English,R,6500000
88,132,180,Friends with Money ,1140,friend|friendship|marital problem|money problems|nervous breakdown,166,English,R,6500000
115,338,45,The Andromeda Strain ,394,alien|baby|new mexico|satellite|scientist,171,English,G,6500000
91,38,91,Bats ,1405,animal attack|bat|creature feature|experiment|mad scientist,160,English,PG-13,6500000
141,11,8,Nowhere in Africa ,105,breasts|farm|jew|kenya|tween girl,84,English,R,7000000
101,0,726,Shame ,15230,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,375,English,NC-17,6500000
105,905,466,Layer Cake ,29277,cake|cocaine|drugs|pills|serbian,263,English,R,4000000
100,0,266,The Work and the Glory II: American Zion ,1942,estrangement|missouri|mormon|mormon church|mormon temple,21,English,PG-13,6500000
