director_facebook_likes,movie_imdb_link,country,budget,aspect_ratio
221,http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1,USA,90000000,1.85
0,http://www.imdb.com/title/tt2120120/?ref_=fn_tt_tt_1,USA,88000000,2.35
14000,http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1,USA,100000000,1.85
50,http://www.imdb.com/title/tt0338094/?ref_=fn_tt_tt_1,USA,90000000,2.35
0,http://www.imdb.com/title/tt0118884/?ref_=fn_tt_tt_1,USA,90000000,2.35
719,http://www.imdb.com/title/tt0164052/?ref_=fn_tt_tt_1,USA,95000000,1.85
521,http://www.imdb.com/title/tt0373926/?ref_=fn_tt_tt_1,UK,80000000,2.35
87,http://www.imdb.com/title/tt1854564/?ref_=fn_tt_tt_1,USA,90000000,2.35
101,http://www.imdb.com/title/tt0325703/?ref_=fn_tt_tt_1,USA,95000000,2.35
209,http://www.imdb.com/title/tt3110958/?ref_=fn_tt_tt_1,USA,90000000,2.35
176,http://www.imdb.com/title/tt0120053/?ref_=fn_tt_tt_1,USA,68000000,2.35
12000,http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1,Germany,92000000,2.35
0,http://www.imdb.com/title/tt0183523/?ref_=fn_tt_tt_1,USA,90000000,2.35
107,http://www.imdb.com/title/tt1436562/?ref_=fn_tt_tt_1,USA,90000000,2.35
0,http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1,USA,100000000,1.85
81,http://www.imdb.com/title/tt0120461/?ref_=fn_tt_tt_1,USA,90000000,1.85
79,http://www.imdb.com/title/tt0118972/?ref_=fn_tt_tt_1,USA,86000000,2.35
0,http://www.imdb.com/title/tt0267626/?ref_=fn_tt_tt_1,UK,100000000,2.35
128,http://www.imdb.com/title/tt1502712/?ref_=fn_tt_tt_1,USA,120000000,2.35
468,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,USA,20000000,2.35
2000,http://www.imdb.com/title/tt0352248/?ref_=fn_tt_tt_1,USA,88000000,2.35
96,http://www.imdb.com/title/tt1041804/?ref_=fn_tt_tt_1,UK,90000000,2.35
378,http://www.imdb.com/title/tt0329575/?ref_=fn_tt_tt_1,USA,87000000,2.35
101,http://www.imdb.com/title/tt0117998/?ref_=fn_tt_tt_1,USA,92000000,2.35
357,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,USA,38000000,2.35
0,http://www.imdb.com/title/tt0162222/?ref_=fn_tt_tt_1,USA,90000000,1.85
750,http://www.imdb.com/title/tt0366548/?ref_=fn_tt_tt_1,USA,100000000,2.35
521,http://www.imdb.com/title/tt0372183/?ref_=fn_tt_tt_1,USA,75000000,2.35
249,http://www.imdb.com/title/tt0118571/?ref_=fn_tt_tt_1,USA,85000000,2.35
0,http://www.imdb.com/title/tt0240772/?ref_=fn_tt_tt_1,USA,85000000,2.35
545,http://www.imdb.com/title/tt1509767/?ref_=fn_tt_tt_1,Germany,75000000,2.35
266,http://www.imdb.com/title/tt0837562/?ref_=fn_tt_tt_1,USA,85000000,1.85
36,http://www.imdb.com/title/tt0461770/?ref_=fn_tt_tt_1,USA,85000000,2.35
,http://www.imdb.com/title/tt2243973/?ref_=fn_tt_tt_1,USA,,1.78
79,http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1,USA,85000000,2.35
36,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,USA,85000000,1.85
420,http://www.imdb.com/title/tt0471042/?ref_=fn_tt_tt_1,USA,75000000,2.35
278,http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1,USA,85000000,1.85
12000,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,USA,90000000,2.35
278,http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1,USA,85000000,1.85
0,http://www.imdb.com/title/tt0496806/?ref_=fn_tt_tt_1,USA,85000000,2.35
28,http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1,USA,85000000,1.85
168,http://www.imdb.com/title/tt1840309/?ref_=fn_tt_tt_1,USA,85000000,2.35
218,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,USA,68000000,2.35
532,http://www.imdb.com/title/tt0327850/?ref_=fn_tt_tt_1,USA,85000000,2.35
323,http://www.imdb.com/title/tt0107362/?ref_=fn_tt_tt_1,USA,70000000,2.35
252,http://www.imdb.com/title/tt0397535/?ref_=fn_tt_tt_1,USA,85000000,2.35
681,http://www.imdb.com/title/tt0463985/?ref_=fn_tt_tt_1,USA,85000000,2.35
6,http://www.imdb.com/title/tt1430607/?ref_=fn_tt_tt_1,UK,100000000,1.85
102,http://www.imdb.com/title/tt0119643/?ref_=fn_tt_tt_1,USA,90000000,1.85
99,http://www.imdb.com/title/tt0233469/?ref_=fn_tt_tt_1,USA,85000000,1.85
189,http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1,USA,,1.85
763,http://www.imdb.com/title/tt1667353/?ref_=fn_tt_tt_1,USA,85000000,1.85
1000,http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1,USA,60000000,1.85
36,http://www.imdb.com/title/tt0298814/?ref_=fn_tt_tt_1,USA,60000000,2.35
88,http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1,USA,65000000,1.85
67,http://www.imdb.com/title/tt0267913/?ref_=fn_tt_tt_1,USA,84000000,1.85
38,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,UK,35000000,2.35
153,http://www.imdb.com/title/tt0389860/?ref_=fn_tt_tt_1,USA,70000000,1.85
0,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,USA,8000000,1.85
62,http://www.imdb.com/title/tt1287468/?ref_=fn_tt_tt_1,USA,85000000,1.85
218,http://www.imdb.com/title/tt0489099/?ref_=fn_tt_tt_1,USA,85000000,2.35
0,http://www.imdb.com/title/tt0411477/?ref_=fn_tt_tt_1,USA,85000000,1.85
21000,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,USA,65000000,2.35
55,http://www.imdb.com/title/tt0216216/?ref_=fn_tt_tt_1,USA,82000000,2.35
293,http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1,USA,81000000,1.85
13000,http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1,USA,80000000,2.35
0,http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1,USA,80000000,2.35
378,http://www.imdb.com/title/tt1392170/?ref_=fn_tt_tt_1,USA,78000000,2.35
480,http://www.imdb.com/title/tt1411697/?ref_=fn_tt_tt_1,USA,80000000,2.35
13000,http://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1,USA,80000000,1.85
12,http://www.imdb.com/title/tt0327084/?ref_=fn_tt_tt_1,USA,80000000,1.85
255,http://www.imdb.com/title/tt0275847/?ref_=fn_tt_tt_1,USA,80000000,1.66
56,http://www.imdb.com/title/tt0413895/?ref_=fn_tt_tt_1,USA,,1.85
75,http://www.imdb.com/title/tt0120647/?ref_=fn_tt_tt_1,USA,75000000,2.35
23,http://www.imdb.com/title/tt1821694/?ref_=fn_tt_tt_1,USA,84000000,2.35
88,http://www.imdb.com/title/tt0398165/?ref_=fn_tt_tt_1,USA,82000000,2.35
31,http://www.imdb.com/title/tt1615918/?ref_=fn_tt_tt_1,USA,75000000,1.85
221,http://www.imdb.com/title/tt2191701/?ref_=fn_tt_tt_1,USA,80000000,1.85
88,http://www.imdb.com/title/tt0425061/?ref_=fn_tt_tt_1,USA,80000000,1.85
278,http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1,USA,80000000,1.85
17000,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1,USA,80000000,2.35
91,http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1,Germany,80000000,1.85
77,http://www.imdb.com/title/tt0358082/?ref_=fn_tt_tt_1,USA,75000000,1.85
610,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,USA,80000000,2.35
163,http://www.imdb.com/title/tt0960731/?ref_=fn_tt_tt_1,USA,80000000,2.35
0,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1,USA,80000000,2.35
221,http://www.imdb.com/title/tt1564367/?ref_=fn_tt_tt_1,USA,80000000,1.85
,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,USA,,16.0
165,http://www.imdb.com/title/tt0118880/?ref_=fn_tt_tt_1,USA,75000000,2.35
154,http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1,USA,80000000,2.35
333,http://www.imdb.com/title/tt0159365/?ref_=fn_tt_tt_1,USA,79000000,2.35
117,http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1,USA,80000000,2.35
10,http://www.imdb.com/title/tt0119137/?ref_=fn_tt_tt_1,USA,80000000,1.85
101,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1,USA,80000000,2.35
30,http://www.imdb.com/title/tt0117705/?ref_=fn_tt_tt_1,USA,80000000,1.77
189,http://www.imdb.com/title/tt0383216/?ref_=fn_tt_tt_1,USA,65000000,1.85
301,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,USA,80000000,2.35
503,http://www.imdb.com/title/tt0118883/?ref_=fn_tt_tt_1,USA,75000000,2.35
452,http://www.imdb.com/title/tt2713180/?ref_=fn_tt_tt_1,USA,68000000,2.35
425,http://www.imdb.com/title/tt0120828/?ref_=fn_tt_tt_1,USA,70000000,2.35
40,http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1,USA,80000000,1.85
21,http://www.imdb.com/title/tt0166813/?ref_=fn_tt_tt_1,USA,80000000,2.35
153,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1,USA,80000000,2.35
81,http://www.imdb.com/title/tt0120738/?ref_=fn_tt_tt_1,USA,80000000,2.35
438,http://www.imdb.com/title/tt0368008/?ref_=fn_tt_tt_1,USA,80000000,1.85
69,http://www.imdb.com/title/tt0119033/?ref_=fn_tt_tt_1,USA,,1.85
266,http://www.imdb.com/title/tt2510894/?ref_=fn_tt_tt_1,USA,80000000,1.85
,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,USA,,4.0
11,http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1,USA,80000000,1.78
25,http://www.imdb.com/title/tt0268695/?ref_=fn_tt_tt_1,USA,80000000,2.35
31,http://www.imdb.com/title/tt0120751/?ref_=fn_tt_tt_1,USA,90000000,1.85
57,http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1,USA,80000000,2.35
258,http://www.imdb.com/title/tt0386140/?ref_=fn_tt_tt_1,USA,75000000,2.35
25,http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1,USA,85000000,2.35
65,http://www.imdb.com/title/tt0185431/?ref_=fn_tt_tt_1,USA,80000000,1.85
0,http://www.imdb.com/title/tt0355295/?ref_=fn_tt_tt_1,USA,88000000,1.85
13000,http://www.imdb.com/title/tt0116996/?ref_=fn_tt_tt_1,USA,70000000,2.35
92,http://www.imdb.com/title/tt4291590/?ref_=fn_tt_tt_1,France,,2.35
93,http://www.imdb.com/title/tt0119051/?ref_=fn_tt_tt_1,USA,,2.35
84,http://www.imdb.com/title/tt0986263/?ref_=fn_tt_tt_1,USA,80000000,2.35
79,http://www.imdb.com/title/tt0146309/?ref_=fn_tt_tt_1,USA,80000000,1.85
357,http://www.imdb.com/title/tt0116040/?ref_=fn_tt_tt_1,USA,80000000,1.85
43,http://www.imdb.com/title/tt1762399/?ref_=fn_tt_tt_1,USA,80000000,2.35
64,http://www.imdb.com/title/tt0185183/?ref_=fn_tt_tt_1,USA,44000000,2.35
287,http://www.imdb.com/title/tt0318155/?ref_=fn_tt_tt_1,Germany,80000000,2.35
252,http://www.imdb.com/title/tt0875034/?ref_=fn_tt_tt_1,USA,80000000,2.35
503,http://www.imdb.com/title/tt0300556/?ref_=fn_tt_tt_1,USA,80000000,2.35
0,http://www.imdb.com/title/tt0119925/?ref_=fn_tt_tt_1,USA,80000000,2.35
750,http://www.imdb.com/title/tt0120595/?ref_=fn_tt_tt_1,Australia,80000000,1.85
42,http://www.imdb.com/title/tt1618442/?ref_=fn_tt_tt_1,USA,90000000,2.35
14,http://www.imdb.com/title/tt0199753/?ref_=fn_tt_tt_1,USA,70000000,2.35
0,http://www.imdb.com/title/tt0344854/?ref_=fn_tt_tt_1,France,86000000,2.35
63,http://www.imdb.com/title/tt0765128/?ref_=fn_tt_tt_1,France,40000000,2.35
0,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1,UK,52000000,2.35
545,http://www.imdb.com/title/tt1921064/?ref_=fn_tt_tt_1,Canada,80000000,2.35
0,http://www.imdb.com/title/tt4057916/?ref_=fn_tt_tt_1,Mexico,8000000,
2000,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1,USA,58000000,1.85
28,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1,USA,45000000,1.66
62,http://www.imdb.com/title/tt1397514/?ref_=fn_tt_tt_1,USA,79000000,1.85
18,http://www.imdb.com/title/tt1985966/?ref_=fn_tt_tt_1,USA,78000000,2.35
420,http://www.imdb.com/title/tt0289765/?ref_=fn_tt_tt_1,Germany,78000000,2.35
394,http://www.imdb.com/title/tt0317648/?ref_=fn_tt_tt_1,USA,100000000,2.35
221,http://www.imdb.com/title/tt0810913/?ref_=fn_tt_tt_1,USA,79000000,1.85
309,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,USA,76000000,2.35
54,http://www.imdb.com/title/tt1754656/?ref_=fn_tt_tt_1,France,81200000,2.35
101,http://www.imdb.com/title/tt0427392/?ref_=fn_tt_tt_1,USA,80000000,1.85
5,http://www.imdb.com/title/tt0131704/?ref_=fn_tt_tt_1,USA,76000000,1.85
11,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,Japan,75000000,1.85
45,http://www.imdb.com/title/tt0311429/?ref_=fn_tt_tt_1,USA,78000000,2.35
275,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,USA,76000000,1.85
776,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,USA,75000000,2.35
14000,http://www.imdb.com/title/tt0119567/?ref_=fn_tt_tt_1,USA,73000000,1.85
35,http://www.imdb.com/title/tt0351283/?ref_=fn_tt_tt_1,USA,75000000,1.85
0,http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1,USA,76000000,1.85
0,http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1,USA,75000000,2.35
335,http://www.imdb.com/title/tt0493464/?ref_=fn_tt_tt_1,USA,75000000,2.35
0,http://www.imdb.com/title/tt0117500/?ref_=fn_tt_tt_1,USA,75000000,2.35
107,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1,USA,80000000,1.85
88,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,USA,75000000,2.35
163,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1,USA,75000000,2.35
212,http://www.imdb.com/title/tt0204313/?ref_=fn_tt_tt_1,USA,50000000,2.0
16,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1,USA,75000000,1.85
255,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,USA,75000000,2.35
221,http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1,USA,80000000,1.85
14000,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1,USA,60000000,1.85
,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1,USA,,16.0
87,http://www.imdb.com/title/tt0785006/?ref_=fn_tt_tt_1,USA,35000000,1.85
258,http://www.imdb.com/title/tt0190865/?ref_=fn_tt_tt_1,USA,75000000,1.85
0,http://www.imdb.com/title/tt0472062/?ref_=fn_tt_tt_1,USA,75000000,1.85
10,http://www.imdb.com/title/tt0307453/?ref_=fn_tt_tt_1,USA,75000000,1.85
386,http://www.imdb.com/title/tt0443489/?ref_=fn_tt_tt_1,USA,70000000,2.35
,http://www.imdb.com/title/tt0874936/?ref_=fn_tt_tt_1,USA,,
473,http://www.imdb.com/title/tt0377471/?ref_=fn_tt_tt_1,USA,53000000,2.4
14000,http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1,France,70000000,2.35
845,http://www.imdb.com/title/tt0314353/?ref_=fn_tt_tt_1,USA,70000000,2.35
126,http://www.imdb.com/title/tt1103153/?ref_=fn_tt_tt_1,USA,75000000,2.35
0,http://www.imdb.com/title/tt1638355/?ref_=fn_tt_tt_1,USA,75000000,2.35
274,http://www.imdb.com/title/tt0371246/?ref_=fn_tt_tt_1,USA,80000000,1.85
27,http://www.imdb.com/title/tt0385880/?ref_=fn_tt_tt_1,USA,75000000,2.35
272,http://www.imdb.com/title/tt0219965/?ref_=fn_tt_tt_1,USA,80000000,2.35
109,http://www.imdb.com/title/tt0113071/?ref_=fn_tt_tt_1,USA,55000000,1.85
72,http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1,USA,75000000,2.35
763,http://www.imdb.com/title/tt1253864/?ref_=fn_tt_tt_1,USA,75000000,1.85
17,http://www.imdb.com/title/tt0340163/?ref_=fn_tt_tt_1,USA,52000000,2.35
383,http://www.imdb.com/title/tt0120913/?ref_=fn_tt_tt_1,USA,75000000,2.35
41,http://www.imdb.com/title/tt0329717/?ref_=fn_tt_tt_1,USA,75000000,2.35
545,http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1,UK,75000000,2.35
10,http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1,USA,,2.35
253,http://www.imdb.com/title/tt0166276/?ref_=fn_tt_tt_1,USA,75000000,1.85
212,http://www.imdb.com/title/tt0377062/?ref_=fn_tt_tt_1,USA,45000000,2.35
0,http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1,USA,75000000,2.35
22,http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1,USA,74000000,1.85
0,http://www.imdb.com/title/tt0978764/?ref_=fn_tt_tt_1,USA,82000000,2.35
0,http://www.imdb.com/title/tt0120832/?ref_=fn_tt_tt_1,USA,69000000,2.35
272,http://www.imdb.com/title/tt0120184/?ref_=fn_tt_tt_1,USA,75000000,2.35
6,http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1,USA,73000000,1.85
72,http://www.imdb.com/title/tt0770752/?ref_=fn_tt_tt_1,USA,70000000,2.35
0,http://www.imdb.com/title/tt1201167/?ref_=fn_tt_tt_1,USA,75000000,1.85
532,http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1,USA,70000000,2.35
285,http://www.imdb.com/title/tt0415306/?ref_=fn_tt_tt_1,USA,73000000,2.35
41,http://www.imdb.com/title/tt0240462/?ref_=fn_tt_tt_1,USA,72000000,2.35
0,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,USA,72000000,2.35
0,http://www.imdb.com/title/tt0418763/?ref_=fn_tt_tt_1,Germany,70000000,2.35
30,http://www.imdb.com/title/tt0462538/?ref_=fn_tt_tt_1,USA,75000000,2.35
0,http://www.imdb.com/title/tt0268995/?ref_=fn_tt_tt_1,USA,72000000,1.85
212,http://www.imdb.com/title/tt0132245/?ref_=fn_tt_tt_1,USA,72000000,2.35
218,http://www.imdb.com/title/tt0338512/?ref_=fn_tt_tt_1,France,59660000,2.35
0,http://www.imdb.com/title/tt0368447/?ref_=fn_tt_tt_1,USA,60000000,1.85
84,http://www.imdb.com/title/tt0118998/?ref_=fn_tt_tt_1,USA,71500000,1.85
0,http://www.imdb.com/title/tt0286106/?ref_=fn_tt_tt_1,USA,72000000,1.85
80,http://www.imdb.com/title/tt0298148/?ref_=fn_tt_tt_1,USA,150000000,1.85
487,http://www.imdb.com/title/tt0317219/?ref_=fn_tt_tt_1,USA,120000000,2.35
0,http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1,USA,70000000,2.35
357,http://www.imdb.com/title/tt0295701/?ref_=fn_tt_tt_1,USA,70000000,2.35
5,http://www.imdb.com/title/tt2279373/?ref_=fn_tt_tt_1,USA,74000000,1.85
2000,http://www.imdb.com/title/tt0117438/?ref_=fn_tt_tt_1,USA,80000000,1.85
16000,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,USA,75000000,2.35
14000,http://www.imdb.com/title/tt0102057/?ref_=fn_tt_tt_1,USA,70000000,2.35
420,http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1,USA,100000000,2.35
212,http://www.imdb.com/title/tt0099423/?ref_=fn_tt_tt_1,USA,70000000,2.35
69,http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1,USA,80000000,2.35
,http://www.imdb.com/title/tt2647544/?ref_=fn_tt_tt_1,USA,,16.0
488,http://www.imdb.com/title/tt0259711/?ref_=fn_tt_tt_1,USA,68000000,1.85
0,http://www.imdb.com/title/tt0452637/?ref_=fn_tt_tt_1,USA,70000000,1.85
545,http://www.imdb.com/title/tt0370263/?ref_=fn_tt_tt_1,USA,60000000,2.35
84,http://www.imdb.com/title/tt1231580/?ref_=fn_tt_tt_1,USA,75000000,1.85
130,http://www.imdb.com/title/tt0277434/?ref_=fn_tt_tt_1,USA,75000000,2.35
845,http://www.imdb.com/title/tt2302755/?ref_=fn_tt_tt_1,USA,70000000,2.35
906,http://www.imdb.com/title/tt0120844/?ref_=fn_tt_tt_1,USA,58000000,2.35
473,http://www.imdb.com/title/tt1217613/?ref_=fn_tt_tt_1,USA,70000000,2.35
13000,http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1,USA,70000000,1.37
0,http://www.imdb.com/title/tt0111742/?ref_=fn_tt_tt_1,USA,70000000,1.85
14000,http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1,USA,66000000,2.35
0,http://www.imdb.com/title/tt2177771/?ref_=fn_tt_tt_1,USA,70000000,2.35
0,http://www.imdb.com/title/tt0096754/?ref_=fn_tt_tt_1,USA,69500000,2.35
0,http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1,USA,70000000,2.35
28,http://www.imdb.com/title/tt0829150/?ref_=fn_tt_tt_1,USA,70000000,2.35
380,http://www.imdb.com/title/tt0133952/?ref_=fn_tt_tt_1,USA,70000000,2.35
905,http://www.imdb.com/title/tt0486655/?ref_=fn_tt_tt_1,UK,70000000,2.35
218,http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1,USA,70000000,2.35
2000,http://www.imdb.com/title/tt1578275/?ref_=fn_tt_tt_1,USA,70000000,2.35
541,http://www.imdb.com/title/tt0280486/?ref_=fn_tt_tt_1,USA,70000000,2.35
43,http://www.imdb.com/title/tt0419706/?ref_=fn_tt_tt_1,UK,60000000,2.35
84,http://www.imdb.com/title/tt0297181/?ref_=fn_tt_tt_1,USA,70000000,1.37
24,http://www.imdb.com/title/tt1496025/?ref_=fn_tt_tt_1,USA,70000000,2.35
163,http://www.imdb.com/title/tt1336608/?ref_=fn_tt_tt_1,USA,75000000,2.35
40,http://www.imdb.com/title/tt0251114/?ref_=fn_tt_tt_1,USA,60000000,2.35
5,http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1,UK,35000000,2.35
323,http://www.imdb.com/title/tt0246894/?ref_=fn_tt_tt_1,USA,70000000,2.35
8,http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1,USA,70000000,2.35
13,http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1,USA,70000000,2.35
