num_critic_for_reviews,actor_1_name,cast_total_facebook_likes,country,content_rating
153,Danneel Ackles,4065,USA,R
414,Michael Kelly,2054,USA,PG-13
16,Miriam Margolyes,914,UK,PG
139,Shelley Duvall,2730,UK,PG
111,Britney Spears,1531,USA,PG-13
229,Dax Flame,2043,USA,R
112,George C. Scott,1306,USA,GP
207,Robin Williams,52138,USA,R
198,Andrew Fiscella,140268,USA,R
172,Chloë Grace Moretz,18765,USA,PG-13
45,Vanessa Williams,5006,USA,PG-13
34,Hector Elizondo,6105,USA,R
75,Steven Mackintosh,534,USA,G
400,Eva Green,9125,UK,PG-13
128,Salma Hayek,7072,USA,R
68,Lexie Contursi,52,USA,PG
326,Shailene Woodley,10565,USA,PG-13
128,Matt Damon,14890,USA,R
161,Rosario Dawson,5592,USA,R
70,Talia Shire,729,USA,PG
164,Illeana Douglas,1254,USA,R
68,Peter Mensah,6091,USA,TV-MA
354,Steve Coogan,2376,UK,PG-13
125,Alicia Witt,2944,USA,R
55,Laurence Olivier,4659,UK,R
66,Tammin Sursok,3963,USA,PG
191,Nat Wolff,2753,USA,PG-13
33,Michael Imperioli,3646,USA,PG-13
433,Devin Ratray,3798,USA,R
66,CCH Pounder,3931,USA,R
37,Noel Fisher,4551,USA,PG
325,Charlize Theron,10575,USA,R
170,Jason Statham,28767,USA,R
11,Bernie Mac,2939,USA,R
24,Holly Hunter,3250,USA,R
70,Common,3906,USA,PG
232,Anne Hathaway,12274,USA,R
34,Anjelica Huston,1456,USA,R
160,Scarlett Johansson,34700,UK,PG-13
96,Jürgen Prochnow,469,West Germany,R
106,Dennis Quaid,5780,USA,PG-13
53,Heather Matarazzo,2393,USA,R
274,Tom Hughes,1595,UK,R
248,Takeshi Kaneshiro,1244,China,PG-13
288,Nate Parker,2440,USA,R
177,Gary Weeks,1819,USA,PG-13
81,Cedric the Entertainer,1141,USA,R
29,Sarah Silverman,3848,USA,PG-13
58,Christopher Lambert,4755,Australia,R
144,John Michael Higgins,3535,USA,PG-13
114,Melanie Griffith,943,USA,R
132,Jill Clayburgh,1291,USA,R
60,Anika Noni Rose,1445,USA,PG
30,Michael Imperioli,4497,USA,R
138,Jennifer Jason Leigh,1171,Australia,R
190,Isabella Rossellini,1540,USA,R
61,Bob Hoskins,7166,UK,R
363,Doona Bae,1173,South Korea,R
2,Robert Duvall,4277,USA,PG
131,Jeremy Davies,2543,Czech Republic,R
146,Robert Downey Jr.,22577,USA,R
280,Toni Servillo,456,Italy,Not Rated
78,Kieran Culkin,1292,USA,R
469,Mia Wasikowska,5074,UK,R
194,Li Gong,2378,Hong Kong,R
121,David Richmond-Peck,141,USA,PG-13
38,Eamonn Walker,1579,USA,PG
123,Tony Curran,1554,Ireland,PG-13
81,Omar Epps,2126,USA,R
72,Michael Jeter,1373,USA,R
25,Kyra Sedgwick,3099,Australia,R
78,Eva Amurri Martino,2073,USA,R
57,Dianne Wiest,3878,USA,PG-13
69,Zack Ward,1952,Germany,R
73,Marcell Nagy,11,Hungary,R
42,Bruce Willis,17417,USA,R
101,Honglei Sun,18,China,R
82,David Hewlett,1501,USA,R
149,Ye Liu,91,China,R
165,Jim Parsons,17883,USA,PG
5,Jon Heder,1854,China,PG
44,Takuya Kimura,164,Japan,TV-14
74,Richard Coyle,708,Georgia,R
156,Rachael Carpani,433,UK,R
1,Christopher Lambert,2059,USA,R
82,Jacob Vargas,663,USA,PG
151,Jason Statham,39175,UK,R
3,Gary Daniels,895,USA,PG
98,Miko Hughes,2987,USA,R
25,Tatsuo Matsumura,30,Japan,
35,Paddy Considine,1780,UK,R
6,Wei Tang,244,China,
