director_name,num_critic_for_reviews,actor_3_facebook_likes,gross,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Francis Ford Coppola,112,507,,Twixt ,8589,0,ghost|hotel|murder|stake|what happened to epilogue,USA,R,7000000,844,1.85,0
Vladlen Barbe,10,26,,Snow Queen ,1159,1,3d,Russia,PG,7000000,62,,453
Richard Rich,2,29,,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,192,0,blindness|cave|spirit|wolf|wolf cub,USA,,7000000,35,,41
Clint Eastwood,38,240,41400000,Pale Rider ,39451,0,gold|miner|preacher|prospector|sheriff,USA,R,6900000,455,2.35,0
Robert C. Cooper,18,687,,Stargate: The Ark of Truth ,15862,5,2000s|evil god|space opera|stargate|wormhole,USA,,,847,1.78,389
Richard Linklater,152,787,7993039,Dazed and Confused ,120036,1,football|hazing|high school|last day of school|pledge,USA,R,6900000,1000,1.85,10000
Kenny Ortega,44,578,,High School Musical 2 ,39786,5,2000s|basketball|country club|lifeguard|talent show,USA,TV-G,7000000,632,1.78,586
Kim Nguyen,6,63,,Two Lovers and a Bear ,33,0,,Canada,,8700000,147,2.35,187
Jackie Earle Haley,46,493,,Criminal Activities ,5255,3,african american gangster|falling to death|in over one's head|murder|surveillance,USA,,7000000,725,2.35,0
Max Färberböck,63,36,927107,Aimee & Jaguar ,5153,1,lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism,Germany,,15000000,66,1.85,687
Arie Posin,74,436,49526,The Chumscrubber ,16299,1,chumscrubber|death|friend|pills|school,USA,R,6800000,697,2.35,1000
Damian Nieman,25,83,10696,Shade ,10771,8,bar|strip club|stripper|texas hold 'em|thong,USA,R,6800000,83,2.35,413
Mark Tonderai,224,261,31607598,House at the End of the Street ,58366,1,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,Canada,PG-13,6900000,924,2.35,10000
Denis Villeneuve,226,58,6857096,Incendies ,80429,0,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,Canada,R,6800000,66,1.85,37000
Gabriele Muccino,36,11,223878,"Remember Me, My Love ",3548,1,box office hit|dancer|sex scene|television|underage sex,Italy,R,5000000,29,2.35,282
Ian Fitzgibbon,54,415,828,Perrier's Bounty ,5133,8,burglary|estranged father|money|neighbor|thug,Ireland,R,,418,2.35,663
José Padilha,142,15,8060,Elite Squad ,81644,1,brazil|military police|police|rio de janeiro brazil|slum,Brazil,R,4000000,39,1.85,11000
John R. Leonetti,271,300,84263837,Annabelle ,81699,0,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,USA,R,6500000,421,2.35,45000
Rachel Perkins,33,38,110029,Bran Nue Dae ,1388,7,australia|journey|love|priest|traveling,Australia,PG-13,6500000,46,2.35,479
John Singleton,64,15,57504069,Boyz n the Hood ,94139,2,drugs|escape|football|friend|violence,USA,R,6000000,26,1.85,0
Luis Valdez,18,51,54215416,La Bamba ,21409,1,crash|hispanic|interracial relationship|interracial romance|racism,USA,PG-13,6500000,63,1.85,0
Alan Alda,6,146,,The Four Seasons ,3157,2,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,USA,PG,,167,1.85,337
Brian De Palma,121,517,31899000,Dressed to Kill ,23986,0,apartment|elevator|murder|psychiatrist|sunglasses,USA,X,6500000,567,2.35,0
Stephen Sommers,14,689,24103594,The Adventures of Huck Finn ,6384,0,boy|lesson|mississippi river|river|slave,USA,PG,6500000,827,1.85,391
Doug Liman,137,376,16842303,Go ,59474,3,drug deal|drugs|sex|sex on stairs|strip club,USA,R,6500000,563,2.35,0
Nicole Holofcener,111,180,13367101,Friends with Money ,19715,2,friend|friendship|marital problem|money problems|nervous breakdown,USA,R,6500000,230,2.35,515
Robert Wise,57,45,,The Andromeda Strain ,25857,0,alien|baby|new mexico|satellite|scientist,USA,G,6500000,112,2.35,0
Louis Morneau,97,91,10149779,Bats ,8294,0,animal attack|bat|creature feature|experiment|mad scientist,USA,PG-13,6500000,461,2.35,342
Caroline Link,73,8,6173485,Nowhere in Africa ,10672,0,breasts|farm|jew|kenya|tween girl,Germany,R,7000000,36,2.35,802
Steve McQueen,486,726,4000304,Shame ,145395,0,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,UK,NC-17,6500000,898,2.35,23000
Matthew Vaughn,149,466,2338695,Layer Cake ,134070,1,cake|cocaine|drugs|pills|serbian,UK,R,4000000,594,2.35,0
Sterling Van Wagenen,4,266,2024854,The Work and the Glory II: American Zion ,564,2,estrangement|missouri|mormon|mormon church|mormon temple,USA,PG-13,6500000,373,2.35,19
Zal Batmanglij,200,782,2268296,The East ,41856,4,anarchist|corporation|greedy institution|vomiting|watching television,UK,PG-13,6500000,918,2.35,12000
Michael Mayer,84,874,1029017,A Home at the End of the World ,12049,2,hand job|hugging|long hair|new york city|two men one woman,USA,R,6500000,986,2.35,1000
Hans Petter Moland,28,0,64148,Aberdeen ,2601,0,death|ferry|lawyer|norway|vomiting,UK,,6500000,2,1.85,260
Oren Moverman,217,706,66637,The Messenger ,29608,0,captain|casualty notification|casualty notification team|sergeant|staff sergeant,USA,R,6500000,712,2.35,0
Ian Sharp,12,368,,Tracker ,2892,0,one word title,New Zealand,R,6500000,433,2.35,830
Anton Corbijn,183,471,871577,Control ,51353,1,band|employment agency|singer|stage fright|suicide,UK,R,4500000,631,2.35,13000
James Cameron,204,255,38400000,The Terminator ,600266,1,cyborg|future war|robot|shootout in a police station|urban setting,UK,R,6500000,663,1.85,13000
Wolfgang Becker,153,43,4063859,Good Bye Lenin! ,114407,2,coma|east germany|german democratic republic|germany|heart attack,Germany,R,4800000,51,1.85,11000
Tom Hooper,145,27,449558,The Damned United ,32307,2,cup|derby county|flashback|football|leeds united,UK,R,10000000,54,1.85,0
Dan O'Bannon,203,358,,The Return of the Living Dead ,39856,0,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,USA,R,4000000,426,1.85,0
,10,5,,Gomorrah             ,9638,5,,Italy,TV-MA,,9,1.85,0
Kevin Smith,93,781,2122561,Mallrats ,99033,6,comic|ex girlfriend|jay and silent bob|mall|teenager,USA,R,6000000,898,1.85,0
Randal Kleiser,124,898,181360000,Grease ,170027,2,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,USA,PG-13,6000000,944,2.35,13000
Oliver Stone,120,576,137963328,Platoon ,291603,0,1960s|famous score|hero|vietnam|vietnam war,UK,R,6000000,854,1.85,9000
Michael Moore,288,282,119078393,Fahrenheit 9/11 ,113152,0,anti war|interview|iraq|paranoia|war on terrorism,USA,R,6000000,328,1.85,0
George Roy Hill,130,399,102308900,Butch Cassidy and the Sundance Kid ,152089,1,bolivia|gang|outlaw|posse|train,USA,M,6000000,566,2.35,0
Robert Stevenson,145,266,102300000,Mary Poppins ,107408,2,banker|female protagonist|live action and animation|magic|nanny,USA,Approved,6000000,279,1.66,0
Robert Redford,62,535,54800000,Ordinary People ,35130,3,choir|death|friend|suicide|therapy,USA,R,6000000,553,1.85,0
Frank Coraci,188,447,24004159,Around the World in 80 Days ,68722,0,19th century|around the world|inventor|martial arts|train,USA,PG,110000000,1000,2.35,0
Jerome Robbins,120,249,43650000,West Side Story ,71919,0,dance|gang|new york city|puerto rican|tragedy,USA,Unrated,6000000,271,2.2,0
Harold Ramis,71,484,39800000,Caddyshack ,81599,3,caddy|country club|golf course|gopher|nudity,USA,R,6000000,573,1.85,0
Gary Hardwick,52,578,27457409,The Brothers ,3198,4,african american|commitment|friend|friendship|playboy,USA,R,6000000,685,1.85,478
Rick Famuyiwa,18,328,25047631,The Wood ,6585,0,flashback|friendship|public nudity|shower|wedding,USA,R,6000000,405,1.85,990
Bryan Singer,162,574,23272306,The Usual Suspects ,740918,4,criminal|dirty cop|flashback|limping|suspect,USA,R,6000000,979,2.35,28000
Stephen Hopkins,88,92,22168359,A Nightmare on Elm Street 5: The Dream Child ,29659,0,child|comic book|dream|murderer|nightmare,USA,X,8000000,101,1.85,1000
Walt Becker,96,583,21005329,Van Wilder: Party Liaison ,89128,0,college|love|party|reporter|tuition,Germany,R,6000000,876,1.85,0
Darren Aronofsky,391,120,26236603,The Wrestler ,251349,0,heart attack|stripper|supermarket|wrestler|wrestling,USA,R,6000000,245,2.35,10000
King Vidor,32,332,20400000,Duel in the Sun ,6304,0,box office hit|half breed|infidelity|shooting|texas,USA,Unrated,8000000,436,1.37,403
Christopher Guest,119,658,18621249,Best in Show ,45859,9,dog show|gay|gay character|gay couple|gay interest,USA,PG-13,6000000,925,1.85,0
John Carpenter,201,381,25244700,Escape from New York ,91017,1,1990s|police|prison|rescue|year 1997,UK,R,6000000,602,2.35,0
Spike Lee,22,182,14545844,School Daze ,4756,4,beauty salon|black college|college|fraternity|sorority,USA,R,6500000,282,1.85,624
Fred Savage,52,405,13235267,Daddy Day Camp ,12339,2,competition|estranged father|skunk|summer camp|wall,USA,PG,6000000,484,1.85,256
Sammo Kam-Bo Hung,63,64,12674183,Mr. Nice Guy ,19774,1,chef|cook|drugs|gang|reporter,Hong Kong,PG-13,,155,2.35,355
Christopher Guest,97,345,17508936,A Mighty Wind ,22408,0,concert|mockumentary|musician|new york city|singer,USA,PG-13,,378,1.85,0
Donald Petrie,34,658,12793213,Mystic Pizza ,18286,4,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,USA,R,6000000,960,1.85,0
,10,502,,War & Peace             ,9277,1,male frontal nudity|male nudity|tv mini series,UK,TV-14,,888,16.0,11000
Peter Howitt,88,161,11883495,Sliding Doors ,52805,1,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,UK,R,9000000,427,1.85,0
Rusty Cundieff,25,360,11797927,Tales from the Hood ,4582,0,child abuse|death|drugs|ku klux klan|police brutality,USA,R,6000000,475,1.85,985
Kevin Macdonald,252,25,17605861,The Last King of Scotland ,145580,1,1970s|assassination|doctor|scottish|ugandan,UK,R,6000000,149,2.35,0
Dominique Othenin-Girard,137,120,11642254,Halloween 5 ,22929,1,cat|halloween|kitten|michael myers|psychotronic,USA,X,3000000,256,1.85,926
Richard Linklater,231,84,9203192,Bernie ,45396,1,funeral|stockbroker|texas|vacation|widow,USA,PG-13,5000000,106,1.85,15000
Jean-Jacques Mantello,9,,7518876,Dolphins and Whales 3D: Tribes of the Ocean ,172,0,3d in title|animal in title|digit in title|dolphin|manatee,UK,,6000000,0,1.78,28
Ed Harris,115,221,8596914,Pollock ,23023,0,1940s|artist|drinking|life magazine|painter,USA,R,6000000,394,1.85,0
Risa Bramon Garcia,67,612,6851636,200 Cigarettes ,13010,5,bartender|friend|new year's eve|party|punk,USA,R,6000000,744,1.85,0
Brian Klugman,216,10000,11434867,The Words ,59637,1,american in paris|book|love|novel|writer,USA,PG-13,6000000,14000,1.85,21000
Matt Piedmont,133,546,5895238,Casa de mi Padre ,17169,1,absurd humor|drug lord|mexico|ranch|spaghetti western,USA,R,6000000,806,2.35,9000
Raymond De Felitta,149,130,6670712,City Island ,27301,6,anger|family reunion|father son reunion|hugging|movie making,USA,PG-13,6000000,591,1.85,0
John Michael McDonagh,261,28,5359774,The Guard ,64794,0,boat on fire|drug smuggling|fbi|fbi agent|small town,Ireland,R,6000000,482,2.35,17000
Deb Hagan,42,664,4693919,College ,11011,0,college|face slap|high school|loss of virginity|pierced nipple,USA,R,6500000,1000,1.85,422
Sofia Coppola,152,826,4859475,The Virgin Suicides ,116910,0,catholic|five sisters|isolation|school|suicide,USA,R,6000000,899,1.85,0
Mark Herman,64,286,4595000,Little Voice ,13892,4,mother|recluse|shy|singer|talent,UK,R,,497,1.85,915
Zach Cregger,76,263,4542775,Miss March ,18313,2,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity,USA,R,6000000,308,1.85,985
Zach Braff,149,379,3588432,Wish I Was Here ,29341,4,actor|dream sequence|genius recluse|jew|religion,USA,R,6000000,1000,2.35,0
Mark Tarlov,35,353,4394936,Simply Irresistible ,11439,1,chef|female chef|love|magic|restaurant,Germany,PG-13,6000000,812,2.35,901
,47,724,,Veronica Mars             ,55524,1,best friend|high school|private detective|sheriff|student,USA,TV-14,,828,1.78,0
John Cameron Mitchell,108,179,3029081,Hedwig and the Angry Inch ,26300,0,band|rock band|sex change|song|transsexual,USA,R,6000000,261,1.85,0
Sheldon Lettich,17,82,3273588,Only the Strong ,4195,1,capoeira|fight|fighting|martial arts|violence,USA,PG-13,6000000,91,1.85,0
Jon Knautz,12,34,,Goddess of Love ,522,0,female nudity|hallucination|sex scene|strip club|stripper,USA,,,77,2.35,84
Billy Ray,129,491,2207975,Shattered Glass ,28855,0,fabricated facts|journalist|stephen glass|the new republic|writer,USA,PG-13,6000000,3000,2.35,0
David Atkins,84,15,2025238,Novocaine ,9589,3,dentist|drugs|murder|sex|sunflower,USA,R,6000000,230,1.85,289
Patrick Stettner,61,152,1028337,The Business of Strangers ,3413,2,airport|businesswoman|hotel|revenge|vegetarian,USA,R,,257,1.85,29
Sam Peckinpah,147,242,,The Wild Bunch ,63192,1,friendship|honor|righteous rage|soldier|texas,USA,R,6244087,288,2.35,0
Jonathan Levine,147,362,2077046,The Wackness ,27266,2,ice cream|marijuana|new york city|summer|therapy,USA,R,6000000,617,2.35,0
Michael Crichton,23,20,,The Great Train Robbery ,11623,2,bank|gold|key|safe|train,UK,PG,6000000,34,1.85,643
Lynne Ramsay,75,53,267194,Morvern Callar ,6906,0,breasts|cleavage|female rear nudity|girl in panties|public nudity,UK,R,,104,1.85,605
Sylvio Tabet,17,284,869325,Beastmaster 2: Through the Portal of Time ,2281,2,beast|beastmaster|psychotronic|sword and sorcery|warrior,USA,PG-13,6000000,514,1.85,125
Rick Bieber,16,316,399611,The 5th Quarter ,1245,2,athletic training|football practice|funeral|gymnasium|man crying,USA,PG,6000000,529,1.85,0
Claude Chabrol,60,27,181798,The Flower of Evil ,2591,5,bordeaux|election|mayor|pamphlet|political thriller,France,R,,67,1.66,52
Shana Feste,63,71,115862,The Greatest ,7394,2,car crash|loss|self help group|teenage mother|title directed by female,USA,R,6000000,943,2.35,0
Wayne Wang,56,451,1346503,Snow Flower and the Secret Fan ,3024,0,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,China,PG-13,6000000,595,2.35,0
Joey Lauren Adams,36,90,117560,Come Early Morning ,2330,0,church|drink|knocking on a door|love|three word title,USA,R,6000000,206,1.85,224
Peter Cattaneo,47,419,54606,Lucky Break ,1940,0,escape|prison|prison escape|sadism|solitary confinement,UK,PG-13,6000000,766,2.35,30
Fred Zinnemann,38,898,,Julia ,6454,2,1930s|female protagonist|nazi|romantic friendship|writer,USA,PG,7840000,949,1.85,733
S.R. Bindler,26,499,36497,"Surfer, Dude ",7367,0,barefoot|endorsement|surfboard|virtual reality|waves,USA,R,6000000,826,1.85,850
Tony Kaye,47,0,23807,Lake of Fire ,2143,0,abortion|southern accent|title based on the bible|trial|usa,USA,Unrated,,2,,570
Greg Marcks,68,407,,11:14 ,38273,1,convenience store|multiple perspectives|murder|paramedic|van,USA,R,6000000,618,1.85,0
Perry Lang,19,259,,Men of War ,2989,1,cockney accent|fight|island|machismo|mercenary,USA,R,8600000,472,2.35,176
Jake Goldberger,39,99,,Don McKay ,2050,1,dead body|dead body in a freezer|dead body wrapped in carpet|person in a car trunk|school janitor,USA,R,,521,1.85,275
Stefan Ruzowitzky,162,874,65804,Deadfall ,32512,1,police officer|police officer killed|police officer shot|sex scene,USA,R,12000000,10000,2.35,0
Vic Sarin,37,130,,A Shine of Rainbows ,1696,2,island|love|new home|orphan|rainbow,Canada,PG,6000000,767,2.35,1000
William Kaufman,26,787,,The Hit List ,10196,1,die hard scenario|engineer|held at gunpoint|race against time|shot to death,USA,R,6000000,816,1.85,0
,10,334,,Emma             ,10388,1,friendship|love triangle|matchmaker|naivety|opposites attract,UK,,,432,1.78,0
David Cronenberg,179,15,,Videodrome ,60522,0,cyberpunk|hallucination|illegality|snuff film|surrealism,Canada,R,5952000,20,1.85,0
Cédric Klapisch,88,269,3895664,L'auberge espagnole ,34383,0,apartment|erasmus|language|student|trip,France,R,5300000,447,1.85,0
Kate Barker-Froyland,43,444,20200,Song One ,6797,1,musician|number in title|recording|sibling,USA,PG-13,6000000,485,,0
Barbet Schroeder,136,400,31874869,Murder by Numbers ,43575,0,disposing of a dead body|high school student|murder|sociopath|teenage boy,USA,R,50000000,455,1.85,0
Martin Koolhoven,111,19,542860,Winter in Wartime ,9230,1,horse|nazi|occupation|resistance movement|uncle nephew relationship,Netherlands,R,4000000,20,2.35,0
Charles Matthau,13,1000,,Freaky Deaky ,6741,0,black panties|bomb squad|car bomb|dynamite|girl in panties,USA,R,6000000,2000,,0
John Frankenheimer,64,28,,The Train ,10119,0,art|french|german|painting|train,France,Unrated,6700000,94,1.66,0
Christopher M. Bessette,6,57,15059,Trade of Innocents ,748,2,angkor wat|human trafficking|sex slavery|sex tourism,USA,PG-13,,323,2.35,543
Prachya Pinkaew,112,380,11905519,The Protector ,30210,0,die hard scenario|elephant|long take|police|sydney australia,Thailand,R,200000000,635,1.85,0
Gary Sinyor,12,136,69582,Stiff Upper Lips ,867,2,class conflict|edwardian era|england|sexual awakening|spoof,UK,R,,338,1.85,109
,15,220,,The Inbetweeners             ,55987,0,black comedy|bully|friend|house|practical joke,UK,TV-14,,223,16.0,0
Gurinder Chadha,161,397,32541719,Bend It Like Beckham ,89806,0,hinduism|marriage engagement|soccer|team|tradition,UK,PG-13,3500159,528,1.85,0
John Sayles,68,501,3064356,Sunshine State ,3433,6,african american|business|coastline|florida|real estate,USA,PG-13,5600000,659,1.85,160
Preston A. Whitmore II,25,255,7009668,Crossover ,8707,6,african american|basketball|basketball movie|critically bashed|tv commercial,USA,PG-13,5600000,378,1.85,244
Ashish R. Mohan,23,61,352684,Khiladi 786 ,4633,1,car crash|impersonating a police officer|long lost brother|marriage bureau|suitor,India,Not Rated,,284,,365
Jaume Balagueró,222,6,27024,[Rec] 2 ,55597,0,apartment|apartment building|blood sample|crucifix|zombie,Spain,R,5600000,9,1.85,4000
