duration,actor_2_name,cast_total_facebook_likes,facenumber_in_poster,content_rating,budget,actor_2_facebook_likes,imdb_score
92,Stephen Root,4730,0,PG-13,20000000,939,6.7
100,Carly Schroeder,1491,1,PG-13,2500000,261,5.7
80,Emily Pearson,210,0,R,2500000,12,7.1
106,Anupam Kher,1739,2,PG-13,14000000,397,6.2
103,Rüdiger Vogler,163,0,R,8400000,10,6.1
90,Jacob Vargas,862,0,PG-13,2500000,399,5.9
96,Rainn Wilson,4590,0,R,2500000,973,6.8
89,Piper Mackenzie Harris,2579,2,TV-PG,2500000,607,5.8
87,Cecilia Pillado,3157,0,Not Rated,2500000,625,5.0
94,Emmanuel Kabongo,2406,1,,3500000,677,6.3
120,Harry Lennix,5963,10,R,2400000,748,6.8
101,Max Ryan,2306,0,PG-13,2400000,872,5.1
84,Patrick Fischler,1490,0,R,,497,6.6
110,Kevin Leslie,881,0,R,2500000,159,5.0
101,Joseph Gilgun,3282,0,Unrated,1500000,788,7.7
101,Sean Pertwee,3132,0,R,2500000,722,3.1
101,Basil Rathbone,1627,2,Passed,2361000,659,6.5
105,Aimee Garcia,1668,0,PG-13,2450000,618,3.9
97,Michael O'Neill,2580,0,PG,,599,6.8
108,Ava Gardner,2329,3,Approved,2295429,715,7.0
95,Cinda McCain,3586,4,PG-13,,646,5.9
108,Ellen Burstyn,4385,2,R,,1000,5.8
90,Phil Hartman,12359,0,Not Rated,2300000,516,7.3
120,Deems Taylor,16,0,G,2280000,0,7.8
104,Fernando Rey,1196,0,R,1800000,165,7.8
90,Sebastian Aguilar,210,1,PG-13,2500000,0,6.9
91,Dana Kimmell,174,0,R,4000000,31,5.7
92,Melanie Kinnaman,170,0,R,2200000,27,4.7
117,Louise Fletcher,2161,0,PG-13,2200000,425,5.9
120,Delroy Lindo,6752,5,PG-13,2300000,848,5.9
90,Kayla Ewell,1651,2,R,2200000,399,4.3
119,Greer Garson,1490,0,Passed,2160000,284,7.5
90,Ethan Peck,3799,2,R,,800,4.8
90,Zohra Segal,244,3,,1200000,79,5.8
97,James Wolk,6085,5,,2400000,938,5.3
90,Daniel Kash,558,2,R,2500000,52,6.0
172,Teresa Wright,1941,5,Not Rated,2100000,208,8.1
115,Nick Stahl,3293,0,R,,648,7.0
89,Per Christian Ellefsen,155,0,R,15500000,21,7.6
125,Arturo Castro,214,0,R,2100000,22,7.2
78,Pablo Rosso,145,0,R,1500000,9,7.5
89,Martha Higareda,3873,1,TV-PG,2100000,718,6.3
100,David Proval,1814,0,,2100000,354,6.7
77,Michael Chapman,2044,0,,,366,4.8
81,Maria Doyle Kennedy,1020,1,,2100000,308,5.5
115,Daniela Bianchi,1456,0,Approved,2000000,201,7.5
96,Jessica Dublin,99,2,R,2300000,30,5.1
60,Alan Autry,1736,1,,,360,7.4
89,John Beck,11192,0,PG,2000000,66,7.3
100,Ruby Harris,1062,0,R,2000000,189,6.9
88,John Carradine,12034,5,R,2000000,300,6.8
129,Brock Peters,3833,0,Not Rated,2000000,226,8.4
87,Bruce Spence,1396,0,R,2000000,531,7.6
102,Anita Mui,768,1,R,2000000,147,7.6
152,Shelley Winters,1404,0,Not Rated,2000000,367,7.7
118,Brendan Sexton III,563,0,R,2000000,148,7.6
86,Julia Taylor Ross,218,0,R,2000000,44,5.3
137,Ulrich Mühe,927,3,R,2000000,284,8.5
129,Alex Kendrick,2300,7,PG-13,2000000,589,7.0
134,Jackie Gleason,2290,1,Unrated,2000000,491,8.0
119,Spencer Tracy,2555,8,Passed,1614000,760,7.1
80,Charles Linton,29,0,PG-13,9500000,6,7.8
89,Irene Bedard,3163,3,PG-13,2000000,752,7.2
101,James Urbaniak,14412,0,R,,119,7.5
80,Albert Delpy,65,0,R,2700000,8,8.0
115,Jorge Salinas,318,0,R,2000000,79,8.1
100,Sarah Clarke,2186,2,R,1500000,482,6.8
118,Celeste Holm,1846,3,Approved,2000000,297,7.4
100,Shelley Waggener,34446,2,R,2000000,248,7.2
106,Brendan Mackey,29,0,R,,5,8.1
106,Don Ameche,1833,2,Approved,2000000,392,7.0
91,Brad William Henke,1349,0,R,2000000,363,7.4
105,George W. Bush,13145,0,PG-13,,125,8.3
96,Emily Ratajkowski,3013,0,R,2000000,625,6.1
116,Gano Grills,675,1,R,,147,7.5
116,Christian Bale,50313,2,R,2000000,23000,7.0
97,Leonor Varela,2739,1,PG-13,2000000,426,5.3
101,Enrico Colantoni,11327,0,R,2000000,724,4.7
98,Tawny Kitaen,901,1,R,2000000,194,5.7
22,Amy Sedaris,1359,3,TV-14,,396,8.1
150,Brian Blessed,1645,0,PG-13,18000000,591,7.8
101,Peter Stickles,226,3,Unrated,2000000,51,6.5
90,Ronny Dayag,56,0,R,1500000,0,8.0
120,Kirby Heyborne,359,1,PG-13,2000000,69,3.3
102,Dick Cheney,446,0,,2000000,21,8.3
102,David Fine,11184,3,R,2000000,1000,6.9
60,Jon Tenney,11618,5,,,289,7.3
100,Buzz Aldrin,408,0,PG,2000000,142,8.1
104,Zoe Kazan,3427,1,PG,,962,6.5
89,Bill Maher,1136,0,NC-17,2000000,334,6.8
99,Manny Perez,1156,1,R,,159,7.3
96,Bob Balaban,3011,4,PG-13,,559,6.4
86,Krysta Rodriguez,768,0,R,3400000,131,4.6
98,Isabelle Adjani,1917,1,R,17000000,572,6.5
96,Mark Margolis,51441,2,PG-13,6000000,1000,7.0
94,Nathan Parsons,1511,1,R,,357,5.4
91,Stephane Gauger,36,1,PG-13,2000000,3,6.7
,Bobby Deol,613,2,,,89,2.8
90,Neil Maskell,865,1,R,,246,7.4
85,Steve Buscemi,36885,1,R,3800000,12000,5.8
96,Annette Badland,5535,2,R,,497,7.1
129,Caleb Landry Jones,26176,0,R,13500000,463,4.5
60,Colin Ferguson,4280,2,TV-14,,747,7.9
93,Sanjay Mishra,653,0,PG,,85,5.3
100,Frank Vincent,1307,4,Not Rated,,356,5.4
97,Jansen Panettiere,2522,,PG,,488,4.8
94,Jeremy Jordan,10869,7,PG-13,,773,5.9
95,Amy Ryan,2749,3,,1500000,423,6.2
97,Kent McCord,1362,1,R,2000000,196,5.9
92,Chris Evans,39518,2,R,14000,11000,6.6
96,Kate Burton,774,1,R,2000000,223,6.6
85,Megan Mullally,3065,1,PG-13,25000000,637,5.1
87,Michael McLafferty,776,0,Not Rated,,152,6.0
91,Jack O'Connell,14561,1,R,,698,6.8
99,James Kyson,2341,2,R,,449,5.4
88,James Corden,1593,3,R,,480,5.2
119,Kenneth Nkosi,86,2,R,2000000,18,7.8
