actor_2_name,gross,country,title_year
Bob Balaban,444354,UK,1997
Krysta Rodriguez,535249,USA,2010
Isabelle Adjani,,France,1985
Mark Margolis,371081,USA,2004
Nathan Parsons,347578,USA,2007
Stephane Gauger,124494,USA,1998
Bobby Deol,,India,2000
Neil Maskell,120620,UK,2004
Steve Buscemi,100669,USA,2009
Annette Badland,,UK,1997
Caleb Landry Jones,186354,USA,2015
Colin Ferguson,,USA,
Sanjay Mishra,55202,India,2008
Frank Vincent,,USA,2003
Jansen Panettiere,549632,Thailand,2013
Jeremy Jordan,137945,USA,2014
Amy Ryan,17580,USA,2009
Kent McCord,,USA,1993
Chris Evans,12667,UK,2005
Kate Burton,198407,USA,2006
Megan Mullally,13973532,USA,2002
Michael McLafferty,,USA,2015
Jack O'Connell,5824,UK,2008
James Kyson,2843,USA,2013
James Corden,,UK,2009
Kenneth Nkosi,4958,South Africa,2008
Lee Evans,,UK,2004
Sean Rogerson,,Canada,2011
Tommy Knight,,Ireland,2012
William Lee Scott,,USA,2010
Tim Rice,,UK,2015
Charlotte Rae,,USA,1971
Linus Roache,13220,USA,2012
Mario Cimarro,,USA,2007
Tim Daly,,USA,
Everett Sloane,7927,USA,1947
Lew Temple,,USA,2008
M.C. Gainey,,USA,2002
Saffron Burrows,,USA,2012
Ben Schwartz,,USA,2013
Kevin McCarthy,2436,USA,2012
Curtiss Cook,4556,USA,2013
Lex Barker,,West Germany,1967
Powers Boothe,,USA,2013
Zero Mostel,,USA,1966
Eddie Vedder,,USA,2007
Kevin Alejandro,,USA,2011
Wray Crawford,,USA,2015
Bella Heathcote,,USA,2015
Michael Aaron Milligan,,USA,2015
Daniel Roebuck,4600000,USA,1986
Anthony Edwards,1420578,USA,2003
Mike 'The Miz' Mizanin,,USA,2015
Samantha Mathis,1028658,Spain,2010
Paddy Considine,466702,UK,2010
Ahmed Hassan,,Egypt,2013
Lizzie Brocheré,18435,France,2006
Judy Greer,35266619,USA,2013
Remo,95236,India,2013
Lin Shaye,26505000,USA,1984
Philippe Petit,2957978,UK,2008
Peter Feeney,,New Zealand,2015
Adam Ratcliffe,444044,USA,2015
Ashley Bell,40990055,France,2010
Ophelia Lovibond,1445366,UK,2009
Karl Malden,,USA,1951
Slim Pickens,,USA,1964
Ana Claudia Talancón,5709616,Mexico,2002
Gina Montana,12784397,USA,2012
Paul Williams,,USA,1973
David Patrick Kelly,3050934,USA,2000
Bill Irwin,841206,USA,2011
T.R. Silambarasan,,India,2015
J.J. Abrams,638476,USA,2011
Gary Farmer,,USA,1993
Lhakpa Dorji,505295,Australia,2003
Bruce Dern,,USA,1968
Jim Backus,,USA,1952
Tom Cavanagh,,USA,2007
Luke Edwards,,USA,2016
Keenan Tracey,,Canada,2013
Essence Atkins,,USA,2012
Ludger Pistor,7267324,Germany,1998
Will Estes,145540,USA,2002
CJ Adams,,Canada,2013
Chris Cleveland,,USA,2013
Eugenio Derbez,12589108,Mexico,2007
Gordon Jump,,USA,1972
Sissy Spacek,35918429,USA,2001
Chad Lindberg,92401,USA,2010
Illeana Douglas,1943649,USA,1999
Natalie Press,992238,UK,2004
Nimrat Kaur,4231500,India,2013
Joan Allen,396035,UK,2004
Ann Miller,,USA,1938
Donna Reed,,USA,1953
Ben Johnson,,USA,1949
Michael Welch,2507106,USA,2013
Clifton Powell,6026908,USA,1999
Lamman Rucker,2592808,USA,2010
Adel Karam,1060591,France,2007
Pixie Davies,,USA,2014
Lior Ashkenazi,155972,Israel,2006
Teri Garr,,USA,1974
Revathy,129319,India,2005
Jean-Paul Belmondo,26893,France,1969
Marisa Coughlan,2580,USA,2003
Gage Golightly,,USA,2016
Kevin Zegers,58885635,USA,2004
Cheryl Hines,19067631,USA,2007
Donald Gibb,11806119,USA,1988
Jean Arthur,,USA,1939
Leo Fitzpatrick,7417210,USA,1995
Elizabeth Meriwether,7362100,USA,2005
Jennifer Westfeldt,7022940,USA,2001
Ni Yan,190666,China,2009
T.J. Storm,,USA,2016
Rhonda Fleming,,USA,1945
Mia Kirshner,5132222,Canada,1994
Vincent Gallo,2365931,USA,1998
Barbara Hershey,53991137,USA,2010
Tracey Walter,,USA,1984
Gastón Pauls,1221261,Argentina,2000
Yuval Diskin,2408553,Israel,2012
Susanna Thompson,712294,USA,2005
Alia Shawkat,3447339,USA,2013
Salvator Xuereb,418953,France,1993
Theresa Russell,406035,USA,2001
Connor Paolo,402820,USA,2007
Lisa Brave,,USA,2014
Brendan Sexton III,373967,USA,2001
Jeff Garlin,194568,USA,2006
Nia Long,,USA,2010
Kane Hodder,,USA,2006
Stanley Blystone,163245,USA,1936
Aidan Quinn,119841,USA,2002
Dan Hicks,173066,USA,2007
Monica Calhoun,92362,USA,2005
Jim O'Heir,105943,USA,2015
Jenny O'Hara,,USA,2005
John Arcilla,183490,USA,2010
Georgina Reilly,3478,Canada,2008
Joey Lauren Adams,52166,USA,2008
Jaime Zevallos,,USA,2015
Dee Wallace,1163508,USA,2012
Bruce Hopkins,,New Zealand,2014
Jon Hunter,,USA,2005
Sarah Lind,,Canada,2005
Michael Rapaport,,USA,2013
Joe Armstrong,,Romania,2014
Amber Marshall,,Canada,2014
Jake Busey,,USA,2015
Johnny Messner,,USA,2015
Robert Duvall,80033643,USA,2012
Balthazar Getty,,USA,2015
Glen Powell,,USA,2015
Billy Gilbert,184925485,USA,1937
Mercedes Morán,304124,Argentina,2004
Woody Strode,,UK,1968
Gabriel Beristain,36830,UK,2004
Christina Moore,,USA,2016
Adam DiMarco,,Canada,2014
Léa Drucker,231186,France,2014
Jonathan Mangum,,USA,2014
Cesar Romero,,USA,1966
Jason Flemyng,3650677,UK,1998
Bruce McGill,,USA,1982
Michael Douglas,,USA,
Paprika Steen,1647780,Denmark,1998
Debi Mazar,695229,USA,1996
Kieu Chinh,638951,USA,2006
Karen Allen,609042,USA,1999
Thure Lindhardt,1521,Canada,2012
Miko Hughes,32940507,USA,1998
Tucker Smallwood,,USA,
Aziz Muradillayev,,Kyrgyzstan,2014
Lenore Zann,,Canada,1985
Adam Goldberg,19539,USA,2003
Uday Chopra,100358,India,2005
Bryan Callen,,USA,2010
Chloe Bridges,,USA,2009
Joan Fontaine,,USA,1940
Adrienne King,19100000,USA,1981
Jane Wyman,,USA,1945
John Heard,,USA,1984
Jenni Rivera,2833383,USA,2012
Omar Benson Miller,,USA,2011
Jean Peters,,USA,1953
Walter Pidgeon,,USA,1941
Riley Keough,,USA,
Elvis Nolasco,,USA,2014
Laura San Giacomo,24741700,USA,1989
Monica Potter,55153403,USA,2004
Daniel von Bargen,18488314,USA,2001
Harry Lennix,,USA,2014
Vera Wilson,11278,Mexico,2013
Jon Hamm,79363785,USA,2008
Randeep Hooda,13876974,India,2001
Rory Culkin,9180275,USA,2000
John Forsythe,,USA,1955
Morgan Freeman,22494487,Germany,2006
Clea DuVall,2199853,USA,1999
Drew Waters,2859955,USA,2013
Steve Buscemi,2812029,USA,1992
Nigel Bruce,,USA,1940
Luigi Pistilli,6100000,Italy,1966
Regina Casé,375723,Brazil,2015
Marshall Allman,594904,USA,2012
Coyote Shivers,58936,USA,2001
,24784,Canada,2011
Sarah Silverman,7826,USA,2007
Johnny Amaro,,France,2011
Antonio Arrué,3830,USA,2013
Scott Adsit,,USA,2003
Denise Boutte,,USA,2008
David Niven,,USA,1936
Kristin Booth,,Canada,2011
Victor Zinck Jr.,,Canada,2012
Jacob Vargas,2850263,USA,1993
Cleavon Little,,USA,1970
Sabrina Carmichael,,USA,2015
Deirdre Lorenz,,USA,2015
Dane Cook,16101109,USA,2005
Gary Stretch,6013,UK,2004
John Jarratt,,Australia,
Clu Gulager,1400000,USA,1987
,247740,USA,2002
CindyMarie Small,39659,Canada,2002
Frank Rautenbach,,South Africa,2006
Marilyn Norry,56129,Canada,2010
Yayan Ruhian,4105123,Indonesia,2011
Vernon Wells,,USA,2010
Anella Vastola,,Italy,2013
Claude Rains,,USA,1942
Rosie Traynor,,Australia,2008
Shazahn Padamsee,,India,2009
Ron Rifkin,,USA,1972
Burgess Meredith,117235247,USA,1976
Brady Corbet,,Norway,2014
Hal Holbrook,21378000,USA,1980
Susannah York,,UK,1963
Renee Olstead,31537320,USA,2014
Albert Brooks,,USA,1976
Robert Picardo,17986000,USA,1981
Jack Lord,16067035,UK,1962
Ingrid Bolsø Berdal,18112929,USA,2012
Ashley Laurence,14564027,UK,1987
Robin Givens,20773070,USA,2016
Gary Cole,10042266,USA,2005
Naomi Nishida,10037390,Japan,1999
Mike Vogel,9701559,USA,2010
Felicity Huffman,9013113,USA,2005
Claudiu Trandafir,53245055,USA,2012
Cynthia Myers,9000000,USA,1970
Neville Brand,,USA,1956
Al Gore,23808111,USA,2006
Richard Jaeckel,,USA,1949
Keith Richards,5355376,USA,2008
Richard Burgi,7186670,USA,2013
Alex Lawther,,UK,2015
Adam Arkin,5997134,USA,2012
Eric Schlosser,4417124,USA,2008
Robert Amaya,5355847,USA,2011
Callie Thorne,3386698,USA,1998
Jennifer Garner,143492840,USA,2007
Boyd Holbrook,5283379,USA,2014
Julia Garner,2981638,USA,2011
Jenny Slate,3122616,USA,2014
Michael O'Keefe,2508841,USA,2008
Lou Adler,4946250,USA,2013
Natasha Gregson Wagner,1950218,USA,1997
Anne Heche,1277257,UK,1996
Mark Addy,45857453,UK,1997
Phyllis Diller,1677838,USA,2006
Nia Long,1744858,USA,2000
Ossie Davis,,USA,2002
Dylan Minnette,80021740,USA,2015
Saul Williams,982214,USA,1998
Frank Gerrish,798341,USA,2001
Manoj Bajpayee,610991,India,2000
Sid Caesar,,USA,1981
Dian Bachar,582024,USA,1997
Paul Schneider,548712,USA,2003
Cathy Moriarty,464655,USA,1997
Agnes Bruckner,464126,USA,2002
Lupe Ontiveros,428535,USA,2000
Nat Wolff,750100,USA,2013
Scandar Copti,621240,Germany,2009
Patrick Fugit,104077,USA,2006
Cara Seymour,334658,USA,2014
Elden Henson,279282,USA,2003
AJ Michalka,43982842,USA,2009
Herman Koto,484221,UK,2012
George W. Bush,274661,USA,2007
Marv Albert,144431,UK,2006
Rufus Graham,227241,USA,2004
Fisher Stevens,112521,USA,2000
Tom Hamann,287761,New Zealand,2013
Brian Whitaker,100240,Denmark,2014
Randy Wayne,96734,USA,2012
Anil Kapoor,49000,India,2005
Greta Gerwig,100659,USA,2009
Clayne Crawford,48430,USA,2010
Michael Lerner,21210,USA,1998
Patsy Kensit,,USA,1999
Louis Mustillo,22434,USA,1996
James Gunn,12996,USA,2000
Emily Baldoni,,USA,2009
Ana Claudia Talancón,10018,USA,2006
Alexia Rasmussen,62480,USA,2015
Paul Blackthorne,6387,USA,2006
Jamie Kennedy,5494,USA,1997
Vanilla Ice,,USA,2005
Mariel Hemingway,721,Germany,2006
Frank Whaley,703,USA,2001
Andrea Vergara,,Mexico,2013
Ayesha Omar,,Pakistan,2015
Kevin McCarthy,,USA,2006
Matt Walsh,,USA,2014
A.J. Buckley,,USA,2006
Lauren C. Mayhew,,USA,2009
Eddie Albert,,UK,1965
Ossie Davis,,USA,2004
Chloë Grace Moretz,,USA,2008
Barbara Hershey,,USA,2008
Janette Armand,,USA,2009
Shanley Caswell,,USA,2012
Germán Alcarazu,,Spain,2014
Marlene Forte,,USA,2011
Sticky Fingaz,,USA,2009
Tom Berenger,,USA,2014
Anslem Richardson,,USA,2012
Alexander Vlahos,,UK,2012
Pierre Dulat,,USA,2006
Chloe Rose,,Canada,2014
Kevin Gage,,USA,2015
Shona Kay,,USA,2013
Luke Perry,,USA,2014
Spencer Wilding,2319187,UK,2013
Dick Van Patten,,USA,1968
Katia Winter,,Germany,2013
David DeLuise,,USA,
Gia Mantegna,,USA,2014
Mike Colter,,USA,2007
Robert Kennedy Jr.,,USA,2014
Karl Malden,9600000,USA,1954
Geoff Stults,20186,USA,2011
Vlad Ivanov,1185783,Romania,2007
Brian Dorton,,USA,2015
G.J. Echternkamp,1007962,USA,2005
David Gallagher,381186,USA,2005
Reza Sixo Safai,439958,France,2011
Melonie Diaz,16097842,USA,2013
Michael Angarano,6643,USA,2012
Donnie Dunagan,102797150,USA,1942
Rian Bishop,442638,USA,2007
Harold Perrineau,42919096,USA,2013
Rob McElhenney,819939,USA,2003
Christophe Cherki,,France,2011
Ruby Dee,,USA,2013
Ari Graynor,1243961,USA,2012
Janel Parrish,3094687,USA,2012
D. David Morin,15278,USA,2002
Johnny Harris,,UK,2006
Christopher Berry,,USA,2015
Samaire Armstrong,,USA,2015
Leila Hatami,7098492,Iran,2011
Stephen McCole,,UK,2009
Ken Leung,4771000,USA,1995
Todd Field,1001437,USA,1993
Melonie Diaz,2073984,France,2002
Francis Lederer,9950,Germany,1929
Melora Walters,,USA,2008
Hilda Bernard,,Argentina,2004
Kathryn Morris,144583,France,1999
Tom Guiry,,USA,2003
Eion Bailey,58163,USA,2000
Kurt Angle,35688,USA,2014
Stig Frode Henriksen,41709,Norway,2009
Larry Bagby,1310270,USA,2003
Alan Pietruszewski,,USA,2012
Ron Howard,115000000,USA,1973
Katy Helvenston-Wettengal,,USA,2006
Fred Armisen,5518918,USA,2007
Mark Duplass,4007792,USA,2012
Larry King,7705974,USA,2011
Ben Crompton,26297,UK,2011
Jake Ryan,77501,USA,2011
Atticus Shaffer,42638165,USA,2009
