duration,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,content_rating,title_year,imdb_score,aspect_ratio
90,328,Comedy|Family,Lily Atkinson,Mr. Bean's Holiday ,88714,Steve Pemberton,PG,2007,6.3,1.85
97,601,Action|Adventure|Horror|Thriller,Nicholas Gonzalez,Anacondas: The Hunt for the Blood Orchid ,22243,Johnny Messner,PG-13,2004,4.6,2.35
144,15000,Crime|Drama|Thriller,Mila Kunis,Blood Ties ,14612,Billy Crudup,R,2013,6.5,2.35
114,49000,Drama|Music,Robin Williams,August Rush ,87331,Marian Seldes,PG,2007,7.5,2.35
124,288,Biography|Drama|History,Fanny Ardant,Elizabeth ,75973,Eric Cantona,R,1998,7.5,1.85
89,285,Comedy|Fantasy|Horror|Romance,Alexis Arquette,Bride of Chucky ,39768,Vince Corazza,R,1998,5.3,1.85
160,469,Action|Drama|History|War,Joseph Cotten,Tora! Tora! Tora! ,25019,James Whitmore,G,1970,7.5,2.35
93,1000,Comedy|Family|Music,Jason Flemyng,Spice World ,28377,Victoria Beckham,PG,1997,3.3,1.85
87,904,Comedy,Ari Graynor,The Sitter ,60202,Kylie Bunbury,R,2011,5.7,1.85
88,756,Action|Comedy|Music,Damon Wayans Jr.,Dance Flick ,10161,Chris Elliott,PG-13,2009,3.5,1.85
142,11000,Crime|Drama,Morgan Freeman,The Shawshank Redemption ,1689764,Bob Gunton,R,1994,9.3,1.85
92,460,Adventure|Comedy|Crime,Jere Burns,Crocodile Dundee in Los Angeles ,19699,Linda Kozlowski,PG,2001,4.8,1.85
117,13000,Comedy|Sport,Bill Murray,Kingpin ,63459,Richard Tyson,PG-13,1996,6.9,2.35
111,3000,Crime|Drama|Thriller,George Kennedy,The Gambler ,48559,Griffin Cleveland,R,2014,6.0,2.35
121,19000,Drama,Benedict Cumberbatch,August: Osage County ,67797,Julia Roberts,R,2013,7.3,2.35
98,90,Comedy|Drama|Family|Sport,Connie Ray,Ice Princess ,19737,Amy Stewart,G,2005,6.0,1.85
107,618,Comedy|Drama|Romance,Aimee Garcia,A Lot Like Love ,58297,James Read,PG-13,2005,6.6,1.85
106,20000,Biography|Comedy|Drama|Sport,Hugh Jackman,Eddie the Eagle ,32507,Tim McInnerny,PG-13,2016,7.5,2.35
136,18000,Drama|Sport,Denzel Washington,He Got Game ,36108,Rosario Dawson,R,1998,6.9,1.85
97,40000,Comedy|Drama|Romance,Johnny Depp,Don Juan DeMarco ,41310,Faye Dunaway,PG-13,1994,6.8,1.85
7,45,Animation|Comedy|Family,Justin Fletcher,Shaun the Sheep             ,7968,Kate Harbour,TV-G,,8.3,
108,17000,Drama|Romance|War,Channing Tatum,Dear John ,104356,Scott Porter,PG-13,2010,6.3,2.35
97,11000,Action|Crime|Drama|Mystery|Thriller,Chris Evans,The Losers ,74691,Óscar Jaenada,PG-13,2010,6.4,2.35
99,3000,Fantasy|Horror|Thriller,Bailee Madison,Don't Be Afraid of the Dark ,40776,Jack Thompson,R,2010,5.6,1.85
103,26000,Action|Crime|Thriller,Jason Statham,War ,72673,Nadine Velazquez,R,2007,6.3,2.35
95,11000,Comedy|Drama|Romance|Thriller,Adam Sandler,Punch-Drunk Love ,109855,Don McManus,R,2002,7.3,2.35
93,13000,Comedy,Matt Damon,EuroTrip ,162067,Jacob Pitts,R,2004,6.6,1.85
98,462,Action|Crime|Thriller,Claudia Christian,Half Past Dead ,12263,Tony Plana,PG-13,2002,4.6,1.85
90,931,Adventure|Comedy|Family|Romance,Tyler James Williams,Unaccompanied Minors ,8398,B.J. Novak,PG,2006,5.1,2.35
107,967,Drama,Dianne Wiest,Bright Lights, Big City ,5817,Swoosie Kurtz,R,1988,5.6,1.85
90,940,Adventure|Family|Fantasy|Musical,Martin Landau,The Adventures of Pinocchio ,4086,Bebe Neuwirth,G,1996,5.3,2.35
120,577,Drama|History|Sport,Stephen Dillane,The Greatest Game Ever Played ,22289,Amanda Tilson,PG,2005,7.5,1.85
115,902,Drama|Fantasy|Mystery|Thriller,Frank Langella,The Box ,76303,Celia Weston,PG-13,2009,5.6,2.35
93,960,Horror,Laura Ramsey,The Ruins ,60062,Sergio Calderón,R,2008,5.9,2.35
99,774,Comedy|Drama|Romance,Mark Valley,The Next Best Thing ,9361,Illeana Douglas,PG-13,2000,4.7,1.85
107,798,Horror|Mystery|Thriller,Frank Grillo,My Soul to Take ,16411,Zena Grey,R,2010,4.8,2.35
110,355,Comedy|Drama|Romance,Chris Marquette,The Girl Next Door ,171151,Jacob Young,R,2004,6.8,1.85
101,900,Action|Crime|Mystery|Romance|Thriller,Natasha Henstridge,Maximum Risk ,15814,Paul Ben-Victor,R,1996,5.4,2.35
85,985,Comedy|Crime,Martin Starr,Stealing Harvard ,11211,Chris Penn,PG-13,2002,5.1,1.85
132,27000,Biography|Crime|Drama|History|Thriller,Tom Hardy,Legend ,87682,Tara Fitzgerald,R,2015,7.0,2.35
88,874,Comedy,Sissy Spacek,Hot Rod ,59900,Chris Parnell,PG-13,2007,6.7,2.35
90,963,Horror|Thriller,Chris Zylka,Shark Night 3D ,20823,Katharine McPhee,PG-13,2011,4.0,1.85
145,876,Drama,Emily Watson,Angela's Ashes ,16995,Pauline McLynn,R,1999,7.3,1.85
110,3000,Drama|Sport,Jennifer Garner,Draft Day ,39357,Patrick St. Esprit,R,2014,6.8,2.35
101,338,Action|Horror|Sci-Fi|Thriller,Frank Finlay,Lifeforce ,15531,Peter Firth,R,1985,6.1,2.35
30,971,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,Elizabeth Daily,The Powerpuff Girls             ,23664,Tom Kane,TV-Y7,,7.2,4.0
122,18000,Crime|Drama|History,Robin Wright,The Conspirator ,23696,Stephen Root,PG-13,2010,7.0,2.35
107,13000,Biography|Drama|Sport,Heath Ledger,Lords of Dogtown ,43903,Rebecca De Mornay,PG-13,2005,7.1,1.85
127,562,Biography|Drama|History,Marco Treviño,The 33 ,21098,Jacob Vargas,PG-13,2015,6.9,2.35
99,400,Action|Adventure|Comedy|Fantasy,Victor Wong,Big Trouble in Little China ,92464,Peter Kwong,PG-13,1986,7.3,2.35
104,172,Comedy|Romance,Dany Boon,A Perfect Plan ,5525,Alice Pol,,2012,6.3,2.35
140,27000,Drama|Sport,Tom Hardy,Warrior ,332276,Kevin Dunn,PG-13,2011,8.2,2.35
133,25000,Biography|Drama|Thriller|War,Alan Rickman,Michael Collins ,24145,Julia Roberts,R,1996,7.1,1.85
271,854,Drama|History|War,Tom Berenger,Gettysburg ,21940,James Patrick Stuart,PG,1993,7.7,1.85
112,23000,Drama|War,Joseph Gordon-Levitt,Stop-Loss ,17757,Abbie Cornish,R,2008,6.5,1.85
99,16000,Drama|Music|Mystery|Romance|Thriller,Charlie Hunnam,Abandon ,7909,Tony Goldwyn,PG-13,2002,4.9,2.35
100,181,Drama|Mystery|Thriller,John Doe,Brokedown Palace ,18693,Daniel Lapaine,PG-13,1999,6.4,2.35
92,941,Horror|Thriller,Kyra Sedgwick,The Possession ,47169,Natasha Calis,PG-13,2012,5.9,2.35
105,3000,Comedy|Drama|Romance,Brendan Fraser,Mrs. Winterbourne ,5668,Cathryn de Prume,PG-13,1996,6.2,1.85
110,10000,Action|Drama|Thriller,Alexander Skarsgård,Straw Dogs ,27117,Rhys Coiro,R,2011,5.8,2.35
116,442,Comedy|Drama,Hope Davis,The Hoax ,14581,James Biberi,R,2006,6.7,1.85
88,174,Action|Crime|Drama|Thriller,Brian Bosworth,Stone Cold ,4972,Richard Gant,R,1991,5.9,1.85
111,10000,Adventure|Drama,Viggo Mortensen,The Road ,177401,Robert Duvall,R,2009,7.3,2.35
117,433,Adventure|Fantasy,Tanya Roberts,Sheena ,3334,Ted Wass,PG,1984,4.8,2.35
95,843,Action|Comedy|Crime|Drama|Thriller,Cheech Marin,Underclassman ,4875,Kaylee DeFer,PG-13,2005,4.1,2.35
95,849,Comedy|Romance,Eddie Cibrian,Say It Isn't So ,11375,Jack Plotnick,R,2001,4.9,1.85
127,12000,Biography|Drama|Sport,Anthony Hopkins,The World's Fastest Indian ,44198,Craig Hall,PG-13,2005,7.9,2.35
105,852,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,Snakes on a Plane ,115650,Rachel Blanchard,R,2006,5.6,2.35
104,6000,Action|Comedy|Sci-Fi,Naomi Watts,Tank Girl ,24790,Jeff Kober,R,1995,5.2,2.35
95,927,Comedy|Crime,Donald Faison,King's Ransom ,3229,Regina Hall,PG-13,2005,4.1,1.85
121,45,Drama|Mystery|Sci-Fi|Thriller,Don McKellar,Blindness ,59462,Yûsuke Iseya,R,2008,6.6,1.85
92,783,Action|Adventure|Fantasy|Horror,Meat Loaf,BloodRayne ,30628,Michael Paré,R,2005,2.9,2.35
80,14000,Comedy|Drama,Kate Winslet,Carnage ,96480,Julie Adams,R,2011,7.2,2.35
107,14000,Crime|Drama|Mystery|Thriller,Colin Firth,Where the Truth Lies ,14982,Rachel Blanchard,R,2005,6.5,2.35
91,473,Fantasy,Dallas Barnett,Cirque du Soleil: Worlds Away ,7100,Igor Zaripov,PG,2012,6.8,
117,2000,Biography|Drama|Sport,Billy Burke,Without Limits ,5841,Billy Crudup,PG-13,1998,7.2,2.35
107,962,Drama,Zoe Kazan,Me and Orson Welles ,9264,James Tupper,PG-13,2008,6.8,2.35
131,5000,Crime|Drama|Mystery|Romance,Jim Sturgess,The Best Offer ,69676,Liya Kebede,R,2013,7.8,2.35
122,12000,Crime|Drama,Nicolas Cage,Bad Lieutenant: Port of Call New Orleans ,64944,Shawn Hatosy,R,2009,6.7,1.85
88,783,Adventure|Animation|Family,Ed Begley Jr.,A Turtle's Tale: Sammy's Adventures ,5385,Stacy Keach,PG,2010,6.1,2.35
134,541,Comedy|Drama,François Cluzet,Little White Lies ,18395,Gilles Lellouche,Not Rated,2010,7.1,2.35
117,908,Comedy|Drama|Romance|Sport,Scout Taylor-Compton,Love Ranch ,2395,Gil Birmingham,R,2010,5.7,1.78
80,44,Adventure|Animation|Comedy,Yolande Moreau,The True Story of Puss'N Boots ,753,Jérôme Deschamps,G,2009,2.9,
85,21,Adventure|Animation|Comedy|Family,Sergey Garmash,Space Dogs ,891,Aleksandr Bashirov,G,2010,5.2,
138,13000,Crime|Drama|Thriller,Michael Fassbender,The Counselor ,80861,Goran Visnjic,R,2013,5.3,2.35
121,1000,Action|Adventure|History|Romance,Jason Flemyng,Ironclad ,34338,Derek Jacobi,R,2011,6.2,2.35
134,279,Action|Drama|History|War,Rod Steiger,Waterloo ,5911,Jack Hawkins,G,1970,7.3,2.35
100,79,Action|Drama,Siu-Wong Fan,Kung Fu Killer ,5900,Wai-Keung Lau,,2014,6.5,2.35
100,668,Action|Thriller,Martin Kove,Red Sky ,1084,Jacob Vargas,PG-13,2014,4.1,
119,18000,Drama|Romance,Keanu Reeves,Dangerous Liaisons ,52846,Swoosie Kurtz,R,1988,7.7,1.85
137,17000,Adventure|Drama,Kristen Stewart,On the Road ,33107,Kirsten Dunst,R,2012,6.1,2.35
119,12000,Adventure|Comedy|Sci-Fi,Leonard Nimoy,Star Trek IV: The Voyage Home ,61621,Walter Koenig,PG,1986,7.3,2.35
139,13000,Drama|Sport,Sylvester Stallone,Rocky Balboa ,162130,Mike Tyson,PG,2006,7.2,1.85
114,1000,Action|Crime|Sport|Thriller,Ray Winstone,Point Break ,33958,Delroy Lindo,PG-13,2015,5.3,2.35
120,865,Horror|Mystery,Omar Epps,Scream 2 ,124941,Kevin Williamson,R,1997,6.1,2.35
98,20000,Action|Drama|Western,Natalie Portman,Jane Got a Gun ,8885,Boyd Holbrook,R,2016,5.8,2.35
106,966,Comedy|Romance,Romany Malco,Think Like a Man Too ,15310,David Walton,PG-13,2014,5.7,2.35
98,13000,Comedy|Crime,Bruce Willis,The Whole Nine Yards ,90374,Natasha Henstridge,R,2000,6.7,1.85
107,967,Drama|Music|Romance,Dianne Wiest,Footloose ,51459,Lori Singer,PG,1984,6.5,1.85
88,8000,Comedy,Will Ferrell,Old School ,185258,Patrick Fischler,R,2003,7.2,2.35
137,12000,Comedy|Drama|Fantasy,Jeff Bridges,The Fisher King ,63274,Harry Shearer,R,1991,7.6,1.85
100,45000,Horror|Mystery,Muse Watson,I Still Know What You Did Last Summer ,55398,Bill Cobbs,R,1998,4.6,2.35
115,893,Comedy|Drama|Romance,Minnie Driver,Return to Me ,16469,Bonnie Hunt,PG,2000,6.9,1.85
101,218,Comedy|Romance,Gerry Bednob,Zack and Miri Make a Porno ,149835,Jennifer Schwalbach Smith,R,2008,6.6,1.85
110,11000,Comedy|Crime|Drama,Morgan Freeman,Nurse Betty ,30119,Kathleen Wilhoite,R,2000,6.3,2.35
94,18000,Comedy|War,Kevin Spacey,The Men Who Stare at Goats ,109620,Stephen Root,R,2009,6.2,2.35
88,1000,Action|Comedy|Crime|Thriller,Daniel Roebuck,Double Take ,5431,Garcelle Beauvais,PG-13,2001,5.3,2.35
127,11000,Biography|Drama,Angelina Jolie Pitt,Girl, Interrupted ,125421,Vanessa Redgrave,R,1999,7.3,1.85
95,2000,Comedy|Romance,Topher Grace,Win a Date with Tad Hamilton! ,22844,Nathan Lane,PG-13,2004,5.6,2.35
87,1000,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,Josh Charles,Muppets from Space ,14637,David Arquette,G,1999,6.2,1.85
118,738,Adventure|Family|Fantasy|Music|Musical,Lena Horne,The Wiz ,10895,Theresa Merritt,G,1978,5.2,1.85
107,1000,Comedy|Sport,Oliver Platt,Ready to Rumble ,11709,Martin Landau,PG-13,2000,5.3,1.85
124,512,Comedy|Drama|Sport,Willie Garson,Play It to the Bone ,10100,Lolita Davidovich,R,1999,5.4,2.35
89,2000,Comedy|Romance,Olivia Munn,I Don't Know How She Does It ,16437,Jessica Szohr,PG-13,2011,4.9,1.85
88,3000,Comedy|Horror,Adam Scott,Piranha 3D ,72552,Jessica Szohr,R,2010,5.5,2.35
118,18000,Biography|Drama|Music|Musical,Kevin Spacey,Beyond the Sea ,12821,Brenda Blethyn,PG-13,2004,6.7,2.35
93,23000,Comedy|Family,Paul Walker,Meet the Deedles ,2265,A.J. Langer,PG,1998,3.9,
80,742,Action|Adventure|Animation|Comedy|Fantasy,Donald Pleasence,The Princess and the Cobbler ,2541,Clive Revill,G,1993,7.2,2.35
120,22000,Drama|Romance,Robert De Niro,The Bridge of San Luis Rey ,2919,Geraldine Chaplin,PG,2004,5.1,1.85
98,12000,Action|Crime|Drama|Thriller,Dwayne Johnson,Faster ,80574,Mike Epps,R,2010,6.5,2.35
119,23000,Adventure|Animation|Family|Fantasy,Christian Bale,Howl's Moving Castle ,214091,Jean Simmons,PG,2004,8.2,1.85
88,15000,Adventure|Comedy|Horror|Sci-Fi,Emma Stone,Zombieland ,386217,Derek Graf,R,2009,7.7,2.35
201,6000,Action|Adventure|Drama|Romance,Naomi Watts,King Kong ,316020,Evan Parke,PG-13,2005,7.2,2.35
90,11000,Comedy|Sport,Adam Sandler,The Waterboy ,119450,Peter Dante,PG-13,1998,6.1,1.85
127,11000,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,Star Wars: Episode V - The Empire Strikes Back ,837759,Anthony Daniels,PG,1980,8.8,2.35
119,10000,Action|Comedy|Crime|Drama|Thriller,Will Smith,Bad Boys ,172405,Theresa Randle,R,1995,6.8,1.85
85,3000,Comedy|Crime,George Kennedy,The Naked Gun 2½: The Smell of Fear ,83269,O.J. Simpson,PG-13,1991,6.8,1.85
98,1000,Horror|Thriller,Daniel Roebuck,Final Destination ,181058,Kerr Smith,R,2000,6.7,1.85
101,33000,Drama,Ryan Gosling,The Ides of March ,188652,Jennifer Ehle,R,2011,7.1,2.35
112,14000,Horror|Sci-Fi,Vin Diesel,Pitch Black ,193962,Cole Hauser,R,2000,7.1,2.35
97,20000,Comedy|Romance,Hugh Jackman,Someone Like You... ,19709,Catherine Dent,PG-13,2001,6.1,1.85
126,19000,Drama|Romance|Sci-Fi,Scarlett Johansson,Her ,355126,Matt Letscher,R,2013,8.0,1.85
106,20000,Biography|Comedy|Drama|Sport,Hugh Jackman,Eddie the Eagle ,32513,Tim McInnerny,PG-13,2016,7.5,2.35
97,23000,Mystery|Thriller,Paul Walker,Joy Ride ,53415,Dell Yount,R,2001,6.6,2.35
100,2000,Adventure|Family|Fantasy,Ioan Gruffudd,The Adventurer: The Curse of the Midas Box ,4191,Oliver Stark,PG,2013,5.4,2.35
114,20000,Comedy|Drama,Natalie Portman,Anywhere But Here ,14786,Shawn Hatosy,PG-13,1999,6.1,2.35
101,448,Comedy|Romance,Annabella Sciorra,Chasing Liberty ,30092,Terence Maynard,PG-13,2004,6.1,2.35
88,327,Comedy|Crime,Seymour Cassel,The Crew ,3914,Lainie Kazan,PG-13,2000,5.6,1.85
93,17000,Action|Thriller,Channing Tatum,Haywire ,72646,Michael Angarano,R,2011,5.8,2.35
92,912,Adventure|Horror|Thriller,Judith Barsi,Jaws: The Revenge ,30840,Lynn Whitfield,PG-13,1987,2.8,2.35
98,29000,Drama,Leonardo DiCaprio,Marvin's Room ,20163,Meryl Streep,PG-13,1996,6.7,1.85
94,721,Biography|Comedy|Drama|Family|Sport,Tasha Smith,The Longshots ,3174,Garrett Morris,PG,2008,5.1,2.35
102,327,Drama|Romance,Stephen Rea,The End of the Affair ,17740,James Bolam,R,1999,7.2,1.85
98,1000,Action|Crime|Drama|Thriller|Western,Vanessa Williams,Harley Davidson and the Marlboro Man ,14473,Don Johnson,R,1991,6.0,1.85
121,11000,Crime|Drama|Mystery|Thriller,James Franco,In the Valley of Elah ,60115,Barry Corbin,R,2007,7.2,2.35
111,527,Biography|Drama,Alessandro Nivola,Coco Before Chanel ,32003,Marie Gillain,PG-13,2009,6.7,2.35
90,2000,Drama|Western,Demi Moore,Forsaken ,4693,Michael Wincott,R,2015,6.3,2.35
100,201,Comedy|Drama|Romance,Tom Burke,Chéri ,8924,Gaye Brown,R,2009,6.2,2.35
50,787,Action|Crime|Drama|Thriller,Cole Hauser,Rogue             ,1781,Derek Luke,,,6.8,
141,805,Drama,Romola Garai,Vanity Fair ,17373,Lillete Dubey,PG-13,2004,6.2,2.35
139,556,Action|Drama|History,Bingbing Fan,Bodyguards and Assassins ,6263,Nicholas Tse,,2009,6.9,2.35
114,129,Fantasy|Horror,Drew Powell,1408 ,209396,Alexandra Silber,PG-13,2007,6.8,2.35
96,1000,Adventure|Comedy|Sci-Fi,Joan Rivers,Spaceballs ,136667,Michael Winslow,PG,1987,7.1,1.85
111,523,Drama|War,Cem Yilmaz,The Water Diviner ,53341,Steve Bastoni,R,2014,7.1,2.35
127,2000,Drama|Fantasy|Romance|Thriller,Demi Moore,Ghost ,154199,Phil Leeds,PG-13,1990,7.0,1.85
107,931,Comedy|Romance,Sarah Silverman,There's Something About Mary ,247289,Richard Tyson,R,1998,7.1,1.85
97,901,Comedy|Drama|Family|Fantasy,Judge Reinhold,The Santa Clause ,64742,Peter Boyle,PG,1994,6.4,1.85
127,2000,Drama|Family|Sport,Dennis Quaid,The Rookie ,26434,Angus T. Jones,G,2002,7.0,2.35
110,12000,Comedy|Family|Sport,Dwayne Johnson,The Game Plan ,44021,Madison Pettis,PG,2007,6.2,2.35
135,16000,Drama|Romance,Clint Eastwood,The Bridges of Madison County ,54631,Debra Monk,PG-13,1995,7.5,1.85
84,436,Comedy|Sci-Fi,Louis Lombardi,The Animal ,47383,Colleen Haskell,PG-13,2001,4.8,1.85
240,545,Biography|Drama|History,Candice Bergen,Gandhi ,171726,John Gielgud,PG,1982,8.1,2.35
122,820,Comedy|Drama,Manish Dayal,The Hundred-Foot Journey ,52894,Juhi Chawla,PG,2014,7.3,2.35
114,649,Action|Crime|Drama|Mystery|Thriller,Ken Howard,The Net ,48909,Ray McKinnon,PG-13,1995,5.8,1.85
132,967,Drama,Dianne Wiest,I Am Sam ,121937,Richard Schiff,PG-13,2001,7.6,1.85
170,329,Biography|Drama|History,Roma Downey,Son of God ,15448,Darwin Shaw,PG-13,2014,5.6,2.35
133,955,Action|Fantasy|Thriller,Sophia Myles,Underworld ,208092,Shane Brolly,R,2003,7.0,2.35
112,896,Drama|Thriller,Denis O'Hare,Derailed ,62584,Xzibit,R,2005,6.6,2.35
108,13000,Comedy|Crime|Drama|Thriller,Matt Damon,The Informant! ,52888,Thomas F. Wilson,R,2009,6.5,1.85
115,12000,Biography|Drama|Romance,Anthony Hopkins,Shadowlands ,13455,Julian Fellowes,PG,1993,7.4,2.35
83,591,Comedy,Carlos Ponce,Deuce Bigalow: European Gigolo ,41239,Charles Keating,R,2005,4.6,1.85
105,390,Comedy|Drama,Jack Reynor,Delivery Man ,59805,Matthew Daddario,PG-13,2013,6.4,2.35
110,11000,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,Victor Frankenstein ,28621,Daniel Mays,PG-13,2015,6.0,2.35
108,150,Thriller,Radivoje Bukvic,Our Kind of Traitor ,2587,Grigoriy Dobrygin,R,2016,6.4,2.35
96,240,Comedy|Crime|Romance,Amanda Detmer,Saving Silverman ,33287,Kyle Gass,PG-13,2001,5.9,1.85
94,975,Comedy|Family,Zachary Gordon,Diary of a Wimpy Kid: Dog Days ,15665,Karan Brar,PG,2012,6.4,2.35
142,978,Crime|Drama|Romance|Thriller,Mira Sorvino,Summer of Sam ,31227,Mike Starr,R,1999,6.6,1.85
104,8000,Comedy,Will Ferrell,Jay and Silent Bob Strike Back ,128593,Jason Mewes,R,2001,6.9,2.35
136,19000,Action|Adventure|Romance|Sci-Fi|Thriller,Scarlett Johansson,The Island ,263336,Djimon Hounsou,PG-13,2005,6.9,2.35
106,962,Crime|Drama|Mystery|Thriller,Chris Noth,The Glass House ,25462,Trevor Morgan,PG-13,2001,5.8,2.35
106,19000,Comedy|Mystery,Scarlett Johansson,Hail, Caesar! ,60926,Alden Ehrenreich,PG-13,2016,6.4,1.85
98,3000,Comedy|Music,Rosario Dawson,Josie and the Pussycats ,18900,Aries Spears,PG-13,2001,5.3,1.85
100,26000,Action|Crime|Drama|Thriller,Jason Statham,Homefront ,82804,Frank Grillo,R,2013,6.5,2.35
95,554,Adventure|Comedy|Family|Fantasy,Richard E. Grant,The Little Vampire ,7242,Alice Krige,PG,2000,5.7,1.85
107,6000,Comedy,Naomi Watts,I Heart Huckabees ,56813,Isabelle Huppert,R,2004,6.7,2.35
104,1000,Action|Crime|Sci-Fi|Thriller,CCH Pounder,RoboCop 3 ,35018,Mako,PG-13,1993,3.9,1.85
104,2000,Action|Adventure|Fantasy|Sci-Fi|Thriller,Michael Biehn,Megiddo: The Omega Code 2 ,2253,Franco Nero,PG-13,2001,4.1,1.85
143,638,Comedy|Drama|Musical|Romance|War,Rock Hudson,Darling Lili ,1547,Jeremy Kemp,G,1970,6.2,2.35
77,3000,Comedy|Family|Romance,Brendan Fraser,Dudley Do-Right ,8176,Eric Idle,PG,1999,3.8,2.35
96,805,Action|Crime|Thriller,Ed Skrein,The Transporter Refueled ,26767,Radivoje Bukvic,PG-13,2015,5.1,2.35
114,40000,Drama|Romance,Johnny Depp,The Libertine ,31433,Richard Coyle,R,2004,6.4,2.35
145,2000,Drama|Thriller|War,Michiel Huisman,Black Book ,59507,Christian Berkel,R,2006,7.8,2.35
116,203,Drama|History|Music|Romance|War,Gary Lewis,Joyeux Noel ,21394,Ian Richardson,PG-13,2005,7.8,2.35
100,14000,Action|Comedy|Romance,Bradley Cooper,Hit and Run ,29322,Beau Bridges,R,2012,6.1,2.35
104,939,Comedy|Crime|Thriller,Stephen Root,Mad Money ,16831,Roger Cross,PG-13,2008,5.8,2.35
92,14000,Drama|Mystery|Thriller,Colin Firth,Before I Go to Sleep ,48873,Anne-Marie Duff,R,2014,6.3,2.35
92,813,Adventure|Drama|Thriller,Roy Scheider,Sorcerer ,9513,Amidou,PG,1977,7.7,1.85
105,22000,Drama|Thriller,Robert De Niro,Stone ,34985,Frances Conroy,R,2010,5.4,2.35
120,809,Comedy|History,Romain Duris,Molière ,5166,Fabrice Luchini,PG-13,2007,7.3,2.35
116,23000,Crime|Drama|Thriller,Christian Bale,Out of the Furnace ,83171,Dendrie Taylor,R,2013,6.8,2.35
119,1000,Crime|Drama|Mystery|Thriller,Tom Wilkinson,Michael Clayton ,133367,Sydney Pollack,R,2007,7.3,2.35
101,957,Adventure|Comedy,Wilford Brimley,My Fellow Americans ,12278,Sela Ward,PG-13,1996,6.5,1.85
117,12000,Crime|Drama|Thriller,Jeff Bridges,Arlington Road ,69980,Hope Davis,R,1999,7.2,2.35
106,20,Adventure|Animation|Family|Sport,Pablo Rago,Underdogs ,6920,Gabriel Almirón,PG,2013,6.7,2.35
112,385,Comedy|Romance,Ornella Muti,To Rome with Love ,67893,Alessandra Mastronardi,R,2012,6.3,1.85
136,16000,Action|Adventure|Thriller,Clint Eastwood,Firefox ,19832,Kenneth Colley,PG,1982,5.9,2.35
