director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,language,country,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Alexandre Aja,108,192,580,Greg Nicotero,1000,Horror,Dan Byrd,The Hills Have Eyes ,129719,4500,0,desert|horror movie remake|murder of family|rape|slasher,English,USA,15000000,2006,6.4,2.35,0
Sam Weisman,98,39,428,Jenna Boyd,593,Comedy,Kevin Grevioux,Dickie Roberts: Former Child Star ,11815,2713,1,dental braces|dental headgear|former child star|panties|white panties,English,USA,17000000,2003,5.6,2.35,320
Niki Caro,129,51,89,Valente Rodriguez,427,Biography|Drama|Sport,Morgan Saylor,"McFarland, USA ",23480,952,0,coach|high school|place name in title|school|student,English,USA,17000000,2015,7.4,2.35,21000
Erik White,99,17,826,Loretta Devine,918,Comedy,Brandon T. Jackson,Lottery Ticket ,7991,4797,7,block party|eurocopter ec120 colibri|fortune cookie|lottery ticket|reverend,English,USA,,2010,4.9,2.35,0
Chris Robinson,105,49,104,Adam Boyer,680,Comedy|Crime|Drama|Music|Romance,T.I.,ATL ,8522,1538,0,high school|rollerskating rink|spelman college|twin|voice over narration,English,USA,,2006,6.0,2.35,874
Jason Moore,112,36,746,Hana Mae Lee,10000,Comedy|Music|Romance,Anna Kendrick,Pitch Perfect ,213898,12676,4,a cappella|competition|dj|female protagonist|lesbian,English,USA,17000000,2012,7.2,1.85,36000
Michael Tollin,108,19,505,Brian Dennehy,973,Comedy|Drama|Romance|Sport,Marc Blucas,Summer Catch ,12993,3344,2,baseball|baseball player|night|rivalry|summer,English,USA,34000000,2001,4.9,1.85,476
Sam Raimi,121,0,244,Bridget Fonda,989,Crime|Drama|Thriller,Gary Cole,A Simple Plan ,50656,2365,1,bag of money|found money|minnesota|screenplay adapted by author|snow,English,UK,17000000,1998,7.5,1.85,0
Robert Harmon,89,11,973,Ethan Embry,1000,Horror|Mystery|Thriller,Alexander Gould,They ,10885,4060,0,darkness|friend|kiss|nightmare|suicide,English,USA,17000000,2002,4.8,2.35,814
Trent Cooper,89,0,323,Larry the Cable Guy,690,Comedy|Romance,Thomas F. Wilson,Larry the Cable Guy: Health Inspector ,9104,2135,2,diner|food poisoning|health inspector|restaurant|undercover,English,USA,4000000,2006,3.1,1.33,110
Gary Halvorson,73,11,142,Kevin Clash,1000,Adventure|Comedy|Family|Fantasy|Musical,Vanessa Williams,The Adventures of Elmo in Grouchland ,2045,2020,0,based on tv series|blanket|box office flop|rescue|sesame street,English,USA,17000000,1999,5.8,1.85,339
Antoine Fuqua,132,847,625,Lili Taylor,3000,Crime|Drama|Thriller,Don Cheadle,Brooklyn's Finest ,52852,6317,1,catholic|corrupt cop|new york city|police detective|police officer killed,English,USA,17000000,2009,6.7,2.35,4000
Nicholas Ray,154,117,86,David Niven,715,Action|Adventure|Drama|History|War,Ava Gardner,55 Days at Peking ,4550,1567,3,ambassador|boxer rebellion|china|colonialism|peking china,English,USA,9000000,1963,6.8,2.2,419
Fede Alvarez,96,201,58,Elizabeth Blackmore,394,Horror,Lou Taylor Pucci,Evil Dead ,125016,673,0,book of the dead|demon|h.p. lovecraft|lesbian kiss|promise,English,USA,17000000,2013,6.5,2.35,70000
Donald Petrie,98,80,399,Harland Williams,567,Comedy|Romance,Nia Vardalos,My Life in Ruins ,15033,2016,1,greece|greek|tour bus|tour guide|tourist,English,USA,17000000,2009,5.9,1.85,0
Paul Weitz,107,80,841,Dennis Quaid,2000,Comedy|Music,Judy Greer,American Dreamz ,22639,5992,6,chief of staff|contest|president|singing|terrorist,English,USA,19000000,2006,5.5,1.85,300
Sidney J. Furie,134,22,488,Margot Kidder,1000,Action|Adventure|Family|Sci-Fi,Jim Broadbent,Superman IV: The Quest for Peace ,33570,3007,6,box office flop|dc comics|hair|nuclear disarmament|superman,English,UK,17000000,1987,3.6,2.35,1000
Ian Iqbal Rashid,94,8,66,Clé Bennett,328,Drama,DeRay Davis,How She Move ,4600,760,0,dance|dance contest|loss of sister|step dancing|teenager,English,Canada,,2007,3.3,1.85,238
Wayne Kramer,122,47,834,Chazz Palminteri,23000,Action|Crime|Drama|Thriller,Paul Walker,Running Scared ,88590,27381,2,adult child friendship|corrupt cop|fistfight|gangster|thug,English,Germany,17000000,2006,7.4,2.35,0
Rowdy Herrington,128,9,193,Jeremy Northam,767,Biography|Drama|Romance|Sport,Aidan Quinn,Bobby Jones: Stroke of Genius ,3222,1727,3,colon in title|competition|five word title|golf|temper,English,USA,,2004,6.7,2.35,352
Jim Goddard,97,3,161,Paul Freeman,400,Adventure|Crime|Drama|Romance,Victor Wong,Shanghai Surprise ,4081,805,0,china|missionary|opium|villain|year 1937,English,UK,17000000,1986,3.0,1.85,154
Neil Burger,110,168,96,Eddie Marsan,3000,Drama|Mystery|Romance|Thriller,Rufus Sewell,The Illusionist ,295375,4210,3,duchess|illusionist|magician|prince|supernatural power,English,USA,16000000,2006,7.6,1.85,15000
Noel Marshall,102,4,60,Melanie Griffith,634,Adventure|Horror|Thriller,Tippi Hedren,Roar ,1275,1262,0,chase|dead man|jungle|killing a lion|killing a tiger,English,USA,17000000,1981,6.4,2.35,0
Joel Schumacher,98,541,71,David Murray,214,Biography|Crime|Drama|Thriller,Brenda Fricker,Veronica Guerin ,16234,409,1,criminal|drug lord|gunshot|irish|journalist,English,Ireland,17000000,2003,6.9,2.35,0
Andrea Di Stefano,120,30,55,Brady Corbet,14000,Crime|Drama|Romance|Thriller,Josh Hutcherson,Escobar: Paradise Lost ,13762,14492,1,colombia|dream|love|surfer|village,English,France,17000000,2014,6.6,,0
Richard Kelly,160,219,215,Curtis Armstrong,1000,Comedy|Mystery|Sci-Fi|Thriller,Janeane Garofalo,Southland Tales ,32671,2340,6,amnesia|boxer|conspiracy|police|porn star,English,France,17000000,2006,5.5,2.35,0
Guillaume Ivernel,80,0,168,Jess Harnell,677,Adventure|Animation|Family|Fantasy,Rob Paulsen,Dragon Hunters ,10706,1364,0,cgi film|computer animation|dragon|hunter,French,France,11000000,2008,6.6,,0
Jack Smight,91,22,255,Jan-Michael Vincent,669,Sci-Fi,George Peppard,Damnation Alley ,3701,1769,0,cockroach|desert|ghost town|giant spider|travel,English,USA,17000000,1977,5.2,2.35,903
Todd Lincoln,83,57,62,Rick Gomez,465,Horror|Thriller,Julianna Guill,The Apparition ,16268,730,1,e mail|evil spirit|experiment|fear|supernatural,English,USA,17000000,2012,4.1,2.35,0
Howard Zieff,102,6,165,Jamie Lee Curtis,3000,Comedy|Drama|Family|Romance,Macaulay Culkin,My Girl ,55895,5433,1,best friend|funeral|girl|overalls|summer,English,USA,16500000,1991,6.8,1.85,0
Steven Shainberg,122,30,260,Ty Burrell,21000,Biography|Drama|Romance,Robert Downey Jr.,Fur: An Imaginary Portrait of Diane Arbus ,13239,25173,2,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair,English,USA,16800000,2006,6.5,1.85,0
Neil Burger,110,168,96,Eddie Marsan,3000,Drama|Mystery|Romance|Thriller,Rufus Sewell,The Illusionist ,295375,4210,3,duchess|illusionist|magician|prince|supernatural power,English,USA,16000000,2006,7.6,1.85,15000
Oliver Stone,126,0,168,Tamara Tunie,826,Crime|Drama,Hal Holbrook,Wall Street ,119150,1607,2,1980s|argument|critique of capitalism|f word|fired from the job,English,USA,15000000,1987,7.4,1.85,0
Ang Lee,136,0,1000,Kate Winslet,25000,Drama|Romance,Alan Rickman,Sense and Sensibility ,78392,41059,2,1810s|female protagonist|horseback riding|inheritance|three word title,English,USA,16500000,1995,7.7,1.85,0
Julian Jarrold,120,11,281,Julie Walters,11000,Biography|Drama|Romance,Anne Hathaway,Becoming Jane ,46204,12554,1,country estate|jane austen|lady|love|writing,English,UK,16500000,2007,7.1,2.35,0
Joe Nussbaum,108,18,433,Matt Long,714,Comedy|Romance,Danny Strong,Sydney White ,37700,2785,2,college|college girl|female protagonist|sorority|sorority house,English,USA,16500000,2007,6.3,2.35,0
Vadim Perelman,126,26,385,Kim Dickens,638,Drama,Frances Fisher,House of Sand and Fog ,56665,2282,0,auction|home|house|iranian|marriage,English,USA,15000000,2003,7.6,1.85,0
Peter Weir,128,608,1000,Josh Charles,49000,Comedy|Drama,Robin Williams,Dead Poets Society ,277451,51609,0,education|english teacher|poet|professor|student,English,USA,16400000,1989,8.0,1.85,23000
Peter Farrelly,113,137,481,Mike Starr,879,Comedy,Lauren Holly,Dumb & Dumber ,288451,2985,2,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella,English,USA,16000000,1994,7.3,1.85,0
Rob Reiner,89,0,62,Gretchen Palmer,227,Comedy|Drama|Romance,Bruno Kirby,When Harry Met Sally... ,149108,485,0,friendship|love|male female friendship|new york|sex,English,USA,16000000,1989,7.6,1.85,0
Sidney Lumet,129,0,359,James Mason,844,Drama,Charlotte Rampling,The Verdict ,26310,2330,0,archdiocese|court|hospital|lawyer|malpractice,English,USA,16000000,1982,7.8,1.85,0
Todd Phillips,94,480,486,Rachel Blanchard,1000,Comedy,Ethan Suplee,Road Trip ,132963,3889,5,blonde|college|friend|highway travel|road trip,English,USA,15600000,2000,6.5,1.85,0
Brian Robbins,106,48,35,Ron Lester,23000,Comedy|Drama|Romance|Sport,Paul Walker,Varsity Blues ,35312,23369,0,coach|coyote|popularity|quarterback|texas,English,USA,16000000,1999,6.4,1.85,0
Michel Hazanavicius,100,405,628,Ed Lauter,996,Comedy|Drama|Romance,Bérénice Bejo,The Artist ,190030,4606,0,1920s|jack russell terrier|modern silent movie|movie star|movie studio,English,France,15000000,2011,8.0,1.33,30000
David S. Goyer,89,687,389,Atticus Shaffer,10000,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,The Unborn ,42182,12183,1,babysitting|experiment|nightmare|possession|twin,English,USA,16000000,2009,4.8,2.35,0
Wes Anderson,94,0,559,Bill Murray,13000,Adventure|Comedy|Drama|Romance,Bruce Willis,Moonrise Kingdom ,237848,27911,2,1960s|boy scouts|boy scouts camp|coming of age|young love,English,USA,16000000,2012,7.8,1.85,71000
Jonathan Liebesman,83,473,597,Jordana Brewster,20000,Horror,Matt Bomer,The Texas Chainsaw Massacre: The Beginning ,56269,26402,0,cannibal|car accident|leatherface|psychopath|slaughterhouse,English,USA,16000000,2006,5.9,1.85,0
Cyrus Nowrasteh,111,19,107,Vincent Walsh,241,Drama,Clive Russell,The Young Messiah ,1449,824,0,based on novel,English,USA,18500000,2016,5.4,2.35,0
Perry Andelin Blake,80,11,499,Kenan Thompson,911,Comedy|Family,Jennifer Esposito,The Master of Disguise ,18254,3058,2,disguise|mask|master of disguise|restaurant|waiter,English,USA,16000000,2002,3.3,1.85,1000
Guillermo del Toro,112,0,250,Maribel Verdú,634,Drama|Fantasy|War,Ivana Baquero,Pan's Labyrinth ,467234,1322,0,fairy|fairy tale|faun|princess|spain,Spanish,Spain,13500000,2006,8.2,1.85,27000
,60,,762,Jessika Van,1000,Drama|Fantasy|Mystery|Thriller,Joel Courtney,The Messengers             ,7210,4561,0,,English,USA,,,6.6,16.0,0
John Whitesell,94,14,635,Angus T. Jones,1000,Action|Comedy|Crime|Family,Leslie Bibb,See Spot Run ,7392,4194,0,boy|fbi|mailman|van|witness protection,English,USA,35000000,2001,5.4,1.85,393
John Singleton,130,309,522,Snoop Dogg,939,Crime|Drama|Romance|Thriller,Mo'Nique,Baby Boy ,9566,3107,2,cartoon on tv|family relationships|physical abuse|single parent|two word title,English,USA,16000000,2001,6.4,1.85,1000
Christian E. Christiansen,91,26,638,Danneel Ackles,3000,Drama|Horror|Thriller,Leighton Meester,The Roommate ,29147,5349,1,animal abuse(non graphic)|cat killer|college|dead cat|death of cat,English,USA,16000000,2011,4.8,2.35,0
Dennie Gordon,91,29,459,Erik Per Sullivan,861,Adventure|Comedy|Drama,Brittany Daniel,Joe Dirt ,41664,2543,0,first part|grand canyon|highway travel|indian|janitor,English,USA,17700000,2001,5.9,1.85,0
Sheldon Lettich,110,23,51,Alonna Shaw,633,Action|Crime,Bolo Yeung,Double Impact ,28736,874,2,boat|hong kong|murder|tunnel|twins,English,USA,15000000,1991,5.5,1.85,0
Edgar Wright,121,1000,108,Joe Cornish,175,Action|Comedy|Mystery,Bill Bailey,Hot Fuzz ,352695,485,1,accident|conspiracy|police|police officer|village,English,UK,8000000,2007,7.9,2.35,17000
Diane English,114,15,650,Debi Mazar,851,Comedy|Drama,Jada Pinkett Smith,The Women ,16582,3485,4,beauty salon|divorce|fashion|new york|perfume,English,USA,16500000,2008,4.9,1.85,0
Woody Allen,96,11000,252,Kevin Dunn,19000,Drama|Romance,Scarlett Johansson,Vicky Cristina Barcelona ,198111,19894,0,art|artist|painter|sex|summer,English,Spain,15500000,2008,7.2,1.85,14000
Peter Flinth,270,5,292,Michael Nyqvist,908,Action|Adventure|Drama|Romance|War,Gustaf Skarsgård,Arn: The Knight Templar ,18041,2762,1,first part|holy land|knight templar|monastery|sword and shield,Swedish,Sweden,25000000,2007,6.6,2.35,0
Jon Lucas,100,24,851,Jay Hernandez,15000,Comedy,Mila Kunis,Bad Moms ,4654,18786,9,lesbian kiss|mom|pta|reference to mad max|scene during end credits,English,USA,20000000,2016,6.7,,18000
Robert Iscove,94,7,95,Amanda Detmer,3000,Comedy|Drama|Romance,Alyson Hannigan,Boys and Girls ,13661,3451,3,best friend|break up|friendship|graduation|male in underwear,English,USA,16000000,2000,5.3,1.85,487
Peter Kosminsky,109,7,450,Cole Hauser,835,Drama,Patrick Fugit,White Oleander ,25549,2572,0,california|foster home|love|oleander|prison,English,USA,16000000,2002,7.2,1.85,0
Karyn Kusama,107,45,271,Amy Sedaris,24000,Comedy|Fantasy|Horror,J.K. Simmons,Jennifer's Body ,92712,24805,1,cannibalism|cheerleader|condom|hook for hand|satanic ritual,English,USA,16000000,2009,5.1,1.85,6000
Nick Gomez,96,22,324,Jamie Lee Curtis,8000,Comedy|Crime|Mystery,Will Ferrell,Drowning Mona ,11768,11078,0,crying woman|plot|suspect|waitress|younger man older woman relationship,English,USA,16000000,2000,5.6,1.85,492
Woody Allen,88,11000,233,Don Pardo,854,Comedy,Mike Starr,Radio Days ,24256,1653,0,beach|cigarette girl|radio|woman holding a baby|working class,English,USA,16000000,1987,7.6,1.85,0
Vic Armstrong,110,179,734,Lea Thompson,12000,Action|Drama|Fantasy|Mystery|Thriller,Nicolas Cage,Left Behind ,24854,15044,1,bible quote|chaos|faith|riot|shrine,English,USA,16000000,2014,3.1,2.35,31000
Allen Coulter,113,47,238,Lena Olin,21000,Drama|Romance,Robert Pattinson,Remember Me ,113963,22088,0,binge drinking|new york|new york city|september 11 2001|suicide,English,USA,16000000,2010,7.2,1.85,24000
Clare Kilner,101,6,258,Alexandra Holden,812,Comedy|Drama|Romance,Dylan Baker,How to Deal ,8215,1882,1,best friend|high school|mother|sister|wedding,English,USA,16000000,2003,5.7,1.85,371
Richard Benjamin,105,121,384,Alyson Hannigan,11000,Comedy|Romance|Sci-Fi,Jon Lovitz,My Stepmother Is an Alien ,21079,14677,0,alien|earth|female alien|mission|secret,English,USA,20000000,1988,5.2,1.85,818
Jonathan Demme,125,438,372,Tom Hanks,18000,Drama,Denzel Washington,Philadelphia ,178731,33865,2,aids|city name in title|gay|homophobia|lawyer,English,USA,26000000,1993,7.7,1.85,0
Josef Rusnak,100,9,363,Craig Bierko,599,Mystery|Sci-Fi|Thriller,Gretchen Mol,The Thirteenth Floor ,51996,2389,0,amnesia|barricade|letter|time|virtual reality,English,Germany,16000000,1999,7.0,2.35,0
Lance Rivera,97,3,578,Vincent Pastore,1000,Comedy,Farrah Fawcett,The Cookout ,2385,3835,1,flatulence|interracial marriage|marriage,English,USA,,2004,3.6,1.85,177
Ronald Neame,108,38,316,Karl Malden,940,Action|Drama|Sci-Fi|Thriller,Martin Landau,Meteor ,5237,1945,7,asteroid|meteor|nasa|nuclear weapon|satellite,English,USA,16000000,1979,4.9,2.35,392
Bruce Paltrow,112,28,215,Marian Seldes,555,Comedy|Drama|Music,Lochlyn Munro,Duets ,8217,1227,0,convict|karaoke|middle america|salesman|singer,English,USA,15000000,2000,6.0,1.85,573
Woody Allen,112,11000,642,Debra Messing,11000,Comedy|Romance,Woody Allen,Hollywood Ending ,21613,12766,0,blind|director|psychosomatic blindness|self deprecating|studio,English,USA,16000000,2002,6.6,1.85,762
Adam Rifkin,95,89,322,Lin Shaye,1000,Comedy|Music,Natasha Lyonne,Detroit Rock City ,30682,2518,0,band|concert|high school|kiss|teenager,English,USA,15000000,1999,6.8,2.35,0
Russell Mulcahy,110,85,186,Jon Polito,1000,Action|Adventure|Fantasy,Christopher Lambert,Highlander ,98629,1852,1,combat|head cut off|immortal|scotland|swordsman,English,UK,16000000,1986,7.2,1.85,0
Susanne Bier,118,369,295,Omar Benson Miller,1000,Drama,Alison Lohman,Things We Lost in the Fire ,24104,1889,1,best friend|dinner|garage|narcotics anonymous|recovery,English,USA,16000000,2007,7.2,2.35,0
Kenneth Johnson,97,34,465,Annabeth Gish,503,Action|Crime|Sci-Fi,Charles Napier,Steel ,8687,3100,1,fight|gang|junkyard|military|soldier,English,USA,16000000,1997,2.8,1.85,0
James Gray,120,115,310,Dagmara Dominczyk,10000,Drama|Romance,Jeremy Renner,The Immigrant ,20616,11019,3,immigrant|immigration|magician|money|prostitution,English,USA,16000000,2013,6.6,2.35,0
James Ivory,135,133,258,Natasha Richardson,898,Drama|History|Romance|War,Vanessa Redgrave,The White Countess ,5321,2096,0,countess|diplomat|japanese|russian|shanghai,English,UK,16000000,2005,6.7,1.66,356
Danny Boyle,101,0,888,Spencer Wilding,3000,Crime|Drama|Mystery|Thriller,Rosario Dawson,Trance ,92640,5056,0,amnesia|criminal|heist|hypnotherapy|lost painting,English,UK,20000000,2013,7.0,2.35,23000
Jessy Terrero,92,29,618,Snoop Dogg,939,Comedy,Mo'Nique,Soul Plane ,18271,3935,9,airline|airplane|bathroom|sex|toilet,English,USA,16000000,2004,4.4,1.85,0
Dany Boon,106,172,27,Kad Merad,172,Comedy|Romance,Dany Boon,Welcome to the Sticks ,30587,329,2,alcohol|alcoholic drink|drunken man|france|provence,French,France,11000000,2008,7.1,2.35,3000
Vicente Amorim,92,6,227,Jodie Whittaker,10000,Drama|Romance|War,Viggo Mortensen,Good ,5664,11091,1,censorship|children|corpse|heil hitler|suffering,English,UK,15000000,2008,6.2,2.35,921
Gaspar Noé,161,929,116,Emily Alyn Lind,488,Drama|Fantasy,Paz de la Huerta,Enter the Void ,45449,943,0,drug deal|drugs|explicit sex|love|stripper,English,France,13000000,2009,7.3,2.35,23000
Amy Heckerling,92,143,613,Justin Kirk,1000,Comedy|Horror|Romance,Taylor Negron,Vamps ,7444,3086,2,murder|new york city|one word title|vampire|vampire slayer,English,USA,16000000,2012,5.1,1.78,0
Lasse Hallström,93,529,805,Sarah Roemer,1000,Drama|Family,Cary-Hiroyuki Tagawa,Hachi: A Dog's Tale ,155249,4453,0,dog|human animal relationship|japanese|loyalty|waiting,English,USA,16000000,2009,8.1,1.85,115000
Jérôme Salle,110,22,44,Tanya van Graan,5000,Crime|Drama|Thriller,Orlando Bloom,Zulu ,12817,5273,0,apartheid|corpse|male nudity|murder|police officer,English,France,16000000,2013,6.7,2.35,0
Tommy Lee Jones,122,0,567,Tim Blake Nelson,883,Drama|Western,Barry Corbin,The Homesman ,21370,2896,1,abusive marriage|pastor|prison wagon|roast pig|suicide by hanging,English,USA,16000000,2014,6.6,2.35,0
Jesse Vaughan,91,10,574,Jenifer Lewis,890,Comedy|Drama|Romance|Sport,Vivica A. Fox,Juwanna Mann ,5312,3104,3,basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner,English,USA,15600000,2002,4.5,1.85,939
,45,,15,Trond Fausa,422,Comedy|Crime|Drama,Steven Van Zandt,Lilyhammer             ,19164,537,0,mafia|mob|norway|steve|van,English,Norway,34000000,,8.1,16.0,16000
Atom Egoyan,115,460,125,Marie-Josée Croze,232,Drama|War,David Alpay,Ararat ,8624,699,1,armenian|armenian genocide|customs agent|genocide|prayer,English,Canada,,2002,6.6,1.66,824
William Bindley,94,4,518,Jake Lloyd,844,Drama|Sport,Bruce Dern,Madison ,1033,3583,0,boat racing|hydroplane|loyalty|one word title|scolding,English,USA,,2001,6.5,2.35,282
Wayne Beach,93,7,922,LL Cool J,1000,Drama|Mystery|Thriller,Mekhi Phifer,Slow Burn ,3299,4329,0,district attorney|interview|murder|prosecutor|reporter,English,USA,15500000,2005,5.9,1.85,191
Gérard Krawczyk,94,7,17,Ryôko Hirosue,235,Action|Comedy|Crime|Drama|Thriller,Carole Bouquet,Wasabi ,29392,303,1,french|inheritance|japan|letter|police detective hero,French,France,15300000,2001,6.6,2.35,0
James Gunn,95,571,102,Gregg Henry,499,Comedy|Horror|Sci-Fi,Dustin Milligan,Slither ,61912,1120,0,alien|b movie|sex|slug|small town,English,Canada,15500000,2006,6.5,1.85,0
