director_facebook_likes,actor_3_facebook_likes,num_user_for_reviews,country
29,161,278,UK
38,360,52,USA
162,25,351,UK
2,120,287,USA
0,84,136,USA
0,,5,UK
0,221,148,USA
112,612,182,USA
49,10000,130,USA
4,546,70,USA
20,130,101,USA
51,28,131,Ireland
0,664,78,USA
0,826,520,USA
39,286,160,UK
138,263,73,USA
0,379,93,USA
3,353,190,Germany
,724,315,USA
263,179,231,USA
23,82,50,USA
10,34,5,USA
53,491,190,USA
8,15,105,USA
5,152,78,USA
541,242,287,USA
129,362,75,USA
735,20,50,UK
159,53,111,UK
0,284,16,USA
11,316,29,USA
324,27,36,France
19,71,50,USA
61,451,22,China
781,90,29,USA
11,419,34,UK
