duration,actor_2_name,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,num_user_for_reviews,language,country,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
100,Laura San Giacomo,828,Drama,"Sex, Lies, and Videotape ",1431,95,English,USA,531,1.85,2000
103,Monica Potter,2000,Horror|Mystery|Thriller,Saw ,5161,1509,English,USA,878,1.85,0
100,Daniel von Bargen,816,Comedy|Crime|Mystery,Super Troopers ,2893,333,English,USA,577,1.85,0
99,Harry Lennix,18000,Action|Romance|Thriller,The Algerian ,20218,1,English,USA,748,1.85,221
89,Vera Wilson,31,Comedy|Drama,The Amazing Catfish ,58,2,Spanish,Mexico,24,,407
104,Jon Hamm,18000,Drama|Sci-Fi|Thriller,The Day the Earth Stood Still ,22194,698,English,USA,4000,2.35,0
114,Randeep Hooda,307,Comedy|Drama|Romance,Monsoon Wedding ,809,214,Hindi,India,209,1.85,0
111,Rory Culkin,2000,Drama,You Can Count on Me ,4288,231,English,USA,710,1.85,756
99,John Forsythe,282,Comedy|Mystery|Romance,The Trouble with Harry ,1041,150,English,USA,255,1.5,0
110,Morgan Freeman,13000,Crime|Drama|Mystery|Thriller,Lucky Number Slevin ,26451,507,English,Germany,11000,2.35,10000
85,Clea DuVall,1000,Comedy|Drama,But I'm a Cheerleader ,4289,186,English,USA,1000,1.85,0
113,Drew Waters,890,Drama|Sport,Home Run ,2681,32,English,USA,848,2.35,0
99,Steve Buscemi,16000,Crime|Drama|Thriller,Reservoir Dogs ,28994,931,English,USA,12000,2.35,19000
83,Nigel Bruce,94,Drama|Family|Fantasy,The Blue Bird ,293,25,English,USA,62,1.37,548
142,Luigi Pistilli,16000,Western,"The Good, the Bad and the Ugly ",16089,780,Italian,Italy,34,2.35,20000
112,Regina Casé,61,Comedy|Drama,The Second Mother ,76,26,Portuguese,Brazil,9,2.35,0
108,Marshall Allman,1000,Comedy|Drama,Blue Like Jazz ,1805,89,English,USA,330,1.85,0
88,Coyote Shivers,268,Comedy|Music,Down and Out with the Dolls ,318,4,English,USA,44,1.78,27
97,,,Documentary,"Pink Ribbons, Inc. ",0,10,English,Canada,,,5000
85,Sarah Silverman,49000,Comedy|Documentary,Certifiably Jonathan ,54484,2,English,USA,931,,87
103,Johnny Amaro,34,Drama,Q ,114,16,French,France,29,1.78,754
110,Antonio Arrué,3,Comedy|Drama,The Knife of Don Juan ,5,1,Spanish,USA,2,,75
88,Scott Adsit,690,Adventure|Comedy|Drama,Grand Theft Parsons ,1438,38,English,USA,316,1.85,480
76,Denise Boutte,387,Comedy,Extreme Movie ,1190,35,English,USA,295,1.85,636
100,David Niven,843,Action|Adventure|Romance|War,The Charge of the Light Brigade ,1621,52,English,USA,490,1.37,204
99,Kristin Booth,721,Thriller,Below Zero ,862,11,English,Canada,134,,161
84,Victor Zinck Jr.,380,Action|Horror|Mystery|Thriller,Crowsnest ,630,51,English,Canada,91,,238
91,Jacob Vargas,584,Adventure|Comedy|Sport,Airborne ,1218,70,English,USA,399,1.85,0
97,Cleavon Little,586,Action|Comedy,Cotton Comes to Harlem ,1581,27,English,USA,434,1.85,477
84,Sabrina Carmichael,10000,Horror,The Wicked Within ,11257,7,English,USA,500,,479
100,Deirdre Lorenz,498,Horror,Bleeding Hearts ,1810,2,English,USA,350,,242
94,Dane Cook,16000,Comedy,Waiting... ,19957,236,English,USA,1000,1.85,0
90,Gary Stretch,680,Crime|Drama|Thriller,Dead Man's Shoes ,1311,207,English,UK,404,1.85,0
,John Jarratt,511,Drama|Horror|Thriller,Wolf Creek             ,1617,6,English,Australia,457,2.0,954
92,Clu Gulager,448,Action|Drama|Horror|Thriller,From a Whisper to a Scream ,1329,37,English,USA,426,1.85,241
105,,,Documentary|Drama,Sex with Strangers ,0,8,English,USA,,1.33,51
73,CindyMarie Small,14,Comedy|Horror|Musical,Dracula: Pages from a Virgin's Diary ,21,32,English,Canada,4,1.85,131
116,Frank Rautenbach,412,Drama,Faith Like Potatoes ,521,36,Zulu,South Africa,48,1.85,0
110,Marilyn Norry,434,Sci-Fi|Thriller,Beyond the Black Rainbow ,645,82,English,Canada,95,2.35,0
102,Yayan Ruhian,1000,Action|Crime|Thriller,The Raid: Redemption ,1445,316,Indonesian,Indonesia,342,1.85,51000
89,Vernon Wells,1000,Action|Horror|Sci-Fi,The Dead Undead ,2510,15,English,USA,745,1.85,444
76,Anella Vastola,12,Horror,The Vatican Exorcisms ,12,10,English,Italy,0,2.35,200
82,Claude Rains,2000,Drama|Romance|War,Casablanca ,3442,1123,English,USA,607,1.37,23000
89,Rosie Traynor,12,Drama|Horror|Mystery|Thriller,Lake Mungo ,29,85,English,Australia,5,1.85,0
150,Shazahn Padamsee,964,Comedy|Drama,Rocket Singh: Salesman of the Year ,1052,35,Hindi,India,22,,773
89,Ron Rifkin,844,Drama|Sci-Fi,Silent Running ,1080,199,English,USA,184,1.85,0
145,Burgess Meredith,13000,Drama|Sport,Rocky ,16094,542,English,USA,1000,1.33,0
91,Brady Corbet,321,Drama,The Sleepwalker ,622,2,English,Norway,287,2.35,234
89,Hal Holbrook,2000,Fantasy|Horror,The Fog ,4878,335,English,USA,826,2.35,7000
121,Susannah York,883,Adventure|Comedy|History,Tom Jones ,1371,56,English,UK,269,1.37,328
83,Renee Olstead,707,Horror|Mystery|Thriller,Unfriended ,1565,309,English,USA,305,1.85,13000
110,Albert Brooks,22000,Crime|Drama,Taxi Driver ,23525,881,English,USA,745,1.85,35000
91,Robert Picardo,1000,Horror,The Howling ,4438,195,English,USA,823,1.85,0
110,Jack Lord,650,Action|Adventure|Thriller,Dr. No ,1421,389,English,UK,275,1.37,5000
86,Ingrid Bolsø Berdal,1000,Horror|Mystery|Sci-Fi|Thriller,Chernobyl Diaries ,2665,271,English,USA,466,1.85,24000
86,Ashley Laurence,266,Fantasy|Horror,Hellraiser ,673,335,English,UK,209,1.85,0
120,Robin Givens,634,Drama,God's Not Dead 2 ,1810,102,English,USA,420,2.35,0
90,Gary Cole,1000,Drama|Horror|Mystery|Thriller,Cry_Wolf ,3155,220,English,USA,989,2.35,816
99,Naomi Nishida,43,Action|Adventure|Drama|Sci-Fi|Thriller,Godzilla 2000 ,53,140,Japanese,Japan,3,2.35,339
112,Mike Vogel,33000,Drama|Romance,Blue Valentine ,35941,283,English,USA,2000,1.66,25000
103,Felicity Huffman,2000,Adventure|Comedy|Drama,Transamerica ,3192,230,English,USA,508,1.85,0
83,Claudiu Trandafir,403,Horror,The Devil Inside ,988,290,English,USA,169,1.85,12000
109,Cynthia Myers,503,Comedy|Drama|Music,Beyond the Valley of the Dolls ,731,137,English,USA,46,2.35,0
89,Neville Brand,356,Drama|Romance|Western,Love Me Tender ,831,36,English,USA,110,2.35,365
96,Al Gore,861,Documentary,An Inconvenient Truth ,929,504,English,USA,68,1.85,0
109,Richard Jaeckel,183,Action|Drama|Romance|War,Sands of Iwo Jima ,510,69,English,USA,102,1.37,624
122,Keith Richards,543,Biography|Documentary|Music,Shine a Light ,1218,67,English,USA,426,1.85,0
100,Richard Burgi,640,Adventure|Horror,The Green Inferno ,2082,164,English,USA,550,2.35,12000
109,Alex Lawther,202,Drama|Family|Romance,Departure ,283,5,English,UK,47,1.85,75
95,Adam Arkin,422,Biography|Comedy|Drama|Romance,The Sessions ,1899,126,English,USA,374,1.85,11000
94,Eric Schlosser,37,Documentary,"Food, Inc. ",42,183,English,USA,3,1.78,37000
107,Robert Amaya,544,Drama,October Baby ,1147,82,English,USA,264,,0
104,Callie Thorne,22000,Comedy|Drama|Romance,Next Stop Wonderland ,23461,86,English,USA,472,1.85,392
96,Jennifer Garner,24000,Comedy|Drama|Romance,Juno ,28817,881,English,USA,3000,1.85,10000
93,Boyd Holbrook,3000,Comedy|Drama,The Skeleton Twins ,3986,79,English,USA,439,2.35,0
102,Julia Garner,321,Drama|Mystery|Thriller,Martha Marcy May Marlene ,1263,186,English,USA,300,2.35,0
84,Jenny Slate,612,Comedy|Drama,Obvious Child ,1587,73,English,USA,457,2.35,0
97,Michael O'Keefe,496,Crime|Drama,Frozen River ,994,93,English,USA,238,1.85,0
91,Lou Adler,130,Documentary|Music,20 Feet from Stardom ,198,80,English,USA,19,1.78,14000
84,Natasha Gregson Wagner,21000,Comedy|Drama,Two Girls and a Guy ,21124,102,English,USA,104,1.85,387
86,Anne Heche,778,Comedy|Drama|Romance,Walking and Talking ,2400,32,English,UK,695,1.85,227
91,Mark Addy,1000,Comedy|Drama|Music,The Full Monty ,2323,174,English,UK,891,1.85,0
92,Phyllis Diller,783,Documentary,Who Killed the Electric Car? ,1447,155,English,USA,659,1.75,0
94,Nia Long,1000,Comedy|Drama|Romance|Sport,The Broken Hearts Club: A Romantic Comedy ,3085,120,English,USA,826,2.35,671
92,Ossie Davis,1000,Comedy|Fantasy|Mystery,Bubba Ho-Tep ,1587,366,English,USA,282,1.85,0
103,Dylan Minnette,2000,Adventure|Comedy|Family|Fantasy|Horror,Goosebumps ,5497,154,English,USA,1000,2.35,35000
100,Saul Williams,245,Drama,Slam ,295,51,English,USA,38,1.85,603
119,Frank Gerrish,957,Crime|Drama|Mystery,Brigham City ,1107,63,English,USA,81,1.85,100
167,Manoj Bajpayee,353,Drama|Romance,Fiza ,773,19,Hindi,India,186,2.35,92
92,Sid Caesar,1000,Comedy,History of the World: Part I ,3931,131,English,USA,898,2.35,0
92,Dian Bachar,406,Comedy|Sci-Fi,Orgazmo ,904,168,English,USA,203,1.85,0
108,Paul Schneider,11000,Drama|Romance,All the Real Girls ,12385,126,English,USA,552,2.35,571
97,Cathy Moriarty,611,Comedy|Drama,Dream with the Fishes ,1692,29,English,USA,394,1.85,166
88,Agnes Bruckner,638,Drama,Blue Car ,1641,68,English,USA,400,1.85,115
100,Lupe Ontiveros,844,Comedy|Romance,Luminarias ,2289,32,English,USA,625,,24
100,Nat Wolff,11000,Drama,Palo Alto ,12234,61,English,USA,733,1.85,0
124,Scandar Copti,20,Crime|Drama,Ajami ,42,32,Arabic,Germany,13,1.85,0
88,Patrick Fugit,1000,Comedy|Drama|Fantasy|Romance,Wristcutters: A Love Story ,4720,88,English,USA,835,1.78,11000
106,Cara Seymour,7000,Drama|Romance|Sci-Fi,I Origins ,7098,160,English,USA,71,2.39,32000
79,Elden Henson,855,Comedy|Drama|Romance,The Battle of Shaker Heights ,2489,49,English,USA,577,1.85,150
135,AJ Michalka,873,Drama|Fantasy|Thriller,The Lovely Bones ,2369,593,English,USA,559,2.35,16000
96,Herman Koto,3,Biography|Crime|Documentary|History,The Act of Killing ,6,107,Indonesian,UK,3,1.85,20000
53,George W. Bush,141,Crime|Documentary|War,Taxi to the Dark Side ,313,40,English,USA,125,1.85,0
97,Marv Albert,102,Documentary|Sport,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,118,13,English,UK,7,1.85,587
120,Rufus Graham,12,Drama,Guiana 1838 ,15,2,English,USA,3,,32
90,Fisher Stevens,978,Comedy|Drama,Lisa Picard Is Famous ,3258,16,English,USA,922,,25
91,Tom Hamann,53,Adventure|Biography|Documentary|Drama,Antarctica: A Year on Ice ,86,16,English,New Zealand,24,1.85,0
93,Brian Whitaker,20,Documentary,A Lego Brickumentary ,28,11,English,Denmark,8,,0
112,Randy Wayne,260000,Action|Drama,Hardflip ,263584,5,English,USA,984,1.85,706
160,Anil Kapoor,724,Thriller,Chocolate: Deep Dark Secrets ,2024,30,Hindi,India,668,,31
95,Greta Gerwig,969,Horror,The House of the Devil ,3833,193,English,USA,962,1.85,0
93,Clayne Crawford,443,Comedy|Crime|Thriller,The Perfect Host ,1452,73,English,USA,298,1.85,0
88,Michael Lerner,499,Comedy|Crime,Safe Men ,1141,52,English,USA,230,1.85,157
105,Patsy Kensit,590,Crime|Drama|Romance,Speedway Junky ,1042,43,English,USA,231,,27
98,Louis Mustillo,96,Comedy|Drama,The Last Big Thing ,196,17,English,USA,71,1.85,43
82,James Gunn,2000,Action|Comedy|Fantasy|Sci-Fi,The Specials ,3905,54,English,USA,571,1.85,210
89,Emily Baldoni,386,Comedy|Romance,16 to Life ,1647,6,English,USA,261,1.78,143
78,Ana Claudia Talancón,262,Crime|Drama|Thriller,Alone with Her ,509,31,English,USA,163,1.85,244
97,Alexia Rasmussen,446,Drama|Sci-Fi,Creative Control ,928,7,English,USA,171,2.39,793
81,Paul Blackthorne,975,Comedy|Drama|Sci-Fi,Special ,2694,37,English,USA,645,1.85,0
90,Jamie Kennedy,491,Comedy|Drama,Sparkler ,2633,13,English,USA,490,,17
97,Vanilla Ice,639,Action|Adventure|Comedy|Fantasy|Sci-Fi,The Helix... Loaded ,1188,9,English,USA,361,1.78,128
88,Mariel Hemingway,563,Action|Drama,In Her Line of Fire ,1284,12,English,Germany,288,1.85,42
96,Frank Whaley,474,Comedy|Drama,The Jimmy Show ,920,21,English,USA,436,1.85,47
105,Andrea Vergara,327,Crime|Drama|Romance,Heli ,351,15,Spanish,Mexico,9,1.85,0
,Ayesha Omar,7,Comedy|Family,Karachi se Lahore ,19,15,Urdu,Pakistan,5,,259
76,Kevin McCarthy,442,Drama|Romance,Loving Annabelle ,1635,75,English,USA,403,1.85,501
96,Matt Walsh,782,Comedy|Drama,Hits ,2607,8,English,USA,490,1.78,903
99,A.J. Buckley,363,Crime|Drama|Thriller,Jimmy and Judy ,997,26,English,USA,275,,138
90,Lauren C. Mayhew,984,Comedy,Frat Party ,1752,28,English,USA,157,16.0,297
94,Eddie Albert,694,Drama,The Party's Over ,964,7,English,UK,196,1.37,32
87,Ossie Davis,767,Drama,Proud ,1593,22,English,USA,282,,141
93,Chloë Grace Moretz,34000,Drama,The Poker House ,52113,24,English,USA,17000,1.85,599
90,Barbara Hershey,1000,Drama,Childless ,1996,,English,USA,618,,3
89,Janette Armand,199,Comedy|Horror|Sci-Fi,ZMD: Zombies of Mass Destruction ,292,39,English,USA,37,1.85,0
83,Shanley Caswell,458,Horror,Snow White: A Deadly Summer ,1549,14,English,USA,383,1.78,150
96,Germán Alcarazu,90,Drama|Romance,Hidden Away ,90,7,Spanish,Spain,0,2.35,68
90,Marlene Forte,898,Comedy|Drama|Romance,My Last Day Without You ,2116,12,English,USA,395,1.66,370
138,Sticky Fingaz,592,Comedy|Music,Steppin: The Movie ,1350,1,English,USA,207,,41
84,Tom Berenger,10000,Western,Doc Holliday's Revenge ,11466,6,English,USA,854,1.78,54
83,Anslem Richardson,224,Horror|Thriller,Black Rock ,344,47,English,USA,59,1.85,0
96,Alexander Vlahos,335,Horror|Mystery,Truth or Die ,1226,41,English,UK,334,2.35,968
94,Pierre Dulat,92,Drama|Thriller,The Pet ,109,24,English,USA,17,,91
90,Chloe Rose,57,Drama|Musical|Sci-Fi,Bang Bang Baby ,231,16,English,Canada,40,,48
95,Kevin Gage,677,Horror,Fear Clinic ,1825,19,English,USA,366,2.35,936
93,Shona Kay,214,Action|Comedy|Horror,Zombie Hunter ,656,30,English,USA,211,2.35,0
111,Luke Perry,657,Drama,A Fine Step ,2677,1,,USA,608,,212
101,Spencer Wilding,3000,Crime|Drama|Mystery|Thriller,Trance ,5056,212,English,UK,1000,2.35,23000
103,Dick Van Patten,754,Drama|Romance|Sci-Fi,Charly ,1567,55,English,USA,605,2.35,785
87,Katia Winter,696,Horror|Thriller,Banshee Chapter ,1618,56,English,Germany,371,,2000
30,David DeLuise,775,Comedy,Jesse             ,1713,14,English,USA,275,,57
100,Gia Mantegna,529,Drama,Ask Me Anything ,2468,64,English,USA,413,,884
90,Mike Colter,1000,Comedy|Romance,And Then Came Love ,2504,4,English,USA,569,,42
83,Robert Kennedy Jr.,56,Documentary|News,Food Chains ,104,3,English,USA,28,,489
108,Karl Malden,10000,Crime|Drama|Romance,On the Waterfront ,11094,281,English,USA,416,1.85,0
100,Geoff Stults,945,Comedy,L!fe Happens ,2924,15,English,USA,756,2.35,995
113,Vlad Ivanov,131,Drama,"4 Months, 3 Weeks and 2 Days ",264,172,Romanian,Romania,60,1.85,14000
97,Brian Dorton,1000,Horror,The Horror Network Vol. 1 ,1343,3,English,USA,171,,52
104,G.J. Echternkamp,109,Crime|Drama|Thriller,Hard Candy ,117,651,English,USA,8,2.35,12000
91,David Gallagher,982,Drama|Thriller,The Quiet ,3299,90,English,USA,796,2.35,698
107,Reza Sixo Safai,144,Drama,Circumstance ,509,43,Persian,France,127,2.35,0
85,Melonie Diaz,282,Biography|Drama|Romance,Fruitvale Station ,687,168,English,USA,270,1.85,17000
101,Michael Angarano,975,Comedy|Fantasy|Thriller,The Brass Teapot ,4184,39,English,USA,947,2.35,0
70,Donnie Dunagan,16,Animation|Drama|Family,Bambi ,63,136,English,USA,12,1.33,0
88,Rian Bishop,465,Comedy|Romance|Sport,The Hammer ,897,23,English,USA,140,,337
112,Harold Perrineau,12000,Action|Drama|Thriller,Snitch ,15800,122,English,USA,1000,2.35,12000
107,Rob McElhenney,23000,Comedy|Drama|Romance,Latter Days ,26017,252,English,USA,813,1.85,0
78,Christophe Cherki,0,Drama,Elza ,0,2,French,France,0,16.0,24
90,Ruby Dee,904,Drama,1982 ,5435,3,English,USA,782,,181
88,Ari Graynor,938,Comedy,"For a Good Time, Call... ",3770,34,English,USA,904,2.35,0
92,Janel Parrish,904,Comedy|Drama|Romance,Celeste & Jesse Forever ,1751,61,English,USA,517,2.35,0
95,D. David Morin,284,Drama|Fantasy|Sci-Fi,Time Changer ,1185,158,English,USA,234,1.85,409
85,Johnny Harris,418,Crime|Drama|Thriller,London to Brighton ,926,72,English,UK,146,2.35,933
86,Christopher Berry,489,Action|Comedy|Drama|Sci-Fi,American Hero ,1278,23,English,USA,207,,549
90,Samaire Armstrong,1000,Mystery|Thriller,Windsor Drive ,3336,6,English,USA,806,,312
123,Leila Hatami,786,Drama|Mystery,A Separation ,2501,264,Persian,Iran,712,1.85,48000
93,Stephen McCole,49,Thriller,Crying with Laughter ,81,6,English,UK,11,,33
88,Ken Leung,529,Comedy|Drama,Welcome to the Dollhouse ,1502,174,English,USA,502,1.85,0
114,Todd Field,159,Drama|Romance,Ruby in Paradise ,423,28,English,USA,143,1.85,81
88,Melonie Diaz,302,Drama|Romance,Raising Victor Vargas ,663,135,English,France,270,1.85,219
110,Francis Lederer,426,Crime|Drama|Romance,Pandora's Box ,455,84,German,Germany,20,1.33,926
95,Melora Walters,940,Drama,Harrison Montgomery ,1484,1,English,USA,188,1.78,18
83,Hilda Bernard,24,Drama,Live-In Maid ,29,11,Spanish,Argentina,5,,83
104,Kathryn Morris,574,Drama|Thriller,Deterrence ,1983,79,English,France,573,1.85,130
94,Tom Guiry,262,Crime|Drama|Romance,The Mudge Boy ,991,30,English,USA,262,,396
87,Eion Bailey,1000,Drama,The Young Unknowns ,2359,3,English,USA,749,,4
93,Kurt Angle,247,Comedy,Not Cool ,954,72,English,USA,217,,0
91,Stig Frode Henriksen,35,Comedy|Horror,Dead Snow ,116,200,Norwegian,Norway,16,1.85,23000
90,Larry Bagby,214,Action|Adventure|Drama|War,Saints and Soldiers ,587,157,English,USA,115,,1000
14,Alan Pietruszewski,134,Horror|Sci-Fi|Short|Thriller,Vessel ,315,3,English,USA,93,,14
112,Ron Howard,11000,Comedy|Drama|Music,American Graffiti ,14954,238,English,USA,2000,2.35,0
75,Katy Helvenston-Wettengal,25,Documentary|War,Iraq for Sale: The War Profiteers ,25,24,English,USA,0,1.78,274
86,Fred Armisen,2000,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,Aqua Teen Hunger Force Colon Movie Film for Theaters ,3071,73,English,USA,424,1.85,307
86,Mark Duplass,934,Comedy|Drama|Romance,Safety Not Guaranteed ,2714,260,English,USA,830,2.35,31000
89,Larry King,312,Comedy|Documentary,Kevin Hart: Laugh at My Pain ,548,8,English,USA,135,1.85,614
95,Ben Crompton,513,Crime|Horror|Thriller,Kill List ,1269,209,English,UK,257,2.35,0
101,Jake Ryan,969,Horror,The Innkeepers ,1252,247,English,USA,128,2.35,0
89,Atticus Shaffer,10000,Drama|Fantasy|Horror|Mystery|Thriller,The Unborn ,12183,230,English,USA,787,2.35,0
106,Stefania Sandrelli,319,Drama,The Conformist ,500,101,Italian,Italy,90,1.66,0
88,Christel Khalil,108,Drama,Interview with the Assassin ,243,31,English,USA,72,1.78,163
99,Nichola Burley,1000,Crime|Drama|Horror|Thriller,Donkey Punch ,1558,74,English,UK,233,1.85,0
90,Michael Welch,935,Horror,All the Boys Love Mandy Lane ,2170,129,English,USA,611,2.35,2000
95,Jennifer Lee Wiggins,717,Horror,Bled ,1117,30,English,USA,134,1.85,128
85,Lloyd Bridges,998,Thriller|Western,High Noon ,2496,333,English,USA,575,1.37,3000
170,Arthur Agee,7,Documentary|Drama|Sport,Hoop Dreams ,15,74,English,USA,6,1.33,0
86,Christopher Toler,262,Documentary|Music,Rize ,321,46,English,USA,23,1.33,903
,Lauren Cohan,22000,Action|Adventure|Fantasy|Sci-Fi,Destiny ,26578,11,English,USA,4000,,1000
97,Bruce Altman,80,Crime|Drama,L.I.E. ,209,109,English,USA,67,1.85,420
104,Kara Hayward,601,Drama|Mystery|Thriller,The Sisterhood of Night ,1581,17,English,USA,524,2.35,523
88,Wesley Jonathan,618,Drama|Music|Romance,B-Girl ,2476,10,English,USA,592,,303
201,Thomas Kretschmann,6000,Action|Adventure|Drama|Romance,King Kong ,7122,2618,English,New Zealand,918,2.35,0
108,Paris Hilton,730,Horror,House of Wax ,2160,576,English,Australia,716,1.85,0
106,Tristan Mack Wilds,33000,Drama,Half Nelson ,33734,189,English,USA,519,1.85,0
107,Akima,752,Drama,Naturally Native ,1763,6,English,USA,282,,102
84,Robinne Lee,465,Comedy,Hav Plenty ,714,36,English,USA,170,,161
91,Steffinnie Phrommany,696,Crime|Drama|Thriller,Adulterers ,1210,1,English,USA,320,2.35,158
90,Lee Armstrong,977,Fantasy|Horror,Escape from Tomorrow ,2483,79,English,USA,511,1.85,0
103,Harvey Weinstein,628,Documentary,Starsuckers ,1683,8,English,UK,474,,203
71,Dave Fennoy,1000,Documentary,The Hadza: Last of the First ,1359,1,English,USA,338,,5
