actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,num_user_for_reviews,content_rating
142,Peter Breck,407,Adventure|Family|Romance,36,G
7,Saul Stein,48,Adventure|Biography|Drama|Horror|Thriller,916,R
201,Matt Jones,833,Comedy,3,R
22,Hoke Howell,423,Horror|Sci-Fi,84,PG
0,Eva Carrozza,0,Documentary|Family|Music,65,PG
587,Joe Lo Truglio,22000,Comedy|Drama,286,R
234,Sean Michael Afable,984,Drama,55,PG-13
2,Bill Clinton,196,Documentary,43,PG
43,Vince McMahon,54,Biography|Documentary|Sport,80,R
15,Lincoln Hoppe,69,Comedy|Drama|Romance,53,PG
0,Zubaida Sahar,30,Drama,77,PG-13
59,Peter Riegert,399,Documentary,5,Unrated
17,Ari Gold,328,Drama|Music,74,R
17,Big Budah,69,Comedy|Crime|Family,34,PG
482,William Katt,980,Drama,87,R
595,Scott Mechlowicz,710,Crime|Drama,154,R
474,Heather Matarazzo,659,Crime|Drama|Romance,21,R
658,Bill Duke,22000,Comedy|Romance,34,R
469,LisaRaye McCoy,597,Crime|Drama|Thriller,24,R
213,Seymour Cassel,778,Comedy|Drama,53,R
243,Anna Kendrick,10000,Comedy|Drama|Romance,106,R
49,Ricky Jay,342,Documentary,7,
4,Minoru Chiaki,304,Action|Adventure|Drama,596,Unrated
8,Greg Speirs,14,Documentary|Sport,9,Not Rated
329,Tina Louise,11000,Comedy|Music|Romance,24,R
143,Jake Sandvig,239,Comedy,12,Not Rated
196,Jack Plotnick,353,Comedy|Fantasy|Horror,170,R
183,Matt Jones,17000,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,214,PG
325,Amber Benson,396,Comedy|Romance,10,R
699,Clea DuVall,33000,Drama|Sport,32,R
113,Whitney Able,660,Drama|Sci-Fi|Thriller,451,R
347,Joanne Whalley,584,Drama,11,PG
170,Ann Dowd,472,Comedy,10,PG-13
445,Christa B. Allen,552,Comedy|Horror,20,Not Rated
0,Zheng Xu,4,Comedy|Crime,9,
25,Jacques Brel,30,Biography|Documentary|Music,11,
637,Alan Ruck,991,Drama,10,R
118,Zoë Kravitz,991,Drama|Thriller,68,R
0,Rai Alexandra,2,Thriller,3,
205,Bruce Vilanch,387,Documentary,3,
680,Olivia Williams,25000,Drama|Romance,54,PG-13
238,John McGlothlin,685,Comedy|Horror,28,R
569,Dylan Baker,970,History,,
152,Tim Abell,358,Action|Mystery|Thriller,16,R
135,Katherine Boecher,1000,Comedy|Drama,578,PG-13
120,Katherine Waterston,322,Mystery|Thriller,45,R
15,Christian Alvarez,159,Crime|Drama,1,R
212,Randy Jay Burrell,918,Action|Romance|Sport,2,PG-13
303,Barry Bostwick,636,Horror|Musical,20,
33,Jennifer Landa,84,Comedy|Mystery|Thriller,1,R
317,Joel Paul Reisig,466,Family,4,PG
0,Sarah Callan,0,Action|Biography|Documentary|Sport,10,
53,Jeff Delaney,385,Family,1,
11000,Mila Kunis,44000,Adventure|Family|Fantasy,511,PG
10,Mark Torgl,488,Action|Comedy|Horror|Sci-Fi,147,Unrated
10,George T. Odom,353,Crime|Drama,11,R
80,Nicholas Farrell,773,Drama|History|War,120,R
237,Dennis L.A. White,472,Action,5,R
446,Thomas Lennon,10000,Comedy|Drama|Romance,54,R
49,Lloyd Kaufman,907,Comedy|Horror|Musical,58,Unrated
304,Cheyenne Jackson,873,Comedy|Romance,3,
45,Dick Powell,610,Comedy|Musical|Romance,97,Unrated
0,Jack Canfield,8,Documentary,10,G
3,Taylor Nichols,88,Comedy|Drama|Romance,52,PG-13
19,Frida Hallgren,690,Comedy|Drama|Music|Romance,94,
93,Ace Marrero,847,Drama|Horror|Mystery|Thriller,6,
482,Diedrich Bader,970,Comedy,1473,PG
92,Eve Plumb,1000,Crime|Drama|Thriller,135,R
21,Ashley Palmer,189,Horror,1189,R
5,Jay Adams,22,Documentary|Sport,88,PG-13
332,Michael Palin,795,Adventure|Comedy|Fantasy,660,PG
138,Jesse Garcia,231,Drama,48,R
6,Sue Corcoran,361,Comedy|Fantasy|Horror|Musical,18,
833,Masi Oka,1000,Drama|Fantasy|Sci-Fi|Thriller,379,TV-14
0,Jonathan Caouette,58,Biography|Documentary,114,Unrated
12,Chris Cox,93,Documentary,31,PG
271,Paul Elia,935,Comedy|Horror,5,
22,David Warbeck,48,Horror,253,X
6,Ron Lynch,59,Animation|Comedy|Drama,82,TV-PG
149,Andrew Daly,642,Comedy|Romance,151,PG-13
39,Jeff Seymour,108,Horror|Thriller,52,R
33,Roshan Seth,114,Comedy|Drama|Romance,64,R
36,Adam LeFevre,169,Drama|Horror|Mystery|Thriller,10,R
83,Michelle Nolden,918,Drama|Thriller,5,R
92,Ingrid Thulin,440,Drama,197,R
9,Mae Marsh,436,Drama|History|War,88,Not Rated
513,DeForest Kelley,643,Documentary,75,PG
4,Bessie Love,77,Musical|Romance,71,Passed
58,Betsy Baker,634,Fantasy|Horror,740,NC-17
118,Nora Arnezeder,470,Horror|Thriller,131,Not Rated
,,3,Documentary|History,3,
0,Joe Bishop,15,Documentary|Sport,70,R
93,Steve James,615,Action|Drama,46,R
0,Ellen Block,0,Documentary,16,Unrated
576,Tracy Spiridakos,2000,Action|Adventure|Drama|Sci-Fi,323,TV-14
0,Natalie Welch,196,Family|Sci-Fi,8,
598,Donald Pleasence,2000,Horror|Thriller,1191,R
253,Lee J. Cobb,359,Crime|Drama,888,Not Rated
258,Peter Gerety,812,Animation|Drama,15,
21,Alan Hale,380,Comedy|Romance,235,Unrated
14,Mary Tsoni,47,Drama|Thriller,170,Unrated
321,Gary Coleman,786,Biography|Documentary|Music,32,R
276,Janet McTeer,409,Comedy|Drama,73,PG-13
912,Adam Goldberg,10000,Action|Fantasy|Horror|Mystery|Thriller,194,R
8,Zinedine Soualem,75,Comedy|Romance,25,R
543,Adrian Martinez,1000,Comedy|Drama,177,PG-13
2,Mark Caven,19,Drama,7,
26,Lucy,52,Drama,57,Unrated
26,Lucy,375,Drama,112,R
301,Edie Falco,795,Drama,23,R
0,Anna Karina,710,Crime|Drama|Romance,74,Not Rated
,Beatrice Ntuba,2,Documentary,8,Not Rated
,,,Documentary,12,
87,Gloria Foster,581,Drama|Romance,26,Not Rated
104,Eli Marienthal,318,Drama|Romance,16,R
25,Eddie Jones,54,Drama|Sport,23,R
32,Alexander Wraith,502,Action|Thriller,18,PG-13
107,T.V. Carpio,5000,Drama|Fantasy|Musical|Romance,524,PG-13
221,Elizabeth Stenholt,644,Drama|Music,1,
668,David Carradine,13000,Action|Comedy|Sci-Fi|Sport,147,R
309,Ricky Schroder,685,Thriller,5,R
87,Wilhelm von Homburg,156,Horror,4,R
248,Joanna Cassidy,500,Comedy|Drama|Romance,7,R
0,Pierre Prieur,19,Drama|Musical|Romance,1,Unrated
180,Carmen Argenziano,431,Horror|Mystery,58,R
313,Barry Bostwick,778,Comedy|Crime|Drama|Horror|Mystery|Thriller,58,R
235,Matt Servitto,601,Biography|Crime|Drama|Thriller,175,R
781,Ethan Suplee,13000,Comedy|Drama|Romance,500,R
225,Brenda Blethyn,400,Comedy|Drama|Romance,85,R
99,Robert Miano,466,Action|Adventure|Mystery|Romance|Thriller,,R
13,Jason Tobin,94,Crime|Drama|Romance,138,R
10,Laurel Holloman,360,Comedy|Drama|Romance,36,R
129,Mike White,625,Comedy|Drama,136,R
51,Rizwan Manji,250,Comedy|Drama|Romance,40,Unrated
185,Nicholas Simmons,569,Action|Crime|Drama,,
319,Julian Richings,686,Mystery|Sci-Fi|Thriller,696,R
62,Frances O'Connor,991,Comedy|Romance,21,R
0,Bill Martone,5,Animation|Comedy|Drama|Fantasy|Sci-Fi,21,R
142,Anne Archer,308,Drama|Mystery|Thriller,64,R
224,Charlie Bewley,34000,Drama|Romance,150,PG-13
270,Steffinnie Phrommany,471,Horror,2,
181,Rosanna Arquette,793,Comedy|Music,22,R
7,Clint Jordan,100,Comedy|Drama,11,
461,Gus Van Sant,924,Drama|Thriller,87,R
250,James Norton,887,Crime|Drama,59,TV-MA
41,Flaco Navaja,68,Drama,15,R
22,Natalie Canerday,35,Drama|Thriller,32,PG-13
289,Luke Mably,766,Mystery|Thriller,120,Not Rated
5,Samantha Buck,119,Sci-Fi,7,
73,Mark Hengst,349,Drama|Musical,18,G
3,Lorne Cardinal,1000,Drama,8,PG
76,Marty Lindsey,135,Action|Drama|Fantasy|Sci-Fi,215,
104,Derek Brandon,337,Drama|Family,10,PG
152,Kate Flannery,338,Comedy|Short,,
180,June Lockhart,602,Crime|Drama,18,R
0,Steve Duin,0,Documentary,1,PG
89,Brit Morgan,236,Horror|Thriller,28,PG-13
224,Campbell Scott,1000,Fantasy|Romance,56,Unrated
3,Dana Blackstone,288,Family,1,PG
670,Robert Davi,699,Documentary,2,
6,Renée Adorée,81,Drama|Romance|War,45,Not Rated
29,Jacob Zachar,1000,Comedy,1,
142,Brock Baker,431,Comedy|Music|Romance,2,
146,James Lance,27000,Action|Biography|Crime|Drama,145,R
494,Vivian Lamolli,814,Adventure|Drama|Fantasy|Thriller|Western,4,
0,Donald Austin,2,Documentary,6,Not Rated
131,Josh Hamilton,254,Drama,73,R
0,Nancy Ison,12,Comedy|Drama,5,X
21,Cecil Kellaway,57,Adventure|Horror|Sci-Fi,88,Approved
51,Robert J. Wilke,618,Adventure|Drama|Family|Fantasy|Sci-Fi,108,Approved
28,Steve Bisley,728,Action|Adventure|Sci-Fi|Thriller,303,R
31,Alex Désert,4000,Comedy|Drama,252,R
93,Gian Maria Volontè,16000,Action|Drama|Western,235,R
28,Gilbert Roland,418,Comedy|Drama|History|Musical|Romance,59,Approved
0,Jasper Johal,66,Documentary,13,Unrated
16,Chris Thomas,77000,Drama,26,PG-13
305,David Oyelowo,1000,Drama,10,R
9,Sebastian Schipper,24,Comedy|Drama|Romance,18,Unrated
61,Leo Rossi,96,Drama|Music,14,
15,Natasha Bedingfield,178,Documentary|History|Music,2,PG-13
273,David Costabile,17000,Crime|Drama|Thriller,274,R
10,Stevan Mena,169,Crime|Horror|Mystery|Thriller,112,R
45,Adam Rifkin,471,Comedy|Drama,1,
156,Ryan Kennedy,259,Horror|Sci-Fi|Thriller,22,PG-13
98,Jennifer Lafleur,962,Comedy|Drama|Horror|Romance,40,R
15,Victoria Lachelle,138,Comedy|Horror|Mystery|Thriller,1,
0,Bertrand Cantat,27,Documentary,4,
0,Sylvia Eckhausen,0,Drama|Fantasy,49,Not Rated
782,Martin Starr,3000,Comedy|Drama|Romance,51,R
131,John Billingsley,505,Drama|Romance|Sci-Fi,638,Not Rated
0,Evelyn Jefferson,2,Crime|Documentary,10,PG-13
32,Jordan Bridges,563,Drama|Family,32,
31,Chase Masterson,236,Drama|Music|Mystery|Romance|Sci-Fi,10,PG
27,Robert Turano,178,Comedy|Drama|Music,1,
75,Robin Bartlett,110,Drama|Sci-Fi|Thriller,1,
178,Alex Emanuel,433,Drama,3,
27,Amir Farrokh Hashemian,36,Drama|Family,130,PG
67,Chris New,507,Drama|Romance,68,Not Rated
46,Joie Lee,539,Comedy|Romance,26,R
0,Stacie Evans,0,Documentary,1,
0,Ana Maria Guran,0,Drama,1,
259,William Mapother,574,Drama|Romance|Sci-Fi,228,PG-13
826,Ellen Burstyn,2000,Thriller,28,R
101,Mario Van Peebles,982,Crime|Drama|Thriller,50,R
26,Joe Lev,270,Drama,,
184,Aaron Stanford,376,Comedy|Drama|Romance,101,PG-13
