movie_title,language
The Good Thief ,English
Supercross ,English
Miss Potter ,English
The Promise ,Mandarin
DOA: Dead or Alive ,English
The Assassination of Jesse James by the Coward Robert Ford ,English
1911 ,Mandarin
Little Nicholas ,French
Wild Card ,English
Machine Gun Preacher ,English
Animals United ,German
The Color of Freedom ,English
United Passions ,English
Grace of Monaco ,English
A Warrior's Tail ,Russian
Ripley's Game ,English
Sausage Party ,English
Pitch Perfect 2 ,English
Walk the Line ,English
12 Monkeys             ,English
Keeping the Faith ,English
The Borrowers ,English
Frost/Nixon ,English
Confessions of a Dangerous Mind ,English
Serving Sara ,English
The Boss ,English
Cry Freedom ,English
Mumford ,English
Seed of Chucky ,English
The Jacket ,English
Aladdin ,English
Straight Outta Compton ,English
Indiana Jones and the Temple of Doom ,English
The Rugrats Movie ,English
Along Came a Spider ,English
Florence Foster Jenkins ,English
Once Upon a Time in Mexico ,English
Die Hard ,English
Role Models ,English
The Big Short ,English
Taking Woodstock ,English
Miracle ,English
Dawn of the Dead ,English
The Wedding Planner ,English
Harlock: Space Pirate ,Japanese
The Royal Tenenbaums ,English
Identity ,English
Last Vegas ,English
For Your Eyes Only ,English
Serendipity ,English
Timecop ,English
Zoolander ,English
Safe Haven ,English
Hocus Pocus ,English
No Reservations ,English
Kick-Ass ,English
30 Minutes or Less ,English
Dracula 2000 ,English
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",English
Pride & Prejudice ,English
Blade Runner ,English
Rob Roy ,English
3 Days to Kill ,English
We Own the Night ,English
Lost Souls ,English
Winged Migration ,English
Just My Luck ,English
"Mystery, Alaska ",English
The Spy Next Door ,English
A Simple Wish ,English
Ghosts of Mars ,English
Our Brand Is Crisis ,English
Pride and Prejudice and Zombies ,English
Kundun ,English
How to Lose Friends & Alienate People ,English
Kick-Ass 2 ,English
Captain Alatriste: The Spanish Musketeer ,Spanish
Brick Mansions ,English
Octopussy ,English
Knocked Up ,English
My Sister's Keeper ,English
"Welcome Home, Roscoe Jenkins ",English
A Passage to India ,English
Notes on a Scandal ,English
Rendition ,English
Limitless             ,English
Star Trek VI: The Undiscovered Country ,English
Divine Secrets of the Ya-Ya Sisterhood ,English
The Jungle Book ,English
Kiss the Girls ,English
The Blues Brothers ,English
The Sisterhood of the Traveling Pants 2 ,English
Joyful Noise ,English
About a Boy ,English
Lake Placid ,English
Lucky Number Slevin ,English
The Right Stuff ,English
Anonymous ,English
The NeverEnding Story ,English
Dark City ,English
The Duchess ,English
The Honeymooners             ,English
Return to Oz ,English
The Newton Boys ,English
Case 39 ,English
Suspect Zero ,English
Martian Child ,English
Spy Kids: All the Time in the World in 4D ,English
Money Monster ,English
Formula 51 ,English
Flawless ,English
Mindhunters ,English
What Just Happened ,English
The Statement ,English
The Magic Flute ,English
Paul Blart: Mall Cop ,English
Freaky Friday ,English
The 40-Year-Old Virgin ,English
Shakespeare in Love ,English
A Walk Among the Tombstones ,English
Kindergarten Cop ,English
Pineapple Express ,English
Ever After: A Cinderella Story ,English
Open Range ,English
Flatliners ,English
It's Always Sunny in Philadelphia             ,English
A Bridge Too Far ,English
Red Eye ,English
Final Destination 2 ,English
"O Brother, Where Art Thou? ",English
Legion ,English
Pain & Gain ,English
In Good Company ,English
Clockstoppers ,English
Silverado ,English
Brothers ,English
Agent Cody Banks 2: Destination London ,English
New Year's Eve ,English
Original Sin ,English
The Raven ,English
Welcome to Mooseport ,English
Highlander: The Final Dimension ,English
Blood and Wine ,English
Snow White: A Tale of Terror ,English
The Curse of the Jade Scorpion ,English
Accidental Love ,English
Flipper ,English
Self/less ,English
The Constant Gardener ,English
The Passion of the Christ ,Aramaic
Mrs. Doubtfire ,English
Rain Man ,English
Gran Torino ,English
W. ,English
Taken ,English
The Best of Me ,English
The Bodyguard ,English
Schindler's List ,English
The Help ,English
The Fifth Estate ,English
Scooby-Doo 2: Monsters Unleashed ,English
Viy ,Russian
Freddy vs. Jason ,English
The Face of an Angel ,English
Jimmy Neutron: Boy Genius ,English
Cloverfield ,English
Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,English
The Untouchables ,English
