director_name,actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,title_year,aspect_ratio,movie_facebook_likes
James Wan,725,856,Action|Crime|Thriller,Aisha Tyler,Death Sentence ,60156,Edi Gathegi,0,blood|death|gang|murder|revenge,299,English,USA,R,2007,2.35,0
Kirk Jones,148,22000,Adventure|Drama,Robert De Niro,Everybody's Fine ,49855,Brendan Sexton III,1,bus trip|parental love|retirement|surprise visit|train ride,117,English,USA,PG-13,2009,2.35,10000
Bob Clark,177,650,Comedy|Family|Sci-Fi,Scott Baio,Superbabies: Baby Geniuses 2 ,25371,Peter Wingfield,3,computer|good versus evil|mind control|science experiment|sequel,129,English,Germany,PG,2004,2.35,0
Les Mayfield,69,688,Action|Comedy|Crime,Miguel Ferrer,The Man ,21933,Gigi Rice,2,buddy comedy|criminal|gun smuggling|mistaken identity|salesman,76,English,Germany,PG-13,2005,1.85,676
Les Mayfield,436,716,Action|Comedy|Crime,Callum Rennie,Code Name: The Cleaner ,9785,Cedric the Entertainer,3,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,26,English,USA,PG-13,2007,1.85,233
Michael Lembeck,463,786,Comedy|Crime|Music,Debbie Reynolds,Connie and Carla ,6838,Dash Mihok,3,box office flop|drag queen|gender disguise|mafia|witness,117,English,USA,PG-13,2004,1.85,924
Bob Fosse,388,683,Comedy|Drama|Music|Musical|Romance,Sammy Davis Jr.,Sweet Charity ,3454,Ben Vereen,0,charity|dancer|foreign language adaptation|hope|taxi dancer,64,English,USA,G,1969,2.35,548
Paul Thomas Anderson,175,204,Comedy|Crime|Drama|Mystery|Romance,Martin Dew,Inherent Vice ,61935,Serena Scott Thomas,0,1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration,242,English,USA,R,2014,1.85,18000
Dave Borthwick,593,787,Adventure|Animation|Comedy|Family|Fantasy,Jimmy Fallon,Doogal ,3851,Jon Stewart,0,diamond|lava|magic|mountain|sorcerer,114,English,USA,G,2006,1.85,346
Benson Lee,826,997,Drama|Music,Chris Brown,Battle of the Year ,7894,Laz Alonso,19,3 dimensional|box office flop|critically bashed|dancing,25,English,USA,PG-13,2013,1.85,0
,376,1000,Crime|Drama|Mystery|Thriller,LeVar Burton,Perception             ,15612,Scott Wolf,1,,29,English,USA,TV-14,,16.0,0
David Zucker,633,885,Comedy|Fantasy,Chriss Anglin,An American Carol ,8560,Gary Coleman,2,arab stereotype|box office flop|documentary filmmaker|filmmaker|terrorist,205,English,USA,PG-13,2008,2.35,797
Robert Rodriguez,99,2000,Action|Comedy|Crime|Thriller,Alexa PenaVega,Machete Kills ,59248,Marko Zaror,7,arms dealer|battle|bomb|machete|missile,164,English,Russia,R,2013,1.85,48000
Glen Morgan,86,669,Drama|Horror|Sci-Fi|Thriller,Laura Harring,Willard ,15169,Jackie Burroughs,0,at work|rat|revenge|vermin|work,213,English,Canada,PG-13,2003,2.35,0
Fred Wolf,522,1000,Adventure|Comedy,Kevin Alejandro,Strange Wilderness ,18571,Jeff Garlin,4,bigfoot|critically bashed|ecuador|friend|tv show,120,English,USA,R,2008,2.35,847
Mike Leigh,149,1000,Biography|Comedy|Drama|History|Music|Musical,Jim Broadbent,Topsy-Turvy ,10037,Lesley Manville,1,19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese,202,English,UK,R,1999,1.66,608
Alejandro Monteverde,975,1000,Drama|War,Tom Wilkinson,Little Boy ,15978,Michael Rapaport,0,,122,English,Mexico,PG-13,2015,2.35,15000
David Cronenberg,691,13000,Biography|Drama|Thriller,Michael Fassbender,A Dangerous Method ,80617,Sarah Gadon,3,carl jung|patient|psychoanalysis|russian|sigmund freud,190,English,UK,R,2011,1.85,36000
Richard Linklater,407,21000,Animation|Drama|Mystery|Sci-Fi|Thriller,Robert Downey Jr.,A Scanner Darkly ,89383,Rory Cochrane,0,detective|drugs|substance d|undercover|undercover cop,293,English,USA,R,2006,1.85,0
Michael Apted,956,18000,Biography|Drama|Sport,Gerard Butler,Chasing Mavericks ,24997,Leven Rambin,2,box office flop|no opening credits|surfing|two word title|year 1987,75,English,USA,PG,2012,1.85,13000
Uwe Boll,81,310,Horror|Sci-Fi,Catherine Lough Haggquist,Alone in the Dark ,37626,Karin Konoval,0,artifact|creature|darkness|demon|museum,521,English,Canada,R,2005,2.35,1000
Todd Graff,181,690,Comedy|Drama|Family|Music|Romance,Scott Porter,Bandslam ,11958,Ryan Donowho,3,battle of the bands|high school|rock 'n' roll|school|teenager,39,English,USA,PG,2009,2.35,1000
Jonathan Glazer,430,829,Drama|Mystery|Romance|Thriller,Cameron Bright,Birth ,29649,Danny Huston,1,birthday|boy|dead husband|death|widow,361,English,USA,R,2004,1.85,0
J.C. Chandor,745,1000,Action|Crime|Drama|Thriller,David Oyelowo,A Most Violent Year ,45799,Albert Brooks,0,american dream|immigrant|new york city|oil|violence,180,English,USA,R,2014,2.35,0
Paul Gross,544,1000,Drama|History|Romance|War,Landon Liboiron,Passchendaele ,6904,Caroline Dhavernas,0,battle|canadian armed forces|canadian soldier|directed by star|veteran,102,English,Canada,R,2008,2.35,971
Marc Abraham,9,20,Biography|Drama,Dylan Authors,Flash of Genius ,14301,Victoria Learn,0,flash of genius|genius|intellectual property|professor|university,45,English,USA,PG-13,2008,2.35,0
Todd Haynes,228,23000,Biography|Drama|Music,Christian Bale,I'm Not There. ,48346,Tyrone Benskin,0,1960s|actor|horseback riding|reporter|riding the rails,230,English,USA,R,2007,2.35,0
Mabrouk El Mechri,619,15000,Action|Thriller,Henry Cavill,The Cold Light of Day ,28629,Óscar Jaenada,3,driving a car down stairs|duct tape gag|held captive|murder of a police officer|sailing,113,English,USA,PG-13,2012,2.35,0
Rian Johnson,446,975,Adventure|Comedy|Drama|Romance,Zachary Gordon,The Brothers Bloom ,41737,Nora Zehetner,4,con man|eccentric|heiress|love|revenge,105,English,USA,PG-13,2008,2.35,0
Charlie Kaufman,631,22000,Comedy|Drama|Romance,Philip Seymour Hoffman,Synecdoche, New York ,55842,Samantha Morton,0,actress|director|play|theatre director|warehouse,274,English,USA,R,2008,2.35,13000
Hayao Miyazaki,745,893,Adventure|Animation|Fantasy,Minnie Driver,Princess Mononoke ,221552,Billy Crudup,0,anime|cult film|forest|princess|studio ghibli,570,Japanese,Japan,PG-13,1997,1.85,11000
Jean-Paul Rappeneau,413,572,Comedy|Drama|Mystery|Romance|Thriller|War,Isabelle Adjani,Bon voyage ,4293,Virginie Ledoyen,5,actress|bordeaux|german|heavy water|nazi,53,French,France,PG-13,2003,2.35,235
Nancy Walker,161,801,Biography|Comedy|Musical,Steve Guttenberg,Can't Stop the Music ,2998,Caitlyn Jenner,0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,74,English,USA,PG,1980,2.35,1000
John Hillcoat,430,1000,Crime|Drama|Western,Ray Winstone,The Proposition ,43205,Danny Huston,1,aborigine|foreboding|gang|hideout|outlaw,232,English,Australia,R,2005,2.35,0
Angelo Pizzo,400,2000,Biography|Drama|Sport,Donny Boaz,Courage ,2302,Brent Anderson,4,coach|football|football movie|football team|high school sweethearts,20,English,USA,PG,2015,2.35,0
Richard Benjamin,587,836,Comedy|Music,Damon Wayans,Marci X ,4518,Paula Garcés,2,female protagonist|hip hop|jewish american princess|rapper|record label,66,English,USA,R,2003,1.85,241
Kurt Wimmer,722,23000,Action|Drama|Sci-Fi|Thriller,Christian Bale,Equilibrium ,261317,Sean Pertwee,2,cleric|dystopia|fascist|law|neo noir,1137,English,USA,R,2002,2.35,20000
Roger Spottiswoode,2,991,Drama|War,Radha Mitchell,The Children of Huang Shi ,8087,Matthew Walker,4,british|communist|journalist|nurse|orphan,33,English,Australia,R,2008,2.35,1000
James Gray,977,9000,Crime|Drama|Romance|Thriller,Charlize Theron,The Yards ,16215,Faye Dunaway,2,best friend|corruption|fall to death|female nudity|friend,138,English,USA,R,2000,2.35,401
Matthew Diamond,231,979,Adventure|Family|Fantasy|Musical,Chazz Palminteri,The Oogieloves in the Big Balloon Adventure ,14015,Toni Braxton,0,balloon|birthday|box office flop|critically bashed,83,English,USA,G,2012,,831
Angelina Jolie Pitt,188,11000,Drama|Romance,Brad Pitt,By the Sea ,7976,Melvil Poupaud,0,cheating wife|cigarette smoking|male in shower|male nudity|male rear nudity,61,English,USA,R,2015,2.35,0
Katsuhiro Ôtomo,101,488,Action|Adventure|Animation|Family|Sci-Fi|Thriller,William Hootkins,Steamboy ,13727,Rosalind Ayres,1,19th century|ball|boy|inventor|steam,79,Japanese,Japan,PG-13,2004,1.85,973
David Anspaugh,407,18000,Drama|History|Sport,Gerard Butler,The Game of Their Lives ,2613,Jimmy Jean-Louis,0,1950s|brazil|soccer|soccer movie|world cup,46,English,USA,PG,2005,2.35,445
Andrew Jarecki,902,33000,Crime|Drama|Mystery|Romance|Thriller,Ryan Gosling,All Good Things ,41249,Frank Langella,2,family business|friend|murder|new york city|trial,67,English,USA,R,2010,1.85,0
Kevin Reynolds,324,699,Action|Adventure|Drama|History|Romance,Esai Morales,Rapa Nui ,3843,Sandrine Holt,1,easter island|location in title|statue|topless female nudity|two word title,25,English,USA,R,1994,2.35,399
Stephen Chow,3,46,Comedy|Family|Sci-Fi,Jiao Xu,CJ7 ,11391,Chi Chung Lam,1,father son relationship|miracle|school|ufo|written and directed by cast member,66,Cantonese,Hong Kong,PG,2008,2.35,1000
Jean-Marie Poiré,11,106,Comedy|Family|Fantasy|Sci-Fi,Christian Clavier,Les couloirs du temps: Les visiteurs II ,7147,Marie-Anne Chazel,0,jewel|knight|magical potion|sequel|time travel comedy,16,French,France,,1998,2.35,136
Kevin Munroe,311,403,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Marco St. John,Dylan Dog: Dead of Night ,13026,Anita Briem,1,close up of eyes|monster|quirkiness|supernatural|vomiting,75,English,USA,PG-13,2010,2.35,0
Daniel Algrant,442,14000,Crime|Drama|Mystery,Al Pacino,People I Know ,9868,Mark Webber,3,actor|client|new york|protection|scandal,81,English,USA,R,2002,1.85,217
,9,310,Drama|Family,Peter Vaughan,The Doombolt Chase             ,18,Ewen Solon,4,,,English,UK,,,,0
Julie Taymor,181,3000,Comedy|Drama|Fantasy|Romance,Djimon Hounsou,The Tempest ,6147,Tom Conti,2,banishment|sorcery|spirit|staff|storm at sea,36,English,USA,PG-13,2010,2.35,0
Alejandro Amenábar,648,9000,Crime|Drama|Mystery|Thriller,Emma Watson,Regression ,20821,Julian Richings,1,inspired by true events|memory|minnesota|police|year 1990,62,English,Spain,R,2015,2.35,0
Jane Clark,51,344,Romance|Short,Necar Zadegan,The Touch ,118,Elea Oberon,0,lesbian|paris france|period piece|poem|poetess,,English,USA,,2007,1.85,30
Daniel Lee,60,483,Action|Drama|History|War,Andy Lau,Three Kingdoms: Resurrection of the Dragon ,5154,Andy On,3,art of war|china|civil war|female warrior|musician,29,Mandarin,China,R,2008,2.35,314
Mike Barker,716,18000,Crime|Drama|Thriller,Gerard Butler,Shattered ,25450,Callum Rennie,1,daughter|gun|nanny|sociopath|suburb,118,English,UK,R,2007,2.35,0
Wayne Thornley,700,12000,Adventure|Animation|Comedy|Family,Leonard Nimoy,Zambezia ,5203,Noureen DeWulf,0,bird|city name in title|falcon|one word title|place name in title,11,English,South Africa,G,2012,1.78,1000
Gnana Rajasekaran,7,109,Biography|Drama|History,Mani Bharathi,Ramanujan ,102,Kevin McGowan,0,ramanujan,1,English,India,,2014,2.35,58
Tom Walsh,53,729,Animation,Joey D. Vieira,Dwegons and Leprechauns ,50,Jacqueline Lovell,4,dwegons,3,English,USA,PG,2014,,70
Jonathan Jakubowicz,897,22000,Action|Biography|Drama|Sport,Robert De Niro,Hands of Stone ,178,Edgar Ramírez,0,boxer|boxing|three word title,1,English,Panama,R,2016,,0
James McTeigue,889,14000,Action|Crime|Thriller,Milla Jovovich,Survivor ,21833,Robert Forster,2,cigarette lighter|death|fire|on the run|terrorist,101,English,USA,PG-13,2015,2.35,0
Scott Walker,897,12000,Crime|Drama|Mystery|Thriller,Nicolas Cage,The Frozen Ground ,43879,Jodi Lyn O'Keefe,3,anchorage alaska|based on true story|pole dancer|serial killer|strip club,133,English,USA,R,2013,2.35,11000
John Curran,7,2000,Drama|Romance,Toby Jones,The Painted Veil ,77656,Alan David,0,china|cholera|epidemic|love|marriage,220,Mandarin,China,PG-13,2006,2.35,0
Uli Edel,155,486,Action|Biography|Crime|Drama,Moritz Bleibtreu,The Baader Meinhof Complex ,29602,Martina Gedeck,2,bonn germany|failed kidnapping|handcuffs|projectile|terrorist,110,German,Germany,R,2008,1.85,0
Kevin Costner,232,933,Adventure|Drama|Western,Mary McDonnell,Dances with Wolves ,186485,Maury Chaykin,1,friendship|frontier|honor|outpost|soldier,382,English,USA,PG-13,1990,2.35,0
Jake Kasdan,384,3000,Comedy,Justin Timberlake,Bad Teacher ,160418,Phyllis Smith,0,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,296,English,USA,R,2011,1.85,16000
Harold Becker,551,14000,Crime|Drama|Mystery|Thriller,Al Pacino,Sea of Love ,30213,Ellen Barkin,1,detective|love|single|suspect|title from song,112,English,USA,R,1989,1.85,0
Mark Rosman,528,1000,Comedy|Family|Romance,Dan Byrd,A Cinderella Story ,62861,Julie Gonzalo,2,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,232,English,USA,PG,2004,1.85,0
Wes Craven,157,611,Horror|Mystery,David Arquette,Scream ,222018,Roger Jackson,0,mask|mystery killer|slasher|teenage girl|telephone,869,English,USA,R,1996,2.35,11000
Steve Beck,670,1000,Horror,Shannon Elizabeth,Thir13en Ghosts ,65512,F. Murray Abraham,0,collector|ghost|ghost hunter|glass house|machine,478,English,USA,R,2001,1.33,0
Stanley Kubrick,413,888,Drama|Horror,Scatman Crothers,The Shining ,610333,Joe Turkel,0,breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters,1320,English,USA,R,1980,1.37,37000
Robert Zemeckis,459,1000,Adventure|Comedy|Sci-Fi,Lea Thompson,Back to the Future ,732212,J.J. Cohen,0,clock tower|delorean|future|time travel|time travel comedy,809,English,USA,PG,1985,1.18,39000
William Malone,545,885,Horror|Mystery|Thriller,Jeffrey Combs,House on Haunted Hill ,45317,Bridgette Wilson-Sampras,0,billionaire|corpse|eccentric|haunted hospital|haunted house,536,English,USA,R,1999,1.37,0
Tyler Perry,256,607,Comedy|Drama,Eric Mendenhall,I Can Do Bad All by Myself ,8346,Hope Olaide Wilson,6,aunt|immigrant|looting|love|nightclub singer,59,English,USA,PG-13,2009,1.85,1000
Rob Hawk,319,731,Action|Drama,Kari J. Kramer,Fight Valley ,60,Cabrina Collesides,4,,6,English,USA,,2016,,1000
Josh Gordon,110,544,Comedy|Drama|Romance,Caroline Dhavernas,The Switch ,77987,Kelli Barrett,2,artificial insemination|best friend|new york city|sperm|sperm donor,120,English,USA,PG-13,2010,2.35,0
Shawn Levy,306,500,Comedy|Romance,Taran Killam,Just Married ,57479,David Moscow,2,fall|honeymoon|love|marriage|newlywed,205,English,USA,PG-13,2003,1.85,0
Lee Tamahori,521,31000,Biography|Drama|Thriller,Mem Ferda,The Devil's Double ,53977,Ludivine Sagnier,1,betrayal|debauchery|lust|palace|saddam hussein,125,English,Belgium,R,2011,2.35,14000
,211,341,Comedy|Drama|Reality-TV|Romance,Nicole 'Snooki' Polizzi,Gone, Baby, Gone             ,29,Paul 'Pauly D' DelVecchio,1,lifestyle,,English,,TV-14,,1.33,0
Britt Allcroft,402,1000,Adventure|Comedy|Drama|Family|Fantasy,Mara Wilson,Thomas and the Magic Railroad ,2855,Peter Fonda,1,locomotive|magic|mountain|railroad|steam locomotive,119,English,UK,G,2000,1.85,663
Breck Eisner,219,991,Horror|Thriller,Radha Mitchell,The Crazies ,93272,John Aylward,0,deputy|iowa|rural setting|sheriff|survival,251,English,USA,R,2010,2.35,0
Hayao Miyazaki,7,17,Adventure|Animation|Family|Fantasy,Bunta Sugawara,Spirited Away ,417971,Miyu Irino,0,anime|bathhouse|pig|spirit|work,902,Japanese,Japan,PG,2001,1.85,28000
Alan Yuen,30,483,Action|Crime|Thriller,Andy Lau,Firestorm ,1904,Terence Yin,1,die hard scenario|gunfight|hong kong police|police escort attacked|shootout,12,Mandarin,China,,2013,2.35,332
Roger Donaldson,1000,14000,Action|Adventure|Drama|History|Romance,Liam Neeson,The Bounty ,17982,Laurence Olivier,2,lieutenant|lifeboat|mutiny|sailing ship|ship,95,English,UK,PG,1984,2.35,1000
Brian Percival,326,876,Drama|War,Emily Watson,The Book Thief ,98741,Roger Allam,1,basement|book|girl|library|track,236,English,USA,PG-13,2013,2.35,53000
Sean Anders,630,948,Adventure|Comedy|Romance,Katrina Bowden,Sex Drive ,72715,Alice Greczyn,1,amish|friend|friendship|high school|virgin,103,English,USA,R,2008,1.85,0
Anand Tucker,356,3000,Comedy|Romance,Adam Scott,Leap Year ,71276,Dominique McElligott,2,ireland|irish|journey|tradition|travel,181,English,USA,PG,2010,2.35,13000
Anthony Mann,102,617,Drama|History|War,James Mason,The Fall of the Roman Empire ,6156,Stephen Boyd,0,2nd century|emperor|european history|loosely based on historical events|roman empire,91,English,USA,Approved,1964,2.2,560
Michael Dowse,562,2000,Comedy|Drama|Romance,Topher Grace,Take Me Home Tonight ,43867,Dan Fogler,4,friend|night|party|sex scene|sister,83,English,USA,R,2011,2.35,0
Daniel Barnz,505,1000,Drama,Holly Hunter,Won't Back Down ,5147,Dante Brown,2,children|inner city|parent|school|teacher,37,English,USA,PG,2012,2.35,0
Emile Ardolino,0,2,Family|Fantasy|Music,Darci Kistler,The Nutcracker ,1153,Margaret Tracey,0,christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl,15,English,USA,G,1993,1.85,238
Robert Altman,530,12000,Crime|Drama|Music|Thriller,Steve Buscemi,Kansas City ,3536,Miranda Richardson,2,1930s|election|female frontal nudity|kansas city|politician,44,English,France,R,1996,1.85,228
James Schamus,85,8000,Drama,Logan Lerman,Indignation ,550,Tracy Letts,0,based on novel,3,Hebrew,USA,R,2016,2.0,599
Andrew Douglas,16000,87000,Drama|Horror|Mystery|Thriller,Jimmy Bennett,The Amityville Horror ,80903,Ryan Reynolds,0,ghost|haunted house|murder|nightmare|priest,518,English,USA,R,2005,2.35,0
Spike Jonze,836,12000,Comedy|Drama,Nicolas Cage,Adaptation. ,143251,Roger Willie,0,book|orchid|screenwriter|thief|twin,710,English,USA,R,2002,1.85,0
George A. Romero,233,654,Horror,Tony Nappo,Land of the Dead ,78883,Pedro Miguel Arce,8,apocalypse|mercenary|skyscraper|urban setting|zombie apocalypse,662,English,Canada,R,2005,2.35,0
Danny Pang,27,82,Action,Louis Koo,Out of Inferno ,625,Ching Wan Lau,2,,4,Chinese,China,PG-13,2013,1.85,124
Terry Gilliam,551,40000,Adventure|Comedy|Drama,Johnny Depp,Fear and Loathing in Las Vegas ,213226,Ellen Barkin,0,american dream|convertible|drugs|journalist|lawyer,648,English,USA,R,1998,2.35,15000
Ricky Gervais,985,3000,Comedy|Fantasy|Romance,Jennifer Garner,The Invention of Lying ,94292,Martin Starr,3,genetics|heaven|lie|screenwriter|truth,287,English,USA,PG-13,2009,1.85,13000
Nicholas Stoller,329,920,Comedy,Craig Roberts,Neighbors ,216581,Ike Barinholtz,3,broken leg|friendship|jewish|topless female nudity|urination,397,English,USA,R,2014,2.35,21000
Chuck Russell,360,789,Action|Comedy|Crime|Fantasy,Peter Greene,The Mask ,265818,Reg E. Cathey,0,bank|bank clerk|gangster|loki|mask,213,English,USA,PG-13,1994,1.85,0
Penny Marshall,697,15000,Comedy|Drama|Family|Fantasy|Romance,Tom Hanks,Big ,153468,John Heard,1,friend|job|new york city|toy|wish,204,English,USA,PG,1988,1.85,0
Larry Charles,6,332,Comedy,Luenell,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,297014,Chester,1,california|city|kazakhstan|travel|tv reporter,1198,English,USA,R,2006,1.85,0
Robert Luketic,584,2000,Comedy|Romance,Linda Cardellini,Legally Blonde ,131801,Alanna Ubach,1,blonde|harvard|law|law school|sorority,548,English,USA,PG-13,2001,2.35,0
Leonard Nimoy,643,12000,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek III: The Search for Spock ,58743,Walter Koenig,1,dying planet|planet|regaining one's memory|sacrifice|stabbed to death,192,English,USA,PG,1984,2.35,0
Scott Derrickson,457,1000,Drama|Horror|Thriller,Tom Wilkinson,The Exorcism of Emily Rose ,96569,JR Bourne,0,death|demonic possession|exorcism|lawyer|priest,522,English,USA,PG-13,2005,2.35,0
Mike Mitchell,489,1000,Comedy|Romance,Amy Poehler,Deuce Bigalow: Male Gigolo ,59380,Bree Turner,1,aquarium|fish|fish tank|gigolo|norwegian,202,English,USA,R,1999,1.85,0
Vic Armstrong,734,12000,Action|Drama|Fantasy|Mystery|Thriller,Nicolas Cage,Left Behind ,24854,Quinton Aaron,1,bible quote|chaos|faith|riot|shrine,374,English,USA,PG-13,2014,2.35,31000
Thomas Bezucha,172,723,Comedy|Drama|Romance,Craig T. Nelson,The Family Stone ,49077,Tyrone Giordano,0,christmas|cruelty|ring|secret|tension,475,English,USA,PG-13,2005,1.85,0
Kevin Rodney Sullivan,521,748,Comedy|Drama,Harry Lennix,Barbershop 2: Back in Business ,10104,Kenan Thompson,4,barbecue|barbershop|blaxploitation|marriage|politics,69,English,USA,PG-13,2004,1.85,265
Terry Zwigoff,566,1000,Comedy|Crime|Drama,Bernie Mac,Bad Santa ,107815,Alex Borstein,2,bartender|christmas|christmas eve|department store|drink,485,English,USA,R,2003,1.85,10000
Jay Roach,481,8000,Comedy|Crime,Will Ferrell,Austin Powers: International Man of Mystery ,183425,Robert Wagner,2,cartoon on tv|reference to frankenstein|reference to jimi hendrix|scene during end credits|surrealism,425,English,USA,PG-13,1997,2.35,0
Kirk Jones,261,567,Comedy|Family|Romance,Nia Vardalos,My Big Fat Greek Wedding 2 ,13562,Joey Fatone,10,family restaurant|greek|remarriage|suburb|wedding,103,English,USA,PG-13,2016,2.35,19000
David Bowers,557,975,Comedy|Family,Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules ,18727,Fran Kranz,2,brother|middle school|no opening credits|photograph|school,45,English,USA,PG,2011,2.35,0
John McTiernan,794,1000,Action|Horror|Sci-Fi,Shane Black,Predator ,290949,Carl Weathers,1,box office hit|commando|death of friend|jungle|severed arm,629,English,USA,R,1987,1.85,13000
Milos Forman,521,692,Biography|Drama|History|Music,Jeffrey Jones,Amadeus ,270790,Tom Hulce,0,1800s|classical composer|composer|first person narration|opera,549,English,USA,R,1984,2.35,16000
Nelson McCormick,458,2000,Horror|Mystery,Ming-Na Wen,Prom Night ,27664,Collins Pennie,0,friend|hotel|killer|murder|prom,260,English,USA,PG-13,2008,2.35,1000
Mark Waters,625,2000,Comedy,Tina Fey,Mean Girls ,245989,Neil Flynn,4,bully|clique|high school|high school girl|secret,554,English,USA,PG-13,2004,1.85,0
Audrey Wells,148,727,Comedy|Drama|Romance,Raoul Bova,Under the Tuscan Sun ,35718,Mario Monicelli,1,author|book|vacation|villa|writer,317,English,USA,PG-13,2003,1.85,0
Robert Altman,555,1000,Drama|Mystery,Kristin Scott Thomas,Gosford Park ,65201,Tom Hollander,0,country house|murder|producer|servant|shooting party,651,English,UK,R,2001,2.35,0
,650,828,Comedy|Drama|Romance,Peter Gallagher,The O.C.             ,65785,Tate Donovan,8,california|lawyer|love|orange county california|wealth,281,English,USA,TV-PG,,1.78,0
Francis Ford Coppola,805,12000,Comedy|Drama|Fantasy|Romance,Nicolas Cage,Peggy Sue Got Married ,27149,Joan Allen,0,alternate history|alternate timeline|divorce|high school|reunion,96,English,USA,PG-13,1986,1.85,0
Alejandro G. Iñárritu,529,15000,Comedy|Drama|Romance,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance) ,395087,Merritt Wever,8,actor|artist|broadway play|replacement|stage,1101,English,USA,R,2014,1.85,114000
Woody Allen,218,594,Drama,Sally Hawkins,Blue Jasmine ,150082,Andrew Dice Clay,1,congenital liar|mental breakdown|self deception|snob|talking to oneself,384,English,USA,PG-13,2013,2.35,36000
Paul Greengrass,64,97,Drama|History|Thriller,Christian Clemenson,United 93 ,83374,Susan Blommaert,0,flight|passenger|plane|september 11 2001|terrorist,828,English,USA,R,2006,2.35,0
Bille Woodruff,582,2000,Drama|Music|Romance,Christian Monzon,Honey ,36666,Romeo Miller,2,choreographer|dance|dancer|dancing|hip hop,144,English,USA,PG-13,2003,1.85,0
Edward Zwick,2000,18000,Drama|History|War,Denzel Washington,Glory ,101889,Matthew Broderick,3,army|black soldier|military uniform|prejudice|u.s. civil war,365,English,USA,R,1989,1.85,0
Rick Friedberg,341,844,Action|Comedy,Hulk Hogan,Spy Hard ,29621,Nicollette Sheridan,2,1990s|dentist|hit with a door|martial arts|museum,76,English,USA,PG-13,1996,1.85,588
John Carpenter,606,2000,Fantasy|Horror,Jamie Lee Curtis,The Fog ,46492,Janet Leigh,0,california|fog|leper|lighthouse|ship,335,English,USA,R,1980,2.35,7000
