director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year,aspect_ratio,movie_facebook_likes
Niels Arden Oplev,217,76,174,Isabelle Huppert,Dominic Cooper,Dead Man Down ,54147,4253,2,http://www.imdb.com/title/tt2101341/?ref_=fn_tt_tt_1,127,English,USA,30000000,2013,2.35,0
Michael Radford,117,53,548,Mackenzie Crook,Al Pacino,The Merchant of Venice ,29715,16252,3,http://www.imdb.com/title/tt0379889/?ref_=fn_tt_tt_1,161,English,USA,18000000,2004,2.35,0
Neil Jordan,105,277,345,Saïd Taghmaoui,Emir Kusturica,The Good Thief ,9004,2759,0,http://www.imdb.com/title/tt0281820/?ref_=fn_tt_tt_1,103,English,France,25000000,2002,1.85,287
Steve Boyum,41,9,826,Mike Vogel,Channing Tatum,Supercross ,3926,21519,1,http://www.imdb.com/title/tt0403016/?ref_=fn_tt_tt_1,38,English,USA,,2005,1.85,353
Chris Noonan,124,108,135,Bill Paterson,Emily Watson,Miss Potter ,23864,1518,1,http://www.imdb.com/title/tt0482546/?ref_=fn_tt_tt_1,142,English,UK,30000000,2006,2.35,0
Kaige Chen,90,45,107,Toby Leonard Moore,Dong-gun Jang,The Promise ,8215,949,0,http://www.imdb.com/title/tt0417976/?ref_=fn_tt_tt_1,132,Mandarin,China,60000000,2005,2.35,445
Corey Yuen,110,23,748,Holly Valance,Steve Howey,DOA: Dead or Alive ,38503,4473,4,http://www.imdb.com/title/tt0398913/?ref_=fn_tt_tt_1,180,English,USA,21000000,2006,2.35,0
Andrew Dominik,273,181,820,Jeremy Renner,Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford ,136104,22516,0,http://www.imdb.com/title/tt0443680/?ref_=fn_tt_tt_1,415,English,USA,30000000,2007,2.35,0
Li Zhang,63,0,187,Joan Chen,Bingbing Li,1911 ,4670,1887,0,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1,27,Mandarin,China,18000000,2011,2.35,0
Laurent Tirard,56,2,55,Sandrine Kiberlain,Louise Bourgoin,Little Nicholas ,9214,545,7,http://www.imdb.com/title/tt1264904/?ref_=fn_tt_tt_1,17,French,France,,2009,1.85,0
Simon West,130,165,700,Michael Angarano,Jason Statham,Wild Card ,36487,29773,0,http://www.imdb.com/title/tt2231253/?ref_=fn_tt_tt_1,114,English,USA,30000000,2015,2.35,0
Marc Forster,134,395,313,Madeline Carroll,Gerard Butler,Machine Gun Preacher ,52972,19620,1,http://www.imdb.com/title/tt1586752/?ref_=fn_tt_tt_1,124,English,USA,30000000,2011,2.35,21000
Reinhard Klooss,36,7,480,Vanessa Redgrave,Jim Broadbent,Animals United ,4599,3095,0,http://www.imdb.com/title/tt1620449/?ref_=fn_tt_tt_1,44,German,Germany,,2010,2.39,885
Bille August,46,55,11,Patrick Lyster,Terry Pheto,The Color of Freedom ,10175,143,1,http://www.imdb.com/title/tt0438859/?ref_=fn_tt_tt_1,23,English,Germany,30000000,2007,2.35,0
Frédéric Auburtin,7,18,432,Thomas Kretschmann,Fisher Stevens,United Passions ,3279,2725,4,http://www.imdb.com/title/tt2814362/?ref_=fn_tt_tt_1,22,English,France,24000000,2014,2.35,0
Olivier Dahan,132,61,520,Frank Langella,Paz Vega,Grace of Monaco ,12410,2806,3,http://www.imdb.com/title/tt2095649/?ref_=fn_tt_tt_1,62,English,Switzerland,30000000,2014,2.35,6000
Maksim Fadeev,5,0,21,Fedor Bondarchuk,Konstantin Khabenskiy,A Warrior's Tail ,393,229,1,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1,7,Russian,Russia,30000000,2015,,161
Liliana Cavani,56,59,24,Dougray Scott,Ray Winstone,Ripley's Game ,14618,1831,0,http://www.imdb.com/title/tt0265651/?ref_=fn_tt_tt_1,108,English,Italy,30000000,2002,1.85,447
Greg Tiernan,65,5,365,Salma Hayek,James Franco,Sausage Party ,3302,15795,0,http://www.imdb.com/title/tt1700841/?ref_=fn_tt_tt_1,14,English,USA,19000000,2016,1.85,13000
Elizabeth Banks,221,0,751,Birgitte Hjort Sørensen,Anna Kendrick,Pitch Perfect 2 ,97697,13159,8,http://www.imdb.com/title/tt2848292/?ref_=fn_tt_tt_1,185,English,USA,29000000,2015,1.85,40000
James Mangold,291,446,154,Dallas Roberts,Sandra Ellis Lafferty,Walk the Line ,188637,1383,0,http://www.imdb.com/title/tt0358273/?ref_=fn_tt_tt_1,815,English,USA,28000000,2005,2.39,11000
,13,,442,Kirk Acevedo,Amanda Schull,12 Monkeys             ,20839,3309,0,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1,56,English,USA,,,16.0,12000
Edward Norton,148,0,754,Milos Forman,Lisa Edelstein,Keeping the Faith ,44816,5404,3,http://www.imdb.com/title/tt0171433/?ref_=fn_tt_tt_1,259,English,USA,30000000,2000,1.85,0
Peter Hewitt,42,12,373,Bradley Pierce,Jim Broadbent,The Borrowers ,16222,2056,0,http://www.imdb.com/title/tt0118755/?ref_=fn_tt_tt_1,39,English,UK,29000000,1997,1.85,0
Ron Howard,302,2000,1000,Clint Howard,Toby Jones,Frost/Nixon ,88682,6161,1,http://www.imdb.com/title/tt0870111/?ref_=fn_tt_tt_1,241,English,USA,35000000,2008,2.35,0
George Clooney,181,0,89,David Julian Hirsh,Dick Clark,Confessions of a Dangerous Mind ,71596,810,0,http://www.imdb.com/title/tt0270288/?ref_=fn_tt_tt_1,276,English,USA,29000000,2002,2.35,3000
Reginald Hudlin,64,71,584,Jerry Stiller,Matthew Perry,Serving Sara ,14315,4169,2,http://www.imdb.com/title/tt0261289/?ref_=fn_tt_tt_1,101,English,Germany,29000000,2002,1.85,201
Ben Falcone,154,265,265,Tyler Labine,Peter Dinklage,The Boss ,16984,23562,1,http://www.imdb.com/title/tt2702724/?ref_=fn_tt_tt_1,96,English,USA,29000000,2016,1.85,0
Richard Attenborough,17,0,400,Kevin McNally,Denzel Washington,Cry Freedom ,9913,18855,0,http://www.imdb.com/title/tt0092804/?ref_=fn_tt_tt_1,51,English,UK,29000000,1987,2.35,0
Lawrence Kasdan,65,759,933,Alfre Woodard,Zooey Deschanel,Mumford ,8134,17873,4,http://www.imdb.com/title/tt0140397/?ref_=fn_tt_tt_1,123,English,USA,28000000,1999,2.35,209
Don Mancini,148,64,363,Billy Boyd,Jason Flemyng,Seed of Chucky ,28632,2567,0,http://www.imdb.com/title/tt0387575/?ref_=fn_tt_tt_1,214,English,Romania,12000000,2004,1.85,0
John Maybury,161,11,566,Jason Lewis,Jennifer Jason Leigh,The Jacket ,92850,5085,0,http://www.imdb.com/title/tt0366627/?ref_=fn_tt_tt_1,263,English,USA,29000000,2005,2.35,0
Ron Clements,124,63,631,Frank Welker,Robin Williams,Aladdin ,260939,52970,0,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,244,English,USA,28000000,1992,1.33,0
F. Gary Gray,349,473,303,Neil Brown Jr.,Aldis Hodge,Straight Outta Compton ,119928,2702,0,http://www.imdb.com/title/tt1398426/?ref_=fn_tt_tt_1,331,English,USA,28000000,2015,2.35,76000
Steven Spielberg,148,14000,237,Amrish Puri,Harrison Ford,Indiana Jones and the Temple of Doom ,329969,11898,2,http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1,524,English,USA,28000000,1984,2.35,0
Igor Kovalyov,45,5,368,Cree Summer,Elizabeth Daily,The Rugrats Movie ,14005,3438,0,http://www.imdb.com/title/tt0134067/?ref_=fn_tt_tt_1,67,English,USA,24000000,1998,1.85,418
Lee Tamahori,133,93,878,Billy Burke,Morgan Freeman,Along Came a Spider ,59232,17109,0,http://www.imdb.com/title/tt0164334/?ref_=fn_tt_tt_1,317,English,USA,60000000,2001,2.35,0
Stephen Frears,87,350,83,Nina Arianda,Meryl Streep,Florence Foster Jenkins ,2167,11534,3,http://www.imdb.com/title/tt4136084/?ref_=fn_tt_tt_1,32,English,UK,29000000,2016,2.35,0
Robert Rodriguez,178,0,876,Salma Hayek,Johnny Depp,Once Upon a Time in Mexico ,130094,46186,1,http://www.imdb.com/title/tt0285823/?ref_=fn_tt_tt_1,471,English,USA,29000000,2003,1.78,0
John McTiernan,233,323,541,Bruce Willis,Alan Rickman,Die Hard ,592582,40585,0,http://www.imdb.com/title/tt0095016/?ref_=fn_tt_tt_1,722,English,USA,28000000,1988,2.35,25000
David Wain,173,136,526,Ken Marino,Joe Lo Truglio,Role Models ,195255,3400,1,http://www.imdb.com/title/tt0430922/?ref_=fn_tt_tt_1,170,English,Germany,28000000,2008,1.85,0
Adam McKay,426,285,767,Christian Bale,Ryan Gosling,The Big Short ,182983,57308,4,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,374,English,USA,28000000,2015,2.35,99000
Ang Lee,210,0,210,Kevin Chamberlin,Imelda Staunton,Taking Woodstock ,24663,1500,12,http://www.imdb.com/title/tt1127896/?ref_=fn_tt_tt_1,71,English,USA,30000000,2009,1.85,0
Gavin O'Connor,129,149,250,Noah Emmerich,Eddie Cahill,Miracle ,36636,1845,0,http://www.imdb.com/title/tt0349825/?ref_=fn_tt_tt_1,289,English,USA,28000000,2004,2.4,0
Zack Snyder,287,0,1000,Kevin Zegers,Ty Burrell,Dawn of the Dead ,194422,10438,0,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,1057,English,USA,26000000,2004,2.35,7000
Adam Shankman,108,163,968,Judy Greer,Matthew McConaughey,The Wedding Planner ,61317,17533,2,http://www.imdb.com/title/tt0209475/?ref_=fn_tt_tt_1,229,English,Germany,35000000,2001,2.35,0
Shinji Aramaki,62,21,47,Yû Aoi,Shun Oguri,Harlock: Space Pirate ,8227,386,0,http://www.imdb.com/title/tt2668134/?ref_=fn_tt_tt_1,28,Japanese,Japan,30000000,2013,2.35,0
Wes Anderson,220,0,327,Anjelica Huston,Bill Murray,The Royal Tenenbaums ,209133,14609,1,http://www.imdb.com/title/tt0265666/?ref_=fn_tt_tt_1,962,English,USA,21000000,2001,2.35,0
James Mangold,136,446,660,Rebecca De Mornay,Clea DuVall,Identity ,177828,3969,0,http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1,714,English,USA,30000000,2003,2.35,11000
Jon Turteltaub,222,226,966,Morgan Freeman,Robert De Niro,Last Vegas ,106755,35694,2,http://www.imdb.com/title/tt1204975/?ref_=fn_tt_tt_1,173,English,USA,28000000,2013,2.35,27000
John Glen,112,46,244,Topol,Julian Glover,For Your Eyes Only ,72085,2118,1,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,263,English,UK,28000000,1981,2.35,2000
Peter Chelsom,122,23,6,David Sparrow,Lilli Lavine,Serendipity ,85423,37,0,http://www.imdb.com/title/tt0240890/?ref_=fn_tt_tt_1,374,English,USA,28000000,2001,1.85,12000
Peter Hyams,62,0,186,Bruce McGill,Mia Sara,Timecop ,44394,2010,1,http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1,115,English,Canada,27000000,1994,2.35,0
Ben Stiller,135,0,8000,Alexander Skarsgård,Milla Jovovich,Zoolander ,201084,34565,0,http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1,523,English,Germany,28000000,2001,2.35,0
Lasse Hallström,184,529,325,Noah Lomax,David Lyons,Safe Haven ,78008,1554,0,http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1,160,English,USA,28000000,2013,2.35,23000
Kenny Ortega,36,197,115,Omri Katz,Vinessa Shaw,Hocus Pocus ,60494,1275,0,http://www.imdb.com/title/tt0107120/?ref_=fn_tt_tt_1,132,English,USA,28000000,1993,1.85,16000
Scott Hicks,171,96,559,Lily Rabe,Zoë Kravitz,No Reservations ,59068,3497,2,http://www.imdb.com/title/tt0481141/?ref_=fn_tt_tt_1,128,English,USA,28000000,2007,2.35,0
Matthew Vaughn,447,905,385,Deborah Twiss,Elizabeth McGovern,Kick-Ass ,435864,2357,1,http://www.imdb.com/title/tt1250777/?ref_=fn_tt_tt_1,801,English,UK,30000000,2010,2.35,36000
Ruben Fleischer,220,181,459,Dilshad Vadsaria,Bianca Kajlich,30 Minutes or Less ,77935,1987,3,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,122,English,Germany,28000000,2011,2.35,0
Patrick Lussier,122,71,1000,Danny Masterson,Gerard Butler,Dracula 2000 ,27378,23344,0,http://www.imdb.com/title/tt0219653/?ref_=fn_tt_tt_1,365,English,USA,28000000,2000,2.35,0
Miguel Arteta,119,44,3000,Steve Carell,Bella Thorne,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",29738,47677,6,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,85,English,USA,28000000,2014,2.39,12000
Joe Wright,177,456,241,Brenda Blethyn,Talulah Riley,Pride & Prejudice ,193455,1083,2,http://www.imdb.com/title/tt0414387/?ref_=fn_tt_tt_1,1058,English,France,28000000,2005,2.35,17000
Ridley Scott,302,0,521,Sean Young,Harrison Ford,Blade Runner ,461609,13877,2,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,1168,English,USA,28000000,1982,2.35,34000
Michael Caton-Jones,44,105,902,Jason Flemyng,Liam Neeson,Rob Roy ,34427,16125,1,http://www.imdb.com/title/tt0114287/?ref_=fn_tt_tt_1,126,English,USA,28000000,1995,2.35,0
McG,211,368,114,Richard Sammel,Connie Nielsen,3 Days to Kill ,69355,1286,0,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,211,English,USA,28000000,2014,2.35,10000
James Gray,222,115,97,Oleg Taktarov,Robert Duvall,We Own the Night ,72693,3681,4,http://www.imdb.com/title/tt0498399/?ref_=fn_tt_tt_1,199,English,USA,21000000,2007,1.85,0
Janusz Kaminski,100,710,258,Bob Clendenin,Philip Baker Hall,Lost Souls ,9338,1805,2,http://www.imdb.com/title/tt0160484/?ref_=fn_tt_tt_1,167,English,USA,28000000,2000,2.35,209
Jacques Perrin,100,63,,Philippe Labro,Jacques Perrin,Winged Migration ,10369,66,0,http://www.imdb.com/title/tt0301727/?ref_=fn_tt_tt_1,153,English,France,160000000,2001,1.85,1000
Donald Petrie,98,80,585,Carlos Ponce,Samaire Armstrong,Just My Luck ,44103,3211,3,http://www.imdb.com/title/tt0397078/?ref_=fn_tt_tt_1,149,English,USA,28000000,2006,1.85,0
Jay Roach,74,116,385,Mary McCormack,Scott Grimes,"Mystery, Alaska ",22250,2171,0,http://www.imdb.com/title/tt0134618/?ref_=fn_tt_tt_1,123,English,Canada,28000000,1999,2.35,913
Brian Levant,97,32,453,Amber Valletta,Madeline Carroll,The Spy Next Door ,29971,3436,4,http://www.imdb.com/title/tt1273678/?ref_=fn_tt_tt_1,71,English,USA,28000000,2010,1.85,0
Michael Ritchie,21,23,899,Francis Capra,Mara Wilson,A Simple Wish ,4288,5535,3,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1,21,English,USA,28000000,1997,1.85,517
John Carpenter,156,0,900,Clea DuVall,Jason Statham,Ghosts of Mars ,43006,28867,5,http://www.imdb.com/title/tt0228333/?ref_=fn_tt_tt_1,460,English,USA,28000000,2001,2.35,0
David Gordon Green,125,234,660,Zoe Kazan,Dominic Flores,Our Brand Is Crisis ,11476,3944,2,http://www.imdb.com/title/tt1018765/?ref_=fn_tt_tt_1,50,English,USA,28000000,2015,1.85,0
Burr Steers,225,23,845,Bella Heathcote,Matt Smith,Pride and Prejudice and Zombies ,23775,4710,0,http://www.imdb.com/title/tt1374989/?ref_=fn_tt_tt_1,134,English,USA,28000000,2016,2.35,73000
Martin Scorsese,85,17000,0,Tulku Jamyang Kunga Tenzin,Tenzin Thuthob Tsarong,Kundun ,21606,4,0,http://www.imdb.com/title/tt0119485/?ref_=fn_tt_tt_1,117,English,USA,28000000,1997,2.35,0
Robert B. Weide,135,53,87,Katherine Parkinson,James Corden,How to Lose Friends & Alienate People ,61269,858,4,http://www.imdb.com/title/tt0455538/?ref_=fn_tt_tt_1,98,English,UK,27000000,2008,1.85,0
Jeff Wadlow,350,65,405,Donald Faison,Chloë Grace Moretz,Kick-Ass 2 ,202967,19168,0,http://www.imdb.com/title/tt1650554/?ref_=fn_tt_tt_1,378,English,USA,28000000,2013,2.35,36000
Agustín Díaz Yanes,31,13,278,Elena Anaya,Viggo Mortensen,Captain Alatriste: The Spanish Musketeer ,10266,11669,1,http://www.imdb.com/title/tt0395119/?ref_=fn_tt_tt_1,84,Spanish,Spain,24000000,2006,1.85,0
Camille Delamarre,177,11,561,Robert Maillet,Paul Walker,Brick Mansions ,32103,25387,2,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,112,English,France,28000000,2014,2.35,0
John Glen,106,46,293,Kabir Bedi,Louis Jourdan,Octopussy ,74374,1898,0,http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1,225,English,UK,27500000,1983,2.35,0
Judd Apatow,251,0,529,Martin Starr,Harold Ramis,Knocked Up ,298590,12874,2,http://www.imdb.com/title/tt0478311/?ref_=fn_tt_tt_1,559,English,USA,30000000,2007,1.85,0
Nick Cassavetes,148,415,228,Sofia Vassilieva,Jason Patric,My Sister's Keeper ,74476,1775,2,http://www.imdb.com/title/tt1078588/?ref_=fn_tt_tt_1,184,English,USA,30000000,2009,2.35,15000
Malcolm D. Lee,76,92,436,Mike Epps,Mo'Nique,"Welcome Home, Roscoe Jenkins ",10791,3565,3,http://www.imdb.com/title/tt0494652/?ref_=fn_tt_tt_1,39,English,USA,35000000,2008,1.85,464
David Lean,52,767,162,Judy Davis,Richard Wilson,A Passage to India ,12980,1334,0,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,89,English,UK,16000000,1984,1.85,845
Richard Eyre,220,14,78,Andrew Simpson,Phil Davis,Notes on a Scandal ,64625,646,0,http://www.imdb.com/title/tt0465551/?ref_=fn_tt_tt_1,281,English,UK,15000000,2006,1.85,0
Gavin Hood,131,151,11000,Jake Gyllenhaal,J.K. Simmons,Rendition ,47203,50950,2,http://www.imdb.com/title/tt0804522/?ref_=fn_tt_tt_1,197,English,USA,27500000,2007,2.35,0
,7,,535,Mary Elizabeth Mastrantonio,Colin Salmon,Limitless             ,38177,2707,2,http://www.imdb.com/title/tt4422836/?ref_=fn_tt_tt_1,131,English,USA,,,16.0,11000
Nicholas Meyer,112,120,664,Kurtwood Smith,Leonard Nimoy,Star Trek VI: The Undiscovered Country ,55513,16230,0,http://www.imdb.com/title/tt0102975/?ref_=fn_tt_tt_1,188,English,USA,30000000,1991,2.35,0
Callie Khouri,93,144,477,Fionnula Flanagan,Ellen Burstyn,Divine Secrets of the Ya-Ya Sisterhood ,15352,3845,4,http://www.imdb.com/title/tt0279778/?ref_=fn_tt_tt_1,199,English,USA,27000000,2002,2.35,0
Jon Favreau,370,4000,591,Bill Murray,Scarlett Johansson,The Jungle Book ,106221,32921,0,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,UK,175000000,2016,1.85,65000
Gary Fleder,83,39,685,Tony Goldwyn,Morgan Freeman,Kiss the Girls ,50653,14322,1,http://www.imdb.com/title/tt0119468/?ref_=fn_tt_tt_1,143,English,USA,27000000,1997,2.35,0
John Landis,125,644,326,Aretha Franklin,John Belushi,The Blues Brothers ,142448,2566,1,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,319,English,USA,27000000,1980,1.85,14000
Sanaa Hamri,73,43,523,Blythe Danner,America Ferrera,The Sisterhood of the Traveling Pants 2 ,22304,3525,4,http://www.imdb.com/title/tt1018785/?ref_=fn_tt_tt_1,33,English,USA,,2008,1.85,894
Todd Graff,98,650,715,Jeremy Jordan,Dolly Parton,Joyful Noise ,6476,3389,4,http://www.imdb.com/title/tt1710396/?ref_=fn_tt_tt_1,71,English,USA,25000000,2012,2.35,0
Chris Weitz,158,129,3,Christopher Webster,Sharon Small,About a Boy ,144021,74,0,http://www.imdb.com/title/tt0276751/?ref_=fn_tt_tt_1,391,English,UK,30000000,2002,2.35,0
Steve Miner,152,49,429,Bridget Fonda,Oliver Platt,Lake Placid ,42761,3313,0,http://www.imdb.com/title/tt0139414/?ref_=fn_tt_tt_1,366,English,USA,27000000,1999,2.35,2000
Paul McGuigan,202,118,1000,Morgan Freeman,Bruce Willis,Lucky Number Slevin ,262153,26451,3,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,507,English,Germany,27000000,2006,2.35,10000
Philip Kaufman,80,133,820,Scott Glenn,Dennis Quaid,The Right Stuff ,45271,6341,0,http://www.imdb.com/title/tt0086197/?ref_=fn_tt_tt_1,170,English,USA,27000000,1983,1.85,0
Roland Emmerich,288,776,358,Joely Richardson,Vanessa Redgrave,Anonymous ,34488,2452,3,http://www.imdb.com/title/tt1521197/?ref_=fn_tt_tt_1,136,English,UK,30000000,2011,2.35,15000
Wolfgang Petersen,99,249,271,Barret Oliver,Gerald McRaney,The NeverEnding Story ,99557,1560,1,http://www.imdb.com/title/tt0088323/?ref_=fn_tt_tt_1,284,English,West Germany,27000000,1984,2.35,21000
Alex Proyas,222,295,531,William Hurt,Rufus Sewell,Dark City ,156929,4696,1,http://www.imdb.com/title/tt0118929/?ref_=fn_tt_tt_1,624,English,Australia,27000000,1998,2.35,14000
Saul Dibb,194,10,844,Hayley Atwell,Dominic Cooper,The Duchess ,61777,6420,3,http://www.imdb.com/title/tt0864761/?ref_=fn_tt_tt_1,140,English,UK,13500000,2008,2.35,0
,15,,94,Art Carney,Jackie Gleason,The Honeymooners             ,3446,812,4,http://www.imdb.com/title/tt0042114/?ref_=fn_tt_tt_1,31,English,USA,,,1.33,459
Walter Murch,56,181,137,Jean Marsh,Piper Laurie,Return to Oz ,19568,960,0,http://www.imdb.com/title/tt0089908/?ref_=fn_tt_tt_1,208,English,UK,25000000,1985,1.85,0
Richard Linklater,63,0,324,Lew Temple,Matthew McConaughey,The Newton Boys ,8309,11969,4,http://www.imdb.com/title/tt0120769/?ref_=fn_tt_tt_1,39,English,USA,27000000,1998,2.35,315
Christian Alvart,167,22,355,Callum Rennie,Bradley Cooper,Case 39 ,60555,15790,1,http://www.imdb.com/title/tt0795351/?ref_=fn_tt_tt_1,174,English,USA,27000000,2009,2.35,0
E. Elias Merhige,101,54,398,Kevin Chamberlin,Harry Lennix,Suspect Zero ,16555,1721,0,http://www.imdb.com/title/tt0324127/?ref_=fn_tt_tt_1,139,English,USA,27000000,2004,1.33,817
Menno Meyjes,118,43,460,Richard Schiff,Oliver Platt,Martian Child ,17436,2495,0,http://www.imdb.com/title/tt0415965/?ref_=fn_tt_tt_1,71,English,USA,27000000,2007,1.85,0
