director_facebook_likes,actor_3_facebook_likes,genres,content_rating,actor_2_facebook_likes,imdb_score
687,389,Drama|Fantasy|Horror|Mystery|Thriller,PG-13,787,4.8
0,559,Adventure|Comedy|Drama|Romance,PG-13,13000,7.8
473,597,Horror,R,4000,5.9
19,107,Drama,PG-13,118,5.4
11,499,Comedy|Family,PG,521,3.3
0,250,Drama|Fantasy|War,R,269,8.2
,762,Drama|Fantasy|Mystery|Thriller,,921,6.6
14,635,Action|Comedy|Crime|Family,PG,1000,5.4
309,522,Crime|Drama|Romance|Thriller,R,881,6.4
26,638,Drama|Horror|Thriller,PG-13,1000,4.8
29,459,Adventure|Comedy|Drama,PG-13,593,5.9
23,51,Action|Crime,R,67,5.5
1000,108,Action|Comedy|Mystery,R,115,7.9
15,650,Comedy|Drama,PG-13,680,4.9
11000,252,Drama|Romance,PG-13,581,7.2
5,292,Action|Adventure|Drama|Romance|War,,690,6.6
24,851,Comedy,R,1000,6.7
7,95,Comedy|Drama|Romance,PG-13,240,5.3
7,450,Drama,PG-13,787,7.2
45,271,Comedy|Fantasy|Horror,R,396,5.1
22,324,Comedy|Crime|Mystery,PG-13,2000,5.6
11000,233,Comedy,PG,410,7.6
179,734,Action|Drama|Fantasy|Mystery|Thriller,PG-13,1000,3.1
47,238,Drama|Romance,PG-13,541,7.2
6,258,Comedy|Drama|Romance,PG-13,326,5.7
121,384,Comedy|Romance|Sci-Fi,PG-13,3000,5.2
438,372,Drama,PG-13,15000,7.7
9,363,Mystery|Sci-Fi|Thriller,R,380,7.0
3,578,Comedy,PG-13,584,3.6
38,316,Action|Drama|Sci-Fi|Thriller,PG,416,4.9
28,215,Comedy|Drama|Music,R,403,6.0
11000,642,Comedy|Romance,PG-13,650,6.6
89,322,Comedy|Music,R,852,6.8
85,186,Action|Adventure|Fantasy,R,309,7.2
369,295,Drama,R,418,7.2
34,465,Action|Crime|Sci-Fi,PG-13,489,2.8
115,310,Drama|Romance,R,316,6.6
133,258,Drama|History|Romance|War,PG-13,708,6.7
0,888,Crime|Drama|Mystery|Thriller,R,1000,7.0
29,618,Comedy,R,881,4.4
172,27,Comedy|Romance,,55,7.1
6,227,Drama|Romance|War,R,304,6.2
929,116,Drama|Fantasy,Not Rated,289,7.3
143,613,Comedy|Horror|Romance,PG-13,945,5.1
529,805,Drama|Family,G,884,8.1
22,44,Crime|Drama|Thriller,R,170,6.7
0,567,Drama|Western,R,596,6.6
10,574,Comedy|Drama|Romance|Sport,PG-13,578,4.5
,15,Comedy|Crime|Drama,TV-MA,57,8.1
460,125,Drama|War,R,150,6.6
4,518,Drama|Sport,PG,626,6.5
7,922,Drama|Mystery|Thriller,R,1000,5.9
7,17,Action|Comedy|Crime|Drama|Thriller,R,46,6.6
571,102,Comedy|Horror|Sci-Fi,R,298,6.5
102,383,Action|Comedy|Crime,R,605,7.3
0,925,Comedy|Family,PG,1000,7.5
12000,801,Comedy|Drama|Family,PG,875,5.9
521,481,Comedy|Drama|Romance,PG,521,7.4
12000,555,Action|Drama|Romance,PG,1000,6.9
0,5,Action|Drama|Romance,PG-13,21,7.9
0,158,Drama,R,828,8.4
0,520,Biography|Drama|History|Romance,R,1000,8.0
425,247,Comedy|Crime,PG,384,6.0
,260,Crime|Drama|Horror|Mystery|Thriller,TV-14,292,7.3
4,882,Drama|Romance,PG-13,13000,6.8
14000,271,Drama,PG-13,581,7.8
2,13,Action|Comedy|Drama|Thriller,R,80,5.7
335,635,Adventure|Drama|History,PG-13,744,6.1
77,305,Biography|Drama|Thriller|War,PG-13,393,8.1
6,271,Comedy|War,R,745,6.1
150,572,Biography|Drama|Music|Musical,PG,816,7.5
87,569,Comedy|Family,PG,975,6.2
127,250,Fantasy|Horror,PG-13,340,6.2
0,598,Horror|Thriller,R,742,7.9
11000,624,Adventure|Comedy,R,695,7.4
79,27,Comedy,R,38,6.6
350,39,Biography|Drama,PG-13,48,7.3
13000,217,Comedy|Fantasy,PG,692,7.5
0,607,Comedy|Drama,PG-13,721,5.6
44,902,Drama|Family|Romance,PG,4000,7.3
43,259,Drama|Fantasy|Horror|Thriller,PG-13,326,6.4
165,383,Horror|Thriller,PG-13,431,5.0
189,799,Adventure|Comedy|Family,PG,927,5.4
517,652,Drama|War,R,11000,8.2
272,957,Comedy|Drama,R,4000,7.1
13,566,Adventure|Comedy|Family|Music|Romance,PG,738,5.3
29,874,Action|Drama|Thriller,PG-13,1000,6.5
66,562,Comedy|Fantasy|Horror,PG-13,658,6.2
0,1000,Horror|Mystery|Sci-Fi,R,4000,6.4
13,2,Biography|Drama|Music,R,22,7.2
446,1000,Crime|Drama|Thriller,R,13000,6.9
11,971,Comedy,R,983,5.7
453,953,Crime|Drama|Thriller,R,10000,7.7
488,13000,Comedy|Drama|Romance,PG-13,14000,5.4
357,883,Action|Crime|Drama|Thriller,PG-13,1000,5.6
120,149,Biography|Drama|Romance,PG-13,876,7.7
14,685,Comedy|Crime,PG-13,807,5.1
18,944,Comedy|Drama|Romance,PG-13,1000,6.8
767,87,Adventure|Biography|Drama|History|War,PG,202,8.4
0,593,Horror,R,764,4.9
212,612,Adventure|Biography|Drama,R,820,7.1
29,616,Crime|Horror|Thriller,R,878,6.6
6,458,Comedy|Romance,PG-13,650,6.1
28,731,Comedy|Horror|Thriller,R,864,4.1
255,850,Action|Adventure|Fantasy,PG-13,1000,5.8
0,594,Adventure|Family|Fantasy|Romance,PG,636,8.1
18000,697,Biography|Drama,PG-13,2000,7.6
0,228,Crime|Drama,R,745,7.8
10,231,Comedy|Family|Music|Romance,PG,636,4.6
13,106,Comedy|Drama|Romance,R,511,6.0
35,306,Drama|Horror|Sci-Fi,R,1000,7.0
49,100,Drama|Family|Sport,PG,110,6.7
61,649,Comedy|Drama|Family,PG,807,6.4
107,865,Drama|Romance|Sport,PG-13,886,7.2
5,141,Action|Comedy|Crime|Romance|Thriller,R,822,7.4
3,628,Comedy|Romance,PG-13,982,4.8
31,162,Adventure|Fantasy|Horror|Mystery|Thriller,R,184,4.0
26,266,Drama|Fantasy|Horror|Thriller,R,328,6.2
11000,400,Drama|Romance|Thriller,R,567,7.7
20,125,Adventure|Comedy|Family|Fantasy,G,316,6.7
133,258,Drama|Romance,PG,310,7.9
0,170,Drama,R,360,7.9
11,232,Action|Crime|Drama|Romance|Thriller,R,605,5.5
15,461,Adventure|Drama|Family,PG,786,6.2
7,399,Horror,R,557,5.1
83,579,Horror|Mystery|Thriller,R,786,4.1
13,613,Drama|Family|Fantasy|Romance,PG,874,6.7
8,129,Action|Drama|Thriller,PG-13,239,4.7
10,415,Action|Comedy,R,622,6.4
19,461,Drama|Music,PG-13,646,6.3
119,918,Horror|Mystery|Sci-Fi|Thriller,R,982,5.5
310,619,Crime|Drama|Thriller,R,748,7.3
79,537,Action|Crime|Thriller,R,614,6.3
11,159,Drama|Mystery|Thriller,R,308,4.9
0,383,Drama|History|Thriller|War,R,602,7.6
73,563,Action|Horror|Sci-Fi|Thriller,R,654,6.0
181,748,Crime|Thriller,R,820,6.2
210,123,Crime|Drama|Thriller,R,164,6.8
374,484,Comedy,R,503,4.5
12,23,Adventure|Animation|Comedy|Family,G,173,5.7
0,44,Documentary|Music,G,67,8.4
36,377,Action|Adventure|Fantasy|Sci-Fi,R,786,4.6
16,526,Crime|Drama|Musical|Romance,R,585,6.2
92,358,Drama|Romance,PG-13,5000,7.0
0,727,Drama|Sport,PG-13,787,6.9
34,366,Crime|Drama|Thriller,R,442,6.1
164,308,Crime|Thriller,R,324,6.7
745,745,Comedy,PG-13,821,5.6
34,65,Biography|Drama|Music|Musical,PG-13,66,6.6
11000,563,Comedy|Drama|Romance,PG,860,6.4
9,47,Adventure|Family,G,417,2.8
561,353,Action,R,561,5.4
23,629,Comedy|Drama|Romance,PG-13,660,5.0
4,670,Drama|Romance,PG-13,841,5.1
0,1000,Drama|Sci-Fi,R,5000,8.0
80,782,Family|Music|Romance,PG,872,5.9
,186,Drama|Fantasy|Mystery|Sci-Fi,TV-14,319,7.5
0,12000,Comedy|Crime,R,12000,8.2
153,539,Drama|Music,R,788,7.0
41,274,Crime|Drama|Romance|Thriller,R,463,6.6
187,254,Biography|Drama|History|Thriller|War,R,883,6.7
9,612,Comedy|Drama|Romance,PG-13,897,5.5
2,461,Comedy,R,852,4.9
32,692,Comedy|Drama|Romance,PG,1000,6.9
45,224,Fantasy|Romance,Unrated,393,7.4
6,596,Adventure|Comedy|Family,PG,625,5.6
454,39,Comedy|Crime|Drama,R,49,8.0
24,426,Comedy|Romance,PG-13,539,5.3
11,1000,Comedy|Music,PG-13,14000,6.2
96,360,Comedy|Romance,PG-13,971,5.3
835,363,Drama,R,826,6.6
11000,386,Comedy|Romance,PG-13,658,7.2
52,275,Drama|Mystery|Thriller,PG-13,397,4.6
0,289,Adventure|Crime|Drama|Mystery|Western,R,324,7.5
0,693,Drama|War,PG-13,1000,6.5
1000,611,Comedy|Crime|Mystery,R,1000,7.6
6,577,Comedy|Fantasy|Horror|Thriller,R,729,6.2
0,669,Drama|Mystery|Thriller,R,889,8.0
18,220,Drama|Fantasy|Horror|Romance,PG-13,400,5.5
11000,557,Comedy|Drama|Romance,R,6000,6.3
132,844,Drama|Romance|Sci-Fi,R,882,7.2
,527,Drama|History|Thriller,,555,7.9
122,25,Crime|Drama|Mystery|Thriller,R,278,6.7
70,90,Adventure|Drama|Fantasy,R,324,5.3
0,617,Comedy|Crime|Drama,PG-13,664,6.3
0,287,Crime|Drama|Horror|Thriller,R,294,6.5
5,46,Drama|Sci-Fi|Thriller,,134,5.6
460,71,Drama|Thriller,PG-13,203,7.0
756,18,Drama|Sci-Fi,Not Rated,23,8.3
180,58,Action|Crime|Thriller,R,297,7.2
39,642,Crime|Drama,R,970,6.8
141,56,Action|Drama,Not Rated,103,6.4
34,730,Comedy|Crime|Drama|Thriller|War,R,826,6.9
445,9,Drama|Mystery|Thriller,Unrated,13,8.0
0,7,Action,R,45,6.2
197,570,Action|Adventure|Drama|History|Thriller|War,R,794,6.4
85,40,Action|Drama|Thriller,R,476,5.6
129,1000,Fantasy|Horror|Mystery,R,1000,6.1
36,2,Biography|Drama|History,R,248,6.0
68,642,Crime|Drama|Thriller,R,14000,5.1
24,125,Action|Comedy|Drama|War,PG-13,595,4.5
17,66,Comedy|Drama|Fantasy|Music|Romance,R,165,5.9
15,576,Biography|Drama|Fantasy|History,R,627,6.0
0,912,Adventure|Animation|Family,Not Rated,12000,5.8
19,537,Action|Sci-Fi|Thriller,R,889,6.1
93,51,Action|Adventure|Fantasy,Not Rated,55,4.9
6,50,Biography,,57,5.7
3,19,Action|Crime|Drama|Thriller,R,353,7.1
67,303,Biography|Drama,PG-13,452,6.6
11000,512,Comedy|Fantasy|Romance,PG,571,8.1
13,642,Comedy|Drama|Music,R,17000,5.7
1000,954,Drama|Romance,PG-13,1000,6.8
15,121,Drama|War,PG-13,767,7.5
5,124,Drama|Family|Music,R,220,6.2
16000,638,Drama|Western,R,11000,8.3
3000,236,Drama,Not Rated,769,7.4
0,40,Drama|Romance,R,56,8.0
213,249,Drama|Romance|Thriller,R,276,6.9
0,700,Comedy|Romance,R,995,6.9
0,176,Comedy,,179,9.5
5,57,Action|Adventure|Comedy,PG,162,5.5
34,277,Action|Crime|Drama|Mystery|Thriller,R,355,5.7
0,560,Biography|Drama|War,R,854,7.2
226,496,Adventure|Comedy|Family|Sport,PG,730,6.9
71,725,Horror|Thriller,R,960,5.5
30,309,Horror|Thriller,PG-13,459,5.9
270,535,Action|Adventure|Drama,R,954,7.7
41,748,Drama|Music|Romance,PG-13,826,5.2
43,238,Action|Adventure|Sci-Fi|Thriller,PG,244,7.1
,84,Documentary,,130,6.6
9,648,Horror|Mystery|Thriller,R,912,5.5
350,418,Drama|Romance,R,17000,7.7
0,490,Comedy|Drama|Romance,PG-13,597,5.4
116,25,Adventure|Drama,PG,172,6.7
54,636,Comedy|Romance,PG-13,670,5.0
58,583,Biography|Drama|History,PG-13,1000,6.4
12,8,Adventure|Animation|Comedy|Drama|Family|Musical,G,12,6.6
309,279,Drama|Romance,R,556,5.9
10,111,Action|Comedy|Crime|Thriller,R,266,5.7
0,364,Comedy|Fantasy|Horror|Romance,R,422,4.5
128,467,Horror,R,726,3.7
31,50,Horror|Mystery|Thriller,PG-13,613,5.0
119,636,Comedy|Romance,PG-13,779,4.6
123,690,Adventure|Mystery|Thriller,R,14000,6.5
44,625,Comedy|Romance,PG-13,849,4.9
0,654,Comedy,R,2000,6.0
160,55,Comedy|Drama|War,PG,330,6.9
85,514,Fantasy|Horror,R,855,5.7
17000,213,Drama|Music|Musical|Romance,PG,740,6.7
0,534,Comedy|Drama,PG-13,848,6.9
0,458,Comedy|Drama|Romance,R,490,5.5
52,489,Action|Horror|Sci-Fi|Thriller,R,935,4.4
189,799,Adventure|Comedy|Family,PG,927,5.4
0,383,Drama|History,R,593,7.0
70,169,Comedy|Mystery|Romance,PG-13,834,5.4
90,635,Adventure|Comedy,PG-13,925,5.4
232,177,Biography|Drama,PG-13,412,8.0
143,280,Drama|Romance,R,617,7.6
49,191,Drama|Mystery|Thriller,R,215,5.9
956,113,Drama,R,233,6.6
176,15,Biography|Drama|History,PG-13,113,6.7
12,102,Drama|Horror|Mystery|Thriller,PG-13,102,3.9
133,5,Biography|Drama|History|Romance,PG-13,15,5.7
11,548,Comedy|Romance,PG-13,1000,6.7
109,324,Action|Adventure|History,PG,469,6.5
608,43,Biography|Drama|History,R,44,6.8
752,59,Drama|Romance,PG,74,6.3
333,284,Biography|Crime|Drama|War,Unrated,326,7.3
2,21,Action,R,32,6.9
168,322,Comedy|Drama|War,R,329,7.0
50,338,Drama,R,1000,6.5
10,378,Comedy|Horror,R,521,3.6
0,767,Comedy|Drama|Romance,PG,872,7.7
0,11000,Drama|Romance,R,13000,7.7
473,429,Action|Adventure|Comedy|Sci-Fi,PG-13,809,5.9
143,201,Comedy|Romance,PG-13,281,6.8
162,135,Drama|Romance,PG-13,258,7.4
38,390,Comedy|Sci-Fi,R,837,5.1
,2,Drama,TV-MA,3,9.1
133,170,Biography|Drama,R,230,7.4
454,816,Comedy|Crime,R,906,7.2
148,400,Crime|Drama|Music|Mystery|Thriller,R,508,6.0
,2,Action|Crime|Drama|Thriller,,2,7.4
101,471,Biography|Drama|History|War,R,653,8.3
448,93,Biography|Drama|Romance,PG-13,114,8.1
143,21,Drama|Horror|Sci-Fi|Thriller,R,50,6.3
272,227,Biography|Comedy|Drama|War,R,263,7.3
26,385,Comedy,PG-13,391,3.6
209,41,Documentary|Music,G,69,1.6
0,1000,Drama|Thriller,R,15000,8.0
294,1000,Action|Crime|Sci-Fi|Thriller,PG-13,2000,6.2
0,3000,Crime|Drama,R,14000,9.0
49,237,Drama|Music|Romance,PG-13,363,6.1
212,54,Fantasy|Horror|Thriller,R,125,5.7
36,579,Drama,PG,3000,6.8
8,612,Comedy|Mystery,PG-13,934,5.5
58,316,Action|Crime|Drama|Thriller|Western,R,439,6.8
51,360,Comedy|Drama,PG-13,6000,7.3
38,460,Comedy|Romance,R,807,6.1
19,835,Comedy|Drama|Romance,PG-13,13000,7.2
13,301,Comedy,PG-13,489,5.9
0,182,Action|Comedy|Crime,PG-13,852,6.1
174,2,Drama|Horror|Thriller,PG-13,350,6.8
19,829,Sci-Fi|Thriller,R,902,7.7
13,329,Adventure|Comedy|Family,PG,442,4.9
17,912,Comedy|Drama|Romance,PG-13,997,6.1
84,782,Comedy|Crime|Family|Sci-Fi,PG,842,2.5
6,459,Action|Comedy|Crime|Thriller,R,471,6.1
15,388,Comedy|Drama|Family,PG,558,5.9
5,435,Fantasy|Horror,R,628,5.7
12,334,Crime|Thriller,PG-13,345,5.6
0,745,Horror,R,850,7.2
232,123,Drama|Mystery|Sci-Fi|Thriller,R,145,7.7
0,213,Comedy|Drama|Fantasy,R,216,7.8
7,405,Comedy|Romance,R,890,6.1
13,140,Adventure|Family|Sci-Fi,PG,587,5.8
134,525,Drama|Romance,PG-13,1000,6.5
16000,78,Drama|History|War,R,85,7.9
35,844,Adventure|Drama|Sci-Fi,PG,912,6.3
18,744,Comedy|Romance,R,851,3.8
412,491,Drama,R,681,8.3
799,294,Comedy,PG-13,359,6.4
0,650,Comedy|Crime|Thriller,R,849,6.7
26,4000,Comedy,PG-13,8000,6.1
76,75,Action|Crime|Mystery|Thriller,,94,8.1
7,730,Drama|Thriller,R,1000,6.0
15,812,Drama|Music,R,957,5.8
2,690,Adventure|Comedy|Romance|Sci-Fi,PG-13,816,5.6
16,258,Comedy|Crime|Thriller,R,326,6.1
24,499,Comedy,R,528,5.9
107,280,Comedy|Drama|Romance,R,530,7.3
37,548,Drama|Sport,PG-13,573,6.8
80,252,Comedy|Drama|Romance,PG-13,257,5.7
83,8,Drama|Romance,R,370,7.3
460,73,Drama|Mystery|Romance|Thriller,R,153,6.3
150,150,Comedy|Crime|Drama,R,385,5.9
260,1000,Drama|Thriller,R,15000,7.1
0,968,Biography|Comedy|Crime|Drama,R,14000,7.1
139,850,Drama|Romance,PG-13,3000,8.0
29,147,Action,R,155,5.1
41,442,Biography|Crime|Drama,R,812,7.1
187,887,Drama|Romance|Western,R,900,6.5
83,794,Horror|Thriller,PG-13,1000,4.5
115,304,Action|Comedy|Sci-Fi|Thriller,R,305,6.6
11000,116,Drama|Romance|War,R,164,4.3
122,383,Crime|Thriller,R,461,6.7
32,29,Action|Drama|History|War,,81,6.8
0,234,Action|Adventure|Comedy|Family,PG,238,5.4
43,113,Biography|Comedy|Crime|Drama|Romance,R,157,6.6
218,91,Adventure|Drama|History,R,201,7.4
18000,543,Biography|Drama,PG-13,638,7.3
97,355,Drama,PG-13,795,6.9
12000,975,Action|Crime|Drama|Romance|Thriller,R,10000,8.0
28,1000,Drama|Romance|Sci-Fi,Unrated,2000,6.4
164,99,Crime|Drama|Mystery,R,14000,7.8
187,204,Crime|Drama|Thriller,R,467,6.1
261,697,Fantasy|Horror|Thriller,R,782,6.1
10,472,Horror|Mystery,R,668,5.1
19,135,Adventure|Drama|Romance,Approved,185,7.8
44,552,Comedy|Drama|Romance,PG-13,730,7.4
39,18,Drama|War,PG-13,32,7.8
3000,322,Crime|Drama|Musical,R,595,8.0
44,241,Drama|Romance,R,653,6.7
220,599,Crime|Drama,R,787,6.6
34,506,Comedy|Drama|Romance,R,681,6.4
20,844,Action|Crime|Thriller,R,982,6.7
60,168,Biography|Comedy|Crime|Drama,R,322,6.2
383,191,Adventure|Animation|Family,G,320,7.3
16,489,Action|Drama|War,R,517,8.1
50,655,Comedy|Drama|Family|Sport,PG,844,7.0
607,259,Horror,R,931,8.0
14000,366,Adventure|Drama|Thriller,PG,559,8.0
80,1000,Comedy,R,1000,7.0
2,186,Animation|Comedy|Crime|Drama|Family,PG,637,7.9
23,148,Action|Adventure|Comedy|Fantasy|Mystery,PG-13,255,5.9
167,807,Comedy|Romance,PG-13,966,6.6
167,436,Comedy|Drama,PG-13,528,6.3
120,664,Action|Adventure|Sci-Fi,PG,980,7.7
293,567,Comedy,PG-13,595,6.9
139,793,Sci-Fi|Thriller,PG,883,7.1
608,733,Crime|Drama|Romance|Thriller,R,10000,7.4
16,11,Action|Adventure|Drama|Thriller|War,R,17,6.5
98,920,Crime|Drama|Music|Romance,PG-13,2000,6.5
406,616,Adventure|Animation|Comedy|Crime,PG-13,2000,6.8
16000,889,Crime|Thriller,R,1000,7.5
22,816,Adventure|Comedy,R,954,6.6
128,371,Drama|Sci-Fi|Thriller,PG-13,465,7.1
0,122,Drama|Musical|Romance,PG,194,6.6
0,504,Adventure|Comedy|Fantasy|Sci-Fi,PG,561,7.0
33,135,Comedy|Drama,PG-13,188,3.3
166,281,Comedy|Crime,R,329,6.7
76,78,Biography|Drama|War,GP,416,8.0
132,933,Drama|Thriller,R,989,6.8
66,1000,Horror|Sci-Fi|Thriller,R,1000,6.0
0,451,Horror|Mystery,PG-13,527,5.4
4,826,Comedy,PG-13,1000,4.3
58,722,Comedy|Fantasy,R,729,6.2
53,84,Comedy|Drama|Family|Fantasy|Musical,G,94,7.7
258,834,Action|Adventure|Thriller,PG-13,1000,8.0
278,898,Biography|Drama|Romance,R,1000,7.4
4,8,Documentary|Music,PG,9,5.9
131,733,Drama|Romance,PG-13,1000,7.8
131,599,Crime|Drama,R,940,7.4
0,555,Comedy|Romance,R,966,6.5
287,79,Horror|Sci-Fi,PG,122,5.4
192,282,Horror|Mystery|Thriller,R,301,7.0
,898,Action|Adventure|Biography|Drama|History,TV-MA,939,8.6
350,322,Biography|Drama,PG-13,482,7.6
57,805,Comedy|Drama,R,931,6.9
76,801,Drama|Thriller,R,837,7.0
20,717,Comedy|Family|Fantasy|Romance,PG,826,5.3
14,376,Drama|Mystery|Romance,PG-13,558,6.4
17,581,Comedy,PG-13,691,4.5
729,622,Adventure|Comedy|Drama,R,844,7.8
226,580,Action|Fantasy|Horror|Thriller,R,851,6.7
25,611,Comedy|Crime|Family,PG,626,5.3
655,390,Comedy|Drama,R,786,6.3
83,501,Action|Crime|Thriller,R,725,7.0
3,324,Comedy,R,560,5.3
98,604,Comedy|Drama|Romance,R,849,6.6
43,696,Comedy|Romance|Sport,PG,826,5.8
438,471,Drama|Romance,R,536,6.7
30,85,Crime|Drama|Romance|Thriller,R,230,6.6
73,1000,Biography|Drama|Romance,PG-13,14000,7.0
249,18,Adventure|Drama|Thriller|War,R,21,8.4
102,877,Drama|History|War|Western,PG-13,973,6.0
32,503,Comedy,R,526,5.4
628,171,Drama|Fantasy|Romance,R,555,7.8
611,4,Action|Adventure|Drama|Romance,PG-13,483,7.6
27,360,Drama|Thriller,R,591,6.6
16,265,Sci-Fi|Thriller,PG-13,328,6.4
67,192,Biography|Drama|Music,R,223,7.0
25,654,Comedy|Crime,PG-13,744,5.7
216,968,Action|Crime|Sci-Fi|Thriller,R,1000,5.9
378,783,Comedy,PG-13,925,6.3
11000,99,Comedy|Drama,R,255,6.3
708,316,Comedy|Drama,R,398,6.2
7,251,Comedy|Musical|Romance,PG,281,2.1
0,599,Comedy|Drama,R,680,5.0
319,48,Mystery|Thriller,R,65,5.3
115,103,Drama|Romance,R,580,7.1
40,794,Drama,R,1000,7.0
584,74,Comedy|Drama|Horror|Sci-Fi,R,398,7.0
55,212,Adventure|Crime|Thriller,PG,642,5.7
61,611,Fantasy|Horror|Thriller,R,692,7.1
20,442,Comedy|Drama|Romance,R,569,7.0
667,70,Drama,Not Rated,98,7.7
0,77,Comedy|Drama,R,165,7.1
0,520,Drama|Thriller,R,1000,6.8
0,576,Drama|Romance|Sci-Fi,R,643,7.5
60,18,Crime|Drama|Romance,PG-13,46,6.3
19,393,Adventure|Drama|Family,PG,442,7.3
277,289,Drama|Mystery|Romance,PG-13,327,6.8
0,403,Crime|Drama|Thriller,R,685,7.2
94,146,Comedy|Crime,R,534,6.4
0,745,Comedy|Drama,R,754,6.0
26,350,Drama|Mystery|Thriller,R,474,6.4
759,820,Comedy|Drama|Romance,PG-13,830,5.1
7,289,Crime|Drama|Thriller,R,345,7.5
45,0,Drama|Romance|War,R,2,7.1
18,865,Comedy,R,883,4.6
611,3,Comedy|Drama,R,4,5.7
165,280,Mystery|Romance|Sci-Fi|Thriller,R,327,6.8
14,3,Drama|History|War,R,32,7.7
12,183,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,PG,523,6.7
0,188,Action|Adventure|Animation|Comedy|Family,PG,618,3.2
7,16,Action|Adventure|Drama|Sci-Fi,TV-14,33,6.1
212,18,Action|Drama|War,R,111,5.6
76,42,Fantasy|Mystery|Thriller,R,168,6.9
0,247,Drama,R,445,7.5
130,79,Biography|Drama,PG,116,5.8
