actor_3_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes
416,59588068,22318,Bernard Hill,376,USA,R,40000000,534
11000,44175394,37570,Matthew McConaughey,227,USA,R,36000000,11000
0,45500797,519,Sean Connery,56,USA,PG-13,40000000,47
473,41797066,4324,Ian Whyte,998,USA,R,40000000,741
287,38087756,4634,Jonathan Hyde,39,USA,PG,40000000,450
586,37752931,26938,Elaine Stritch,180,USA,PG-13,40000000,1000
664,50562555,2787,Haley Bennett,291,USA,PG-13,,690
57,37371385,390,Jeremy Owen,334,USA,R,40000000,61
78,37101011,1070,Julene Renee,103,USA,PG-13,40000000,358
687,38176892,4486,Shenae Grimes-Beech,518,USA,R,40000000,741
173,36283504,12970,Anthony Heald,587,Germany,R,40000000,638
552,35183792,3044,Kathleen Quinlan,209,USA,R,38000000,576
214,38543473,1488,Nat Faxon,158,USA,R,40000000,392
235,36037909,1238,Jesse James,130,Germany,PG-13,60000000,258
495,42575718,3074,Courtney B. Vance,227,USA,R,40000000,682
584,33864342,2913,Vincent Pastore,117,UK,PG-13,40000000,683
754,33508922,23920,Angie Dickinson,660,USA,PG-13,40000000,3000
223,42071069,1827,Ione Skye,208,USA,PG-13,30000000,299
12,,108,Daniel Brochu,43,Canada,TV-Y,,21
490,32853640,3239,Matt Walsh,101,USA,PG-13,40000000,613
3000,42615685,28927,Seth MacFarlane,416,USA,R,40000000,9000
510,32055248,2711,John Kapelos,146,USA,PG-13,25000000,595
64,31836745,15595,Stephen Henderson,341,USA,PG-13,40000000,467
58,30993544,621,Vanessa Aspillaga,156,USA,PG-13,40000000,117
441,30981850,3969,Marc John Jefferies,284,USA,R,40000000,1000
249,30199105,3753,Anne Archer,167,USA,R,40000000,1000
715,29077547,5917,Jesse L. Martin,754,USA,PG-13,40000000,1000
294,29374178,4565,Angela Bettis,188,USA,R,40000000,941
210,28535768,1335,Carlease Burke,105,USA,PG-13,40000000,322
44,27663982,10469,Marco Hofschneider,164,USA,PG-13,40000000,368
327,27053815,2888,Stephen Rea,291,Germany,PG-13,40000000,931
19000,26814957,77823,Benedict Cumberbatch,252,UK,PG-13,35000000,19000
903,25178165,29484,Frank Langella,274,USA,PG-13,40000000,9000
135,25117498,960,William Ragsdale,178,USA,R,40000000,253
354,32645,23737,David Proval,223,USA,R,500000,926
353,24332324,3126,Lillo Brancato,61,USA,PG-13,40000000,754
674,36665854,3432,Jesse Borrego,203,France,PG-13,40000000,738
795,22717758,14275,Eric Idle,67,USA,G,40000000,908
616,22433915,34377,John Doman,166,USA,R,60000000,11000
685,22326247,3821,Steven Weber,106,USA,PG-13,60000000,886
1000,21176322,5039,Christina Milian,207,USA,PG-13,40000000,1000
889,20300000,17877,Bridget Fonda,60,USA,R,40000000,940
683,20302961,18913,Robert Davi,450,France,NC-17,45000000,893
826,15962471,7243,Rip Torn,619,USA,PG-13,40000000,887
497,14942422,14008,Philip Baker Hall,60,USA,R,40000000,975
351,14967182,14463,Lauren Lee Smith,284,USA,R,40000000,530
284,18996755,7099,Oaklee Pendergast,322,Spain,PG-13,45000000,382
572,14375181,3374,Isabelle Adjani,126,USA,PG-13,51000000,631
563,20999103,24770,Helen McCrory,245,USA,PG,40000000,11000
311,14448589,12566,James Gammon,128,USA,PG-13,40000000,944
402,14358033,2125,Patricia Heaton,66,USA,PG-13,40000000,658
54,33201661,809,Isabelle Nanty,1314,France,R,77000000,326
762,14018364,3974,Riley Smith,111,USA,PG,30000000,799
624,13395939,3639,Jane Krakowski,146,UK,R,60000000,826
171,20113965,1702,Andrew Daly,66,USA,PG,40000000,596
613,13376506,4327,Jonathan Jackson,111,USA,PG-13,40000000,642
595,13208023,4262,Udo Kier,388,UK,R,42000000,886
835,13838130,20503,Patrick Fugit,157,USA,PG-13,40000000,4000
287,5773519,12876,Daniel Mays,91,USA,PG-13,40000000,1000
500,9652000,3096,Harvey Fierstein,147,USA,PG-13,40000000,627
706,12081447,4103,Mike Epps,25,USA,R,,760
249,7000000,1883,Anne Archer,70,UK,PG,36000000,372
485,10431220,4024,Xander Berkeley,162,USA,R,24000000,577
61,10326062,14127,Eddie Rouse,310,Germany,R,33000000,2000
259,6114237,2664,Tim Guinee,207,USA,R,40000000,1000
443,4835968,4123,Rupert Graves,82,UK,PG-13,40000000,545
219,4777007,1149,John Aylward,98,France,PG-13,40000000,248
167,3675072,11623,Troy Garity,801,UK,R,26000000,372
39,18438149,222,Greg Collins,93,USA,PG-13,40000000,46
379,511920,2449,Kelly Ripa,26,USA,PG,40000000,754
87,10640645,1686,Jasmine Trinca,110,USA,R,40000000,535
173,652526,15638,Ashley Walters,187,Germany,PG,40000000,460
502,80050171,2288,Jose Pablo Cantillo,491,USA,PG-13,20000000,617
472,7564000,13821,Lorraine Bracco,223,USA,PG-13,20000000,922
2,876671,504,Ljubomir Kerekes,90,USA,R,25000000,3
385,2869369,2612,John Mahoney,211,UK,PG,30000000,970
483,128978,6267,Andy Lau,61,Hong Kong,R,40000000,755
533,77231,2115,Jason Scott Lee,32,France,R,25000000,580
398,4563029,12286,Kang-ho Song,514,South Korea,R,39200000,557
541,,3243,François Cluzet,40,France,PG,25000000,559
596,463730,5240,Tim Blake Nelson,39,USA,R,,894
380,50693162,2630,David Patrick Kelly,545,USA,R,23000000,581
72,6498000,554,Prabhas,410,India,,18026148,133
100,63411478,568,Michelle Nolden,234,USA,PG-13,39000000,142
433,42640890,1930,Tom Everett Scott,184,USA,PG-13,,452
4000,144512310,45327,Jordana Brewster,988,USA,PG-13,38000000,14000
787,35287788,4774,Atticus Shaffer,165,USA,PG,39000000,925
279,25335935,2853,Michael Hitchcock,1594,USA,PG-13,40000000,505
511,5881504,2972,Tim Daly,50,USA,PG-13,39000000,534
420,60000000,2329,Jackie Cooper,224,UK,PG,39000000,542
785,29802761,36009,Oscar Gale,115,USA,PG-13,40000000,13000
478,626809,2172,Wei Zhao,105,China,R,553632000,643
559,127214072,4251,Courtney Gains,392,USA,PG-13,38000000,935
954,88915214,22436,Eric Winter,169,USA,R,38000000,957
275,30400000,2176,Max Casella,73,USA,PG,39000000,516
1000,85570368,18291,Emily Osment,107,USA,PG,38000000,2000
906,75668868,6427,Jonathan Frakes,249,USA,PG,35000000,946
7,6594136,943,Elvis Tsui,111,Hong Kong,PG-13,38600000,290
1000,58700247,36062,James Frain,260,USA,PG-13,38000000,11000
501,,25160,Kristen Johnston,86,USA,TV-PG,,967
46,,196,Jiao Xu,18,China,,40000000,47
494,50668906,20516,Deborah Kara Unger,265,USA,R,38000000,584
789,39177215,3770,Billy Campbell,234,USA,PG-13,38000000,919
692,40334024,2912,Jeffrey Jones,216,USA,PG-13,35000000,754
377,71038190,3552,Eduardo Verástegui,123,USA,PG,30000000,557
280,24044532,1440,Kari Matchett,180,USA,R,38000000,285
466,22770864,2765,Kelly Lynch,85,USA,PG,38000000,543
541,18653746,42344,Lena Olin,638,Spain,R,38000000,903
182,17305211,24547,Bill Nunn,75,USA,R,38000000,210
108,16991902,1265,Matthew Glave,191,USA,R,57000000,316
736,47536959,3277,Mariah Carey,275,USA,R,10000000,906
982,10300000,16237,Ethan Embry,89,USA,PG-13,38000000,1000
145,13782838,1757,David Clennon,911,USA,R,15000000,163
904,41997790,17551,Bokeem Woodbine,343,USA,R,38000000,924
12,6482195,74,Ted Markland,81,USA,R,37000000,12
427,623374,2120,Leonor Varela,67,USA,PG-13,38000000,569
260,7871693,15494,Harry Treadaway,102,USA,PG,55000000,2000
15,16377274,427,Bruce Goodchild,405,USA,R,32000000,18
217,,4900,David Walliams,28,Italy,R,38000000,476
534,9589875,5162,Charles S. Dutton,45,USA,PG,40000000,898
724,34912982,19974,Nick Robinson,266,USA,PG-13,38000000,1000
531,109712885,15106,Graham McTavish,362,USA,PG-13,35000000,597
206,92173235,14296,Owen Burke,420,USA,R,37000000,4000
651,41102171,13396,Thomas Lennon,89,USA,PG-13,40000000,2000
681,60338891,36093,Kevin Sussman,545,USA,R,37000000,11000
35,48006503,18178,Christopher James Baker,110,USA,PG,37000000,82
471,26903709,37206,Alexandra Maria Lara,475,UK,R,38000000,10000
272,22450975,1906,Jim Meskimen,1437,USA,R,37000000,625
574,44867349,14483,Kevin Pollak,176,USA,R,37000000,642
591,46813366,4882,Nicholas Braun,83,USA,R,38000000,756
631,72279690,14209,Harry Connick Jr.,86,USA,PG,37000000,680
10000,191449475,44060,Anna Kendrick,1535,USA,PG-13,37000000,12000
644,71026631,20970,Anne Heche,394,USA,PG-13,36000000,669
405,68208190,2986,Tamala Jones,144,USA,PG-13,65000000,744
651,150368971,3425,Thomas Lennon,301,USA,R,37000000,707
30,,599,Aleksey Serebryakov,21,Russia,,29500000,35
263,50129186,1874,J.T. Walsh,218,USA,R,36000000,284
133,55500000,762,Barbara Carrera,214,UK,PG,36000000,172
318,50213619,1272,Crystal Lowe,243,USA,R,36000000,390
631,42019483,13904,Harry Connick Jr.,33,USA,PG,36000000,641
475,23360779,10838,Clarence Williams III,212,USA,R,34000000,1000
582,26183197,16611,Larenz Tate,135,USA,R,36000000,919
13000,20991497,44037,Bill Murray,172,USA,PG-13,37000000,14000
723,13052741,3968,Craig T. Nelson,57,USA,PG-13,36000000,912
577,14378353,2393,Daniel von Bargen,194,USA,PG-13,36000000,602
2000,33037754,19904,Toby Jones,197,USA,PG-13,37000000,3000
263,12339633,1942,Mason Gamble,641,USA,PG-13,36000000,485
450,2954405,2928,John Larroquette,64,USA,R,36000000,886
387,30105968,2268,Omid Abtahi,45,USA,G,37000000,521
642,37788228,4537,Tracy Morgan,80,USA,PG-13,35200000,812
706,277313371,17623,Mike Epps,626,USA,R,35000000,839
51,2126511,615,Kwok-Kwan Chan,45,Hong Kong,PG-13,36000000,79
481,205399422,47203,Robert Wagner,784,USA,PG-13,33000000,645
488,251188924,2725,William Hootkins,817,USA,PG-13,35000000,549
785,1068392,3497,Lily Cole,53,Spain,PG-13,36000000,794
94,144731527,1446,Stuart Wilson,136,USA,R,35000000,277
624,255950375,3389,Kim Dickens,420,USA,PG-13,29000000,734
452,,2255,Wendie Malick,30,USA,TV-14,,618
640,112692062,4499,Daryl Sabara,205,USA,PG,35000000,843
64,117528646,18669,Reginald Ballard,387,USA,R,35000000,464
538,171031347,25964,Bruce Green,724,USA,PG-13,38000000,12000
505,124732962,23923,Rebecca Mader,631,USA,PG-13,35000000,11000
643,82300000,16007,Walter Koenig,405,USA,PG,35000000,664
680,134455175,5826,T.I.,232,USA,R,35000000,904
387,79100000,24006,Joe Don Baker,261,USA,R,35000000,1000
1000,81159365,25661,Josh Gad,278,USA,PG-13,35000000,5000
213,110008260,1450,Josh Segarra,309,Japan,R,35000000,392
278,67962333,2689,Sherri Shepherd,160,USA,PG-13,35000000,358
362,78651430,15912,Jürgen Prochnow,457,USA,R,27000000,1000
210,64604977,19129,Paul Guilfoyle,625,USA,R,35000000,398
591,63939454,2968,Nicholas Braun,217,USA,PG,35000000,742
945,63826569,23504,Lauren Ambrose,138,USA,PG-13,35000000,957
25,60054449,1715,Jordan Lund,140,USA,R,35000000,759
574,26505000,42918,Amanda Wyss,668,USA,X,1800000,852
