director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,genres,cast_total_facebook_likes,movie_imdb_link,title_year,actor_2_facebook_likes
Tom Dey,143,9,Matthew McConaughey,Comedy|Romance,37967,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,2006,11000
Hideo Nakata,196,62,Gary Cole,Horror|Mystery,10163,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,2005,989
Glenn Ficarra,310,43,Emma Stone,Comedy|Drama|Romance,57426,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,2011,15000
Peter Hewitt,116,12,Mark Christopher Lawrence,Animation|Comedy|Family|Fantasy,13430,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,2004,258
Joe Roth,105,148,Cheech Marin,Comedy|Family,6729,http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1,2004,843
Bennett Miller,419,152,Robin Wright,Biography|Drama|Sport,53094,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,2011,18000
Wolfgang Petersen,64,249,Morgan Freeman,Action|Drama|Thriller,30383,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,1995,11000
Jaume Collet-Serra,359,174,Nate Parker,Action|Mystery|Thriller,16967,http://www.imdb.com/title/tt2024469/?ref_=fn_tt_tt_1,2014,664
Andy Fickman,166,99,Billy Brown,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,14007,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,2009,536
James McTeigue,525,160,Eddie Marsan,Action|Drama|Thriller,22417,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,2005,979
David Dobkin,165,71,Anna-Louise Plowman,Action|Adventure|Comedy,428,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,2003,131
,2,,Gemma Jones,Crime|Drama,1816,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,,171
Matthew O'Callaghan,87,5,Frank Welker,Adventure|Animation|Comedy|Family,11124,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,2006,2000
Angela Robinson,117,23,Thomas Lennon,Adventure|Comedy|Family|Fantasy|Romance|Sport,2177,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,2005,651
Gary Fleder,113,39,Jennifer Esposito,Crime|Drama|Mystery|Thriller,3341,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,2001,912
Tommy Wirkola,349,75,Derek Mears,Action|Fantasy|Horror,11946,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,2013,520
Adrian Lyne,152,213,Erik Per Sullivan,Drama|Thriller,2583,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,2002,593
D.J. Caruso,288,154,Emily Wickersham,Action|Adventure|Sci-Fi|Thriller,15608,http://www.imdb.com/title/tt1464540/?ref_=fn_tt_tt_1,2011,348
Stephen Gaghan,358,79,Amr Waked,Drama|Thriller,14747,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,2005,903
Michael Bay,204,0,James Badge Dale,Action|Drama|Thriller|War,3580,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,2016,726
Jorge R. Gutiérrez,156,34,Hector Elizondo,Adventure|Animation|Comedy|Family|Fantasy|Romance,19513,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,2014,995
Richard Loncraine,171,12,Harrison Ford,Crime|Thriller,101383,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,2006,11000
Clint Eastwood,76,16000,Mark Margolis,Action|Crime|Drama|Thriller,19139,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,1997,1000
Ridley Scott,97,0,Demi Moore,Action|Drama|War,15569,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,1997,2000
David Fincher,157,21000,Armin Mueller-Stahl,Drama|Mystery|Thriller,1397,http://www.imdb.com/title/tt0119174/?ref_=fn_tt_tt_1,1997,294
Christophe Gans,267,50,Deborah Kara Unger,Adventure|Horror|Mystery,1933,http://www.imdb.com/title/tt0384537/?ref_=fn_tt_tt_1,2006,495
Howard Deutch,118,41,Jon Favreau,Comedy|Sport,24024,http://www.imdb.com/title/tt0191397/?ref_=fn_tt_tt_1,2000,4000
Jon Hurwitz,291,22,Dania Ramirez,Comedy,8398,http://www.imdb.com/title/tt1605630/?ref_=fn_tt_tt_1,2012,1000
F. Gary Gray,68,473,Michael Cudlitz,Action|Crime|Drama|Mystery|Thriller,20152,http://www.imdb.com/title/tt0120768/?ref_=fn_tt_tt_1,1998,822
Steven Quale,228,77,Alycia Debnam-Carey,Action|Thriller,1367,http://www.imdb.com/title/tt2106361/?ref_=fn_tt_tt_1,2014,298
John Landis,36,644,Jon Tenney,Action|Comedy|Crime|Thriller,1093,http://www.imdb.com/title/tt0109254/?ref_=fn_tt_tt_1,1994,289
Joe Dante,105,287,Robert Picardo,Comedy|Fantasy|Horror,19610,http://www.imdb.com/title/tt0099700/?ref_=fn_tt_tt_1,1990,823
David Dobkin,276,71,Robert Duvall,Crime|Drama,30183,http://www.imdb.com/title/tt1872194/?ref_=fn_tt_tt_1,2014,3000
Mimi Leder,93,75,Holt McCallany,Action|Thriller,1289,http://www.imdb.com/title/tt0119874/?ref_=fn_tt_tt_1,1997,273
Alexander Witt,191,38,Thomas Kretschmann,Action|Horror|Sci-Fi|Thriller,16791,http://www.imdb.com/title/tt0318627/?ref_=fn_tt_tt_1,2004,919
Beeban Kidron,143,17,Jim Broadbent,Comedy|Drama|Romance,15634,http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1,2004,1000
Carl Franklin,124,73,Sanaa Lathan,Crime|Drama|Romance|Thriller,19739,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,2003,886
Steven Seagal,47,0,Joan Chen,Action|Adventure|Thriller,1860,http://www.imdb.com/title/tt0110725/?ref_=fn_tt_tt_1,1994,643
Robert Rodriguez,66,0,Kristin Davis,Action|Adventure|Family|Fantasy,14899,http://www.imdb.com/title/tt0424774/?ref_=fn_tt_tt_1,2005,722
Danny Boyle,118,0,Virginie Ledoyen,Adventure|Drama|Thriller,29461,http://www.imdb.com/title/tt0163978/?ref_=fn_tt_tt_1,2000,414
Garry Marshall,93,0,Felicity Huffman,Comedy|Drama|Romance,2052,http://www.imdb.com/title/tt0350028/?ref_=fn_tt_tt_1,2004,508
James McTeigue,235,160,Ben Miles,Action|Crime|Thriller,701,http://www.imdb.com/title/tt1186367/?ref_=fn_tt_tt_1,2009,119
Sam Raimi,113,0,Kelly Preston,Drama|Romance|Sport,25469,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,1999,743
,14,,Bruce Alexander,Crime|Drama|Mystery,344,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,,7
Andrew Bergman,51,31,Rumer Willis,Comedy|Crime|Drama|Thriller,3016,http://www.imdb.com/title/tt0117765/?ref_=fn_tt_tt_1,1996,472
Tom Dey,98,9,Judy Greer,Comedy|Family,20061,http://www.imdb.com/title/tt1392197/?ref_=fn_tt_tt_1,2010,2000
Clint Eastwood,315,16000,Jay Mohr,Drama|Fantasy,14344,http://www.imdb.com/title/tt1212419/?ref_=fn_tt_tt_1,2010,563
Barbet Schroeder,136,58,Chris Penn,Crime|Mystery|Thriller,34606,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,2002,455
Richard Donner,61,503,Sylvester Stallone,Action|Crime|Thriller,58528,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1,1995,13000
Peter Webber,209,73,Stephen Walters,Crime|Drama|Thriller,1344,http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1,2007,184
Rob Reiner,99,0,Tim Matheson,Comedy|Drama|Romance,14706,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,1999,559
Andrew Niccol,298,487,Chandler Canterbury,Action|Adventure|Romance|Sci-Fi|Thriller,1300,http://www.imdb.com/title/tt1517260/?ref_=fn_tt_tt_1,2013,329
John McTiernan,131,323,Harry Connick Jr.,Action|Crime|Drama|Mystery|Thriller,3357,http://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1,2003,631
Clint Eastwood,146,16000,Anjelica Huston,Action|Crime|Drama|Mystery|Thriller,18635,http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1,2002,1000
Tom Tykwer,245,670,Brían F. O'Byrne,Action|Crime|Drama|Mystery|Thriller,7654,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,2009,450
John Carpenter,104,0,Valeria Golino,Action|Adventure|Sci-Fi|Thriller,15935,http://www.imdb.com/title/tt0116225/?ref_=fn_tt_tt_1,1996,898
,4,,Brittany Curran,Drama|Mystery|Thriller,2758,http://www.imdb.com/title/tt2355844/?ref_=fn_tt_tt_1,,512
Brad Bird,162,663,Harry Connick Jr.,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,16358,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,1999,631
Wes Anderson,259,0,Anjelica Huston,Adventure|Comedy|Drama,15757,http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1,2004,1000
Gary Ross,79,378,Donald Watkins,Action|Biography|Drama|History|War,12786,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1,2016,552
Alan Parker,141,317,Kate Winslet,Crime|Drama|Thriller,32637,http://www.imdb.com/title/tt0289992/?ref_=fn_tt_tt_1,2003,14000
Stephen Herek,59,65,Vanessa Ferlito,Action|Comedy,6171,http://www.imdb.com/title/tt0331933/?ref_=fn_tt_tt_1,2005,923
Jaume Collet-Serra,236,174,Common,Action|Crime|Drama|Thriller,16992,http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1,2015,988
David Cronenberg,356,0,Naomi Watts,Crime|Mystery|Thriller,17211,http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,2007,6000
John Stockwell,120,134,James Frain,Action|Adventure|Crime|Thriller,25049,http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1,2005,1000
Luc Besson,111,0,David Bailie,Adventure|Biography|Drama|History|War,144,http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1,1999,40
David Gordon Green,208,234,Zooey Deschanel,Adventure|Comedy|Fantasy,45202,http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1,2011,11000
Jim Sheridan,174,260,Gregory Smith,Drama|Mystery|Thriller,8018,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,2011,694
Costa-Gavras,59,333,Blythe Danner,Crime|Drama|Thriller,2606,http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1,1997,713
Patrick Read Johnson,22,32,Lara Flynn Boyle,Adventure|Comedy|Crime|Drama|Family,2949,http://www.imdb.com/title/tt0109190/?ref_=fn_tt_tt_1,1994,619
Roland Joffé,34,596,Robert Duvall,Drama|Romance,15820,http://www.imdb.com/title/tt0114345/?ref_=fn_tt_tt_1,1995,3000
Doug Liman,214,218,Ty Burrell,Biography|Drama|Thriller,10191,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,2010,3000
,28,,Tony Curran,Action|Drama|Sci-Fi,5381,http://www.imdb.com/title/tt2189221/?ref_=fn_tt_tt_1,,845
Tony Scott,186,12000,Mo'Nique,Action|Biography|Crime|Drama|Thriller,5702,http://www.imdb.com/title/tt0421054/?ref_=fn_tt_tt_1,2005,940
William Friedkin,50,607,Chazz Palminteri,Crime|Drama|Thriller,5461,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1,1995,979
Mark Neveldine,180,83,Logan Lerman,Action|Sci-Fi|Thriller,29926,http://www.imdb.com/title/tt1034032/?ref_=fn_tt_tt_1,2009,8000
Richard LaGravenese,231,98,Zoey Deutch,Drama|Fantasy|Romance,3580,http://www.imdb.com/title/tt1559547/?ref_=fn_tt_tt_1,2013,852
Danny DeVito,105,0,Vincent Schiavelli,Comedy|Crime|Drama|Thriller,52885,http://www.imdb.com/title/tt0266452/?ref_=fn_tt_tt_1,2002,811
Ben Stiller,226,0,Will Ferrell,Comedy,24107,http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1,2016,8000
George Armitage,75,5,Andrew Wilson,Comedy|Crime,11972,http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1,2004,387
Mike Nichols,82,0,Linda Fiorentino,Comedy|Sci-Fi,3954,http://www.imdb.com/title/tt0181151/?ref_=fn_tt_tt_1,2000,602
Patrick Lussier,296,71,Billy Burke,Action|Fantasy|Thriller,16481,http://www.imdb.com/title/tt1502404/?ref_=fn_tt_tt_1,2011,2000
Andrzej Bartkowiak,103,43,Robin Shou,Action|Crime|Drama|Mystery|Thriller,1385,http://www.imdb.com/title/tt0891592/?ref_=fn_tt_tt_1,2009,342
James Wong,98,70,Jet Li,Action|Sci-Fi|Thriller,32831,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,2001,5000
,30,,Graham McTavish,Drama|Romance|Sci-Fi,1863,http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1,,531
