director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Jerry Zaks,98,4,11000,29000,12782508,Drama,Marvin's Room ,20163,63194,house|leukemia|mental institution|nursing home|transplant,http://www.imdb.com/title/tt0116999/?ref_=fn_tt_tt_1,English,PG-13,23000000,1996,22000,1.85,1000
Fred Durst,94,258,424,721,11508423,Biography|Comedy|Drama|Family|Sport,The Longshots ,3174,2453,absent father|american football|based on true story|middle school,http://www.imdb.com/title/tt1091751/?ref_=fn_tt_tt_1,English,PG,23000000,2008,463,2.35,376
Neil Jordan,102,277,57,327,10660147,Drama|Romance,The End of the Affair ,17740,672,breasts|jealousy|obsession|sex scene|spiritual,http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1,English,R,23000000,1999,261,1.85,0
Simon Wincer,98,23,982,1000,7434726,Action|Crime|Drama|Thriller|Western,Harley Davidson and the Marlboro Man ,14473,3671,bar|biker|cowboy|drugs|marlboro,http://www.imdb.com/title/tt0102005/?ref_=fn_tt_tt_1,English,R,23000000,1991,1000,1.85,0
Paul Haggis,121,549,883,11000,6777589,Crime|Drama|Mystery|Thriller,In the Valley of Elah ,60115,24248,detective|iraq|military|murder investigation|police,http://www.imdb.com/title/tt0478134/?ref_=fn_tt_tt_1,English,R,,2007,9000,2.35,0
Anne Fontaine,111,105,64,527,6109075,Biography|Drama,Coco Before Chanel ,32003,735,baron|fashion|hat|nickname|orphanage,http://www.imdb.com/title/tt1035736/?ref_=fn_tt_tt_1,French,PG-13,19430000,2009,86,2.35,0
Jon Cassar,90,78,720,2000,,Drama|Western,Forsaken ,4693,4142,,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,English,R,11000000,2015,1000,2.35,0
Stephen Frears,100,350,30,201,2708188,Comedy|Drama|Romance,Chéri ,8924,365,age difference|courtesan|mansion|marriage|prostitute,http://www.imdb.com/title/tt1179258/?ref_=fn_tt_tt_1,English,R,23000000,2009,123,2.35,0
,50,,543,787,,Action|Crime|Drama|Thriller,Rogue             ,1781,3276,cheating wife|extramarital affair|female lead|undercover|unfaithfulness,http://www.imdb.com/title/tt2397255/?ref_=fn_tt_tt_1,English,,,,748,,532
Mira Nair,141,300,73,805,16123851,Drama,Vanity Fair ,17373,1618,aristocrat|english|painter|painting|singer,http://www.imdb.com/title/tt0241025/?ref_=fn_tt_tt_1,English,PG-13,23000000,2004,539,2.35,767
Teddy Chan,139,3,107,556,,Action|Drama|History,Bodyguards and Assassins ,6263,1059,giant|hong kong|hook and chain|knife fight|martial artist,http://www.imdb.com/title/tt1403130/?ref_=fn_tt_tt_1,Mandarin,,23000000,2009,155,2.35,765
Mikael Håfström,114,101,23,129,71975611,Fantasy|Horror,1408 ,209396,214,book|debunking|evil|hotel|paranormal phenomena,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1,English,PG-13,25000000,2007,25,2.35,11000
Mel Brooks,96,0,542,1000,38119483,Adventure|Comedy|Sci-Fi,Spaceballs ,136667,2936,parody|planet enclosed within shield|sci fi spoof|self referential|winnebago,http://www.imdb.com/title/tt0094012/?ref_=fn_tt_tt_1,English,PG,22700000,1987,605,1.85,13000
Russell Crowe,111,0,234,523,4190530,Drama|War,The Water Diviner ,53341,1795,australian|battle|battle of gallipoli|gallipoli|world war one,http://www.imdb.com/title/tt3007512/?ref_=fn_tt_tt_1,English,R,22500000,2014,468,2.35,18000
Jerry Zucker,127,109,71,2000,217631306,Drama|Fantasy|Romance|Thriller,Ghost ,154199,3100,death|film blanc|invisibility|love|unrequited love,http://www.imdb.com/title/tt0099653/?ref_=fn_tt_tt_1,English,PG-13,22000000,1990,956,1.85,0
Bobby Farrelly,107,101,743,931,176483808,Comedy|Romance,There's Something About Mary ,247289,4664,accident|curtain call|dream girl|high school|prom,http://www.imdb.com/title/tt0129387/?ref_=fn_tt_tt_1,English,R,23000000,1998,852,1.85,0
John Pasquin,97,11,595,901,144833357,Comedy|Drama|Family|Fantasy,The Santa Clause ,64742,2790,1990s|christmas|christmas eve|sleigh|surrealism,http://www.imdb.com/title/tt0111070/?ref_=fn_tt_tt_1,English,PG,22000000,1994,775,1.85,0
John Lee Hancock,127,102,1000,2000,75597042,Drama|Family|Sport,The Rookie ,26434,6657,baseball|coach|high school|pitching|texas,http://www.imdb.com/title/tt0265662/?ref_=fn_tt_tt_1,English,G,20000000,2002,1000,2.35,0
Andy Fickman,110,99,835,12000,90636983,Comedy|Family|Sport,The Game Plan ,44021,15170,family relationships|football movie|publicist|sports team|tween girl,http://www.imdb.com/title/tt0492956/?ref_=fn_tt_tt_1,English,PG,22000000,2007,941,2.35,0
Clint Eastwood,135,16000,86,16000,70960517,Drama|Romance,The Bridges of Madison County ,54631,27237,1960s|bridge|housewife|love|photographer,http://www.imdb.com/title/tt0112579/?ref_=fn_tt_tt_1,English,PG-13,35000000,1995,11000,1.85,0
Luke Greenfield,84,42,182,436,55762229,Comedy|Sci-Fi,The Animal ,47383,1203,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal,http://www.imdb.com/title/tt0255798/?ref_=fn_tt_tt_1,English,PG-13,22000000,2001,241,1.85,1000
Richard Attenborough,240,0,249,545,,Biography|Drama|History,Gandhi ,171726,1943,british|india|indian|muslim|pakistan,http://www.imdb.com/title/tt0083987/?ref_=fn_tt_tt_1,English,PG,22000000,1982,429,2.35,12000
Lasse Hallström,122,529,171,820,54235441,Comedy|Drama,The Hundred-Foot Journey ,52894,1484,chef|haute cuisine|indian cuisine|michelin guide|restaurant,http://www.imdb.com/title/tt2980648/?ref_=fn_tt_tt_1,English,PG,22000000,2014,201,2.35,55000
Irwin Winkler,114,34,287,649,50728000,Action|Crime|Drama|Mystery|Thriller,The Net ,48909,1725,chat room|computer|computer hacker|identity|identity theft,http://www.imdb.com/title/tt0113957/?ref_=fn_tt_tt_1,English,PG-13,22000000,1995,327,1.85,0
Jessie Nelson,132,24,506,967,40270895,Drama,I Am Sam ,121937,3152,child custody|custody battle|disability|mentally impaired man|single father,http://www.imdb.com/title/tt0277027/?ref_=fn_tt_tt_1,English,PG-13,22000000,2001,912,1.85,15000
Christopher Spencer,170,25,55,329,59696176,Biography|Drama|History,Son of God ,15448,775,bare chested male bondage|crucifixion|loincloth|reference to god|resurrection,http://www.imdb.com/title/tt3210686/?ref_=fn_tt_tt_1,English,PG-13,22000000,2014,134,2.35,15000
Len Wiseman,133,235,105,955,51483949,Action|Fantasy|Thriller,Underworld ,208092,1777,blood|death|hybrid|vampire|werewolf,http://www.imdb.com/title/tt0320691/?ref_=fn_tt_tt_1,English,R,22000000,2003,593,2.35,0
Mikael Håfström,112,101,218,896,36020063,Drama|Thriller,Derailed ,62584,2019,drink|hotel|police|staged rape|thief,http://www.imdb.com/title/tt0398017/?ref_=fn_tt_tt_1,English,R,22000000,2005,561,2.35,0
Steven Soderbergh,108,0,690,13000,33313582,Comedy|Crime|Drama|Thriller,The Informant! ,52888,16031,compulsive liar|fbi|informant|investigation|spy,http://www.imdb.com/title/tt1130080/?ref_=fn_tt_tt_1,English,R,21000000,2009,734,1.85,0
Richard Attenborough,115,0,266,12000,25842000,Biography|Drama|Romance,Shadowlands ,13455,13619,author|book|england|friend|oxford,http://www.imdb.com/title/tt0108101/?ref_=fn_tt_tt_1,English,PG,22000000,1993,1000,2.35,2000
Mike Bigelow,83,2,137,591,22264487,Comedy,Deuce Bigalow: European Gigolo ,41239,1729,dolphin|gigolo|pimp|serial killer|villain arrested,http://www.imdb.com/title/tt0367652/?ref_=fn_tt_tt_1,English,R,22000000,2005,489,1.85,887
Ken Scott,105,31,110,390,30659817,Comedy|Drama,Delivery Man ,59805,1006,children|identity|lawsuit|lawyer|sperm donor,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1,English,PG-13,26000000,2013,311,2.35,0
Paul McGuigan,110,118,287,11000,5773519,Drama|Horror|Sci-Fi|Thriller,Victor Frankenstein ,28621,12876,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,English,PG-13,40000000,2015,1000,2.35,11000
Susanna White,108,24,100,150,3108216,Thriller,Our Kind of Traitor ,2587,540,based on novel|male frontal nudity|male nudity|male rear nudity,http://www.imdb.com/title/tt1995390/?ref_=fn_tt_tt_1,English,R,,2016,104,2.35,0
Dennis Dugan,96,221,110,240,19351569,Comedy|Crime|Romance,Saving Silverman ,33287,664,female nudity|friend|kidnapping|love|nun,http://www.imdb.com/title/tt0239948/?ref_=fn_tt_tt_1,English,PG-13,22000000,2001,226,1.85,739
David Bowers,94,42,517,975,49002815,Comedy|Family,Diary of a Wimpy Kid: Dog Days ,15665,3153,best friend|camping|country club|no opening credits|summer vacation,http://www.imdb.com/title/tt2023453/?ref_=fn_tt_tt_1,English,PG,22000000,2012,569,2.35,0
Spike Lee,142,0,854,978,19283782,Crime|Drama|Romance|Thriller,Summer of Sam ,31227,5386,distrust|fear|murder|neighborhood|new york city,http://www.imdb.com/title/tt0162677/?ref_=fn_tt_tt_1,English,R,22000000,1999,911,1.85,0
Kevin Smith,104,0,898,8000,30059386,Comedy,Jay and Silent Bob Strike Back ,128593,11632,internet|jay and silent bob|new jersey|orangutan|police,http://www.imdb.com/title/tt0261392/?ref_=fn_tt_tt_1,English,R,22000000,2001,1000,2.35,0
Michael Bay,136,0,3000,19000,35799026,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,263336,34838,clone|environment|escape|island|lottery,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1,English,PG-13,126000000,2005,12000,2.35,0
Daniel Sackheim,106,12,595,962,17951431,Crime|Drama|Mystery|Thriller,The Glass House ,25462,4239,car|car accident|death|friend|glass,http://www.imdb.com/title/tt0221218/?ref_=fn_tt_tt_1,English,PG-13,30000000,2001,844,2.35,804
Ethan Coen,106,1000,1000,19000,29997095,Comedy|Mystery,Hail, Caesar! ,60926,38494,50s|film within a film|hollywood|illegitimate pregnancy|twins,http://www.imdb.com/title/tt0475290/?ref_=fn_tt_tt_1,English,PG-13,22000000,2016,17000,1.85,23000
Harry Elfont,98,4,83,3000,14252830,Comedy|Music,Josie and the Pussycats ,18900,3769,based on tv series|fictional band|girl band|music industry|pop band,http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1,English,PG-13,22000000,2001,486,1.85,0
Gary Fleder,100,39,798,26000,19783777,Action|Crime|Drama|Thriller,Homefront ,82804,39989,biker|biker gang|dea|dea agent|fight,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1,English,R,22000000,2013,11000,2.35,15000
Uli Edel,95,34,368,554,13555988,Adventure|Comedy|Family|Fantasy,The Little Vampire ,7242,2216,boy|pushed off a cliff|rat|secret passage|vampire,http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1,English,PG,22000000,2000,439,1.85,0
David O. Russell,107,737,678,6000,12784713,Comedy,I Heart Huckabees ,56813,8094,coincidence|cult film|overalls|suburb|vomiting,http://www.imdb.com/title/tt0356721/?ref_=fn_tt_tt_1,English,R,22000000,2004,718,2.35,0
Fred Dekker,104,87,691,1000,10696210,Action|Crime|Sci-Fi|Thriller,RoboCop 3 ,35018,3148,android|corporation|ninja|police|robocop,http://www.imdb.com/title/tt0107978/?ref_=fn_tt_tt_1,English,PG-13,23500000,1993,826,1.85,716
Brian Trenchard-Smith,104,53,576,2000,5974653,Action|Adventure|Fantasy|Sci-Fi|Thriller,Megiddo: The Omega Code 2 ,2253,4221,armageddon|battle|end times|reference to satan|sequel,http://www.imdb.com/title/tt0263728/?ref_=fn_tt_tt_1,English,PG-13,22000000,2001,595,1.85,158
Blake Edwards,143,688,42,638,5000000,Comedy|Drama|Musical|Romance|War,Darling Lili ,1547,788,crepe suzette|french|mata hari spoof|song|spy,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,English,G,25000000,1970,50,2.35,104
Hugh Wilson,77,37,795,3000,9694105,Comedy|Family|Romance,Dudley Do-Right ,8176,5568,gold|gold rush|mirror|police officer|singer,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,English,PG,22000000,1999,968,2.35,272
Camille Delamarre,96,11,150,805,16027866,Action|Crime|Thriller,The Transporter Refueled ,26767,1411,airfield|car|car stunt|driver|private jet,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,English,PG-13,25000000,2015,173,2.35,0
Laurence Dunmore,114,2,567,40000,4829497,Drama|Romance,The Libertine ,31433,42484,ambassador|charles ii|earl|mistress|poet,http://www.imdb.com/title/tt0375920/?ref_=fn_tt_tt_1,English,R,,2004,1000,2.35,0
Paul Verhoeven,145,719,104,2000,4398392,Drama|Thriller|War,Black Book ,59507,2590,boat|escape|hiding|nazi|resistance,http://www.imdb.com/title/tt0389557/?ref_=fn_tt_tt_1,Dutch,R,21000000,2006,380,2.35,0
Christian Carion,116,13,140,203,1050445,Drama|History|Music|Romance|War,Joyeux Noel ,21394,773,christmas|no man's land|soldier|trench|world war one,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,French,PG-13,22000000,2005,172,2.35,11000
David Palmer,100,21,552,14000,13746550,Action|Comedy|Romance,Hit and Run ,29322,15922,gay cop|getaway driver|masturbation|penis|witness protection,http://www.imdb.com/title/tt2097307/?ref_=fn_tt_tt_1,English,R,2000000,2012,618,2.35,0
Callie Khouri,104,144,290,939,20668843,Comedy|Crime|Thriller,Mad Money ,16831,2453,bank|federal reserve bank|money|security guard|shredder,http://www.imdb.com/title/tt0951216/?ref_=fn_tt_tt_1,English,PG-13,22000000,2008,875,2.35,687
Rowan Joffe,92,17,231,14000,2963012,Drama|Mystery|Thriller,Before I Go to Sleep ,48873,14617,amnesia|female nudity|infidelity|nudity|therapist,http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1,English,R,22000000,2014,257,2.35,11000
William Friedkin,92,607,35,813,,Adventure|Drama|Thriller,Sorcerer ,9513,1011,fire|jungle|money|oil drilling|truck,http://www.imdb.com/title/tt0076740/?ref_=fn_tt_tt_1,English,PG,12000000,1977,85,1.85,0
John Curran,105,43,827,22000,1796024,Drama|Thriller,Stone ,34985,37766,arsonist|blood splatter on face|deception|parole|parole officer,http://www.imdb.com/title/tt1423995/?ref_=fn_tt_tt_1,English,R,22000000,2010,14000,2.35,0
Laurent Tirard,120,2,80,809,634277,Comedy|History,Molière ,5166,1651,deathbed|play|playwright|prison|theater,http://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1,French,PG-13,16000000,2007,521,2.35,815
Scott Cooper,116,108,120,23000,11326836,Crime|Drama|Thriller,Out of the Furnace ,83171,24134,ambiguous ending|brother brother relationship|drug dealer|fight club|revenge,http://www.imdb.com/title/tt1206543/?ref_=fn_tt_tt_1,English,R,22000000,2013,820,2.35,17000
Tony Gilroy,119,209,521,1000,49024969,Crime|Drama|Mystery|Thriller,Michael Clayton ,133367,3284,attorney|debt|fixer|law|law firm,http://www.imdb.com/title/tt0465538/?ref_=fn_tt_tt_1,English,R,25000000,2007,896,2.35,0
Peter Segal,101,88,812,957,22294341,Adventure|Comedy,My Fellow Americans ,12278,4629,gay pride|highway travel|president|road movie|u.s. president,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1,English,PG-13,21500000,1996,821,1.85,758
Mark Pellington,117,89,442,12000,24362501,Crime|Drama|Thriller,Arlington Road ,69980,13576,death|fbi|fbi agent|neighbor|professor,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1,English,R,21500000,1999,541,2.35,0
Juan José Campanella,106,195,0,20,,Adventure|Animation|Family|Sport,Underdogs ,6920,30,funfair|luna park|table football|toy comes to life|wig,http://www.imdb.com/title/tt1634003/?ref_=fn_tt_tt_1,Spanish,PG,22000000,2013,10,2.35,0
Woody Allen,112,11000,159,385,16684352,Comedy|Romance,To Rome with Love ,67893,1205,architect|celebrity|prostitute|shower|tourist,http://www.imdb.com/title/tt1859650/?ref_=fn_tt_tt_1,English,R,17000000,2012,223,1.85,18000
Clint Eastwood,136,16000,216,16000,46700000,Action|Adventure|Thriller,Firefox ,19832,16805,fighter plane|jet fighter|refueling|russia|soviet union,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1,English,PG,21000000,1982,281,2.35,0
Trey Parker,81,406,406,893,52008288,Animation|Comedy|Fantasy|Musical,South Park: Bigger Longer & Uncut ,162037,3003,boy|canada|hell|misunderstanding|refrence to liza minnelli,http://www.imdb.com/title/tt0158983/?ref_=fn_tt_tt_1,English,R,21000000,1999,795,1.85,0
Frank Oz,87,0,548,22000,8579684,Comedy,Death at a Funeral ,89547,24324,end credits roll call|four word title|funeral|secret|uncle,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,English,R,9000000,2007,557,1.85,0
Stuart Gillard,96,8,199,533,42660000,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Teenage Mutant Ninja Turtles III ,25086,1254,battle|japan|magic|samurai|turtle,http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1,English,PG,17000000,1993,219,1.85,1000
Brian Robbins,106,48,39,18000,40219708,Drama|Sport,Hardball ,22649,18630,coach|gambling|housing project|little league|little league baseball,http://www.imdb.com/title/tt0180734/?ref_=fn_tt_tt_1,English,PG-13,21000000,2001,558,1.85,0
David O. Russell,122,737,14000,34000,132088910,Comedy|Drama|Romance,Silver Linings Playbook ,533607,72115,adulterous wife|bipolar disorder|obsessive compulsive personality disorder|unhappy marriage|widow,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,English,R,21000000,2012,22000,2.35,117000
Richard LaGravenese,123,98,579,2000,36581633,Biography|Crime|Drama,Freedom Writers ,52533,3994,gang violence|high school|journal|marriage|teacher,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1,English,PG-13,21000000,2007,826,1.85,10000
Tyler Perry,133,0,637,1000,37721949,Drama,For Colored Girls ,6067,6035,african american protagonist|female protagonist|multi protagonist|poem|three word title,http://www.imdb.com/title/tt1405500/?ref_=fn_tt_tt_1,English,R,,2010,912,1.85,0
Louis Leterrier,92,255,447,26000,25296447,Action|Crime|Thriller,The Transporter ,237248,27572,bar|gunfight|human trafficking|mixed martial arts|tire iron,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1,English,PG-13,21000000,2002,1000,2.35,0
Jeff Wadlow,110,65,149,3000,24848292,Action|Drama|Sport,Never Back Down ,80556,4089,club|fight|fighting|high school|mixed martial arts,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1,English,PG-13,20000000,2008,427,2.35,0
Katt Shea,104,52,484,711,17757087,Horror|Sci-Fi|Thriller,The Rage: Carrie 2 ,13065,3162,high school|party|prom|suicide|teenage girl,http://www.imdb.com/title/tt0144814/?ref_=fn_tt_tt_1,English,R,21000000,1999,490,1.85,897
,60,,,98,,Game-Show|Reality-TV|Romance,The Bachelor             ,4398,98,bachelor|seeking love|single guy|tv host|women rivals for man,http://www.imdb.com/title/tt0313038/?ref_=fn_tt_tt_1,English,,3000000,,,,141
Sam Mendes,98,0,374,925,9430988,Comedy|Drama|Romance,Away We Go ,45992,1997,baby|children|friend|love|road trip,http://www.imdb.com/title/tt1176740/?ref_=fn_tt_tt_1,English,R,17000000,2009,472,2.35,7000
Joshua Michael Stern,120,0,886,1000,16284360,Comedy|Drama,Swing Vote ,15079,6212,ballot|election|new mexico|vote|voting,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1,English,PG-13,21000000,2008,901,2.35,1000
Brad Silberling,112,52,347,15000,6830957,Drama|Romance,Moonlight Mile ,11983,16692,1970s|death|district attorney|fiancee|watching television,http://www.imdb.com/title/tt0179098/?ref_=fn_tt_tt_1,English,PG-13,21000000,2002,1000,2.35,365
Tomas Alfredson,127,140,10000,19000,24104113,Drama|Mystery|Thriller,Tinker Tailor Soldier Spy ,149066,46241,cold war|hungary|mole|spy|woman on top,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,English,R,20000000,2011,14000,2.35,24000
John Duigan,102,18,186,670,15593,Comedy|Drama|Romance,Molly ,2295,1562,autism|experimental surgery|female nudity|forename as title|regression,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,English,PG-13,21000000,1999,419,1.85,284
Jodie Foster,91,0,220,34000,958319,Drama,The Beaver ,39764,34705,beaver puppet|depression|dysfunctional family|puppet|speech,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1,English,PG-13,21000000,2011,242,2.35,17000
Colin Higgins,114,19,842,1000,69700000,Comedy|Musical,The Best Little Whorehouse in Texas ,7748,3688,chicken|governor|locker room|sheriff|texas,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,English,R,35000000,1982,883,2.35,0
David Cronenberg,115,0,716,1000,2840417,Horror|Sci-Fi|Thriller,eXistenZ ,77493,2990,assassin|game|game designer|pod|virtual reality,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,English,R,31000000,1999,900,1.85,6000
Steven Spielberg,115,14000,488,11000,242374454,Action|Adventure,Raiders of the Lost Ark ,661017,12906,archeological dig|archeologist|ark of the covenant|egypt|nazi,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,English,PG,18000000,1981,783,2.35,16000
Chris Columbus,120,0,1000,3000,173585516,Adventure|Comedy|Family,Home Alone 2: Lost in New York ,200077,7860,airport|christmas|florida|new york city|toy store,http://www.imdb.com/title/tt0104431/?ref_=fn_tt_tt_1,English,PG,18000000,1992,1000,1.85,0
Steven Spielberg,135,14000,252,559,128300000,Drama|Sci-Fi,Close Encounters of the Third Kind ,139288,1591,alien|close encounter of the third kind|mothership|ufo|vision,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,English,PG,19400870,1977,481,2.35,0
Jim Sonzero,90,2,807,16000,20259297,Drama|Horror|Sci-Fi|Thriller,Pulse ,24969,19952,cell phone|computer|computer hacker|e mail|technology,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1,English,PG-13,20000000,2006,1000,2.35,0
Tony Scott,100,12000,605,936,153665036,Action|Comedy|Crime|Thriller,Beverly Hills Cop II ,84824,4121,detective|police|police chief|robbery|tall woman,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,English,R,28000000,1987,901,2.35,0
Adam Shankman,105,163,338,1000,132541238,Comedy,Bringing Down the House ,30058,2505,divorce|lawyer|spanking|villain arrested|wrongful conviction,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,English,PG-13,33000000,2003,409,2.35,800
Jonathan Demme,138,438,173,12000,130727000,Crime|Drama|Horror|Thriller,The Silence of the Lambs ,887467,13184,case file|fbi agent|psycho thriller|psychopath|serial killer,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,English,R,19000000,1991,826,1.85,40000
Penelope Spheeris,94,122,617,1000,121697350,Comedy|Music,Wayne's World ,114610,4263,basement|lead actor's first film|long hair|public access|title directed by female,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,English,PG-13,20000000,1992,619,1.85,0
Jeff Tremaine,101,79,218,608,117224271,Action|Comedy|Documentary,Jackass 3D ,47794,1787,full frontal male nudity|man wearing a jock strap|man wearing a thong|rear male nudity|stripped prison uniform,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,English,R,20000000,2010,362,1.78,0
Jeannot Szwarc,131,82,85,813,102922376,Adventure|Horror|Thriller,Jaws 2 ,51314,1520,great white shark|island|mayor|police chief|shark,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,English,PG,20000000,1978,366,2.35,0
Raja Gosnell,91,67,597,2000,94497271,Adventure|Comedy|Drama|Family|Romance,Beverly Hills Chihuahua ,17829,4729,chihuahua|german shepherd|mexico|potted plant|tijuana mexico,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,English,PG,20000000,2008,641,2.35,0
