director_name,director_facebook_likes,actor_1_facebook_likes,genres,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,movie_facebook_likes
Jeff Tremaine,79,608,Action|Comedy|Documentary,Jackass Number Two ,56595,0,http://www.imdb.com/title/tt0493430/?ref_=fn_tt_tt_1,English,USA,2006,362,641
Jonathan Lynn,36,886,Comedy|Crime,My Cousin Vinny ,82743,1,http://www.imdb.com/title/tt0104952/?ref_=fn_tt_tt_1,English,USA,1992,655,7000
R.J. Cutler,15,17000,Drama|Fantasy|Music|Romance,If I Stay ,83893,3,http://www.imdb.com/title/tt1355630/?ref_=fn_tt_tt_1,English,USA,2014,1000,15000
Brian Trenchard-Smith,53,84,Action|Comedy|Crime,Drive Hard ,3104,2,http://www.imdb.com/title/tt2968804/?ref_=fn_tt_tt_1,English,Canada,2014,37,774
David S. Ward,42,1000,Comedy|Sport,Major League ,49007,3,http://www.imdb.com/title/tt0097815/?ref_=fn_tt_tt_1,English,USA,1989,854,0
Oliver Parker,32,785,Comedy,St. Trinian's ,18220,5,http://www.imdb.com/title/tt0964587/?ref_=fn_tt_tt_1,English,UK,2007,692,0
Joel Schumacher,541,991,Crime|Thriller,Phone Booth ,207934,0,http://www.imdb.com/title/tt0183649/?ref_=fn_tt_tt_1,English,USA,2002,465,0
Adam Shankman,163,683,Drama|Romance,A Walk to Remember ,162701,1,http://www.imdb.com/title/tt0281358/?ref_=fn_tt_tt_1,English,USA,2002,548,19000
Tim Robbins,0,276,Crime|Drama,Dead Man Walking ,73193,0,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1,English,UK,1995,258,0
Roger Kumble,16,4000,Drama|Romance,Cruel Intentions ,149222,3,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,English,USA,1999,656,0
Kevin Greutert,52,723,Horror|Mystery,Saw VI ,76207,0,http://www.imdb.com/title/tt1233227/?ref_=fn_tt_tt_1,English,Canada,2009,651,0
Mel Brooks,0,1000,Comedy,History of the World: Part I ,36559,0,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,English,USA,1981,898,0
Gina Prince-Bythewood,107,664,Drama,The Secret Life of Bees ,19440,5,http://www.imdb.com/title/tt0416212/?ref_=fn_tt_tt_1,English,USA,2008,551,0
Rob Pritts,5,584,Comedy|Crime,Corky Romano ,10966,1,http://www.imdb.com/title/tt0250310/?ref_=fn_tt_tt_1,English,USA,2001,580,365
Brian De Palma,0,636,Crime|Drama|Thriller,Raising Cain ,9903,0,http://www.imdb.com/title/tt0105217/?ref_=fn_tt_tt_1,English,USA,1992,330,541
Norman Jewison,278,13000,Drama,F.I.S.T. ,5561,2,http://www.imdb.com/title/tt0077531/?ref_=fn_tt_tt_1,English,USA,1978,595,745
Tobe Hooper,365,425,Horror|Sci-Fi,Invaders from Mars ,5187,0,http://www.imdb.com/title/tt0091276/?ref_=fn_tt_tt_1,English,USA,1986,394,902
John Crowley,34,838,Drama|Romance,Brooklyn ,73249,1,http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1,English,UK,2015,55,36000
Stanley Kubrick,0,385,Adventure|Drama|History|War,Barry Lyndon ,101627,0,http://www.imdb.com/title/tt0072684/?ref_=fn_tt_tt_1,English,UK,1975,293,0
Brendan Malloy,2,799,Comedy|Sport,Out Cold ,14656,0,http://www.imdb.com/title/tt0253798/?ref_=fn_tt_tt_1,English,USA,2001,711,0
Reginald Hudlin,71,8000,Comedy,The Ladies Man ,10777,1,http://www.imdb.com/title/tt0213790/?ref_=fn_tt_tt_1,English,USA,2000,723,671
Dustin Hoffman,0,358,Comedy|Drama,Quartet ,15684,4,http://www.imdb.com/title/tt1441951/?ref_=fn_tt_tt_1,English,UK,2012,156,13000
Gregory Poirier,5,1000,Comedy,Tomcats ,15427,0,http://www.imdb.com/title/tt0246989/?ref_=fn_tt_tt_1,English,USA,2001,660,449
Bill Paxton,0,11000,Crime|Drama|Thriller,Frailty ,59982,0,http://www.imdb.com/title/tt0264616/?ref_=fn_tt_tt_1,English,USA,2001,472,5000
Simon Curtis,64,16000,Biography|Drama|History,Woman in Gold ,33856,2,http://www.imdb.com/title/tt2404425/?ref_=fn_tt_tt_1,English,UK,2015,638,34000
Bill Condon,386,14000,Biography|Drama,Kinsey ,42689,0,http://www.imdb.com/title/tt0362269/?ref_=fn_tt_tt_1,English,USA,2004,1000,0
Sam Raimi,0,901,Comedy|Fantasy|Horror,Army of Darkness ,128850,0,http://www.imdb.com/title/tt0106308/?ref_=fn_tt_tt_1,English,USA,1992,888,10000
Dewey Nicks,4,960,Comedy|Romance,Slackers ,12437,4,http://www.imdb.com/title/tt0240900/?ref_=fn_tt_tt_1,English,Canada,2002,448,405
Lasse Hallström,529,40000,Drama|Romance,What's Eating Gilbert Grape ,171882,1,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,English,USA,1993,29000,14000
Philip Saville,10,866,Biography|Drama|History,The Visual Bible: The Gospel of John ,2164,1,http://www.imdb.com/title/tt0377992/?ref_=fn_tt_tt_1,English,Canada,2003,147,0
Mike Leigh,608,979,Crime|Drama,Vera Drake ,20307,1,http://www.imdb.com/title/tt0383694/?ref_=fn_tt_tt_1,English,UK,2004,594,0
Daisy von Scherler Mayer,18,658,Comedy|Music|Romance,The Guru ,13622,3,http://www.imdb.com/title/tt0280720/?ref_=fn_tt_tt_1,English,UK,2002,463,550
Mira Nair,300,1000,Comedy|Drama|Romance,The Perez Family ,1761,2,http://www.imdb.com/title/tt0114113/?ref_=fn_tt_tt_1,English,USA,1995,979,174
Ethan Coen,1000,3000,Drama|Music,Inside Llewyn Davis ,96233,1,http://www.imdb.com/title/tt2042568/?ref_=fn_tt_tt_1,English,USA,2013,275,26000
Tim Blake Nelson,596,1000,Drama|Romance|Thriller,O ,17333,2,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,English,USA,2001,835,0
William A. Graham,8,14000,Adventure|Drama|Romance,Return to the Blue Lagoon ,14129,1,http://www.imdb.com/title/tt0102782/?ref_=fn_tt_tt_1,English,USA,1991,163,967
Martin Ritt,58,338,Drama|History,The Molly Maguires ,2603,0,http://www.imdb.com/title/tt0066090/?ref_=fn_tt_tt_1,English,USA,1970,275,608
John Turturro,0,14000,Comedy|Musical|Romance,Romance & Cigarettes ,10052,0,http://www.imdb.com/title/tt0368222/?ref_=fn_tt_tt_1,English,USA,2005,12000,0
Agnieszka Holland,238,60,Biography|Drama|Music,Copying Beethoven ,11132,0,http://www.imdb.com/title/tt0424908/?ref_=fn_tt_tt_1,English,USA,2006,35,0
Tobe Hooper,365,887,Fantasy|Horror,Poltergeist ,105448,0,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,English,USA,1982,770,11000
Rowan Joffe,17,845,Crime|Drama|Thriller,Brighton Rock ,5013,2,http://www.imdb.com/title/tt1233192/?ref_=fn_tt_tt_1,English,UK,2010,641,0
David Hackl,43,3000,Horror|Mystery,Saw V ,88529,0,http://www.imdb.com/title/tt1132626/?ref_=fn_tt_tt_1,English,USA,2008,723,0
Giuliano Montaldo,4,917,Crime|Drama|Thriller,Machine Gun McCain ,618,0,http://www.imdb.com/title/tt0065895/?ref_=fn_tt_tt_1,English,Italy,1969,545,85
Lisa Azuelos,15,142,Comedy|Drama|Romance,LOL ,45144,1,http://www.imdb.com/title/tt1592873/?ref_=fn_tt_tt_1,English,USA,2012,79,18000
Ray Lawrence,10,172,Crime|Drama|Mystery|Thriller,Jindabyne ,5772,2,http://www.imdb.com/title/tt0382765/?ref_=fn_tt_tt_1,English,Australia,2006,71,302
Karan Johar,160,8000,Drama,Kabhi Alvida Naa Kehna ,13998,2,http://www.imdb.com/title/tt0449999/?ref_=fn_tt_tt_1,Hindi,India,2006,1000,659
Oliver Parker,32,893,Comedy|Romance,An Ideal Husband ,12980,3,http://www.imdb.com/title/tt0122541/?ref_=fn_tt_tt_1,English,UK,1999,692,646
Ruairi Robinson,7,805,Horror|Sci-Fi|Thriller,The Last Days on Mars ,28570,0,http://www.imdb.com/title/tt1709143/?ref_=fn_tt_tt_1,English,UK,2013,766,0
Jaume Balagueró,57,541,Horror,Darkness ,16747,0,http://www.imdb.com/title/tt0273517/?ref_=fn_tt_tt_1,English,USA,2002,451,1000
Stanley Kubrick,0,273,Adventure|Mystery|Sci-Fi,2001: A Space Odyssey ,427357,0,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,English,UK,1968,117,24000
Steven Spielberg,14000,861,Family|Sci-Fi,E.T. the Extra-Terrestrial ,281842,0,http://www.imdb.com/title/tt0083866/?ref_=fn_tt_tt_1,English,USA,1982,725,34000
Jon Kasdan,21,17000,Comedy|Drama|Romance,In the Land of Women ,27689,0,http://www.imdb.com/title/tt0419843/?ref_=fn_tt_tt_1,English,USA,2007,1000,1000
Léa Pool,4,882,Adventure|Drama,The Blue Butterfly ,1337,1,http://www.imdb.com/title/tt0313300/?ref_=fn_tt_tt_1,English,Canada,2004,450,392
Floyd Mutrux,11,665,Comedy|Drama,There Goes My Baby ,859,2,http://www.imdb.com/title/tt0108320/?ref_=fn_tt_tt_1,English,USA,1994,446,119
,,381,Comedy,Lovesick             ,2651,3,http://www.imdb.com/title/tt4051832/?ref_=fn_tt_tt_1,English,UK,,102,0
Sajid Khan,0,564,Comedy,Housefull ,8598,5,http://www.imdb.com/title/tt1573072/?ref_=fn_tt_tt_1,Hindi,India,2010,154,250
Christopher Cain,58,482,Drama|History|Romance|Western,September Dawn ,2618,0,http://www.imdb.com/title/tt0473700/?ref_=fn_tt_tt_1,,USA,2007,362,411
Dean Wright,0,639,Drama|History|War,For Greater Glory: The True Story of Cristiada ,3665,1,http://www.imdb.com/title/tt1566501/?ref_=fn_tt_tt_1,Spanish,Mexico,2012,377,0
Eric Lartigau,7,68,Comedy|Drama|Music,La Famille Bélier ,15060,4,http://www.imdb.com/title/tt3547740/?ref_=fn_tt_tt_1,French,France,2014,29,0
Gus Van Sant,835,49000,Drama,Good Will Hunting ,604904,2,http://www.imdb.com/title/tt0119217/?ref_=fn_tt_tt_1,English,USA,1997,13000,31000
Shintaro Shimosawa,29,14000,Drama|Thriller,Misconduct ,6935,3,http://www.imdb.com/title/tt3658772/?ref_=fn_tt_tt_1,English,USA,2016,12000,0
Darren Lynn Bousman,163,723,Horror|Mystery,Saw III ,142115,0,http://www.imdb.com/title/tt0489270/?ref_=fn_tt_tt_1,English,USA,2006,651,0
Ivan Reitman,425,13000,Action|Comedy|War,Stripes ,48629,1,http://www.imdb.com/title/tt0083131/?ref_=fn_tt_tt_1,English,USA,1981,11000,0
Peyton Reed,235,4000,Comedy|Sport,Bring It On ,70141,1,http://www.imdb.com/title/tt0204946/?ref_=fn_tt_tt_1,English,USA,2000,464,0
James DeMonaco,65,798,Action|Horror|Sci-Fi|Thriller,The Purge: Election Year ,17596,1,http://www.imdb.com/title/tt4094724/?ref_=fn_tt_tt_1,English,France,2016,465,0
Robert Iscove,7,23000,Comedy|Romance,She's All That ,67115,2,http://www.imdb.com/title/tt0160862/?ref_=fn_tt_tt_1,English,USA,1999,1000,0
Lee Daniels,304,939,Drama,Precious ,86956,0,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,English,USA,2009,906,12000
Darren Lynn Bousman,163,723,Horror|Mystery,Saw IV ,111087,0,http://www.imdb.com/title/tt0890870/?ref_=fn_tt_tt_1,English,USA,2007,651,0
Geoffrey Sax,13,494,Drama|Horror|Mystery|Thriller,White Noise ,41763,0,http://www.imdb.com/title/tt0375210/?ref_=fn_tt_tt_1,English,UK,2005,392,0
Tyler Perry,0,1000,Comedy|Drama|Romance,Madea's Family Reunion ,8962,4,http://www.imdb.com/title/tt0455612/?ref_=fn_tt_tt_1,English,USA,2006,907,676
Martin Scorsese,17000,10000,Drama|Sport,The Color of Money ,57831,1,http://www.imdb.com/title/tt0090863/?ref_=fn_tt_tt_1,English,USA,1986,970,0
Ken Annakin,19,726,Action|Drama|History|War,The Longest Day ,43270,3,http://www.imdb.com/title/tt0056197/?ref_=fn_tt_tt_1,English,USA,1962,249,0
Stephen Herek,65,633,Comedy|Drama|Family|Sport,The Mighty Ducks ,44502,8,http://www.imdb.com/title/tt0104868/?ref_=fn_tt_tt_1,English,USA,1992,613,0
Takashi Shimizu,70,4000,Horror|Mystery|Thriller,The Grudge ,115050,0,http://www.imdb.com/title/tt0391198/?ref_=fn_tt_tt_1,English,USA,2004,1000,4000
Dennis Dugan,221,11000,Comedy|Sport,Happy Gilmore ,156143,1,http://www.imdb.com/title/tt0116483/?ref_=fn_tt_tt_1,English,USA,1996,503,0
Victor Salva,108,1000,Horror|Mystery,Jeepers Creepers ,86890,0,http://www.imdb.com/title/tt0263488/?ref_=fn_tt_tt_1,English,Germany,2001,322,0
Stephen Herek,65,18000,Adventure|Comedy|Music|Sci-Fi,Bill & Ted's Excellent Adventure ,85362,6,http://www.imdb.com/title/tt0096928/?ref_=fn_tt_tt_1,English,USA,1989,769,0
Carol Reed,82,695,Drama|Family|Musical,Oliver! ,25303,1,http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1,English,UK,1968,275,0
John Madden,108,1000,Comedy|Drama,The Best Exotic Marigold Hotel ,75306,3,http://www.imdb.com/title/tt1412386/?ref_=fn_tt_tt_1,English,UK,2011,400,48000
Chuck Sheetz,6,759,Animation|Comedy|Family|Mystery|Sci-Fi,Recess: School's Out ,6808,0,http://www.imdb.com/title/tt0265632/?ref_=fn_tt_tt_1,English,USA,2001,563,227
George Miller,750,794,Action|Adventure|Sci-Fi|Thriller,Mad Max Beyond Thunderdome ,101840,2,http://www.imdb.com/title/tt0089530/?ref_=fn_tt_tt_1,English,Australia,1985,531,0
Mark L. Lester,73,1000,Action|Adventure|Thriller,Commando ,111649,0,http://www.imdb.com/title/tt0088944/?ref_=fn_tt_tt_1,English,USA,1985,745,0
William Brent Bell,19,4000,Horror|Mystery|Thriller,The Boy ,35654,0,http://www.imdb.com/title/tt3882082/?ref_=fn_tt_tt_1,English,USA,2016,334,20000
John Erick Dowdle,66,2000,Horror|Mystery|Thriller,Devil ,104089,0,http://www.imdb.com/title/tt1314655/?ref_=fn_tt_tt_1,English,USA,2010,904,16000
Marcus Raboy,7,723,Comedy|Drama,Friday After Next ,19284,0,http://www.imdb.com/title/tt0293815/?ref_=fn_tt_tt_1,English,USA,2002,706,981
Leigh Whannell,482,852,Fantasy|Horror|Thriller,Insidious: Chapter 3 ,54190,0,http://www.imdb.com/title/tt3195644/?ref_=fn_tt_tt_1,English,Canada,2015,542,29000
Michael Schultz,78,854,Action|Comedy|Drama|Music,The Last Dragon ,9424,1,http://www.imdb.com/title/tt0089461/?ref_=fn_tt_tt_1,English,USA,1985,841,0
Guy Ritchie,0,26000,Comedy|Crime,Snatch ,600996,6,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,English,UK,2000,11000,27000
Brett Leonard,32,535,Horror|Sci-Fi,The Lawnmower Man ,27800,0,http://www.imdb.com/title/tt0104692/?ref_=fn_tt_tt_1,English,UK,1992,211,0
Peter Sollett,6,904,Comedy|Drama|Music|Romance,Nick and Norah's Infinite Playlist ,74887,2,http://www.imdb.com/title/tt0981227/?ref_=fn_tt_tt_1,English,USA,2008,715,0
Kevin Smith,0,13000,Adventure|Comedy|Drama|Fantasy,Dogma ,181737,8,http://www.imdb.com/title/tt0120655/?ref_=fn_tt_tt_1,English,USA,1999,1000,10000
Bob Dolman,7,931,Comedy|Drama,The Banger Sisters ,12388,2,http://www.imdb.com/title/tt0280460/?ref_=fn_tt_tt_1,English,USA,2002,797,744
Joe Dante,287,745,Fantasy|Horror|Sci-Fi,Twilight Zone: The Movie ,25613,0,http://www.imdb.com/title/tt0086491/?ref_=fn_tt_tt_1,English,USA,1983,730,0
Rowdy Herrington,9,623,Action|Thriller,Road House ,42987,1,http://www.imdb.com/title/tt0098206/?ref_=fn_tt_tt_1,English,USA,1989,472,0
Keenen Ivory Wayans,322,851,Action|Comedy|Crime,A Low Down Dirty Shame ,3924,2,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,English,USA,1994,543,368
John Polson,21,931,Drama|Thriller,Swimfan ,16300,0,http://www.imdb.com/title/tt0283026/?ref_=fn_tt_tt_1,English,USA,2002,855,720
Greg Coolidge,27,1000,Comedy|Romance,Employee of the Month ,37681,2,http://www.imdb.com/title/tt0424993/?ref_=fn_tt_tt_1,English,USA,2006,809,0
Harry Elfont,4,982,Comedy|Romance,Can't Hardly Wait ,37885,4,http://www.imdb.com/title/tt0127723/?ref_=fn_tt_tt_1,English,USA,1998,945,0
Francis Ford Coppola,0,10000,Crime|Drama,The Outsiders ,57363,0,http://www.imdb.com/title/tt0086066/?ref_=fn_tt_tt_1,English,USA,1983,919,10000
David Lowery,38,3000,Adventure|Family|Fantasy,Pete's Dragon ,408,0,http://www.imdb.com/title/tt2788732/?ref_=fn_tt_tt_1,English,USA,2016,424,21000
David Cronenberg,0,1000,Horror|Sci-Fi|Thriller,The Dead Zone ,44804,0,http://www.imdb.com/title/tt0085407/?ref_=fn_tt_tt_1,English,USA,1983,278,0
Ciarán Foy,11,1000,Horror|Mystery|Thriller,Sinister 2 ,25210,0,http://www.imdb.com/title/tt2752772/?ref_=fn_tt_tt_1,English,USA,2015,412,13000
Salim Akil,70,1000,Drama|Music,Sparkle ,5161,7,http://www.imdb.com/title/tt1876451/?ref_=fn_tt_tt_1,English,USA,2012,876,0
Jamie Blanks,9,690,Horror|Mystery|Thriller,Valentine ,20467,1,http://www.imdb.com/title/tt0242998/?ref_=fn_tt_tt_1,English,USA,2001,533,0
Olatunde Osunsanmi,58,14000,Mystery|Sci-Fi|Thriller,The Fourth Kind ,63108,0,http://www.imdb.com/title/tt1220198/?ref_=fn_tt_tt_1,English,USA,2009,537,15000
Robert Altman,500,11000,Comedy|Drama|Music,A Prairie Home Companion ,19655,8,http://www.imdb.com/title/tt0420087/?ref_=fn_tt_tt_1,English,USA,2006,912,683
Leon Ichaso,5,556,Drama|Thriller,Sugar Hill ,3119,1,http://www.imdb.com/title/tt0107079/?ref_=fn_tt_tt_1,English,USA,1993,475,331
Joseph Zito,17,371,Action|Thriller,Invasion U.S.A. ,6143,1,http://www.imdb.com/title/tt0089348/?ref_=fn_tt_tt_1,English,USA,1985,324,0
Malcolm D. Lee,92,2000,Comedy|Drama|Music|Romance,Roll Bounce ,5585,0,http://www.imdb.com/title/tt0403455/?ref_=fn_tt_tt_1,English,USA,2005,918,997
Wes Anderson,0,13000,Comedy|Drama,Rushmore ,134458,2,http://www.imdb.com/title/tt0128445/?ref_=fn_tt_tt_1,English,USA,1998,933,5000
Colin Strause,25,929,Action|Sci-Fi|Thriller,Skyline ,76199,0,http://www.imdb.com/title/tt1564585/?ref_=fn_tt_tt_1,English,USA,2010,927,13000
John Madden,108,220,Comedy|Drama,The Second Best Exotic Marigold Hotel ,22369,6,http://www.imdb.com/title/tt2555736/?ref_=fn_tt_tt_1,English,UK,2015,186,21000
Patricia Rozema,22,918,Drama|Family,Kit Kittredge: An American Girl ,4719,1,http://www.imdb.com/title/tt0846308/?ref_=fn_tt_tt_1,English,USA,2008,624,851
Mark Rosman,15,1000,Comedy|Family|Romance,The Perfect Man ,23527,3,http://www.imdb.com/title/tt0380623/?ref_=fn_tt_tt_1,English,USA,2005,962,767
Spike Lee,0,18000,Drama|Music|Romance,Mo' Better Blues ,8295,1,http://www.imdb.com/title/tt0100168/?ref_=fn_tt_tt_1,English,USA,1990,269,720
Steve Oedekerk,176,176,Action|Comedy,Kung Pow: Enter the Fist ,37901,1,http://www.imdb.com/title/tt0240468/?ref_=fn_tt_tt_1,English,USA,2002,67,0
Ron Underwood,31,651,Comedy|Horror|Sci-Fi,Tremors ,90070,0,http://www.imdb.com/title/tt0100814/?ref_=fn_tt_tt_1,English,USA,1990,610,11000
Rob Schmidt,36,2000,Horror|Thriller,Wrong Turn ,87494,1,http://www.imdb.com/title/tt0295700/?ref_=fn_tt_tt_1,English,USA,2003,683,0
Walter Hill,394,2000,Western,The Long Riders ,7322,0,http://www.imdb.com/title/tt0081071/?ref_=fn_tt_tt_1,English,USA,1980,926,680
James Foley,164,258,Action|Crime|Drama|Mystery|Thriller,The Corruptor ,15358,2,http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1,English,USA,1999,218,328
Jeff Nichols,337,11000,Drama,Mud ,135286,1,http://www.imdb.com/title/tt1935179/?ref_=fn_tt_tt_1,English,USA,2012,1000,27000
Robert Ben Garant,134,655,Comedy|Crime,Reno 911!: Miami ,23928,2,http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1,English,USA,2007,651,441
Morgan Spurlock,293,773,Documentary|Music,One Direction: This Is Us ,22161,11,http://www.imdb.com/title/tt2515086/?ref_=fn_tt_tt_1,English,USA,2013,734,0
Neal Brennan,23,839,Comedy,"The Goods: Live Hard, Sell Hard ",17790,5,http://www.imdb.com/title/tt1092633/?ref_=fn_tt_tt_1,English,USA,2009,700,0
Tuck Tucker,14,1000,Adventure|Animation|Comedy|Family,Hey Arnold! The Movie ,4564,0,http://www.imdb.com/title/tt0314166/?ref_=fn_tt_tt_1,English,USA,2002,811,227
Simon Curtis,64,13000,Biography|Drama,My Week with Marilyn ,71679,1,http://www.imdb.com/title/tt1655420/?ref_=fn_tt_tt_1,English,UK,2011,2000,17000
Richard Shepard,47,3000,Comedy|Crime|Drama|Thriller,The Matador ,40514,0,http://www.imdb.com/title/tt0365485/?ref_=fn_tt_tt_1,English,USA,2005,497,808
Theodore Witcher,28,962,Drama|Romance,Love Jones ,2801,0,http://www.imdb.com/title/tt0119572/?ref_=fn_tt_tt_1,English,USA,1997,826,1000
Joel Edgerton,0,1000,Mystery|Thriller,The Gift ,79909,1,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,English,USA,2015,562,15000
Jim Hanon,2,772,Adventure|Drama,End of the Spear ,4360,3,http://www.imdb.com/title/tt0399862/?ref_=fn_tt_tt_1,English,USA,2005,232,1000
Tommy O'Haver,13,15000,Comedy|Romance,Get Over It ,15617,1,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1,English,USA,2001,4000,0
Mike Judge,406,989,Comedy,Office Space ,200293,0,http://www.imdb.com/title/tt0151804/?ref_=fn_tt_tt_1,English,USA,1999,939,16000
Michael Patrick Jann,31,4000,Comedy|Romance|Thriller,Drop Dead Gorgeous ,27265,0,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,English,Germany,1999,980,0
Tim Burton,13000,11000,Biography|Crime|Drama|Romance,Big Eyes ,55539,3,http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1,English,USA,2014,430,20000
Peter Berg,532,4000,Comedy|Crime|Thriller,Very Bad Things ,39331,0,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,English,USA,1998,796,0
Joe Nussbaum,18,7000,Comedy|Romance,Sleepover ,12706,9,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,English,USA,2004,2000,0
Brian De Palma,0,537,Mystery|Thriller,Body Double ,20113,0,http://www.imdb.com/title/tt0086984/?ref_=fn_tt_tt_1,English,USA,1984,376,0
Jorma Taccone,434,1000,Action|Comedy|Romance,MacGruber ,35888,3,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,English,USA,2010,622,0
Stephen Frears,350,460,Crime|Drama|Thriller,Dirty Pretty Things ,34848,1,http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1,English,UK,2002,372,0
Elizabeth Banks,0,20000,Comedy,Movie 43 ,79146,10,http://www.imdb.com/title/tt1333125/?ref_=fn_tt_tt_1,English,USA,2013,14000,25000
Florian Henckel von Donnersmarck,207,40000,Action|Romance|Thriller,The Tourist ,176606,0,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,English,USA,2010,11000,25000
Jeff Lowell,4,939,Comedy|Fantasy|Romance,Over Her Dead Body ,21268,0,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,English,USA,2008,702,518
Lorene Scafaria,63,7000,Adventure|Comedy|Drama|Romance|Sci-Fi,Seeking a Friend for the End of the World ,87203,2,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,English,USA,2012,353,25000
Miguel Arteta,44,1000,Comedy,Cedar Rapids ,32697,1,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,English,USA,2011,939,0
,,1000,Comedy|Crime|Drama|Mystery|Romance,Bones             ,111506,2,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,English,USA,,722,0
Tony Kaye,194,1000,Crime|Drama,American History X ,782437,2,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,English,USA,1998,816,35000
Marcus Dunstan,87,1000,Action|Horror|Thriller,The Collection ,36029,0,http://www.imdb.com/title/tt1748227/?ref_=fn_tt_tt_1,English,USA,2012,581,14000
Timothy Björklund,0,886,Animation|Comedy|Family|Fantasy|Musical,Teacher's Pet ,1231,0,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,English,USA,2004,808,49
François Girard,63,24,Drama|Music|Mystery|Romance,The Red Violin ,26832,3,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,French,Canada,1998,3,0
David Lynch,0,874,Biography|Drama,The Straight Story ,63733,0,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,English,France,1999,262,0
Scott Kalvert,9,12000,Action|Crime|Drama,Deuces Wild ,6200,1,http://www.imdb.com/title/tt0231448/?ref_=fn_tt_tt_1,English,USA,2002,11000,398
