director_name,director_facebook_likes,actor_2_name,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Sterling Van Wagenen,0,Eric Johnson,2024854,Drama|Western,Emily Podleski,564,1942,Brenda Strong,2,estrangement|missouri|mormon|mormon church|mormon temple,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,USA,PG-13,6500000,2005,373,2.35,19
Zal Batmanglij,129,Julia Ormond,2268296,Drama|Thriller,Alexander Skarsgård,41856,13180,Jason Ritter,4,anarchist|corporation|greedy institution|vomiting|watching television,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,UK,PG-13,6500000,2013,918,2.35,12000
Michael Mayer,15,Matt Frewer,1029017,Drama|Romance,Robin Wright,12049,21107,Sissy Spacek,2,hand job|hugging|long hair|new york city|two men one woman,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,USA,R,6500000,2004,986,2.35,1000
Hans Petter Moland,19,Sara-Marie Maltha,64148,Drama,Charlotte Rampling,2601,846,Stellan Skarsgård,0,death|ferry|lawyer|norway|vomiting,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,UK,,6500000,2000,2,1.85,260
Oren Moverman,38,Yaya DaCosta,66637,Drama|Romance|War,Steve Buscemi,29608,14462,Eamonn Walker,0,captain|casualty notification|casualty notification team|sergeant|staff sergeant,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,USA,R,6500000,2009,712,2.35,0
Ian Sharp,9,Jed Brophy,,Action|Adventure|Drama|Western,Ray Winstone,2892,1904,Temuera Morrison,0,one word title,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,New Zealand,R,6500000,2010,433,2.35,830
Anton Corbijn,210,Samantha Morton,871577,Biography|Drama|Music,Sam Riley,51353,2614,Alexandra Maria Lara,1,band|employment agency|singer|stage fright|suicide,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,UK,R,4500000,2007,631,2.35,13000
James Cameron,0,Brian Thompson,38400000,Action|Sci-Fi,Michael Biehn,600266,3582,Paul Winfield,1,cyborg|future war|robot|shootout in a police station|urban setting,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,UK,R,6500000,1984,663,1.85,13000
Wolfgang Becker,31,Chulpan Khamatova,4063859,Drama|Romance,Florian Lukas,114407,200,Burghart Klaußner,2,coma|east germany|german democratic republic|germany|heart attack,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,Germany,R,4800000,2003,51,1.85,11000
Tom Hooper,0,Mark Bazeley,449558,Biography|Drama|Sport,Stephen Graham,32307,1163,Maurice Roëves,2,cup|derby county|flashback|football|leeds united,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,UK,R,10000000,2009,54,1.85,0
Dan O'Bannon,228,Clu Gulager,,Comedy|Horror|Sci-Fi,Linnea Quigley,39856,2020,Beverly Randolph,0,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,USA,R,4000000,1985,426,1.85,0
,,Fortunato Cerlino,,Crime|Drama|Thriller,Maria Pia Calzone,9638,39,Marco D'Amore,5,,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,Italy,TV-MA,,,9,1.85,0
Kevin Smith,0,Jason Mewes,2122561,Comedy|Romance,Ethan Suplee,99033,3254,Joey Lauren Adams,6,comic|ex girlfriend|jay and silent bob|mall|teenager,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,USA,R,6000000,1995,898,1.85,0
Randal Kleiser,116,Stockard Channing,181360000,Musical|Romance,Olivia Newton-John,170027,5127,Sid Caesar,2,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,USA,PG-13,6000000,1978,944,2.35,13000
Oliver Stone,0,Tom Berenger,137963328,Drama|War,Johnny Depp,291603,42028,Kevin Dillon,0,1960s|famous score|hero|vietnam|vietnam war,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,UK,R,6000000,1986,854,1.85,9000
Michael Moore,909,Stevie Wonder,119078393,Documentary|Drama|War,Osama bin Laden,113152,1448,Ricky Martin,0,anti war|interview|iraq|paranoia|war on terrorism,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,USA,R,6000000,2004,328,1.85,0
George Roy Hill,131,Ted Cassidy,102308900,Biography|Crime|Drama|Western,Katharine Ross,152089,2169,Kenneth Mars,1,bolivia|gang|outlaw|posse|train,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,USA,M,6000000,1969,566,2.35,0
Robert Stevenson,55,Glynis Johns,102300000,Comedy|Family|Fantasy|Musical,Ed Wynn,107408,2045,Elsa Lanchester,2,banker|female protagonist|live action and animation|magic|nanny,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,USA,Approved,6000000,1964,279,1.66,0
Robert Redford,0,Elizabeth McGovern,54800000,Drama,Adam Baldwin,35130,5122,Judd Hirsch,3,choir|death|friend|suicide|therapy,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,USA,R,6000000,1980,553,1.85,0
Frank Coraci,153,Steve Coogan,24004159,Action|Adventure|Comedy,Jim Broadbent,68722,3175,Cécile De France,0,19th century|around the world|inventor|martial arts|train,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,USA,PG,110000000,2004,1000,2.35,0
Jerome Robbins,34,George Chakiris,43650000,Crime|Drama|Musical|Romance|Thriller,Rita Moreno,71919,1802,Richard Beymer,0,dance|gang|new york city|puerto rican|tragedy,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,USA,Unrated,6000000,1961,271,2.2,0
Harold Ramis,11000,Rodney Dangerfield,39800000,Comedy|Sport,Bill Murray,81599,14921,Brian Doyle-Murray,3,caddy|country club|golf course|gopher|nudity,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,USA,R,6000000,1980,573,1.85,0
Gary Hardwick,10,Tatyana Ali,27457409,Comedy|Drama,Julie Benz,3198,6419,Jenifer Lewis,4,african american|commitment|friend|friendship|playboy,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,USA,R,6000000,2001,685,1.85,478
Rick Famuyiwa,44,Tamala Jones,25047631,Comedy|Drama|Romance,Omar Epps,6585,2724,Richard T. Jones,0,flashback|friendship|public nudity|shower|wedding,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,USA,R,6000000,1999,405,1.85,990
Bryan Singer,0,Chazz Palminteri,23272306,Crime|Drama|Mystery|Thriller,Kevin Spacey,740918,20821,Kevin Pollak,4,criminal|dirty cop|flashback|limping|suspect,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,USA,R,6000000,1995,979,2.35,28000
Stephen Hopkins,81,Kelly Jo Minter,22168359,Fantasy|Horror|Romance|Thriller,Lisa Wilcox,29659,584,Matthew Borlenghi,0,child|comic book|dream|murderer|nightmare,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,USA,X,8000000,1989,101,1.85,1000
Walt Becker,12,Curtis Armstrong,21005329,Comedy|Romance,Ryan Reynolds,89128,19341,Erik Estrada,0,college|love|party|reporter|tuition,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,Germany,R,6000000,2002,876,1.85,0
Darren Aronofsky,0,John D'Leo,26236603,Drama|Sport,Mark Margolis,251349,1582,Ajay Naidu,0,heart attack|stripper|supermarket|wrestler|wrestling,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,USA,R,6000000,2008,245,2.35,10000
King Vidor,54,Lillian Gish,20400000,Drama|Romance|Western,Joseph Cotten,6304,2037,Jennifer Jones,0,box office hit|half breed|infidelity|shooting|texas,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,USA,Unrated,8000000,1946,436,1.37,403
Christopher Guest,378,Catherine O'Hara,18621249,Comedy,John Michael Higgins,45859,4611,Michael McKean,9,dog show|gay|gay character|gay couple|gay interest,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,USA,PG-13,6000000,2000,925,1.85,0
John Carpenter,0,Adrienne Barbeau,25244700,Action|Sci-Fi,Donald Pleasence,91017,2270,Tom Atkins,1,1990s|police|prison|rescue|year 1997,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,UK,R,6000000,1981,602,2.35,0
Spike Lee,0,Ossie Davis,14545844,Comedy|Drama|Musical,Tisha Campbell-Martin,4756,1284,Bill Nunn,4,beauty salon|black college|college|fraternity|sorority,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,USA,R,6500000,1988,282,1.85,624
Fred Savage,0,Brian Doyle-Murray,13235267,Comedy|Family,Lochlyn Munro,12339,1752,Tamala Jones,2,competition|estranged father|skunk|summer camp|wall,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,USA,PG,6000000,2007,484,1.85,256
Sammo Kam-Bo Hung,472,Richard Norton,12674183,Action|Comedy|Crime,Sammo Kam-Bo Hung,19774,773,Rachel Blakely,1,chef|cook|drugs|gang|reporter,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,Hong Kong,PG-13,,1997,155,2.35,355
Christopher Guest,378,Christopher Guest,17508936,Comedy|Music,Michael McKean,22408,1660,Laura Harris,0,concert|mockumentary|musician|new york city|singer,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,USA,PG-13,,2003,378,1.85,0
Donald Petrie,80,Lili Taylor,12793213,Comedy|Drama|Romance,Julia Roberts,18286,10430,Conchata Ferrell,4,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,USA,R,6000000,1988,960,1.85,0
,,Tuppence Middleton,,Drama|History|Romance|War,Jim Broadbent,9277,4528,Lily James,1,male frontal nudity|male nudity|tv mini series,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,UK,TV-14,,,888,16.0,11000
Peter Howitt,29,Kevin McNally,11883495,Comedy|Drama|Fantasy|Romance,Jeanne Tripplehorn,52805,1462,John Lynch,1,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,UK,R,9000000,1998,427,1.85,0
Rusty Cundieff,38,Clarence Williams III,11797927,Comedy|Horror|Thriller,Corbin Bernsen,4582,3221,David Alan Grier,0,child abuse|death|drugs|ku klux klan|police brutality,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,USA,R,6000000,1995,475,1.85,985
Kevin Macdonald,162,Simon McBurney,17605861,Biography|Drama|History|Thriller,David Oyelowo,145580,1184,Abby Mukiibi Nkaaga,1,1970s|assassination|doctor|scottish|ugandan,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,UK,R,6000000,2006,149,2.35,0
Dominique Othenin-Girard,2,Tamara Glynn,11642254,Horror|Thriller,Donald Pleasence,22929,1308,Troy Evans,1,cat|halloween|kitten|michael myers|psychotronic,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,USA,X,3000000,1989,256,1.85,926
Richard Linklater,0,Brandon Smith,9203192,Comedy|Crime|Drama,Matthew McConaughey,45396,11328,Rick Dial,1,funeral|stockbroker|texas|vacation|widow,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,USA,PG-13,5000000,2011,106,1.85,15000
Jean-Jacques Mantello,0,Daryl Hannah,7518876,Adventure|Documentary|Short,Charlotte Rampling,172,844,,0,3d in title|animal in title|digit in title|dolphin|manatee,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,UK,,6000000,2008,0,1.78,28
Ed Harris,0,Bud Cort,8596914,Biography|Drama,John Heard,23023,1517,Amy Madigan,0,1940s|artist|drinking|life magazine|painter,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,USA,R,6000000,2000,394,1.85,0
Risa Bramon Garcia,112,Dave Chappelle,6851636,Comedy|Drama|Romance,Janeane Garofalo,13010,2697,Gaby Hoffmann,5,bartender|friend|new year's eve|party|punk,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,USA,R,6000000,1999,744,1.85,0
Brian Klugman,49,Bradley Cooper,11434867,Drama|Mystery|Romance|Thriller,J.K. Simmons,59637,51355,Olivia Wilde,1,american in paris|book|love|novel|writer,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,USA,PG-13,6000000,2012,14000,1.85,21000
Matt Piedmont,4,Adrian Martinez,5895238,Comedy|Western,Will Ferrell,17169,10123,Luis E. Carazo,1,absurd humor|drug lord|mexico|ranch|spaghetti western,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,USA,R,6000000,2012,806,2.35,9000
Raymond De Felitta,20,Curtiss Cook,6670712,Comedy|Drama,Ezra Miller,27301,3825,Dominik García-Lorido,6,anger|family reunion|father son reunion|hugging|movie making,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,USA,PG-13,6000000,2009,591,1.85,0
John Michael McDonagh,51,Fionnula Flanagan,5359774,Comedy|Crime|Thriller,Don Cheadle,64794,3569,Wale Ojo,0,boat on fire|drug smuggling|fbi|fbi agent|small town,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,Ireland,R,6000000,2011,482,2.35,17000
Deb Hagan,0,Alona Tal,4693919,Comedy,Drake Bell,11011,4484,Haley Bennett,0,college|face slap|high school|loss of virginity|pierced nipple,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,USA,R,6500000,2008,1000,1.85,422
Sofia Coppola,0,Kathleen Turner,4859475,Drama|Romance,Kirsten Dunst,116910,7103,Scott Glenn,0,catholic|five sisters|isolation|school|suicide,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,USA,R,6000000,1999,899,1.85,0
Mark Herman,39,Annette Badland,4595000,Comedy|Drama|Music|Romance,Jim Broadbent,13892,2103,Brenda Blethyn,4,mother|recluse|shy|singer|talent,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,UK,R,,1998,497,1.85,915
Zach Cregger,138,Windell Middlebrooks,4542775,Comedy|Romance,Hugh M. Hefner,18313,1831,Raquel Alessi,2,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,USA,R,6000000,2009,308,1.85,985
Zach Braff,0,Josh Gad,3588432,Comedy|Drama,Jim Parsons,29341,18947,Michael Weston,4,actor|dream sequence|genius recluse|jew|religion,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,USA,R,6000000,2014,1000,2.35,0
Mark Tarlov,3,Dylan Baker,4394936,Comedy|Drama|Fantasy|Romance,Sarah Michelle Gellar,11439,5668,Lawrence Gilliard Jr.,1,chef|female chef|love|magic|restaurant,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,Germany,PG-13,6000000,1999,812,2.35,901
,,Jason Dohring,,Crime|Drama|Mystery,Francis Capra,55524,3318,Enrico Colantoni,1,best friend|high school|private detective|sheriff|student,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,USA,TV-14,,,828,1.78,0
John Cameron Mitchell,263,Miriam Shor,3029081,Comedy|Drama|Music|Musical,John Cameron Mitchell,26300,993,Andrea Martin,0,band|rock band|sex change|song|transsexual,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,USA,R,6000000,2001,261,1.85,0
Sheldon Lettich,23,Ryan Bollman,3273588,Action|Drama,Antoni Corone,4195,382,Todd Susman,1,capoeira|fight|fighting|martial arts|violence,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,USA,PG-13,6000000,1993,91,1.85,0
Jon Knautz,10,Monda Scott,,Drama|Horror|Mystery|Thriller,Rachel Alig,522,546,Alexis Kendra,0,female nudity|hallucination|sex scene|strip club|stripper,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,USA,,,2015,77,2.35,84
Billy Ray,53,Rosario Dawson,2207975,Drama|History,Hayden Christensen,28855,8297,Cas Anvar,0,fabricated facts|journalist|stephen glass|the new republic|writer,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,USA,PG-13,6000000,2003,3000,2.35,0
David Atkins,8,Lynne Thigpen,2025238,Comedy|Crime|Drama|Thriller,Chelcie Ross,9589,489,Polly Noonan,3,dentist|drugs|murder|sex|sunflower,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,USA,R,6000000,2001,230,1.85,289
Patrick Stettner,5,Tony Devon,1028337,Drama|Thriller,Stockard Channing,3413,1407,Frederick Weller,2,airport|businesswoman|hotel|revenge|vegetarian,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,USA,R,,2001,257,1.85,29
Sam Peckinpah,541,Warren Oates,,Action|Adventure|Western,William Holden,63192,2379,L.Q. Jones,1,friendship|honor|righteous rage|soldier|texas,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,USA,R,6244087,1969,288,2.35,0
Jonathan Levine,129,Aaron Yoo,2077046,Comedy|Drama|Romance,Mary-Kate Olsen,27266,2748,Method Man,2,ice cream|marijuana|new york city|summer|therapy,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,USA,R,6000000,2008,617,2.35,0
Michael Crichton,735,Michael Elphick,,Adventure|Crime|Drama|Thriller,Lesley-Anne Down,11623,297,Pamela Salem,2,bank|gold|key|safe|train,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,UK,PG,6000000,1979,34,1.85,643
Lynne Ramsay,159,Bryan Dick,267194,Drama,Samantha Morton,6906,841,Paul Popplewell,0,breasts|cleavage|female rear nudity|girl in panties|public nudity,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,UK,R,,2002,104,1.85,605
Sylvio Tabet,0,Kari Wuhrer,869325,Action|Adventure|Fantasy|Sci-Fi,Michael Berryman,2281,2000,Marc Singer,2,beast|beastmaster|psychotronic|sword and sorcery|warrior,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,USA,PG-13,6000000,1991,514,1.85,125
Rick Bieber,11,Kendrick Cross,399611,Biography|Drama|Sport,Aidan Quinn,1245,2370,Sammy Nagi Njuguna,2,athletic training|football practice|funeral|gymnasium|man crying,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,USA,PG,6000000,2010,529,1.85,0
Claude Chabrol,324,Nathalie Baye,181798,Drama,Benoît Magimel,2591,282,Mélanie Doutey,5,bordeaux|election|mayor|pamphlet|political thriller,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,France,R,,2003,67,1.66,52
Shana Feste,19,Zoë Kravitz,115862,Drama|Romance,Jennifer Ehle,7394,2163,Cara Seymour,2,car crash|loss|self help group|teenage mother|title directed by female,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,USA,R,6000000,2009,943,2.35,0
Wayne Wang,61,Russell Wong,1346503,Drama|History,Bingbing Li,3024,2430,Ji-hyun Jun,0,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,China,PG-13,6000000,2011,595,2.35,0
Joey Lauren Adams,781,Diane Ladd,117560,Drama|Romance,Tim Blake Nelson,2330,1081,Ritchie Montgomery,0,church|drink|knocking on a door|love|three word title,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,USA,R,6000000,2006,206,1.85,224
Peter Cattaneo,11,Olivia Williams,54606,Comedy|Crime|Romance,James Nesbitt,1940,2440,Peter McNamara,0,escape|prison|prison escape|sadism|solitary confinement,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,UK,PG-13,6000000,2001,766,2.35,30
Fred Zinnemann,160,Jane Fonda,,Drama,Meryl Streep,6454,15604,Vanessa Redgrave,2,1930s|female protagonist|nazi|romantic friendship|writer,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,USA,PG,7840000,1977,949,1.85,733
S.R. Bindler,0,Scott Glenn,36497,Comedy,Matthew McConaughey,7367,14599,Sarah Wright,0,barefoot|endorsement|surfboard|virtual reality|waves,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,USA,R,6000000,2008,826,1.85,850
Tony Kaye,194,Pat Buchanan,23807,Documentary,Noam Chomsky,2143,105,Bill Baird,0,abortion|southern accent|title based on the bible|trial|usa,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,USA,Unrated,,2006,2,,570
Greg Marcks,9,Barbara Hershey,,Comedy|Crime|Drama,Henry Thomas,38273,2200,Shawn Hatosy,1,convenience store|multiple perspectives|murder|paramedic|van,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,USA,R,6000000,2003,618,1.85,0
Perry Lang,17,Kevin Tighe,,Action|Drama|Thriller,Catherine Bell,2989,2152,Tim Guinee,1,cockney accent|fight|island|machismo|mercenary,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,USA,R,8600000,1994,472,2.35,176
Jake Goldberger,2,M. Emmet Walsh,,Drama|Mystery|Thriller,Pruitt Taylor Vince,2050,1227,Robert Wahlberg,1,dead body|dead body in a freezer|dead body wrapped in carpet|person in a car trunk|school janitor,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,USA,R,,2009,521,1.85,275
Stefan Ruzowitzky,24,Olivia Wilde,65804,Crime|Drama|Thriller,Charlie Hunnam,32512,27575,Sissy Spacek,1,police officer|police officer killed|police officer shot|sex scene,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,USA,R,12000000,2012,10000,2.35,0
Vic Sarin,24,Aidan Quinn,,Drama|Family,Connie Nielsen,1696,1940,John Bell,2,island|love|new home|orphan|rainbow,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,Canada,PG,6000000,2009,767,2.35,1000
William Kaufman,58,Sean Cook,,Action|Thriller,Drew Waters,10196,3469,Cole Hauser,1,die hard scenario|engineer|held at gunpoint|race against time|shot to death,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,USA,R,6000000,2011,816,1.85,0
