director_name,duration,director_facebook_likes,genres,facenumber_in_poster,num_user_for_reviews,budget
Jonathan Kaplan,100,57,Drama|Mystery|Thriller,0,187,25000000
Ole Bornedal,92,30,Horror|Thriller,0,162,14000000
Richard Benjamin,105,121,Comedy|Drama|Romance,3,50,25000000
Rod Lurie,110,37,Action|Drama|Thriller,1,140,25000000
Lasse Hallström,116,529,Comedy|Drama,0,74,25000000
Craig R. Baxley,88,22,Action|Crime|Drama|Thriller,1,62,17000000
John Hillcoat,111,214,Adventure|Drama,2,504,25000000
John Guillermin,117,71,Adventure|Fantasy,1,52,25000000
Marcos Siega,95,32,Action|Comedy|Crime|Drama|Thriller,3,26,25000000
J.B. Rogers,95,6,Comedy|Romance,2,91,25000000
Roger Donaldson,127,79,Biography|Drama|Sport,1,251,25000000
David R. Ellis,105,160,Action|Adventure|Crime|Drama|Thriller,0,1033,33000000
Rachel Talalay,104,54,Action|Comedy|Sci-Fi,0,173,25000000
Jeffrey W. Byrd,95,2,Comedy|Crime,7,20,15000000
Fernando Meirelles,121,353,Drama|Mystery|Sci-Fi|Thriller,0,300,25000000
Uwe Boll,92,892,Action|Adventure|Fantasy|Horror,2,471,25000000
Roman Polanski,80,2000,Comedy|Drama,3,181,25000000
Atom Egoyan,107,460,Crime|Drama|Mystery|Thriller,2,128,25000000
Andrew Adamson,91,80,Fantasy,0,35,
Robert Towne,117,162,Biography|Drama|Sport,0,57,25000000
Richard Linklater,107,0,Drama,3,69,25000000
Giuseppe Tornatore,131,911,Crime|Drama|Mystery|Romance,2,131,13500000
Werner Herzog,122,0,Crime|Drama,2,212,20000000
Ben Stassen,88,4,Adventure|Animation|Family,2,22,
Guillaume Canet,134,0,Comedy|Drama,6,48,25000000
Taylor Hackford,117,138,Comedy|Drama|Romance|Sport,9,17,25000000
Jérôme Deschamps,80,0,Adventure|Animation|Comedy,0,24,25000000
Inna Evlannikova,85,0,Adventure|Animation|Comedy|Family,0,8,25000000
Ridley Scott,138,0,Crime|Drama|Thriller,4,431,25000000
Jonathan English,121,9,Action|Adventure|History|Romance,2,103,25000000
Sergey Bondarchuk,134,27,Action|Drama|History|War,2,76,25000000
Teddy Chan,100,3,Action|Drama,2,26,25000000
Mario Van Peebles,100,535,Action|Thriller,0,11,25000000
Stephen Frears,119,350,Drama|Romance,2,143,14000000
Walter Salles,137,179,Adventure|Drama,4,128,25000000
Leonard Nimoy,119,12000,Adventure|Comedy|Sci-Fi,5,219,25000000
Sylvester Stallone,139,13000,Drama|Sport,0,962,24000000
Ericson Core,114,19,Action|Crime|Sport|Thriller,1,163,105000000
Wes Craven,120,0,Horror|Mystery,5,488,24000000
Gavin O'Connor,98,149,Action|Drama|Western,0,56,25000000
Tim Story,106,167,Comedy|Romance,8,38,24000000
Jonathan Lynn,98,36,Comedy|Crime,4,318,24000000
Herbert Ross,107,71,Drama|Music|Romance,0,113,8200000
