director_name,director_facebook_likes,gross,genres,movie_title,actor_3_name,num_user_for_reviews,language,budget,movie_facebook_likes
John Bonito,8,18843314,Action|Drama|Thriller,The Marine ,Drew Powell,284,English,20000000,0
Peter Atencio,10,20566327,Action|Comedy,Keanu ,Keegan-Michael Key,84,English,15000000,0
Shana Feste,19,20218921,Drama|Music,Country Strong ,Tim McGraw,114,English,15000000,0
David Nutter,119,17411331,Horror|Mystery|Sci-Fi|Thriller,Disturbing Behavior ,Katharine Isabelle,237,English,15000000,673
Derek Cianfrance,310,21383298,Crime|Drama|Thriller,The Place Beyond the Pines ,Angelo Anthony Pizza,376,English,15000000,47000
Roger Donaldson,79,24984868,Action|Crime|Thriller,The November Man ,Will Patton,152,English,15000000,0
Stephan Elliott,11,16459004,Drama|Mystery|Thriller,Eye of the Beholder ,Geneviève Bujold,415,English,15000000,327
Kathryn Bigelow,0,15700000,Drama|History|Thriller|War,The Hurt Locker ,Brian Geraghty,876,English,15000000,16000
Mark L. Lester,73,15100000,Action|Horror|Sci-Fi|Thriller,Firestarter ,David Keith,96,English,15000000,0
Andrew Dominik,181,14938570,Crime|Thriller,Killing Them Softly ,Ben Mendelsohn,369,English,15000000,20000
Anton Corbijn,210,17237244,Crime|Drama|Thriller,A Most Wanted Man ,Homayoun Ershadi,158,English,15000000,13000
Tom Green,374,14249005,Comedy,Freddy Got Fingered ,Eddie Kaye Thomas,619,English,15000000,0
Mike Nawrocki,12,12701880,Adventure|Animation|Comedy|Family,The Pirates Who Don't Do Anything: A VeggieTales Movie ,Phil Vischer,22,English,15000000,175
Catherine Owens,0,10353690,Documentary|Music,U2 3D ,Larry Mullen Jr.,31,English,,116
Douglas Aarniokoski,36,12801190,Action|Adventure|Fantasy|Sci-Fi,Highlander: Endgame ,Adam Copeland,355,English,15000000,356
Bryan Barber,16,12549485,Crime|Drama|Musical|Romance,Idlewild ,Bobb'e J. Thompson,91,English,15000000,489
Lone Scherfig,92,13766014,Drama|Romance,One Day ,Rafe Spall,181,English,15000000,49000
Drew Barrymore,0,13034417,Drama|Sport,Whip It ,Alia Shawkat,118,English,15000000,10000
Brian Koppelman,34,11632420,Crime|Drama|Thriller,Knockaround Guys ,Kevin Gage,135,English,,566
James Foley,164,12212417,Crime|Thriller,Confidence ,Leland Orser,144,English,15000000,622
Albert Brooks,745,11614236,Comedy,The Muse ,Albert Brooks,140,English,15000000,251
Irwin Winkler,34,13337299,Biography|Drama|Music|Musical,De-Lovely ,Sandra Nelson,226,English,20000000,1000
Woody Allen,11000,10763469,Comedy|Drama|Romance,New York Stories ,Mia Farrow,55,English,15000000,877
Steve Gomer,9,11144518,Adventure|Family,Barney's Great Adventure ,Shirley Douglas,53,English,15000000,436
RZA,561,15608545,Action,The Man with the Iron Fists ,Daniel Wu,224,English,15000000,29000
Dean Parisot,23,10443316,Comedy|Drama|Romance,Home Fries ,Shelley Duvall,88,English,15000000,247
Mark Piznarski,4,10494147,Drama|Romance,Here on Earth ,Elaine Hendrix,162,English,15000000,648
Terry Gilliam,0,9929000,Drama|Sci-Fi,Brazil ,Jim Broadbent,513,English,15000000,16000
Sean McNamara,80,10411980,Family|Music|Romance,Raise Your Voice ,Jason Ritter,212,English,15000000,1000
,,,Drama|Fantasy|Mystery|Sci-Fi,The Dead Zone             ,Chris Bruno,77,English,,576
Joel Coen,0,17439163,Comedy|Crime,The Big Lebowski ,Steve Buscemi,1028,English,15000000,35000
Craig Brewer,153,9396487,Drama|Music,Black Snake Moan ,S. Epatha Merkerson,200,English,15000000,0
Ron Shelton,41,9059588,Crime|Drama|Romance|Thriller,Dark Blue ,Michael Michele,125,English,15000000,455
Michael Winterbottom,187,9172810,Biography|Drama|History|Thriller|War,A Mighty Heart ,Dan Futterman,118,English,16000000,923
David Raynr,9,8735529,Comedy|Drama|Romance,Whatever It Takes ,Marla Sokoloff,89,English,15000000,816
Mort Nathan,2,8586376,Comedy,Boat Trip ,Bob Gunton,132,English,20000000,1000
Oliver Parker,32,8378141,Comedy|Drama|Romance,The Importance of Being Earnest ,Rupert Everett,141,English,15000000,0
Dan Curtis,45,,Fantasy|Romance,The Love Letter ,Estelle Parsons,56,English,,515
Wil Shriner,6,8080116,Adventure|Comedy|Family,Hoot ,Tim Blake Nelson,66,English,15000000,647
Martin McDonagh,454,7757130,Comedy|Crime|Drama,In Bruges ,Eric Godon,513,English,15000000,32000
Tina Gordon Chism,24,9123834,Comedy|Romance,Peeples ,Diahann Carroll,33,English,15000000,0
Peter Cattaneo,11,6409206,Comedy|Music,The Rocker ,Josh Gad,104,English,15000000,0
Vicky Jenson,96,6373693,Comedy|Romance,Post Grad ,Bobby Coleman,53,English,15000000,0
Gus Van Sant,835,7556708,Drama,Promised Land ,Terry Kinney,102,English,15000000,10000
Woody Allen,11000,5306447,Comedy|Romance,Whatever Works ,Conleth Hill,169,English,15000000,10000
Mary Lambert,52,5217498,Drama|Mystery|Thriller,The In Crowd ,A.J. Buckley,85,English,15000000,157
Tommy Lee Jones,0,5023275,Adventure|Crime|Drama|Mystery|Western,Three Burials ,Guillermo Arriaga,199,English,15000000,0
Peter Kassovitz,0,4956401,Drama|War,Jakob the Liar ,Michael Jeter,89,English,15000000,0
Shane Black,1000,4235837,Comedy|Crime|Mystery,Kiss Kiss Bang Bang ,Larry Miller,336,English,15000000,0
Rodman Flender,6,4002955,Comedy|Fantasy|Horror|Thriller,Idle Hands ,Elden Henson,198,English,20000000,0
David Lynch,0,7219578,Drama|Mystery|Thriller,Mulholland Drive ,Laura Harring,1768,English,15000000,16000
Katja von Garnier,18,3525161,Drama|Fantasy|Horror|Romance,Blood and Chocolate ,Chris Geere,190,English,,0
Woody Allen,11000,3247816,Comedy|Drama|Romance,You Will Meet a Tall Dark Stranger ,Ewen Bremner,108,English,22000000,0
Mark Romanek,132,2412045,Drama|Romance|Sci-Fi,Never Let Me Go ,Charlotte Rampling,320,English,15000000,33000
,,,Drama|History|Thriller,The Company             ,Alessandro Nivola,39,English,,733
Brad Anderson,122,2203641,Crime|Drama|Mystery|Thriller,Transsiberian ,Mac McDonald,162,English,15000000,0
Michael Chapman,70,1953732,Adventure|Drama|Fantasy,The Clan of the Cave Bear ,Mike Muscat,62,English,15000000,843
Antonio Banderas,0,1954202,Comedy|Crime|Drama,Crazy in Alabama ,Noah Emmerich,71,English,15000000,391
Michael Haneke,0,1294640,Crime|Drama|Horror|Thriller,Funny Games ,Brady Corbet,436,English,15000000,0
Khalil Sullins,5,,Drama|Sci-Fi|Thriller,Listening ,Amber Marie Bollinger,13,English,,708
Atom Egoyan,460,819852,Drama|Thriller,Felicia's Journey ,Gerard McSorley,83,English,,284
Fritz Lang,756,26435,Drama|Sci-Fi,Metropolis ,Rudolf Klein-Rogge,413,German,6000000,12000
Pierre Morel,180,1197786,Action|Crime|Thriller,District B13 ,Dany Verissimo-Petit,157,French,12000000,0
Gary Fleder,39,529766,Crime|Drama,Things to Do in Denver When You're Dead ,Treat Williams,144,English,7000000,0
Hsiao-Hsien Hou,141,613556,Action|Drama,The Assassin ,Satoshi Tsumabuki,87,Mandarin,15000000,0
Gregor Jordan,34,353743,Comedy|Crime|Drama|Thriller|War,Buffalo Soldiers ,Leon,111,English,15000000,664
Andrey Zvyagintsev,445,502028,Drama|Mystery|Thriller,The Return ,Nataliya Vdovina,172,Russian,,0
Tony Jaa,0,102055,Action,Ong-bak 2 ,Sarunyu Wongkrachang,72,Thai,300000000,0
Neil Marshall,197,122288,Action|Adventure|Drama|History|Thriller|War,Centurion ,Dave Legeno,201,English,,0
Russell Mulcahy,85,,Action|Drama|Thriller,Silent Trigger ,Conrad Dunn,29,English,9000000,154
Ryûhei Kitamura,129,73548,Fantasy|Horror|Mystery,The Midnight Meat Train ,Leslie Bibb,209,English,15000000,0
Darrell Roodt,36,,Biography|Drama|History,Winnie Mandela ,Aubrey Poo,15,English,15000000,705
Dito Montiel,68,28870,Crime|Drama|Thriller,The Son of No One ,Tracy Morgan,41,English,15000000,0
Stefan Ruzowitzky,24,22723,Action|Comedy|Drama|War,All the Queen's Men ,Edward Fox,40,English,25000000,193
Jake Paltrow,17,20380,Comedy|Drama|Fantasy|Music|Romance,The Good Night ,Keith Allen,39,English,15000000,445
Juraj Jakubisko,15,,Biography|Drama|Fantasy|History,Bathory: Countess of Blood ,Franco Nero,32,English,,0
Anthony Silverston,0,,Adventure|Animation|Family,Khumba ,Loretta Devine,12,English,20000000,0
Gabe Ibáñez,19,,Action|Sci-Fi|Thriller,Automata ,Melanie Griffith,134,English,7000000,13000
Gerry Lively,93,,Action|Adventure|Fantasy,Dungeons & Dragons: Wrath of the Dragon God ,Steven Elder,108,English,15000000,473
Daniele Luchetti,6,,Biography,Chiamatemi Francesco - Il Papa della gente ,Ferdinando Vetere,4,Spanish,15000000,18
Tung-Shing Yee,3,,Action|Crime|Drama|Thriller,Shinjuku Incident ,Yasuaki Kurata,53,Mandarin,15000000,821
Julien Temple,67,,Biography|Drama,Pandaemonium ,Linus Roache,32,English,15000000,277
Harold Ramis,11000,70906973,Comedy|Fantasy|Romance,Groundhog Day ,Willie Garson,609,English,14600000,38000
Gregory Jacobs,13,66009973,Comedy|Drama|Music,Magic Mike XXL ,Kevin Nash,135,English,14800000,41000
Baz Luhrmann,1000,46338728,Drama|Romance,Romeo + Juliet ,Brian Dennehy,506,English,14500000,10000
Gilles Paquet-Brenner,15,7691700,Drama|War,Sarah's Key ,Arben Bajraktaraj,73,French,10000000,0
Peter Cousens,5,,Drama|Family|Music,Freedom ,Bart Shatto,13,English,14500000,998
Clint Eastwood,16000,101157447,Drama|Western,Unforgiven ,Frances Fisher,495,English,14400000,10000
Lars von Trier,3000,74205,Drama,Manderlay ,Jean-Marc Barr,81,English,14200000,1000
Danny Boyle,0,141319195,Drama|Romance,Slumdog Millionaire ,Ayush Mahesh Khedekar,1017,English,15000000,13000
Adrian Lyne,213,156645693,Drama|Romance|Thriller,Fatal Attraction ,Anne Archer,201,English,14000000,3000
Garry Marshall,0,178406268,Comedy|Romance,Pretty Woman ,Jason Alexander,271,English,14000000,11000
John Blanchard,0,,Comedy,Towering Inferno             ,Joe Flaherty,,English,,0
John Cornell,5,109306210,Action|Adventure|Comedy,Crocodile Dundee II ,John Meillon,62,English,15800000,489
Vidhu Vinod Chopra,34,,Action|Crime|Drama|Mystery|Thriller,Broken Horses ,Chad Bishop,20,English,15000000,0
Oliver Stone,0,70001698,Biography|Drama|War,Born on the Fourth of July ,Stephen Baldwin,173,English,14000000,4000
Jon Turteltaub,226,68856263,Adventure|Comedy|Family|Sport,Cool Runnings ,Malik Yoba,97,English,15000000,0
Patrick Lussier,71,51527787,Horror|Thriller,My Bloody Valentine ,Edi Gathegi,268,English,15000000,0
Ole Bornedal,30,49122319,Horror|Thriller,The Possession ,Natasha Calis,162,English,14000000,17000
Ted Kotcheff,270,,Action|Adventure|Drama,First Blood ,Chris Mulkey,376,English,14000000,0
Sylvain White,41,61356221,Drama|Music|Romance,Stomp the Yard ,Harry Lennix,162,English,14000000,0
Lewis Gilbert,43,46800000,Action|Adventure|Sci-Fi|Thriller,The Spy Who Loved Me ,Barbara Bach,275,English,14000000,0
,,,Documentary,Ghost Hunters             ,Jason Hawes,57,English,,373
Jamie Blanks,9,38048637,Horror|Mystery|Thriller,Urban Legend ,Julian Richings,426,English,14000000,0
Stephen Frears,350,34700000,Drama|Romance,Dangerous Liaisons ,Swoosie Kurtz,143,English,14000000,0
Tyler Perry,0,35010192,Comedy|Drama|Romance,Good Deeds ,Jamie Kennedy,43,English,,0
Randal Kleiser,116,34793160,Adventure|Drama,White Fang ,Susan Hogan,31,English,14000000,0
Bruce McCulloch,54,30628981,Comedy|Romance,Superstar ,Molly Shannon,160,English,14000000,2000
Phyllida Lloyd,58,29959436,Biography|Drama|History,The Iron Lady ,Olivia Colman,350,English,13000000,18000
Mike Nawrocki,12,25571351,Adventure|Animation|Comedy|Drama|Family|Musical,Jonah: A VeggieTales Movie ,Shelby Vischer,78,English,14000000,184
John Singleton,309,27515786,Drama|Romance,Poetic Justice ,Maya Angelou,31,English,14000000,0
Kevin Bray,10,25482931,Action|Comedy|Crime|Thriller,All About the Benjamins ,Gino Salvano,33,English,14000000,530
Wes Craven,0,19900000,Comedy|Fantasy|Horror|Romance,Vampire in Brooklyn ,Allen Payne,53,English,20000000,1000
John Boorman,128,,Horror,Exorcist II: The Heretic ,Ned Beatty,252,English,14000000,889
Courtney Solomon,31,16298046,Horror|Mystery|Thriller,An American Haunting ,Vernon Dobtcheff,747,English,14000000,0
David Zucker,119,15549702,Comedy|Romance,My Boss's Daughter ,Molly Shannon,123,English,14000000,411
David Twohy,123,15483540,Adventure|Mystery|Thriller,A Perfect Getaway ,Marley Shelton,215,English,14000000,4000
Rick Famuyiwa,44,20246959,Comedy|Romance,Our Family Wedding ,Lupe Ontiveros,20,English,14000000,1000
Alan Cohn,0,15062898,Comedy,Dead Man on Campus ,Poppy Montgomery,106,English,14000000,645
Franco Zeffirelli,160,14348123,Comedy|Drama|War,Tea with Mussolini ,Paolo Seganti,157,English,12000000,970
Tom Holland,85,15171475,Fantasy|Horror,Thinner ,Kari Wuhrer,122,English,8500000,0
Martin Scorsese,17000,,Drama|Music|Musical|Romance,New York, New York ,Mary Kay Place,75,English,14000000,932
Spike Lee,0,13640000,Comedy|Drama,Crooklyn ,Isaiah Washington,39,English,14000000,905
Chris Rock,0,12550242,Comedy|Drama|Romance,I Think I Love My Wife ,Wendell Pierce,55,English,,488
James Isaac,52,12610731,Action|Horror|Sci-Fi|Thriller,Jason X ,Lexa Doig,673,English,11000000,0
Shawn Levy,189,47811275,Adventure|Comedy|Family,Big Fat Liar ,Lee Majors,99,English,15000000,896
Emilio Estevez,0,11204499,Drama|History,Bobby ,Brian Geraghty,270,English,14000000,0
Mark Waters,70,10397365,Comedy|Mystery|Romance,Head Over Heels ,China Chow,104,English,14000000,613
Josh Schwartz,90,9402410,Adventure|Comedy,Fun Size ,Osric Chau,32,English,14000000,0
Julian Schnabel,232,5990075,Biography|Drama,The Diving Bell and the Butterfly ,Isaach De Bankolé,175,French,,13000
Todd Field,143,5459824,Drama|Romance,Little Children ,Jane Adams,320,English,26000000,5000
Davis Guggenheim,49,5108820,Drama|Mystery|Thriller,Gossip ,Noam Jenkins,112,English,24000000,853
Tony Goldwyn,956,4741987,Drama,A Walk on the Moon ,Tovah Feldshuh,114,English,14000000,860
Phillip Noyce,176,4291965,Biography|Drama|History,Catch a Fire ,Bonnie Henna,59,English,14000000,447
Stephen Carpenter,12,3100650,Drama|Horror|Mystery|Thriller,Soul Survivors ,Candace Kroslak,181,English,14000000,231
James Ivory,133,2474000,Biography|Drama|History|Romance,Jefferson in Paris ,Nigel Whitmey,27,English,14000000,127
Stephan Elliott,11,2656324,Comedy|Romance,Easy Virtue ,Kris Marshall,79,English,,2000
James Fargo,109,1000000,Action|Adventure|History,Caravans ,Behrouz Vossoughi,8,English,14000000,76
Mike Leigh,608,3958500,Biography|Drama|History,Mr. Turner ,Karl Johnson,165,English,8200000,0
Alain Resnais,752,403649,Drama|Romance,Wild Grass ,Edouard Baer,31,French,,512
Costa-Gavras,333,274299,Biography|Crime|Drama|War,Amen. ,Ulrich Mühe,55,English,103000000,0
Chao-Bin Su,2,,Action,Reign of Assassins ,Kelly Lin,34,Mandarin,12000000,1000
Neil Burger,168,183088,Comedy|Drama|War,The Lucky Ones ,Mark L. Young,36,English,15000000,702
Kenneth Lonergan,50,46495,Drama,Margaret ,John Gallagher Jr.,119,English,14000000,0
Bo Zenga,10,,Comedy|Horror,Stan Helsing ,Diora Baird,66,English,,934
Rob Reiner,0,1752214,Comedy|Drama|Romance,Flipped ,Aidan Quinn,104,English,14000000,14000
Ang Lee,0,83025853,Drama|Romance,Brokeback Mountain ,Anne Hathaway,2254,English,14000000,13000
Jonathan Liebesman,473,190871240,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles ,Jeremy Howard,491,English,125000000,62000
Amy Heckerling,143,56631572,Comedy|Romance,Clueless ,Elisa Donovan,248,English,12000000,0
Todd Haynes,162,15854988,Drama|Romance,Far from Heaven ,Michael Gaston,378,English,13500000,0
Steve Pink,38,12282677,Comedy|Sci-Fi,Hot Tub Time Machine 2 ,Collette Wolfe,96,English,14000000,0
,,447093,Drama,Dekalog             ,Olgierd Lukaszewicz,37,Polish,,0
Philip Kaufman,133,7060876,Biography|Drama,Quills ,Amelia Warner,314,English,13500000,0
Martin McDonagh,454,14989761,Comedy|Crime,Seven Psychopaths ,Michael Stuhlbarg,284,English,15000000,52000
Kasi Lemmons,148,687081,Crime|Drama|Music|Mystery|Thriller,The Caveman's Valentine ,Aunjanue Ellis,59,English,,329
,,,Action|Crime|Drama|Thriller,The Border             ,Jaroslaw Boberek,2,Polish,,64
Oliver Hirschbiegel,101,5501940,Biography|Drama|History|War,Downfall ,Alexandra Maria Lara,564,German,13500000,14000
Alejandro Amenábar,448,2086345,Biography|Drama|Romance,The Sea Inside ,Tamar Novas,140,Spanish,10000000,0
Jonathan Glazer,143,2605039,Drama|Horror|Sci-Fi|Thriller,Under the Skin ,Alison Chand,616,English,,29000
Barry Levinson,272,123922370,Biography|Comedy|Drama|War,Good Morning, Vietnam ,Bruno Kirby,131,English,13000000,0
Hyung-rae Shim,26,163591,Comedy,The Last Godfather ,Michael Rispoli,17,English,13400000,502
Jon M. Chu,209,73000942,Documentary|Music,Justin Bieber: Never Say Never ,Boys II Men,233,English,13000000,62000
Darren Aronofsky,0,106952327,Drama|Thriller,Black Swan ,Mark Margolis,1140,English,13000000,106000
José Padilha,294,58607007,Action|Crime|Sci-Fi|Thriller,RoboCop ,Jennifer Ehle,630,English,100000000,60000
Francis Ford Coppola,0,57300000,Crime|Drama,The Godfather: Part II ,Robert Duvall,650,English,13000000,14000
Thomas Carter,49,91038276,Drama|Music|Romance,Save the Last Dance ,Fredro Starr,320,English,13000000,0
Renny Harlin,212,49369900,Fantasy|Horror|Thriller,A Nightmare on Elm Street 4: The Dream Master ,Brooke Bundy,260,English,7000000,0
Patricia Riggen,36,61693523,Drama,Miracles from Heaven ,Martin Henderson,55,English,13000000,16000
Danny Leiner,8,46729374,Comedy|Mystery,Dude, Where's My Car? ,Marla Sokoloff,469,English,13000000,0
Christopher Cain,58,44726644,Action|Crime|Drama|Thriller|Western,Young Guns ,Brian Keith,120,English,13000000,0
Theodore Melfi,51,44134898,Comedy|Drama,St. Vincent ,Reg E. Cathey,171,English,13000000,33000
Steve Pink,38,48637684,Comedy|Romance,About Last Night ,Bryan Callen,42,English,12500000,0
Gil Junger,19,38176108,Comedy|Drama|Romance,10 Things I Hate About You ,Andrew Keegan,549,English,16000000,10000
Ed Decter,13,28972187,Comedy,The New Guy ,Gene Simmons,159,English,13000000,1000
Gene Quintano,0,27979400,Action|Comedy|Crime,Loaded Weapon 1 ,Bill Nunn,72,English,8200000,0
Jaume Collet-Serra,174,54257433,Drama|Horror|Thriller,The Shallows ,Sedona Legge,139,English,17000000,0
Eric Bress,19,23947,Sci-Fi|Thriller,The Butterfly Effect ,Cameron Bright,1100,English,13000000,15000
Chris Koch,13,60008303,Adventure|Comedy|Family,Snow Day ,Jean Smart,91,English,13000000,0
Preston A. Whitmore II,17,49121934,Comedy|Drama|Romance,This Christmas ,Loretta Devine,32,English,13000000,0
