director_facebook_likes,genres,movie_imdb_link,language,aspect_ratio,movie_facebook_likes
17,Horror,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,English,1.85,0
12,Adventure|Comedy,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,English,2.35,21000
39,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,English,2.35,0
29,Crime|Thriller,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,English,2.35,0
108,Drama|Thriller,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,English,2.35,0
350,Comedy|Drama|Music|Romance,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,English,1.85,10000
2,Horror|Mystery,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,English,1.85,0
154,Crime|Drama|Thriller,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,English,1.85,613
79,Crime|Drama|Romance|Thriller,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,English,2.35,0
1000,Drama|Fantasy|Romance|Sci-Fi,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,English,1.85,52000
99,Comedy|Family|Romance,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,English,2.35,0
453,Action|Crime|Drama|Thriller,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,English,2.35,0
1000,Action|Comedy|Sci-Fi,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,English,2.35,49000
26,Comedy|Crime|Family|Mystery|Romance|Thriller,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,English,2.35,590
35,Action|Horror|Sci-Fi|Thriller,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,English,2.35,0
14,Comedy|Romance,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,English,2.35,0
15,Adventure|Comedy|Family|Romance,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,English,1.85,6000
19,Horror|Thriller,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,English,2.35,0
23,Action|Adventure|Drama|Romance|Western,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,English,2.35,0
0,Adventure|Animation|Comedy|Family|Romance,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,English,1.85,0
212,Action|Fantasy|Horror|Thriller,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,English,2.35,3000
31,Comedy|Drama|Sport,http://www.imdb.com/title/tt0430634/?ref_=fn_tt_tt_1,English,1.85,0
0,Comedy|Family|Fantasy,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,English,1.85,431
835,Comedy|Crime|Drama,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,English,1.85,1000
24,Adventure|Crime|Mystery|Sci-Fi|Thriller,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,English,,0
0,Crime|Drama|Western,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,English,2.35,0
0,Action|Horror|Thriller,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,English,2.35,0
,Action|Adventure|Animation|Family|Fantasy,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,Japanese,,124
13000,Horror|Mystery|Thriller,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,English,1.85,18000
41,Comedy|Romance,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,English,1.85,0
19,Drama|Romance,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,English,2.35,0
0,Comedy|Drama,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,English,2.35,681
15,Comedy,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,English,1.78,501
503,Adventure|Comedy|Drama|Fantasy,http://www.imdb.com/title/tt0089457/?ref_=fn_tt_tt_1,English,2.35,0
160,Comedy|Drama|Family,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,English,1.85,0
57,Drama,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,English,2.35,0
0,Adventure|Biography|Drama,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,English,2.35,76000
480,Comedy,http://www.imdb.com/title/tt0462519/?ref_=fn_tt_tt_1,English,2.35,484
83,Adventure|Drama|Horror|Mystery|Thriller,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,English,2.35,25000
0,Crime|Fantasy|Horror,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,English,1.85,12000
0,Animation|Family|Fantasy|Mystery,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,English,1.85,264
0,Comedy|Drama|Romance,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,English,1.85,0
0,Action|Comedy|Crime|Fantasy,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,Cantonese,2.35,0
,Comedy,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,English,1.33,4
0,Comedy|Family|Music|Musical,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,English,1.85,422
395,Drama,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,Dari,2.35,0
0,Drama,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,English,1.85,0
2,Action|Crime|Drama|Thriller,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,English,2.35,269
308,Drama|Fantasy|Romance,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,English,2.35,19000
13,Comedy|Romance,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,English,1.85,401
143,Comedy|Romance,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,English,1.85,1000
909,Crime|Documentary|News,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,English,1.85,10000
126,Biography|Drama|History,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,English,2.76,1000
53,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,English,2.35,0
82,Comedy,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,English,1.85,0
190,Action|Crime|Thriller,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,English,2.35,0
36,Action|Comedy|Crime|Thriller,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,English,1.85,0
20,Comedy|Romance,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,English,1.85,0
4,Action|Adventure|Sci-Fi|Thriller,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,English,2.35,10000
272,Comedy,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,English,1.85,713
83,Action|Crime|Sci-Fi|Thriller,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,English,1.85,0
11000,Comedy|Crime,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,English,1.85,979
6,Biography|Drama|History,http://www.imdb.com/title/tt0430431/?ref_=fn_tt_tt_1,English,2.35,0
176,Drama|Mystery|Romance|Thriller|War,http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1,English,2.35,983
563,Comedy|Drama,http://www.imdb.com/title/tt0384680/?ref_=fn_tt_tt_1,English,1.85,0
394,Action|Crime|Drama|Sport,http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1,English,2.35,977
192,Comedy|Drama|Fantasy|Romance,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,English,1.85,0
212,Action|Crime|Thriller,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,English,2.35,0
198,Drama|Fantasy|Horror|Mystery,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,English,2.35,25000
18,Action|Comedy|Family,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,English,1.85,444
1000,Comedy,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,English,2.35,0
350,Comedy|Drama|Music|War,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,English,1.85,0
214,Action|Crime|Drama|Thriller,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,English,2.35,0
11000,Comedy,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,English,1.85,0
4,Comedy|Romance,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,English,1.37,311
53,Comedy|Drama,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,English,2.35,25000
277,Comedy|Crime,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,English,2.35,855
11000,Comedy|Musical|Romance,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,English,1.85,0
0,Comedy,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,English,1.85,0
0,Action|Crime|Thriller,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,English,2.35,0
52,Adventure|Drama,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,English,2.35,10000
84,Comedy|Family|Sci-Fi,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,English,2.35,0
10,Action|Comedy|Crime,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,English,1.85,676
10,Action|Comedy|Crime,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,English,1.85,233
54,Comedy|Crime|Music,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,English,1.85,924
189,Comedy|Drama|Music|Musical|Romance,http://www.imdb.com/title/tt0065054/?ref_=fn_tt_tt_1,English,2.35,548
0,Comedy|Crime|Drama|Mystery|Romance,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,English,1.85,18000
3,Adventure|Animation|Comedy|Family|Fantasy,http://www.imdb.com/title/tt0763304/?ref_=fn_tt_tt_1,English,1.85,346
9,Drama|Music,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,English,1.85,0
,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt1714204/?ref_=fn_tt_tt_1,English,16.0,0
119,Comedy|Fantasy,http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,English,2.35,797
0,Action|Comedy|Crime|Thriller,http://www.imdb.com/title/tt2002718/?ref_=fn_tt_tt_1,English,1.85,48000
17,Drama|Horror|Sci-Fi|Thriller,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,English,2.35,0
29,Adventure|Comedy,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,English,2.35,847
608,Biography|Comedy|Drama|History|Music|Musical,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,English,1.66,608
38,Drama|War,http://www.imdb.com/title/tt1810683/?ref_=fn_tt_tt_1,English,2.35,15000
0,Biography|Drama|Thriller,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,English,1.85,36000
0,Animation|Drama|Mystery|Sci-Fi|Thriller,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,English,1.85,0
150,Biography|Drama|Sport,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,English,1.85,13000
892,Horror|Sci-Fi,http://www.imdb.com/title/tt0369226/?ref_=fn_tt_tt_1,English,2.35,1000
650,Comedy|Drama|Family|Music|Romance,http://www.imdb.com/title/tt0976222/?ref_=fn_tt_tt_1,English,2.35,1000
143,Drama|Mystery|Romance|Thriller,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,English,1.85,0
78,Action|Crime|Drama|Thriller,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,English,2.35,0
329,Drama|History|Romance|War,http://www.imdb.com/title/tt1092082/?ref_=fn_tt_tt_1,English,2.35,971
18,Biography|Drama,http://www.imdb.com/title/tt1054588/?ref_=fn_tt_tt_1,English,2.35,0
162,Biography|Drama|Music,http://www.imdb.com/title/tt0368794/?ref_=fn_tt_tt_1,English,2.35,0
19,Action|Thriller,http://www.imdb.com/title/tt1366365/?ref_=fn_tt_tt_1,English,2.35,0
0,Adventure|Comedy|Drama|Romance,http://www.imdb.com/title/tt0844286/?ref_=fn_tt_tt_1,English,2.35,0
0,Comedy|Drama|Romance,http://www.imdb.com/title/tt0383028/?ref_=fn_tt_tt_1,English,2.35,13000
6000,Adventure|Animation|Fantasy,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,Japanese,1.85,11000
22,Comedy|Drama|Mystery|Romance|Thriller|War,http://www.imdb.com/title/tt0310778/?ref_=fn_tt_tt_1,French,2.35,235
42,Biography|Comedy|Musical,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,English,2.35,1000
214,Crime|Drama|Western,http://www.imdb.com/title/tt0421238/?ref_=fn_tt_tt_1,English,2.35,0
14,Biography|Drama|Sport,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,English,2.35,0
121,Comedy|Music,http://www.imdb.com/title/tt0266747/?ref_=fn_tt_tt_1,English,1.85,241
110,Action|Drama|Sci-Fi|Thriller,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,English,2.35,20000
55,Drama|War,http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1,English,2.35,1000
115,Crime|Drama|Romance|Thriller,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,English,2.35,401
12,Adventure|Family|Fantasy|Musical,http://www.imdb.com/title/tt1520498/?ref_=fn_tt_tt_1,English,,831
11000,Drama|Romance,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,English,2.35,0
78,Action|Adventure|Animation|Family|Sci-Fi|Thriller,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,Japanese,1.85,973
25,Drama|History|Sport,http://www.imdb.com/title/tt0354595/?ref_=fn_tt_tt_1,English,2.35,445
46,Crime|Drama|Mystery|Romance|Thriller,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,English,1.85,0
58,Action|Adventure|Drama|History|Romance,http://www.imdb.com/title/tt0110944/?ref_=fn_tt_tt_1,English,2.35,399
0,Comedy|Family|Sci-Fi,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,Cantonese,2.35,1000
8,Comedy|Family|Fantasy|Sci-Fi,http://www.imdb.com/title/tt0120882/?ref_=fn_tt_tt_1,French,2.35,136
14,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,http://www.imdb.com/title/tt1013860/?ref_=fn_tt_tt_1,English,2.35,0
3,Crime|Drama|Mystery,http://www.imdb.com/title/tt0274711/?ref_=fn_tt_tt_1,English,1.85,217
,Drama|Family,http://www.imdb.com/title/tt0166038/?ref_=fn_tt_tt_1,English,,0
278,Comedy|Drama|Fantasy|Romance,http://www.imdb.com/title/tt1274300/?ref_=fn_tt_tt_1,English,2.35,0
448,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt3319920/?ref_=fn_tt_tt_1,English,2.35,0
23,Romance|Short,http://www.imdb.com/title/tt1128219/?ref_=fn_tt_tt_1,English,1.85,30
10,Action|Drama|History|War,http://www.imdb.com/title/tt0882978/?ref_=fn_tt_tt_1,Mandarin,2.35,314
5,Crime|Drama|Thriller,http://www.imdb.com/title/tt0489664/?ref_=fn_tt_tt_1,English,2.35,0
0,Adventure|Animation|Comedy|Family,http://www.imdb.com/title/tt1488181/?ref_=fn_tt_tt_1,English,1.78,1000
0,Biography|Drama|History,http://www.imdb.com/title/tt3037162/?ref_=fn_tt_tt_1,English,2.35,58
2,Animation,http://www.imdb.com/title/tt1134666/?ref_=fn_tt_tt_1,English,,70
23,Action|Biography|Drama|Sport,http://www.imdb.com/title/tt1781827/?ref_=fn_tt_tt_1,English,,0
160,Action|Crime|Thriller,http://www.imdb.com/title/tt3247714/?ref_=fn_tt_tt_1,English,2.35,0
17,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt2005374/?ref_=fn_tt_tt_1,English,2.35,11000
43,Drama|Romance,http://www.imdb.com/title/tt0446755/?ref_=fn_tt_tt_1,Mandarin,2.35,0
34,Action|Biography|Crime|Drama,http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,German,1.85,0
0,Adventure|Drama|Western,http://www.imdb.com/title/tt0099348/?ref_=fn_tt_tt_1,English,2.35,0
52,Comedy,http://www.imdb.com/title/tt1284575/?ref_=fn_tt_tt_1,English,1.85,16000
17,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt0098273/?ref_=fn_tt_tt_1,English,1.85,0
15,Comedy|Family|Romance,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,English,1.85,0
0,Horror|Mystery,http://www.imdb.com/title/tt0117571/?ref_=fn_tt_tt_1,English,2.35,11000
17,Horror,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,English,1.33,0
0,Drama|Horror,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,English,1.37,37000
0,Adventure|Comedy|Sci-Fi,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,English,1.18,39000
37,Horror|Mystery|Thriller,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,English,1.37,0
0,Comedy|Drama,http://www.imdb.com/title/tt1385912/?ref_=fn_tt_tt_1,English,1.85,1000
97,Action|Drama,http://www.imdb.com/title/tt4280822/?ref_=fn_tt_tt_1,English,,1000
8,Comedy|Drama|Romance,http://www.imdb.com/title/tt0889573/?ref_=fn_tt_tt_1,English,2.35,0
189,Comedy|Romance,http://www.imdb.com/title/tt0305711/?ref_=fn_tt_tt_1,English,1.85,0
93,Biography|Drama|Thriller,http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1,English,2.35,14000
,Comedy|Drama|Reality-TV|Romance,http://www.imdb.com/title/tt1697237/?ref_=fn_tt_tt_1,English,1.33,0
2,Adventure|Comedy|Drama|Family|Fantasy,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,English,1.85,663
42,Horror|Thriller,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,English,2.35,0
6000,Adventure|Animation|Family|Fantasy,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,Japanese,1.85,28000
0,Action|Crime|Thriller,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,Mandarin,2.35,332
79,Action|Adventure|Drama|History|Romance,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,English,2.35,1000
33,Drama|War,http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1,English,2.35,53000
51,Adventure|Comedy|Romance,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,English,1.85,0
14,Comedy|Romance,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,English,2.35,13000
75,Drama|History|War,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,English,2.2,560
31,Comedy|Drama|Romance,http://www.imdb.com/title/tt0810922/?ref_=fn_tt_tt_1,English,2.35,0
33,Drama,http://www.imdb.com/title/tt1870529/?ref_=fn_tt_tt_1,English,2.35,0
22,Family|Fantasy|Music,http://www.imdb.com/title/tt0107719/?ref_=fn_tt_tt_1,English,1.85,238
500,Crime|Drama|Music|Thriller,http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1,English,1.85,228
44,Drama,http://www.imdb.com/title/tt4193394/?ref_=fn_tt_tt_1,Hebrew,2.0,599
15,Drama|Horror|Mystery|Thriller,http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1,English,2.35,0
0,Comedy|Drama,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,English,1.85,0
0,Horror,http://www.imdb.com/title/tt0418819/?ref_=fn_tt_tt_1,English,2.35,0
15,Action,http://www.imdb.com/title/tt2957680/?ref_=fn_tt_tt_1,Chinese,1.85,124
0,Adventure|Comedy|Drama,http://www.imdb.com/title/tt0120669/?ref_=fn_tt_tt_1,English,2.35,15000
0,Comedy|Fantasy|Romance,http://www.imdb.com/title/tt1058017/?ref_=fn_tt_tt_1,English,1.85,13000
89,Comedy,http://www.imdb.com/title/tt2004420/?ref_=fn_tt_tt_1,English,2.35,21000
55,Action|Comedy|Crime|Fantasy,http://www.imdb.com/title/tt0110475/?ref_=fn_tt_tt_1,English,1.85,0
545,Comedy|Drama|Family|Fantasy|Romance,http://www.imdb.com/title/tt0094737/?ref_=fn_tt_tt_1,English,1.85,0
119,Comedy,http://www.imdb.com/title/tt0443453/?ref_=fn_tt_tt_1,English,1.85,0
