num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,language,content_rating,title_year,aspect_ratio,movie_facebook_likes
102,130,427,10000,Action|Adventure|Family|Sci-Fi|Thriller,Gary Oldman,58402,12186,June Lockhart,0,http://www.imdb.com/title/tt0120738/?ref_=fn_tt_tt_1,English,PG-13,1998,2.35,0
209,129,502,18000,Drama|Mystery|Sci-Fi|Thriller,Denzel Washington,86422,20056,Jose Pablo Cantillo,1,http://www.imdb.com/title/tt0368008/?ref_=fn_tt_tt_1,English,R,2004,1.85,0
19,117,87,898,Drama|Romance,Vanessa Redgrave,666,1753,Michael Brandon,0,http://www.imdb.com/title/tt0119033/?ref_=fn_tt_tt_1,English,PG-13,1997,1.85,91
152,89,859,12000,Animation|Comedy|Family|Fantasy,Steve Buscemi,56501,26839,Fran Drescher,0,http://www.imdb.com/title/tt2510894/?ref_=fn_tt_tt_1,English,PG,2015,1.85,16000
31,25,474,1000,Comedy|Family|Fantasy,Elizabeth Montgomery,11427,2614,Dick York,1,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,English,TV-G,,4.0,0
129,74,62,340,Animation|Family|Fantasy|Music,Quincy Jones,27543,814,Russi Taylor,0,http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1,English,G,1999,1.78,607
124,96,102,891,Action|Adventure|Sci-Fi,Mark Addy,103787,1919,Josh Stamberg,0,http://www.imdb.com/title/tt0268695/?ref_=fn_tt_tt_1,English,PG-13,2002,2.35,3000
35,114,372,9000,Action|Adventure|Family|Fantasy|Thriller,Charlize Theron,22955,10731,David Paymer,0,http://www.imdb.com/title/tt0120751/?ref_=fn_tt_tt_1,English,PG,1998,1.85,0
166,99,820,20000,Action|Crime|Thriller,Hugh Jackman,155532,25942,Sam Shepard,4,http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1,English,R,2001,2.35,0
137,129,163,2000,Action|Adventure|Western,Michael Emerson,71574,2864,Adrian Alonso,1,http://www.imdb.com/title/tt0386140/?ref_=fn_tt_tt_1,Spanish,PG,2005,2.35,951
121,113,129,49000,Drama|Fantasy|Romance,Robin Williams,83560,49631,Rosalind Chao,1,http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1,English,PG-13,1998,2.35,32000
87,90,658,11000,Comedy|Fantasy,Adam Sandler,80639,25190,Michael McKean,0,http://www.imdb.com/title/tt0185431/?ref_=fn_tt_tt_1,English,PG-13,2000,1.85,0
233,118,871,13000,Action|Adventure|Comedy|Fantasy|Thriller,Matt Damon,98472,27114,Mackenzie Crook,2,http://www.imdb.com/title/tt0355295/?ref_=fn_tt_tt_1,English,PG-13,2005,1.85,0
132,106,733,20000,Action|Comedy|Sci-Fi,Natalie Portman,172217,22590,Lukas Haas,3,http://www.imdb.com/title/tt0116996/?ref_=fn_tt_tt_1,English,PG-13,1996,2.35,0
63,81,8,23,Drama|Horror|Mystery|Sci-Fi,Nissim Renard,979,54,Julie-Marie Parmentier,0,http://www.imdb.com/title/tt4291590/?ref_=fn_tt_tt_1,French,,2015,2.35,257
95,117,904,12000,Action|Adventure|Drama|Thriller,Anthony Hopkins,55913,14831,Bart the Bear,2,http://www.imdb.com/title/tt0119051/?ref_=fn_tt_tt_1,English,R,1997,2.35,0
258,89,1000,13000,Action|Sci-Fi|Thriller,Bruce Willis,151424,18132,Boris Kodjoe,5,http://www.imdb.com/title/tt0986263/?ref_=fn_tt_tt_1,English,PG-13,2009,2.35,0
162,145,183,981,Drama|History|Thriller,Bruce Greenwood,45231,1825,Bruce Thomas,1,http://www.imdb.com/title/tt0146309/?ref_=fn_tt_tt_1,English,PG-13,2000,1.85,0
61,114,366,13000,Action|Adventure|Drama|Thriller,Sylvester Stallone,53132,25126,Amy Brenneman,0,http://www.imdb.com/title/tt0116040/?ref_=fn_tt_tt_1,English,PG-13,1996,1.85,0
113,87,210,882,Adventure|Animation|Family,Charlie Rowe,8913,1971,Madison Rothschild,0,http://www.imdb.com/title/tt1762399/?ref_=fn_tt_tt_1,English,PG,2013,2.35,0
174,119,41,743,Action|Adventure|Sci-Fi,Richard Tyson,65464,971,John Topor,0,http://www.imdb.com/title/tt0185183/?ref_=fn_tt_tt_1,English,PG-13,2000,2.35,0
101,91,695,3000,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Brendan Fraser,24183,5593,Heather Locklear,4,http://www.imdb.com/title/tt0318155/?ref_=fn_tt_tt_1,English,PG,2003,2.35,665
205,118,30,529,Drama|Musical|Romance,Fergie,37446,619,Andrea Di Stefano,4,http://www.imdb.com/title/tt0875034/?ref_=fn_tt_tt_1,English,PG-13,2009,2.35,0
123,116,982,23000,Action|Adventure|Sci-Fi,Paul Walker,53057,43887,Ethan Embry,0,http://www.imdb.com/title/tt0300556/?ref_=fn_tt_tt_1,English,PG-13,2003,2.35,0
79,177,582,766,Action|Adventure|Drama|Sci-Fi,Olivia Williams,56403,4346,Larenz Tate,1,http://www.imdb.com/title/tt0119925/?ref_=fn_tt_tt_1,English,R,1997,2.35,0
61,97,231,1000,Adventure|Comedy|Drama|Family|Fantasy,Adam Goldberg,24868,2521,Glenne Headly,0,http://www.imdb.com/title/tt0120595/?ref_=fn_tt_tt_1,English,G,1998,1.85,964
202,106,612,14000,Action|Adventure|Fantasy,Vin Diesel,58752,16922,Lotte Verbeek,0,http://www.imdb.com/title/tt1618442/?ref_=fn_tt_tt_1,English,PG-13,2015,2.35,21000
145,106,0,2,Action|Sci-Fi|Thriller,Bob Neill,47612,2,Tom Sizemore,1,http://www.imdb.com/title/tt0199753/?ref_=fn_tt_tt_1,English,PG-13,2000,2.35,995
101,94,14,563,Adventure|Animation|Family|Fantasy,Mia Farrow,25843,683,Penny Balfour,0,http://www.imdb.com/title/tt0344854/?ref_=fn_tt_tt_1,English,PG,2006,2.35,941
113,104,7,67,Documentary|Drama,Pedro Armendáriz Jr.,7630,152,Rie Miyazawa,0,http://www.imdb.com/title/tt0765128/?ref_=fn_tt_tt_1,French,G,2009,2.35,0
113,102,212,1000,Action|Adventure|Horror|Sci-Fi|Thriller,David Oyelowo,16474,1890,Jemima Rooper,0,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1,English,PG-13,2005,2.35,785
272,105,74,795,Action|Adventure|Drama|History|Romance,Sasha Roiz,84508,1099,Dylan Schombing,0,http://www.imdb.com/title/tt1921064/?ref_=fn_tt_tt_1,English,PG-13,2014,2.35,20000
3,89,20,163,Animation|Family,Sariann Monaco,230,370,Ben Diskin,0,http://www.imdb.com/title/tt4057916/?ref_=fn_tt_tt_1,Spanish,PG,2015,,138
205,135,535,1000,Biography|Drama,Adam Goldberg,610568,2827,Judd Hirsch,0,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1,English,PG-13,2001,1.85,29000
186,73,847,2000,Adventure|Animation|Drama|Family|Musical,Matthew Broderick,644348,6458,Niketa Calame,0,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1,English,G,1994,1.66,17000
178,94,722,14000,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Josh Hutcherson,67296,27842,Kristin Davis,3,http://www.imdb.com/title/tt1397514/?ref_=fn_tt_tt_1,English,PG,2012,1.85,0
169,95,18,622,Animation|Comedy|Family|Fantasy|Sci-Fi,Will Forte,64387,848,Melissa Sturm,0,http://www.imdb.com/title/tt1985966/?ref_=fn_tt_tt_1,English,PG,2013,2.35,15000
210,124,876,22000,Crime|Drama|Thriller,Philip Seymour Hoffman,204063,35867,Emily Watson,0,http://www.imdb.com/title/tt0289765/?ref_=fn_tt_tt_1,English,R,2002,2.35,0
140,136,1000,24000,Action|Adventure|Western,J.K. Simmons,67856,36925,Peter Mensah,1,http://www.imdb.com/title/tt0317648/?ref_=fn_tt_tt_1,English,PG-13,2004,2.35,0
156,91,553,14000,Comedy,Al Pacino,60370,27405,Tim Meadows,2,http://www.imdb.com/title/tt0810913/?ref_=fn_tt_tt_1,English,PG,2011,1.85,0
150,107,771,23000,Action|Crime|Thriller,Paul Walker,191912,25296,Mo Gallini,5,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,English,PG-13,2003,2.35,0
119,108,6000,12000,Adventure|Animation|Drama|Family|Fantasy,Jeff Bridges,28276,30230,Mackenzie Foy,1,http://www.imdb.com/title/tt1754656/?ref_=fn_tt_tt_1,English,PG,2015,2.35,31000
232,99,327,1000,Sci-Fi|Thriller,Roger Rees,65037,2323,Jeremy Northam,2,http://www.imdb.com/title/tt0427392/?ref_=fn_tt_tt_1,English,PG-13,2007,1.85,0
49,92,924,22000,Adventure|Animation|Comedy|Family|Fantasy,Robert De Niro,16611,28050,Jonathan Winters,0,http://www.imdb.com/title/tt0131704/?ref_=fn_tt_tt_1,English,PG,2000,1.85,413
165,87,745,1000,Animation|Comedy|Family,Steve Coogan,24407,4782,Albert Brooks,0,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,English,PG,2016,1.85,36000
202,110,845,1000,Action|Adventure|Fantasy|Sci-Fi,Jason Flemyng,141533,4714,Tony Curran,3,http://www.imdb.com/title/tt0311429/?ref_=fn_tt_tt_1,English,PG-13,2003,2.35,0
306,98,1000,7000,Animation|Comedy|Family|Sci-Fi,Steve Carell,286877,11905,Steve Coogan,0,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,English,PG,2013,1.85,56000
185,154,933,10000,Action|Adventure|Sci-Fi,Will Smith,430055,16785,Mary McDonnell,0,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,English,PG-13,1996,2.35,16000
177,129,227,610,Action|Adventure|Sci-Fi,Ariana Richards,278362,1635,Vanessa Lee Chester,0,http://www.imdb.com/title/tt0119567/?ref_=fn_tt_tt_1,English,PG-13,1997,1.85,0
181,86,179,851,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,266636,1777,Andy Richter,0,http://www.imdb.com/title/tt0351283/?ref_=fn_tt_tt_1,English,PG,2005,1.85,0
372,109,18,16000,Drama|Sci-Fi|Thriller,Charlie Hunnam,361767,16479,Rita Davies,0,http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1,English,R,2006,1.85,17000
290,104,505,20000,Action|Adventure|Sci-Fi,Hugh Jackman,452928,21397,Bruce Davison,0,http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1,English,PG-13,2000,2.35,0
316,110,988,11000,Action|Crime|Fantasy|Thriller,Angelina Jolie Pitt,299852,25763,Common,0,http://www.imdb.com/title/tt0493464/?ref_=fn_tt_tt_1,English,R,2008,2.35,0
122,136,904,12000,Action|Adventure|Thriller,Nicolas Cage,259492,15999,Bokeem Woodbine,1,http://www.imdb.com/title/tt0117500/?ref_=fn_tt_tt_1,English,R,1996,2.35,51000
164,115,241,835,Action|Adventure|Animation|Comedy|Family|Fantasy,Denis Leary,194249,1815,Jay Leno,0,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1,English,PG,2006,1.85,0
147,99,328,11000,Comedy|Romance,Adam Sandler,266103,12952,Allen Covert,2,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,English,PG-13,2004,2.35,11000
219,117,260,719,Comedy|Drama|Family|Music|Musical|Romance,Jerry Stiller,98693,1673,Paul Dooley,9,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1,English,PG,2007,2.35,0
167,125,394,613,Horror|Mystery|Thriller,James D'Arcy,28635,1970,Izabella Scorupco,0,http://www.imdb.com/title/tt0204313/?ref_=fn_tt_tt_1,English,R,2004,2.0,893
70,110,692,2000,Action|Adventure|Comedy|Family|Sci-Fi,Matthew Broderick,36491,5320,Rupert Everett,0,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1,English,PG,1999,1.85,509
384,125,963,11000,Crime|Mystery|Thriller,Morgan Freeman,447979,13312,Michael Kelly,6,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,English,PG-13,2013,2.35,105000
179,102,4000,12000,Comedy,Steve Buscemi,181443,28497,Salma Hayek,4,http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1,English,PG-13,2010,1.85,12000
151,128,232,15000,Comedy|Drama,Tom Hanks,303864,16199,Barry Shabaka Henley,0,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1,English,PG-13,2004,1.85,16000
12,43,218,1000,Drama|Fantasy|Horror|Thriller,Harold Perrineau,36919,1990,Charles Halford,1,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1,English,TV-14,,16.0,10000
107,100,446,3000,Comedy|Family,Don Cheadle,16271,5174,Yvette Nicole Brown,4,http://www.imdb.com/title/tt0785006/?ref_=fn_tt_tt_1,English,PG,2009,1.85,1000
134,124,748,867,Action|Adventure|Drama|Thriller,Nicholas Lea,49536,3424,Ben Mendelsohn,0,http://www.imdb.com/title/tt0190865/?ref_=fn_tt_tt_1,English,PG-13,2000,1.85,0
269,102,15000,22000,Biography|Comedy|Drama|History,Philip Seymour Hoffman,88451,60646,Jud Tylor,1,http://www.imdb.com/title/tt0472062/?ref_=fn_tt_tt_1,English,R,2007,1.85,0
143,90,11000,22000,Adventure|Animation|Comedy|Family,Robert De Niro,132415,63165,Angelina Jolie Pitt,0,http://www.imdb.com/title/tt0307453/?ref_=fn_tt_tt_1,English,PG,2004,1.85,0
241,130,525,912,Drama|Music|Musical,Loretta Devine,55901,2856,Anika Noni Rose,0,http://www.imdb.com/title/tt0443489/?ref_=fn_tt_tt_1,English,PG-13,2006,2.35,0
12,45,0,374,Crime|Drama|Mystery,Adam Arkin,29450,504,Damian Lewis,1,http://www.imdb.com/title/tt0874936/?ref_=fn_tt_tt_1,English,,,,0
161,118,680,12000,Comedy|Crime|Music,Dwayne Johnson,59435,15889,Debi Mazar,4,http://www.imdb.com/title/tt0377471/?ref_=fn_tt_tt_1,English,PG-13,2005,2.4,0
298,163,412,745,Drama|History|Thriller,Ayelet Zurer,176936,2529,Mathieu Amalric,0,http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1,English,R,2005,2.35,0
89,142,787,13000,Action|Drama|Thriller|War,Bruce Willis,93494,16580,Cole Hauser,1,http://www.imdb.com/title/tt0314353/?ref_=fn_tt_tt_1,English,R,2003,2.35,0
140,100,925,19000,Action|Comedy|Romance|Thriller,Tom Selleck,72867,25206,Catherine O'Hara,2,http://www.imdb.com/title/tt1103153/?ref_=fn_tt_tt_1,English,PG-13,2010,2.35,0
362,116,104,15000,Action|Adventure|Comedy,Henry Cavill,175960,15735,Christian Berkel,2,http://www.imdb.com/title/tt1638355/?ref_=fn_tt_tt_1,English,PG-13,2015,2.35,43000
124,131,138,11000,Comedy|Drama|Romance,Adam Sandler,65668,12522,Sarah Steele,2,http://www.imdb.com/title/tt0371246/?ref_=fn_tt_tt_1,English,PG-13,2004,1.85,0
190,91,925,12000,Animation|Comedy|Family|Fantasy|Mystery,Steve Buscemi,71137,17299,Catherine O'Hara,0,http://www.imdb.com/title/tt0385880/?ref_=fn_tt_tt_1,English,PG,2006,2.35,0
132,123,193,13000,Comedy|Crime|Drama|Romance,Bruce Willis,57038,13934,Azura Skye,2,http://www.imdb.com/title/tt0219965/?ref_=fn_tt_tt_1,English,PG-13,2001,2.35,0
53,134,249,919,Action|Adventure|Romance|Thriller,Julia Ormond,55350,1695,John Gielgud,3,http://www.imdb.com/title/tt0113071/?ref_=fn_tt_tt_1,English,PG-13,1995,1.85,0
91,148,99,582,Drama|History|Romance,Bai Ling,31080,804,Randall Duk Kim,2,http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1,English,PG-13,1999,2.35,0
284,110,222,15000,Action|Drama|Fantasy|Romance,Henry Cavill,138190,16691,Steve Byers,1,http://www.imdb.com/title/tt1253864/?ref_=fn_tt_tt_1,English,R,2011,1.85,30000
152,113,759,87000,Action|Crime|Drama|Mystery|Thriller,Jimmy Bennett,93790,103354,Ransford Doherty,0,http://www.imdb.com/title/tt0340163/?ref_=fn_tt_tt_1,English,R,2005,2.35,0
131,94,886,13000,Action|Adventure|Animation|Family|Sci-Fi,Matt Damon,52244,15857,Nathan Lane,0,http://www.imdb.com/title/tt0120913/?ref_=fn_tt_tt_1,English,PG,2000,2.35,0
132,116,541,11000,Action|Comedy|Crime|Thriller,Harrison Ford,31293,14028,Lena Olin,2,http://www.imdb.com/title/tt0329717/?ref_=fn_tt_tt_1,English,PG-13,2003,2.35,648
67,99,533,933,Action|Drama|Sci-Fi,Connie Nielsen,44248,2542,Jason Scott Lee,1,http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1,English,R,1998,2.35,0
130,84,394,3000,Drama|Horror|Sci-Fi|Thriller,Christopher Meloni,35510,4368,Lou Taylor Pucci,0,http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1,English,PG-13,2009,2.35,0
74,93,637,3000,Animation|Comedy|Fantasy,Brendan Fraser,14280,5580,Megan Mullally,0,http://www.imdb.com/title/tt0166276/?ref_=fn_tt_tt_1,English,PG-13,2001,1.85,683
114,113,568,2000,Action|Adventure|Drama|Thriller,Dennis Quaid,45815,4397,Miranda Otto,4,http://www.imdb.com/title/tt0377062/?ref_=fn_tt_tt_1,English,PG-13,2004,2.35,1000
294,106,963,18000,Drama|Mystery|Sci-Fi|Thriller,Robin Wright,245152,33645,Michael Kelly,0,http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1,English,PG-13,2000,2.35,0
308,91,1000,7000,Action|Animation|Comedy|Family|Sci-Fi,Steve Carell,142403,13616,Steve Coogan,0,http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1,English,PG,2015,1.85,70000
435,128,826,4000,Action|Fantasy,Jon Hamm,197584,7067,Scott Glenn,4,http://www.imdb.com/title/tt0978764/?ref_=fn_tt_tt_1,English,PG-13,2011,2.35,42000
117,98,697,12000,Crime|Mystery|Thriller,Nicolas Cage,64121,15269,John Heard,1,http://www.imdb.com/title/tt0120832/?ref_=fn_tt_tt_1,English,R,1998,2.35,880
108,134,215,548,Drama|Mystery|Sci-Fi|Thriller,Peter Coyote,81611,1044,Huey Lewis,3,http://www.imdb.com/title/tt0120184/?ref_=fn_tt_tt_1,English,PG-13,1998,2.35,0
141,97,415,22000,Action|Animation|Comedy|Family,Peter Dinklage,27130,24350,Keegan-Michael Key,0,http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1,English,PG,2016,1.85,14000
176,112,715,11000,Action|Adventure|Comedy|Romance|Thriller,Matthew McConaughey,59352,13827,Alexis Dziena,0,http://www.imdb.com/title/tt0770752/?ref_=fn_tt_tt_1,English,PG-13,2008,2.35,0
230,153,130,11000,Comedy|Drama,Adam Sandler,100837,11852,Maude Apatow,1,http://www.imdb.com/title/tt1201167/?ref_=fn_tt_tt_1,English,R,2009,1.85,0
234,110,461,3000,Action|Drama|Thriller,Jennifer Garner,101386,5187,Tim McGraw,1,http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1,English,R,2007,2.35,0
164,122,989,8000,Action|Comedy|Sport,Will Ferrell,130776,12410,Gary Cole,5,http://www.imdb.com/title/tt0415306/?ref_=fn_tt_tt_1,English,PG-13,2006,2.35,0
91,87,574,1000,Comedy|Family|Fantasy,Raven-Symoné,33884,3287,Kevin Pollak,0,http://www.imdb.com/title/tt0240462/?ref_=fn_tt_tt_1,English,PG,2001,2.35,266
132,178,403,906,Biography|Drama|History|War,Mhairi Calvey,736638,1976,James Robinson,1,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,English,R,1995,2.35,17000
262,125,210,15000,Action|Drama|War,Jake Gyllenhaal,143525,15850,James Morrison,0,http://www.imdb.com/title/tt0418763/?ref_=fn_tt_tt_1,English,R,2005,2.35,0
299,87,433,745,Adventure|Animation|Comedy,Albert Brooks,259083,3086,Marcia Wallace,0,http://www.imdb.com/title/tt0462538/?ref_=fn_tt_tt_1,English,PG-13,2007,2.35,0
128,152,745,940,Drama|Romance,Martin Landau,45031,4310,Jeffrey DeMunn,1,http://www.imdb.com/title/tt0268995/?ref_=fn_tt_tt_1,English,PG,2001,1.85,0
109,116,462,13000,Action|Drama|Sport,Sylvester Stallone,34435,14780,Cristián de la Fuente,0,http://www.imdb.com/title/tt0132245/?ref_=fn_tt_tt_1,English,PG-13,2001,2.35,886
88,109,8,21,Adventure|Drama|Family,David Gant,11798,55,Oanh Nguyen,0,http://www.imdb.com/title/tt0338512/?ref_=fn_tt_tt_1,English,PG,2004,2.35,2000
261,108,882,3000,Drama|Mystery|Romance|Thriller,Bryce Dallas Howard,193770,7273,William Hurt,0,http://www.imdb.com/title/tt0368447/?ref_=fn_tt_tt_1,English,PG-13,2004,1.85,0
73,85,595,1000,Comedy|Family|Fantasy,Oliver Platt,74343,4166,Peter Boyle,0,http://www.imdb.com/title/tt0118998/?ref_=fn_tt_tt_1,English,PG-13,1998,1.85,694
208,106,242,710,Drama|Sci-Fi|Thriller,Rory Culkin,271592,1675,Cherry Jones,0,http://www.imdb.com/title/tt0286106/?ref_=fn_tt_tt_1,English,PG-13,2002,1.85,0
205,93,48,692,Adventure|Animation|Comedy|Family|Fantasy|Romance,Rupert Everett,314630,1148,Conrad Vernon,1,http://www.imdb.com/title/tt0298148/?ref_=fn_tt_tt_1,English,PG,2004,1.85,0
256,117,769,1000,Adventure|Animation|Comedy|Family|Sport,John Ratzenberger,263853,4905,George Carlin,0,http://www.imdb.com/title/tt0317219/?ref_=fn_tt_tt_1,English,G,2006,2.35,0
103,116,995,8000,Comedy|Romance,Julia Roberts,74274,12790,Hector Elizondo,2,http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1,English,PG,1999,2.35,0
191,132,212,14000,Action|Adventure|Thriller,Vin Diesel,142569,14790,Leila Arcieri,0,http://www.imdb.com/title/tt0295701/?ref_=fn_tt_tt_1,English,PG-13,2002,2.35,10000
147,92,726,870,Adventure|Animation|Comedy|Family|Fantasy,Tim Conway,34359,5217,Eddie Deezen,0,http://www.imdb.com/title/tt2279373/?ref_=fn_tt_tt_1,English,PG,2015,1.85,16000
79,139,808,960,Crime|Thriller,Lili Taylor,98989,3667,Rene Russo,1,http://www.imdb.com/title/tt0117438/?ref_=fn_tt_tt_1,English,R,1996,1.85,1000
486,153,11000,13000,Adventure|Drama|War,Michael Fassbender,885175,36741,Christoph Waltz,1,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,English,R,2009,2.35,42000
75,142,5000,49000,Adventure|Comedy|Family|Fantasy,Robin Williams,182802,64259,Bob Hoskins,1,http://www.imdb.com/title/tt0102057/?ref_=fn_tt_tt_1,English,PG,1991,2.35,13000
245,101,467,12000,Action|Adventure,Dwayne Johnson,115687,16235,Ingrid Bolsø Berdal,0,http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1,English,PG-13,2014,2.35,21000
