director_name,duration,actor_3_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,plot_keywords,language,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
,44,724,,Francis Capra,55524,3318,best friend|high school|private detective|sheriff|student,English,TV-14,,,828,8.4,1.78,0
John Cameron Mitchell,95,179,3029081,John Cameron Mitchell,26300,993,band|rock band|sex change|song|transsexual,English,R,6000000,2001,261,7.8,1.85,0
Sheldon Lettich,99,82,3273588,Antoni Corone,4195,382,capoeira|fight|fighting|martial arts|violence,English,PG-13,6000000,1993,91,6.7,1.85,0
Jon Knautz,93,34,,Rachel Alig,522,546,female nudity|hallucination|sex scene|strip club|stripper,English,,,2015,77,5.4,2.35,84
Billy Ray,99,491,2207975,Hayden Christensen,28855,8297,fabricated facts|journalist|stephen glass|the new republic|writer,English,PG-13,6000000,2003,3000,7.2,2.35,0
David Atkins,95,15,2025238,Chelcie Ross,9589,489,dentist|drugs|murder|sex|sunflower,English,R,6000000,2001,230,5.8,1.85,289
Patrick Stettner,84,152,1028337,Stockard Channing,3413,1407,airport|businesswoman|hotel|revenge|vegetarian,English,R,,2001,257,6.4,1.85,29
Sam Peckinpah,144,242,,William Holden,63192,2379,friendship|honor|righteous rage|soldier|texas,English,R,6244087,1969,288,8.0,2.35,0
Jonathan Levine,99,362,2077046,Mary-Kate Olsen,27266,2748,ice cream|marijuana|new york city|summer|therapy,English,R,6000000,2008,617,7.0,2.35,0
Michael Crichton,110,20,,Lesley-Anne Down,11623,297,bank|gold|key|safe|train,English,PG,6000000,1979,34,7.0,1.85,643
Lynne Ramsay,97,53,267194,Samantha Morton,6906,841,breasts|cleavage|female rear nudity|girl in panties|public nudity,English,R,,2002,104,6.7,1.85,605
Sylvio Tabet,107,284,869325,Michael Berryman,2281,2000,beast|beastmaster|psychotronic|sword and sorcery|warrior,English,PG-13,6000000,1991,514,3.8,1.85,125
Rick Bieber,90,316,399611,Aidan Quinn,1245,2370,athletic training|football practice|funeral|gymnasium|man crying,English,PG,6000000,2010,529,5.7,1.85,0
Claude Chabrol,104,27,181798,Benoît Magimel,2591,282,bordeaux|election|mayor|pamphlet|political thriller,French,R,,2003,67,6.6,1.66,52
Shana Feste,96,71,115862,Jennifer Ehle,7394,2163,car crash|loss|self help group|teenage mother|title directed by female,English,R,6000000,2009,943,6.7,2.35,0
Wayne Wang,104,451,1346503,Bingbing Li,3024,2430,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,English,PG-13,6000000,2011,595,6.1,2.35,0
Joey Lauren Adams,97,90,117560,Tim Blake Nelson,2330,1081,church|drink|knocking on a door|love|three word title,English,R,6000000,2006,206,6.2,1.85,224
Peter Cattaneo,107,419,54606,James Nesbitt,1940,2440,escape|prison|prison escape|sadism|solitary confinement,English,PG-13,6000000,2001,766,6.2,2.35,30
Fred Zinnemann,117,898,,Meryl Streep,6454,15604,1930s|female protagonist|nazi|romantic friendship|writer,English,PG,7840000,1977,949,7.4,1.85,733
S.R. Bindler,85,499,36497,Matthew McConaughey,7367,14599,barefoot|endorsement|surfboard|virtual reality|waves,English,R,6000000,2008,826,4.7,1.85,850
Tony Kaye,152,0,23807,Noam Chomsky,2143,105,abortion|southern accent|title based on the bible|trial|usa,English,Unrated,,2006,2,8.3,,570
Greg Marcks,85,407,,Henry Thomas,38273,2200,convenience store|multiple perspectives|murder|paramedic|van,English,R,6000000,2003,618,7.2,1.85,0
Perry Lang,76,259,,Catherine Bell,2989,2152,cockney accent|fight|island|machismo|mercenary,English,R,8600000,1994,472,5.8,2.35,176
Jake Goldberger,87,99,,Pruitt Taylor Vince,2050,1227,dead body|dead body in a freezer|dead body wrapped in carpet|person in a car trunk|school janitor,English,R,,2009,521,5.9,1.85,275
Stefan Ruzowitzky,95,874,65804,Charlie Hunnam,32512,27575,police officer|police officer killed|police officer shot|sex scene,English,R,12000000,2012,10000,6.3,2.35,0
Vic Sarin,101,130,,Connie Nielsen,1696,1940,island|love|new home|orphan|rainbow,English,PG,6000000,2009,767,7.2,2.35,1000
William Kaufman,90,787,,Drew Waters,10196,3469,die hard scenario|engineer|held at gunpoint|race against time|shot to death,English,R,6000000,2011,816,5.4,1.85,0
,240,334,,Romola Garai,10388,2563,friendship|love triangle|matchmaker|naivety|opposites attract,English,,,,432,8.2,1.78,0
David Cronenberg,89,15,,Debbie Harry,60522,477,cyberpunk|hallucination|illegality|snuff film|surrealism,English,R,5952000,1983,20,7.3,1.85,0
Cédric Klapisch,111,269,3895664,Romain Duris,34383,1858,apartment|erasmus|language|student|trip,French,R,5300000,2002,447,7.3,1.85,0
Kate Barker-Froyland,86,444,20200,Anne Hathaway,6797,12772,musician|number in title|recording|sibling,English,PG-13,6000000,2014,485,5.8,,0
Barbet Schroeder,115,400,31874869,Ryan Gosling,43575,34605,disposing of a dead body|high school student|murder|sociopath|teenage boy,English,R,50000000,2002,455,6.1,1.85,0
Martin Koolhoven,103,19,542860,Yorick van Wageningen,9230,219,horse|nazi|occupation|resistance movement|uncle nephew relationship,Dutch,R,4000000,2008,20,7.1,2.35,0
Charles Matthau,90,1000,,Billy Burke,6741,6569,black panties|bomb squad|car bomb|dynamite|girl in panties,English,R,6000000,2012,2000,6.5,,0
John Frankenheimer,133,28,,Jeanne Moreau,10119,502,art|french|german|painting|train,English,Unrated,6700000,1964,94,7.9,1.66,0
Christopher M. Bessette,88,57,15059,Mira Sorvino,748,1443,angkor wat|human trafficking|sex slavery|sex tourism,English,PG-13,,2012,323,5.4,2.35,543
Prachya Pinkaew,111,380,11905519,Jon Foo,30210,2205,die hard scenario|elephant|long take|police|sydney australia,Thai,R,200000000,2005,635,7.1,1.85,0
Gary Sinyor,94,136,69582,Sean Pertwee,867,1477,class conflict|edwardian era|england|sexual awakening|spoof,English,R,,1998,338,6.4,1.85,109
,25,220,,Simon Bird,55987,1239,black comedy|bully|friend|house|practical joke,English,TV-14,,,223,8.4,16.0,0
Gurinder Chadha,112,397,32541719,Archie Panjabi,89806,2201,hinduism|marriage engagement|soccer|team|tradition,English,PG-13,3500159,2002,528,6.7,1.85,0
John Sayles,141,501,3064356,Miguel Ferrer,3433,2584,african american|business|coastline|florida|real estate,English,PG-13,5600000,2002,659,6.9,1.85,160
Preston A. Whitmore II,95,255,7009668,Wesley Jonathan,8707,2000,african american|basketball|basketball movie|critically bashed|tv commercial,English,PG-13,5600000,2006,378,2.1,1.85,244
Ashish R. Mohan,141,61,352684,Asin,4633,1065,car crash|impersonating a police officer|long lost brother|marriage bureau|suitor,Hindi,Not Rated,,2012,284,4.3,,365
Jaume Balagueró,85,6,27024,Jonathan D. Mellor,55597,73,apartment|apartment building|blood sample|crucifix|zombie,Spanish,R,5600000,2009,9,6.6,1.85,4000
Stewart Raffill,105,10,531806,Kayla Jackson,548,72,dance|dream|frog|philadelphia pennsylvania|snake,English,PG,,2010,11,3.4,,277
George Roy Hill,129,417,159600000,Eileen Brennan,175607,2387,con|con man|courier|long con|murder,English,PG,5500000,1973,559,8.3,1.85,0
Hugh Hudson,125,249,58800000,Alice Krige,40511,1651,athlete|jew|missionary|olympic games|race,English,PG,5500000,1981,303,7.2,1.85,0
Darren Grant,116,476,50382128,Cicely Tyson,10472,2723,comic relief|diary|kiss|madea series|state flag,English,PG-13,5500000,2005,637,5.6,1.85,0
Scott Hicks,105,35,35811509,Noah Taylor,43013,888,abuse|australia|concert|pianist|piano,English,PG-13,5500000,1996,294,7.7,1.85,0
Joseph Gordon-Levitt,90,694,24475193,Joseph Gordon-Levitt,190494,44265,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook,English,R,3000000,2013,19000,6.6,2.35,33000
Clint Eastwood,105,258,,Clint Eastwood,36381,17599,gravestone|gunfighter|outlaw|revenge|small town,English,R,5500000,1973,742,7.6,2.35,0
Terry Zwigoff,111,722,6200756,Scarlett Johansson,96129,34106,art class|diner|friend|graduation|high school,English,R,7000000,2001,12000,7.4,1.85,5000
Richard Eyre,91,548,1292119,Kate Winslet,14786,16768,alzheimer's disease|book|love|novelist|writer,English,R,5500000,2001,1000,7.1,1.85,0
William Sachs,95,60,,Stephen Macht,1955,396,alien|android|fem bot|female android|stars,English,R,,1980,110,3.4,2.35,438
Christophe Barratier,97,57,3629758,Jean-Baptiste Maunier,44151,745,boarding school|boy|choir|school|teacher,French,PG-13,5500000,2004,86,7.9,2.35,0
Émile Gaudreault,92,71,6239558,Paul Sorvino,5548,1033,gay|immigrant|italian|police|police officer,English,R,5000000,2003,210,6.7,1.85,352
James Cox,104,93,1056102,Alexis Dziena,18792,1315,murder|police|police investigation|porn star|robbery,English,R,5000000,2003,436,6.6,1.85,1000
Spike Lee,120,388,27545445,Ruby Dee,59524,2892,black militant|frustration|pizza|pizza parlor|pizzeria,English,R,6500000,1989,652,7.9,1.85,0
James Toback,99,781,56007,Sarah Michelle Gellar,3754,6776,basketball|cheerleader|college|harvard|philosophy,English,R,5500000,2001,902,4.9,2.35,113
Aki Kaurismäki,93,36,611709,Jean-Pierre Léaud,15267,391,bar|container|illegal immigrant|neighbor|shoe shiner,French,Not Rated,3850000,2011,67,7.2,1.85,0
Gaspar Noé,99,9,753501,Philippe Nahon,87244,118,long take|male frontal nudity|revenge|reverse chronology|vengeance,French,Not Rated,,2002,46,7.4,2.35,13000
Hitoshi Matsumoto,99,16,22770,Lindsay Kay Hayward,1658,81,coma|one word title|spitting|sushi|swimming pool,Japanese,Unrated,5500000,2013,17,6.1,1.85,543
Rakeysh Omprakash Mehra,157,199,2197331,Anupam Kher,70233,1519,freedom|friend|india|student|urination,Hindi,Not Rated,,2006,227,8.4,2.35,0
Collin Schiffli,90,290,,Kim Shaw,605,2030,drug addict|drug addiction|drug use|drugs|junkie,English,,,2014,697,6.2,2.35,679
George Ratliff,96,38,27445,Jim Gaffigan,3788,561,cross|doused with gasoline|pastor|security guard|shower,English,R,9000000,2011,39,5.3,1.85,1000
David Wain,96,139,766487,Jon Hamm,15315,4883,death|mexico|sabbath|surgeon|ten stories,English,R,5250000,2007,543,5.0,1.85,915
Shane Meadows,90,222,18434,Bob Hoskins,4471,6111,betrayal|family relationships|friendship|psychosis|stranger,English,R,,1999,680,7.7,1.85,484
Morten Tyldum,100,27,1196752,Aksel Hennie,79353,385,art thief|male frontal nudity|male nudity|male star appears nude|painting,Norwegian,R,30300000,2011,52,7.6,2.39,23000
Jon Wright,94,114,,Russell Tovey,13227,1832,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,English,Not Rated,4000000,2012,567,6.3,2.35,11000
Michael McGowan,98,149,795126,Campbell Scott,4976,955,boston marathon|coma|marathon|miracles|running,English,PG-13,6000000,2004,259,7.6,1.85,989
Liv Ullmann,129,0,,Samantha Morton,2894,631,kissing someone's boot|midsummer|telling someone to shut up|two word title|valet,English,PG-13,5500000,2014,0,5.6,,0
Jeannot Szwarc,103,32,,Teresa Wright,21049,454,hotel|love|love across time|time travel|time travel romance,English,PG,5100000,1980,191,7.3,1.85,0
Rohan Sippy,128,47,563699,Abhishek Bachchan,3266,787,airport|drugs|loss of loved one|police|title based on song,Hindi,R,,2011,282,6.2,,421
James Wan,106,482,83574831,Lin Shaye,109214,2975,barricading a door|injection in leg|police detective|supernatural|taser,English,PG-13,5000000,2013,618,6.6,2.35,35000
Darren Lynn Bousman,95,651,87025093,Emmanuelle Vaugier,188679,4134,death|detective|nerve gas|serial killer|trap,English,R,4000000,2005,654,6.6,1.85,0
Dan Trachtenberg,104,82,71897215,Bradley Cooper,126893,14504,alien|bunker|car crash|kidnapping|minimal cast,English,PG-13,15000000,2016,338,7.3,2.35,33000
Jeff Tremaine,87,218,64267897,Bam Margera,67992,1770,alligator|golf|japan|panda|stunt,English,R,5000000,2002,362,6.6,1.85,0
David F. Sandberg,81,300,56536016,Billy Burke,13523,3344,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,English,PG-13,4900000,2016,509,6.9,2.35,0
Henry Joost,94,434,104007828,Johanna Braddy,76828,2371,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,English,R,5000000,2011,438,5.8,1.85,24000
Stiles White,89,704,50820940,Lin Shaye,31915,5056,death of girlfriend|funeral|ghost|ouija|spirit,English,PG-13,5000000,2014,707,4.4,2.35,18000
Chuck Russell,88,150,44793200,John Saxon,49820,1584,dream|freddy krueger|killer|nightmare|springwood ohio,English,X,4500000,1987,449,6.6,1.85,0
Joel Edgerton,108,458,43771291,Busy Philipps,79916,3215,compulsive liar|fired from a job|gift|rape|substance abuse,English,R,5000000,2015,562,7.1,2.35,15000
Eugenio Derbez,115,83,44456509,Eugenio Derbez,22105,688,father daughter relationship,Spanish,PG-13,5000000,2013,89,7.6,1.85,14000
Henry Joost,96,113,53884821,Matt Shively,51204,799,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,English,R,5000000,2012,119,4.6,1.85,26000
Henry Koster,135,275,36000000,Richard Burton,6359,1920,box office hit|crucifixion|nightmare|palestine|robe,English,Unrated,5000000,1953,422,6.8,2.2,0
Blake Edwards,113,80,,Burt Kwouk,19596,971,clouseau|diamond|panther|pink|pink panther,English,G,5000000,1975,278,7.1,2.35,620
Rachel Talalay,93,581,34872293,Johnny Depp,30765,42002,dark comedy|dream|freddy krueger|nightmare|serial murder,English,R,8500000,1991,618,4.9,1.85,963
Patty Jenkins,109,592,34468224,Charlize Theron,105568,11736,beach|female criminal|hooker|lesbian|prostitute,English,R,4500000,2003,844,7.3,1.85,0
Richard Fleischer,127,51,,James Mason,22123,799,captain|expedition|sea|submarine|whale,English,Approved,5000000,1954,53,7.2,1.37,0
Christopher Landon,101,332,32453345,Richard Cabral,31791,2161,apartment|blood|demonic possession|neighbor|pentagram,English,R,5000000,2014,358,5.0,1.78,10000
David Lynch,124,452,,Anthony Hopkins,161972,13864,curiosity|exploitation|freak|hospital|physical deformity,English,PG,5000000,1980,754,8.2,2.35,9000
Jean-Marc Vallée,117,896,27296514,Matthew McConaughey,326494,17738,drugs|fda|gay community|hiv|homophobia,English,R,5000000,2013,3000,8.0,2.35,65000
David Gelb,83,801,25799043,Olivia Wilde,28513,11771,electrocuted|experiment|hell|serum|university,English,PG-13,3300000,2015,830,5.2,2.35,0
Christopher Nolan,113,379,25530884,Callum Rennie,845580,1997,flashback|memory|murder|short term memory|telephone,English,R,9000000,2000,651,8.5,2.35,40000
Mike Flanagan,104,202,27689474,James Lafferty,85688,2071,home office|mirror|released from a mental hospital|trauma|video camera,English,R,5000000,2013,407,6.5,2.35,23000
Kevin Smith,97,657,24138847,Ethan Suplee,114797,2990,fast food|fast food restaurant|new jersey|quick stop|restaurant,English,R,5000000,2006,898,7.4,1.85,0
Stephen Daldry,110,34,21994911,Julie Walters,98354,1122,audition|ballet|boxing|miner|miners strike,English,R,5000000,2000,203,7.7,1.85,0
Nat Faxon,103,424,21501098,Steve Carell,115813,8375,awkward boy|shy kid|summer|vacation|water park,English,PG-13,5000000,2013,468,7.4,1.85,22000
George Jackson,94,287,19281235,William Schallert,3571,2523,college|misogyny|money|new friend|party,English,R,5000000,1991,413,5.1,1.85,232
George Miller,102,75,,Tony Bonner,5894,854,australia|brumby|ranch|stallion|twin,English,PG,3500000,1982,155,7.3,2.35,0
Maurice Joyce,77,73,19421271,Frank Welker,2448,2908,dance|friend|monster|reference to batman|valentine,English,G,5000000,1999,804,5.0,1.33,122
Robert Duvall,134,77,20733485,John Beasley,11622,428,church|louisiana|minister|preacher|texas,English,PG-13,5000000,1997,130,7.2,1.85,1000
Frank Perry,129,157,,Faye Dunaway,10564,2014,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,English,R,5000000,1981,485,6.7,1.85,0
Jesse Peretz,90,1000,24809547,Zooey Deschanel,74875,15710,art model|farmer|jail|nude model|three sisters,English,R,5000000,2011,3000,6.4,1.85,11000
Stephen Hopkins,134,388,19097994,William Hurt,11744,2410,1930s|athlete|nazi germany|olympics|track and field,English,PG-13,,2016,845,7.1,2.35,0
Ice Cube,104,498,23031390,Bernie Mac,4345,2868,catfight|dominatrix|rape|spanking|stripper,English,R,4500000,1998,597,5.6,1.85,575
Tim Blake Nelson,95,697,16017403,Mekhi Phifer,17333,3300,basketball|basketball player|boarding school|love|shakespeare's othello,English,R,5000000,2001,835,6.2,1.85,0
John Erick Dowdle,93,161,21197315,Ben Feldman,49948,1410,archeologist|catacomb|found footage|paris france|philosopher's stone,English,R,5000000,2014,200,6.1,1.85,14000
Bille Woodruff,106,467,17382982,Boris Kodjoe,5975,2840,adultery|attraction|lust|obsession|temptation,Spanish,R,5000000,2014,694,5.2,1.85,0
Kasi Lemmons,109,426,14821531,Jurnee Smollett-Bell,6915,3843,doctor|louisiana|secret|title directed by female|witchcraft,English,R,6000000,1997,434,7.3,1.85,599
Richard Glatzer,101,423,18656400,Kristen Stewart,86077,19673,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,English,PG-13,5000000,2014,2000,7.5,1.85,45000
Michael Curtiz,139,422,,Gene Tierney,2498,2112,afterlife|egypt|pharaoh|princess|pyramid,English,Approved,5000000,1954,440,6.6,2.55,376
Bruce Malmuth,99,142,,Sylvester Stallone,12519,14306,bomb|new york city|partner|shooting|terrorist,English,R,5000000,1981,970,6.4,1.85,0
Rob Hedden,100,65,14343976,Kane Hodder,22961,1327,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,English,R,5000000,1989,120,4.5,1.85,1000
Joel Zwick,95,249,241437427,Nia Vardalos,102071,1495,baptism|greek|greek restaurant|prejudice|travel agency,English,PG,5000000,2002,312,6.6,1.85,5000
Harmony Korine,94,192,14123773,James Franco,108683,12306,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,English,R,5000000,2012,892,5.3,2.35,25000
Joe Chappelle,93,141,15126948,Donald Pleasence,20815,1227,halloween|michael myers|nudity|returning character with different actor|slasher flick,English,R,5000000,1995,152,4.9,1.85,0
Alfonso Cuarón,106,19,13622333,Maribel Verdú,91377,361,beach|cleaning a swimming pool|male male kiss|mexico|on the road,Spanish,R,2000000,2001,43,7.7,1.85,0
Edgar Wright,99,358,13464388,Peter Serafinowicz,395921,1686,british horror|pub|record collection|zombie|zombie apocalypse,English,R,4000000,2004,427,8.0,2.35,19000
Mickey Liddell,82,664,13350177,Jessica Lowndes,7904,4856,18th birthday|birthday|community center|resurrection|teenager,English,PG-13,5000000,2008,984,3.8,1.85,562
John Sayles,135,111,13269963,Matthew McConaughey,23202,11400,father son relationship|interracial relationship|neo western|sheriff|texas,English,R,5000000,1996,189,7.6,2.35,0
Dwight H. Little,88,101,17768000,Donald Pleasence,29629,1136,halloween|michael myers|murder|niece|october,English,R,5000000,1988,120,5.9,1.85,0
Fred Walton,89,85,12947763,Thomas F. Wilson,10624,1160,april fool's day|island|mansion|psycho|secret,English,R,5000000,1986,190,6.2,2.35,0
Barry Levinson,110,551,14100000,Steve Guttenberg,14995,2943,baltimore colts|diner|marriage|salesman|wedding,English,R,5000000,1982,796,7.2,1.85,0
Steve Carver,107,268,12200000,David Carradine,7973,2383,drugs|martial arts|texas|texas ranger|weapon,English,PG,5000000,1983,400,6.3,1.85,0
Gonzalo López-Gallego,86,205,17683670,Warren Christie,47227,1520,cosmonaut|footprint|found footage|moon|secret mission,English,PG-13,5000000,2011,270,5.2,1.33,0
Christine Jeffs,91,260,12055108,Clifton Collins Jr.,61151,2528,business|crime scene cleanup|private school|school|sister sister relationship,English,R,8000000,2008,934,6.9,2.35,0
John Erick Dowdle,103,13,27285953,Sterling Jerins,48675,259,asia|fictional country|hotel|rebellion|revolution,English,R,5000000,2015,78,6.8,1.85,16000
Don Coscarelli,90,826,,Vanna Bonta,15345,23714,breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery,English,PG,8000000,1982,982,6.2,1.85,0
King Vidor,141,70,,Gina Lollobrigida,2017,1332,king|pharaoh|queen|queen of sheba|tribe,English,,5000000,1959,333,6.2,2.2,270
Michael Tiddes,92,355,11675178,Fred Willard,9509,2848,color in title|parody|reference to cuba gooding jr|reference to netflix|written by star,English,R,5000000,2016,706,3.5,,11000
Bill Duke,99,409,10572742,Eddie Cibrian,2326,2269,african american protagonist|based on novel|title spoken by character,English,PG-13,8000000,2009,578,6.1,1.85,738
Frank Borzage,79,99,,Gary Cooper,3519,1284,1910s|ambulance driver|italy|lake|nurse,English,Unrated,800000,1932,164,6.6,1.37,213
Bille Woodruff,96,503,9658370,Donald Faison,1180,3552,,English,R,5000000,2016,509,4.5,,740
Mamoru Hosoda,82,44,9628751,Lara Jill Miller,5164,315,based on video game|box office hit|computer|digimon|internet,English,PG,5000000,2000,45,5.9,1.85,207
Brian Dannelly,92,797,8786715,Macaulay Culkin,40274,5668,christian|jewish|pastor|school|virginity,English,PG-13,5000000,2004,835,6.9,1.85,0
Denys Arcand,112,21,3432342,Marie-Josée Croze,24921,253,cancer|dying|friend|money|socialist,French,R,6000000,2003,28,7.7,2.35,0
Richard Lester,106,136,,Robert Shaw,8930,1199,crusades|friar|robin hood|sheriff|sheriff of nottingham,English,PG,5000000,1976,249,6.6,1.85,672
J.S. Cardone,90,560,6755271,Brendan Fehr,7319,3004,flashing breasts|hitchhiker|vampire|vampire hunter|virus,English,R,5000000,2001,591,5.3,1.85,327
Guy Hamilton,126,576,,Harrison Ford,13587,13591,colonel|mission|partisan|spy|traitor,English,PG,5000000,1978,794,6.3,2.35,729
Jay Levey,150,448,6157157,Fran Drescher,21416,3942,gambling|imagination|television|television station|tv show,English,PG-13,5000000,1989,448,7.0,1.85,0
Nicholaus Goossen,90,556,6088249,Linda Cardellini,67853,5202,co worker|game tester|loss of virginity|roommate|snack,English,R,,2006,936,7.0,2.35,0
Tamara Jenkins,91,572,5480318,Natasha Lyonne,9427,2691,flatulence|menstrual blood|nomad|nursing school|title directed by female,English,R,5000000,1998,778,6.6,1.85,462
Sergio Leone,145,392,,Claudia Cardinale,216005,2589,gang|gun|harmonica|killing|woman in bathtub,English,PG-13,5000000,1968,423,8.6,2.35,10000
Jon Favreau,95,334,5308707,Jon Favreau,15053,5245,friendship|loudmouth|money laundering|new york city|stripper,English,R,5000000,2001,585,6.4,1.85,393
Duncan Jones,97,372,5009677,Kevin Spacey,260607,19404,computer|contract|earth|moon|solitude,English,R,5000000,2009,572,7.9,2.35,47000
Scott Marshall,90,701,4328294,Miranda Cosgrove,2719,5900,bar mitzvah|carried in a chair|hebrew|party|rite of passage,English,PG-13,,2006,847,5.4,1.85,249
Ronan Chapalain,41,0,4074023,Norbert Ferrer,296,55,3d|imax|plesiosaur|sea|water,English,,5000000,2010,0,6.9,1.78,89
Atom Egoyan,112,395,4306697,Bruce Greenwood,26720,2820,anger|bus|child|lawyer|school,English,R,5000000,1997,900,7.7,2.35,920
Xavier Beauvois,122,32,3950029,Lambert Wilson,12411,416,catholic church|community|monastery|monk|terrorist,French,PG-13,4000000,2010,135,7.2,2.35,0
Randall Miller,110,39,4040588,Alan Rickman,12233,25676,airport|california|flat tire|overalls|wine,English,PG-13,5000000,2008,579,6.8,2.35,0
