num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,gross,movie_title,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,budget,title_year,imdb_score,movie_facebook_likes
111,88,329,Tony Cox,14174654,Disaster Movie ,0,disaster|glass|mousetrap|natural disaster|scatological humor,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,359,English,25000000,2008,1.9,0
107,88,163,Fred Ward,15988876,Armored ,6,armored truck|blood splatter|die hard scenario|guard|heist,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,110,English,27000000,2009,5.7,0
34,94,507,Peter Gallagher,13801755,The Man Who Knew Too Little ,1,assassin|bomb|dominatrix|mistaken identity|spy,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,100,English,20000000,1997,6.6,0
151,117,783,Ari Graynor,13987482,What's Your Number? ,1,ex boyfriend|morning after|prince charming|quarrel|womanizer,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,91,English,20000000,2011,6.0,0
289,95,80,Vincent Regan,14291570,Lockout ,2,bodyguard|maximum security prison|outer space|president|prison,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,236,English,20000000,2012,6.1,10000
76,99,62,Ariel Gade,12181484,Envy ,1,best friend|dog|envy|jealousy|neighbor,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,176,English,40000000,2004,4.8,713
150,96,926,Clifton Collins Jr.,13630226,Crank: High Voltage ,0,artificial heart|heart|horse penis|prostitute|stripper,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,223,English,20000000,2009,6.2,0
67,98,967,Chazz Palminteri,13383737,Bullets Over Broadway ,4,actress|bodyguard|new york city|play|playwright,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,86,English,20000000,1994,7.5,979
36,123,85,Tiffany Dupont,13391174,One Night with the King ,0,biblical|book of esther|esther|persia|treachery,http://www.imdb.com/title/tt0430431/?ref_=fn_tt_tt_1,177,English,20000000,2006,6.3,0
149,101,83,Tzi Ma,12987647,The Quiet American ,2,american|french|saigon|vietnam|vietnamese,http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1,199,English,30000000,2002,7.1,983
156,102,385,Hope Davis,12469811,The Weather Man ,1,corndog|failure|funeral in the rain|new york city|weatherman,http://www.imdb.com/title/tt0384680/?ref_=fn_tt_tt_1,316,English,22000000,2005,6.6,0
64,94,565,Wes Studi,12398628,Undisputed ,2,boxing|fight|heavyweight champion|iceman|prison,http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1,88,English,20000000,2002,6.1,977
210,102,31,Dequina Moore,13214030,Ghost Town ,3,bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,147,English,20000000,2008,6.7,0
113,108,347,Ashley Scott,12232937,12 Rounds ,1,2000s|detective|sadist|terrorism|terrorist,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,113,English,22000000,2009,5.6,0
390,116,884,Dylan Minnette,12134420,Let Me In ,0,blood|boy|night|school|vampire,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,366,English,20000000,2010,7.2,25000
5,93,181,Dustin Nguyen,11784000,3 Ninjas Kick Back ,0,1990s|dagger|japan|mousetrap|stick fight,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,26,English,20000000,1994,4.3,444
248,102,270,Mia Farrow,11169531,Be Kind Rewind ,2,friend|power plant|sabotage|store clerk|video store,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,235,English,20000000,2008,6.4,0
137,103,99,Christopher Guest,11034436,Mrs Henderson Presents ,1,anti semitism|breasts|chamberlain|friend|theatre,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,180,English,20000000,2005,7.1,0
214,115,968,Norman Reedus,12626905,Triple 9 ,3,betrayal|corrupt cop|heist|murder of a police officer|police detective,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,106,English,20000000,2016,6.3,0
104,96,223,Lynn Cohen,10569071,Deconstructing Harry ,2,marriage|novelist|panties pulled down|writer's block|writing,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,131,English,20000000,1997,7.4,0
81,98,677,Oliver Platt,10544143,Three to Tango ,2,architect|award|farce|love|misunderstanding,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,121,English,20000000,1999,6.1,311
175,101,580,Omar Sy,13650738,Burnt ,1,chef|gay kiss|michelin star|restaurant|violent behavior,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,129,English,20000000,2015,6.6,25000
20,106,383,Demi Moore,10555348,We're No Angels ,0,con|convict|escape|police|priest,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,42,English,20000000,1989,6.0,855
69,101,2,Gaby Hoffmann,9714482,Everyone Says I Love You ,0,engagement|grandfather|liberal|maid|song,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,140,English,20000000,1996,6.8,0
168,87,548,Ewen Bremner,8579684,Death at a Funeral ,0,end credits roll call|four word title|funeral|secret|uncle,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,199,English,9000000,2007,7.4,0
166,111,725,Kelly Preston,9525276,Death Sentence ,0,blood|death|gang|murder|revenge,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,299,English,20000000,2007,6.8,0
160,99,148,James Frain,8855646,Everybody's Fine ,1,bus trip|parental love|retirement|surprise visit|train ride,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,117,English,21000000,2009,7.2,10000
32,88,177,Vanessa Angel,9109322,Superbabies: Baby Geniuses 2 ,3,computer|good versus evil|mind control|science experiment|sequel,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,129,English,20000000,2004,1.9,0
72,83,69,Susie Essman,8326035,The Man ,2,buddy comedy|criminal|gun smuggling|mistaken identity|salesman,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,76,English,33000000,2005,5.5,676
53,91,436,Will Patton,8104069,Code Name: The Cleaner ,3,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,26,English,20000000,2007,4.5,233
76,108,463,Nia Vardalos,8054280,Connie and Carla ,3,box office flop|drag queen|gender disguise|mafia|witness,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,117,English,20000000,2004,6.3,924
15,154,388,Ricardo Montalban,,Sweet Charity ,0,charity|dancer|foreign language adaptation|hope|taxi dancer,http://www.imdb.com/title/tt0065054/?ref_=fn_tt_tt_1,64,English,20000000,1969,7.0,548
401,148,175,Katherine Waterston,8093318,Inherent Vice ,0,1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,242,English,20000000,2014,6.7,18000
31,77,593,Kylie Minogue,7382993,Doogal ,0,diamond|lava|magic|mountain|sorcerer,http://www.imdb.com/title/tt0763304/?ref_=fn_tt_tt_1,114,English,20000000,2006,2.8,346
65,110,826,Caity Lotz,8888355,Battle of the Year ,19,3 dimensional|box office flop|critically bashed|dancing,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,25,English,20000000,2013,5.0,0
26,42,376,Eric McCormack,,Perception             ,1,,http://www.imdb.com/title/tt1714204/?ref_=fn_tt_tt_1,29,English,,,7.5,0
45,83,633,Geoffrey Arend,7001720,An American Carol ,2,arab stereotype|box office flop|documentary filmmaker|filmmaker|terrorist,http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,205,English,12000000,2008,4.3,797
260,107,99,Demián Bichir,7268659,Machete Kills ,7,arms dealer|battle|bomb|machete|missile,http://www.imdb.com/title/tt2002718/?ref_=fn_tt_tt_1,164,English,20000000,2013,5.6,48000
129,100,86,Ty Olsson,6852144,Willard ,0,at work|rat|revenge|vermin|work,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,213,English,22000000,2003,6.2,0
58,87,522,Ashley Scott,6563357,Strange Wilderness ,4,bigfoot|critically bashed|ecuador|friend|tv show,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,120,English,20000000,2008,5.3,847
103,154,149,Dexter Fletcher,6201757,Topsy-Turvy ,1,19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,202,English,10000000,1999,7.4,608
45,106,975,Cary-Hiroyuki Tagawa,6420319,Little Boy ,0,,http://www.imdb.com/title/tt1810683/?ref_=fn_tt_tt_1,122,English,20000000,2015,7.4,15000
345,99,691,Viggo Mortensen,5702083,A Dangerous Method ,3,carl jung|patient|psychoanalysis|russian|sigmund freud,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,190,English,15000000,2011,6.5,36000
232,100,407,Keanu Reeves,5480996,A Scanner Darkly ,0,detective|drugs|substance d|undercover|undercover cop,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,293,English,8700000,2006,7.1,0
116,116,956,Abigail Spencer,6002756,Chasing Mavericks ,2,box office flop|no opening credits|surfing|two word title|year 1987,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,75,English,20000000,2012,7.2,13000
148,94,81,Darren Shahlavi,5132655,Alone in the Dark ,0,artifact|creature|darkness|demon|museum,http://www.imdb.com/title/tt0369226/?ref_=fn_tt_tt_1,521,English,20000000,2005,2.3,1000
79,111,181,Charlie Saxton,5205343,Bandslam ,3,battle of the bands|high school|rock 'n' roll|school|teenager,http://www.imdb.com/title/tt0976222/?ref_=fn_tt_tt_1,39,English,20000000,2009,6.4,1000
