actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,country,content_rating,budget,title_year,actor_2_facebook_likes
310,AJ Michalka,873,Michael Imperioli,The Lovely Bones ,125114,Tom McCarthy,1,1970s|afterlife|heaven|pedophile|rape,English,USA,PG-13,65000000,2009,559
0,Herman Koto,3,Anwar Congo,The Act of Killing ,23836,Syamsul Arifin,1,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,Indonesian,UK,Not Rated,1000000,2012,3
23,George W. Bush,141,Alex Gibney,Taxi to the Dark Side ,10564,Greg D'Agostino,0,afghanistan|detainee|guantanamo bay|taxi|torture,English,USA,R,1000000,2007,125
5,Marv Albert,102,Pelé,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,1290,Ahmet Ertegun,0,new york|new york cosmos|professional sports|soccer|soccer team,English,UK,PG-13,1000000,2006,7
0,Rufus Graham,12,Kumar Gaurav,Guiana 1838 ,56,Aasheekaa Bathija,0,bare chested male|discipline|imperialism|whipping|white slavery,English,USA,Unrated,,2004,3
679,Fisher Stevens,978,Mira Sorvino,Lisa Picard Is Famous ,455,Melissa Gilbert,1,actress|fame|inside joke|new york|one man show,English,USA,PG-13,,2000,922
9,Tom Hamann,53,Josh Swanson,Antarctica: A Year on Ice ,2482,Anthony Powell,1,antarctica,English,New Zealand,PG,1000000,2013,24
0,Brian Whitaker,20,G.W. Krauss,A Lego Brickumentary ,1220,Jason Bateman,0,artist|denmark|lego|toy|toy company,English,Denmark,G,1000000,2014,8
891,Randy Wayne,260000,Matthew Ziff,Hardflip ,606,Raquel Elizabeth Ames,3,family relationships|loss of mother|san diego california|single mother|suicide attempt,English,USA,PG-13,1000000,2012,984
219,Anil Kapoor,724,Emraan Hashmi,Chocolate: Deep Dark Secrets ,1524,Sunil Shetty,5,chocolate|christmas|christmas eve|death|suspect,Hindi,India,,1500000,2005,668
725,Greta Gerwig,969,Lena Dunham,The House of the Devil ,30160,Dee Wallace,0,cult film|eclipse|haunted house|lunar eclipse|secret,English,USA,R,900000,2009,962
271,Clayne Crawford,443,David Hyde Pierce,The Perfect Host ,20176,Nathaniel Parker,1,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,English,USA,R,500000,2010,298
117,Michael Lerner,499,Harvey Fierstein,Safe Men ,2735,Josh Pais,0,gangster|organized crime|robbery|rosh hashanah|safecracking,English,USA,R,1000000,1998,230
73,Patsy Kensit,590,Patrick Renna,Speedway Junky ,1434,Adrienne Frantz,2,car racing|crush|hustler|scam|watching television,English,USA,R,1000000,1999,231
14,Louis Mustillo,96,Yul Vazquez,The Last Big Thing ,334,James Lorinz,1,actor|magazine|model|rock band|suburb,English,USA,R,,1996,71
490,James Gunn,2000,Judy Greer,The Specials ,1938,Jamie Kennedy,0,action figure|press conference|superhero|superhero team|toy,English,USA,R,1000000,2000,571
256,Emily Baldoni,386,Will Rothhaar,16 to Life ,397,Hallee Hirsh,1,birthday|digit in title|love|masturbation|teenager,English,USA,,1000000,2009,261
61,Ana Claudia Talancón,262,Jordana Spiro,Alone with Her ,3228,Jonathon Trent,0,female nudity|female pubic hair|masturbation|panties|pubic hair,English,USA,Not Rated,1000000,2006,163
150,Alexia Rasmussen,446,Nora Zehetner,Creative Control ,1048,Meredith Hagner,1,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,English,USA,R,1000000,2015,171
394,Paul Blackthorne,975,Michael Rapaport,Special ,4862,Ian Bohen,0,dream sequence|locked in a room|looking at self in mirror|medication|superhero,English,USA,R,1000000,2006,645
422,Jamie Kennedy,491,Frances Bay,Sparkler ,377,Veronica Cartwright,3,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,English,USA,R,,1997,490
94,Vanilla Ice,639,Scott Levy,The Helix... Loaded ,534,Jennifer Sky,2,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,English,USA,R,1000000,2005,361
176,Mariel Hemingway,563,David Keith,In Her Line of Fire ,783,Jesse Hutch,2,camp|die hard scenario|female protagonist|island|vice president,English,Germany,R,1000000,2006,288
4,Frank Whaley,474,Lynn Cohen,The Jimmy Show ,480,Heather Bucha,3,based on play|character name in title,English,USA,R,1500000,2001,436
8,Andrea Vergara,327,Kenny Johnston,Heli ,3499,Gabriel Reyes,0,corrupt police|drug cartel|drugs|mexico|police,Spanish,Mexico,Not Rated,1000000,2013,9
4,Ayesha Omar,7,Rasheed Naz,Karachi se Lahore ,876,Javed Sheikh,9,pakistan|road trip,Urdu,Pakistan,,1000000,2015,5
228,Kevin McCarthy,442,Ilene Graff,Loving Annabelle ,9190,Laura Breckenridge,0,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,English,USA,Not Rated,1000000,2006,403
396,Matt Walsh,782,Jason Ritter,Hits ,1359,Amy Sedaris,1,courtroom|independent film|internet|small town|youtube,English,USA,,1000000,2014,490
131,A.J. Buckley,363,Nicole Randall Johnson,Jimmy and Judy ,1420,James Eckhouse,2,police|revenge|sex|suburb|video camera,English,USA,R,1000000,2006,275
106,Lauren C. Mayhew,984,Randy Wayne,Frat Party ,1612,Alicia Ziegler,4,erotica|masseuse|sister sister relationship|temptation|threesome,English,USA,R,1000000,2009,157
47,Eddie Albert,694,Oliver Reed,The Party's Over ,340,Louise Sorel,1,beatnik|businessman|necrophilia|party|partying,English,UK,,,1965,196
149,Ossie Davis,767,Aidan Quinn,Proud ,275,Janet Hubert,2,,English,USA,PG,1000000,2004,282
904,Chloë Grace Moretz,34000,Jennifer Lawrence,The Poker House ,3943,Bokeem Woodbine,3,basketball|drug abuse|interracial rape|iowa|tween girl,English,USA,R,,2008,17000
171,Barbara Hershey,1000,Joe Mantegna,Childless ,33,Diane Venora,5,,English,USA,R,1000000,2008,618
23,Janette Armand,199,Russell Hodgkinson,ZMD: Zombies of Mass Destruction ,3650,Kevin Hamedani,0,cult|homosexual|island|survival horror|zombie,English,USA,R,500000,2009,37
317,Shanley Caswell,458,Maureen McCormick,Snow White: A Deadly Summer ,634,Tim Abell,1,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,English,USA,PG-13,1000000,2012,383
0,Germán Alcarazu,90,Álex Angulo,Hidden Away ,955,Joseba Ugalde,0,best friend|deportation|moroccan|unrequited love|xenophobia,Spanish,Spain,Unrated,,2014,0
360,Marlene Forte,898,Nicole Beharie,My Last Day Without You ,982,Reg E. Cathey,1,business trip|german|love|new york|singer songwriter,English,USA,,1000000,2011,395
110,Sticky Fingaz,592,Wesley Jonathan,Steppin: The Movie ,293,Chrystee Pharris,6,,English,USA,PG-13,1000000,2009,207
402,Tom Berenger,10000,William McNamara,Doc Holliday's Revenge ,93,Randy Jay Burrell,3,1880s|cowboy|low budget film|shoot out|wild west,English,USA,PG-13,1000000,2014,854
37,Anslem Richardson,224,Katie Aselton,Black Rock ,6531,Jay Paulson,1,bare breasts|female frontal nudity|hunter|island|weekend,English,USA,R,,2012,59
177,Alexander Vlahos,335,David Oakes,Truth or Die ,6513,Jennie Jacques,2,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,English,UK,Not Rated,1000000,2012,334
0,Pierre Dulat,92,Magi Avila,The Pet ,425,Summer Napoles,0,dominance submissiveness|female nudity|human branding|human pet|power exchange,English,USA,,1000000,2006,17
36,Chloe Rose,57,Boyd Banks,Bang Bang Baby ,137,Kristian Bruun,2,,English,Canada,,1000000,2014,40
253,Kevin Gage,677,Angelina Armani,Fear Clinic ,6256,Fiona Dourif,0,bare breasts|based on web series|claustrophobia|doctor|phobia,English,USA,R,1000000,2015,366
115,Shona Kay,214,Jason K. Wixom,Zombie Hunter ,2057,Jarrod Phillips,2,desert|drifter|seduction|siege|zombie,English,USA,Not Rated,1000000,2013,211
426,Luke Perry,657,Justin Baldoni,A Fine Step ,207,Leonor Varela,0,,,USA,PG,1000000,2014,608
888,Spencer Wilding,3000,Rosario Dawson,Trance ,92640,Tuppence Middleton,0,amnesia|criminal|heist|hypnotherapy|lost painting,English,UK,R,20000000,2013,1000
113,Dick Van Patten,754,Cliff Robertson,Charly ,4998,Claire Bloom,0,disability|experiment|genius|intelligence|mouse,English,USA,PG,,1968,605
302,Katia Winter,696,Monique Candelaria,Banshee Chapter ,6265,Michael McMillian,1,experiment|lsd|missing friend|mk ultra|radio broadcast,English,Germany,R,950000,2013,371
223,David DeLuise,775,Eric Lloyd,Jesse             ,954,Bruno Campos,8,1990s|brother sister relationship|female protagonist|single mother|sitcom,English,USA,,,,275
354,Gia Mantegna,529,Kimberly Williams-Paisley,Ask Me Anything ,7870,Cathryn de Prume,1,bare breasts|female protagonist,English,USA,Not Rated,950000,2014,413
558,Mike Colter,1000,Vanessa Williams,And Then Came Love ,443,Eartha Kitt,1,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,English,USA,,989000,2007,569
17,Robert Kennedy Jr.,56,Alma Martinez,Food Chains ,265,Eve Ensler,0,two word title,English,USA,,913000,2014,28
279,Karl Malden,10000,Marlon Brando,On the Waterfront ,100890,Rod Steiger,2,death|dock|longshoreman|murder|union,English,USA,Not Rated,910000,1954,416
501,Geoff Stults,945,Justin Kirk,L!fe Happens ,6025,Kristen Johnston,8,friendship|los angeles california|one night stand|roommate|single mother,English,USA,R,930000,2011,756
27,Vlad Ivanov,131,Anamaria Marinca,"4 Months, 3 Weeks and 2 Days ",44763,Alexandru Potocean,0,female rear nudity|friend|hotel|rainy night|towel,Romanian,Romania,Not Rated,590000,2007,60
76,Brian Dorton,1000,Javier Botet,The Horror Network Vol. 1 ,139,Jan Cornet,0,anthology,English,USA,,3000000,2015,171
0,G.J. Echternkamp,109,Odessa Rae,Hard Candy ,131969,Patrick Wilson,0,chatting|missing person poster|online dating|photographer|sexual predator,English,USA,R,950000,2005,8
659,David Gallagher,982,Katy Mixon,The Quiet ,13485,Edie Falco,0,deaf|death|dysfunctional family|godparent|secret,English,USA,R,900000,2005,796
127,Reza Sixo Safai,144,Sarah Kazemy,Circumstance ,6277,Sina Amedson,1,closeted lesbian|iranian|islamophobia|propaganda|teenager,Persian,France,R,,2011,127
88,Melonie Diaz,282,Ahna O'Reilly,Fruitvale Station ,53919,Ariana Neal,0,22 year old|b.a.r.t.|bay area|birthday|police,English,USA,R,900000,2013,270
727,Michael Angarano,975,Jack McBrayer,The Brass Teapot ,11965,Alia Shawkat,2,mini dress|mini skirt|money|voyeur|voyeurism,English,USA,R,900000,2012,947
8,Donnie Dunagan,16,Sam Edwards,Bambi ,94225,Ann Gillis,0,animal|bambi|deer|forest|hunter,English,USA,Approved,,1942,12
102,Rian Bishop,465,John Enos III,The Hammer ,5489,Adam Carolla,1,birthday|boxing|coach|gym|olympics,English,USA,R,850000,2007,140
874,Harold Perrineau,12000,Dwayne Johnson,Snitch ,64748,Nadine Velazquez,1,cigarette smoking|dea|drugs|inspired by true events|undercover,English,USA,PG-13,15000000,2013,1000
522,Rob McElhenney,23000,Joseph Gordon-Levitt,Latter Days ,14580,Jacqueline Bisset,2,christian|male frontal nudity|mormon|mormon missionary|nudity,English,USA,R,850000,2003,813
0,Christophe Cherki,0,Stana Roumillac,Elza ,19,Teddy Doloir,1,foreign|french,French,France,,900000,2011,0
734,Ruby Dee,904,Bokeem Woodbine,1982 ,122,Quinton Aaron,4,number in title|semi autobiographical,English,USA,R,1000000,2013,782
567,Ari Graynor,938,James Wolk,"For a Good Time, Call... ",13421,Nia Vardalos,0,friend|friendship|gay|phone sex|sex,English,USA,R,850000,2012,904
172,Janel Parrish,904,Ari Graynor,Celeste & Jesse Forever ,24391,Rob Huebel,2,best friends|friendship|masturbation|reference to matthias steiner|single,English,USA,R,,2012,517
221,D. David Morin,284,Gavin MacLeod,Time Changer ,1742,Hal Linden,1,bible|christian propaganda|christianity|time machine|zealot,English,USA,PG,825000,2002,234
141,Johnny Harris,418,Lorraine Stanley,London to Brighton ,7308,Georgia Groome,0,bathroom|chase|girl|pimp|toilet,English,UK,R,500000,2006,146
175,Christopher Berry,489,Eddie Griffin,American Hero ,2706,Michelle Tabora,2,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,English,USA,,990000,2015,207
487,Samaire Armstrong,1000,Tommy O'Reilly,Windsor Drive ,169,Matt Cohen,1,,English,USA,,100000,2015,806
620,Leila Hatami,786,Shahab Hosseini,A Separation ,151812,Peyman Moaadi,2,alzheimer's disease|caregiver|divorce|iran|iranian,Persian,Iran,PG-13,500000,2011,712
10,Stephen McCole,49,Jo Hartley,Crying with Laughter ,190,Joe Cassidy,1,cocaine|edinburgh scotland|stand up comedian,English,UK,,,2009,11
236,Ken Leung,529,Heather Matarazzo,Welcome to the Dollhouse ,26513,Christina Vidal,1,bully|first crush|school|social outcast|taunting,English,USA,R,800000,1995,502
86,Todd Field,159,Allison Dean,Ruby in Paradise ,2039,Dorothy Lyman,1,desire|florida|identity|resort town|sales,English,USA,R,800000,1993,143
68,Melonie Diaz,302,Victor Rasuk,Raising Victor Vargas ,4743,Judy Marte,1,based on short film|manhattan new york city|urination|vomiting|watching television,English,France,R,800000,2002,270
3,Francis Lederer,426,Louise Brooks,Pandora's Box ,7431,Fritz Kortner,1,escape|femme fatale|german expressionism|lust|violence,German,Germany,Not Rated,,1929,20
167,Melora Walters,940,Martin Landau,Harrison Montgomery ,59,Diane Baker,2,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,English,USA,,850000,2008,188
0,Hilda Bernard,24,Norma Aleandro,Live-In Maid ,772,Claudia Lapacó,0,buenos aires argentina|economics|housekeeper|maid|servant,Spanish,Argentina,Unrated,800000,2004,5
501,Kathryn Morris,574,Kevin Pollak,Deterrence ,2256,Timothy Hutton,0,colorado|diner|iraq|nuclear missile|president,English,France,R,800000,1999,573
181,Tom Guiry,262,Zachary Knighton,The Mudge Boy ,3480,Ryan Donowho,1,death|farm|fur coat|grief|misfit,English,USA,R,800000,2003,262
258,Eion Bailey,1000,Leslie Bibb,The Young Unknowns ,122,Arly Jover,0,based on play|independent film,English,USA,R,,2000,749
152,Kurt Angle,247,Shane Dawson,Not Cool ,4167,Cherami Leigh,4,,English,USA,Not Rated,600000,2014,217
13,Stig Frode Henriksen,35,Bjørn Sundquist,Dead Snow ,54601,Ane Dahl Torp,0,medical student|nazi|snow|snowmobile|zombie,Norwegian,Norway,Not Rated,800000,2009,16
69,Larry Bagby,214,Corbin Allred,Saints and Soldiers ,17725,Kirby Heyborne,0,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium,English,USA,PG-13,780000,2003,115
37,Alan Pietruszewski,134,Taylor Pigeon,Vessel ,292,Whit Spurgeon,1,alien|flight attendant|monster|pilot|tentacle,English,USA,,,2012,93
425,Ron Howard,11000,Harrison Ford,American Graffiti ,63839,Mackenzie Phillips,1,california|car|drag racing|high school|rock 'n' roll,English,USA,PG,777000,1973,2000
0,Katy Helvenston-Wettengal,25,Scott Helvenston,Iraq for Sale: The War Profiteers ,1477,Donna Zovko,0,american politics|armed forces|political corruption|shady|war profiteer,English,USA,,750000,2006,0
357,Fred Armisen,2000,Tina Fey,Aqua Teen Hunger Force Colon Movie Film for Theaters ,12160,Chris Kattan,0,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,English,USA,R,750000,2007,424
522,Mark Duplass,934,Mary Lynn Rajskub,Safety Not Guaranteed ,101287,Jeff Garlin,0,classified ad|intern|magazine|time machine|time travel,English,USA,R,750000,2012,830
95,Larry King,312,Isaac C. Singleton Jr.,Kevin Hart: Laugh at My Pain ,3543,Jeanette Branch,1,stand up comedy,English,USA,R,,2011,135
246,Ben Crompton,513,MyAnna Buring,Kill List ,25750,Neil Maskell,0,female full frontal nudity|hitman|knee breaking|male full frontal nudity|sniper,English,UK,Not Rated,500000,2011,257
74,Jake Ryan,969,Lena Dunham,The Innkeepers ,27260,Pat Healy,0,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,English,USA,R,750000,2011,128
389,Atticus Shaffer,10000,Gary Oldman,The Unborn ,42183,Rachel Brosnahan,1,babysitting|experiment|nightmare|possession|twin,English,USA,PG-13,16000000,2009,787
48,Stefania Sandrelli,319,Jean-Louis Trintignant,The Conformist ,17813,Dominique Sanda,1,fascist|gun|italy|nudity|sexuality,Italian,Italy,R,750000,1970,90
21,Christel Khalil,108,Raymond J. Barry,Interview with the Assassin ,1661,Renee Faia,0,conspiracy theory|kennedy assassination|mock documentary|paranoia,English,USA,R,750000,2002,72
201,Nichola Burley,1000,Julian Morris,Donkey Punch ,9376,Tom Burke,0,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,English,UK,R,900000,2008,233
280,Michael Welch,935,Luke Grimes,All the Boys Love Mandy Lane ,25951,Whitney Able,1,drugs|female nudity|party|voyeur|voyeurism,English,USA,R,750000,2006,611
118,Jennifer Lee Wiggins,717,Dichen Lachman,Bled ,851,Michele Morrow,0,artist|blood|drug|tree sap|vampire,English,USA,R,750000,2009,134
433,Lloyd Bridges,998,Gary Cooper,High Noon ,80193,Lon Chaney Jr.,0,appeasement|frontier justice|justice|one against many|street shootout,English,USA,PG,750000,1952,575
2,Arthur Agee,7,William Gates,Hoop Dreams ,18980,Isiah Thomas,0,athlete|basketball|high school|high school student|school,English,USA,PG-13,700000,1994,6
14,Christopher Toler,262,Kevin Scott Richardson,Rize ,2877,Tommy the Clown,0,clown|clowning|dance|gang|south central los angeles,English,USA,PG-13,,2005,23
567,Lauren Cohan,22000,Peter Dinklage,Destiny ,3089,Erick Avari,0,first person shooter,English,USA,,,2014,4000
36,Bruce Altman,80,Adam LeFevre,L.I.E. ,8509,Walter Masterson,1,ephebophile|pederasty|pedophilia|playing hooky|shaving,English,USA,NC-17,700000,2001,67
195,Kara Hayward,601,Laura Fraser,The Sisterhood of Night ,1354,Louis Ozawa Changchien,,accused of witchcraft|based on short story,English,USA,PG-13,1000000,2014,524
311,Wesley Jonathan,618,Aimee Garcia,B-Girl ,551,Drew Sidora,0,brooklyn new york city|los angeles california|teacher|trauma|violence,English,USA,PG-13,,2009,592
84,Thomas Kretschmann,6000,Naomi Watts,King Kong ,316027,Evan Parke,0,animal name in title|ape abducts a woman|gorilla|island|king kong,English,New Zealand,PG-13,207000000,2005,918
324,Paris Hilton,730,Robert Ri'chard,House of Wax ,94463,Brian Van Holt,0,brother sister relationship|group of friends|male nudity|twin|wax,English,Australia,R,30000000,2005,716
71,Tristan Mack Wilds,33000,Ryan Gosling,Half Nelson ,70885,Jeff Lima,2,bathroom|classroom|dialectics|drugs|student,English,USA,R,700000,2006,519
236,Akima,752,Irene Bedard,Naturally Native ,103,Max Gail,4,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,English,USA,PG-13,700000,1998,282
48,Robinne Lee,465,Hill Harper,Hav Plenty ,819,Chenoa Maxwell,2,friend|new year's eve|screwball|self discovery|social differences,English,USA,R,650000,1997,170
137,Steffinnie Phrommany,696,Mehcad Brooks,Adulterers ,514,Danielle Savre,3,cheating husband|female nudity|male nudity|male rear nudity|revenge,English,USA,,750000,2015,320
432,Lee Armstrong,977,Trey Loney,Escape from Tomorrow ,7384,Amy Lucas,0,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,English,USA,Not Rated,,2013,511
442,Harvey Weinstein,628,Richard Curtis,Starsuckers ,474,Elton John,0,celebrity|consumerism|fashion|media manipulation,English,UK,,400000,2009,474
21,Dave Fennoy,1000,Alfre Woodard,The Hadza: Last of the First ,5,Jane Goodall,1,east africa|hunter gatherer|indigenous|rift valley|swahili,English,USA,,650000,2014,338
258,Madison Lintz,523,Sandra Ellis Lafferty,After ,3699,Karolina Wydra,0,coma|crash,English,USA,PG-13,650000,2012,385
2000,Lorraine Ziff,260000,Matthew Ziff,Treachery ,344,Michael Biehn,5,panties|white panties,English,USA,,625000,2013,21000
912,Justin Kirk,956,Leven Rambin,Walter ,1432,Virginia Madsen,2,based on short film|based on short story,English,USA,,700000,2015,945
23,Edward Everett Horton,610,Ginger Rogers,Top Hat ,13269,Eric Blore,2,dance|dancer|dancing|horse|tap dancing,English,USA,Approved,609000,1935,172
39,Joshua Leonard,170,Heather Donahue,The Blair Witch Project ,186786,Michael C. Williams,0,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,English,USA,R,60000,1999,170
136,Jimi Hendrix,262,Joe Cocker,Woodstock ,12631,Joan Baez,0,drugs|hippie|music festival|the who|woodstock,English,USA,R,600000,1970,227
11,Barry Dennen,119,David Zucker,The Kentucky Fried Movie ,13915,Tara Strohmeier,0,fake commercial|fake newscast|fake trailer|parody|spoof,English,USA,R,650000,1977,29
254,David A.R. White,602,Stacy Keach,Mercy Streets ,448,Cynthia Watros,1,church|cigarette smoking|deacon|twin brother|twins,English,USA,PG-13,600000,2000,266
20,Matthew Feeney,23,Kendyl Joi,Arnolds Park ,94,Tac Fitzgerald,4,,English,USA,PG-13,600000,2007,20
218,Jason London,919,William Smith,Broken Vessels ,531,Brent David Fraser,0,independent film|katana sword|los angeles storm drain,English,USA,R,600000,1998,711
359,Angela Nordeng,601,Nicholas Gonzalez,Water & Power ,85,Exie Booker,0,,English,USA,Not Rated,,2013,371
0,Garba Touré,0,Aliou Touré,They Will Have to Kill Us First ,74,Khaira Arby,3,,French,UK,,400000,2015,0
0,Colin Andrews,0,Karen Alexander,Crop Circles: Quest for Truth ,204,Francine Blake,0,crop circle|intelligence|paranormal|phenomenon|universe,English,USA,,750000,2002,0
271,Steven Michael Quezada,595,Russell Wong,Light from the Darkroom ,6,Lymari Nadal,0,china|faith|panama|photography|suspense,English,USA,PG-13,600000,2014,412
2,Félix Moati,541,François Cluzet,Irreplaceable ,389,Marianne Denicourt,2,doctor|hospital|mayor|no opening credits|title at the end,French,France,,,2016,8
233,Annabella Sciorra,587,Paula Garcés,The Maid's Room ,719,John Brodsky,0,,English,USA,,600000,2013,448
704,Ringo Starr,785,Paul McCartney,A Hard Day's Night ,31429,George Harrison,1,boy|concert|drummer|manager|television,English,UK,Approved,560000,1964,725
,,,,The Harvest/La Cosecha ,57,,0,child labor|education|hispanic|labor|migration,English,USA,,560000,2011,
