director_name,num_critic_for_reviews,director_facebook_likes,actor_1_name,language,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Adam McKay,265,285,Dwayne Johnson,English,100000000,2010,8000,6.7,16000
Chuck Russell,81,55,Vanessa Williams,English,100000000,1996,773,6.1,0
Quentin Tarantino,765,16000,Leonardo DiCaprio,English,100000000,2012,11000,8.5,199000
Gary Trousdale,80,21,Demi Moore,English,100000000,1996,700,6.9,0
Mark Dindal,141,10,Eartha Kitt,English,100000000,2000,452,7.3,0
Simon West,383,165,Jason Statham,English,92000000,2012,13000,6.7,108000
Jon Turteltaub,193,226,Nicolas Cage,English,100000000,2004,625,6.9,0
Stefen Fangmeier,170,14,Djimon Hounsou,English,100000000,2006,762,5.1,0
Spike Jonze,333,0,Catherine O'Hara,English,100000000,2009,468,6.8,11000
Joe Wright,256,456,Hugh Jackman,English,150000000,2015,548,5.8,24000
Chris Wedge,203,77,Josh Hutcherson,English,100000000,2013,151,6.7,17000
Florian Henckel von Donnersmarck,321,207,Johnny Depp,English,100000000,2010,11000,6.0,25000
Peter Hyams,174,0,CCH Pounder,English,83000000,1999,1000,5.7,2000
Edward Zwick,166,380,Leonardo DiCaprio,English,100000000,2006,3000,8.0,14000
Martin Scorsese,606,17000,Leonardo DiCaprio,English,100000000,2013,11000,8.2,138000
Joel Schumacher,144,541,Michael Gough,English,100000000,1995,710,5.4,0
Paul Verhoeven,192,719,Jake Busey,English,105000000,1997,475,7.2,0
Tom Tykwer,511,670,Tom Hanks,English,102000000,2012,5000,7.5,124000
Zack Snyder,188,0,Abbie Cornish,English,80000000,2010,653,7.0,16000
Pitof,212,26,Frances Conroy,English,100000000,2004,825,3.3,0
Brett Ratner,245,420,Dwayne Johnson,English,100000000,2014,3000,6.0,21000
Ron Clements,127,63,Joseph Gordon-Levitt,English,140000000,2002,770,7.1,0
Brad Silberling,167,52,Will Ferrell,English,100000000,2009,735,5.4,0
Patrick Hughes,320,385,Jason Statham,English,90000000,2014,13000,6.1,56000
Ericson Core,163,19,Ray Winstone,English,105000000,2015,897,5.3,37000
Lawrence Guterman,78,6,Jamie Kennedy,English,84000000,2005,294,2.2,881
Ron Howard,289,2000,Chris Hemsworth,English,100000000,2015,911,7.0,27000
Ron Underwood,66,31,Rosario Dawson,English,100000000,2002,695,3.8,416
Paul Greengrass,266,521,Matt Damon,English,100000000,2010,537,6.9,0
Steve Martino,208,20,Francesca Capaldi,English,99000000,2015,42,7.2,33000
David Mamet,97,342,Ben Gazzara,English,10000000,1997,508,7.3,578
Stephen Sommers,202,208,Dwayne Johnson,English,98000000,2001,3000,6.3,0
Martin Scorsese,233,17000,Leonardo DiCaprio,English,100000000,2002,14000,7.5,0
Yimou Zhang,136,611,Christian Bale,Mandarin,94000000,2011,196,7.6,13000
Ash Brannon,154,9,Jeff Bridges,English,100000000,2007,11000,6.8,0
Frank Oz,169,0,Jon Lovitz,English,90000000,2004,2000,5.2,0
Ridley Scott,200,0,Ioan Gruffudd,English,92000000,2001,820,7.7,10000
Jay Roach,255,116,Will Ferrell,English,95000000,2012,331,6.2,18000
Luc Besson,173,0,Milla Jovovich,English,93000000,1997,13000,7.7,18000
Michael Patrick King,221,127,Chris Noth,English,100000000,2010,740,4.3,0
Bibo Bergeron,82,10,Frank Welker,English,95000000,2000,919,6.9,0
Steve Martino,233,20,Peter Dinklage,English,95000000,2012,1000,6.6,14000
Kenneth Branagh,343,0,Hayley Atwell,English,95000000,2015,520,7.0,56000
Peter Jackson,308,0,Michael Imperioli,English,65000000,2009,560,6.7,16000
Andrew Stanton,301,475,Alexander Gould,English,94000000,2003,939,8.2,11000
Peter Jackson,328,0,Orlando Bloom,English,94000000,2003,857,8.9,16000
Peter Jackson,294,0,Christopher Lee,English,94000000,2002,5000,8.7,10000
Sergey Bodrov,175,44,Jeff Bridges,English,95000000,2014,3000,5.5,16000
Simon West,199,165,Angelina Jolie Pitt,English,115000000,2001,509,5.7,0
Wally Pfister,355,0,Johnny Depp,English,100000000,2014,11000,6.3,37000
Joe Johnston,198,394,Michael Jeter,English,93000000,2001,595,5.9,0
Rupert Wyatt,529,81,James Franco,English,93000000,2011,1000,7.6,47000
Mark Waters,198,70,Martin Short,English,90000000,2008,419,6.6,0
John Moore,412,212,Bruce Willis,English,92000000,2013,787,5.3,66000
John Lee Hancock,106,102,Dennis Quaid,English,107000000,2004,973,6.0,701
Brad Bird,283,663,Holly Hunter,English,92000000,2004,723,8.0,0
Renny Harlin,61,212,Christopher Masterson,English,98000000,1995,903,5.6,1000
Chris Columbus,217,0,Logan Lerman,English,95000000,2010,3000,5.9,9000
Barry Sonnenfeld,175,188,Will Smith,English,90000000,1997,826,7.3,0
John Lasseter,191,487,Tom Hanks,English,90000000,1999,1000,7.9,0
Tony Scott,316,12000,Denzel Washington,English,100000000,2010,3000,6.8,18000
Brett Ratner,127,420,Mei Melançon,English,90000000,2001,165,6.6,0
Robert Zemeckis,185,0,Harrison Ford,English,100000000,2000,627,6.6,0
Phil Lord,191,97,Will Forte,English,100000000,2009,526,7.0,0
Carlos Saldanha,188,107,Denis Leary,English,90000000,2009,256,7.0,0
Ben Stiller,362,0,Adam Scott,English,90000000,2013,806,7.3,70000
McG,181,368,Bill Murray,English,92000000,2000,1000,5.5,0
Martin Scorsese,352,17000,Leonardo DiCaprio,English,90000000,2006,13000,8.5,29000
Tony Bancroft,143,7,Ming-Na Wen,English,90000000,1998,500,7.5,12000
Ben Stiller,308,0,Robert Downey Jr.,English,92000000,2008,1000,7.0,0
David Fincher,517,21000,Robin Wright,English,90000000,2011,1000,7.8,54000
John McTiernan,148,323,Bruce Willis,English,90000000,1995,559,7.6,0
Guy Ritchie,415,0,Robert Downey Jr.,English,90000000,2009,979,7.6,20000
Timur Bekmambetov,1,335,Morgan Freeman,English,,2016,745,6.1,0
Gary Trousdale,146,21,Leonard Nimoy,English,120000000,2001,802,6.8,0
Walt Becker,70,12,Bella Thorne,English,90000000,2015,1000,5.0,0
Bryan Singer,269,0,Tom Cruise,English,75000000,2008,1000,7.1,0
Dennis Dugan,198,221,Adam Sandler,English,90000000,2008,600,5.5,0
Chris Columbus,253,0,Peter Dinklage,English,88000000,2015,11000,5.6,39000
Steven Spielberg,281,14000,Haley Joel Osment,English,100000000,2001,882,7.1,11000
Rob Minkoff,122,50,Marsha Thomason,English,90000000,2003,569,4.9,988
Robert Zemeckis,159,0,Matthew McConaughey,English,90000000,1997,1000,7.4,15000
Paul Verhoeven,180,719,Greg Grunberg,English,95000000,2000,624,5.7,0
Sydney Pollack,227,521,Curtiss Cook,Aboriginal,80000000,2005,249,6.4,0
Thor Freudenthal,183,87,Logan Lerman,English,90000000,2013,956,5.9,28000
Jan de Bont,157,101,Gerard Butler,English,95000000,2003,11000,5.5,0
Jon M. Chu,196,209,Daniel Radcliffe,English,90000000,2016,11000,6.9,15000
Phillip Noyce,64,176,Alun Armstrong,English,68000000,1997,117,6.2,0
Tony Scott,142,12000,Brad Pitt,English,92000000,2001,577,7.0,0
Brian De Palma,181,0,Don Cheadle,English,90000000,2000,933,5.6,0
Carlos Saldanha,240,107,Anne Hathaway,English,90000000,2011,560,7.0,19000
Chris Columbus,93,0,Robin Williams,English,100000000,1999,1000,6.8,0
Mick Jackson,84,81,Don Cheadle,English,90000000,1997,643,5.4,2000
Alan J. Pakula,66,79,Harrison Ford,English,86000000,1997,11000,6.1,979
Kathryn Bigelow,136,0,Liam Neeson,English,100000000,2002,602,6.7,0
Josh Trank,369,128,Tim Blake Nelson,English,120000000,2015,360,4.3,41000
John Milius,166,468,William Smith,English,20000000,1982,691,6.9,0
Ron Howard,201,2000,Paddy Considine,English,88000000,2005,655,8.0,0
Andrey Konchalovskiy,47,96,Shirley Henderson,English,90000000,2010,886,4.4,788
Gary Ross,175,378,Jeff Bridges,English,87000000,2003,947,7.3,0
Jan de Bont,114,101,Philip Seymour Hoffman,English,92000000,1996,946,6.3,0
Rob Cohen,187,357,Paul Walker,English,38000000,2001,14000,6.7,14000
Robert Zemeckis,221,0,Tom Hanks,English,90000000,2000,410,7.7,23000
George Miller,206,750,Robin Williams,English,100000000,2006,20000,6.5,0
Paul Greengrass,239,521,Matt Damon,English,75000000,2004,805,7.8,0
Wolfgang Petersen,142,249,Harrison Ford,English,85000000,1997,10000,6.4,0
Steven Soderbergh,186,0,Brad Pitt,English,85000000,2001,1000,7.8,0
Paul W.S. Anderson,228,545,Milla Jovovich,English,75000000,2011,8000,5.8,19000
Genndy Tartakovsky,256,266,Steve Buscemi,English,85000000,2012,11000,7.1,28000
Kevin Lima,222,36,Jeff Bennett,English,85000000,2007,142,7.1,0
,103,,Caroline Dhavernas,English,,,183,8.6,59000
Daniel Espinosa,298,79,Denzel Washington,English,85000000,2012,16000,6.8,19000
Kevin Lima,84,36,Ioan Gruffudd,English,85000000,2000,795,4.8,372
Brett Ratner,236,420,Matthew Broderick,English,75000000,2011,906,6.2,0
Nancy Meyers,157,278,Kate Winslet,English,85000000,2006,3000,6.9,19000
Tony Scott,81,12000,Will Smith,English,90000000,1998,660,7.3,0
Nancy Meyers,187,278,Meryl Streep,English,85000000,2009,2000,6.6,0
Steven Soderbergh,238,0,Al Pacino,English,85000000,2007,13000,6.9,0
Roger Allers,107,28,Jon Favreau,English,85000000,2006,650,6.2,863
Neil Burger,459,168,Kate Winslet,English,85000000,2014,5000,6.7,49000
Jean-Jacques Annaud,187,218,Bob Hoskins,English,68000000,2001,35,7.6,0
Peter Berg,151,532,Dwayne Johnson,English,85000000,2003,3000,6.7,0
John McTiernan,80,323,F. Murray Abraham,English,70000000,1993,442,6.2,0
Rob Marshall,229,252,Li Gong,English,85000000,2005,691,7.3,0
Justin Lin,158,681,Amber Stevens West,English,85000000,2006,227,6.0,0
Sarah Smith,190,6,Jim Broadbent,English,100000000,2011,579,7.1,0
Martin Brest,98,102,Anthony Hopkins,English,90000000,1998,11000,7.1,10000
Andrew Davis,135,99,Raymond Cruz,English,85000000,2002,174,5.5,941
Bob Fosse,84,189,Roy Scheider,English,,1979,388,7.8,0
Tarsem Singh,382,763,Julia Roberts,English,85000000,2012,886,5.6,18000
Edgar Wright,393,1000,Anna Kendrick,English,60000000,2010,1000,7.5,36000
Jon Amiel,149,36,Glenn Morshower,English,60000000,2003,345,5.4,0
Peter Segal,94,88,Larry Miller,English,65000000,2000,592,4.3,374
Raja Gosnell,138,67,Sarah Michelle Gellar,English,84000000,2002,2000,4.9,0
Pete Travis,432,38,Wood Harris,English,35000000,2012,107,7.1,46000
Frank Coraci,173,153,Adam Sandler,English,70000000,2006,1000,6.4,7000
George A. Romero,127,0,Ted Danson,English,8000000,1982,826,6.9,0
Brad Peyton,91,62,Jack McBrayer,English,85000000,2010,760,4.3,0
Doug Liman,238,218,Kristen Stewart,English,85000000,2008,4000,6.1,0
Guillermo del Toro,345,0,Seth MacFarlane,English,85000000,2008,169,7.0,3000
David Fincher,377,21000,Robert Downey Jr.,English,65000000,2007,15000,7.7,12000
Roger Spottiswoode,170,55,Robert Duvall,English,82000000,2000,975,5.9,0
Tom Shadyac,191,293,Morgan Freeman,English,81000000,2003,7000,6.7,0
Sylvester Stallone,424,13000,Jason Statham,English,80000000,2010,13000,6.5,57000
Brian De Palma,154,0,Tom Cruise,English,80000000,1996,1000,7.1,0
Gary Ross,673,378,Jennifer Lawrence,English,78000000,2012,14000,7.3,140000
Todd Phillips,383,480,Bradley Cooper,English,80000000,2011,670,6.5,56000
Tim Burton,153,13000,Michael Gough,English,80000000,1992,811,7.0,0
Tim Johnson,166,12,Bruce Willis,English,80000000,2006,7000,6.8,0
Dean DeBlois,180,255,Tia Carrere,English,80000000,2002,533,7.2,0
Gary Winick,120,56,Steve Buscemi,English,,2006,8000,6.4,0
Mimi Leder,125,75,Morgan Freeman,English,75000000,1998,4000,6.1,0
Dean Parisot,234,23,Bruce Willis,English,84000000,2013,12000,6.7,22000
Peter Segal,134,88,Adam Sandler,English,82000000,2005,437,6.4,0
Mike Mitchell,91,31,Amy Poehler,English,75000000,2011,1000,4.4,0
Dennis Dugan,139,221,Steve Buscemi,English,80000000,2013,11000,5.4,14000
Peter Segal,265,88,Bill Murray,English,80000000,2008,12000,6.5,0
Nancy Meyers,145,278,Keanu Reeves,English,80000000,2003,4000,6.7,0
Martin Scorsese,490,17000,Leonardo DiCaprio,English,80000000,2010,223,8.1,53000
Seth Gordon,141,91,Jon Favreau,English,80000000,2008,3000,5.6,0
Chris Wedge,163,77,Jim Broadbent,English,75000000,2005,311,6.3,0
John Woo,155,610,Nicolas Cage,English,80000000,1997,1000,7.3,11000
Adam Shankman,144,163,Adam Sandler,English,80000000,2008,869,6.1,0
Sam Mendes,226,0,Tom Hanks,English,80000000,2002,1000,7.7,0
Dennis Dugan,204,221,Adam Sandler,English,80000000,2011,3000,6.4,19000
,95,,Elden Henson,English,,,4,8.8,55000
Simon West,139,165,Steve Buscemi,English,75000000,1997,878,6.8,0
D.J. Caruso,215,154,Rosario Dawson,English,80000000,2008,982,6.6,0
Anthony Minghella,198,333,Philip Seymour Hoffman,English,79000000,2003,20000,7.2,0
Albert Hughes,325,117,Denzel Washington,English,80000000,2010,15000,6.9,20000
Les Mayfield,53,10,Robin Williams,English,80000000,1997,570,5.2,0
Jan de Bont,167,101,Liam Neeson,English,80000000,1999,960,4.9,0
Joe Pytka,46,30,Bill Murray,English,80000000,1996,967,6.3,0
Shawn Levy,147,189,Roger Rees,English,65000000,2006,177,5.6,0
Scott Derrickson,276,301,Keanu Reeves,English,80000000,2008,4000,5.5,0
Richard Donner,80,503,Julia Roberts,English,75000000,1997,137,6.7,0
David Ayer,406,452,Brad Pitt,English,68000000,2014,8000,7.6,82000
Ivan Reitman,97,425,Harrison Ford,English,70000000,1998,643,5.7,0
Eric Brevig,143,40,Justin Timberlake,English,80000000,2010,642,4.6,0
Kelly Asbury,106,21,Matt Damon,English,80000000,2002,503,7.0,4000
Frank Coraci,178,153,Rosario Dawson,English,80000000,2011,1000,5.2,0
Stephen Hopkins,102,81,Gary Oldman,English,80000000,1998,882,5.1,0
Jonathan Demme,209,438,Denzel Washington,English,80000000,2004,1000,6.6,0
Henry Jaglom,19,69,Vanessa Redgrave,English,,1997,577,7.0,91
Genndy Tartakovsky,152,266,Steve Buscemi,English,80000000,2015,11000,6.7,16000
,31,,Elizabeth Montgomery,English,,,960,7.6,0
James Algar,129,11,Quincy Jones,English,80000000,1999,243,7.3,607
Simon Wells,124,25,Mark Addy,English,80000000,2002,639,5.9,3000
Ron Underwood,35,31,Charlize Theron,English,90000000,1998,496,5.6,0
Dominic Sena,166,57,Hugh Jackman,English,80000000,2001,3000,6.5,0
Martin Campbell,137,258,Michael Emerson,Spanish,75000000,2005,277,5.9,951
Vincent Ward,121,25,Robin Williams,English,85000000,1998,448,7.0,32000
Steven Brill,87,65,Adam Sandler,English,80000000,2000,11000,5.3,0
Terry Gilliam,233,0,Matt Damon,English,88000000,2005,13000,5.9,0
Tim Burton,132,13000,Natalie Portman,English,70000000,1996,770,6.3,0
Lucile Hadzihalilovic,63,92,Nissim Renard,French,,2015,21,6.4,257
Lee Tamahori,95,93,Anthony Hopkins,English,,1997,1000,6.9,0
Jonathan Mostow,258,84,Bruce Willis,English,80000000,2009,1000,6.3,0
Roger Donaldson,162,79,Bruce Greenwood,English,80000000,2000,274,7.3,0
Rob Cohen,61,357,Sylvester Stallone,English,80000000,1996,10000,5.8,0
Barry Cook,113,43,Charlie Rowe,English,80000000,2013,396,5.2,0
Roger Christian,174,64,Richard Tyson,English,44000000,2000,117,2.4,0
Joe Dante,101,287,Brendan Fraser,English,80000000,2003,739,5.7,665
Rob Marshall,205,252,Fergie,English,80000000,2009,48,5.8,0
Richard Donner,123,503,Paul Walker,English,80000000,2003,18000,5.6,0
Kevin Costner,79,0,Olivia Williams,English,80000000,1997,674,6.0,0
George Miller,61,750,Adam Goldberg,English,80000000,1998,971,5.8,964
Breck Eisner,202,42,Vin Diesel,English,90000000,2015,788,6.0,21000
Antony Hoffman,145,14,Bob Neill,English,70000000,2000,0,5.7,995
Luc Besson,101,0,Mia Farrow,English,86000000,2006,80,6.0,941
Jacques Perrin,113,63,Pedro Armendáriz Jr.,French,40000000,2009,63,7.8,0
Peter Hyams,113,0,David Oyelowo,English,52000000,2005,307,4.2,785
Paul W.S. Anderson,272,545,Sasha Roiz,English,80000000,2014,172,5.6,20000
Andrés Couturier,3,0,Sariann Monaco,Spanish,8000000,2015,94,4.4,138
Ron Howard,205,2000,Adam Goldberg,English,58000000,2001,592,8.2,29000
Roger Allers,186,28,Matthew Broderick,English,45000000,1994,886,8.5,17000
Brad Peyton,178,62,Josh Hutcherson,English,79000000,2012,12000,5.8,0
Cody Cameron,169,18,Will Forte,English,78000000,2013,161,6.5,15000
Brett Ratner,210,420,Philip Seymour Hoffman,English,78000000,2002,12000,7.2,0
Joe Johnston,140,394,J.K. Simmons,English,100000000,2004,10000,6.7,0
Dennis Dugan,156,221,Al Pacino,English,79000000,2011,11000,3.4,0
John Singleton,150,309,Paul Walker,English,76000000,2003,787,5.9,0
Mark Osborne,119,54,Jeff Bridges,English,81200000,2015,11000,7.8,31000
Oliver Hirschbiegel,232,101,Roger Rees,English,80000000,2007,422,5.9,0
Des McAnuff,49,5,Robert De Niro,English,76000000,2000,1000,4.1,413
Yarrow Cheney,165,11,Steve Coogan,English,75000000,2016,904,6.8,36000
Stephen Norrington,202,45,Jason Flemyng,English,78000000,2003,872,5.8,0
Pierre Coffin,306,275,Steve Carell,English,76000000,2013,2000,7.5,56000
Roland Emmerich,185,776,Will Smith,English,75000000,1996,2000,6.9,16000
Steven Spielberg,177,14000,Ariana Richards,English,73000000,1997,506,6.5,0
Eric Darnell,181,35,Jada Pinkett Smith,English,75000000,2005,436,6.9,0
Alfonso Cuarón,372,0,Charlie Hunnam,English,76000000,2006,430,7.9,17000
Bryan Singer,290,0,Hugh Jackman,English,75000000,2000,764,7.4,0
Timur Bekmambetov,316,335,Angelina Jolie Pitt,English,75000000,2008,11000,6.7,0
Michael Bay,122,0,Nicolas Cage,English,75000000,1996,2000,7.4,51000
Carlos Saldanha,164,107,Denis Leary,English,80000000,2006,590,6.9,0
Peter Segal,147,88,Adam Sandler,English,75000000,2004,427,6.8,11000
Adam Shankman,219,163,Jerry Stiller,English,75000000,2007,339,6.7,0
Renny Harlin,167,212,James D'Arcy,English,50000000,2004,422,5.1,893
David Kellogg,70,16,Matthew Broderick,English,75000000,1999,710,4.1,509
Louis Leterrier,384,255,Morgan Freeman,English,75000000,2013,988,7.3,105000
Dennis Dugan,179,221,Steve Buscemi,English,80000000,2010,11000,6.0,12000
Steven Spielberg,151,14000,Tom Hanks,English,60000000,2004,466,7.3,16000
,12,,Harold Perrineau,English,,,560,7.5,10000
Thor Freudenthal,107,87,Don Cheadle,English,35000000,2009,576,5.4,1000
Martin Campbell,134,258,Nicholas Lea,English,75000000,2000,826,5.9,0
Mike Nichols,269,0,Philip Seymour Hoffman,English,75000000,2007,15000,7.1,0
Bibo Bergeron,143,10,Robert De Niro,English,75000000,2004,17000,6.0,0
Bill Condon,241,386,Loretta Devine,English,70000000,2006,549,6.5,0
,12,,Adam Arkin,English,,,130,8.3,0
F. Gary Gray,161,473,Dwayne Johnson,English,53000000,2005,1000,5.7,0
Steven Spielberg,298,14000,Ayelet Zurer,English,70000000,2005,486,7.6,0
Antoine Fuqua,89,845,Bruce Willis,English,70000000,2003,1000,6.6,0
Robert Luketic,140,126,Tom Selleck,English,75000000,2010,1000,5.4,0
Guy Ritchie,362,0,Henry Cavill,English,75000000,2015,509,7.3,43000
James L. Brooks,124,274,Adam Sandler,English,80000000,2004,964,6.5,0
Gil Kenan,190,27,Steve Buscemi,English,75000000,2006,970,6.6,0
Barry Levinson,132,272,Bruce Willis,English,80000000,2001,450,6.6,0
Jerry Zucker,53,109,Julia Ormond,English,55000000,1995,303,5.9,0
Andy Tennant,91,72,Bai Ling,English,75000000,1999,103,6.7,0
Tarsem Singh,284,763,Henry Cavill,English,75000000,2011,1000,6.1,30000
Florent-Emilio Siri,152,17,Jimmy Bennett,English,52000000,2005,13000,6.6,0
Don Bluth,131,383,Matt Damon,English,75000000,2000,1000,6.6,0
Ron Shelton,132,41,Harrison Ford,English,75000000,2003,982,5.3,648
Paul W.S. Anderson,67,545,Connie Nielsen,English,75000000,1998,722,6.0,0
David Pastor,130,10,Christopher Meloni,English,,2009,552,6.0,0
Henry Selick,74,253,Brendan Fraser,English,75000000,2001,889,4.7,683
John Moore,114,212,Dennis Quaid,English,45000000,2004,845,6.1,1000
M. Night Shyamalan,294,0,Robin Wright,English,75000000,2000,13000,7.2,0
Kyle Balda,308,22,Steve Carell,English,74000000,2015,4000,6.4,70000
Zack Snyder,435,0,Jon Hamm,English,82000000,2011,2000,6.1,42000
Brian De Palma,117,0,Nicolas Cage,English,69000000,1998,854,5.9,880
Barry Levinson,108,272,Peter Coyote,English,75000000,1998,270,6.0,0
Clay Kaytis,141,6,Peter Dinklage,English,73000000,2016,1000,6.3,14000
Andy Tennant,176,72,Matthew McConaughey,English,70000000,2008,1000,5.6,0
Judd Apatow,230,0,Adam Sandler,English,75000000,2009,561,6.4,0
Peter Berg,234,532,Jennifer Garner,English,70000000,2007,638,7.1,0
Adam McKay,164,285,Will Ferrell,English,73000000,2006,1000,6.6,0
Steve Carr,91,41,Raven-Symoné,English,72000000,2001,692,4.6,266
Mel Gibson,132,0,Mhairi Calvey,English,72000000,1995,466,8.4,17000
Sam Mendes,262,0,Jake Gyllenhaal,English,70000000,2005,383,7.1,0
David Silverman,299,30,Albert Brooks,English,75000000,2007,440,7.4,0
Frank Darabont,128,0,Martin Landau,English,72000000,2001,826,6.9,0
Renny Harlin,109,212,Sylvester Stallone,English,72000000,2001,658,4.5,886
Jean-Jacques Annaud,88,218,David Gant,English,59660000,2004,17,7.1,2000
M. Night Shyamalan,261,0,Bryce Dallas Howard,English,60000000,2004,2000,6.5,0
Betty Thomas,73,84,Oliver Platt,English,71500000,1998,1000,5.3,694
M. Night Shyamalan,208,0,Rory Culkin,English,72000000,2002,529,6.7,0
Andrew Adamson,205,80,Rupert Everett,English,150000000,2004,309,7.2,0
John Lasseter,256,487,John Ratzenberger,English,120000000,2006,843,7.2,0
Garry Marshall,103,0,Julia Roberts,English,70000000,1999,3000,5.5,0
Rob Cohen,191,357,Vin Diesel,English,70000000,2002,223,5.8,10000
Paul Tibbitt,147,5,Tim Conway,English,74000000,2015,861,6.0,16000
Ron Howard,79,2000,Lili Taylor,English,80000000,1996,848,6.6,1000
Quentin Tarantino,486,16000,Michael Fassbender,English,75000000,2009,11000,8.3,42000
Steven Spielberg,75,14000,Robin Williams,English,70000000,1991,8000,6.7,13000
Brett Ratner,245,420,Dwayne Johnson,English,100000000,2014,3000,6.0,21000
Renny Harlin,142,212,Bruce Willis,English,70000000,1990,982,7.1,0
Clark Johnson,144,69,Jeremy Renner,English,80000000,2003,1000,6.0,0
,39,,Nicole Beharie,English,,,372,7.5,14000
Cameron Crowe,153,488,Tom Cruise,English,68000000,2001,834,6.9,0
M. Night Shyamalan,284,0,Bryce Dallas Howard,English,70000000,2006,579,5.6,0
Paul W.S. Anderson,247,545,Sanaa Lathan,English,60000000,2004,766,5.6,0
Betty Thomas,107,84,Amy Poehler,English,75000000,2009,1000,4.5,2000
