num_critic_for_reviews,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,budget,title_year,actor_2_facebook_likes
388,10000,Drama|History|Thriller|War,Jeremy Renner,332065,11114,Brian Geraghty,876,15000000,2008,602
45,695,Action|Horror|Sci-Fi|Thriller,Heather Locklear,22797,3444,David Keith,96,15000000,1984,654
414,11000,Crime|Thriller,Brad Pitt,111625,14025,Ben Mendelsohn,369,15000000,2012,820
291,22000,Crime|Drama|Thriller,Philip Seymour Hoffman,57210,22574,Homayoun Ershadi,158,15000000,2014,164
97,826,Comedy,Rip Torn,39788,2689,Eddie Kaye Thomas,619,15000000,2001,503
37,354,Adventure|Animation|Comedy|Family,Yuri Lowenthal,2037,568,Phil Vischer,22,15000000,2008,173
68,468,Documentary|Music,Bono,2673,646,Larry Mullen Jr.,31,,2007,67
90,1000,Action|Adventure|Fantasy|Sci-Fi,Christopher Lambert,16340,2764,Adam Copeland,355,15000000,2000,786
81,907,Crime|Drama|Musical|Romance,Cicely Tyson,4603,3633,Bobb'e J. Thompson,91,15000000,2006,585
221,11000,Drama|Romance,Anne Hathaway,106111,17627,Rafe Spall,181,15000000,2011,5000
230,796,Drama|Sport,Daniel Stern,55665,2633,Alia Shawkat,118,15000000,2009,787
57,14000,Crime|Drama|Thriller,Vin Diesel,19768,15644,Kevin Gage,135,,2001,442
119,436,Crime|Thriller,Louis Lombardi,30643,1172,Leland Orser,144,15000000,2003,324
97,12000,Comedy,Jeff Bridges,9294,15209,Albert Brooks,140,15000000,1999,821
119,427,Biography|Drama|Music|Musical,Kevin McNally,9649,729,Sandra Nelson,226,20000000,2004,66
42,11000,Comedy|Drama|Romance,Woody Allen,13692,12685,Mia Farrow,55,15000000,1989,860
24,595,Adventure|Family,Trevor Morgan,2724,1139,Shirley Douglas,53,15000000,1998,417
208,746,Action,Rick Yune,53471,2377,Daniel Wu,224,15000000,2012,561
42,925,Comedy|Drama|Romance,Catherine O'Hara,7159,2913,Shelley Duvall,88,15000000,1998,660
44,989,Drama|Romance,Bruce Greenwood,7403,3142,Elaine Hendrix,162,15000000,2000,841
230,22000,Drama|Sci-Fi,Robert De Niro,152306,29475,Jim Broadbent,513,15000000,1985,5000
46,1000,Family|Music|Romance,Oliver James,22649,4676,Jason Ritter,212,15000000,2004,872
18,443,Drama|Fantasy|Mystery|Sci-Fi,David Ogden Stiers,7122,981,Chris Bruno,77,,,319
249,22000,Comedy|Crime,Philip Seymour Hoffman,537419,47728,Steve Buscemi,1028,15000000,1998,12000
197,3000,Drama|Music,Justin Timberlake,52421,5012,S. Epatha Merkerson,200,15000000,2006,788
71,556,Crime|Drama|Romance|Thriller,Khandi Alexander,17261,1873,Michael Michele,125,15000000,2002,463
190,11000,Biography|Drama|History|Thriller|War,Angelina Jolie Pitt,24150,12178,Dan Futterman,118,16000000,2007,883
50,11000,Comedy|Drama|Romance,James Franco,8055,13524,Marla Sokoloff,89,15000000,2000,897
63,890,Comedy,Vivica A. Fox,26598,3161,Bob Gunton,132,20000000,2002,852
104,14000,Comedy|Drama|Romance,Colin Firth,18966,16502,Rupert Everett,141,15000000,2002,1000
,1000,Fantasy|Romance,Jennifer Jason Leigh,1465,2166,Estelle Parsons,56,,1998,393
49,8000,Adventure|Comedy|Family,Logan Lerman,6562,10732,Tim Blake Nelson,66,15000000,2006,625
300,65,Comedy|Crime|Drama,Elizabeth Berrington,307639,173,Eric Godon,513,15000000,2008,49
43,931,Comedy|Romance,Tyler James Williams,4065,3322,Diahann Carroll,33,15000000,2013,539
132,15000,Comedy|Music,Emma Stone,32311,33153,Josh Gad,104,15000000,2008,14000
97,24000,Comedy|Romance,J.K. Simmons,11498,25637,Bobby Coleman,53,15000000,2009,971
242,13000,Drama,Matt Damon,30284,14544,Terry Kinney,102,15000000,2012,826
218,860,Comedy|Romance,Larry David,58967,2717,Conleth Hill,169,15000000,2009,658
49,477,Drama|Mystery|Thriller,Matthew Settle,3668,2312,A.J. Buckley,85,15000000,2000,397
172,572,Adventure|Crime|Drama|Mystery|Western,Levon Helm,34194,1627,Guillermo Arriaga,199,15000000,2005,324
68,49000,Drama|War,Robin Williams,12601,51657,Michael Jeter,89,15000000,1999,1000
223,21000,Comedy|Crime|Mystery,Robert Downey Jr.,175962,23932,Larry Miller,336,15000000,2005,1000
59,890,Comedy|Fantasy|Horror|Thriller,Vivica A. Fox,33745,3654,Elden Henson,198,20000000,1999,729
252,6000,Drama|Mystery|Thriller,Naomi Watts,235992,8484,Laura Harring,1768,15000000,2001,889
106,837,Drama|Fantasy|Horror|Romance,Olivier Martinez,15388,1675,Chris Geere,190,,2007,400
223,12000,Comedy|Drama|Romance,Anthony Hopkins,36145,19310,Ewen Bremner,108,22000000,2010,6000
328,10000,Drama|Romance|Sci-Fi,Andrew Garfield,109873,12867,Charlotte Rampling,320,15000000,2010,882
9,857,Drama|History|Thriller,Anna Silk,3828,3809,Alessandro Nivola,39,,,555
150,918,Crime|Drama|Mystery|Thriller,Thomas Kretschmann,42792,1252,Mac McDonald,162,15000000,2008,278
21,876,Adventure|Drama|Fantasy,Curtis Armstrong,4996,1351,Mike Muscat,62,15000000,1986,324
28,783,Comedy|Crime|Drama,Meat Loaf,5917,4834,Noah Emmerich,71,15000000,1999,664
250,6000,Crime|Drama|Horror|Thriller,Naomi Watts,69569,6748,Brady Corbet,436,15000000,2007,294
17,192,Drama|Sci-Fi|Thriller,Thomas Stroppel,1933,527,Amber Marie Bollinger,13,,2014,134
95,5000,Drama|Thriller,Bob Hoskins,6690,5426,Gerard McSorley,83,,1999,203
260,136,Drama|Sci-Fi,Brigitte Helm,111841,203,Rudolf Klein-Rogge,413,6000000,1927,23
141,510,Action|Crime|Thriller,David Belle,55928,962,Dany Verissimo-Petit,157,12000000,2004,297
52,12000,Crime|Drama,Steve Buscemi,22345,14889,Treat Williams,144,7000000,1995,970
205,1000,Action|Drama,Qi Shu,9427,1172,Satoshi Tsumabuki,87,15000000,2015,103
109,936,Comedy|Crime|Drama|Thriller|War,Dean Stockwell,20730,3578,Leon,111,15000000,2001,826
103,20,Drama|Mystery|Thriller,Konstantin Lavronenko,31589,48,Nataliya Vdovina,172,,2003,13
110,64,Action,Nirut Sirichanya,24570,134,Sarunyu Wongkrachang,72,300000000,2008,45
195,13000,Action|Adventure|Drama|History|Thriller|War,Michael Fassbender,64777,15293,Dave Legeno,201,,2010,794
14,825,Action|Drama|Thriller,Christopher Heyerdahl,2699,1432,Conrad Dunn,29,9000000,1996,476
177,14000,Fantasy|Horror|Mystery,Bradley Cooper,47574,18639,Leslie Bibb,209,15000000,2008,1000
17,549,Biography|Drama|History,Jennifer Hudson,609,801,Aubrey Poo,15,15000000,2011,248
62,17000,Crime|Drama|Thriller,Channing Tatum,14280,32814,Tracy Morgan,41,15000000,2011,14000
19,776,Action|Comedy|Drama|War,Eddie Izzard,2236,1732,Edward Fox,40,25000000,2001,595
50,1000,Comedy|Drama|Fantasy|Music|Romance,Stephen Graham,7519,1245,Keith Allen,39,15000000,2007,165
25,735,Biography|Drama|Fantasy|History,Anna Friel,3425,2528,Franco Nero,32,,2008,627
39,14000,Adventure|Animation|Family,Liam Neeson,4006,29488,Loretta Devine,12,20000000,2013,12000
136,1000,Action|Sci-Fi|Thriller,Birgitte Hjort Sørensen,41638,2829,Melanie Griffith,134,7000000,2014,889
26,179,Action|Adventure|Fantasy,Bruce Payne,5018,363,Steven Elder,108,15000000,2005,55
4,61,Biography,Maximilian Dirr,80,192,Ferdinando Vetere,4,15000000,2015,57
53,556,Action|Crime|Drama|Thriller,Bingbing Fan,9177,996,Yasuaki Kurata,53,15000000,2009,353
22,631,Biography|Drama,Samantha Morton,695,1585,Linus Roache,32,15000000,2000,452
147,13000,Comedy|Fantasy|Romance,Bill Murray,437418,15500,Willie Garson,609,14600000,1993,571
222,20000,Comedy|Drama|Music,Matt Bomer,38202,38963,Kevin Nash,135,14800000,2015,17000
106,29000,Drama|Romance,Leonardo DiCaprio,167750,33791,Brian Dennehy,506,14500000,1996,1000
136,1000,Drama|War,Kristin Scott Thomas,12937,2140,Arben Bajraktaraj,73,10000000,2010,767
5,467,Drama|Family|Music,Sharon Leal,993,994,Bart Shatto,13,14500000,2014,220
131,16000,Drama|Western,Clint Eastwood,277505,28544,Frances Fisher,495,14400000,1992,11000
140,3000,Drama,Bryce Dallas Howard,18646,4211,Jean-Marc Barr,81,14200000,2005,769
418,668,Drama|Romance,Anil Kapoor,641997,820,Ayush Mahesh Khedekar,1017,15000000,2008,56
94,886,Drama|Romance|Thriller,Fred Gwynne,55101,1639,Anne Archer,201,14000000,1987,276
82,8000,Comedy|Romance,Julia Roberts,213476,11135,Jason Alexander,271,14000000,1990,995
,770,Comedy,Martin Short,10,1125,Joe Flaherty,,,,179
32,442,Action|Adventure|Comedy,Paul Hogan,44096,717,John Meillon,62,15800000,1988,162
22,892,Action|Crime|Drama|Mystery|Thriller,María Valverde,1554,2055,Chad Bishop,20,15000000,2015,355
72,10000,Biography|Drama|War,Tom Cruise,76842,12098,Stephen Baldwin,173,14000000,1989,854
39,953,Adventure|Comedy|Family|Sport,Doug E. Doug,69733,2496,Malik Yoba,97,15000000,1993,730
264,10000,Horror|Thriller,Jensen Ackles,45603,14159,Edi Gathegi,268,15000000,2009,960
264,941,Horror|Thriller,Kyra Sedgwick,47169,2348,Natasha Calis,162,14000000,2012,459
145,13000,Action|Adventure|Drama,Sylvester Stallone,172493,15192,Chris Mulkey,376,14000000,1982,954
86,997,Drama|Music|Romance,Chris Brown,19505,3544,Harry Lennix,162,14000000,2007,826
112,456,Action|Adventure|Sci-Fi|Thriller,Caroline Munro,76477,1326,Barbara Bach,275,14000000,1977,244
17,155,Documentary,Amy Bruni,5563,552,Jason Hawes,57,,,130
101,975,Horror|Mystery|Thriller,Alicia Witt,47814,3500,Julian Richings,426,14000000,1998,912
51,18000,Drama|Romance,Keanu Reeves,52846,35501,Swoosie Kurtz,143,14000000,1988,17000
42,849,Comedy|Drama|Romance,Eddie Cibrian,6352,2226,Jamie Kennedy,43,,2012,597
10,327,Adventure|Drama,Seymour Cassel,15730,552,Susan Hogan,31,14000000,1991,172
43,8000,Comedy|Romance,Will Ferrell,15047,10792,Molly Shannon,160,14000000,1999,670
331,11000,Biography|Drama|History,Meryl Streep,82327,12894,Olivia Colman,350,13000000,2011,1000
38,23,Adventure|Animation|Comedy|Drama|Family|Musical,Phil Vischer,3135,49,Shelby Vischer,78,14000000,2002,12
12,592,Drama|Romance,Janet Jackson,8904,1620,Maya Angelou,31,14000000,1993,556
40,706,Action|Comedy|Crime|Thriller,Mike Epps,9693,1421,Gino Salvano,33,14000000,2002,266
34,723,Comedy|Fantasy|Horror|Romance,John Witherspoon,17262,2348,Allen Payne,53,20000000,1995,422
82,931,Horror,Linda Blair,16294,2704,Ned Beatty,252,14000000,1977,726
125,874,Horror|Mystery|Thriller,Sissy Spacek,22207,1608,Vernon Dobtcheff,747,14000000,2005,613
56,869,Comedy|Romance,Carmen Electra,24038,3007,Molly Shannon,123,14000000,2003,779
160,26000,Adventure|Mystery|Thriller,Chris Hemsworth,56338,41359,Marley Shelton,215,14000000,2009,14000
71,953,Comedy|Romance,America Ferrera,5721,3299,Lupe Ontiveros,20,14000000,2010,849
37,3000,Comedy,Alyson Hannigan,11729,6861,Poppy Montgomery,106,14000000,1998,2000
62,718,Comedy|Drama|War,Lily Tomlin,9323,1148,Paolo Seganti,157,12000000,1999,330
73,1000,Fantasy|Horror,Joe Mantegna,19805,2777,Kari Wuhrer,122,8500000,1996,855
59,22000,Drama|Music|Musical|Romance,Robert De Niro,13548,23378,Mary Kay Place,75,14000000,1977,740
25,1000,Comedy|Drama,Alfre Woodard,6011,3267,Isaiah Washington,39,14000000,1994,848
97,12000,Comedy|Drama|Romance,Steve Buscemi,13866,13446,Wendell Pierce,55,,2007,490
205,1000,Action|Horror|Sci-Fi|Thriller,Peter Mensah,38985,3050,Lexa Doig,673,11000000,2001,935
69,934,Adventure|Comedy|Family,Frankie Muniz,29008,3707,Lee Majors,99,15000000,2002,927
195,12000,Drama|History,Anthony Hopkins,38142,13528,Brian Geraghty,270,14000000,2006,593
61,878,Comedy|Mystery|Romance,Monica Potter,11693,2165,China Chow,104,14000000,2001,834
77,962,Adventure|Comedy,Thomas McDonell,11233,3715,Osric Chau,32,14000000,2012,925
259,413,Biography|Drama,Emmanuelle Seigner,89906,1372,Isaach De Bankolé,175,,2007,412
251,14000,Drama|Romance,Kate Winslet,92781,15337,Jane Adams,320,26000000,2006,617
63,12000,Drama|Mystery|Thriller,Norman Reedus,12519,12776,Noam Jenkins,112,24000000,2000,215
47,10000,Drama,Viggo Mortensen,6782,10368,Tovah Feldshuh,114,14000000,1999,233
108,543,Biography|Drama|History,Derek Luke,9334,678,Bonnie Henna,59,14000000,2006,113
64,159,Drama|Horror|Mystery|Thriller,Melissa Sagemiller,7277,417,Candace Kroslak,181,14000000,2001,102
20,423,Biography|Drama|History|Romance,Seth Gilliam,2427,446,Nigel Whitmey,27,14000000,1995,15
135,14000,Comedy|Romance,Colin Firth,16444,16431,Kris Marshall,79,,2008,1000
2,16000,Action|Adventure|History,Christopher Lee,524,17250,Behrouz Vossoughi,8,14000000,1978,469
262,149,Biography|Drama|History,Lesley Manville,17933,390,Karl Johnson,165,8200000,2014,44
129,412,Drama|Romance,Mathieu Amalric,3174,799,Edouard Baer,31,,2009,74
69,380,Biography|Crime|Drama|War,Sebastian Koch,11077,1429,Ulrich Mühe,55,103000000,2002,326
50,149,Action,Woo-sung Jung,6069,243,Kelly Lin,34,12000000,2010,32
57,697,Comedy|Drama|War,John Heard,11704,2243,Mark L. Young,36,15000000,2008,329
116,13000,Drama,Matt Damon,12053,14638,John Gallagher Jr.,119,14000000,2011,1000
45,826,Comedy|Horror,Steve Howey,9928,2207,Diora Baird,66,,2009,521
87,1000,Comedy|Drama|Romance,Madeline Carroll,60460,4377,Aidan Quinn,104,14000000,2010,872
357,15000,Drama|Romance,Jake Gyllenhaal,259837,39789,Anne Hathaway,2254,14000000,2005,13000
348,833,Action|Adventure|Comedy|Sci-Fi,Noel Fisher,167089,2690,Jeremy Howard,491,125000000,2014,809
88,927,Comedy|Romance,Donald Faison,123390,1724,Elisa Donovan,248,12000000,1995,281
181,2000,Drama|Romance,Dennis Quaid,36542,2447,Michael Gaston,378,13500000,2002,258
107,3000,Comedy|Sci-Fi,Adam Scott,28159,4702,Collette Wolfe,96,14000000,2015,837
53,20,Drama,Krystyna Janda,12590,25,Olgierd Lukaszewicz,37,,,3
132,14000,Biography|Drama,Kate Winslet,44795,14726,Amelia Warner,314,13500000,2000,230
401,2000,Comedy|Crime,Abbie Cornish,185845,4757,Michael Stuhlbarg,284,15000000,2012,906
58,539,Crime|Drama|Music|Mystery|Thriller,Colm Feore,5602,1767,Aunjanue Ellis,59,,2001,508
1,70,Action|Crime|Drama|Thriller,Jacek Koman,271,74,Jaroslaw Boberek,2,,,2
192,918,Biography|Drama|History|War,Thomas Kretschmann,248354,2334,Alexandra Maria Lara,564,13500000,2004,653
157,273,Biography|Drama|Romance,Belén Rueda,64556,529,Tamar Novas,140,10000000,2004,114
454,19000,Drama|Horror|Sci-Fi|Thriller,Scarlett Johansson,85022,19086,Alison Chand,616,,2013,50
62,49000,Biography|Comedy|Drama|War,Robin Williams,98348,50141,Bruno Kirby,131,13000000,1987,263
4,898,Comedy,Jason Mewes,912,2895,Michael Rispoli,17,13400000,2010,391
84,569,Documentary|Music,Usher Raymond,74351,714,Boys II Men,233,13000000,2011,69
669,20000,Drama|Thriller,Natalie Portman,551363,38072,Mark Margolis,1140,13000000,2010,15000
492,10000,Action|Crime|Sci-Fi|Thriller,Gary Oldman,182910,14160,Jennifer Ehle,630,100000000,2014,2000
149,22000,Crime|Drama,Robert De Niro,790926,39960,Robert Duvall,650,13000000,1974,14000
101,656,Drama|Music|Romance,Sean Patrick Thomas,47876,1307,Fredro Starr,320,13000000,2001,363
102,130,Fantasy|Horror|Thriller,Tuesday Knight,36108,450,Brooke Bundy,260,7000000,1988,125
63,3000,Drama,Jennifer Garner,6276,7833,Martin Henderson,55,13000000,2016,3000
106,3000,Comedy|Mystery,Jennifer Garner,116625,6454,Marla Sokoloff,469,13000000,2000,934
50,549,Action|Crime|Drama|Thriller|Western,Jack Palance,42614,1747,Brian Keith,120,13000000,1988,439
275,13000,Comedy|Drama,Bill Murray,72803,20330,Reg E. Cathey,171,13000000,2014,6000
90,833,Comedy|Romance,Joe Lo Truglio,16979,2800,Bryan Callen,42,12500000,2014,807
133,23000,Comedy|Drama|Romance,Joseph Gordon-Levitt,222099,37907,Andrew Keegan,549,16000000,1999,13000
49,11000,Comedy,Zooey Deschanel,28805,12687,Gene Simmons,159,13000000,2002,489
19,11000,Action|Comedy|Crime,Jon Lovitz,37611,12322,Bill Nunn,72,8200000,1993,852
186,619,Drama|Horror|Thriller,Óscar Jaenada,12983,971,Sedona Legge,139,17000000,2016,350
185,8000,Sci-Fi|Thriller,Logan Lerman,357579,12755,Cameron Bright,1100,13000000,2004,902
42,571,Adventure|Comedy|Family,Chris Elliott,9285,2241,Jean Smart,91,13000000,2000,442
37,1000,Comedy|Drama|Romance,Mekhi Phifer,6528,6554,Loretta Devine,32,13000000,2007,997
45,899,Comedy|Crime|Family|Sci-Fi,Kathleen Turner,19547,2936,Ruby Dee,168,18000000,1999,842
57,904,Action|Comedy|Crime|Thriller,Bokeem Woodbine,24834,3353,Antonio Sabato Jr.,168,13000000,1998,471
25,694,Comedy|Drama|Family,Gregory Smith,7984,2486,Charlotte Sullivan,42,13000000,1996,558
59,659,Fantasy|Horror,Jenny Agutter,31371,2646,Greg Germann,166,13000000,1990,628
58,1000,Crime|Thriller,Leslie Bibb,12676,2297,Henry Simmons,84,13200000,2014,345
330,2000,Horror,Toby Jones,220475,5371,Jeffrey DeMunn,1066,18000000,2007,850
489,149,Drama|Mystery|Sci-Fi|Thriller,Elina Alminas,289508,430,Corey Johnson,611,15000000,2015,145
242,512,Comedy|Drama|Fantasy,Willie Garson,254404,1171,Mary Kay Place,840,13000000,1999,216
40,939,Comedy|Romance,Mo'Nique,4339,2815,Tamala Jones,31,6000000,2001,890
112,803,Adventure|Family|Sci-Fi,Teo Halm,15664,1921,Jason Gray-Stanford,149,13000000,2014,587
84,4000,Drama|Romance,Kirsten Dunst,21406,6214,Rolando Molina,169,14000000,2001,1000
251,378,Drama|History|War,Yuki Matsuzaki,132149,751,Shidô Nakamura,316,19000000,2006,85
113,24000,Adventure|Drama|Sci-Fi,J.K. Simmons,19707,27806,Bruce Dern,128,13000000,2006,912
23,1000,Comedy|Romance,LL Cool J,1520,3352,Dave Chappelle,20,13000000,1998,851
421,805,Drama,Joan Allen,161288,2499,Cas Anvar,351,13000000,2015,681
32,721,Comedy,Don Rickles,20033,1805,Traylor Howard,117,13000000,1998,359
52,899,Comedy|Crime|Thriller,Kathleen Turner,21212,3092,Traci Lords,107,13000000,1994,849
81,16000,Comedy,Ryan Reynolds,16059,31005,Kirsten Dunst,210,13000000,1999,8000
,690,Action|Crime|Mystery|Thriller,Michael Nyqvist,335,998,Lena Endre,,,,94
39,3000,Drama|Thriller,Rosario Dawson,3116,6485,Robert Ri'chard,39,13000000,1999,1000
63,4000,Drama|Music,Salma Hayek,27675,6910,Sela Ward,181,13000000,1998,957
47,15000,Adventure|Comedy|Romance|Sci-Fi,Jake Gyllenhaal,25541,18864,Marley Shelton,181,13000000,2001,816
111,567,Comedy|Crime|Thriller,Mark Gatiss,21530,1775,Ben Chaplin,159,13000000,2001,326
168,552,Comedy,Justin Chon,60407,2730,Sarah Wright,84,13000000,2013,528
165,12000,Comedy|Drama|Romance,Steve Buscemi,63084,13208,Catalina Sandino Moreno,123,13000000,2006,530
104,748,Drama|Sport,Harry Lennix,18442,2417,Peter Coyote,59,13000000,2007,573
150,2000,Comedy|Drama|Romance,Tina Fey,28573,3004,Christopher Evan Welch,87,13000000,2013,257
61,2000,Drama|Romance,Emir Kusturica,4767,2389,Yves Jacques,69,100000000,2000,370
226,14000,Drama|Mystery|Romance|Thriller,Liam Neeson,56264,14372,Natalie Lisinska,166,11000000,2009,153
21,979,Comedy|Crime|Drama,Chazz Palminteri,1595,1679,Paul Mazursky,19,13000000,1996,385
217,20000,Drama|Thriller,Natalie Portman,88037,39473,Ethan Suplee,201,26000000,2009,15000
94,22000,Biography|Comedy|Crime|Drama,Peter Dinklage,28068,37606,Alex Rocco,108,13000000,2006,14000
364,8000,Drama|Romance,Logan Lerman,351274,13631,Kate Walsh,457,13000000,2012,3000
19,683,Action,Burt Young,922,1139,Thomas Ian Griffith,23,3000000,1993,155
129,2000,Biography|Crime|Drama,Toby Jones,14143,3474,Hope Davis,102,13000000,2006,812
71,14000,Drama|Romance|Western,Milla Jovovich,5254,17104,Shirley Henderson,92,20000000,2000,900
93,3000,Horror|Thriller,Djimon Hounsou,7199,7875,Dougray Scott,53,8495000,2015,1000
399,1000,Action|Comedy|Sci-Fi|Thriller,John Boyega,82331,2011,Jodie Whittaker,297,13000000,2011,305
110,306,Drama|Romance|War,Jelena Jovanova,31414,796,Branko Djuric,180,13000000,2011,164
285,873,Crime|Thriller,Michael Imperioli,88241,2812,Roma Maffia,266,13000000,2013,461
2,14000,Action|Drama|History|War,Liam Neeson,90,14133,Jung-jae Lee,1,12620000,2016,81
61,477,Action|Adventure|Comedy|Family,Steve Irwin,5663,1483,Steve Bastoni,106,13000000,2002,238
242,170,Biography|Comedy|Crime|Drama|Romance,Dameon Clarke,77305,931,Annie Golden,162,13000000,2009,157
62,581,Adventure|Drama|History,Rae Dawn Chong,16281,931,Gary Schwartz,96,12500000,1981,201
121,18000,Biography|Drama,Denzel Washington,26493,20456,Derek Luke,159,12500000,2002,638
83,13000,Drama,Gabriel Millman,14354,14347,Rob Morrow,139,12500000,2002,795
122,11000,Action|Crime|Drama|Romance|Thriller,Brad Pitt,163492,23602,Michael Rapaport,460,13000000,1993,10000
88,6000,Drama|Romance|Sci-Fi,Eva Green,9957,9244,Hannah Murray,35,3660000,2010,2000
120,18000,Crime|Drama|Mystery,Kevin Spacey,75675,32288,Jude Ciccolella,365,12500000,1992,14000
225,818,Crime|Drama|Thriller,Liam Aiken,28483,1813,Jay R. Ferguson,176,13000000,2010,467
130,783,Fantasy|Horror|Thriller,Ed Begley Jr.,14193,3700,John Heard,106,18000000,1982,782
167,1000,Horror|Mystery,Julian Morris,24012,3142,Rumer Willis,126,16000000,2009,668
7,490,Adventure|Drama|Romance,David Niven,3256,1166,Ronald Colman,44,,1937,185
226,33000,Comedy|Drama|Romance,Ryan Gosling,114762,34351,Paul Schneider,299,12000000,2007,730
185,77,Drama|War,Richard Johnson,132386,156,Cara Horgan,398,12500000,2008,32
177,963,Crime|Drama|Musical,Catherine Deneuve,79330,2894,Björk,690,12800000,2000,595
28,1000,Drama|Romance,Tom Wilkinson,5648,2004,Clive Russell,50,16000000,1997,653
48,812,Crime|Drama,Isabella Rossellini,6921,3337,Gretchen Mol,48,12500000,1996,787
116,966,Comedy|Drama|Romance,Jenna Fischer,13371,2661,Richard Schiff,60,15000000,2009,681
391,22000,Action|Crime|Thriller,Robert De Niro,165792,26233,Cheech Marin,392,10500000,2010,982
117,18000,Biography|Comedy|Crime|Drama,Kevin Spacey,14757,18739,Christian Campbell,51,15000000,2010,322
24,912,Adventure|Animation|Family,Judith Barsi,61753,1833,Bill Erwin,133,12500000,1988,320
86,717,Action|Drama|War,Min-sik Choi,31943,1730,Dong-gun Jang,224,12800000,2004,517
41,968,Comedy|Drama|Family|Sport,Clifton Collins Jr.,2676,4270,Bruce McGill,33,12500000,2009,844
304,1000,Horror,Ellen Burstyn,284252,2466,Lee J. Cobb,1058,8000000,1973,931
385,813,Adventure|Drama|Thriller,Roy Scheider,412454,2047,Murray Hamilton,962,8000000,1975,559
145,3000,Comedy,Alyson Hannigan,315549,8134,Natasha Lyonne,789,11000000,1999,1000
99,6000,Animation|Comedy|Crime|Drama|Family,Mackenzie Foy,12029,6829,Lambert Wilson,32,9600000,2012,637
29,400,Action|Adventure|Comedy|Fantasy|Mystery,Victor Wong,39798,1044,Charlotte Lewis,69,25000000,1986,255
77,997,Comedy|Romance,Chris Brown,34579,5165,Regina Hall,62,12000000,2012,966
91,656,Comedy|Drama,Sean Patrick Thomas,22147,2754,Cedric the Entertainer,156,12000000,2002,528
148,12000,Action|Adventure|Sci-Fi,Leonard Nimoy,91414,16539,Nichelle Nichols,359,11000000,1982,980
61,759,Comedy,Sean Young,216486,2462,David Margulies,242,12000000,1994,595
