duration,actor_3_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio
110,11,70011073,57996,146,mission|navy seal|terrorist|torture|valor,349,12000000,2012,6.5,2.35
104,920,65269010,90938,21380,dance|dancer|school|showcase|student,271,12000000,2006,6.5,2.35
81,616,63071133,42892,17035,beavis and butt head|fbi|score|television|television set,154,12000000,1996,6.8,1.85
154,889,39647595,239540,25522,arms dealer|atf|bail|money|multiple perspectives,462,12000000,1997,7.5,1.85
102,816,38087366,113918,4065,bong|escape|ex girlfriend|guantanamo bay|texas,165,12000000,2008,6.6,1.85
89,371,64572496,204327,2054,found footage|high school|subjective camera|teen angst|troubled teen,471,12000000,2012,7.1,1.85
132,122,30400000,9503,914,love|study|talmud|wedding|yeshiva,68,12000000,1983,6.6,1.85
103,504,42365600,45890,2730,cult director|dwarf|robin hood|satire|treasure,177,5000000,1981,7.0,1.85
93,135,37188667,34219,1531,audition|friendship|graduation|high school graduation|love,578,12000000,2002,3.3,1.85
93,281,54724272,157051,2043,birthday party|high school|high school senior|millennial generation|party,261,12000000,2012,6.7,1.85
172,78,,76398,1306,allies|dead soldier|destiny|general|tank,258,12000000,1970,8.0,2.2
96,933,31597131,97938,52138,insanity|photo lab|photo shop|photography|voyeur,605,12000000,2002,6.8,1.85
89,1000,31691811,57446,140268,apartment building|found footage|television|trapped|virus,369,12000000,2008,6.0,1.85
92,451,31397498,44130,18765,cellular memory|eye|eye transplant|seeing dead people|violinist,156,12000000,2008,5.4,2.35
97,826,31179516,5928,5006,cross country|cross country trip|highway travel|on the road|road movie,49,12000000,2004,4.3,2.35
93,722,31155435,42644,6105,college|drugs|harvard|pot|smoke,102,12000000,2001,6.2,1.85
89,84,27281507,33850,534,christmas|christmas eve|miser|muppet|scrooge,147,12000000,1992,7.7,1.85
144,834,167007184,470501,9125,casino|espionage|free running|james bond|terrorist,2301,150000000,2006,8.0,2.35
123,898,25776062,61651,7072,art|bisexual|marriage|pain|revolutionary,271,12000000,2002,7.4,1.85
93,8,25240988,12383,52,female protagonist|reference to britney spears|singer|song|world tour,50,12000000,2012,5.9,1.85
133,733,124868837,249688,10565,cancer|falling in love|friendship|novel|teenager,548,12000000,2014,7.8,1.85
121,599,22905674,121676,14890,breasts|cult film|loan shark|poker|reference to christy turlington,290,12000000,1998,7.4,2.35
102,555,25277561,21672,5592,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk,93,12000000,2014,6.5,2.35
102,79,,3000,729,cabin|monster|monster movie|paper mill|pollution,75,12000000,1979,5.4,2.35
99,282,21133087,62468,1254,disappearance|hearing voices|hypnosis|post hypnotic suggestion|seeing a ghost,374,12000000,1999,7.0,1.85
55,898,,173172,6091,female frontal nudity|female full frontal nudity|gladiator|group sex|slave girl,302,,,8.6,16.0
98,322,37707719,76094,2376,catholic|convent|gay love|gay relationship|irish adoption board,233,12000000,2013,7.6,1.85
118,805,18761993,19007,2944,anger|baseball|drinking|radio|secretary,219,9000000,2005,6.9,2.35
125,801,,20660,4659,1970s|jew|nazi|nazi hunter|paraguay,123,12000000,1978,7.0,1.85
104,717,18595716,30462,3963,beach|love|mermaid|storm|swimming,150,12000000,2006,5.3,1.85
109,376,31990064,63390,2753,based on novel|female neighbor|friendship|travel|trip,160,12000000,2015,6.4,2.35
86,581,17321573,3119,3646,animal costume|break up|fatherhood|rapper|talking baby,18,,2004,4.5,1.85
115,622,17613460,91082,3798,aging|billings montana|lincoln nebraska|nebraska|pickup truck,274,12000000,2013,7.8,2.35
92,580,21088568,16646,3931,blood|blood of christ|demon|key|loud sex,104,13000000,1995,6.7,1.85
91,611,17292381,5794,4551,bully|moving|principal|revenge|school,69,12000000,2001,5.3,1.85
94,390,16300302,64682,10575,car damage|computer printer|female band|fingernail polish|narcissism,203,12000000,2011,6.3,1.85
93,501,27829874,196422,28767,assassin|cult film|doctor|heart|poison,444,12000000,2006,7.0,1.78
93,324,13960203,2301,2939,breaking the fourth wall|doorman|friend|party|sex,15,,1997,5.3,1.85
100,604,12902790,4052,3250,brooklyn bridge|divorce|female protagonist|female star appears nude|lingerie slip,88,12000000,1998,6.6,2.35
100,696,21520719,10103,3906,basketball|basketball player|nba|physical therapist|therapist,36,,2010,5.8,2.35
113,471,12796277,41226,12274,12 step program|friend|maid of honor|tears|wedding,281,,2008,6.7,1.85
122,85,,16764,1456,adultery|drifter|lunch wagon|murder|neo noir,48,12000000,1981,6.6,1.85
100,1000,11634362,60171,34700,17th century|girl|maid|painter|painting,296,,2003,7.0,2.35
293,18,11433134,168203,469,duty|submarine|submarine movie|tension|u boat,426,14000000,1981,8.4,1.85
137,877,22406362,16832,5780,army|dictator|general|texan|texas,267,107000000,2004,6.0,2.35
93,503,10198766,12007,2393,college|cruise|drag|female armpit hair|sorority,105,12000000,2002,5.4,1.85
123,171,15294553,202341,1595,boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding,391,12000000,2013,7.8,2.35
119,4,11041228,92295,1244,flying|flying dagger|government|police|secret,420,100000000,2004,7.6,2.35
107,360,7918283,41574,2440,accidental death|dead woman|dead woman with eyes open|death of mistress|manager,145,12000000,2012,6.6,1.85
106,265,22331028,57349,1819,found footage|teenager|time machine|time travel|video footage,177,12000000,2015,6.4,2.35
109,192,8134217,15412,1141,1950s|jazz|jazz music|sex|title directed by female,90,12000000,2008,7.0,2.35
81,654,6982680,6965,3848,chauffeur|disorganized crime|dog|ransom|slapstick,69,10000000,2000,5.7,1.85
95,968,6739141,23383,4755,escape|future|population control|prison|prisoner,68,8000000,1992,5.9,1.85
86,783,5542025,12197,3535,actor|internet|make up|publicist|purim,150,12000000,2006,6.3,1.85
113,99,5032496,20576,943,celebrity|journalist|lesbian kiss|strong female character|tv producer,161,12000000,1998,6.3,1.66
122,316,6754898,20000,1291,alcoholic|fame|therapist|writer|writing,188,12000000,2006,6.2,2.35
90,251,4922166,23606,1445,bar|florida|love|spring break|waitress,304,12000000,2003,2.1,1.85
108,599,4903000,4961,4497,actress|neighbor|phone sex|queens new york city|sex addiction,33,12000000,1996,5.0,1.85
113,48,4717455,18632,1171,blow job|female rear nudity|female removes her clothes|oral sex|three of spades tattoo,354,12000000,2003,5.3,1.85
110,103,3148482,29613,1540,jewish|love|married man|neighbor|photograph,98,12000000,2008,7.1,2.35
109,794,2326407,5016,7166,ashes|butcher|friend|friendship|memory,99,12000000,2001,7.0,2.35
110,74,2201412,68883,1173,daughter|han river|monster|river|seoul,279,12215500000,2006,7.0,1.85
100,212,,763,4277,escape|jumping from an airplane|money|parachute|ransom,10,12000000,1981,5.7,1.85
101,611,2060953,29990,2543,based on true story|cannibalism|captain|mexican american war|u.s. frontier,316,12000000,1999,7.1,2.35
97,442,3950294,56654,22577,drugs|high school|prescription drugs|private school|student,124,12000000,2007,7.0,1.85
172,70,2835886,55516,456,genitalia|male frontal nudity|male nudity|old age|party,124,9200000,2013,7.7,2.35
104,77,1779284,12047,1292,book|boy|catholic|comic book|friend,122,12000000,2002,7.1,1.85
99,520,1702277,84620,5074,death|hitchcockian|psychopath|sociopath|vomiting,235,12000000,2013,6.8,2.35
129,576,261481,41496,2378,number in title|train|woman slaps a man|woman slaps man|written by director,210,12000000,2004,7.5,2.35
91,18,1506998,8014,141,bachelor|best friend|divorce|poison|widow,50,12000000,2007,6.3,1.85
100,393,860002,6454,1579,africa|bed|boy|cheetah|south africa,43,12000000,2005,7.3,1.85
111,289,548934,16863,1554,celtic mythology|cottage|fisherman|irish|selkie,57,12000000,2009,6.8,1.85
114,403,447750,18520,2126,gang|gangster|subjective camera|written and directed by cast member|yakuza,133,10000000,2000,7.2,1.85
86,146,333976,12559,1373,boxing knockout|heist|implied sex|keys|prison,90,12000000,2002,6.4,2.35
107,745,141853,1427,3099,half sister|hospital|latex gloves|medicine|nun,12,12000000,1997,6.0,1.85
90,350,303439,12125,2073,best friend|nonlinear timeline|school shooting|self sacrifice|shooting,78,8000000,2007,6.4,2.35
103,820,793352,2551,3878,dog|marriage|search|wedding|woods,25,,2012,5.1,2.35
120,289,214202,14831,1952,friend|girl|mexico city|new jersey|sex,75,12000000,2007,7.5,2.35
134,0,195888,5603,11,bus|death|gay slur|hatred|jewish,45,2500000000,2005,7.1,2.35
110,865,175370,6884,17417,breakfast|manitoba|science fiction writer|suicide|writer,133,12000000,1999,4.6,1.85
95,3,190666,2410,18,betrayal|husband wife relationship|murder|noodles|salary,20,,2009,5.7,2.35
95,280,,27052,1501,brainwashing|corporate espionage|spy|suburb|surprise ending,124,7500000,2002,6.8,1.85
132,3,119922,8429,91,atrocity|battle|chinese|horseback riding|martial arts,62,12000000,2009,7.7,2.35
94,183,177343675,70133,17883,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214,135000000,2015,6.7,1.85
89,188,,408,1854,anthropomorphic animal|china|furry|rabbit,12,,2011,3.2,
138,16,,4899,164,alien|battleship|message|radiation|yamato,49,12000000,2010,6.1,2.35
113,18,17149,12128,708,cameraman|epic battle|journalist|south ossetia|street shootout,61,20000000,2011,5.6,2.35
99,42,,64423,433,deja vu|lost at sea|ship|time loop|trapped in a time loop,293,12000000,2009,6.9,2.35
111,247,14616,314,2059,,10,12000000,2015,7.5,1.85
99,79,91443253,21034,663,based on true story|christ|christian|near death experience|pastor,153,12000000,2014,5.8,2.35
104,1000,30093107,600996,39175,boxer|boxing|diamond|fight|gypsy,726,6000000,2000,8.3,1.85
89,84,,105,895,,7,12000000,2015,2.8,
103,426,57469179,63855,2987,cat|cemetery|maine|secret|woods,248,11500000,1989,6.6,1.85
134,4,48856,3466,30,air raid|beer|birthday|japan|professor,40,11900000,1993,7.5,1.85
100,388,,3737,1780,isolated house|promotion|river|small town|stalking,27,11500000,2009,6.0,2.35
130,2,,117,244,,6,12000000,2015,6.2,2.35
106,233,148170000,142293,2053,bright light|midnight|pet|small town|water,245,11000000,1984,7.2,2.2
125,504,460935665,911097,13485,death star|empire|galactic war|princess|rebellion,1470,11000000,1977,8.7,2.35
109,411,35537564,49671,24063,female removes her clothes|fondling|voyeur|voyeurism|white panties,166,11500000,2016,6.0,2.35
200,382,111722000,55816,1966,bolshevik|poet|poetry|russia|russian revolution,255,11000000,1965,8.0,2.35
114,14,10230,14437,679,bible|key|poverty|slum|wallet,26,,2014,7.2,2.35
112,632,90556401,43795,3507,basketball|curtain call|graduation|high school|high school senior,171,11000000,2008,4.5,1.85
116,141,93571803,275869,23811,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,389,25000000,2010,7.9,2.35
92,218,72755517,56595,1853,blindfold|male frontal nudity|male rear nudity|pubic hair|vomiting,196,,2006,7.1,1.85
120,633,52929168,82743,3280,alabama|jail|judicial system|lawyer|trial,201,11000000,1992,7.5,1.85
107,602,50461335,83893,20466,car accident|coma|out of body experience|reference to the exploited|teenage girl,132,11000000,2014,6.8,2.35
92,32,,3104,179,,33,12000000,2014,4.3,
107,808,49797148,49007,3435,cleveland indians|league|manager|owner|team,97,11000000,1989,7.2,1.85
100,621,,18220,3135,2000s|female protagonist|reward|school|st trinian's,102,13500000,2007,5.8,1.85
81,328,46563158,207934,2562,phone booth|publicist|single set production|sniper|sniper rifle,629,13000000,2002,7.1,2.35
101,488,41227069,162701,2436,community service|love|punishment|school|student,962,11000000,2002,7.4,2.35
122,191,39025000,73193,903,death|execution|nun|solitary confinement|visit,190,11000000,1995,7.6,1.85
97,637,38201895,149222,6223,bet|revenge|seduction|virgin|wager,749,10500000,1999,6.9,1.85
92,647,27669413,76207,3101,deception|flash photography|game of death|jigsaw|pig mask,194,11000000,2009,6.0,1.85
92,842,,36559,3931,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,11000000,1981,6.9,2.35
110,549,37766350,19440,3376,beekeeping|insect in title|racism|sister|south carolina,56,11000000,2008,7.3,2.35
86,532,23978402,10966,3850,fbi|mafia|mobster|undercover|veterinarian,100,11000000,2001,4.6,1.85
91,298,21370057,9903,1852,hitchcockian|long tracking shot|psychologist|psychology|wig,80,12000000,1992,6.0,1.85
145,279,,5561,14735,1930s|driving through a gate|funeral|senator|trade union,35,11000000,1978,6.4,1.85
100,225,4884663,5187,1661,alien|boy|nurse|school|school nurse,64,12000000,1986,5.5,2.35
111,54,38317535,73249,995,1950s|immigrant|irish|irish accent|torn between two worlds,212,11000000,2015,7.5,1.85
184,111,,101627,1104,18th century|england|rise and fall|rural setting|wealth,369,11000000,1975,8.1,1.66
89,651,13903262,14656,4291,alaska|mountain|ski resort|snowboard|snowboarding,90,11000000,2001,6.3,1.85
84,553,13592872,10777,10982,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,79,11000000,2000,5.1,1.85
98,123,18381787,15684,1114,divorced couple|opera|reference to giuseppe verdi|retirement|senility,126,11000000,2012,6.8,2.35
95,443,13558739,15427,2729,box office flop|critically bashed|dominatrix|friend|money,121,11000000,2001,5.3,1.85
100,303,13103828,59982,12237,demon|fbi|fbi agent|murder|religious fanatic,463,11000000,2001,7.3,1.85
109,553,33305037,33856,17866,art|jewish|justice|nazi|theft,147,11000000,2015,7.3,2.35
118,812,10214647,42689,17490,professor|research|sex|sexuality|student,204,11000000,2004,7.1,2.35
88,795,11501093,128850,3913,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,604,13000000,1992,7.6,1.85
86,424,4814244,12437,2415,blackmail|fall|love|nerd|scam,107,11000000,2002,5.3,1.85
118,472,9170214,171882,69746,apostrophe in title|face slap|four word title|grocery store|police,292,11000000,1993,7.8,1.85
125,109,4068087,2164,1281,1st century|based on the bible|miracle|religion|resurrection,74,17000000,2003,7.7,1.85
125,579,3753806,20307,3133,1950s|miscarriage|neighbor|pregnancy|tailor,165,11000000,2004,7.7,1.85
94,183,3034181,13622,1559,bollywood|illegal immigrant|live television|restaurant|waiter,128,11000000,2002,5.4,1.85
113,787,2832826,1761,3072,immigration|love|political prisoner|reference to john wayne|title directed by female,19,11000000,1995,6.2,1.85
104,272,13214255,96233,4082,1960s|car hitting an animal|folk singer|friend|singer,313,11000000,2013,7.4,1.85
95,697,16017403,17333,3300,basketball|basketball player|boarding school|love|shakespeare's othello,153,5000000,2001,6.2,1.85
102,40,2807854,14129,14281,baby|desert island|island|sequel|teenage girl,39,11000000,1991,5.1,1.85
124,104,,2603,800,coal|detective|irish|irish immigrant|pennsylvania,36,11000000,1970,6.9,2.35
105,776,540085,10052,28004,anal sex|death|dream|poem|sex,69,,2005,6.3,2.35
104,22,352786,11132,150,music copyist|music student|musical composition|student|symphony,86,11000000,2006,6.8,2.35
120,723,76600000,105448,3876,ghost|haunted|haunting|house|paranormal investigator,321,10700000,1982,7.4,2.35
111,405,,5013,3117,brighton|catholic|gang|prayer|waitress,59,12000000,2010,5.7,2.35
95,357,56729973,88529,5286,blood splatter|jigsaw|nazi|serial killer|swastika tattoo,262,10800000,2008,5.8,1.85
96,199,,618,1827,casino|gang violence|robbery|suicide|violence,12,,1969,6.2,2.35
97,19,,45144,248,best friend|girl in panties|high school|high school romance|pink panties,111,11000000,2012,4.3,2.35
118,48,399879,5772,378,camp|fishing|fishing trip|river|town,115,15000000,2006,6.4,2.35
193,860,3275443,13998,10822,extramarital affair|fashion magazine editor|marriage|new york|teacher,264,700000000,2006,6.0,2.35
97,327,18535191,12980,2640,bachelor|blackmail|character says i love you|flirting|social satire,132,14000000,1999,6.9,1.85
98,507,23838,28570,2271,alien infection|astronaut|mars|mission|zombie,160,7000000,2013,5.5,2.35
103,132,22160085,16747,1228,9 year old|blood|gramophone|house|missing children,349,10600000,2002,5.4,2.35
161,73,56715371,427357,727,ancient astronaut|famous line|message from outer space|monolith|star child,1736,12000000,1968,8.3,2.2
120,548,434949459,281842,2811,bicyclist|boy|doll|star wars reference|voice impersonation,515,10500000,1982,7.9,1.85
97,499,11043445,27689,20312,actress|love|michigan|neighbor|writer,74,10000000,2007,6.5,2.35
97,194,,1337,1554,butterfly|entomologist|morpho butterfly|rain|rain forest,28,12500000,2004,6.3,1.85
99,327,125169,859,2272,high school|love|police|showdown|surfer,31,10500000,1994,6.4,
24,44,,2651,592,blond boy|chlamydia|list|male rear nudity|young couple,18,,,7.9,
144,119,1165104,8598,1121,bad luck|casino|lie|mix up|stutter,43,,2010,5.3,
111,258,1066555,2618,1526,massacre|mormon|settler|utah|wagon train,111,11000000,2007,5.8,1.85
145,280,5669081,3665,1807,catholic|hanging|mexico|rebellion|soldier,57,10818775,2012,6.6,2.35
106,24,,15060,175,audition|deaf|family relationships|love|singing,27,11000000,2014,7.4,1.85
126,893,138339411,604904,63710,friend|genius|janitor|loss of wife|professor,682,10000000,1997,8.3,1.85
106,571,,6935,27660,black panties|lust|sexual attraction|voyeur|voyeurism,50,11000000,2016,5.3,2.35
121,482,80150343,142115,3189,brutality|female full frontal nudity|female nudity|torture|trap,614,10000000,2006,6.2,1.85
117,901,85300000,48629,27378,army|boot camp|breasts|graduation|rescue,134,10000000,1981,6.9,1.85
98,229,68353550,70141,5270,championship|cheerleading|high school|teen comedy|teenage romance,385,10000000,2000,5.9,1.85
109,393,78845130,17596,2480,cathedral|minister|presidential election|reference to george washington|ritual sacrifice,94,10000000,2016,6.1,2.35
95,1000,63319509,67115,28734,bet|friend|high school|prom|prom queen,389,10000000,1999,5.8,1.85
109,736,47536959,86956,3276,abuse|african american lesbian|lesbian|lesbian couple|school,275,10000000,2009,7.3,1.85
96,448,63270259,111087,3492,detective|fbi|rape|rapist|serial rapist,319,10000000,2007,5.9,1.85
101,368,55865715,41763,2013,architect|grave|obsession|river|voice,403,10000000,2005,5.5,2.35
107,685,63231524,8962,5264,cross dressing|family reunion|madea series|reflective|sister sister relationship,137,6000000,2006,5.0,1.85
119,638,52293982,57831,11895,hustler|losing|pool|pool player|tournament,115,13800000,1986,7.0,1.85
178,196,,43270,1554,allies|d day|invasion|normandy|world war two,192,10000000,1962,7.8,2.35
100,577,50752337,44502,3362,coach|hockey team|lawyer|respect|team,46,10000000,1992,6.4,1.85
98,634,110175871,115050,7461,american|curse|japan|nurse|rage,911,10000000,2004,5.9,1.85
92,491,38624000,156143,13162,golf|golf ball|golfer|grandmother's house|tournament,289,12000000,1996,7.0,1.85
90,270,37470017,86890,1982,demon|gore|record player|tattoo|wings,985,10000000,2001,6.1,1.85
90,730,40485039,85362,20795,failing student|high school|payphone|teenager|telephone booth,181,10000000,1989,6.9,2.35
153,139,16800000,25303,1593,abuse|child|orphan|orphanage|pickpocket,138,10000000,1968,7.5,2.35
124,186,46377022,75306,1898,hotel|india|marigold|retiree|retirement,266,10000000,2011,7.3,2.35
82,345,36696761,6808,2197,friend|principal|summer|summer camp|summer vacation,38,23000000,2001,6.5,1.85
107,60,36200000,101840,1529,arena|desert|fight|mad max|post apocalypse,193,12305523,1985,6.2,2.35
75,581,,111649,3192,body count|dictator|jumping from an airplane|knife fight|one man army,437,10000000,1985,6.7,1.85
97,130,35794166,35654,4687,animate doll|doll|england|nanny|surprise ending,155,10000000,2016,6.0,2.35
80,816,33583175,104089,5628,devil|elevator|hit and run|throat slitting|trapped in an elevator,319,10000000,2010,6.3,2.35
85,615,32983713,19284,3712,apartment|christmas|christmas present|rent|security guard,66,20000000,2002,5.8,1.85
97,482,52200504,54190,2426,demon|possession|psychic|supernatural|teenager,183,10000000,2015,6.1,2.35
109,619,33000000,9424,3394,cult film|kung fu|kung fu classic|martial arts|title spoken by character,109,10000000,1985,6.9,1.85
104,1000,30093107,600996,39175,boxer|boxing|diamond|fight|gypsy,726,6000000,2000,8.3,1.85
140,120,32101000,27800,1109,intelligence|science runs amok|scientist|supernatural power|virtual reality,96,10000000,1992,5.4,1.85
90,617,31487293,74887,2807,band|gay|gay friend|love|night,129,9000000,2008,6.7,1.85
130,769,30651422,181737,16693,abortion|abortion clinic|angel|church|clinic,1015,10000000,1999,7.4,2.35
98,73,30306281,12388,1917,bartender|groupie|lawyer|road trip|writer,147,10000000,2002,5.6,2.35
101,257,29500000,25613,1954,1940s|1960s|bar|kick the can|remake,121,10000000,1983,6.5,1.85
114,466,30050028,42987,2484,bikini|cult film|fired from the job|martial arts|violence,201,17000000,1989,6.5,2.35
100,534,29392418,3924,3190,drugs|ex cop|gun fu|machismo|shootout,26,10000000,1994,5.8,1.85
85,782,28563926,16300,3819,high school|hospital|new jersey|stanford university|swimming,217,8500000,2002,5.0,2.35
103,534,28435406,37681,4441,competition|date|employee|laser in eyes|slacker,151,12000000,2006,5.5,1.85
100,678,25339117,37885,4259,graduation|high school|letter|nerd|party,247,10000000,1998,6.5,1.85
114,699,25600000,57363,12097,dysfunctional family|gang|greaser|holding someone's head underwater|rivalry,308,10000000,1983,7.2,2.35
102,190,,408,3691,,6,65000000,2016,7.3,2.35
103,275,,44804,2013,car accident|coma|evil politician|psychic|vision,182,10000000,1983,7.2,1.85
97,220,27736779,25210,2403,deputy|farmhouse|nightmare|private investigator|rural,126,10000000,2015,5.2,2.35
116,706,24397469,5161,5804,1960s|death|girl group|nightclub|sister,48,17000000,2012,5.7,2.35
96,448,20384136,20467,2402,dance|nosebleed|revenge|valentine|valentine's day,371,10000000,2001,4.7,2.35
98,242,25464480,63108,15251,abduction|alaska|alien|owl|patient,330,10000000,2009,5.9,2.35
105,718,20338609,19655,12946,backstage|country music|cowboy|radio|singing,280,10000000,2006,6.8,2.35
123,338,18272447,3119,2149,african american|harlem manhattan new york city|manhattan new york city|new york city|urination,35,10000000,1993,5.9,1.85
107,53,,6143,857,army|nightmare|one man army|rescue|spy,90,10000000,1985,5.3,1.85
112,826,17378977,5585,7552,1970s|boy|competition|roller skates|tubesocks,75,,2005,6.0,2.35
93,766,17096053,134458,15716,coming of age|friendship|private school|student|teacher,640,9000000,1998,7.7,2.35
97,861,21371425,76199,3679,apartment|blue light|drawing|group of friends|light,944,10000000,2010,4.4,2.35
122,111,33071558,22369,583,sequel,100,10000000,2015,6.6,2.35
101,558,17655201,4719,3317,boarding house|girl|great depression|house|ohio,24,10000000,2008,6.7,1.85
100,804,16247775,23527,4789,e mail|moving|perfect man|secret admirer|suitor,104,25000000,2005,5.5,1.85
129,203,16153600,8295,19065,comeback|friend|jazz|stage|trumpet,30,10000000,1990,6.5,1.85
81,39,16033556,37901,361,chosen one|comic violence|intentionally bad|kung fu|stylized violence,518,10000000,2002,6.2,2.35
96,536,16667084,90070,3119,desert|giant worm|monster|pipe bomb|small town,248,11000000,1990,7.1,1.85
84,648,15417771,87494,3416,forest|mountain|road|stupid victim|west virginia,540,12600000,2003,6.1,1.85
100,695,,7322,6296,bank|breasts|famous score|last man standing|revenge,78,10000000,1980,7.1,1.85
110,45,15156200,15358,571,chinatown|illegal immigrant|new york|police|triad,131,30000000,1999,6.0,2.35
130,820,21589307,135286,13960,14 year old|boat|bounty hunter|boy|river,261,10000000,2012,7.4,2.35
84,307,20339754,23928,2737,beach|police|sex scene|spring break|vomiting,73,10000000,2007,5.9,1.85
106,547,28873374,22161,2787,3 dimensional|concert footage|englishman abroad|reference to keith richards|reference to the doors,68,10000000,2013,4.1,1.85
89,503,15102127,17790,3973,fourth of july|looking at one's self in a mirror|mirror|sex toy|young version of character,59,,2009,5.8,1.85
76,636,13684949,4564,3752,castle thunder|document|neighborhood|punctuation in title|villain arrested,43,3000000,2002,5.9,1.85
99,918,14597405,71679,17204,actress|assistant director|blonde bombshell|movie star|wardrobe,216,6400000,2011,7.0,2.35
96,442,12570442,40514,4053,bar|hitman|luck|mexico|mexico city,234,10000000,2005,6.8,2.35
104,582,12514138,2801,3871,african american|cult film|ex boyfriend|middle class|sex,28,10000000,1997,7.4,1.85
108,458,43771291,79909,3215,compulsive liar|fired from a job|gift|rape|substance abuse,279,5000000,2015,7.1,2.35
108,30,11703287,4360,1058,death|missionary|spear|speared to death|tribe,148,10000000,2005,7.0,2.35
87,869,11560259,15617,22485,basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream,180,22000000,2001,5.8,2.35
89,759,10824921,200293,3462,boss|computer|downsizing|neighbor|office,621,10000000,1999,7.8,1.85
