content_rating,budget,imdb_score
PG-13,60000000,6.2
R,60000000,6.7
PG-13,60000000,4.9
PG-13,60000000,7.4
PG-13,,7.1
PG-13,60000000,6.2
PG,65000000,4.9
PG-13,60000000,6.1
PG,70000000,6.1
PG-13,60000000,6.4
PG-13,60000000,6.3
PG-13,,6.8
R,80000000,6.6
R,40000000,5.7
R,60000000,5.9
R,60000000,6.0
R,60000000,6.1
PG-13,60000000,6.7
PG-13,60000000,6.7
R,60000000,7.9
PG,,5.0
PG-13,87000000,4.3
PG-13,60000000,5.7
PG,60000000,6.7
R,60000000,6.7
PG-13,220000000,8.1
PG-13,60000000,6.1
R,50000000,5.6
PG-13,60000000,6.6
R,60000000,6.9
PG-13,65000000,4.8
PG-13,60000000,6.2
PG-13,60000000,6.0
PG,60000000,4.9
PG-13,30000000,5.6
PG-13,55000000,6.1
PG,60000000,6.1
PG-13,60000000,4.8
R,60000000,5.5
PG-13,60000000,3.8
R,35000000,6.5
,68005000,6.0
R,80000000,6.7
R,58000000,8.1
PG,60000000,4.9
R,58800000,7.3
PG,58000000,6.4
TV-G,3000000,6.6
PG-13,58000000,6.7
PG,60000000,3.6
R,63000000,5.7
PG-13,58000000,6.0
TV-14,,4.9
PG-13,58000000,4.7
PG-13,58000000,6.3
R,60000000,5.9
PG-13,58000000,5.9
TV-MA,,7.0
R,57000000,7.5
R,70000000,5.6
PG-13,57000000,6.4
PG-13,58000000,6.3
PG-13,57000000,4.3
R,57000000,5.9
,,6.7
PG,56000000,5.5
PG-13,56000000,6.2
PG-13,55000000,8.8
PG,60000000,5.2
PG-13,55000000,7.0
G,55000000,6.6
PG,55000000,7.3
PG-13,54000000,5.6
PG-13,70000000,6.6
PG,55000000,5.4
R,55000000,6.3
PG-13,55000000,7.9
PG-13,55000000,6.3
PG,50000000,6.0
R,55000000,7.2
PG-13,55000000,5.1
R,53000000,7.3
PG-13,55000000,8.0
PG-13,55000000,6.2
R,55000000,6.0
PG-13,55000000,6.7
R,30000000,8.1
PG-13,55000000,6.4
TV-14,1400000,8.4
R,30000000,8.0
R,55000000,6.3
PG-13,55000000,6.4
PG-13,55000000,6.6
R,55000000,6.4
PG,55000000,6.0
PG-13,55000000,6.6
PG,55000000,5.9
R,50000000,6.4
PG,55000000,6.3
R,55000000,7.3
R,55000000,6.8
PG,55000000,7.2
R,68000000,5.7
R,55000000,6.0
R,55000000,6.5
PG-13,55000000,5.8
R,55000000,5.8
PG,55000000,6.7
R,55000000,7.8
PG-13,50000000,5.6
R,55000000,5.8
PG-13,70000000,7.4
PG-13,55000000,6.9
PG-13,62000000,5.5
PG-13,56000000,6.3
R,71000000,4.7
PG,55000000,5.6
PG,50000000,6.4
PG,57000000,4.2
PG-13,55000000,6.4
R,47000000,7.7
Not Rated,2000000,7.7
R,55000000,5.3
R,54000000,6.7
PG-13,55000000,7.7
R,55000000,5.7
R,54000000,7.6
PG-13,57000000,6.4
PG-13,54000000,5.6
PG,54000000,6.8
R,54000000,2.4
PG-13,55000000,6.2
R,46000000,5.9
G,50000000,7.1
PG-13,52500000,7.6
PG-13,53000000,5.5
R,53000000,7.0
R,90000000,7.1
R,50000000,7.4
R,53000000,7.6
R,55000000,5.9
PG-13,55000000,5.9
PG-13,52000000,8.0
R,40000000,7.4
PG-13,52000000,5.8
PG-13,52000000,6.3
PG-13,52000000,5.7
PG-13,50000000,5.1
R,52000000,7.6
R,52000000,6.4
R,52000000,7.4
R,52000000,8.2
R,52000000,6.5
PG-13,52000000,5.5
R,51000000,6.5
PG,51000000,5.6
PG,,4.9
PG-13,50000000,4.6
PG,60000000,7.9
PG-13,50200000,7.1
PG-13,48000000,6.9
R,50000000,7.3
R,50000000,7.0
PG-13,50000000,7.7
PG-13,50000000,6.7
PG-13,50000000,6.3
PG-13,50000000,5.8
PG-13,50000000,7.1
R,52000000,7.3
PG-13,50000000,6.4
R,50000000,7.1
R,60000000,7.6
PG-13,70000000,6.8
PG-13,50000000,6.6
PG-13,50000000,6.7
PG-13,50000000,6.1
PG,50000000,6.0
R,45000000,7.6
R,50000000,7.1
PG-13,50000000,5.0
PG,,7.1
PG-13,50000000,6.2
PG-13,50000000,5.6
PG-13,,5.4
PG-13,50000000,7.4
PG,35000000,5.0
PG,60000000,5.2
PG-13,50000000,7.6
R,50000000,6.6
PG-13,50000000,7.0
PG,65000000,5.7
R,54000000,8.2
PG-13,50000000,6.2
,,7.9
G,50000000,6.6
G,50000000,4.7
R,50000000,6.3
R,50000000,6.1
R,50000000,6.7
PG-13,60000000,6.1
R,50000000,7.0
R,50000000,7.4
PG,50000000,7.3
PG-13,50000000,5.8
R,50000000,6.7
R,50000000,5.8
R,50000000,7.8
R,50000000,6.6
PG-13,50000000,6.5
R,50000000,6.7
R,50000000,7.3
PG-13,50000000,5.8
R,55000000,5.5
PG-13,50000000,6.3
R,50000000,7.4
R,50000000,5.9
R,45000000,6.2
R,40000000,5.9
R,50000000,6.5
R,50000000,4.4
PG,50000000,3.5
R,50000000,6.6
PG-13,50000000,6.0
R,40000000,6.4
PG-13,50000000,6.5
,,7.8
R,40000000,4.3
PG,50000000,4.2
PG-13,50000000,6.5
R,50000000,6.1
R,50000000,6.3
R,50000000,6.2
R,50000000,5.9
PG-13,40000000,5.9
R,50000000,6.5
R,50000000,6.4
R,50000000,6.5
R,50000000,5.7
,,7.5
PG,70000000,8.0
R,50000000,7.3
R,50000000,6.7
R,50000000,7.5
PG-13,40000000,5.4
R,50000000,6.6
R,25000000,7.7
PG-13,50000000,5.8
R,390000000,6.4
R,49900000,5.6
PG-13,55000000,6.0
PG-13,50000000,6.2
PG,50000000,5.9
R,50000000,5.1
PG-13,22000000,6.8
TV-MA,,7.0
R,50000000,6.0
R,50000000,5.1
R,50000000,5.8
PG-13,60000000,6.2
R,55000000,6.4
PG-13,50000000,4.8
PG-13,50000000,4.9
R,50000000,5.6
R,50000000,5.5
PG-13,18000000,3.7
PG-13,49000000,5.9
TV-MA,,8.5
R,40000000,6.3
R,,7.4
R,48000000,7.6
PG-13,48000000,8.3
R,,6.6
R,49000000,6.9
R,48000000,6.7
R,48000000,6.8
,1500000,4.6
R,48000000,7.1
R,50000000,6.4
PG-13,48000000,6.4
PG-13,48000000,7.4
PG-13,48000000,6.4
PG-13,48000000,6.0
R,58000000,6.5
R,55000000,7.8
PG-13,48000000,6.0
R,48000000,7.0
PG-13,47000000,6.0
Unrated,,7.8
PG,100000000,6.1
R,48000000,6.8
PG-13,48000000,6.4
R,14000000,7.7
PG,1000000,8.1
PG,47000000,4.5
R,47000000,5.8
PG-13,46000000,6.3
PG-13,48000000,5.7
R,46000000,7.2
PG-13,45000000,7.6
PG-13,47000000,4.7
R,46000000,6.6
PG-13,45000000,6.8
R,25000000,7.3
PG,48000000,2.7
PG,45000000,4.8
PG-13,45000000,6.3
PG-13,48000000,5.5
