genres,actor_2_facebook_likes
Biography|Drama,1000
Comedy|Sport,939
Comedy|Fantasy,1000
Adventure|Comedy,461
Comedy|Family|Romance,995
Comedy,893
Crime|Drama|Mystery|Thriller,11000
Action|Sci-Fi|Thriller,433
Adventure|Animation|Comedy|Family|Fantasy,542
Crime|Drama|Mystery|Thriller,541
Drama|Sport,11000
Comedy|Crime,979
Drama|Romance,638
Comedy|Romance,805
Comedy|Drama|Family|Music|Romance,1000
Adventure|Animation|Comedy|Family|Romance,844
Drama|Romance,713
Drama|Romance|War|Western,11000
Drama|Romance,10000
Comedy|Drama,344
Comedy|Horror|Romance,18
Action|Crime|Drama|Sci-Fi|Thriller,13000
Comedy|Fantasy,891
Comedy|Drama|Family,368
Comedy|Drama|Romance,7000
Comedy|Drama|Romance,975
Drama|Sport,741
Action|Crime|Drama|Mystery|Thriller,654
Comedy|Romance,1000
Drama|Romance,631
Comedy|Romance,826
Adventure|Comedy|Mystery,316
Comedy|Fantasy|Romance,2000
Comedy|Fantasy|Romance,204
Adventure|Animation|Comedy|Family,3000
Biography|Crime|Drama,1000
Drama|Romance,652
Action|Adventure|Sci-Fi|Thriller,664
Comedy|Family|Fantasy|Sport,889
Comedy|Crime,459
Action|Adventure|Thriller,439
Animation|Comedy|Family|Mystery|Sci-Fi,269
Drama|Romance,631
Adventure|Comedy|Drama|Family|Sport,934
Drama|Mystery|Romance|War,1000
Comedy|Drama|Romance,60
Action|Crime|Thriller,255
Comedy,860
Animation|Drama|Family|Fantasy|Musical|Romance,16000
Biography|Drama|Sport,663
Action|Crime|Drama|Mystery|Thriller,221
Drama|Sport,1000
Horror|Thriller,1000
Drama|Fantasy|Romance,2000
Comedy|Drama|Family,3000
Drama|Music|Romance,594
Drama|Romance|Sport,495
Comedy|Drama|Fantasy|Romance,189
Horror,72
Fantasy|Horror|Mystery|Thriller,821
Comedy,759
Action|Comedy|Crime|Thriller,581
Action|Crime|Sci-Fi|Thriller,571
Comedy|Horror|Musical|Sci-Fi,854
Action|Drama|Thriller,33
Drama|Mystery,805
Action|Adventure|Fantasy|Sci-Fi|Thriller,349
Comedy|Drama|Romance,839
Drama|Fantasy|Horror,2000
Drama|Music,712
Comedy|Drama,638
Crime|Drama|Sport,2000
Comedy|Crime,611
Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,271
Crime|Drama|Thriller,681
Comedy|Family|Romance,530
Adventure|Animation|Comedy|Family|Musical,73
Comedy,291
Comedy|Drama|Romance,199
Biography|Drama|Music,491
Drama,882
Action|Crime|Sci-Fi|Thriller,723
Comedy|Romance|Sci-Fi,776
Horror|Mystery|Thriller,1000
Adventure|Drama|Thriller,942
Comedy|Drama|Romance,681
Comedy|Romance,401
Comedy|Drama|Romance|Sport,962
Crime|Drama|Romance|Thriller,796
Action|Horror|Sci-Fi|Thriller,829
Action|Crime|Drama|Thriller,739
Action|Crime|Thriller,968
Action|Adventure|Crime|Drama|Romance,561
Action|Comedy|Horror,953
Comedy|Drama|Romance,11000
Crime|Drama|Mystery|Thriller,975
Drama,9000
Comedy|Crime|Thriller,2000
Drama|Horror|Sci-Fi,686
Action|Adventure|Comedy|Romance|Sci-Fi,692
Crime|Drama|Thriller,807
Adventure|Horror|Thriller,787
Comedy|Romance,206
Drama|Mystery|Romance|Thriller,93
Comedy|Horror,343
Biography|Drama|History|Romance,909
Action|Adventure|Sci-Fi,586
Drama|Fantasy|Thriller,767
Action|Adventure|Fantasy|Sci-Fi|Thriller,315
Action|Crime|Thriller,236
Drama|Horror|Sci-Fi|Thriller,829
Comedy|Romance,143
Animation|Comedy|Family,857
Drama,329
Adventure|Fantasy|Mystery,785
Comedy|Drama,460
Crime|Drama|Thriller,63
Crime|Thriller,697
Action|Crime|Drama|Thriller,240
Drama|History|War,11000
Crime|Drama,683
Action|Crime|Drama|Thriller,678
Drama|Romance,871
Action|Crime|Drama|Romance|Thriller,378
Action|Drama|Romance|Sport,2000
Biography|Drama|Romance,142
Action|Drama|Fantasy,181
Action|Adventure,816
Biography|Crime|Drama|History|Western,10000
Action|Adventure|Drama|History|War,643
Comedy|Family,71
Action|Crime|Drama|Thriller,947
Action|Biography|Crime|Drama,1000
Animation|Comedy|Family,898
Biography|Drama|History,11
Drama|History|Sport,919
Biography|Drama|Romance,903
Adventure|Animation|Fantasy,35
Crime|Drama|Mystery|Thriller,794
Adventure|Animation|Comedy|Fantasy,4000
Comedy|Music,1000
Biography|Drama|Music|Romance,405
Adventure|Drama|Mystery|Sci-Fi|Thriller,641
Comedy|Drama|Romance,869
