director_name,num_critic_for_reviews,actor_3_facebook_likes,gross,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Josh Trank,369,78,56114221,Tim Blake Nelson,1261,3,box office flop|critically bashed|portal|teleportation|troubled production,695,English,PG-13,120000000,360,4.3,41000
Shawn Levy,179,1000,250863268,Robin Williams,55486,2,chaos|museum|museum of natural history|night watchman|watchman,444,English,PG,110000000,3000,6.4,3000
Brad Peyton,358,884,155181732,Dwayne Johnson,16718,0,disaster movie|earthquake|journey|natural disaster|san andreas fault,499,English,PG-13,110000000,2000,6.1,52000
Roger Spottiswoode,160,387,125332007,Vincent Schiavelli,2958,3,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,328,English,PG-13,110000000,766,6.5,0
Roland Emmerich,192,1000,113330342,Heath Ledger,19454,1,american revolution|british|french|hero|standoff,1144,English,R,110000000,2000,7.1,4000
Steven Soderbergh,198,350,125531634,Brad Pitt,19359,0,father daughter relationship|heist|pretending to be pregnant|sequel|thief,627,English,PG-13,110000000,8000,6.4,0
Doug Liman,233,322,186336103,Brad Pitt,22722,2,assassin|marriage|secret agent|suburb|target,798,English,PG-13,120000000,11000,6.5,0
Robert Schwentke,263,1000,129995817,Kate Winslet,22622,0,action heroine|falling from height|mind control|trainhopping|truth serum,258,English,PG-13,110000000,5000,6.3,27000
Martin Scorsese,267,827,102608827,Leonardo DiCaprio,34582,0,1920s|aviation|fight|spruce goose|test flight,799,English,PG-13,110000000,3000,7.5,0
Rob Letterman,184,116,42776259,James Corden,1173,1,bermuda triangle|box office hit|shipwrecked|travel|travel writer,121,English,PG,112000000,392,4.9,0
Michel Gondry,447,741,98780042,Christoph Waltz,13391,0,heir|kung fu|party|playboy|superhero,443,English,PG-13,120000000,1000,5.8,14000
,29,432,,George Peppard,1655,4,1980s|cult tv|famous opening theme|good versus evil|hero for hire,97,English,TV-PG,,554,7.6,0
Noam Murro,366,1000,106369117,Eva Green,10583,0,army|commander|female rear nudity|greek|navy,523,English,R,110000000,1000,6.2,71000
Raja Gosnell,172,111,142614158,Mahadeo Shivraj,692,3,blue|new york|new york city|no opening credits|smurf,153,English,PG,110000000,113,5.5,31000
Will Finn,104,421,50026353,Steve Buscemi,13607,0,cattle|cow|dairy farm|farm|rustler,88,English,PG,110000000,513,5.4,304
Robert Schwentke,181,943,66002193,Naomi Watts,12452,3,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,144,English,PG-13,110000000,5000,5.8,12000
Shawn Levy,327,544,85463309,Hugh Jackman,22254,1,arena|boxing|boxing movie|robot|robot battle,426,English,PG-13,110000000,929,7.1,36000
Raja Gosnell,125,40,71017784,Jacob Tremblay,914,3,based on cartoon|box office hit|no opening credits|sequel|smurf,59,English,PG,105000000,71,5.4,0
Jan de Bont,79,202,48068396,Jason Patric,2027,0,collision course|computer|cruise|diamonds|ship run aground,248,English,PG-13,160000000,368,3.7,894
Gavin Hood,326,430,61656849,Harrison Ford,12908,4,alien|future|manipulation|simulation|training,554,English,PG-13,110000000,635,6.7,123000
Len Wiseman,354,297,134520804,Bruce Willis,13961,1,fbi|hacker|independence day|police|terrorist,782,English,PG-13,110000000,300,7.2,0
Peter Jackson,297,857,313837577,Christopher Lee,22342,2,elf|hobbit|middle earth|quest|ring,5060,English,PG-13,93000000,5000,8.8,21000
Frank Coraci,188,447,24004159,Jim Broadbent,3175,0,19th century|around the world|inventor|martial arts|train,191,English,PG,110000000,1000,5.8,0
Michael Mann,174,780,58183966,Will Smith,14196,1,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,386,English,R,107000000,851,6.8,0
Bo Welch,109,434,100446895,Sean Hayes,2762,1,based on cult comic book|cat|home alone|imagination|talking cat,456,English,PG,109000000,743,3.8,946
Alex Proyas,225,466,144795350,Will Smith,12068,1,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,789,English,PG-13,120000000,981,7.1,0
Ridley Scott,239,195,47396698,Liam Neeson,19600,1,12th century|crusader|jerusalem|knight|medieval times,942,English,R,130000000,5000,7.2,0
Rob Minkoff,101,692,140015224,Chazz Palminteri,3382,0,box office hit|cat|first part|mouse|orphanage,179,English,PG,133000000,886,5.9,0
Ron Clements,228,525,104374107,Oprah Winfrey,2480,0,amphibian|dream|frog|frog prince|waitress,214,English,G,105000000,578,7.1,5000
Ridley Scott,568,372,228430993,Matt Damon,14831,1,astronaut|international cooperation|left for dead|nasa|space habitat,1023,English,PG-13,108000000,801,8.1,153000
Christopher Barnard,,,,Mathew Buck,5,0,,,,,,,7.2,0
Michael Bay,257,3000,35799026,Scarlett Johansson,34839,1,clone|environment|escape|island|lottery,899,English,PG-13,126000000,12000,6.9,0
Peter Chelsom,62,591,6712451,Del Zamora,3133,0,anniversary|architect|cellist|friend|hardware store,89,English,R,90000000,631,4.4,53
Dominic Sena,175,3000,101643008,Nicolas Cage,29069,1,auto theft|brother|car|theft|thief,498,English,PG-13,90000000,11000,6.5,0
Ridley Scott,265,695,187670866,Djimon Hounsou,6521,0,battlefield|blood|combat|gladiator|roman empire,2368,English,R,103000000,933,8.5,21000
Steven Spielberg,252,533,132014112,Tom Cruise,12546,0,future|murder|neo noir|washington d.c.|year 2054,1331,English,PG-13,102000000,798,7.7,0
Chris Columbus,232,9000,261970615,Daniel Radcliffe,35672,1,bildungsroman|flying broom|invisibility cloak|monster|wizardry,858,English,PG,100000000,10000,7.4,0
Martin Campbell,400,834,167007184,Eva Green,9125,1,casino|espionage|free running|james bond|terrorist,2301,English,PG-13,150000000,1000,8.0,0
Tim Burton,230,567,180011740,Cary-Hiroyuki Tagawa,2776,0,astronaut|cage|planet|wilhelm scream|year 2029,1368,English,PG-13,100000000,658,5.7,0
James Cameron,210,539,204843350,Joe Morton,2829,0,future|liquid metal|multiple cameos|sexy woman|time travel,983,English,R,102000000,604,8.5,13000
Michael Mann,357,1000,97030725,Johnny Depp,64599,1,1930s|bank|celebrity criminal|fbi|public enemy number one,585,English,R,100000000,23000,7.0,0
Ridley Scott,300,561,130127620,Denzel Washington,20354,0,death|heroin|popcorn|smuggling|vietnam,458,English,R,100000000,782,7.8,0
James Cameron,94,618,146282411,Jamie Lee Curtis,4528,0,espionage|secret agent|secret mission|spy|spy film,351,English,R,115000000,1000,7.2,0
Tony Scott,267,385,65452312,Denzel Washington,19906,1,hijack|hostage|ransom|subway|train,285,English,R,100000000,464,6.4,0
Paul Weitz,180,708,148383780,Robert De Niro,24082,10,birthday|critically bashed|male nurse|nurse|suspicion,152,English,PG-13,100000000,713,5.5,0
Adam McKay,265,107,119219978,Dwayne Johnson,20233,2,capitalist|detective|investigation|new york city|police,316,English,PG-13,100000000,8000,6.7,16000
