actor_2_name,num_voted_users,country,actor_2_facebook_likes
Kathleen Robertson,4617,Australia,774
Frances Fisher,2133,UK,638
Adriana Barraza,2112,Mexico,85
Jordan Trovillion,34224,USA,163
Brían F. O'Byrne,1398,USA,450
Alan Williams,811,UK,29
Naomi Watts,23334,Australia,6000
Danny Arroyo,1555,USA,575
Enrique Villén,9913,Spain,27
Michael Cerveris,34263,USA,238
Tiffany Thornton,7673,USA,248
Marg Helgenberger,1686,USA,759
Clemens Schick,1738,Brazil,29
Ezra Miller,3297,USA,3000
Eamonn Walker,22220,UK,706
Angelo Tsarouchas,5137,Canada,246
Elena Lyadova,2488,Russia,45
Ken Howard,6303,USA,649
Bonnie Lee Bouman,2086,Canada,11
Marian Marsh,3753,USA,12
Rosemarie DeWitt,2727,USA,536
Shannon Woodward,4146,USA,637
Jessica McNamee,27781,Australia,129
Rachel Sterling,1561,USA,134
Gina Holden,1929,USA,346
Cheryl Ladd,724,South Africa,476
Ayelet Zurer,67,USA,744
Susannah York,23713,UK,269
Faye Dunaway,103493,USA,977
George Reeves,215340,USA,384
Reece Ritchie,1177,UK,236
Slim Pickens,5294,USA,575
Laz Alonso,257,USA,826
Howard Keel,3167,USA,244
Riz Ahmed,55982,UK,365
Seu Jorge,2650,Brazil,69
Tony Nappo,31836,Canada,654
Reginald Owen,3258,USA,78
Susan Blommaert,3579,Iceland,64
Russell Tovey,17770,UK,796
Frank Langella,210548,UK,902
Jamie Farr,36265,USA,421
Barnard Hughes,76616,USA,89
Mark Addy,82232,UK,891
Lloyd Bridges,160281,USA,575
Max Ryan,801,USA,872
John Witherspoon,74626,USA,723
Larenz Tate,39508,USA,582
Gabourey Sidibe,27418,USA,906
Holt McCallany,15956,USA,273
Jason Robards,6350,USA,372
Robert Blake,19026,USA,220
Peter Finch,7071,USA,139
Robert Wagner,5941,USA,481
Jean Marsh,30982,UK,146
Kate Dickie,66483,USA,191
Master P,1721,USA,118
Frank Vincent,13949,USA,356
Lynn Redgrave,24977,USA,258
Soledad Villamil,131831,Argentina,88
John Amplas,49672,USA,177
Gloria Votsis,4790,USA,209
Dan Hicks,113451,USA,328
J.B. Smoove,11399,USA,555
John Heard,34532,USA,697
Zaide Silvia Gutiérrez,1024,Mexico,16
Johanna Mørck,54104,Norway,4
Fred Willard,1950,USA,729
Nicholas Braun,104072,USA,591
Will Ferrell,7228,USA,8000
Geoff Stults,12188,USA,756
Mykel Shannon Jenkins,342,Canada,294
Christian Campbell,1634,USA,168
Elizabeth Berkley,372,USA,893
Ash Cook,653,UK,133
Kevin Pollak,961,USA,574
Mark Valley,30434,USA,774
Jerry Brown,75,USA,3
Shelly Varod,1285,Canada,145
Jake Busey,1928,USA,660
Jeff Fahey,455,,535
Joe Egan,610,UK,53
Harvey Korman,15115,USA,628
Sofie Gråbøl,45984,France,108
Demi Moore,92599,USA,2000
Adrian Gonzalez,1262,USA,69
Matt Gerald,28573,USA,585
Melissa Benoist,399138,USA,970
Seu Jorge,533200,Brazil,69
John Simm,19194,UK,472
Rus Blackwell,2116,USA,144
Bruce Davison,12304,USA,505
Alexandra Rapaport,170155,Denmark,69
Darren McGavin,104908,USA,577
Ramon Rodriguez,9607,USA,464
Perry King,6549,Canada,251
Kenan Thompson,557,USA,521
Rupert Graves,704,USA,443
Agame Malembo-Emene,29248,France,2
Mia Farrow,140527,USA,563
Woody Strode,53741,USA,423
Terry Walters,29239,USA,390
Wilson Guerrero,30474,Colombia,11
Lou Taylor Pucci,73349,USA,394
Eric Dane,25542,USA,2000
Karen Allen,90177,USA,783
Gert Fröbe,139432,UK,202
Douglas Smith,9356,Canada,480
Lionel Barrymore,275720,USA,275
Shirley Henderson,469561,UK,887
Cedric the Entertainer,4687,USA,436
Molly Ephraim,82133,USA,332
David Kelly,21245,UK,588
Dick Clark,123090,Germany,504
Daoming Chen,2789,China,10
Robert Rusler,43485,USA,359
Rupert Graves,29610,UK,443
Adelaide Kane,139329,USA,810
Victoria Leigh,155153,USA,419
Mikki Padilla,1466,USA,65
Judith Anderson,33741,USA,197
Gregory Sierra,32378,USA,162
Bill Cobbs,12942,USA,970
Eric Stuart,9066,Japan,82
Ron Palillo,25332,USA,316
Sessue Hayakawa,149444,UK,119
Royal Dano,2580,USA,232
Bruce Dern,15293,USA,844
Ray Walston,109335,USA,417
Leslie Jordan,19331,USA,805
Lila Kedrova,18656,USA,16
Dave Chappelle,7721,USA,744
Kodi Smit-McPhee,27650,UK,884
LisaGay Hamilton,1361,USA,178
Donald Faison,8265,USA,927
Jean Simmons,7998,USA,422
Montgomery Clift,44457,USA,862
Deon Richmond,1004,USA,209
Seth Green,32923,USA,0
Walter Brennan,21316,USA,376
Jimmy Jean-Louis,8279,USA,407
Ariane Labed,95362,USA,63
Robert Neary,8465,USA,168
A. Michael Baldwin,9502,USA,174
Kimberly Elise,806,USA,637
Lupe Ontiveros,6000,USA,625
Jessica De Gouw,299,Australia,476
Lisa Ray,12560,Canada,329
Jimi Mistry,14548,UK,183
Brian Van Holt,3665,USA,324
Sarita Choudhury,8239,USA,257
Thomas Ian Nicholas,9808,USA,864
Jack Albertson,128334,USA,177
Zach Galligan,3943,USA,233
George Hamilton,8005,USA,341
Stuart Margolin,37594,USA,350
Rob McElhenney,8603,USA,813
Judy Greer,18711,USA,2000
Michael Wincott,15885,USA,721
Grace Gummer,43982,USA,481
Nambitha Mpumlwana,25063,UK,64
Jon Lovitz,55329,USA,11000
Joe Howard,761,USA,26
Haley Joel Osment,31089,USA,3000
Ji-tae Yu,356181,South Korea,78
Michael Bolten,3942,USA,399
Robb Wells,37495,Canada,324
Héctor Jiménez,368,Mexico,327
Dan Hedaya,22246,USA,281
Kevin Gage,1289,USA,366
Harry Treadaway,47385,UK,260
Megalyn Echikunwoke,7625,USA,476
Colm Feore,2011,USA,539
Adam Scott,37156,USA,3000
Megan Hilty,2948,USA,341
Aaron Ashmore,758,USA,750
William Atherton,7988,USA,317
Cjon Saulsberry,48562,USA,571
Amanda Mealing,437,UK,37
Kostja Ullmann,11074,Germany,38
Eric Stoltz,266,USA,902
Betsy Russell,4122,USA,298
Patti LuPone,1238,USA,325
Lauren German,30511,Germany,683
Iben Hjejle,2437,Ireland,122
Scott Mechlowicz,7358,USA,634
Darren Keefe Reiher,1257,USA,27
Alan Rickman,306336,USA,25000
Michael Rapaport,62,USA,975
Amy Sedaris,2280,USA,396
Kristi Clainos,1370,Brazil,124
Amy Poehler,16987,USA,1000
Ashley Martin,2978,USA,302
Alex Meraz,13599,USA,606
Angie Dickinson,13640,USA,754
Sarah Rafferty,118,Italy,810
David Bianchi,704,USA,715
Shantel VanSanten,976,USA,747
Brooke Newton,520,USA,779
Jack Taylor,240,Italy,39
Derek Jacobi,103749,USA,520
Stacy Keach,706,USA,602
Cybill Shepherd,3443,USA,536
Matheus Nachtergaele,28951,Brazil,14
Glenn Ford,4313,USA,416
Nick Chinlund,2425,USA,277
Michael Nouri,746,USA,225
Patrick Bauchau,2157,USA,158
James Ransone,5695,USA,412
Patrick Troughton,80961,UK,139
Maïwenn,55040,France,236
Patrick Brammall,4173,Australia,96
Gregory Cruz,859,USA,234
Paula Jai Parker,33567,USA,247
Joe E. Brown,175196,USA,103
Terry Kiser,21359,USA,448
Terry,291875,USA,421
Peter Boyle,112671,USA,595
Shawn Roberts,40800,USA,529
Sanjay Dutt,27569,India,426
Patricia Richardson,5744,USA,222
Kelly Reno,8856,USA,81
Neeru Bajwa,745,Canada,85
Frank Hvam,1828,Denmark,33
Cesar Romero,5786,USA,370
Ariane Schluter,1470,Netherlands,3
Esther Williams,1553,USA,675
David Huddleston,95294,USA,1000
Tom Everett,29488,USA,84
Agata Trzebuchowska,34643,Poland,64
Denholm Elliott,10755,UK,249
Laurie Metcalf,6930,USA,549
Charlize Theron,45500,USA,9000
Gabrielle Reece,3849,USA,52
Nacho Vigalondo,40878,Spain,76
Bo Huang,1418,China,4
Nick Searcy,5012,USA,272
Debbie Reynolds,150020,USA,786
Joel Fuhrman,6429,Australia,2
Alanna Ubach,34620,USA,584
Zackary Steven Graham,9010,USA,118
Tyler Mane,36372,USA,764
Charlize Theron,50311,USA,9000
Dan O'Herlihy,28589,USA,128
M. Emmet Walsh,23546,USA,521
Melvyn Douglas,15277,USA,189
La'Princess Jackson,6062,USA,309
Udo Kier,36996,USA,595
Michael Weston,187595,USA,379
Hans Weingartner,183288,USA,12
Michel Côté,1003,Canada,16
Samantha Morton,6221,USA,631
Ato Essandoh,7776,USA,265
Christopher Simpson,2560,UK,41
Joshua Ormond,52509,USA,291
Julian Richings,21202,Spain,648
Jennifer Jason Leigh,105591,USA,1000
Elden Henson,97,USA,577
Tal Bachman,52286,USA,4
Sheryl Crow,578,USA,130
Diana Scarwid,91,USA,157
Stephen Root,185345,USA,939
Carly Schroeder,806,USA,261
Emily Pearson,1138,USA,12
Anupam Kher,4820,UK,397
Rüdiger Vogler,10220,Germany,10
Jacob Vargas,5699,USA,399
Rainn Wilson,61787,USA,973
Piper Mackenzie Harris,858,USA,607
Cecilia Pillado,3119,Germany,625
Emmanuel Kabongo,63,USA,677
Harry Lennix,4100,USA,748
Max Ryan,4057,Poland,872
Patrick Fischler,108052,USA,497
Kevin Leslie,1510,UK,159
Joseph Gilgun,99177,UK,788
Sean Pertwee,2753,UK,722
Basil Rathbone,1079,USA,659
Aimee Garcia,1015,USA,618
Michael O'Neill,2189,USA,599
Ava Gardner,3538,USA,715
Cinda McCain,440,USA,646
Ellen Burstyn,6025,USA,1000
Phil Hartman,19650,USA,516
Deems Taylor,71321,USA,0
Fernando Rey,82476,USA,165
Sebastian Aguilar,44,USA,0
Dana Kimmell,31952,USA,31
Melanie Kinnaman,22521,USA,27
Louise Fletcher,1573,USA,425
Delroy Lindo,4977,USA,848
Kayla Ewell,1118,USA,399
Greer Garson,1314,USA,284
Ethan Peck,1351,Spain,800
Zohra Segal,480,UK,79
James Wolk,485,USA,938
Daniel Kash,5187,Canada,52
Teresa Wright,40359,USA,208
Nick Stahl,29424,USA,648
Per Christian Ellefsen,12244,Norway,21
Arturo Castro,22,USA,22
Pablo Rosso,131462,Spain,9
Martha Higareda,544,USA,718
David Proval,6,USA,354
Michael Chapman,1355,UK,366
Maria Doyle Kennedy,1274,USA,308
Daniela Bianchi,89403,UK,201
Jessica Dublin,4663,USA,30
Alan Autry,2258,USA,360
John Beck,33335,USA,66
Ruby Harris,112899,USA,189
John Carradine,31077,USA,300
Brock Peters,215086,USA,226
Bruce Spence,133966,Australia,531
Anita Mui,34520,Hong Kong,147
Shelley Winters,67825,UK,367
Brendan Sexton III,77551,USA,148
Julia Taylor Ross,18566,France,44
Ulrich Mühe,259379,Germany,284
Alex Kendrick,15401,USA,589
Jackie Gleason,62860,USA,491
Spencer Tracy,2269,USA,760
Charles Linton,42462,France,6
Irene Bedard,8224,Canada,752
James Urbaniak,41999,USA,119
Albert Delpy,168398,USA,8
Jorge Salinas,173551,Mexico,79
Sarah Clarke,68222,USA,482
Celeste Holm,10791,USA,297
Shelley Waggener,111658,USA,248
Brendan Mackey,26926,UK,5
Don Ameche,1381,USA,392
Brad William Henke,31130,USA,363
George W. Bush,55382,USA,125
Emily Ratajkowski,20885,UK,625
Gano Grills,70084,France,147
Christian Bale,54657,USA,23000
Leonor Varela,3911,USA,426
Enrico Colantoni,8662,USA,724
Tawny Kitaen,4288,UK,194
Amy Sedaris,4181,USA,396
Brian Blessed,30618,UK,591
Peter Stickles,27346,USA,51
Ronny Dayag,46107,Israel,0
Kirby Heyborne,397,USA,69
Dick Cheney,7314,USA,21
David Fine,16645,USA,1000
Jon Tenney,415,USA,289
Buzz Aldrin,5475,UK,142
Zoe Kazan,8204,USA,962
Bill Maher,5615,USA,334
Manny Perez,4359,USA,159
