num_critic_for_reviews,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,movie_facebook_likes
5,Treachery ,344,5,panties|white panties,http://www.imdb.com/title/tt2380301/?ref_=fn_tt_tt_1,5,,0
10,Walter ,1432,2,based on short film|based on short story,http://www.imdb.com/title/tt2016335/?ref_=fn_tt_tt_1,19,,0
66,Top Hat ,13269,2,dance|dancer|dancing|horse|tap dancing,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,98,Approved,1000
360,The Blair Witch Project ,186786,0,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,http://www.imdb.com/title/tt0185937/?ref_=fn_tt_tt_1,3400,R,0
53,Woodstock ,12631,0,drugs|hippie|music festival|the who|woodstock,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,63,R,0
82,The Kentucky Fried Movie ,13915,0,fake commercial|fake newscast|fake trailer|parody|spoof,http://www.imdb.com/title/tt0076257/?ref_=fn_tt_tt_1,109,R,0
15,Mercy Streets ,448,1,church|cigarette smoking|deacon|twin brother|twins,http://www.imdb.com/title/tt0243415/?ref_=fn_tt_tt_1,16,PG-13,12
,Arnolds Park ,94,4,,http://www.imdb.com/title/tt1074931/?ref_=fn_tt_tt_1,4,PG-13,11
18,Broken Vessels ,531,0,independent film|katana sword|los angeles storm drain,http://www.imdb.com/title/tt0149964/?ref_=fn_tt_tt_1,19,R,51
,Water & Power ,85,0,,http://www.imdb.com/title/tt2052015/?ref_=fn_tt_tt_1,,Not Rated,358
22,They Will Have to Kill Us First ,74,3,,http://www.imdb.com/title/tt4333662/?ref_=fn_tt_tt_1,2,,34
15,Crop Circles: Quest for Truth ,204,0,crop circle|intelligence|paranormal|phenomenon|universe,http://www.imdb.com/title/tt0331225/?ref_=fn_tt_tt_1,13,,32
,Light from the Darkroom ,6,0,china|faith|panama|photography|suspense,http://www.imdb.com/title/tt3130704/?ref_=fn_tt_tt_1,1,PG-13,9
18,Irreplaceable ,389,2,doctor|hospital|mayor|no opening credits|title at the end,http://www.imdb.com/title/tt5078326/?ref_=fn_tt_tt_1,1,,36
8,The Maid's Room ,719,0,,http://www.imdb.com/title/tt2263814/?ref_=fn_tt_tt_1,9,,128
105,A Hard Day's Night ,31429,1,boy|concert|drummer|manager|television,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,219,Approved,0
3,The Harvest/La Cosecha ,57,0,child labor|education|hispanic|labor|migration,http://www.imdb.com/title/tt1981703/?ref_=fn_tt_tt_1,2,,88
4,Love Letters ,487,1,1980s|affair|female protagonist|radio|woman wearing only a man's shirt,http://www.imdb.com/title/tt0085871/?ref_=fn_tt_tt_1,9,R,7
2,Julija in alfa Romeo ,86,6,,http://www.imdb.com/title/tt4374230/?ref_=fn_tt_tt_1,2,,18
50,Fireproof ,17068,0,christian film|dare|firefighter|internet pornography|marriage,http://www.imdb.com/title/tt1129423/?ref_=fn_tt_tt_1,215,PG,0
19,Faith Connections ,113,1,faith|ganja|kumbh mela|little boy|orphan,http://www.imdb.com/title/tt2768766/?ref_=fn_tt_tt_1,3,,126
5,Benji ,3411,0,animal abuse|cat|dog|dog movie|tween girl,http://www.imdb.com/title/tt0071206/?ref_=fn_tt_tt_1,36,G,816
235,Open Water ,42256,1,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,http://www.imdb.com/title/tt0374102/?ref_=fn_tt_tt_1,916,R,0
8,High Road ,1305,6,,http://www.imdb.com/title/tt1692084/?ref_=fn_tt_tt_1,3,R,244
95,Kingdom of the Spiders ,3274,0,death|farm|hotel|spider|tarantula,http://www.imdb.com/title/tt0076271/?ref_=fn_tt_tt_1,84,PG,0
84,Mad Hot Ballroom ,3156,2,ballroom dancing|new york city|poise|self confidence|teacher,http://www.imdb.com/title/tt0438205/?ref_=fn_tt_tt_1,65,PG,588
154,The Station Agent ,58260,0,abandoned|depot|dwarf|newfoundland new jersey|train,http://www.imdb.com/title/tt0340377/?ref_=fn_tt_tt_1,286,R,0
20,To Save a Life ,4583,1,basketball|beer pong|childhood friend|christian|suicide,http://www.imdb.com/title/tt1270286/?ref_=fn_tt_tt_1,55,PG-13,0
88,Wordplay ,3394,0,comedian|crossword puzzle|editor|new york times|puzzle,http://www.imdb.com/title/tt0492506/?ref_=fn_tt_tt_1,43,PG,694
70,Beyond the Mat ,6790,3,championship|drugs|three word title|wrestler|wrestling,http://www.imdb.com/title/tt0218043/?ref_=fn_tt_tt_1,80,R,491
5,The Singles Ward ,1099,0,church|love|marriage|mormon|single,http://www.imdb.com/title/tt0306069/?ref_=fn_tt_tt_1,53,PG,43
105,Osama ,7559,1,boy|girl|hair|school|taliban,http://www.imdb.com/title/tt0368913/?ref_=fn_tt_tt_1,77,PG-13,0
29,Sholem Aleichem: Laughing in the Darkness ,154,1,jewish identity,http://www.imdb.com/title/tt1976608/?ref_=fn_tt_tt_1,5,Unrated,287
46,Groove ,3562,0,dj|ecstasy the drug|rave|raver|warehouse,http://www.imdb.com/title/tt0212974/?ref_=fn_tt_tt_1,74,R,0
3,The R.M. ,651,0,latter day saints|missionary|pickup truck|police|video camera,http://www.imdb.com/title/tt0341540/?ref_=fn_tt_tt_1,34,PG,44
54,Twin Falls Idaho ,3479,0,conjoined twins|independent film|low budget film|separation|twin,http://www.imdb.com/title/tt0162830/?ref_=fn_tt_tt_1,87,R,180
126,Mean Creek ,26407,0,boat|bully|dare|friend|river,http://www.imdb.com/title/tt0377091/?ref_=fn_tt_tt_1,154,R,1000
17,Hurricane Streets ,1038,3,gang|new mexico|prison|smuggling|theft,http://www.imdb.com/title/tt0119338/?ref_=fn_tt_tt_1,21,R,51
25,Never Again ,709,1,bar|gay bar|love|mother son relationship|new york,http://www.imdb.com/title/tt0244094/?ref_=fn_tt_tt_1,34,R,139
11,Civil Brand ,553,3,abuse of power|friendship|prison|prison guard|title directed by female,http://www.imdb.com/title/tt0326806/?ref_=fn_tt_tt_1,24,R,86
81,Lonesome Jim ,6884,0,bail|coma|dart board|indiana|ladder factory,http://www.imdb.com/title/tt0385056/?ref_=fn_tt_tt_1,53,R,238
155,Drinking Buddies ,45928,5,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,http://www.imdb.com/title/tt2265398/?ref_=fn_tt_tt_1,106,R,0
39,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,774,0,stage magician,http://www.imdb.com/title/tt2654360/?ref_=fn_tt_tt_1,7,,590
153,Seven Samurai ,229012,6,16th century|battle|japan|practice|samurai,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,596,Unrated,11000
26,The Other Dream Team ,3086,1,basketball|basketball team|grateful dead|lithuanian|olympics,http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1,9,Not Rated,0
10,Johnny Suede ,3013,0,idol|musician|vomiting|watching television|wyoming,http://www.imdb.com/title/tt0104567/?ref_=fn_tt_tt_1,24,R,344
35,Finishing the Game: The Search for a New Bruce Lee ,1656,0,bruce lee|jeet kune do|karate|satire|spoof,http://www.imdb.com/title/tt0843850/?ref_=fn_tt_tt_1,12,Not Rated,155
230,Rubber ,26185,0,desert|dump|show|spectator|tire,http://www.imdb.com/title/tt1612774/?ref_=fn_tt_tt_1,170,R,46000
165,Home ,70136,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,214,PG,26000
9,Kiss the Bride ,1358,3,best friend|high school|love|secret|wedding,http://www.imdb.com/title/tt0893346/?ref_=fn_tt_tt_1,10,R,60
17,The Slaughter Rule ,2004,2,cheerleader|father son relationship|football coach|loss of father|mother son relationship,http://www.imdb.com/title/tt0266971/?ref_=fn_tt_tt_1,32,R,183
344,Monsters ,75669,0,alien|alien invasion|destroyed building|destruction|mexico,http://www.imdb.com/title/tt1470827/?ref_=fn_tt_tt_1,451,R,19000
2,The Californians ,299,3,based on novel,http://www.imdb.com/title/tt0377043/?ref_=fn_tt_tt_1,11,PG,29
28,The Living Wake ,739,2,artist|black comedy,http://www.imdb.com/title/tt0489212/?ref_=fn_tt_tt_1,10,PG-13,339
29,Detention of the Dead ,2038,6,based on play|blood|independent film|teenager|zombie,http://www.imdb.com/title/tt1865346/?ref_=fn_tt_tt_1,20,Not Rated,898
11,Crazy Stone ,2097,1,bankruptcy|crystal|father son relationship|heist|shower,http://www.imdb.com/title/tt0843270/?ref_=fn_tt_tt_1,9,,23
48,Scott Walker: 30 Century Man ,1006,0,avant garde|british pop|character name in title|musician|number in title,http://www.imdb.com/title/tt0486541/?ref_=fn_tt_tt_1,11,,808
24,Everything Put Together ,601,0,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,http://www.imdb.com/title/tt0228277/?ref_=fn_tt_tt_1,10,R,22
166,Good Kill ,15756,0,cigarette butt|drone|funeral procession|nellis air force base|taliban,http://www.imdb.com/title/tt3297330/?ref_=fn_tt_tt_1,68,R,0
,Insomnia Manica ,16,0,,http://www.imdb.com/title/tt0455556/?ref_=fn_tt_tt_1,3,,0
9,The Outrageous Sophie Tucker ,38,1,,http://www.imdb.com/title/tt2825768/?ref_=fn_tt_tt_1,3,,16
48,Now Is Good ,26863,3,death|dying|leukemia|teenage girl|terminal illness,http://www.imdb.com/title/tt1937264/?ref_=fn_tt_tt_1,54,PG-13,0
64,Girls Gone Dead ,2012,2,mini skirt|party|spring break|voyeur|war hammer,http://www.imdb.com/title/tt1884318/?ref_=fn_tt_tt_1,28,R,0
,America Is Still the Place ,22,0,,http://www.imdb.com/title/tt3417110/?ref_=fn_tt_tt_1,,,337
1,Subconscious ,292,0,military|submarine|suspense|time travel|world war two,http://www.imdb.com/title/tt2909932/?ref_=fn_tt_tt_1,16,R,353
111,Crossroads ,34219,1,audition|friendship|graduation|high school graduation|love,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,578,PG-13,0
26,Enter Nowhere ,5025,3,cabin|going in circles|pac man|stranger|woods,http://www.imdb.com/title/tt1631707/?ref_=fn_tt_tt_1,45,R,701
1,The King of Najayo ,197,1,,http://www.imdb.com/title/tt2275671/?ref_=fn_tt_tt_1,1,R,126
3,Fight to the Finish ,60,0,fighting|karate,http://www.imdb.com/title/tt3152288/?ref_=fn_tt_tt_1,2,PG-13,381
10,Alleluia! The Devil's Carnival ,259,5,carnival|devil|redemption|reference to god,http://www.imdb.com/title/tt3892618/?ref_=fn_tt_tt_1,20,,707
1,The Sound and the Shadow ,30,0,,http://www.imdb.com/title/tt2190180/?ref_=fn_tt_tt_1,1,R,70
1,Rodeo Girl ,62,2,,http://www.imdb.com/title/tt4062896/?ref_=fn_tt_tt_1,4,PG,0
10,Born to Fly: Elizabeth Streb vs. Gravity ,40,1,three word title,http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1,10,,44
1,The Little Ponderosa Zoo ,15,2,,http://www.imdb.com/title/tt3846442/?ref_=fn_tt_tt_1,1,,9
525,Oz the Great and Powerful ,175413,4,circus|magic|magician|oz|witch,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,PG,60000
96,The Toxic Avenger ,19253,0,boy|health club|superhero|toxic waste|troma,http://www.imdb.com/title/tt0090190/?ref_=fn_tt_tt_1,147,Unrated,0
8,Straight Out of Brooklyn ,475,4,domestic violence|housing project|new york city|poverty|racism,http://www.imdb.com/title/tt0102989/?ref_=fn_tt_tt_1,11,R,123
92,Bloody Sunday ,19732,0,civil rights|irish|march|northern ireland|protest march,http://www.imdb.com/title/tt0280491/?ref_=fn_tt_tt_1,120,R,0
1,Diamond Ruff ,53,6,prison|prisoner|reverend|terminal illness|two word title,http://www.imdb.com/title/tt2111292/?ref_=fn_tt_tt_1,5,R,62
365,Conversations with Other Women ,10143,0,female frontal nudity|filming a wedding|lingerie slip|memory|wedding,http://www.imdb.com/title/tt0435623/?ref_=fn_tt_tt_1,54,R,0
88,Poultrygeist: Night of the Chicken Dead ,5931,0,castration|chicken|fast food|indian burial ground|protest,http://www.imdb.com/title/tt0462485/?ref_=fn_tt_tt_1,58,Unrated,0
3,Mutual Friends ,64,1,bromance|manhattan new york city|new york city|photograph|surprise,http://www.imdb.com/title/tt2112209/?ref_=fn_tt_tt_1,3,,31
65,42nd Street ,7921,2,chorus girl|chorus line|director|gala premiere|song,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,97,Unrated,439
,Rise of the Entrepreneur: The Search for a Better Way ,78,0,business|entrepreneur|network marketing,http://www.imdb.com/title/tt4273494/?ref_=fn_tt_tt_1,10,G,460
71,Metropolitan ,7143,1,apartment|dancing|debutante|new york|upper class,http://www.imdb.com/title/tt0100142/?ref_=fn_tt_tt_1,52,PG-13,865
34,As It Is in Heaven ,13543,15,amazing grace the hymn|choir|heart attack|hometown|skidding truck,http://www.imdb.com/title/tt0382330/?ref_=fn_tt_tt_1,94,,0
15,Roadside ,268,0,dog|gun|hostage|husband wife relationship|jealousy,http://www.imdb.com/title/tt1958007/?ref_=fn_tt_tt_1,6,,61
220,Napoleon Dynamite ,161448,0,class president|family relationships|friend|high school|jock,http://www.imdb.com/title/tt0374900/?ref_=fn_tt_tt_1,1473,PG,0
279,Blue Ruin ,42678,0,blood splatter|car|neo noir|vengeance|vomiting,http://www.imdb.com/title/tt2359024/?ref_=fn_tt_tt_1,135,R,0
409,Paranormal Activity ,184824,0,dark force|entity|evil force|found footage|paranormal phenomenon,http://www.imdb.com/title/tt1179904/?ref_=fn_tt_tt_1,1189,R,12000
86,Dogtown and Z-Boys ,10366,0,california|drought|playground|skateboarding|surfer,http://www.imdb.com/title/tt0275309/?ref_=fn_tt_tt_1,88,PG-13,0
131,Monty Python and the Holy Grail ,382240,0,camelot|holy grail|king arthur|knight|lancelot,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,660,PG,14000
69,Quinceañera ,3675,1,15th birthday|birthday|gay|party|security guard,http://www.imdb.com/title/tt0451176/?ref_=fn_tt_tt_1,48,R,426
8,Gory Gory Hallelujah ,179,2,conspiracy|feminist|hippie|motorcycle|slapstick comedy,http://www.imdb.com/title/tt0396041/?ref_=fn_tt_tt_1,18,,39
75,Heroes             ,202115,4,father daughter relationship|serial killer|superhero|supernatural power|vision of the future,http://www.imdb.com/title/tt0813715/?ref_=fn_tt_tt_1,379,TV-14,0
72,Tarnation ,5709,3,answering machine|home movie|lithium|schizophrenic|video diary,http://www.imdb.com/title/tt0390538/?ref_=fn_tt_tt_1,114,Unrated,754
4,I Want Your Money ,1123,0,,http://www.imdb.com/title/tt1560957/?ref_=fn_tt_tt_1,31,PG,638
9,Love in the Time of Monsters ,143,3,bigfoot|love|monster|sasquatch|tourist,http://www.imdb.com/title/tt2403415/?ref_=fn_tt_tt_1,5,,194
203,The Beyond ,14985,0,doctor|hell|hotel|painter|plumber,http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1,253,X,2000
11,Home Movies             ,7458,0,coach|friend|school|series|tv series,http://www.imdb.com/title/tt0197159/?ref_=fn_tt_tt_1,82,TV-PG,526
148,What Happens in Vegas ,140740,2,casino|father son relationship|jackpot|judge|wedding,http://www.imdb.com/title/tt1033643/?ref_=fn_tt_tt_1,151,PG-13,0
80,The Dark Hours ,4788,0,brain tumor|champagne|game|psychiatrist|weekend,http://www.imdb.com/title/tt0402249/?ref_=fn_tt_tt_1,52,R,166
46,My Beautiful Laundrette ,10577,1,england|mistress|pakistani|politics|thatcher,http://www.imdb.com/title/tt0091578/?ref_=fn_tt_tt_1,64,R,0
8,Fabled ,191,0,,http://www.imdb.com/title/tt0299863/?ref_=fn_tt_tt_1,10,R,7
10,Show Me ,369,0,bathtub|implied incest|lesbian|squeegee|tied to a chair,http://www.imdb.com/title/tt0414510/?ref_=fn_tt_tt_1,5,R,12
76,Cries & Whispers ,19964,0,dying|love|mansion|selfishness|turn of the century,http://www.imdb.com/title/tt0069467/?ref_=fn_tt_tt_1,197,R,0
69,Intolerance: Love's Struggle Throughout the Ages ,10718,1,huguenot|intolerance|medicis|protestant|wedding,http://www.imdb.com/title/tt0006864/?ref_=fn_tt_tt_1,88,Not Rated,691
43,Trekkies ,4407,1,autograph|dentist|outer space|star trek|telephone call,http://www.imdb.com/title/tt0120370/?ref_=fn_tt_tt_1,75,PG,672
36,The Broadway Melody ,4546,8,sibling rivalry|singer|sister act|whistling|wisecrack humor,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,71,Passed,167
304,The Evil Dead ,141219,0,cult director|cult film|evil dead|necronomicon|psychotronic film,http://www.imdb.com/title/tt0083907/?ref_=fn_tt_tt_1,740,NC-17,12000
279,Maniac ,27297,0,exhibition|mannequin|obsession|oral sex|photographer,http://www.imdb.com/title/tt2103217/?ref_=fn_tt_tt_1,131,Not Rated,0
23,Censored Voices ,186,0,,http://www.imdb.com/title/tt3457376/?ref_=fn_tt_tt_1,3,,111
110,Murderball ,9037,1,paralympics|quad rugby|rugby|team|wheelchair,http://www.imdb.com/title/tt0436613/?ref_=fn_tt_tt_1,70,R,0
40,American Ninja 2: The Confrontation ,6046,0,blood splatter|island|motorboat|ninja|sequel to cult film,http://www.imdb.com/title/tt0092548/?ref_=fn_tt_tt_1,46,R,583
45,51 Birch Street ,695,2,address as title|number in title|parents,http://www.imdb.com/title/tt0468442/?ref_=fn_tt_tt_1,16,Unrated,70
23,Revolution             ,72017,6,2020s|near future|one word series title|post apocalypse|year 2027,http://www.imdb.com/title/tt2070791/?ref_=fn_tt_tt_1,323,TV-14,17000
4,Rotor DR1 ,209,2,drone|playing with gun|post apocalypse|road trip|working class family,http://www.imdb.com/title/tt4162992/?ref_=fn_tt_tt_1,8,,240
318,Halloween ,157863,0,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,R,12000
177,12 Angry Men ,447785,1,courtroom|dialogue driven|dialogue driven storyline|jury|murder,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,888,Not Rated,40000
51,My Dog Tulip ,1272,0,autobiography|dog movie|german shepherd|memoir|old man,http://www.imdb.com/title/tt0843358/?ref_=fn_tt_tt_1,15,,675
124,It Happened One Night ,64888,1,bus|detective|love|money|reporter,http://www.imdb.com/title/tt0025316/?ref_=fn_tt_tt_1,235,Unrated,0
211,Dogtooth ,44864,0,fellatio|isolated house|overprotective father|social isolation|unsimulated sex,http://www.imdb.com/title/tt1379182/?ref_=fn_tt_tt_1,170,Unrated,13000
26,Tupac: Resurrection ,7687,0,hip hop|name in title|rap star|rapper|reference to tupac shakur,http://www.imdb.com/title/tt0343121/?ref_=fn_tt_tt_1,32,R,0
64,Tumbleweeds ,2932,1,boss|fight|reference to william shakespeare|white trash|written and directed by cast member,http://www.imdb.com/title/tt0161023/?ref_=fn_tt_tt_1,73,PG-13,121
56,The Prophecy ,24438,0,angel|corpse|girl|heaven|soul,http://www.imdb.com/title/tt0114194/?ref_=fn_tt_tt_1,194,R,0
29,When the Cat's Away ,2843,7,cat|homosexual sex|male homosexuality|neighborhood|noisy neighbor,http://www.imdb.com/title/tt0115856/?ref_=fn_tt_tt_1,25,R,166
131,Pieces of April ,18035,3,apartment|oven|stove|thanksgiving|thanksgiving dinner,http://www.imdb.com/title/tt0311648/?ref_=fn_tt_tt_1,177,PG-13,0
4,The Big Swap ,270,0,breasts|female frontal nudity|jealousy|male full frontal nudity|male nudity,http://www.imdb.com/title/tt0118717/?ref_=fn_tt_tt_1,7,,29
88,Old Joy ,4423,2,cell phone|male frontal nudity|oregon|sexual ambiguity|title directed by female,http://www.imdb.com/title/tt0468526/?ref_=fn_tt_tt_1,57,Unrated,594
189,Wendy and Lucy ,12241,1,car|dog|flip phone|rape threat|vulnerable,http://www.imdb.com/title/tt1152850/?ref_=fn_tt_tt_1,112,R,0
20,3 Backyards ,554,0,number in title,http://www.imdb.com/title/tt1314190/?ref_=fn_tt_tt_1,23,R,92
96,Pierrot le Fou ,19386,1,beach|money|on the run|party|smuggling,http://www.imdb.com/title/tt0059592/?ref_=fn_tt_tt_1,74,Not Rated,2000
27,Sisters in Law ,291,1,,http://www.imdb.com/title/tt0474361/?ref_=fn_tt_tt_1,8,Not Rated,50
15,Ayurveda: Art of Being ,341,0,eastern philosophy|healing|india|life,http://www.imdb.com/title/tt0221809/?ref_=fn_tt_tt_1,12,,379
24,Nothing But a Man ,891,1,1960s|father|railroad|town|worker,http://www.imdb.com/title/tt0058414/?ref_=fn_tt_tt_1,26,Not Rated,363
16,First Love, Last Rites ,294,0,listening to music|misfit|panties|red panties|sex,http://www.imdb.com/title/tt0128214/?ref_=fn_tt_tt_1,16,R,26
13,Fighting Tommy Riley ,720,0,older man younger man relationship|punching bag|school teacher|undressing|unrequited love,http://www.imdb.com/title/tt0366444/?ref_=fn_tt_tt_1,23,R,30
8,Royal Kill ,476,0,assassin|female assassin|kingdom|martial arts|mission,http://www.imdb.com/title/tt0421237/?ref_=fn_tt_tt_1,18,PG-13,53
156,Across the Universe ,91863,0,anti war|liverpool|love|protest|song,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524,PG-13,14000
4,The Looking Glass ,82,0,,http://www.imdb.com/title/tt2912776/?ref_=fn_tt_tt_1,1,,175
164,Death Race 2000 ,19875,0,cult director|cult film|drive in classic|psychotronic|race,http://www.imdb.com/title/tt0072856/?ref_=fn_tt_tt_1,147,R,0
10,Locker 13 ,241,3,digit in title|latino|life or death|philosophy|supernatural,http://www.imdb.com/title/tt1241226/?ref_=fn_tt_tt_1,5,R,261
1,Midnight Cabaret ,47,0,cigarette smoking|death|devil|nightmare|satanic cult,http://www.imdb.com/title/tt0100146/?ref_=fn_tt_tt_1,4,R,4
8,Anderson's Cross ,95,7,divorce|marriage|mother daughter relationship|sex|teenage boy,http://www.imdb.com/title/tt0393049/?ref_=fn_tt_tt_1,7,R,7
9,Bizarre ,569,0,full frontal nudity|group shower|male full frontal nudity|male nudity|shower,http://www.imdb.com/title/tt3904272/?ref_=fn_tt_tt_1,1,Unrated,114
78,Graduation Day ,1905,0,coach|mask|school principal|team|track,http://www.imdb.com/title/tt0082467/?ref_=fn_tt_tt_1,58,R,249
131,Some Guy Who Kills People ,4550,2,,http://www.imdb.com/title/tt1568341/?ref_=fn_tt_tt_1,58,R,0
286,Compliance ,24668,0,authority|boss subordinate relationship|fast food restaurant|gullibility|telephone call,http://www.imdb.com/title/tt1971352/?ref_=fn_tt_tt_1,175,R,0
147,Chasing Amy ,114070,5,comic book|friendship|gay|lesbian|secret,http://www.imdb.com/title/tt0118842/?ref_=fn_tt_tt_1,500,R,0
71,Lovely & Amazing ,6041,3,african american|dog|homecoming queen|insecurity|surgery,http://www.imdb.com/title/tt0258273/?ref_=fn_tt_tt_1,85,R,169
,Death Calls ,30,2,murder|oppression|rebirth|reincarnation|revenge,http://www.imdb.com/title/tt1328873/?ref_=fn_tt_tt_1,,R,16
51,Better Luck Tomorrow ,8000,1,asian american|high school|overachiever|pubic hair|vomiting,http://www.imdb.com/title/tt0280477/?ref_=fn_tt_tt_1,138,R,661
23,The Incredibly True Adventure of Two Girls in Love ,3513,0,caught having sex|class|friend|lesbian|lesbian sex,http://www.imdb.com/title/tt0113416/?ref_=fn_tt_tt_1,36,R,423
59,Chuck & Buck ,4662,0,best friend|bisexuality|friend|gay kiss|sexuality,http://www.imdb.com/title/tt0200530/?ref_=fn_tt_tt_1,136,R,170
9,American Desi ,1489,2,college|desi|heritage|india|indian american,http://www.imdb.com/title/tt0203289/?ref_=fn_tt_tt_1,40,Unrated,133
,Amidst the Devil's Wings ,28,0,,http://www.imdb.com/title/tt3976258/?ref_=fn_tt_tt_1,,,17
99,Cube ,160511,0,escape|labyrinth|maze|red light|trap,http://www.imdb.com/title/tt0123755/?ref_=fn_tt_tt_1,696,R,11000
21,Love and Other Catastrophes ,1727,1,film school|love|medical student|student|university,http://www.imdb.com/title/tt0116931/?ref_=fn_tt_tt_1,21,R,46
19,I Married a Strange Person! ,1428,0,claim in title|exclamation point in title|punctuation in title|reference to babe ruth|sex,http://www.imdb.com/title/tt0119346/?ref_=fn_tt_tt_1,21,R,178
43,November ,2787,1,female protagonist|murder|photographer|robbery|shot to death,http://www.imdb.com/title/tt0368089/?ref_=fn_tt_tt_1,64,R,98
206,Like Crazy ,46813,1,girlfriend|immigration|long distance relationship|parents|student visa,http://www.imdb.com/title/tt1758692/?ref_=fn_tt_tt_1,150,PG-13,12000
,Teeth and Blood ,24,0,blood|teeth,http://www.imdb.com/title/tt1991199/?ref_=fn_tt_tt_1,2,,85
29,Sugar Town ,708,2,drugs|music producer|rock music|title directed by female|vegetarian,http://www.imdb.com/title/tt0173390/?ref_=fn_tt_tt_1,22,R,93
27,The Motel ,1227,1,absent father|asian american|friendship between men|motel|mother son relationship,http://www.imdb.com/title/tt0436607/?ref_=fn_tt_tt_1,11,,62
162,The Canyons ,8511,0,cocaine|homosexual|penis|psychopath|pubic hair,http://www.imdb.com/title/tt2292959/?ref_=fn_tt_tt_1,87,R,0
11,Happy Valley             ,12848,1,caravan|police|police sergeant|tied to a chair|yorkshire,http://www.imdb.com/title/tt3428912/?ref_=fn_tt_tt_1,59,TV-MA,10000
