actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,language,title_year,actor_2_facebook_likes,aspect_ratio
729,,50,1092,Jacqueline Lovell,3,English,2014,282,
22000,,178,27425,Edgar Ramírez,1,English,2016,2000,
14000,,21833,17957,Robert Forster,101,English,2015,1000,2.35
12000,,43879,16355,Jodi Lyn O'Keefe,133,English,2013,991,2.35
2000,8047690,77656,2608,Alan David,220,Mandarin,2006,594,2.35
486,476270,29602,1601,Martina Gedeck,110,German,2008,471,1.85
933,184208848,186485,2398,Maury Chaykin,382,English,1990,839,2.35
3000,100292856,160418,5547,Phyllis Smith,296,English,2011,957,1.85
14000,58571513,30213,15914,Ellen Barkin,112,English,1989,599,1.85
1000,51431160,62861,3092,Julie Gonzalo,232,English,2004,852,1.85
611,103001286,222018,1212,Roger Jackson,869,English,1996,422,2.35
1000,41867960,65512,3023,F. Murray Abraham,478,English,2001,795,1.33
888,,610333,2560,Joe Turkel,1320,English,1980,629,1.37
1000,210609762,732212,3230,J.J. Cohen,809,English,1985,690,1.18
885,40846082,45317,2872,Bridgette Wilson-Sampras,536,English,1999,828,1.37
607,51697449,8346,1465,Hope Olaide Wilson,59,English,2009,269,1.85
731,,60,2374,Cabrina Collesides,6,English,2016,634,
544,27758465,77987,1292,Kelli Barrett,120,English,2010,449,2.35
500,56127162,57479,2020,David Moscow,205,English,2003,308,1.85
31000,1357042,53977,35561,Ludivine Sagnier,125,English,2011,3000,2.35
341,,29,1462,Paul 'Pauly D' DelVecchio,,English,,230,1.33
1000,15911333,2855,2429,Peter Fonda,119,English,2000,539,1.85
991,39103378,93272,2609,John Aylward,251,English,2010,894,2.35
17,10049886,417971,44,Miyu Irino,902,Japanese,2001,10,1.85
483,,1904,635,Terence Yin,12,Mandarin,2013,91,2.35
14000,8600000,17982,28094,Laurence Olivier,95,English,1984,12000,2.35
876,21483154,98741,1985,Roger Allam,236,English,2013,526,2.35
948,8396942,72715,4324,Alice Greczyn,103,English,2008,822,1.85
3000,12561,71276,4094,Dominique McElligott,181,English,2010,547,2.35
617,,6156,1131,Stephen Boyd,91,English,1964,134,2.2
2000,6923891,43867,5519,Dan Fogler,83,English,2011,2000,2.35
1000,5308553,5147,3260,Dante Brown,37,English,2012,919,2.35
2,2119994,1153,2,Margaret Tracey,15,English,1993,0,1.85
12000,1292527,3536,14579,Miranda Richardson,44,English,1996,1000,1.85
8000,560512,550,8972,Tracy Letts,3,Hebrew,2016,691,2.0
87000,64255243,80903,120797,Ryan Reynolds,518,English,2005,17000,2.35
12000,22245861,143251,25489,Roger Willie,710,English,2002,11000,1.85
654,20433940,78883,1876,Pedro Miguel Arce,662,English,2005,529,2.35
82,,625,151,Ching Wan Lau,4,Chinese,2013,39,1.85
40000,10562387,213226,43105,Ellen Barkin,648,English,1998,693,2.35
3000,18439082,94292,7252,Martin Starr,287,English,2009,2000,1.85
920,150056505,216581,2771,Ike Barinholtz,397,English,2014,798,2.35
789,119938730,265818,2085,Reg E. Cathey,213,English,1994,424,1.85
15000,114968774,153468,28018,John Heard,204,English,1988,11000,1.85
332,128505958,297014,505,Chester,1198,English,2006,165,1.85
2000,95001351,131801,4380,Alanna Ubach,548,English,2001,788,2.35
12000,76400000,58743,14762,Walter Koenig,192,English,1984,664,2.35
1000,75072454,96569,2759,JR Bourne,522,English,2005,539,2.35
1000,65535067,59380,2604,Bree Turner,202,English,1999,489,1.85
12000,13998282,24854,15044,Quinton Aaron,374,English,2014,1000,2.35
723,6061759,49077,1615,Tyrone Giordano,475,English,2005,552,1.85
748,64955956,10104,3956,Kenan Thompson,69,English,2004,656,1.85
1000,60057639,107815,3151,Alex Borstein,485,English,2003,624,1.85
8000,53868030,183425,10557,Robert Wagner,425,English,1997,503,2.35
567,59573085,13562,2259,Joey Fatone,103,English,2016,312,2.35
975,52691009,18727,3567,Fran Kranz,45,English,2011,569,2.35
1000,59735548,290949,4223,Carl Weathers,629,English,1987,1000,1.85
692,51600000,270790,3076,Tom Hulce,549,English,1984,670,2.35
2000,43818159,27664,4867,Collins Pennie,260,English,2008,690,2.35
2000,86049418,245989,5032,Neil Flynn,554,English,2004,1000,1.85
727,43601508,35718,1310,Mario Monicelli,317,English,2003,171,1.85
1000,41300105,65201,3261,Tom Hollander,651,English,2001,559,2.35
828,,65785,2546,Tate Donovan,281,English,,787,1.78
12000,41382841,27149,14672,Joan Allen,96,English,1986,899,1.85
15000,42335698,395087,21668,Merritt Wever,1101,English,2014,6000,1.85
594,33404871,150082,1353,Andrew Dice Clay,384,English,2013,268,2.35
97,31471430,83374,313,Susan Blommaert,828,English,2006,68,2.35
2000,30222640,36666,4868,Romeo Miller,144,English,2003,1000,1.85
18000,26830000,101889,32930,Matthew Broderick,365,English,1989,11000,1.85
844,26906039,29621,2653,Nicollette Sheridan,76,English,1996,456,1.85
2000,21378000,46492,4877,Janet Leigh,335,English,1980,826,2.35
2000,43853424,35514,5024,Craig T. Nelson,114,English,2011,795,2.35
643,,17277,2032,Martin Balsam,124,English,1970,559,2.35
390,23993605,52467,727,Dan Bakkedahl,248,English,2009,258,2.35
691,26400000,62009,2481,Grace Jones,109,English,1984,476,2.35
22000,45250,235133,23008,Frank Vincent,494,English,1980,394,1.85
2000,22927390,25344,4947,Frances Conroy,77,English,2009,980,1.85
155,4250320,14870,605,Freddie Jones,86,English,1985,144,1.85
808,22452209,14062,5734,Megan Mullally,82,English,2009,720,2.35
11000,18329466,279179,11984,Kate Burton,440,English,2010,642,1.85
11000,17071230,31169,23283,Michael Rapaport,192,English,2000,11000,1.85
757,17174870,15817,1201,Ethan Stiefel,210,English,2000,220,2.35
10000,26284475,9051,10691,Timothée Chalamet,68,English,2015,566,2.35
17000,16702864,8023,18711,Kevin G. Schmidt,49,English,2004,632,1.85
16000,15561627,39105,21622,Kristin Scott Thomas,359,English,2001,4000,2.35
14000,17750583,93548,28933,Michael Stuhlbarg,307,English,2015,13000,2.35
946,14793904,28209,4072,Shawn Roberts,80,English,2009,800,1.85
12000,15281286,64646,16004,Fred Willard,105,English,2009,904,1.85
372,8000000,1400,927,Michael Horse,41,English,1981,262,2.35
11000,13491653,23728,14995,Mark Margolis,213,English,2001,2000,2.35
517,,27629,1067,John McMartin,149,English,1981,376,2.35
210,10494494,19586,676,Bruce Payne,109,English,2013,193,2.35
805,7837632,46396,1466,Henry Czerny,287,English,1997,223,1.85
712,15155772,8895,1673,Frankie Valli,48,English,2014,341,2.35
723,8508843,7470,2368,Kellie Martin,35,English,1989,422,1.37
405,7739049,10680,847,Juliet Stevenson,112,English,2004,204,1.85
567,6734844,29591,711,Kim Chan,118,English,1986,67,1.85
1000,6000000,10832,1263,Albert Salmi,102,English,1981,115,2.35
577,6615578,15352,1341,Anne-Marie Duff,82,English,2009,416,2.35
40000,5887457,142416,56585,Martin Landau,420,English,1994,13000,1.85
24000,13362308,31898,39307,Brooke Smith,111,English,2013,14000,2.35
627,5701643,37635,653,Honglei Sun,165,Mongolian,2007,12,2.35
27000,5694401,194489,46944,Tom Wilkinson,192,English,2008,18000,2.35
456,5333658,2541,1356,Henry Silva,54,English,1982,278,1.85
597,4414535,30618,1645,Richard Briers,224,English,1996,591,2.2
989,4806750,6091,1598,Aden Young,53,English,2009,258,1.85
4000,3707794,31359,5671,Paul Sparks,156,English,2016,820,2.35
11000,3203044,25165,14843,Fisher Stevens,155,English,2003,944,2.35
25000,4435083,27882,39463,Sam Reid,119,English,2013,14000,2.35
654,,12854,1906,Dallas Roberts,44,,,426,
63,2222647,52958,167,Leonie Benesch,193,German,2009,43,1.85
662,,436,1498,James Cullen Bressack,6,English,2016,290,
1000,3500000,10082,2319,Nick Cassavetes,100,English,1986,695,1.85
1000,676698,26730,4094,Anthony LaPaglia,180,English,2002,783,1.85
364,3419967,13359,1083,Lars Ulrich,56,English,2013,253,2.35
663,,14324,2215,Lou Taylor Pucci,93,English,2008,551,2.35
897,145118,10111,1032,Katharina Schüttler,36,English,,30,2.35
84,,2541,198,Shawn Yue,20,English,2009,35,2.35
854,229311,899,2705,Mark Moses,42,English,1999,578,2.35
1000,,49669,1592,Joseph Pilato,419,English,1985,177,1.85
1000,,4510,3212,Amanda Schull,50,English,2016,872,
805,63260,14325,1185,Kevork Malikyan,90,English,2006,306,2.35
2000,,4693,4142,Michael Wincott,49,English,2015,1000,2.35
444,,30215,1243,Sandahl Bergman,95,English,1985,312,2.35
22000,,48162,25804,Craig Roberts,140,English,2012,2000,2.35
15000,121463226,422606,17584,Kevin Corrigan,555,English,2007,833,1.85
923,90485233,9544,3699,Derek Luke,45,English,2009,619,1.85
11000,,5693,13545,Stephen McHattie,34,English,2014,918,2.35
158,58006147,67653,816,Luis Rosado,108,English,2008,152,1.85
11000,51053787,45900,14385,Jim Belushi,247,English,2005,979,1.85
3000,23472900,264533,4142,Hakeem Kae-Kazim,609,English,2004,460,2.35
