director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,actor_2_facebook_likes,aspect_ratio
Adam McKay,285,105,Adam Scott,Comedy,Will Ferrell,212499,11264,Andrea Savage,2,dream|friendship|karaoke|love|slacker,http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1,277,English,USA,65000000,3000,2.35
Martin Campbell,258,94,Tony Amendola,Action|Adventure|Comedy|Romance|Thriller|Western,Anthony Hopkins,135404,12396,Stuart Wilson,0,19th century|california|revenge|training|zorro,http://www.imdb.com/title/tt0120746/?ref_=fn_tt_tt_1,318,English,USA,65000000,174,2.35
Todd Phillips,480,490,RZA,Comedy|Drama,Robert Downey Jr.,272789,23018,Matt Walsh,3,actor|aspiring actor|birth|misadventure|suitcase,http://www.imdb.com/title/tt1231583/?ref_=fn_tt_tt_1,285,English,USA,65000000,561,2.35
Angelina Jolie Pitt,11000,465,Jack O'Connell,Biography|Drama|Sport|War,Finn Wittrock,103589,2938,Alex Russell,0,emaciation|male nudity|plane crash|prisoner of war|torture,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,351,English,USA,65000000,698,2.35
Clint Eastwood,16000,416,Courtney B. Vance,Action|Adventure|Thriller,Clint Eastwood,60165,17771,William Devane,1,nasa|old age|satellite|space|space shuttle,http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1,326,English,USA,65000000,495,2.35
Renny Harlin,212,369,Leon,Action|Adventure|Thriller,Sylvester Stallone,96096,15229,Janine Turner,1,money|mountain|rocky mountains|snow|suitcase,http://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1,172,English,USA,70000000,730,2.35
John Woo,610,461,Samantha Mathis,Action|Crime|Thriller,Delroy Lindo,77390,2913,Bob Gunton,2,captain|desert|major|park ranger|utah,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1,189,English,USA,50000000,517,2.35
Jon Turteltaub,226,577,Lily Tomlin,Comedy|Family|Fantasy,Bruce Willis,34473,16452,Daniel von Bargen,1,altering history|cartoon on tv|childhood|image consultant|one two combo,http://www.imdb.com/title/tt0219854/?ref_=fn_tt_tt_1,139,English,USA,60000000,718,1.85
Oliver Stone,0,625,Jay Hernandez,Drama|History|Thriller,Nicolas Cage,67395,14421,Armando Riesco,0,based on true story|police|rescue|rubble|trapped,http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1,564,English,USA,63000000,1000,1.85
Mike Newell,179,403,Kirsten Dunst,Drama,Julia Roberts,61490,12850,Marian Seldes,1,art|college|school|student|wellesley college,http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1,264,English,USA,65000000,4000,1.85
Larry Charles,119,174,Aasif Mandvi,Comedy|Romance,Sayed Badreya,213863,1375,Horatio Sanz,0,dictator|hotel|oil|overalls|sunglasses,http://www.imdb.com/title/tt1645170/?ref_=fn_tt_tt_1,310,English,USA,65000000,346,2.35
Stanley Kubrick,0,521,Vinessa Shaw,Drama|Mystery|Thriller,Tom Cruise,227071,11424,Sydney Pollack,1,doctor|orgy|party|pianist|sexual fantasy,http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1,1500,English,UK,65000000,580,1.66
Will Gluck,87,929,Dorian Missick,Comedy|Drama|Family|Musical,Quvenzhané Wallis,24735,4796,David Zayas,6,billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,http://www.imdb.com/title/tt1823664/?ref_=fn_tt_tt_1,213,English,USA,65000000,1000,2.39
Glenn Ficarra,43,523,Adrian Martinez,Comedy|Crime|Drama|Romance,Will Smith,149337,11943,Gerald McRaney,0,con artist|con man|deception|rivalry|seduction,http://www.imdb.com/title/tt2381941/?ref_=fn_tt_tt_1,221,English,USA,50100000,806,1.85
McG,368,520,Abigail Spencer,Action|Comedy|Romance,Tom Hardy,147641,29808,Warren Christie,3,best friend|cia|cia agent|dating|undercover,http://www.imdb.com/title/tt1596350/?ref_=fn_tt_tt_1,238,English,USA,65000000,1000,2.35
David S. Goyer,687,957,Natasha Lyonne,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Ryan Reynolds,132954,19764,John Michael Higgins,0,blade|blood|dracula|vampire hunter|vampire slayer,http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1,514,English,USA,65000000,1000,2.35
John Milius,468,919,Jennifer Grey,Action|Drama|War,Lea Thompson,41776,3860,William Smith,0,guerrilla|high school|invasion|soviet|wolverine,http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1,383,English,USA,16900000,1000,1.85
Mike Nichols,0,210,Adrian Lester,Comedy|Drama,Maura Tierney,23940,1409,Paul Guilfoyle,0,campaigning|candidate|election|governor|president,http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1,157,English,France,65000000,317,2.35
Paul W.S. Anderson,545,974,Boris Kodjoe,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,104831,17913,Bingbing Li,0,corporation|fight|rescue|umbrella|zombie,http://www.imdb.com/title/tt1855325/?ref_=fn_tt_tt_1,423,English,Germany,65000000,1000,2.35
Paul W.S. Anderson,545,805,Max Ryan,Action|Sci-Fi|Thriller,Jason Statham,166610,28643,Joan Allen,4,armored car|car|murder|prison|warden,http://www.imdb.com/title/tt0452608/?ref_=fn_tt_tt_1,211,English,USA,45000000,872,2.35
Renny Harlin,212,263,Craig Bierko,Action|Crime|Drama|Mystery|Thriller,Melina Kanakaredes,60508,1531,Yvonne Zima,2,amnesia|chase|foot chase|strong female character|vomiting,http://www.imdb.com/title/tt0116908/?ref_=fn_tt_tt_1,285,English,USA,65000000,380,2.35
Taylor Hackford,138,184,Alun Armstrong,Action|Drama|Thriller,Pamela Reed,49300,1013,Michael Kitchen,1,jungle|pipeline|prisoner|ransom|south america,http://www.imdb.com/title/tt0228750/?ref_=fn_tt_tt_1,265,English,USA,65000000,192,2.35
Jon Favreau,4000,539,Josh Hutcherson,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Kristen Stewart,67707,32232,Jonah Bobo,0,2000s|coke|meeting future self|reference to spongebob squarepants|sony,http://www.imdb.com/title/tt0406375/?ref_=fn_tt_tt_1,202,English,USA,65000000,14000,1.85
David Fincher,21000,637,Meat Loaf,Drama,Brad Pitt,1347461,13209,Eugenie Bondurant,2,anti establishment|dark humor|fighting|multiple personality disorder|surprise ending,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,2968,English,USA,63000000,783,2.35
McG,368,383,Kimberly Williams-Paisley,Drama|Sport,Matthew McConaughey,46951,12088,Brian Geraghty,0,coach|football|football team|marshall university|university,http://www.imdb.com/title/tt0758794/?ref_=fn_tt_tt_1,175,English,USA,65000000,529,2.35
,,575,James Nesbitt,Crime|Drama|Mystery,Jason Flemyng,8739,3537,Frances O'Connor,0,france|journalist|limp|police detective|reporter,http://www.imdb.com/title/tt3877200/?ref_=fn_tt_tt_1,28,English,UK,,773,
Michael Lehmann,36,554,James Coburn,Action|Adventure|Comedy,Bruce Willis,43376,15944,Richard E. Grant,0,blackmail|burglar|critically bashed|leonardo da vinci|prison,http://www.imdb.com/title/tt0102070/?ref_=fn_tt_tt_1,249,English,USA,70000000,773,1.85
Nora Ephron,0,506,Michael Moore,Comedy|Crime,Michael Rapaport,8560,3580,Richard Schiff,1,celebrity|lottery|murder|snowmobile|weatherman,http://www.imdb.com/title/tt0219952/?ref_=fn_tt_tt_1,69,English,France,65000000,909,1.85
Stuart Beattie,72,568,Kevin Grevioux,Action|Fantasy|Sci-Fi|Thriller,Caitlin Stasey,65709,3165,Miranda Otto,0,army|creature|demon|frankenstein|gargoyle,http://www.imdb.com/title/tt1418377/?ref_=fn_tt_tt_1,194,English,Australia,65000000,593,2.35
Roman Polanski,2000,25,Barney Clark,Crime|Drama,Ian McNeice,25474,450,Tony Noble,0,boy|character name in title|orphan|pickpocket|workhouse,http://www.imdb.com/title/tt0380599/?ref_=fn_tt_tt_1,138,English,UK,50000000,85,2.35
Rob Bowman,38,1000,Cary-Hiroyuki Tagawa,Action|Crime|Fantasy|Thriller,Jennifer Garner,71202,7048,Goran Visnjic,0,assassin|battle|heroine|martial arts|spin off,http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1,380,English,Canada,43000000,1000,2.35
Frank Miller,436,6000,Bruce Willis,Action|Crime|Thriller,Joseph Gordon-Levitt,111102,49433,Eva Green,3,box office flop|female frontal nudity|female rear nudity|jackpot|rescue,http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1,239,English,USA,65000000,13000,1.85
Sydney Pollack,521,970,Kristin Scott Thomas,Drama|Mystery|Romance,Harrison Ford,17025,16710,Bill Cobbs,1,death|plane crash|police|police sergeant|politician,http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1,290,English,USA,64000000,1000,1.85
Baltasar Kormákur,175,221,Martin Henderson,Adventure|Biography|Drama|History|Sport|Thriller,Michael Kelly,134625,2131,Tom Goodman-Hill,0,blizzard|mount everest|mountain|mountain climbing|snow,http://www.imdb.com/title/tt2719848/?ref_=fn_tt_tt_1,265,English,UK,55000000,580,2.35
Tom Tykwer,670,16,David Calder,Crime|Drama|Fantasy,Michael Smiley,190490,253,Simon Chandler,0,18th century|perfume|scent|sense of smell|smell,http://www.imdb.com/title/tt0396171/?ref_=fn_tt_tt_1,482,English,Germany,50000000,27,2.35
Jay Roach,116,481,Josh Zuckerman,Action|Comedy|Crime,Verne Troyer,162909,2725,Robert Wagner,2,fem bot|prison|seductive fembot|spy|time travel,http://www.imdb.com/title/tt0295178/?ref_=fn_tt_tt_1,795,English,USA,63000000,522,2.35
David Bowers,42,668,Charlize Theron,Action|Animation|Comedy|Family|Sci-Fi,Nicolas Cage,25681,23365,Dee Bradley Baker,1,betrayal|futuristic|gladiator|robot|scientist,http://www.imdb.com/title/tt0375568/?ref_=fn_tt_tt_1,77,English,Hong Kong,65000000,9000,2.35
Steven Spielberg,14000,191,Ariana Richards,Adventure|Sci-Fi|Thriller,Wayne Knight,613473,2129,Bob Peck,0,dinosaur|jurassic park|survival|theme park|tyrannosaurus rex,http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1,895,English,USA,63000000,610,1.85
Lawrence Kasdan,759,812,Catherine O'Hara,Adventure|Biography|Crime|Drama|Western,Dennis Quaid,35314,5708,Isabella Rossellini,0,historically inaccurate|name calling|penis slur|vomiting|wyatt earp,http://www.imdb.com/title/tt0111756/?ref_=fn_tt_tt_1,145,English,USA,63000000,925,2.35
Phillip Noyce,176,672,Dean Jones,Action|Crime|Drama|Thriller,Harrison Ford,69663,14178,Raymond Cruz,1,cia|colombia|colombian drug cartel|drugs|president,http://www.imdb.com/title/tt0109444/?ref_=fn_tt_tt_1,133,English,USA,62000000,913,2.35
Daniel Lee,10,7,Peng Lin,Action|Adventure|Drama|History,Si Won Choi,11584,58,Sung-jun Yoo,3,child fugitive|final battle|martial art|silk road|sword,http://www.imdb.com/title/tt3672840/?ref_=fn_tt_tt_1,86,Mandarin,China,65000000,18,2.35
Keenen Ivory Wayans,322,723,Brittany Daniel,Comedy|Crime,Chazz Palminteri,39471,6334,John Witherspoon,1,diamond|infant|parody|spoof|sports violence,http://www.imdb.com/title/tt0430304/?ref_=fn_tt_tt_1,187,English,USA,64000000,862,1.85
Jonathan Mostow,84,563,Thomas Kretschmann,Action|War,Matthew McConaughey,65297,14931,David Keith,0,battle|historically inaccurate|submarine movie|u boat|world war two,http://www.imdb.com/title/tt0141926/?ref_=fn_tt_tt_1,602,English,France,62000000,919,2.35
Rob Reiner,0,452,Samantha Mathis,Comedy|Drama|Romance,Shawna Waldron,43027,2668,Wendie Malick,0,lobbyist|president|senator|state dinner|widower,http://www.imdb.com/title/tt0112346/?ref_=fn_tt_tt_1,214,English,USA,62000000,517,2.35
Marco Schnabel,12,645,Romany Malco,Comedy|Romance|Sport,Justin Timberlake,43300,6658,Verne Troyer,6,bloopers during credits|bucket of popcorn|chastity belt|guru|toronto maple leafs,http://www.imdb.com/title/tt0811138/?ref_=fn_tt_tt_1,250,English,USA,62000000,966,2.35
Demian Lichtenstein,11,867,Bokeem Woodbine,Action|Comedy|Crime|Thriller,Jon Lovitz,38076,14536,Ice-T,2,casino|elvis impersonator|gun|heist|rascal,http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1,399,English,USA,42000000,904,2.35
Quentin Tarantino,16000,1000,Jennifer Jason Leigh,Crime|Drama|Mystery|Thriller|Western,Craig Stark,272839,49912,Zoë Bell,1,blizzard|blood vomiting|bounty hunter|murder|shot in the crotch,http://www.imdb.com/title/tt3460252/?ref_=fn_tt_tt_1,1018,English,USA,44000000,1000,2.76
Josh Gordon,8,970,Amy Poehler,Comedy|Sport,Will Ferrell,129995,13232,Jon Heder,2,competition|fight|ice|jock strap|nintendo game boy advance,http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1,246,English,USA,61000000,1000,1.85
Tim Hill,25,439,Elizabeth Perkins,Adventure|Animation|Comedy|Family|Fantasy,Gary Cole,24089,2558,Chelsea Handler,0,drummer|easter|easter bunny|piaggio vespa gtv 250|slacker,http://www.imdb.com/title/tt1411704/?ref_=fn_tt_tt_1,82,English,USA,63000000,664,1.85
Zack Snyder,0,447,Michael Fassbender,Action|Drama|Fantasy|War,Gerard Butler,607235,32360,Vincent Regan,0,battle|epic|greece|spartan|warrior,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1,2073,English,USA,65000000,13000,2.35
Jay Roach,116,708,Blythe Danner,Comedy|Romance,Robert De Niro,211296,24938,Teri Polo,6,bare butt|defecation|father in law son in law relationship|nurse|sexual innuendo in title,http://www.imdb.com/title/tt0290002/?ref_=fn_tt_tt_1,428,English,USA,80000000,713,1.85
David Frankel,64,664,Kathleen Turner,Comedy|Drama|Family,Eric Dane,116681,4811,Haley Bennett,0,box office hit|dog|dog movie|florida|pet name in title,http://www.imdb.com/title/tt0822832/?ref_=fn_tt_tt_1,320,English,USA,60000000,899,2.35
Frank Darabont,0,693,Jeffrey DeMunn,Crime|Drama|Fantasy|Mystery,Tom Hanks,782610,17716,Michael Jeter,0,1930s|death row inmate|healing|prison guard|southern u.s.,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,1377,English,USA,60000000,745,1.85
Walt Becker,12,311,Tichina Arnold,Action|Adventure|Comedy,Jill Hennessy,99989,1412,Drew Sidora,3,biker gang|friend|motorcycle|new mexico|road trip,http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1,255,English,USA,,330,2.35
Mark Dindal,10,397,Fred Willard,Adventure|Animation|Comedy|Family|Sci-Fi,Catherine O'Hara,63912,2252,Amy Sedaris,0,alien invasion|chicken|fish|friend|panic,http://www.imdb.com/title/tt0371606/?ref_=fn_tt_tt_1,251,English,USA,150000000,729,1.85
David Fincher,21000,625,Sela Ward,Crime|Drama|Mystery|Thriller,Patrick Fugit,569841,4348,Emily Ratajkowski,0,based on novel|disappearance|missing person|missing wife|murder suspect,http://www.imdb.com/title/tt2267998/?ref_=fn_tt_tt_1,1127,English,USA,61000000,812,2.35
Doug Liman,218,73,Josh Hamilton,Action|Mystery|Thriller,Matt Damon,407601,13249,Nicky Naudé,1,amnesia|assassin|money|political thriller|three word title,http://www.imdb.com/title/tt0258463/?ref_=fn_tt_tt_1,849,English,USA,60000000,147,2.35
Martin Campbell,258,345,Joe Don Baker,Action|Adventure|Thriller,Izabella Scorupco,199025,1784,Tchéky Karyo,2,agent|cossack|official james bond series|russia|russian,http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1,416,English,UK,58000000,387,2.35
Simon West,165,475,Timothy Hutton,Drama|Mystery|Thriller,Daniel von Bargen,42705,2321,Clarence Williams III,0,army cid|cover up|military|murder|woman in military,http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1,274,English,USA,95000000,501,2.35
Peter Weir,608,576,Noah Emmerich,Comedy|Drama|Sci-Fi,Natascha McElhone,667983,3698,Peter Krause,1,controlled environment|fictional reality show|hidden camera|innocence lost|simulated reality,http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,877,English,USA,60000000,617,1.85
Brenda Chapman,59,145,Aria Noelle Curzon,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,Martin Short,91093,1195,Eden Riegel,2,ancient egypt|hebrew|nudity|pharaoh|title directed by female,http://www.imdb.com/title/tt0120794/?ref_=fn_tt_tt_1,353,English,USA,70000000,263,1.85
Steve Carr,41,522,Lisa Edelstein,Comedy|Family,Anjelica Huston,49486,4050,Jeff Garlin,1,bloopers during credits|breakfast cereal|department store ride|face painting|sponge bob square pants slippers,http://www.imdb.com/title/tt0317303/?ref_=fn_tt_tt_1,116,English,USA,60000000,955,1.85
Baltasar Kormákur,175,459,Patrick Fischler,Action|Comedy|Crime|Drama|Thriller,Denzel Washington,156898,20148,Fred Ward,1,close up of breasts|female nudity|fugitive|money|undercover,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,172,English,USA,61000000,497,2.35
Lawrence Guterman,6,405,Elizabeth Perkins,Action|Comedy|Family|Fantasy,Carol Ann Susi,46031,4171,Miriam Margolyes,0,cartoon on tv|cat|dog|scientist|secret agent,http://www.imdb.com/title/tt0239395/?ref_=fn_tt_tt_1,235,English,USA,60000000,664,1.85
F. Gary Gray,473,82,Charlize Theron,Action|Crime|Thriller,Jason Statham,285623,35084,Jimmy Shubert,6,gold|heist|revenge|traffic jam|venice italy,http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1,497,English,USA,60000000,9000,2.35
Marc Lawrence,30,268,Alicia Witt,Comedy|Romance,Dorian Missick,85673,2636,Dana Ivey,2,developer|divorce|lawyer|love|new york city,http://www.imdb.com/title/tt0313737/?ref_=fn_tt_tt_1,269,English,USA,60000000,976,1.85
Eric Darnell,35,754,Woody Allen,Adventure|Animation|Comedy|Family,Sylvester Stallone,124641,25788,Anne Bancroft,0,ant|friend|princess|soldier|worker,http://www.imdb.com/title/tt0120587/?ref_=fn_tt_tt_1,289,English,USA,105000000,11000,1.85
Peter Billingsley,0,721,Kristin Davis,Comedy,Jon Favreau,83506,8172,Tasha Smith,6,couple|island|marriage|tropical|voyeurism,http://www.imdb.com/title/tt1078940/?ref_=fn_tt_tt_1,144,English,USA,60000000,722,1.85
Tony Scott,12000,695,Robert Duvall,Action|Drama|Sport,Tom Cruise,60476,14006,Randy Quaid,0,driver|hot shot|racing|stock car driver|team,http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1,97,English,USA,60000000,3000,2.35
Adam Shankman,163,2000,Tom Welling,Adventure|Comedy|Family,Taylor Lautner,42737,20348,Alyson Stoner,6,children|competition|rival|second part|vacation,http://www.imdb.com/title/tt0452598/?ref_=fn_tt_tt_1,128,English,USA,60000000,3000,2.35
Wes Ball,47,240,Lili Taylor,Action|Sci-Fi|Thriller,Ki Hong Lee,138246,2517,Rosa Salazar,0,desert|disease|escape|resistance|virus,http://www.imdb.com/title/tt4046784/?ref_=fn_tt_tt_1,360,English,USA,61000000,960,2.35
Ryan Murphy,708,745,Julia Roberts,Drama|Romance,James Franco,63493,20440,Billy Crudup,1,divorce|emotional balance|female protagonist|indonesia|inner peace,http://www.imdb.com/title/tt0879870/?ref_=fn_tt_tt_1,302,English,USA,60000000,8000,1.85
Brett Ratner,420,627,Don Cheadle,Comedy|Drama|Fantasy|Romance,Nicolas Cage,85844,16646,Amber Valletta,1,bowling|christmas|parallel universe|salesman|unfaithfulness,http://www.imdb.com/title/tt0218967/?ref_=fn_tt_tt_1,322,English,USA,60000000,3000,2.35
Robert Schwentke,124,357,Morgan Freeman,Action|Comedy|Crime|Thriller,Bruce Willis,238916,24928,Jaqueline Fleming,4,cia|female assassin|interrogation|office cubicle|spy,http://www.imdb.com/title/tt1245526/?ref_=fn_tt_tt_1,328,English,USA,58000000,11000,2.35
Oliver Stone,0,1000,Dennis Quaid,Drama|Sport,Al Pacino,97047,20761,LL Cool J,5,breasts|coach|football|in medias res|vomiting,http://www.imdb.com/title/tt0146838/?ref_=fn_tt_tt_1,452,English,USA,55000000,2000,2.35
Robert Redford,0,380,Kristin Scott Thomas,Drama|Romance|Western,Scarlett Johansson,32353,20683,Jessalyn Gilsig,0,grace|groom|horse|montana|western u.s.,http://www.imdb.com/title/tt0119314/?ref_=fn_tt_tt_1,263,English,USA,60000000,1000,1.85
Michael Mann,0,680,Jada Pinkett Smith,Crime|Drama|Thriller,Tom Cruise,293662,13581,Debi Mazar,0,city by night|contract killer|driving at night|los angeles california|taxi,http://www.imdb.com/title/tt0369339/?ref_=fn_tt_tt_1,836,English,USA,65000000,851,2.35
Chuck Russell,55,416,Roger Rees,Action|Adventure|Fantasy|Thriller,Dwayne Johnson,102129,14611,Bernard Hill,4,desert|king|showdown|sorceress|warrior,http://www.imdb.com/title/tt0277296/?ref_=fn_tt_tt_1,432,English,USA,60000000,1000,2.35
Jay Russell,13,579,Jay Hernandez,Action|Drama|Thriller,Billy Burke,48753,4496,Jacinda Barrett,2,death of husband|fire|firefighter|funeral|main character dies,http://www.imdb.com/title/tt0349710/?ref_=fn_tt_tt_1,323,English,USA,55000000,1000,1.85
Christopher McQuarrie,188,1000,Robert Duvall,Action|Crime|Mystery|Thriller,Tom Cruise,226570,16385,David Oyelowo,2,coma|mysterious villain|police chase|shooting range|sniper,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,448,English,USA,60000000,3000,2.35
Renny Harlin,212,811,Michael Rapaport,Action|Sci-Fi|Thriller,LL Cool J,99043,3697,Saffron Burrows,1,alzheimer's disease|experiment|human versus shark|research|underwater headquarters,http://www.imdb.com/title/tt0149261/?ref_=fn_tt_tt_1,643,English,USA,60000000,975,2.35
Kenny Ortega,197,6,Mekia Cox,Documentary|Music,Misha Gabriel Hamilton,33158,679,Judith Hill,0,2000s|box office hit|comeback|rehearsal|year 2009,http://www.imdb.com/title/tt1477715/?ref_=fn_tt_tt_1,223,English,USA,60000000,208,1.78
Steven Soderbergh,0,175,Monique Gabriela Curnen,Drama|Thriller,Matt Damon,180479,13634,Griffin Kane,4,contagion|cure|infection|panic|virus,http://www.imdb.com/title/tt1598778/?ref_=fn_tt_tt_1,411,English,USA,60000000,240,1.85
David McNally,18,226,Dyan Cannon,Action|Adventure|Comedy|Crime,Estella Warren,23476,1233,Bill Hunter,0,australia|body paint|kangaroo|mob|money,http://www.imdb.com/title/tt0257568/?ref_=fn_tt_tt_1,181,English,USA,60000000,257,2.35
Henry Selick,253,57,Dawn French,Animation|Family|Fantasy,Jennifer Saunders,143121,647,John Hodgman,1,dream|new home|parallel worlds|scissors|secret door,http://www.imdb.com/title/tt0327597/?ref_=fn_tt_tt_1,279,English,USA,60000000,229,1.85
