duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,language,country,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio
90,4,258,Madison Lintz,,Sandra Ellis Lafferty,After ,3699,0,http://www.imdb.com/title/tt1799508/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,385,5.4,2.35
67,4,2000,Lorraine Ziff,,Matthew Ziff,Treachery ,344,5,http://www.imdb.com/title/tt2380301/?ref_=fn_tt_tt_1,English,USA,,2013,21000,3.9,
94,7,912,Justin Kirk,,Leven Rambin,Walter ,1432,2,http://www.imdb.com/title/tt2016335/?ref_=fn_tt_tt_1,English,USA,,2015,945,5.3,
81,10,23,Edward Everett Horton,3000000,Ginger Rogers,Top Hat ,13269,2,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,English,USA,Approved,1935,172,7.8,1.37
81,19,39,Joshua Leonard,140530114,Heather Donahue,The Blair Witch Project ,186786,0,http://www.imdb.com/title/tt0185937/?ref_=fn_tt_tt_1,English,USA,R,1999,170,6.4,1.33
215,14,136,Jimi Hendrix,13300000,Joe Cocker,Woodstock ,12631,0,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,English,USA,R,1970,227,8.1,2.2
83,644,11,Barry Dennen,,David Zucker,The Kentucky Fried Movie ,13915,0,http://www.imdb.com/title/tt0076257/?ref_=fn_tt_tt_1,English,USA,R,1977,29,6.5,1.85
106,16,254,David A.R. White,171988,Stacy Keach,Mercy Streets ,448,1,http://www.imdb.com/title/tt0243415/?ref_=fn_tt_tt_1,English,USA,PG-13,2000,266,5.6,1.85
103,0,20,Matthew Feeney,23616,Kendyl Joi,Arnolds Park ,94,4,http://www.imdb.com/title/tt1074931/?ref_=fn_tt_tt_1,English,USA,PG-13,2007,20,5.6,1.78
90,4,218,Jason London,13493,William Smith,Broken Vessels ,531,0,http://www.imdb.com/title/tt0149964/?ref_=fn_tt_tt_1,English,USA,R,1998,711,6.6,1.85
88,12,359,Angela Nordeng,79043,Nicholas Gonzalez,Water & Power ,85,0,http://www.imdb.com/title/tt2052015/?ref_=fn_tt_tt_1,English,USA,Not Rated,2013,371,6.3,
105,0,0,Garba Touré,,Aliou Touré,They Will Have to Kill Us First ,74,3,http://www.imdb.com/title/tt4333662/?ref_=fn_tt_tt_1,French,UK,,2015,0,7.7,
115,3,0,Colin Andrews,,Karen Alexander,Crop Circles: Quest for Truth ,204,0,http://www.imdb.com/title/tt0331225/?ref_=fn_tt_tt_1,English,USA,,2002,0,7.0,
90,0,271,Steven Michael Quezada,,Russell Wong,Light from the Darkroom ,6,0,http://www.imdb.com/title/tt3130704/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,412,8.0,
102,12,2,Félix Moati,,François Cluzet,Irreplaceable ,389,2,http://www.imdb.com/title/tt5078326/?ref_=fn_tt_tt_1,French,France,,2016,8,7.2,
98,5,233,Annabella Sciorra,,Paula Garcés,The Maid's Room ,719,0,http://www.imdb.com/title/tt2263814/?ref_=fn_tt_tt_1,English,USA,,2013,448,4.5,
87,44,704,Ringo Starr,515005,Paul McCartney,A Hard Day's Night ,31429,1,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,English,UK,Approved,1964,725,7.7,1.75
80,6,,,2245,,The Harvest/La Cosecha ,57,0,http://www.imdb.com/title/tt1981703/?ref_=fn_tt_tt_1,English,USA,,2011,,7.2,
88,11,221,Sally Kirkland,,Jamie Lee Curtis,Love Letters ,487,1,http://www.imdb.com/title/tt0085871/?ref_=fn_tt_tt_1,English,USA,R,1983,433,6.1,
83,0,0,Spela Colja,,Dario Nozic Serini,Julija in alfa Romeo ,86,6,http://www.imdb.com/title/tt4374230/?ref_=fn_tt_tt_1,Slovenian,Slovenia,,2015,0,6.4,2.35
122,589,150,Ken Bevel,33451479,Kirk Cameron,Fireproof ,17068,0,http://www.imdb.com/title/tt1129423/?ref_=fn_tt_tt_1,English,USA,PG,2008,153,6.5,1.85
115,95,0,Pant Shirt Baba,,Bhole Baba,Faith Connections ,113,1,http://www.imdb.com/title/tt2768766/?ref_=fn_tt_tt_1,Hindi,India,,2013,0,7.0,1.85
86,24,142,Peter Breck,39552600,Frances Bavier,Benji ,3411,0,http://www.imdb.com/title/tt0071206/?ref_=fn_tt_tt_1,English,USA,G,1974,189,6.1,1.85
79,9,7,Saul Stein,30500882,Blanchard Ryan,Open Water ,42256,1,http://www.imdb.com/title/tt0374102/?ref_=fn_tt_tt_1,English,USA,R,2003,10,5.7,1.85
87,490,201,Matt Jones,,Joe Lo Truglio,High Road ,1305,6,http://www.imdb.com/title/tt1692084/?ref_=fn_tt_tt_1,English,USA,R,2011,523,5.4,
97,8,22,Hoke Howell,17000000,Woody Strode,Kingdom of the Spiders ,3274,0,http://www.imdb.com/title/tt0076271/?ref_=fn_tt_tt_1,English,USA,PG,1977,23,5.9,1.85
105,2,0,Eva Carrozza,8044906,Heather Berman,Mad Hot Ballroom ,3156,2,http://www.imdb.com/title/tt0438205/?ref_=fn_tt_tt_1,English,USA,PG,2005,0,7.5,1.85
89,310,587,Joe Lo Truglio,5739376,Peter Dinklage,The Station Agent ,58260,0,http://www.imdb.com/title/tt0340377/?ref_=fn_tt_tt_1,English,USA,R,2003,833,7.7,1.85
120,3,234,Sean Michael Afable,3773863,Randy Wayne,To Save a Life ,4583,1,http://www.imdb.com/title/tt1270286/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,801,7.1,2.35
94,3,2,Bill Clinton,3117666,Ken Burns,Wordplay ,3394,0,http://www.imdb.com/title/tt0492506/?ref_=fn_tt_tt_1,English,USA,PG,2006,184,7.4,1.66
108,6,43,Vince McMahon,2047570,Terry Funk,Beyond the Mat ,6790,3,http://www.imdb.com/title/tt0218043/?ref_=fn_tt_tt_1,English,USA,R,1999,44,7.6,1.85
102,0,15,Lincoln Hoppe,1250798,Kirby Heyborne,The Singles Ward ,1099,0,http://www.imdb.com/title/tt0306069/?ref_=fn_tt_tt_1,English,USA,PG,2002,24,6.4,
83,6,0,Zubaida Sahar,1127331,Marina Golbahari,Osama ,7559,1,http://www.imdb.com/title/tt0368913/?ref_=fn_tt_tt_1,Dari,Afghanistan,PG-13,2003,0,7.4,1.85
93,0,59,Peter Riegert,906666,Rachel Dratch,Sholem Aleichem: Laughing in the Darkness ,154,1,http://www.imdb.com/title/tt1976608/?ref_=fn_tt_tt_1,English,USA,Unrated,2011,169,6.8,16.0
86,7,17,Ari Gold,1114943,Rachel True,Groove ,3562,0,http://www.imdb.com/title/tt0212974/?ref_=fn_tt_tt_1,English,USA,R,2000,27,6.5,1.85
101,0,17,Big Budah,1111615,Kirby Heyborne,The R.M. ,651,0,http://www.imdb.com/title/tt0341540/?ref_=fn_tt_tt_1,English,USA,PG,2003,34,6.0,
111,35,482,William Katt,985341,Sasha Alexander,Twin Falls Idaho ,3479,0,http://www.imdb.com/title/tt0162830/?ref_=fn_tt_tt_1,English,USA,R,1999,505,7.3,1.85
90,9,595,Scott Mechlowicz,603943,Rory Culkin,Mean Creek ,26407,0,http://www.imdb.com/title/tt0377091/?ref_=fn_tt_tt_1,English,USA,R,2004,634,7.3,1.85
86,204,474,Heather Matarazzo,334041,Edie Falco,Hurricane Streets ,1038,3,http://www.imdb.com/title/tt0119338/?ref_=fn_tt_tt_1,English,USA,R,1997,529,6.5,1.85
98,71,658,Bill Duke,295468,Peter Dinklage,Never Again ,709,1,http://www.imdb.com/title/tt0244094/?ref_=fn_tt_tt_1,English,USA,R,2001,1000,6.0,1.85
91,21,469,LisaRaye McCoy,243347,Monica Calhoun,Civil Brand ,553,3,http://www.imdb.com/title/tt0326806/?ref_=fn_tt_tt_1,English,USA,R,2002,485,5.3,1.85
91,12000,213,Seymour Cassel,154077,Kevin Corrigan,Lonesome Jim ,6884,0,http://www.imdb.com/title/tt0385056/?ref_=fn_tt_tt_1,English,USA,R,2005,327,6.6,1.85
90,217,243,Anna Kendrick,342936,Olivia Wilde,Drinking Buddies ,45928,5,http://www.imdb.com/title/tt2265398/?ref_=fn_tt_tt_1,English,USA,R,2013,10000,6.1,2.35
88,0,49,Ricky Jay,151389,David Mamet,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,774,0,http://www.imdb.com/title/tt2654360/?ref_=fn_tt_tt_1,English,USA,,2012,79,7.1,
202,0,4,Minoru Chiaki,269061,Takashi Shimura,Seven Samurai ,229012,6,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,Japanese,Japan,Unrated,1954,8,8.7,1.37
89,6,8,Greg Speirs,133778,Tommy Sheppard,The Other Dream Team ,3086,1,http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1,English,USA,Not Rated,2012,9,8.4,
97,32,329,Tina Louise,,Brad Pitt,Johnny Suede ,3013,0,http://www.imdb.com/title/tt0104567/?ref_=fn_tt_tt_1,English,Switzerland,R,1991,422,5.8,1.85
84,681,143,Jake Sandvig,52850,Monique Gabriela Curnen,Finishing the Game: The Search for a New Bruce Lee ,1656,0,http://www.imdb.com/title/tt0843850/?ref_=fn_tt_tt_1,English,USA,Not Rated,2007,172,6.2,1.85
82,248,196,Jack Plotnick,98017,Haley Ramm,Rubber ,26185,0,http://www.imdb.com/title/tt1612774/?ref_=fn_tt_tt_1,English,France,R,2010,248,5.8,1.85
94,12,183,Matt Jones,177343675,Jim Parsons,Home ,70136,0,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,English,USA,PG,2015,523,6.7,1.85
100,6,325,Amber Benson,31937,Tori Spelling,Kiss the Bride ,1358,3,http://www.imdb.com/title/tt0893346/?ref_=fn_tt_tt_1,English,USA,R,2007,326,5.7,1.85
112,12,699,Clea DuVall,13134,Ryan Gosling,The Slaughter Rule ,2004,2,http://www.imdb.com/title/tt0266971/?ref_=fn_tt_tt_1,English,USA,R,2002,1000,6.1,2.35
94,380,113,Whitney Able,237301,Scoot McNairy,Monsters ,75669,0,http://www.imdb.com/title/tt1470827/?ref_=fn_tt_tt_1,English,UK,R,2010,280,6.4,2.35
87,0,347,Joanne Whalley,,Keith Carradine,The Californians ,299,3,http://www.imdb.com/title/tt0377043/?ref_=fn_tt_tt_1,English,USA,PG,2005,507,5.0,1.85
91,0,170,Ann Dowd,12055,Jim Gaffigan,The Living Wake ,739,2,http://www.imdb.com/title/tt0489212/?ref_=fn_tt_tt_1,English,USA,PG-13,2007,185,6.5,
87,38,445,Christa B. Allen,1332,Justin Chon,Detention of the Dead ,2038,6,http://www.imdb.com/title/tt1865346/?ref_=fn_tt_tt_1,English,USA,Not Rated,2012,533,4.6,2.35
98,0,0,Zheng Xu,,Bo Huang,Crazy Stone ,2097,1,http://www.imdb.com/title/tt0843270/?ref_=fn_tt_tt_1,Mandarin,China,,2006,4,7.7,2.35
95,3,25,Jacques Brel,,Brian Eno,Scott Walker: 30 Century Man ,1006,0,http://www.imdb.com/title/tt0486541/?ref_=fn_tt_tt_1,English,UK,,2006,27,7.3,1.85
87,395,637,Alan Ruck,,Radha Mitchell,Everything Put Together ,601,0,http://www.imdb.com/title/tt0228277/?ref_=fn_tt_tt_1,English,USA,R,2000,946,6.6,1.85
102,487,118,Zoë Kravitz,316842,Bruce Greenwood,Good Kill ,15756,0,http://www.imdb.com/title/tt3297330/?ref_=fn_tt_tt_1,English,USA,R,2014,943,6.4,2.35
127,2,0,Rai Alexandra,,Daston Kalili,Insomnia Manica ,16,0,http://www.imdb.com/title/tt0455556/?ref_=fn_tt_tt_1,English,USA,,2005,0,5.8,1.33
96,3,205,Bruce Vilanch,,Carol Channing,The Outrageous Sophie Tucker ,38,1,http://www.imdb.com/title/tt2825768/?ref_=fn_tt_tt_1,English,USA,,2014,244,7.2,1.33
103,21,680,Olivia Williams,,Jeremy Irvine,Now Is Good ,26863,3,http://www.imdb.com/title/tt1937264/?ref_=fn_tt_tt_1,English,UK,PG-13,2012,766,7.2,2.35
104,32,238,John McGlothlin,,Vincent Chimato,Girls Gone Dead ,2012,2,http://www.imdb.com/title/tt1884318/?ref_=fn_tt_tt_1,English,USA,R,2012,492,3.5,2.35
90,0,569,Dylan Baker,,Emma Caulfield,America Is Still the Place ,22,0,http://www.imdb.com/title/tt3417110/?ref_=fn_tt_tt_1,English,USA,,2015,812,7.5,
122,406,152,Tim Abell,,Mike Beckingham,Subconscious ,292,0,http://www.imdb.com/title/tt2909932/?ref_=fn_tt_tt_1,English,USA,R,2015,317,2.2,
93,33,135,Katherine Boecher,37188667,Britney Spears,Crossroads ,34219,1,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,English,USA,PG-13,2002,188,3.3,1.85
90,0,120,Katherine Waterston,,Shaun Sipos,Enter Nowhere ,5025,3,http://www.imdb.com/title/tt1631707/?ref_=fn_tt_tt_1,English,USA,R,2011,178,6.6,
101,0,15,Christian Alvarez,,Manny Perez,The King of Najayo ,197,1,http://www.imdb.com/title/tt2275671/?ref_=fn_tt_tt_1,Spanish,Dominican Republic,R,2012,15,6.9,16.0
94,0,212,Randy Jay Burrell,,Jennifer Hale,Fight to the Finish ,60,0,http://www.imdb.com/title/tt3152288/?ref_=fn_tt_tt_1,English,USA,PG-13,2016,402,4.0,
97,163,303,Barry Bostwick,,Paul Sorvino,Alleluia! The Devil's Carnival ,259,5,http://www.imdb.com/title/tt3892618/?ref_=fn_tt_tt_1,English,USA,,2016,456,7.4,1.78
90,0,33,Jennifer Landa,,Mary Kate Wiles,The Sound and the Shadow ,30,0,http://www.imdb.com/title/tt2190180/?ref_=fn_tt_tt_1,English,USA,R,2014,41,8.3,
108,431,317,Joel Paul Reisig,,Carrie Bradstreet,Rodeo Girl ,62,2,http://www.imdb.com/title/tt4062896/?ref_=fn_tt_tt_1,English,USA,PG,2016,431,5.7,
82,0,0,Sarah Callan,21199,Elizabeth Streb,Born to Fly: Elizabeth Streb vs. Gravity ,40,1,http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1,English,USA,,2014,0,6.8,
84,0,53,Jeff Delaney,,Mike Stanley,The Little Ponderosa Zoo ,15,2,http://www.imdb.com/title/tt3846442/?ref_=fn_tt_tt_1,English,USA,,2016,169,5.2,16.0
130,0,11000,Mila Kunis,234903076,Tim Holmes,Oz the Great and Powerful ,175413,4,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,English,USA,PG,2013,15000,6.4,2.35
91,6,10,Mark Torgl,,Patrick Kilpatrick,The Toxic Avenger ,19253,0,http://www.imdb.com/title/tt0090190/?ref_=fn_tt_tt_1,English,USA,Unrated,1984,11,6.2,1.85
91,10,10,George T. Odom,2712293,Lawrence Gilliard Jr.,Straight Out of Brooklyn ,475,4,http://www.imdb.com/title/tt0102989/?ref_=fn_tt_tt_1,English,USA,R,1991,12,5.9,1.85
107,521,80,Nicholas Farrell,768045,James Nesbitt,Bloody Sunday ,19732,0,http://www.imdb.com/title/tt0280491/?ref_=fn_tt_tt_1,English,UK,R,2002,89,7.7,1.85
82,5,237,Dennis L.A. White,,Luis Sanchez,Diamond Ruff ,53,6,http://www.imdb.com/title/tt2111292/?ref_=fn_tt_tt_1,English,USA,R,2015,251,4.3,
84,3,446,Thomas Lennon,379122,Olivia Wilde,Conversations with Other Women ,10143,0,http://www.imdb.com/title/tt0435623/?ref_=fn_tt_tt_1,English,UK,R,2005,651,7.1,2.39
103,365,49,Lloyd Kaufman,23000,John Karyus,Poultrygeist: Night of the Chicken Dead ,5931,0,http://www.imdb.com/title/tt0462485/?ref_=fn_tt_tt_1,English,USA,Unrated,2006,365,6.2,1.85
86,0,304,Cheyenne Jackson,,Jennifer Lafleur,Mutual Friends ,64,1,http://www.imdb.com/title/tt2112209/?ref_=fn_tt_tt_1,English,USA,,2013,469,6.8,
89,24,45,Dick Powell,2300000,Ginger Rogers,42nd Street ,7921,2,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,English,USA,Unrated,1933,105,7.7,1.37
52,0,0,Jack Canfield,,Bob Proctor,Rise of the Entrepreneur: The Search for a Better Way ,78,0,http://www.imdb.com/title/tt4273494/?ref_=fn_tt_tt_1,English,USA,G,2014,2,8.2,
98,89,3,Taylor Nichols,2938208,Chris Eigeman,Metropolitan ,7143,1,http://www.imdb.com/title/tt0100142/?ref_=fn_tt_tt_1,English,USA,PG-13,1990,74,7.5,1.66
133,10,19,Frida Hallgren,9910,Michael Nyqvist,As It Is in Heaven ,13543,15,http://www.imdb.com/title/tt0382330/?ref_=fn_tt_tt_1,Swedish,Sweden,,2004,24,7.6,1.85
81,15,93,Ace Marrero,,Jack E. Curenton,Roadside ,268,0,http://www.imdb.com/title/tt1958007/?ref_=fn_tt_tt_1,English,USA,,2013,94,4.1,16.0
92,100,482,Diedrich Bader,44540956,Jon Heder,Napoleon Dynamite ,161448,0,http://www.imdb.com/title/tt0374900/?ref_=fn_tt_tt_1,English,USA,PG,2004,759,6.9,1.85
90,57,92,Eve Plumb,258113,Devin Ratray,Blue Ruin ,42678,0,http://www.imdb.com/title/tt2359024/?ref_=fn_tt_tt_1,English,USA,R,2013,235,7.1,2.35
84,110,21,Ashley Palmer,107917283,Micah Sloat,Paranormal Activity ,184824,0,http://www.imdb.com/title/tt1179904/?ref_=fn_tt_tt_1,English,USA,R,2007,109,6.3,1.85
91,147,5,Jay Adams,1293295,Tony Alva,Dogtown and Z-Boys ,10366,0,http://www.imdb.com/title/tt0275309/?ref_=fn_tt_tt_1,English,USA,PG-13,2001,20,7.7,1.37
91,0,332,Michael Palin,1229197,Eric Idle,Monty Python and the Holy Grail ,382240,0,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,English,UK,PG,1975,561,8.3,1.66
90,25,138,Jesse Garcia,1689999,Emily Rios,Quinceañera ,3675,1,http://www.imdb.com/title/tt0451176/?ref_=fn_tt_tt_1,Spanish,USA,R,2006,200,7.1,2.35
96,14,6,Sue Corcoran,11798,Tony Doupe,Gory Gory Hallelujah ,179,2,http://www.imdb.com/title/tt0396041/?ref_=fn_tt_tt_1,English,USA,,2003,14,4.7,1.78
60,,833,Masi Oka,,Sendhil Ramamurthy,Heroes             ,202115,4,http://www.imdb.com/title/tt0813715/?ref_=fn_tt_tt_1,English,USA,TV-14,,923,7.7,16.0
88,20,0,Jonathan Caouette,592014,Greg Ayres,Tarnation ,5709,3,http://www.imdb.com/title/tt0390538/?ref_=fn_tt_tt_1,English,USA,Unrated,2003,20,7.2,1.37
92,4,12,Chris Cox,425899,Bill Farmer,I Want Your Money ,1123,0,http://www.imdb.com/title/tt1560957/?ref_=fn_tt_tt_1,English,USA,PG,2010,31,5.1,1.78
97,0,271,Paul Elia,,Kane Hodder,Love in the Time of Monsters ,143,3,http://www.imdb.com/title/tt2403415/?ref_=fn_tt_tt_1,English,USA,,2014,709,5.4,
82,385,22,David Warbeck,126387,Catriona MacColl,The Beyond ,14985,0,http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1,Italian,Italy,X,1981,22,6.9,2.35
22,,6,Ron Lynch,,Brendon Small,Home Movies             ,7458,0,http://www.imdb.com/title/tt0197159/?ref_=fn_tt_tt_1,English,USA,TV-PG,,11,8.2,1.33
101,12,149,Andrew Daly,80276912,Treat Williams,What Happens in Vegas ,140740,2,http://www.imdb.com/title/tt1033643/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,171,6.1,2.35
80,3,39,Jeff Seymour,,Dov Tiefenbach,The Dark Hours ,4788,0,http://www.imdb.com/title/tt0402249/?ref_=fn_tt_tt_1,English,Canada,R,2005,64,6.1,1.85
97,350,33,Roshan Seth,,Saeed Jaffrey,My Beautiful Laundrette ,10577,1,http://www.imdb.com/title/tt0091578/?ref_=fn_tt_tt_1,English,UK,R,1985,61,6.9,1.66
84,0,36,Adam LeFevre,25918,R. Brandon Johnson,Fabled ,191,0,http://www.imdb.com/title/tt0299863/?ref_=fn_tt_tt_1,English,USA,R,2002,80,5.8,1.78
97,0,83,Michelle Nolden,,Katharine Isabelle,Show Me ,369,0,http://www.imdb.com/title/tt0414510/?ref_=fn_tt_tt_1,French,Canada,R,2004,100,6.0,1.78
91,0,92,Ingrid Thulin,,Liv Ullmann,Cries & Whispers ,19964,0,http://www.imdb.com/title/tt0069467/?ref_=fn_tt_tt_1,Swedish,Sweden,R,1972,132,8.2,1.66
123,204,9,Mae Marsh,,Lillian Gish,Intolerance: Love's Struggle Throughout the Ages ,10718,1,http://www.imdb.com/title/tt0006864/?ref_=fn_tt_tt_1,,USA,Not Rated,1916,22,8.0,1.33
86,3,513,DeForest Kelley,617172,Walter Koenig,Trekkies ,4407,1,http://www.imdb.com/title/tt0120370/?ref_=fn_tt_tt_1,English,USA,PG,1997,606,7.0,
100,4,4,Bessie Love,2808000,Anita Page,The Broadway Melody ,4546,8,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,English,USA,Passed,1929,28,6.3,1.37
96,0,58,Betsy Baker,,Ted Raimi,The Evil Dead ,141219,0,http://www.imdb.com/title/tt0083907/?ref_=fn_tt_tt_1,English,USA,NC-17,1981,66,7.6,1.37
89,33,118,Nora Arnezeder,12843,America Olivo,Maniac ,27297,0,http://www.imdb.com/title/tt2103217/?ref_=fn_tt_tt_1,English,France,Not Rated,2012,378,6.1,2.35
84,0,,,34151,Amos Oz,Censored Voices ,186,0,http://www.imdb.com/title/tt3457376/?ref_=fn_tt_tt_1,Hebrew,Israel,,2015,,7.2,1.78
88,30,0,Joe Bishop,1523883,Mark Zupan,Murderball ,9037,1,http://www.imdb.com/title/tt0436613/?ref_=fn_tt_tt_1,English,USA,R,2005,0,7.8,1.85
90,44,93,Steve James,4000000,Michael Dudikoff,American Ninja 2: The Confrontation ,6046,0,http://www.imdb.com/title/tt0092548/?ref_=fn_tt_tt_1,English,USA,R,1987,96,4.7,1.85
90,0,0,Ellen Block,84689,Carol Block,51 Birch Street ,695,2,http://www.imdb.com/title/tt0468442/?ref_=fn_tt_tt_1,English,Germany,Unrated,2005,0,7.5,
43,,576,Tracy Spiridakos,,Billy Burke,Revolution             ,72017,6,http://www.imdb.com/title/tt2070791/?ref_=fn_tt_tt_1,English,USA,TV-14,,821,6.7,16.0
98,0,0,Natalie Welch,,Tom E. Nicholson,Rotor DR1 ,209,2,http://www.imdb.com/title/tt4162992/?ref_=fn_tt_tt_1,English,USA,,2015,3,3.4,2.35
101,0,598,Donald Pleasence,47000000,Jamie Lee Curtis,Halloween ,157863,0,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,English,USA,R,1978,742,7.9,2.35
96,0,253,Lee J. Cobb,,Jack Warden,12 Angry Men ,447785,1,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,English,USA,Not Rated,1957,259,8.9,1.66
83,3,258,Peter Gerety,246574,Isabella Rossellini,My Dog Tulip ,1272,0,http://www.imdb.com/title/tt0843358/?ref_=fn_tt_tt_1,English,USA,,2009,277,6.9,1.85
65,964,21,Alan Hale,,Claudette Colbert,It Happened One Night ,64888,1,http://www.imdb.com/title/tt0025316/?ref_=fn_tt_tt_1,English,USA,Unrated,1934,114,8.2,1.37
94,252,14,Mary Tsoni,110197,Angeliki Papoulia,Dogtooth ,44864,0,http://www.imdb.com/title/tt1379182/?ref_=fn_tt_tt_1,Greek,Greece,Unrated,2009,37,7.3,2.35
112,2,321,Gary Coleman,7707563,James Cagney,Tupac: Resurrection ,7687,0,http://www.imdb.com/title/tt0343121/?ref_=fn_tt_tt_1,English,USA,R,2003,633,8.0,1.85
102,149,276,Janet McTeer,1281176,Kimberly J. Brown,Tumbleweeds ,2932,1,http://www.imdb.com/title/tt0161023/?ref_=fn_tt_tt_1,English,USA,PG-13,1999,277,6.7,1.85
98,10,912,Adam Goldberg,16115878,Viggo Mortensen,The Prophecy ,24438,0,http://www.imdb.com/title/tt0114194/?ref_=fn_tt_tt_1,English,USA,R,1995,1000,6.6,2.35
91,82,8,Zinedine Soualem,1652472,Simon Abkarian,When the Cat's Away ,2843,7,http://www.imdb.com/title/tt0115856/?ref_=fn_tt_tt_1,French,France,R,1996,9,6.9,1.66
80,54,543,Adrian Martinez,2360184,Oliver Platt,Pieces of April ,18035,3,http://www.imdb.com/title/tt0311648/?ref_=fn_tt_tt_1,English,USA,PG-13,2003,806,7.1,1.85
114,7,2,Mark Caven,,Kevin Howarth,The Big Swap ,270,0,http://www.imdb.com/title/tt0118717/?ref_=fn_tt_tt_1,English,UK,,1998,16,5.6,1.33
76,129,26,Lucy,255352,Daniel London,Old Joy ,4423,2,http://www.imdb.com/title/tt0468526/?ref_=fn_tt_tt_1,English,USA,Unrated,2006,44,6.7,1.66
80,129,26,Lucy,856942,John Robinson,Wendy and Lucy ,12241,1,http://www.imdb.com/title/tt1152850/?ref_=fn_tt_tt_1,English,USA,R,2008,44,7.1,1.85
88,5,301,Edie Falco,,Embeth Davidtz,3 Backyards ,554,0,http://www.imdb.com/title/tt1314190/?ref_=fn_tt_tt_1,English,USA,R,2010,659,5.2,
110,0,0,Anna Karina,,Jean-Paul Belmondo,Pierrot le Fou ,19386,1,http://www.imdb.com/title/tt0059592/?ref_=fn_tt_tt_1,French,France,Not Rated,1965,257,7.7,2.35
104,0,,Beatrice Ntuba,32631,Vera Ngassa,Sisters in Law ,291,1,http://www.imdb.com/title/tt0474361/?ref_=fn_tt_tt_1,English,Cameroon,Not Rated,2005,0,7.5,
