director_facebook_likes,genres,facenumber_in_poster,country,title_year
5,Adventure|Animation|Comedy|Family,0,USA,2006
23,Adventure|Comedy|Family|Fantasy|Romance|Sport,1,USA,2005
39,Crime|Drama|Mystery|Thriller,0,USA,2001
75,Action|Fantasy|Horror,2,Germany,2013
213,Drama|Thriller,0,USA,2002
154,Action|Adventure|Sci-Fi|Thriller,1,USA,2011
79,Drama|Thriller,0,USA,2005
0,Action|Drama|Thriller|War,0,USA,2016
34,Adventure|Animation|Comedy|Family|Fantasy|Romance,1,USA,2014
12,Crime|Thriller,1,USA,2006
16000,Action|Crime|Drama|Thriller,0,USA,1997
0,Action|Drama|War,1,USA,1997
21000,Drama|Mystery|Thriller,1,USA,1997
50,Adventure|Horror|Mystery,0,Canada,2006
41,Comedy|Sport,1,USA,2000
22,Comedy,7,USA,2012
473,Action|Crime|Drama|Mystery|Thriller,2,Germany,1998
77,Action|Thriller,0,USA,2014
644,Action|Comedy|Crime|Thriller,1,USA,1994
287,Comedy|Fantasy|Horror,0,USA,1990
71,Crime|Drama,1,USA,2014
75,Action|Thriller,2,USA,1997
38,Action|Horror|Sci-Fi|Thriller,1,Germany,2004
17,Comedy|Drama|Romance,1,UK,2004
73,Crime|Drama|Romance|Thriller,3,USA,2003
0,Action|Adventure|Thriller,1,USA,1994
0,Action|Adventure|Family|Fantasy,1,USA,2005
0,Adventure|Drama|Thriller,0,USA,2000
0,Comedy|Drama|Romance,1,USA,2004
160,Action|Crime|Thriller,0,USA,2009
0,Drama|Romance|Sport,0,USA,1999
,Crime|Drama|Mystery,1,UK,
31,Comedy|Crime|Drama|Thriller,1,USA,1996
9,Comedy|Family,0,USA,2010
16000,Drama|Fantasy,0,USA,2010
58,Crime|Mystery|Thriller,0,USA,2002
503,Action|Crime|Thriller,0,France,1995
73,Crime|Drama|Thriller,0,UK,2007
0,Comedy|Drama|Romance,1,USA,1999
487,Action|Adventure|Romance|Sci-Fi|Thriller,3,USA,2013
323,Action|Crime|Drama|Mystery|Thriller,0,Germany,2003
16000,Action|Crime|Drama|Mystery|Thriller,1,USA,2002
670,Action|Crime|Drama|Mystery|Thriller,0,USA,2009
0,Action|Adventure|Sci-Fi|Thriller,0,USA,1996
,Drama|Mystery|Thriller,2,USA,
663,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,1,USA,1999
0,Adventure|Comedy|Drama,8,USA,2004
378,Action|Biography|Drama|History|War,1,USA,2016
317,Crime|Drama|Thriller,0,USA,2003
65,Action|Comedy,5,USA,2005
174,Action|Crime|Drama|Thriller,2,USA,2015
0,Crime|Mystery|Thriller,1,USA,2007
134,Action|Adventure|Crime|Thriller,3,USA,2005
0,Adventure|Biography|Drama|History|War,0,France,1999
234,Adventure|Comedy|Fantasy,3,USA,2011
260,Drama|Mystery|Thriller,0,USA,2011
333,Crime|Drama|Thriller,2,USA,1997
32,Adventure|Comedy|Crime|Drama|Family,1,USA,1994
596,Drama|Romance,1,USA,1995
218,Biography|Drama|Thriller,2,USA,2010
,Action|Drama|Sci-Fi,3,USA,
12000,Action|Biography|Crime|Drama|Thriller,0,France,2005
607,Crime|Drama|Thriller,0,USA,1995
83,Action|Sci-Fi|Thriller,1,USA,2009
98,Drama|Fantasy|Romance,7,USA,2013
0,Comedy|Crime|Drama|Thriller,2,UK,2002
0,Comedy,4,USA,2016
5,Comedy|Crime,5,USA,2004
0,Comedy|Sci-Fi,0,USA,2000
71,Action|Fantasy|Thriller,1,USA,2011
43,Action|Crime|Drama|Mystery|Thriller,2,Canada,2009
70,Action|Sci-Fi|Thriller,1,USA,2001
,Drama|Romance|Sci-Fi,8,USA,
212,Action|Adventure|Comedy|Crime|Music|Mystery,5,USA,1990
628,Comedy|Drama|Music,2,UK,2009
0,Crime|Drama|Thriller,0,USA,2000
14000,Action|Adventure|Fantasy,5,USA,1989
456,Drama|Romance,1,UK,2012
662,Action|Crime|Drama|Sci-Fi|Thriller,0,USA,2015
176,Crime|Drama|Mystery|Thriller,2,USA,1999
21000,Crime|Drama|Thriller,0,USA,2002
42,Horror|Thriller,0,USA,2006
737,Action|Adventure|Comedy|Drama|War,1,USA,1999
79,Crime|Drama|Thriller,3,Czech Republic,2015
109,Adventure|Comedy,8,Canada,2001
34,Drama|Mystery|Sci-Fi,1,USA,2001
446,Comedy|Fantasy|Romance,1,USA,2001
11000,Comedy|Fantasy|Romance,2,USA,2000
0,Crime|Drama|Music,1,USA,1984
446,Adventure|Crime|Drama|Western,1,USA,2007
118,Action|Thriller,0,France,2014
0,Crime|Drama|Romance|Thriller,1,USA,1998
0,Comedy|Drama|Thriller,1,USA,1996
375,Drama|Romance|War,0,India,1998
631,Action|Comedy|Crime|Music|Romance|Thriller,1,USA,1990
323,Crime|Romance|Thriller,0,USA,1999
545,Biography|Comedy|Drama,1,USA,2001
270,Action|Adventure|Drama,1,USA,1982
0,Drama|Mystery|Sci-Fi,0,Soviet Union,1972
0,Adventure|Animation|Comedy|Family|Fantasy,3,USA,2006
350,Drama|Horror|Romance|Thriller,1,USA,1996
29,Comedy|Romance,1,USA,1997
148,Comedy|Romance,4,USA,2001
22000,Drama|Mystery|Thriller,0,USA,2002
906,Action|Adventure|Drama|Sci-Fi|Thriller,2,USA,1996
39,Action|Drama|Fantasy|Thriller|Western,1,USA,2010
380,Action|Drama|Mystery|Thriller|War,1,USA,1996
293,Comedy|Fantasy|Romance,1,USA,1997
65,Biography|Crime|Drama|Thriller,1,UK,2016
92,Drama|History|War,1,South Korea,1981
32,Comedy|Family|Fantasy,2,USA,1994
118,Action|Crime|Thriller,0,France,2012
119,Comedy,7,USA,2003
80,Action|Comedy|Crime|Romance,1,USA,2000
40,Action|Adventure|Family|Fantasy|Sci-Fi,0,USA,2008
0,Comedy|Family|Romance,2,USA,2004
79,Crime|Drama|Mystery|Thriller,0,USA,1993
541,Crime|Drama|Mystery|Thriller,3,USA,1994
0,Adventure|Comedy|Drama,1,USA,2007
176,Action|Thriller,1,USA,1992
126,Comedy|Romance,0,Germany,2005
777,Crime|Drama|Mystery|Thriller,2,USA,2013
845,Crime|Drama|Thriller,2,USA,2001
23,Adventure|Comedy|Sci-Fi,3,USA,1999
322,Comedy,7,USA,2001
33,Adventure|Comedy|Family|Musical,3,USA,2011
45,Action|Horror,1,USA,1998
49,Drama|Sport,0,USA,2005
50,Drama|Thriller,0,USA,2002
49,Action|Adventure|Horror|Thriller,0,USA,1997
18,Comedy|Drama|Music|Romance,5,USA,2000
628,Comedy|Drama|Romance,9,UK,2003
487,Adventure|Animation|Comedy|Family|Fantasy,0,USA,1998
117,Horror|Mystery|Thriller,1,USA,2001
49,Action|Crime|Drama|Romance|Thriller,2,Peru,1994
41,Comedy|Drama|Romance|Sport,0,USA,1996
5,Comedy|Family,0,USA,1968
58,Comedy|Family|Romance|Sport,1,USA,2005
37,Adventure|Comedy|Sci-Fi,0,USA,2005
38,Comedy|Family|Fantasy|Romance,1,USA,2004
85,Action|Horror|Sci-Fi|Thriller,1,France,2007
153,Comedy|Romance,0,USA,2014
61,Adventure|Comedy|Drama,1,USA,2006
161,Action|Adventure|Crime|Thriller,1,USA,1994
0,Drama|Family|Fantasy,1,USA,1995
0,Crime|Drama|Thriller,4,USA,2012
160,Action|Crime|Thriller,1,USA,2004
29,Action|Adventure|Comedy,1,UK,2003
8,Adventure|Animation|Comedy|Family|Fantasy,1,USA,2006
0,Action|Adventure|Sci-Fi,3,USA,1984
278,Drama|Fantasy|Musical|Romance,0,USA,2007
0,Drama|Romance,0,USA,2008
503,Action|Crime|Drama|Thriller,2,Germany,2006
326,Action|Adventure|Sci-Fi|Thriller,0,France,2008
29,Action|Comedy|Crime|Drama|Thriller,1,USA,1996
11000,Comedy|Romance|Sci-Fi,0,USA,1996
13,Adventure|Comedy|Family|Fantasy|Sci-Fi,3,USA,2009
0,Crime|Drama|Mystery|Thriller,0,USA,2001
38,Comedy|Musical,3,USA,2005
38,Action|Sci-Fi,0,UK,2012
23,Action|Adventure|Comedy|Fantasy,0,Australia,1996
0,Drama|Romance|Western,2,USA,2000
0,Biography|Drama|History,0,USA,1995
2000,Mystery|Thriller,2,France,2010
208,Action|Adventure|Horror|Sci-Fi,0,USA,1998
0,Action|Crime|Drama|Thriller|War,0,USA,2008
611,Drama|Romance,2,China,2006
15,Action|Crime|Thriller,1,USA,2008
188,Comedy|Crime|Thriller,2,USA,2002
179,Drama|Romance,0,USA,2007
,Drama|Fantasy|Horror|Mystery,9,France,
170,Action|Thriller,2,USA,1997
32,Action|Adventure|Comedy|Crime,1,USA,2011
11,Action|Animation|Comedy|Family|Fantasy,0,USA,2012
0,Biography|Drama|History|Thriller,1,USA,2012
99,Action|Adventure|Crime|Drama|Mystery|Thriller,1,USA,1993
72,Action|Comedy|Romance,1,USA,2010
272,Crime|Drama|Thriller,3,USA,1996
170,Action|Adventure|Thriller|War,0,USA,1985
13,Drama|Thriller,1,USA,1996
3,Animation|Family|Fantasy|Musical,0,USA,1940
517,Adventure|Drama|Western,0,USA,1980
235,Action|Adventure|Fantasy|Sci-Fi|Thriller,1,USA,2006
118,Drama|Horror|Sci-Fi|Thriller,2,USA,2015
835,Drama,1,USA,2000
84,Comedy|Drama,1,USA,2000
255,Action|Crime|Drama|Thriller,1,France,2005
16,Comedy|Romance,3,USA,2002
521,Drama|Mystery|Thriller,0,USA,1993
23,Drama|Fantasy|Romance,1,USA,2010
165,Action|Crime|Thriller,0,USA,2011
97,Action|Comedy|Crime,2,USA,2012
50,Comedy|Drama|Romance,1,UK,1999
91,Adventure|Animation|Comedy|Drama|Family,0,UK,2000
29,Comedy|Romance,1,USA,2004
71,Comedy|Drama|Romance,1,USA,1992
176,Action|Comedy|Crime,7,USA,2013
311,Biography|Drama|History|Romance,2,UK,1963
153,Action|Comedy|Sport,2,USA,2012
73,Crime|Drama|Mystery|Thriller,1,USA,2002
0,Comedy|Drama|Romance,0,USA,1996
89,Drama|Horror|Mystery|Thriller,0,USA,2002
