actor_1_name,budget
Michael Emerson,1200000
Geoffrey Arend,1200000
Zuhair Haddad,1300000
Ximena Ayala,1300000
Keanu Reeves,80000000
Naseeruddin Shah,7000000
Matthew Broderick,1200000
Jerry Mathers,1200000
Bruce Willis,27000000
Natasha Lyonne,1200000
Vivica A. Fox,1200000
Quentin Tarantino,1200000
Spring Byington,
Clint Eastwood,1200000
Alex Huszar,4000000
Jason Marsden,1200000
Lemmy,1200000
,1200000
Robin Williams,1200000
Déborah Révy,1500000
Nataniel Sánchez,1200000
Marley Shelton,
Rich Ceraulo,
Errol Flynn,1200000
Michael Berryman,1200000
Christie Burke,1200000
Alanna Ubach,2600000
Redd Foxx,1200000
William McNamara,1200000
Seregon O'Dassey,1200000
Ryan Reynolds,3000000
Paddy Considine,695393
Richard Cawthorne,
Terry Kiser,1100000
,
Sarah Murphy-Dyson,1600000
Sean Cameron Michael,10000000
Chris Gauthier,1100000
Iko Uwais,1100000
Johnny Pacar,1100000
Piero Maggiò,1100000
Humphrey Bogart,950000
Talia Zucker,1400000
Ranbir Kapoor,
Bruce Dern,1000000
Sylvester Stallone,960000
Christopher Abbott,1100000
Jamie Lee Curtis,1000000
Albert Finney,1000000
Shelley Hennig,1000000
Robert De Niro,1300000
Patrick Macnee,1000000
Ursula Andress,1100000
Jesse McCartney,1000000
Andrew Robinson,1000000
Benjamin A. Onyango,5000000
Julian Morris,1000000
Hiroshi Abe,1000000000
Ryan Gosling,3500000
Kevin Zegers,1000000
Fernanda Andrade,1000000
Charles Napier,900000
James Drury,1000000
Billy West,
James Brown,1000000
Mick Jagger,
Daryl Sabara,6000000
Juliet Stevenson,1100000
W. Earl Brown,1000000
Michael Pollan,
Rachel Hendrix,
Philip Seymour Hoffman,1000000
J.K. Simmons,7500000
Ty Burrell,
Christopher Abbott,
Gaby Hoffmann,
Charlie McDermott,1000000
Sheryl Crow,1000000
Robert Downey Jr.,1000000
Kevin Corrigan,1000000
Tom Wilkinson,3500000
Ed Begley Jr.,1000000
Justin Theroux,1000000
Daniel Roebuck,1000000
Odeya Rush,58000000
Sonja Sohn,1000000
Wilford Brimley,1000000
Karisma Kapoor,1000000
Madeline Kahn,11000000
Trey Parker,1000000
Zooey Deschanel,2500000
David Arquette,1000000
Frances Fisher,1000000
Cheech Marin,1000000
James Franco,
Shahir Kabaha,
Leslie Bibb,1000000
Steven Yeun,
Shiri Appleby,1000000
Michael Imperioli,65000000
Anwar Congo,1000000
Alex Gibney,1000000
Pelé,1000000
Kumar Gaurav,
Mira Sorvino,
Josh Swanson,1000000
G.W. Krauss,1000000
Matthew Ziff,1000000
Emraan Hashmi,1500000
Lena Dunham,900000
David Hyde Pierce,500000
Harvey Fierstein,1000000
Patrick Renna,1000000
Yul Vazquez,
Judy Greer,1000000
Will Rothhaar,1000000
Jordana Spiro,1000000
Nora Zehetner,1000000
Michael Rapaport,1000000
Frances Bay,
Scott Levy,1000000
David Keith,1000000
Lynn Cohen,1500000
Kenny Johnston,1000000
Rasheed Naz,1000000
Ilene Graff,1000000
Jason Ritter,1000000
Nicole Randall Johnson,1000000
Randy Wayne,1000000
Oliver Reed,
Aidan Quinn,1000000
Jennifer Lawrence,
Joe Mantegna,1000000
Russell Hodgkinson,500000
Maureen McCormick,1000000
Álex Angulo,
Nicole Beharie,1000000
Wesley Jonathan,1000000
William McNamara,1000000
Katie Aselton,
David Oakes,1000000
Magi Avila,1000000
Boyd Banks,1000000
Angelina Armani,1000000
Jason K. Wixom,1000000
Justin Baldoni,1000000
Rosario Dawson,20000000
Cliff Robertson,
Monique Candelaria,950000
Eric Lloyd,
Kimberly Williams-Paisley,950000
Vanessa Williams,989000
Alma Martinez,913000
Marlon Brando,910000
Justin Kirk,930000
Anamaria Marinca,590000
Javier Botet,3000000
Odessa Rae,950000
Katy Mixon,900000
Sarah Kazemy,
Ahna O'Reilly,900000
Jack McBrayer,900000
Sam Edwards,
John Enos III,850000
Dwayne Johnson,15000000
Joseph Gordon-Levitt,850000
Stana Roumillac,900000
Bokeem Woodbine,1000000
James Wolk,850000
Ari Graynor,
Gavin MacLeod,825000
Lorraine Stanley,500000
Eddie Griffin,990000
Tommy O'Reilly,100000
Shahab Hosseini,500000
Jo Hartley,
Heather Matarazzo,800000
Allison Dean,800000
Victor Rasuk,800000
Louise Brooks,
Martin Landau,850000
Norma Aleandro,800000
Kevin Pollak,800000
Zachary Knighton,800000
Leslie Bibb,
Shane Dawson,600000
Bjørn Sundquist,800000
Corbin Allred,780000
Taylor Pigeon,
Harrison Ford,777000
Scott Helvenston,750000
Tina Fey,750000
Mary Lynn Rajskub,750000
Isaac C. Singleton Jr.,
MyAnna Buring,500000
Lena Dunham,750000
Gary Oldman,16000000
Jean-Louis Trintignant,750000
Raymond J. Barry,750000
Julian Morris,900000
Luke Grimes,750000
Dichen Lachman,750000
Gary Cooper,750000
William Gates,700000
Kevin Scott Richardson,
Peter Dinklage,
Adam LeFevre,700000
Laura Fraser,1000000
Aimee Garcia,
Naomi Watts,207000000
Robert Ri'chard,30000000
