director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,language,country,content_rating,budget,title_year,aspect_ratio
3,717,Horror,Dichen Lachman,Bled ,851,1117,Michele Morrow,http://www.imdb.com/title/tt0997143/?ref_=fn_tt_tt_1,English,USA,R,750000,2009,1.85
160,998,Thriller|Western,Gary Cooper,High Noon ,80193,2496,Lon Chaney Jr.,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,English,USA,PG,750000,1952,1.37
23,7,Documentary|Drama|Sport,William Gates,Hoop Dreams ,18980,15,Isiah Thomas,http://www.imdb.com/title/tt0110057/?ref_=fn_tt_tt_1,English,USA,PG-13,700000,1994,1.33
30,262,Documentary|Music,Kevin Scott Richardson,Rize ,2877,321,Tommy the Clown,http://www.imdb.com/title/tt0436724/?ref_=fn_tt_tt_1,English,USA,PG-13,,2005,1.33
364,22000,Action|Adventure|Fantasy|Sci-Fi,Peter Dinklage,Destiny ,3089,26578,Erick Avari,http://www.imdb.com/title/tt2983582/?ref_=fn_tt_tt_1,English,USA,,,2014,
52,80,Crime|Drama,Adam LeFevre,L.I.E. ,8509,209,Walter Masterson,http://www.imdb.com/title/tt0242587/?ref_=fn_tt_tt_1,English,USA,NC-17,700000,2001,1.85
0,601,Drama|Mystery|Thriller,Laura Fraser,The Sisterhood of Night ,1354,1581,Louis Ozawa Changchien,http://www.imdb.com/title/tt1015471/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,2014,2.35
0,618,Drama|Music|Romance,Aimee Garcia,B-Girl ,551,2476,Drew Sidora,http://www.imdb.com/title/tt0964179/?ref_=fn_tt_tt_1,English,USA,PG-13,,2009,
0,6000,Action|Adventure|Drama|Romance,Naomi Watts,King Kong ,316027,7122,Evan Parke,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,207000000,2005,2.35
174,730,Horror,Robert Ri'chard,House of Wax ,94463,2160,Brian Van Holt,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,English,Australia,R,30000000,2005,1.85
31,33000,Drama,Ryan Gosling,Half Nelson ,70885,33734,Jeff Lima,http://www.imdb.com/title/tt0468489/?ref_=fn_tt_tt_1,English,USA,R,700000,2006,1.85
0,752,Drama,Irene Bedard,Naturally Native ,103,1763,Max Gail,http://www.imdb.com/title/tt0133117/?ref_=fn_tt_tt_1,English,USA,PG-13,700000,1998,
21,465,Comedy,Hill Harper,Hav Plenty ,819,714,Chenoa Maxwell,http://www.imdb.com/title/tt0126938/?ref_=fn_tt_tt_1,English,USA,R,650000,1997,
0,696,Crime|Drama|Thriller,Mehcad Brooks,Adulterers ,514,1210,Danielle Savre,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1,English,USA,,750000,2015,2.35
13,977,Fantasy|Horror,Trey Loney,Escape from Tomorrow ,7384,2483,Amy Lucas,http://www.imdb.com/title/tt2187884/?ref_=fn_tt_tt_1,English,USA,Not Rated,,2013,1.85
2,628,Documentary,Richard Curtis,Starsuckers ,474,1683,Elton John,http://www.imdb.com/title/tt1510934/?ref_=fn_tt_tt_1,English,UK,,400000,2009,
0,1000,Documentary,Alfre Woodard,The Hadza: Last of the First ,5,1359,Jane Goodall,http://www.imdb.com/title/tt2139721/?ref_=fn_tt_tt_1,English,USA,,650000,2014,
4,523,Fantasy|Horror|Mystery|Thriller,Sandra Ellis Lafferty,After ,3699,1553,Karolina Wydra,http://www.imdb.com/title/tt1799508/?ref_=fn_tt_tt_1,English,USA,PG-13,650000,2012,2.35
4,260000,Drama|Thriller,Matthew Ziff,Treachery ,344,283939,Michael Biehn,http://www.imdb.com/title/tt2380301/?ref_=fn_tt_tt_1,English,USA,,625000,2013,
7,956,Comedy|Drama,Leven Rambin,Walter ,1432,4767,Virginia Madsen,http://www.imdb.com/title/tt2016335/?ref_=fn_tt_tt_1,English,USA,,700000,2015,
10,610,Comedy|Musical|Romance,Ginger Rogers,Top Hat ,13269,824,Eric Blore,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,English,USA,Approved,609000,1935,1.37
19,170,Horror,Heather Donahue,The Blair Witch Project ,186786,399,Michael C. Williams,http://www.imdb.com/title/tt0185937/?ref_=fn_tt_tt_1,English,USA,R,60000,1999,1.33
14,262,Documentary|History|Music,Joe Cocker,Woodstock ,12631,778,Joan Baez,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,English,USA,R,600000,1970,2.2
644,119,Comedy,David Zucker,The Kentucky Fried Movie ,13915,190,Tara Strohmeier,http://www.imdb.com/title/tt0076257/?ref_=fn_tt_tt_1,English,USA,R,650000,1977,1.85
16,602,Action|Crime|Drama,Stacy Keach,Mercy Streets ,448,1281,Cynthia Watros,http://www.imdb.com/title/tt0243415/?ref_=fn_tt_tt_1,English,USA,PG-13,600000,2000,1.85
0,23,Mystery|Thriller,Kendyl Joi,Arnolds Park ,94,85,Tac Fitzgerald,http://www.imdb.com/title/tt1074931/?ref_=fn_tt_tt_1,English,USA,PG-13,600000,2007,1.78
4,919,Drama,William Smith,Broken Vessels ,531,2288,Brent David Fraser,http://www.imdb.com/title/tt0149964/?ref_=fn_tt_tt_1,English,USA,R,600000,1998,1.85
12,601,Crime|Drama,Nicholas Gonzalez,Water & Power ,85,2241,Exie Booker,http://www.imdb.com/title/tt2052015/?ref_=fn_tt_tt_1,English,USA,Not Rated,,2013,
0,0,Documentary,Aliou Touré,They Will Have to Kill Us First ,74,0,Khaira Arby,http://www.imdb.com/title/tt4333662/?ref_=fn_tt_tt_1,French,UK,,400000,2015,
3,0,Documentary,Karen Alexander,Crop Circles: Quest for Truth ,204,0,Francine Blake,http://www.imdb.com/title/tt0331225/?ref_=fn_tt_tt_1,English,USA,,750000,2002,
0,595,Action|Drama|Thriller,Russell Wong,Light from the Darkroom ,6,1754,Lymari Nadal,http://www.imdb.com/title/tt3130704/?ref_=fn_tt_tt_1,English,USA,PG-13,600000,2014,
12,541,Comedy|Drama,François Cluzet,Irreplaceable ,389,553,Marianne Denicourt,http://www.imdb.com/title/tt5078326/?ref_=fn_tt_tt_1,French,France,,,2016,
5,587,Thriller,Paula Garcés,The Maid's Room ,719,1707,John Brodsky,http://www.imdb.com/title/tt2263814/?ref_=fn_tt_tt_1,English,USA,,600000,2013,
44,785,Comedy|Musical,Paul McCartney,A Hard Day's Night ,31429,2538,George Harrison,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,English,UK,Approved,560000,1964,1.75
6,,Documentary,,The Harvest/La Cosecha ,57,0,,http://www.imdb.com/title/tt1981703/?ref_=fn_tt_tt_1,English,USA,,560000,2011,
11,2000,Drama|Romance,Jamie Lee Curtis,Love Letters ,487,2996,Amy Madigan,http://www.imdb.com/title/tt0085871/?ref_=fn_tt_tt_1,English,USA,R,550000,1983,
0,0,Comedy,Dario Nozic Serini,Julija in alfa Romeo ,86,0,Andrej Nahtigal,http://www.imdb.com/title/tt4374230/?ref_=fn_tt_tt_1,Slovenian,Slovenia,,500000,2015,2.35
589,848,Drama|Romance,Kirk Cameron,Fireproof ,17068,1164,Erin Bethea,http://www.imdb.com/title/tt1129423/?ref_=fn_tt_tt_1,English,USA,PG,500000,2008,1.85
95,0,Biography|Documentary|Drama,Bhole Baba,Faith Connections ,113,0,Shriman Umeshanad Brahmachari,http://www.imdb.com/title/tt2768766/?ref_=fn_tt_tt_1,Hindi,India,,550000,2013,1.85
24,407,Adventure|Family|Romance,Frances Bavier,Benji ,3411,1090,Edgar Buchanan,http://www.imdb.com/title/tt0071206/?ref_=fn_tt_tt_1,English,USA,G,500000,1974,1.85
9,48,Adventure|Biography|Drama|Horror|Thriller,Blanchard Ryan,Open Water ,42256,67,Daniel Travis,http://www.imdb.com/title/tt0374102/?ref_=fn_tt_tt_1,English,USA,R,500000,2003,1.85
490,833,Comedy,Joe Lo Truglio,High Road ,1305,2295,Abby Elliott,http://www.imdb.com/title/tt1692084/?ref_=fn_tt_tt_1,English,USA,R,,2011,
8,423,Horror|Sci-Fi,Woody Strode,Kingdom of the Spiders ,3274,516,Tiffany Bolling,http://www.imdb.com/title/tt0076271/?ref_=fn_tt_tt_1,English,USA,PG,500000,1977,1.85
2,0,Documentary|Family|Music,Heather Berman,Mad Hot Ballroom ,3156,0,Paul Daggett,http://www.imdb.com/title/tt0438205/?ref_=fn_tt_tt_1,English,USA,PG,,2005,1.85
310,22000,Comedy|Drama,Peter Dinklage,The Station Agent ,58260,24419,Paula Garcés,http://www.imdb.com/title/tt0340377/?ref_=fn_tt_tt_1,English,USA,R,500000,2003,1.85
3,984,Drama,Randy Wayne,To Save a Life ,4583,2563,D. David Morin,http://www.imdb.com/title/tt1270286/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,2009,2.35
3,196,Documentary,Ken Burns,Wordplay ,3394,382,Bob Dole,http://www.imdb.com/title/tt0492506/?ref_=fn_tt_tt_1,English,USA,PG,,2006,1.66
6,54,Biography|Documentary|Sport,Terry Funk,Beyond the Mat ,6790,194,Mick Foley,http://www.imdb.com/title/tt0218043/?ref_=fn_tt_tt_1,English,USA,R,500000,1999,1.85
0,69,Comedy|Drama|Romance,Kirby Heyborne,The Singles Ward ,1099,161,Daryn Tufts,http://www.imdb.com/title/tt0306069/?ref_=fn_tt_tt_1,English,USA,PG,500000,2002,
6,30,Drama,Marina Golbahari,Osama ,7559,30,Mohamad Haref Harati,http://www.imdb.com/title/tt0368913/?ref_=fn_tt_tt_1,Dari,Afghanistan,PG-13,46000,2003,1.85
0,399,Documentary,Rachel Dratch,Sholem Aleichem: Laughing in the Darkness ,154,660,Jason Kravits,http://www.imdb.com/title/tt1976608/?ref_=fn_tt_tt_1,English,USA,Unrated,500000,2011,16.0
7,328,Drama|Music,Rachel True,Groove ,3562,407,Denny Kirkwood,http://www.imdb.com/title/tt0212974/?ref_=fn_tt_tt_1,English,USA,R,500000,2000,1.85
0,69,Comedy|Crime|Family,Kirby Heyborne,The R.M. ,651,155,Curt Doussett,http://www.imdb.com/title/tt0341540/?ref_=fn_tt_tt_1,English,USA,PG,500000,2003,
35,980,Drama,Sasha Alexander,Twin Falls Idaho ,3479,3166,Jon Gries,http://www.imdb.com/title/tt0162830/?ref_=fn_tt_tt_1,English,USA,R,500000,1999,1.85
9,710,Crime|Drama,Rory Culkin,Mean Creek ,26407,2655,Trevor Morgan,http://www.imdb.com/title/tt0377091/?ref_=fn_tt_tt_1,English,USA,R,500000,2004,1.85
204,659,Crime|Drama|Romance,Edie Falco,Hurricane Streets ,1038,2322,Lynn Cohen,http://www.imdb.com/title/tt0119338/?ref_=fn_tt_tt_1,English,USA,R,500000,1997,1.85
71,22000,Comedy|Romance,Peter Dinklage,Never Again ,709,24382,Michael McKean,http://www.imdb.com/title/tt0244094/?ref_=fn_tt_tt_1,English,USA,R,500000,2001,1.85
21,597,Crime|Drama|Thriller,Monica Calhoun,Civil Brand ,553,2555,Clifton Powell,http://www.imdb.com/title/tt0326806/?ref_=fn_tt_tt_1,English,USA,R,500000,2002,1.85
12000,778,Comedy|Drama,Kevin Corrigan,Lonesome Jim ,6884,1440,Mary Kay Place,http://www.imdb.com/title/tt0385056/?ref_=fn_tt_tt_1,English,USA,R,500000,2005,1.85
217,10000,Comedy|Drama|Romance,Olivia Wilde,Drinking Buddies ,45928,20480,Ti West,http://www.imdb.com/title/tt2265398/?ref_=fn_tt_tt_1,English,USA,R,,2013,2.35
0,342,Documentary,David Mamet,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,774,483,Dick Cavett,http://www.imdb.com/title/tt2654360/?ref_=fn_tt_tt_1,English,USA,,500000,2012,
0,304,Action|Adventure|Drama,Takashi Shimura,Seven Samurai ,229012,338,Kamatari Fujiwara,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,Japanese,Japan,Unrated,2000000,1954,1.37
6,14,Documentary|Sport,Tommy Sheppard,The Other Dream Team ,3086,44,Mickey Hart,http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1,English,USA,Not Rated,500000,2012,
32,11000,Comedy|Music|Romance,Brad Pitt,Johnny Suede ,3013,11839,Nick Cave,http://www.imdb.com/title/tt0104567/?ref_=fn_tt_tt_1,English,Switzerland,R,500000,1991,1.85
681,239,Comedy,Monique Gabriela Curnen,Finishing the Game: The Search for a New Bruce Lee ,1656,734,Joe McQueen,http://www.imdb.com/title/tt0843850/?ref_=fn_tt_tt_1,English,USA,Not Rated,500000,2007,1.85
248,353,Comedy|Fantasy|Horror,Haley Ramm,Rubber ,26185,1498,Cecelia Antoinette,http://www.imdb.com/title/tt1612774/?ref_=fn_tt_tt_1,English,France,R,500000,2010,1.85
12,17000,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,Home ,70136,17883,April Winchell,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,English,USA,PG,135000000,2015,1.85
6,396,Comedy|Romance,Tori Spelling,Kiss the Bride ,1358,2310,Garrett M. Brown,http://www.imdb.com/title/tt0893346/?ref_=fn_tt_tt_1,English,USA,R,500000,2007,1.85
12,33000,Drama|Sport,Ryan Gosling,The Slaughter Rule ,2004,35294,Eddie Spears,http://www.imdb.com/title/tt0266971/?ref_=fn_tt_tt_1,English,USA,R,500000,2002,2.35
380,660,Drama|Sci-Fi|Thriller,Scoot McNairy,Monsters ,75669,1118,Ricky Catter,http://www.imdb.com/title/tt1470827/?ref_=fn_tt_tt_1,English,UK,R,500000,2010,2.35
0,584,Drama,Keith Carradine,The Californians ,299,1924,Illeana Douglas,http://www.imdb.com/title/tt0377043/?ref_=fn_tt_tt_1,English,USA,PG,,2005,1.85
0,472,Comedy,Jim Gaffigan,The Living Wake ,739,1047,Matthew Cowles,http://www.imdb.com/title/tt0489212/?ref_=fn_tt_tt_1,English,USA,PG-13,500000,2007,
38,552,Comedy|Horror,Justin Chon,Detention of the Dead ,2038,2251,Max Adler,http://www.imdb.com/title/tt1865346/?ref_=fn_tt_tt_1,English,USA,Not Rated,500000,2012,2.35
0,4,Comedy|Crime,Bo Huang,Crazy Stone ,2097,8,Zhonghua Chen,http://www.imdb.com/title/tt0843270/?ref_=fn_tt_tt_1,Mandarin,China,,3000000,2006,2.35
3,30,Biography|Documentary|Music,Brian Eno,Scott Walker: 30 Century Man ,1006,119,Damon Albarn,http://www.imdb.com/title/tt0486541/?ref_=fn_tt_tt_1,English,UK,,500000,2006,1.85
395,991,Drama,Radha Mitchell,Everything Put Together ,601,3309,Megan Mullally,http://www.imdb.com/title/tt0228277/?ref_=fn_tt_tt_1,English,USA,R,100000,2000,1.85
487,991,Drama|Thriller,Bruce Greenwood,Good Kill ,15756,2099,Stafford Douglas,http://www.imdb.com/title/tt3297330/?ref_=fn_tt_tt_1,English,USA,R,,2014,2.35
2,2,Thriller,Daston Kalili,Insomnia Manica ,16,2,Chin-Chien Chang,http://www.imdb.com/title/tt0455556/?ref_=fn_tt_tt_1,English,USA,,500000,2005,1.33
3,387,Documentary,Carol Channing,The Outrageous Sophie Tucker ,38,1235,Tony Bennett,http://www.imdb.com/title/tt2825768/?ref_=fn_tt_tt_1,English,USA,,500000,2014,1.33
21,25000,Drama|Romance,Jeremy Irvine,Now Is Good ,26863,26999,Paddy Considine,http://www.imdb.com/title/tt1937264/?ref_=fn_tt_tt_1,English,UK,PG-13,,2012,2.35
32,685,Comedy|Horror,Vincent Chimato,Girls Gone Dead ,2012,2102,Al Sapienza,http://www.imdb.com/title/tt1884318/?ref_=fn_tt_tt_1,English,USA,R,500000,2012,2.35
0,970,History,Emma Caulfield,America Is Still the Place ,22,3359,Mike Colter,http://www.imdb.com/title/tt3417110/?ref_=fn_tt_tt_1,English,USA,,,2015,
406,358,Action|Mystery|Thriller,Mike Beckingham,Subconscious ,292,1038,Tom Stedham,http://www.imdb.com/title/tt2909932/?ref_=fn_tt_tt_1,English,USA,R,,2015,
33,1000,Comedy|Drama,Britney Spears,Crossroads ,34219,1531,Dave Allen,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,English,USA,PG-13,12000000,2002,1.85
0,322,Mystery|Thriller,Shaun Sipos,Enter Nowhere ,5025,630,Christopher Denham,http://www.imdb.com/title/tt1631707/?ref_=fn_tt_tt_1,English,USA,R,500000,2011,
0,159,Crime|Drama,Manny Perez,The King of Najayo ,197,206,Claudette Lalí,http://www.imdb.com/title/tt2275671/?ref_=fn_tt_tt_1,Spanish,Dominican Republic,R,500000,2012,16.0
0,918,Action|Romance|Sport,Jennifer Hale,Fight to the Finish ,60,2091,Vincent De Paul,http://www.imdb.com/title/tt3152288/?ref_=fn_tt_tt_1,English,USA,PG-13,150000,2016,
163,636,Horror|Musical,Paul Sorvino,Alleluia! The Devil's Carnival ,259,2438,Terrance Zdunich,http://www.imdb.com/title/tt3892618/?ref_=fn_tt_tt_1,English,USA,,500000,2016,1.78
0,84,Comedy|Mystery|Thriller,Mary Kate Wiles,The Sound and the Shadow ,30,254,Felix Avitia,http://www.imdb.com/title/tt2190180/?ref_=fn_tt_tt_1,English,USA,R,,2014,
431,466,Family,Carrie Bradstreet,Rodeo Girl ,62,1628,Yassie Hawkes,http://www.imdb.com/title/tt4062896/?ref_=fn_tt_tt_1,English,USA,PG,500000,2016,
0,0,Action|Biography|Documentary|Sport,Elizabeth Streb,Born to Fly: Elizabeth Streb vs. Gravity ,40,0,Laura Flanders,http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1,English,USA,,500000,2014,
0,385,Family,Mike Stanley,The Little Ponderosa Zoo ,15,683,Jamison Stalsworth,http://www.imdb.com/title/tt3846442/?ref_=fn_tt_tt_1,English,USA,,500000,2016,16.0
0,44000,Adventure|Family|Fantasy,Tim Holmes,Oz the Great and Powerful ,175413,73441,James Franco,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,English,USA,PG,215000000,2013,2.35
6,488,Action|Comedy|Horror|Sci-Fi,Patrick Kilpatrick,The Toxic Avenger ,19253,553,Pat Ryan,http://www.imdb.com/title/tt0090190/?ref_=fn_tt_tt_1,English,USA,Unrated,475000,1984,1.85
10,353,Crime|Drama,Lawrence Gilliard Jr.,Straight Out of Brooklyn ,475,380,Matty Rich,http://www.imdb.com/title/tt0102989/?ref_=fn_tt_tt_1,English,USA,R,450000,1991,1.85
521,773,Drama|History|War,James Nesbitt,Bloody Sunday ,19732,976,Tim Pigott-Smith,http://www.imdb.com/title/tt0280491/?ref_=fn_tt_tt_1,English,UK,R,2000000,2002,1.85
5,472,Action,Luis Sanchez,Diamond Ruff ,53,1752,Fredro Starr,http://www.imdb.com/title/tt2111292/?ref_=fn_tt_tt_1,English,USA,R,500000,2015,
3,10000,Comedy|Drama|Romance,Olivia Wilde,Conversations with Other Women ,10143,12496,Nora Zehetner,http://www.imdb.com/title/tt0435623/?ref_=fn_tt_tt_1,English,UK,R,450000,2005,2.39
365,907,Comedy|Horror|Musical,John Karyus,Poultrygeist: Night of the Chicken Dead ,5931,1411,Kate Graham,http://www.imdb.com/title/tt0462485/?ref_=fn_tt_tt_1,English,USA,Unrated,500000,2006,1.85
0,873,Comedy|Romance,Jennifer Lafleur,Mutual Friends ,64,2830,Michael Stahl-David,http://www.imdb.com/title/tt2112209/?ref_=fn_tt_tt_1,English,USA,,450000,2013,
24,610,Comedy|Musical|Romance,Ginger Rogers,42nd Street ,7921,995,George Brent,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,English,USA,Unrated,439000,1933,1.37
0,8,Documentary,Bob Proctor,Rise of the Entrepreneur: The Search for a Better Way ,78,10,Eric Worre,http://www.imdb.com/title/tt4273494/?ref_=fn_tt_tt_1,English,USA,G,450000,2014,
89,88,Comedy|Drama|Romance,Chris Eigeman,Metropolitan ,7143,173,Ellia Thompson,http://www.imdb.com/title/tt0100142/?ref_=fn_tt_tt_1,English,USA,PG-13,225000,1990,1.66
10,690,Comedy|Drama|Music|Romance,Michael Nyqvist,As It Is in Heaven ,13543,774,Nils-Anders Vallgårda,http://www.imdb.com/title/tt0382330/?ref_=fn_tt_tt_1,Swedish,Sweden,,25000000,2004,1.85
15,847,Drama|Horror|Mystery|Thriller,Jack E. Curenton,Roadside ,268,1151,Alan Pietruszewski,http://www.imdb.com/title/tt1958007/?ref_=fn_tt_tt_1,English,USA,,,2013,16.0
100,970,Comedy,Jon Heder,Napoleon Dynamite ,161448,3950,Jon Gries,http://www.imdb.com/title/tt0374900/?ref_=fn_tt_tt_1,English,USA,PG,400000,2004,1.85
57,1000,Crime|Drama|Thriller,Devin Ratray,Blue Ruin ,42678,1528,Amy Hargreaves,http://www.imdb.com/title/tt2359024/?ref_=fn_tt_tt_1,English,USA,R,1066167,2013,2.35
110,189,Horror,Micah Sloat,Paranormal Activity ,184824,330,Amber Armstrong,http://www.imdb.com/title/tt1179904/?ref_=fn_tt_tt_1,English,USA,R,15000,2007,1.85
147,22,Documentary|Sport,Tony Alva,Dogtown and Z-Boys ,10366,54,Jeff Ament,http://www.imdb.com/title/tt0275309/?ref_=fn_tt_tt_1,English,USA,PG-13,,2001,1.37
0,795,Adventure|Comedy|Fantasy,Eric Idle,Monty Python and the Holy Grail ,382240,2158,Terry Jones,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,English,UK,PG,229575,1975,1.66
25,231,Drama,Emily Rios,Quinceañera ,3675,771,Alicia Sixtos,http://www.imdb.com/title/tt0451176/?ref_=fn_tt_tt_1,Spanish,USA,R,400000,2006,2.35
14,361,Comedy|Fantasy|Horror|Musical,Tony Doupe,Gory Gory Hallelujah ,179,387,David Frederick White,http://www.imdb.com/title/tt0396041/?ref_=fn_tt_tt_1,English,USA,,100000,2003,1.78
,1000,Drama|Fantasy|Sci-Fi|Thriller,Sendhil Ramamurthy,Heroes             ,202115,4908,Greg Grunberg,http://www.imdb.com/title/tt0813715/?ref_=fn_tt_tt_1,English,USA,TV-14,,,16.0
20,58,Biography|Documentary,Greg Ayres,Tarnation ,5709,78,Renee Leblanc,http://www.imdb.com/title/tt0390538/?ref_=fn_tt_tt_1,English,USA,Unrated,218,2003,1.37
4,93,Documentary,Bill Farmer,I Want Your Money ,1123,168,Mike Huckabee,http://www.imdb.com/title/tt1560957/?ref_=fn_tt_tt_1,English,USA,PG,400000,2010,1.78
0,935,Comedy|Horror,Kane Hodder,Love in the Time of Monsters ,143,2350,Alex Sanborn,http://www.imdb.com/title/tt2403415/?ref_=fn_tt_tt_1,English,USA,,500000,2014,
385,48,Horror,Catriona MacColl,The Beyond ,14985,123,Al Cliver,http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1,Italian,Italy,X,400000,1981,2.35
,59,Animation|Comedy|Drama,Brendon Small,Home Movies             ,7458,81,Melissa Bardin Galsky,http://www.imdb.com/title/tt0197159/?ref_=fn_tt_tt_1,English,USA,TV-PG,,,1.33
12,642,Comedy|Romance,Treat Williams,What Happens in Vegas ,140740,1026,Michelle Krusiec,http://www.imdb.com/title/tt1033643/?ref_=fn_tt_tt_1,English,USA,PG-13,35000000,2008,2.35
3,108,Horror|Thriller,Dov Tiefenbach,The Dark Hours ,4788,272,Gordon Currie,http://www.imdb.com/title/tt0402249/?ref_=fn_tt_tt_1,English,Canada,R,500000,2005,1.85
350,114,Comedy|Drama|Romance,Saeed Jaffrey,My Beautiful Laundrette ,10577,260,Garry Cooper,http://www.imdb.com/title/tt0091578/?ref_=fn_tt_tt_1,English,UK,R,650000,1985,1.66
0,169,Drama|Horror|Mystery|Thriller,R. Brandon Johnson,Fabled ,191,312,Desmond Askew,http://www.imdb.com/title/tt0299863/?ref_=fn_tt_tt_1,English,USA,R,,2002,1.78
0,918,Drama|Thriller,Katharine Isabelle,Show Me ,369,1163,Gabriel Hogan,http://www.imdb.com/title/tt0414510/?ref_=fn_tt_tt_1,French,Canada,R,900000,2004,1.78
0,440,Drama,Liv Ullmann,Cries & Whispers ,19964,809,Erland Josephson,http://www.imdb.com/title/tt0069467/?ref_=fn_tt_tt_1,Swedish,Sweden,R,400000,1972,1.66
204,436,Drama|History|War,Lillian Gish,Intolerance: Love's Struggle Throughout the Ages ,10718,481,Walter Long,http://www.imdb.com/title/tt0006864/?ref_=fn_tt_tt_1,,USA,Not Rated,385907,1916,1.33
3,643,Documentary,Walter Koenig,Trekkies ,4407,2864,James Doohan,http://www.imdb.com/title/tt0120370/?ref_=fn_tt_tt_1,English,USA,PG,375000,1997,
4,77,Musical|Romance,Anita Page,The Broadway Melody ,4546,109,Charles King,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,English,USA,Passed,379000,1929,1.37
0,634,Fantasy|Horror,Ted Raimi,The Evil Dead ,141219,813,Ellen Sandweiss,http://www.imdb.com/title/tt0083907/?ref_=fn_tt_tt_1,English,USA,NC-17,375000,1981,1.37
33,470,Horror|Thriller,America Olivo,Maniac ,27297,1233,Liane Balaban,http://www.imdb.com/title/tt2103217/?ref_=fn_tt_tt_1,English,France,Not Rated,6000000,2012,2.35
