director_name,duration,genres,actor_3_name,movie_imdb_link,num_user_for_reviews,country,content_rating,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
John Duigan,102,Comedy|Drama|Romance,Sarah Wynter,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,40,USA,PG-13,419,1.85,284
Jodie Foster,91,Drama,Riley Thomas Stewart,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1,148,USA,PG-13,242,2.35,17000
Colin Higgins,114,Comedy|Musical,Dom DeLuise,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,48,USA,R,883,2.35,0
David Cronenberg,115,Horror|Sci-Fi|Thriller,Callum Rennie,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,527,Canada,R,900,1.85,6000
Steven Spielberg,115,Action|Adventure,William Hootkins,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,771,USA,PG,783,2.35,16000
Chris Columbus,120,Adventure|Comedy|Family,Devin Ratray,http://www.imdb.com/title/tt0104431/?ref_=fn_tt_tt_1,189,USA,PG,1000,1.85,0
Steven Spielberg,135,Drama|Sci-Fi,Melinda Dillon,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,339,USA,PG,481,2.35,0
Jim Sonzero,90,Drama|Horror|Sci-Fi|Thriller,Rick Gonzalez,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1,258,USA,PG-13,1000,2.35,0
Tony Scott,100,Action|Comedy|Crime|Thriller,Ronny Cox,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,95,USA,R,901,2.35,0
Adam Shankman,105,Comedy,Steve Harris,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,236,USA,PG-13,409,2.35,800
Jonathan Demme,138,Crime|Drama|Horror|Thriller,Anthony Heald,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,916,USA,R,826,1.85,40000
Penelope Spheeris,94,Comedy|Music,Kurt Fuller,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,176,USA,PG-13,619,1.85,0
Jeff Tremaine,101,Action|Comedy|Documentary,Chris Pontius,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,81,USA,R,362,1.78,0
Jeannot Szwarc,131,Adventure|Horror|Thriller,Joseph Mascolo,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,265,USA,PG,366,2.35,0
Raja Gosnell,91,Adventure|Comedy|Drama|Family|Romance,Ali Hillis,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,99,USA,PG,641,2.35,0
James Wan,112,Horror|Mystery|Thriller,Hayley McFarland,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,807,USA,R,960,2.35,131000
Brian Levant,95,Adventure|Comedy|Family|Romance,Jay Mohr,http://www.imdb.com/title/tt0368578/?ref_=fn_tt_tt_1,149,USA,PG,642,1.85,773
Ben Falcone,100,Comedy,Ben Falcone,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,144,USA,R,830,1.85,11000
D.J. Caruso,105,Drama|Mystery|Thriller,Jose Pablo Cantillo,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,491,USA,PG-13,617,1.85,0
Richard Linklater,108,Comedy|Music,Mike White,http://www.imdb.com/title/tt0332379/?ref_=fn_tt_tt_1,479,USA,PG-13,931,1.85,0
Paul W.S. Anderson,101,Action|Adventure|Fantasy|Sci-Fi|Thriller,Bridgette Wilson-Sampras,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,283,USA,PG-13,1000,1.85,0
Paul McGuigan,114,Drama|Mystery|Romance|Thriller,Mark Camacho,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,298,USA,PG-13,93,2.35,0
Keenen Ivory Wayans,109,Comedy|Crime,Brittany Daniel,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,251,USA,PG-13,960,1.85,0
Alexander Payne,115,Comedy|Drama,Beau Bridges,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,439,USA,R,727,2.35,22000
Andrew Davis,117,Adventure|Comedy|Drama|Family|Mystery,Ski Carr,http://www.imdb.com/title/tt0311289/?ref_=fn_tt_tt_1,331,USA,PG,265,1.85,0
Julie Anne Robinson,107,Drama|Family|Music|Romance,Melissa Ordway,http://www.imdb.com/title/tt1294226/?ref_=fn_tt_tt_1,185,USA,PG,360,2.35,10000
Steve McQueen,134,Biography|Drama|History,Taran Killam,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,695,USA,R,660,2.35,83000
Charles Stone III,118,Comedy|Drama|Music|Romance,Jason Weaver,http://www.imdb.com/title/tt0303933/?ref_=fn_tt_tt_1,185,USA,PG-13,593,2.35,2000
Tyler Perry,121,Comedy|Drama|Romance,Tasha Smith,http://www.imdb.com/title/tt1391137/?ref_=fn_tt_tt_1,68,USA,PG-13,907,1.85,0
Tim Burton,105,Fantasy|Romance,Conchata Ferrell,http://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1,588,USA,PG-13,967,1.85,16000
Thea Sharrock,110,Drama|Romance,Brendan Coyle,http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1,130,UK,PG-13,10000,2.35,51000
Tyler Perry,114,Comedy|Crime|Drama,Romeo Miller,http://www.imdb.com/title/tt2215285/?ref_=fn_tt_tt_1,50,USA,PG-13,618,1.85,0
William Friedkin,104,Action|Crime|Drama|Thriller,Tony Lo Bianco,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280,USA,R,165,1.85,0
Jon Lucas,100,Comedy,Jada Pinkett Smith,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,46,USA,R,1000,,18000
Aaron Seltzer,85,Comedy|Romance,Fred Willard,http://www.imdb.com/title/tt0466342/?ref_=fn_tt_tt_1,613,USA,PG-13,869,1.85,806
Robin Budd,72,Adventure|Animation|Family|Fantasy,Spencer Breslin,http://www.imdb.com/title/tt0280030/?ref_=fn_tt_tt_1,79,USA,G,677,1.66,302
Ava DuVernay,128,Biography|Drama|History,Oprah Winfrey,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,212,UK,PG-13,1000,2.35,22000
Steve Trenbirth,72,Adventure|Animation|Family|Musical,Tony Jay,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,58,USA,G,455,1.85,227
Stephen Kay,89,Drama|Horror|Mystery|Thriller,Charles Mesure,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,389,USA,PG-13,392,1.85,1000
Mennan Yapo,96,Drama|Mystery|Thriller,Marc Macaulay,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,337,USA,PG-13,626,2.35,0
Jun Falkenstein,77,Animation|Comedy|Drama|Family|Musical,Ken Sansom,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,53,USA,G,253,1.78,347
Jaume Collet-Serra,123,Horror|Mystery|Thriller,Aryana Engineer,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,383,USA,R,1000,1.85,20000
Boaz Yakin,111,Adventure|Family,Edgar Arreola,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,87,USA,PG,465,2.35,33000
,30,Comedy,Denise Boutte,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,20,USA,,378,1.85,211
Jason Friedberg,93,Adventure|Comedy,Fred Willard,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,666,USA,PG-13,869,1.85,0
John Milius,129,Adventure|Fantasy,Sandahl Bergman,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,337,USA,R,691,2.35,0
Tom McCarthy,128,Biography|Crime|Drama|History,Brian d'Arcy James,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,409,USA,R,168,1.85,80000
Neil LaBute,110,Crime|Drama|Thriller,Robert Pine,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,135,USA,PG-13,931,2.35,0
Takashi Shimizu,137,Horror|Thriller,Matthew Knight,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,284,USA,PG-13,884,1.85,930
Kevin Rodney Sullivan,124,Comedy|Drama|Romance,Barry Shabaka Henley,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,51,USA,R,270,1.85,0
Peter Hewitt,93,Adventure|Comedy|Fantasy|Music|Sci-Fi,Alex Winter,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,117,USA,PG,769,1.85,0
Barry Levinson,115,Comedy|Drama|Romance|Thriller,Amy Poehler,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,236,USA,PG-13,2000,2.35,0
Gary Nelson,98,Action|Sci-Fi,Yvette Mimieux,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,230,USA,PG,877,2.35,4000
Anton Corbijn,105,Crime|Drama|Thriller,Filippo Timi,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,463,USA,R,191,2.35,10000
Gregory Nava,127,Biography|Drama|Music,Jacob Vargas,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,155,USA,PG,441,2.35,0
Jason Friedberg,82,Comedy,Anneliese van der Pol,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,187,USA,PG-13,401,1.85,16000
Alejandro G. Iñárritu,143,Drama,Dermot Crowley,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,908,France,R,119,1.85,0
Shawn Levy,103,Comedy|Drama,Jane Fonda,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,145,USA,R,1000,2.35,14000
John Patrick Shanley,104,Drama|Mystery,Carrie Preston,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,321,USA,PG-13,11000,1.85,0
Trey Parker,98,Action|Comedy,Trey Parker,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,700,USA,R,523,2.35,0
John Luessenhop,92,Horror|Thriller,Shaun Sipos,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,255,USA,R,333,2.35,16000
Jon Amiel,123,Crime|Drama|Mystery|Thriller,Harry Connick Jr.,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,140,USA,R,1000,2.35,0
Malcolm D. Lee,88,Comedy,Molly Shannon,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,177,USA,PG-13,881,1.85,13000
Joshua Logan,158,Comedy|Drama|Musical|Romance|Western,Ray Walston,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,106,USA,PG-13,756,2.35,0
Gus Van Sant,128,Biography|Drama|History,Lucas Grabeel,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,281,USA,R,896,1.85,10000
Kevin Reynolds,107,Action|Adventure|Drama|Mystery,María Botto,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,117,USA,PG-13,76,2.35,21000
Steve Beck,91,Horror,Francesca Rettondini,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,474,USA,R,385,1.85,0
Todd Strauss-Schulson,90,Adventure|Comedy,Paula Garcés,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,93,USA,R,651,2.35,21000
John McNaughton,115,Crime|Drama|Mystery|Thriller,Jeff Perry,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,389,USA,R,481,2.35,0
Nelson McCormick,101,Crime|Thriller,Skyler Samuels,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,119,USA,PG-13,533,2.35,0
John Madden,113,Drama|Thriller,Romi Aboulafia,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,165,USA,R,100,2.35,0
Stephen Frears,113,Comedy|Drama|Music|Romance,Lisa Bonet,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,602,UK,R,960,1.85,10000
Eric Valette,87,Horror|Mystery,Margaret Cho,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,189,Japan,PG-13,297,1.85,0
John Schlesinger,101,Crime|Drama|Thriller,Philip Baker Hall,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,77,USA,R,816,1.85,613
Roger Donaldson,111,Crime|Drama|Romance|Thriller,Daniel Mays,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,189,UK,R,811,2.35,0
Michel Gondry,108,Drama|Fantasy|Romance|Sci-Fi,Tom Wilkinson,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,1514,USA,R,4000,1.85,52000
Andy Fickman,105,Comedy|Family|Romance,Christine Lakin,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,136,USA,PG,938,2.35,0
David Ayer,109,Action|Crime|Drama|Thriller,Noel Gugliemi,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,189,USA,R,11000,2.35,0
Edgar Wright,109,Action|Comedy|Sci-Fi,Jasper Levine,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,401,UK,R,55,2.35,49000
Andrew Fleming,99,Comedy|Crime|Family|Mystery|Romance|Thriller,Tate Donovan,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,102,USA,PG,669,2.35,590
Michael Spierig,98,Action|Horror|Sci-Fi|Thriller,Tiffany Lamb,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,281,Australia,R,37,2.35,0
Jim Field Smith,104,Comedy|Romance,Geoff Stults,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,131,USA,R,934,2.35,0
Thomas Bezucha,109,Adventure|Comedy|Family|Romance,Brett Cullen,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,44,Hungary,PG,775,1.85,6000
William Brent Bell,75,Horror|Thriller,Samaire Armstrong,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,281,USA,PG-13,934,2.35,0
Simon Wincer,119,Action|Adventure|Drama|Romance|Western,Ben Mendelsohn,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,97,Australia,PG-13,19000,2.35,0
Anthony Bell,90,Adventure|Animation|Comedy|Family|Romance,Christine Lakin,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,84,USA,PG,611,1.85,0
Renny Harlin,97,Action|Fantasy|Horror|Thriller,Toby Hemingway,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,334,USA,PG-13,917,2.35,3000
Jessica Bendinger,103,Comedy|Drama|Sport,John Patrick Amedori,http://www.imdb.com/title/tt0430634/?ref_=fn_tt_tt_1,124,Germany,PG-13,804,1.85,0
Robert Rodriguez,89,Comedy|Family|Fantasy,Jake Short,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,37,USA,PG,570,1.85,431
Gus Van Sant,106,Comedy|Crime|Drama,Holland Taylor,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,162,USA,R,967,1.85,1000
Henry Joost,96,Adventure|Crime|Mystery|Sci-Fi|Thriller,Emily Meade,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,35,USA,PG-13,441,,0
Ed Harris,115,Crime|Drama|Western,Tom Bower,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,202,USA,R,311,2.35,0
John Carpenter,104,Action|Horror|Thriller,Maximilian Schell,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,403,USA,R,1000,2.35,0
,24,Action|Adventure|Animation|Family|Fantasy,,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,51,Japan,,,,124
Alfred Hitchcock,108,Horror|Mystery|Thriller,John Gavin,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,1040,USA,R,332,1.85,18000
Howard Deutch,112,Comedy|Romance,Riki Lindhome,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,100,USA,R,500,1.85,0
Shana Feste,104,Drama|Romance,Rhys Wakefield,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,76,USA,PG-13,989,2.35,0
Garry Marshall,113,Comedy|Drama,Jane Fonda,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,125,USA,R,975,2.35,681
Steve Rash,98,Comedy,Billy Barty,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,34,USA,PG,374,1.78,501
Richard Donner,121,Adventure|Comedy|Drama|Fantasy,Leo McKern,http://www.imdb.com/title/tt0089457/?ref_=fn_tt_tt_1,185,USA,PG-13,92,2.35,0
Mark Steven Johnson,114,Comedy|Drama|Family,Dana Ivey,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,219,USA,PG,367,1.85,0
Mike Binder,124,Drama,John de Lancie,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,231,USA,R,3000,2.35,0
Sean Penn,148,Adventure|Biography|Drama,Hal Holbrook,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,760,USA,R,882,2.35,76000
Todd Phillips,108,Comedy,Jacinda Barrett,http://www.imdb.com/title/tt0462519/?ref_=fn_tt_tt_1,97,USA,PG-13,931,2.35,484
Michael J. Bassett,95,Adventure|Drama|Horror|Mystery|Thriller,Martin Donovan,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,220,France,R,494,2.35,25000
Robert Rodriguez,108,Crime|Fantasy|Horror,Cheech Marin,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,592,USA,R,4000,1.85,12000
Frank Nissen,68,Animation|Family|Fantasy|Mystery,John Fiedler,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,32,USA,G,286,1.85,264
Jodie Foster,103,Comedy|Drama|Romance,Steve Guttenberg,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,76,USA,PG-13,1000,1.85,0
Stephen Chow,99,Action|Comedy|Crime|Fantasy,Qiu Yuen,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,354,Hong Kong,R,62,2.35,0
,30,Comedy,Sharon Lawrence,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,6,USA,,417,1.33,4
Peter Hastings,88,Comedy|Family|Music|Musical,Stephen Root,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,75,USA,G,968,1.85,422
Marc Forster,128,Drama,Khalid Abdalla,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,230,USA,PG-13,206,2.35,0
Alejandro G. Iñárritu,124,Drama,Danny Huston,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,559,USA,R,979,1.85,0
Paul Abascal,84,Action|Crime|Drama|Thriller,Kelly Carlson,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,138,USA,PG-13,555,2.35,269
Catherine Hardwicke,122,Drama|Fantasy|Romance,Anna Kendrick,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,1535,USA,PG-13,12000,2.35,19000
Chris Koch,101,Comedy|Romance,James Brolin,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,92,USA,PG-13,555,1.85,401
Amy Heckerling,98,Comedy|Romance,Zak Orth,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,158,USA,PG-13,216,1.85,1000
Michael Moore,105,Crime|Documentary|News,Bernie Sanders,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,188,USA,R,909,1.85,10000
George Stevens,225,Biography|Drama|History,José Ferrer,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,100,USA,G,208,2.76,1000
Billy Ray,111,Crime|Drama|Mystery|Thriller,Joe Cole,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,81,USA,PG-13,963,2.35,0
Jason Friedberg,88,Comedy,Ike Barinholtz,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,359,USA,PG-13,624,1.85,0
Nimród Antal,88,Action|Crime|Thriller,Lorna Raver,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,110,USA,PG-13,459,2.35,0
Jon Amiel,94,Action|Comedy|Crime|Thriller,Joanne Whalley,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,100,USA,PG,828,1.85,0
Mark Mylod,117,Comedy|Romance,Ed Begley Jr.,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,91,USA,R,904,1.85,0
James Mather,95,Action|Adventure|Sci-Fi|Thriller,Jacky Ido,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,236,France,PG-13,447,2.35,10000
Barry Levinson,99,Comedy,Sam Lerner,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,176,USA,PG-13,87,1.85,713
Mark Neveldine,96,Action|Crime|Sci-Fi|Thriller,David Carradine,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,223,USA,R,968,1.85,0
Woody Allen,98,Comedy|Crime,Dianne Wiest,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,86,USA,R,979,1.85,979
Michael O. Sajbel,123,Biography|Drama|History,Nimrat Kaur,http://www.imdb.com/title/tt0430431/?ref_=fn_tt_tt_1,177,USA,PG,249,2.35,0
Phillip Noyce,101,Drama|Mystery|Romance|Thriller|War,Holmes Osborne,http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1,199,UK,R,268,2.35,983
Gore Verbinski,102,Comedy|Drama,Michael Rispoli,http://www.imdb.com/title/tt0384680/?ref_=fn_tt_tt_1,316,USA,R,442,1.85,0
Walter Hill,94,Action|Crime|Drama|Sport,Jon Seda,http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1,88,USA,R,855,2.35,977
David Koepp,102,Comedy|Drama|Fantasy|Romance,Jordan Carlos,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,147,USA,PG-13,41,1.85,0
Renny Harlin,108,Action|Crime|Thriller,Nick Gomez,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,113,USA,PG-13,794,2.35,0
Matt Reeves,116,Drama|Fantasy|Horror|Mystery,Kodi Smit-McPhee,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,366,UK,R,1000,2.35,25000
Charles T. Kanganis,93,Action|Comedy|Family,Don Stark,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,26,USA,PG,220,1.85,444
Michel Gondry,102,Comedy,Melonie Diaz,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,235,UK,PG-13,563,2.35,0
Stephen Frears,103,Comedy|Drama|Music|War,Sarah Solemani,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,180,UK,R,378,1.85,0
John Hillcoat,115,Action|Crime|Drama|Thriller,Clifton Collins Jr.,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,106,USA,R,12000,2.35,0
Woody Allen,96,Comedy,Judy Davis,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,131,USA,R,474,1.85,0
Damon Santostefano,98,Comedy|Romance,David Ramsey,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,121,Australia,PG-13,1000,1.37,311
John Wells,101,Comedy|Drama,Riccardo Scamarcio,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,129,USA,R,1000,2.35,25000
Neil Jordan,106,Comedy|Crime,James Russo,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,42,USA,PG-13,2000,2.35,855
Woody Allen,101,Comedy|Musical|Romance,Jeff DeRocker,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,140,USA,R,612,1.85,0
Frank Oz,87,Comedy,Kris Marshall,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,199,USA,R,557,1.85,0
James Wan,111,Action|Crime|Thriller,Edi Gathegi,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,299,USA,R,742,2.35,0
Kirk Jones,99,Adventure|Drama,Brendan Sexton III,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,117,USA,PG-13,1000,2.35,10000
Bob Clark,88,Comedy|Family|Sci-Fi,Peter Wingfield,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,129,Germany,PG,384,2.35,0
Les Mayfield,83,Action|Comedy|Crime,Gigi Rice,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,76,Germany,PG-13,99,1.85,676
Les Mayfield,91,Action|Comedy|Crime,Cedric the Entertainer,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,26,USA,PG-13,537,1.85,233
Michael Lembeck,108,Comedy|Crime|Music,Dash Mihok,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,117,USA,PG-13,567,1.85,924
Bob Fosse,154,Comedy|Drama|Music|Musical|Romance,Ben Vereen,http://www.imdb.com/title/tt0065054/?ref_=fn_tt_tt_1,64,USA,G,641,2.35,548
Paul Thomas Anderson,148,Comedy|Crime|Drama|Mystery|Romance,Serena Scott Thomas,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,242,USA,R,178,1.85,18000
