director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,content_rating,actor_2_facebook_likes,imdb_score,aspect_ratio
Phillip Noyce,176,46,David Gulpilil,Adventure|Biography|Drama|History,Roy Billing,Rabbit-Proof Fence ,312,Deborah Mailman,http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1,249,Aboriginal,PG,93,7.5,2.35
Don Michael Paul,70,442,Faizon Love,Comedy|Sport,Jeffrey Jones,Who's Your Caddy? ,3128,Lil' Wayne,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,46,English,PG-13,585,2.0,1.85
Tony Maylam,6,38,Alun Armstrong,Action|Crime|Horror|Sci-Fi|Thriller,Michael J. Pollard,Split Second ,493,Alastair Duncan,http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1,75,English,R,192,6.2,1.85
,,346,Xander Berkeley,Action|Crime|Drama|Thriller,Melinda Clarke,Nikita             ,2352,Aaron Stanford,http://www.imdb.com/title/tt1592154/?ref_=fn_tt_tt_1,83,English,,485,7.7,16.0
Mitch Davis,7,35,Nathaniel Lees,Adventure|Biography|Drama,Anne Hathaway,The Other Side of Heaven ,11116,Miriama Smith,http://www.imdb.com/title/tt0250371/?ref_=fn_tt_tt_1,85,English,PG,43,6.5,1.85
,,652,Ashley Scott,Action|Drama|Mystery|Sci-Fi,Jensen Ackles,Dark Angel             ,12051,John Savage,http://www.imdb.com/title/tt0204993/?ref_=fn_tt_tt_1,160,English,TV-14,794,7.4,1.33
Yash Chopra,147,397,Preity Zinta,Drama|Musical|Romance,Shah Rukh Khan,Veer-Zaara ,9984,Anupam Kher,http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1,119,Hindi,,860,7.9,2.35
David Mamet,342,501,Randy Couture,Drama|Sport,Alice Braga,Redbelt ,2158,Jose Pablo Cantillo,http://www.imdb.com/title/tt1012804/?ref_=fn_tt_tt_1,119,English,R,518,6.8,2.35
Jay Duplass,157,224,Tim Guinee,Comedy|Drama|Romance,Matt Walsh,Cyrus ,1136,Katie Aselton,http://www.imdb.com/title/tt1336617/?ref_=fn_tt_tt_1,126,English,R,259,6.3,1.85
Kevin Brodie,0,359,Cheryl Ladd,Drama|Family,Bruce McGill,A Dog of Flanders ,1906,Jack Warden,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,20,English,PG,476,6.3,1.85
Paul Schrader,261,617,Michael McKean,Biography|Crime|Drama,Ed Begley Jr.,Auto Focus ,2684,Kurt Fuller,http://www.imdb.com/title/tt0298744/?ref_=fn_tt_tt_1,147,English,R,658,6.6,1.85
George Hickenlooper,60,628,Jimmy Fallon,Biography|Drama,Hayden Christensen,Factory Girl ,6526,Beth Grant,http://www.imdb.com/title/tt0432402/?ref_=fn_tt_tt_1,106,English,R,787,6.4,1.85
Lynne Ramsay,159,77,Siobhan Fallon Hogan,Drama|Thriller,Ezra Miller,We Need to Talk About Kevin ,3547,Ashley Gerasimovich,http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1,301,English,R,294,7.5,2.35
John Stephenson,0,149,Hans Matheson,Drama|Family,Samantha Barks,The Christmas Candle ,2909,Lesley Manville,http://www.imdb.com/title/tt2739338/?ref_=fn_tt_tt_1,34,English,PG,627,5.8,
Tim Chambers,2,455,Marley Shelton,Drama|Sport,Ellen Burstyn,The Mighty Macs ,2589,Jennifer Butler,http://www.imdb.com/title/tt1034324/?ref_=fn_tt_tt_1,12,English,G,690,6.5,2.35
Curtis Hanson,161,172,Shelley Long,Comedy|Drama|Family,Tom Cruise,Losin' It ,11059,Rick Rossovich,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1,16,English,R,422,4.8,
Rodrigo García,127,798,Jimmy Smits,Drama|Romance,Naomi Watts,Mother and Child ,8876,Carla Gallo,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,65,English,R,941,7.2,2.35
Dick Richards,6,375,Terence Hill,Adventure|Drama|Romance|War,Catherine Deneuve,March or Die ,2209,Jack O'Halloran,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,26,English,PG,750,6.3,1.85
Jean-Marie Poiré,8,39,Isabelle Nanty,Comedy|Fantasy|Sci-Fi,Christian Clavier,Les visiteurs ,215,Valérie Lemercier,http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1,78,French,R,54,7.0,2.35
Sofia Coppola,0,106,Chris Pontius,Comedy|Drama,Nathalie Fay,Somewhere ,684,Erin Wasson,http://www.imdb.com/title/tt1421051/?ref_=fn_tt_tt_1,198,English,R,218,6.3,1.85
Bob Gosse,10,184,Susie Abromeit,Comedy,Geoff Stults,I Hope They Serve Beer in Hell ,1417,Derek Wayne Johnson,http://www.imdb.com/title/tt1220628/?ref_=fn_tt_tt_1,72,English,R,216,5.3,2.35
Alex Zamm,43,611,Raquel Welch,Comedy,Taylor Negron,Chairman of the Board ,5213,Larry Miller,http://www.imdb.com/title/tt0118836/?ref_=fn_tt_tt_1,62,English,PG-13,788,2.3,1.85
Spencer Susser,58,973,Natalie Portman,Drama,Joseph Gordon-Levitt,Hesher ,44969,Rainn Wilson,http://www.imdb.com/title/tt1403177/?ref_=fn_tt_tt_1,99,English,R,20000,7.1,2.35
Richard Shepard,47,13,Mark Wingett,Comedy|Crime|Drama,Richard E. Grant,Dom Hemingway ,1105,Richard Graham,http://www.imdb.com/title/tt2402105/?ref_=fn_tt_tt_1,66,English,R,524,6.2,2.35
Gus Van Sant,835,,Casey Affleck,Adventure|Drama|Mystery,Matt Damon,Gerry ,13000,,http://www.imdb.com/title/tt0302674/?ref_=fn_tt_tt_1,290,English,R,0,6.2,2.35
Thaddeus O'Sullivan,5,52,Luke Newberry,Drama|Romance,Olivia Williams,The Heart of Me ,1251,Eleanor Bron,http://www.imdb.com/title/tt0301390/?ref_=fn_tt_tt_1,25,English,R,358,6.7,1.85
Peter Sollett,6,935,Josh Charles,Biography|Drama|Romance,Steve Carell,Freeheld ,9660,Luke Grimes,http://www.imdb.com/title/tt1658801/?ref_=fn_tt_tt_1,25,English,PG-13,1000,6.5,1.85
Shari Springer Berman,30,281,Marian Seldes,Comedy,Lynn Cohen,The Extra Man ,2029,Dan Hedaya,http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1,29,English,R,403,5.9,2.35
Aleksey German,23,0,Yuriy Tsurilo,Drama|Sci-Fi,Leonid Yarmolnik,Hard to Be a God ,8,Valentin Golubenko,http://www.imdb.com/title/tt2328813/?ref_=fn_tt_tt_1,28,Russian,Not Rated,4,6.7,1.66
Stephen Milburn Anderson,0,410,Mike Starr,Comedy|Crime|Thriller,Chris Hemsworth,Ca$h ,27756,Paul Sanchez,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,38,English,R,854,6.0,1.85
Richard E. Grant,554,530,Julie Walters,Drama,Emily Watson,Wah-Wah ,2544,Miranda Richardson,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1,50,English,R,838,6.9,2.35
Troy Duffy,78,184,David Della Rocco,Action|Crime|Thriller,Norman Reedus,The Boondock Saints ,12680,Bob Marley,http://www.imdb.com/title/tt0144117/?ref_=fn_tt_tt_1,876,English,R,333,7.9,2.35
David Lam,4,4,Louis Koo,Action|Crime,Michael Wong,Z Storm ,198,Stephen Au,http://www.imdb.com/title/tt3469440/?ref_=fn_tt_tt_1,1,Cantonese,,82,5.3,2.35
Francis Ford Coppola,0,507,Bruce Dern,Comedy|Fantasy|Horror|Mystery,Alden Ehrenreich,Twixt ,3150,Joanne Whalley,http://www.imdb.com/title/tt1756851/?ref_=fn_tt_tt_1,70,English,R,844,4.8,1.85
Vladlen Barbe,0,26,Wendee Lee,Adventure|Animation|Family,Erin Fitzgerald,Snow Queen ,218,Ivan Okhlobystin,http://www.imdb.com/title/tt2243621/?ref_=fn_tt_tt_1,9,Russian,PG,62,5.3,
Richard Rich,24,29,Kate Higgins,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Debi Derryberry,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,236,Cindy Robinson,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1,6,,,35,6.0,
Clint Eastwood,16000,240,Chris Penn,Western,Clint Eastwood,Pale Rider ,17209,Sydney Penny,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1,138,English,R,455,7.3,2.35
Robert C. Cooper,49,687,Christopher Judge,Action|Adventure|Drama|Fantasy|Sci-Fi,Ben Browder,Stargate: The Ark of Truth ,4334,Julian Sands,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1,42,English,,847,7.4,1.78
Richard Linklater,0,787,Adam Goldberg,Comedy,Milla Jovovich,Dazed and Confused ,18643,Cole Hauser,http://www.imdb.com/title/tt0106677/?ref_=fn_tt_tt_1,408,English,R,1000,7.7,1.85
Kenny Ortega,197,578,Corbin Bleu,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,High School Musical 2 ,3009,Olesya Rulin,http://www.imdb.com/title/tt0810900/?ref_=fn_tt_tt_1,162,English,TV-G,632,4.8,1.78
Kim Nguyen,16,63,Justin Edward Seale,Drama|Romance,Gordon Pinsent,Two Lovers and a Bear ,414,John Ralston,http://www.imdb.com/title/tt4412528/?ref_=fn_tt_tt_1,6,English,,147,7.2,2.35
Jackie Earle Haley,0,493,Edi Gathegi,Crime|Drama|Thriller,Rex Baker,Criminal Activities ,17377,Travis Aaron Wade,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1,38,English,,725,5.8,2.35
Max Färberböck,4,36,Johanna Wokalek,Biography|Drama|Romance|War,Heike Makatsch,Aimee & Jaguar ,333,Maria Schrader,http://www.imdb.com/title/tt0130444/?ref_=fn_tt_tt_1,51,German,,66,7.3,1.85
Arie Posin,3,436,John Heard,Comedy|Drama,Rory Culkin,The Chumscrubber ,2119,Tim DeKay,http://www.imdb.com/title/tt0406650/?ref_=fn_tt_tt_1,129,English,R,697,7.0,2.35
Damian Nieman,0,83,Jason Cerbone,Crime|Thriller,Glenn Plummer,Shade ,490,Mark De Alessandro,http://www.imdb.com/title/tt0323939/?ref_=fn_tt_tt_1,65,English,R,83,6.4,2.35
Mark Tonderai,13,261,Nolan Gerard Funk,Drama|Horror|Thriller,Jennifer Lawrence,House at the End of the Street ,35717,Gil Bellows,http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1,160,English,PG-13,924,5.6,2.35
Denis Villeneuve,777,58,Mélissa Désormeaux-Poulin,Drama|Mystery|War,Lubna Azabal,Incendies ,343,Ahmad Massad,http://www.imdb.com/title/tt1255953/?ref_=fn_tt_tt_1,156,French,R,66,8.2,1.85
Gabriele Muccino,125,11,Silvio Muccino,Comedy|Drama|Romance,Laura Morante,Remember Me, My Love ,132,Giulia Michelini,http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1,21,Italian,R,29,6.5,2.35
Ian Fitzgibbon,11,415,Brendan Coyle,Action|Comedy|Crime|Drama|Romance|Thriller,Jim Broadbent,Perrier's Bounty ,2728,Michael McElhatton,http://www.imdb.com/title/tt1003034/?ref_=fn_tt_tt_1,31,English,R,418,6.4,2.35
José Padilha,294,15,Fernanda Machado,Action|Crime|Drama|Thriller,Wagner Moura,Elite Squad ,666,André Ramiro,http://www.imdb.com/title/tt0861739/?ref_=fn_tt_tt_1,107,Portuguese,R,39,8.1,1.85
John R. Leonetti,40,300,Annabelle Wallis,Horror|Mystery,Alfre Woodard,Annabelle ,2323,Gabriel Bateman,http://www.imdb.com/title/tt3322940/?ref_=fn_tt_tt_1,291,English,R,421,5.4,2.35
Rachel Perkins,3,38,Magda Szubanski,Comedy|Drama|Musical,Deborah Mailman,Bran Nue Dae ,225,Jessica Mauboy,http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1,31,English,PG-13,46,6.3,2.35
John Singleton,309,15,Lloyd Avery II,Crime|Drama,John Cothran,Boyz n the Hood ,106,Na'Blonka Durden,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1,183,English,R,26,7.8,1.85
Luis Valdez,7,51,Rosanna DeSoto,Biography|Drama|Music,Esai Morales,La Bamba ,936,Danielle von Zerneck,http://www.imdb.com/title/tt0093378/?ref_=fn_tt_tt_1,63,English,PG-13,63,6.8,1.85
Alan Alda,0,146,Len Cariou,Comedy|Drama,Rita Moreno,The Four Seasons ,1285,Sandy Dennis,http://www.imdb.com/title/tt0082405/?ref_=fn_tt_tt_1,33,English,PG,167,7.2,1.85
Brian De Palma,0,517,David Margulies,Mystery|Romance|Thriller,Angie Dickinson,Dressed to Kill ,2442,Nancy Allen,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,201,English,X,567,7.1,2.35
Stephen Sommers,208,689,Frances Conroy,Adventure|Comedy|Drama|Family,Curtis Armstrong,The Adventures of Huck Finn ,4840,Anne Heche,http://www.imdb.com/title/tt0106223/?ref_=fn_tt_tt_1,54,English,PG,827,6.2,1.85
Doug Liman,218,376,Jay Mohr,Comedy|Crime,Sarah Polley,Go ,2475,Scott Wolf,http://www.imdb.com/title/tt0139239/?ref_=fn_tt_tt_1,418,English,R,563,7.3,2.35
Nicole Holofcener,132,180,Marin Hinkle,Comedy|Drama|Romance,Greg Germann,Friends with Money ,1140,Jake Cherry,http://www.imdb.com/title/tt0436331/?ref_=fn_tt_tt_1,166,English,R,230,5.9,2.35
Robert Wise,338,45,Paula Kelly,Sci-Fi|Thriller,David Wayne,The Andromeda Strain ,394,Eric Christmas,http://www.imdb.com/title/tt0066769/?ref_=fn_tt_tt_1,171,English,G,112,7.2,2.35
Louis Morneau,38,91,Bob Gunton,Horror|Sci-Fi|Thriller,Leon,Bats ,1405,Ned Bellamy,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1,160,English,PG-13,461,3.6,2.35
Caroline Link,11,8,Juliane Köhler,Biography|Drama,Merab Ninidze,Nowhere in Africa ,105,Matthias Habich,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,84,English,R,36,7.7,2.35
Steve McQueen,0,726,Nicole Beharie,Drama,Michael Fassbender,Shame ,15230,James Badge Dale,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,375,English,NC-17,898,7.3,2.35
Matthew Vaughn,905,466,Sally Hawkins,Crime|Drama|Thriller,Tom Hardy,Layer Cake ,29277,Jamie Foreman,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,263,English,R,594,7.4,2.35
Sterling Van Wagenen,0,266,Eric Johnson,Drama|Western,Emily Podleski,The Work and the Glory II: American Zion ,1942,Brenda Strong,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,21,English,PG-13,373,6.6,2.35
Zal Batmanglij,129,782,Julia Ormond,Drama|Thriller,Alexander Skarsgård,The East ,13180,Jason Ritter,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,119,English,PG-13,918,6.9,2.35
Michael Mayer,15,874,Matt Frewer,Drama|Romance,Robin Wright,A Home at the End of the World ,21107,Sissy Spacek,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,135,English,R,986,6.8,2.35
Hans Petter Moland,19,0,Sara-Marie Maltha,Drama,Charlotte Rampling,Aberdeen ,846,Stellan Skarsgård,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,35,English,,2,7.3,1.85
Oren Moverman,38,706,Yaya DaCosta,Drama|Romance|War,Steve Buscemi,The Messenger ,14462,Eamonn Walker,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,92,English,R,712,7.2,2.35
Ian Sharp,9,368,Jed Brophy,Action|Adventure|Drama|Western,Ray Winstone,Tracker ,1904,Temuera Morrison,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,18,English,R,433,6.5,2.35
Anton Corbijn,210,471,Samantha Morton,Biography|Drama|Music,Sam Riley,Control ,2614,Alexandra Maria Lara,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,143,English,R,631,7.7,2.35
James Cameron,0,255,Brian Thompson,Action|Sci-Fi,Michael Biehn,The Terminator ,3582,Paul Winfield,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,692,English,R,663,8.1,1.85
Wolfgang Becker,31,43,Chulpan Khamatova,Drama|Romance,Florian Lukas,Good Bye Lenin! ,200,Burghart Klaußner,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,225,German,R,51,7.7,1.85
Tom Hooper,0,27,Mark Bazeley,Biography|Drama|Sport,Stephen Graham,The Damned United ,1163,Maurice Roëves,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,75,English,R,54,7.6,1.85
Dan O'Bannon,228,358,Clu Gulager,Comedy|Horror|Sci-Fi,Linnea Quigley,The Return of the Living Dead ,2020,Beverly Randolph,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,300,English,R,426,7.3,1.85
,,5,Fortunato Cerlino,Crime|Drama|Thriller,Maria Pia Calzone,Gomorrah             ,39,Marco D'Amore,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,25,Italian,TV-MA,9,8.7,1.85
Kevin Smith,0,781,Jason Mewes,Comedy|Romance,Ethan Suplee,Mallrats ,3254,Joey Lauren Adams,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,434,English,R,898,7.2,1.85
Randal Kleiser,116,898,Stockard Channing,Musical|Romance,Olivia Newton-John,Grease ,5127,Sid Caesar,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,350,English,PG-13,944,7.2,2.35
Oliver Stone,0,576,Tom Berenger,Drama|War,Johnny Depp,Platoon ,42028,Kevin Dillon,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,505,English,R,854,8.1,1.85
Michael Moore,909,282,Stevie Wonder,Documentary|Drama|War,Osama bin Laden,Fahrenheit 9/11 ,1448,Ricky Martin,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,1416,English,R,328,7.5,1.85
George Roy Hill,131,399,Ted Cassidy,Biography|Crime|Drama|Western,Katharine Ross,Butch Cassidy and the Sundance Kid ,2169,Kenneth Mars,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,309,English,M,566,8.1,2.35
Robert Stevenson,55,266,Glynis Johns,Comedy|Family|Fantasy|Musical,Ed Wynn,Mary Poppins ,2045,Elsa Lanchester,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,259,English,Approved,279,7.8,1.66
Robert Redford,0,535,Elizabeth McGovern,Drama,Adam Baldwin,Ordinary People ,5122,Judd Hirsch,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,283,English,R,553,7.8,1.85
Frank Coraci,153,447,Steve Coogan,Action|Adventure|Comedy,Jim Broadbent,Around the World in 80 Days ,3175,Cécile De France,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,191,English,PG,1000,5.8,2.35
Jerome Robbins,34,249,George Chakiris,Crime|Drama|Musical|Romance|Thriller,Rita Moreno,West Side Story ,1802,Richard Beymer,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,316,English,Unrated,271,7.6,2.2
Harold Ramis,11000,484,Rodney Dangerfield,Comedy|Sport,Bill Murray,Caddyshack ,14921,Brian Doyle-Murray,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,250,English,R,573,7.4,1.85
Gary Hardwick,10,578,Tatyana Ali,Comedy|Drama,Julie Benz,The Brothers ,6419,Jenifer Lewis,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,43,English,R,685,6.3,1.85
Rick Famuyiwa,44,328,Tamala Jones,Comedy|Drama|Romance,Omar Epps,The Wood ,2724,Richard T. Jones,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,50,English,R,405,6.9,1.85
Bryan Singer,0,574,Chazz Palminteri,Crime|Drama|Mystery|Thriller,Kevin Spacey,The Usual Suspects ,20821,Kevin Pollak,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,1182,English,R,979,8.6,2.35
Stephen Hopkins,81,92,Kelly Jo Minter,Fantasy|Horror|Romance|Thriller,Lisa Wilcox,A Nightmare on Elm Street 5: The Dream Child ,584,Matthew Borlenghi,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,227,English,X,101,5.1,1.85
Walt Becker,12,583,Curtis Armstrong,Comedy|Romance,Ryan Reynolds,Van Wilder: Party Liaison ,19341,Erik Estrada,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,258,English,R,876,6.4,1.85
Darren Aronofsky,0,120,John D'Leo,Drama|Sport,Mark Margolis,The Wrestler ,1582,Ajay Naidu,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,547,English,R,245,7.9,2.35
King Vidor,54,332,Lillian Gish,Drama|Romance|Western,Joseph Cotten,Duel in the Sun ,2037,Jennifer Jones,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,87,English,Unrated,436,6.9,1.37
Christopher Guest,378,658,Catherine O'Hara,Comedy,John Michael Higgins,Best in Show ,4611,Michael McKean,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,340,English,PG-13,925,7.5,1.85
John Carpenter,0,381,Adrienne Barbeau,Action|Sci-Fi,Donald Pleasence,Escape from New York ,2270,Tom Atkins,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,284,English,R,602,7.2,2.35
Spike Lee,0,182,Ossie Davis,Comedy|Drama|Musical,Tisha Campbell-Martin,School Daze ,1284,Bill Nunn,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,38,English,R,282,5.8,1.85
Fred Savage,0,405,Brian Doyle-Murray,Comedy|Family,Lochlyn Munro,Daddy Day Camp ,1752,Tamala Jones,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,32,English,PG,484,2.9,1.85
Sammo Kam-Bo Hung,472,64,Richard Norton,Action|Comedy|Crime,Sammo Kam-Bo Hung,Mr. Nice Guy ,773,Rachel Blakely,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,70,English,PG-13,155,6.2,2.35
Christopher Guest,378,345,Christopher Guest,Comedy|Music,Michael McKean,A Mighty Wind ,1660,Laura Harris,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,272,English,PG-13,378,7.3,1.85
Donald Petrie,80,658,Lili Taylor,Comedy|Drama|Romance,Julia Roberts,Mystic Pizza ,10430,Conchata Ferrell,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,73,English,R,960,6.2,1.85
,,502,Tuppence Middleton,Drama|History|Romance|War,Jim Broadbent,War & Peace             ,4528,Lily James,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,44,English,TV-14,888,8.2,16.0
