num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,language,actor_2_facebook_likes,aspect_ratio
85,12,67,Drama|Romance,Damián Alcázar,El crimen del padre Amaro ,11088,546,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,Spanish,163,1.85
663,188,168,Drama|Fantasy,Quvenzhané Wallis,Beasts of the Southern Wild ,70336,2658,http://www.imdb.com/title/tt2125435/?ref_=fn_tt_tt_1,English,458,1.85
62,88,196,Action|Sci-Fi,Roddy McDowall,Battle for the Planet of the Apes ,22764,1432,http://www.imdb.com/title/tt0069768/?ref_=fn_tt_tt_1,English,356,2.35
39,9,280,Drama|Music,Aidan Quinn,Songcatcher ,2794,2187,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,English,380,1.85
68,0,186,Drama,Donna Murphy,Higher Ground ,2603,1439,http://www.imdb.com/title/tt1562568/?ref_=fn_tt_tt_1,English,471,1.85
3,0,61,Comedy|Romance,Hansika Motwani,Vaalu ,563,349,http://www.imdb.com/title/tt3566698/?ref_=fn_tt_tt_1,Tamil,77,
130,293,808,Comedy|Documentary,Quentin Tarantino,The Greatest Movie Ever Sold ,13223,32405,http://www.imdb.com/title/tt1743720/?ref_=fn_tt_tt_1,English,14000,
13,0,482,Comedy|Horror,Steve Buscemi,Ed and His Dead Mother ,1435,14620,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,English,580,1.78
44,28,0,Adventure|Drama,Tshewang Dendup,Travelers and Magicians ,1747,0,http://www.imdb.com/title/tt0378906/?ref_=fn_tt_tt_1,Dzongkha,0,1.85
26,57,426,Western,Clint Eastwood,Hang 'Em High ,25472,18263,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,English,844,1.85
27,174,114,Crime|Drama|Film-Noir,Humphrey Bogart,Deadline - U.S.A. ,1756,2831,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,English,399,1.37
53,15,491,Horror|Thriller,George Newbern,Sublime ,6267,2439,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,English,642,2.35
,9,165,Comedy|Horror|Thriller,Kimberley Crossman,A Beginner's Guide to Snuff ,13,1270,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,English,258,
10,4,91,Action|Sci-Fi,Tom Everett Scott,Independence Daysaster ,761,984,http://www.imdb.com/title/tt2645670/?ref_=fn_tt_tt_1,English,108,
4,21,685,Comedy|Drama,Christian Keyes,Dysfunctional Friends ,686,4306,http://www.imdb.com/title/tt1653002/?ref_=fn_tt_tt_1,English,713,1.85
181,670,34,Crime|Drama,Moritz Bleibtreu,Run Lola Run ,161471,623,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,German,37,1.85
114,75,446,Drama|Horror,James Duval,May ,26773,2489,http://www.imdb.com/title/tt0303361/?ref_=fn_tt_tt_1,English,461,1.85
11,15,120,Adventure|Family,Natasha Henstridge,Against the Wild ,840,1724,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,English,450,
1,0,11,Horror,Matthew Alan,Living Dark: The Story of Ted the Caver ,28,139,http://www.imdb.com/title/tt2100573/?ref_=fn_tt_tt_1,English,42,1.85
75,36,345,Adventure|Drama,America Ferrera,Under the Same Moon ,5526,2198,http://www.imdb.com/title/tt0796307/?ref_=fn_tt_tt_1,Spanish,399,1.85
80,88,67,Action|Sci-Fi,Roddy McDowall,Conquest of the Planet of the Apes ,23268,941,http://www.imdb.com/title/tt0068408/?ref_=fn_tt_tt_1,English,70,2.35
179,143,783,Crime|Drama,Tom Wilkinson,In the Bedroom ,32415,3970,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,English,874,2.35
225,68,374,Horror|Thriller,Sarah Butler,I Spit on Your Grave ,56402,2423,http://www.imdb.com/title/tt1242432/?ref_=fn_tt_tt_1,English,445,2.35
77,3,327,Comedy|Crime|Romance,Ally Walker,"Happy, Texas ",8697,2095,http://www.imdb.com/title/tt0162360/?ref_=fn_tt_tt_1,English,347,1.85
124,84,34,Drama|Romance,Paddy Considine,My Summer of Love ,16349,763,http://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1,English,46,1.85
195,25,73,Drama|Romance,Nawazuddin Siddiqui,The Lunchbox ,30479,822,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,Hindi,85,2.35
76,87,420,Drama|Romance,Shirley Henderson,Yes ,2725,2721,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,English,805,1.85
51,964,275,Comedy|Drama|Romance,Jean Arthur,You Can't Take It with You ,17799,1363,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,English,302,1.37
101,160,426,Drama|Romance|War,Montgomery Clift,From Here to Eternity ,33987,2247,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,English,488,1.37
55,673,89,Western,Harry Carey Jr.,She Wore a Yellow Ribbon ,11920,955,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,English,230,1.37
15,11,575,Drama|Music,Shawnee Smith,Grace Unplugged ,2561,3894,http://www.imdb.com/title/tt2349460/?ref_=fn_tt_tt_1,English,611,
16,11,249,Comedy|Drama,Eddie Griffin,Foolish ,536,2196,http://www.imdb.com/title/tt0166195/?ref_=fn_tt_tt_1,English,469,
5,8,394,Crime|Drama|Thriller,Essence Atkins,N-Secure ,548,3137,http://www.imdb.com/title/tt1289419/?ref_=fn_tt_tt_1,English,607,2.35
109,0,0,Comedy|Drama|Romance,Yasmine Al Massri,Caramel ,9750,231,http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,Arabic,4,1.85
40,0,2,Horror|Thriller,Stephen Rea,Out of the Dark ,2621,380,http://www.imdb.com/title/tt2872724/?ref_=fn_tt_tt_1,English,51,2.35
51,21,27,Comedy|Drama|Romance,Ohad Knoller,The Bubble ,4702,137,http://www.imdb.com/title/tt0476643/?ref_=fn_tt_tt_1,Hebrew,30,
149,0,324,Drama|Mystery|Thriller,Harrison Ford,The Conversation ,74651,12157,http://www.imdb.com/title/tt0071360/?ref_=fn_tt_tt_1,English,481,1.37
4,0,45,Romance,Annabelle Wallis,Dil Jo Bhi Kahey... ,257,622,http://www.imdb.com/title/tt0442764/?ref_=fn_tt_tt_1,English,96,
35,0,21,Crime|Drama|Romance,Catherine Deneuve,Mississippi Mermaid ,4391,1694,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,French,710,2.35
22,1000,127,Drama|Mystery,Judy Greer,I Love Your Work ,1618,2564,http://www.imdb.com/title/tt0322700/?ref_=fn_tt_tt_1,English,163,2.35
68,4,114,Horror,Dustin Ingram,Cabin Fever ,3313,992,http://www.imdb.com/title/tt3832096/?ref_=fn_tt_tt_1,English,253,
287,0,1000,Action|Horror|Thriller,Ty Burrell,Dawn of the Dead ,194426,10438,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,English,2000,2.35
173,191,336,Comedy|Drama|Romance,Lew Temple,Waitress ,37714,1981,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,English,541,1.85
61,15,49,Action|Biography|Drama|Sport,Bolo Yeung,Bloodsport ,57578,1168,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,English,403,1.85
96,964,248,Comedy|Drama,Claude Rains,Mr. Smith Goes to Washington ,77392,1573,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,English,319,1.37
71,184,82,Drama,Rosario Dawson,Kids ,59041,3310,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1,English,202,1.85
110,387,18,Comedy|Drama,William Baldwin,The Squid and the Whale ,60295,479,http://www.imdb.com/title/tt0367089/?ref_=fn_tt_tt_1,English,25,1.85
110,0,117,Comedy|Drama|Romance,Scott Cohen,Kissing Jessica Stein ,14018,1173,http://www.imdb.com/title/tt0264761/?ref_=fn_tt_tt_1,English,321,1.85
101,611,3,Comedy|Drama,Honglei Sun,"A Woman, a Gun and a Noodle Shop ",2410,18,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,Mandarin,4,2.35
2,134,354,Action,Matthew Ziff,Kickboxer: Vengeance ,246,261818,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,,454,
97,13000,82,Film-Noir|Mystery|Romance|Thriller,Norman Lloyd,Spellbound ,32927,896,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,English,239,1.37
53,460,900,Drama|Mystery|Romance,Bruce Greenwood,Exotica ,14112,2990,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,English,971,1.85
106,787,642,Comedy|Crime|Drama|Romance,Anjelica Huston,Buffalo '66 ,36657,4762,http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1,English,787,1.85
445,0,588,Fantasy|Horror|Mystery|Thriller,Lin Shaye,Insidious ,202800,3030,http://www.imdb.com/title/tt1591095/?ref_=fn_tt_tt_1,English,618,2.35
131,92,166,Comedy|Crime|Sci-Fi|Thriller,Del Zamora,Repo Man ,25332,1652,http://www.imdb.com/title/tt0087995/?ref_=fn_tt_tt_1,English,324,1.85
94,44,7,Crime|Drama|Thriller,Ricardo Darín,Nine Queens ,38215,856,http://www.imdb.com/title/tt0247586/?ref_=fn_tt_tt_1,Spanish,22,1.85
105,4,0,Documentary|War,Ami Ayalon,The Gatekeepers ,4547,0,http://www.imdb.com/title/tt2309788/?ref_=fn_tt_tt_1,Hebrew,0,1.85
75,58,42,Drama,Beau Bridges,The Ballad of Jack and Rose ,9408,859,http://www.imdb.com/title/tt0357110/?ref_=fn_tt_tt_1,English,265,1.66
97,38,690,Comedy|Romance,Donald Glover,The To Do List ,29517,2667,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,English,727,1.78
37,675,164,Crime|Drama|Thriller,Eric Stoltz,Killing Zoe ,17322,1582,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,English,424,1.85
84,21,76,Drama,Ryan Gosling,The Believer ,30314,33441,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,English,243,1.66
88,234,442,Drama|Romance,Michael Angarano,Snow Angels ,10896,2747,http://www.imdb.com/title/tt0453548/?ref_=fn_tt_tt_1,English,530,2.35
6,6,56,Action|Horror|Thriller,Ward G. Smith,Unsullied ,95,792,http://www.imdb.com/title/tt3139764/?ref_=fn_tt_tt_1,English,191,2.35
127,122,83,Horror|Mystery,Paul Guilfoyle,Session 9 ,43839,469,http://www.imdb.com/title/tt0261983/?ref_=fn_tt_tt_1,English,148,2.35
32,522,423,Comedy|Romance,Jessy Schram,I Want Someone to Eat Cheese With ,2963,2179,http://www.imdb.com/title/tt0391229/?ref_=fn_tt_tt_1,English,522,1.85
8,13,616,Drama|Family,Dorian Missick,Mooz-Lum ,919,3288,http://www.imdb.com/title/tt1450328/?ref_=fn_tt_tt_1,English,826,
229,134,488,Comedy|Horror,Joel David Moore,Hatchet ,23349,3668,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,English,935,1.85
120,0,8,Comedy|Drama|Family,Paulette Goddard,Modern Times ,143086,352,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,English,8,1.37
31,18,597,Drama,Brian Dennehy,Stolen Summer ,2419,3901,http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1,English,767,1.85
100,0,158,Comedy|Fantasy,Ted Raimi,My Name Is Bruce ,21379,1238,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,English,328,1.85
14,7,424,Comedy|Drama,Vivica A. Fox,The Salon ,444,3138,http://www.imdb.com/title/tt0436742/?ref_=fn_tt_tt_1,English,597,1.85
14,102,360,Comedy,Jay Mohr,Road Hard ,1351,2628,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,English,485,
39,60,121,Drama|Music|Romance,Rip Torn,Forty Shades of Blue ,1134,1240,http://www.imdb.com/title/tt0395543/?ref_=fn_tt_tt_1,English,189,1.85
35,407,7,Drama|War,Brian Lee Franklin,Amigo ,463,60,http://www.imdb.com/title/tt1562847/?ref_=fn_tt_tt_1,English,8,
178,49,57,Fantasy|Horror,Stephen McHattie,Pontypool ,22212,721,http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1,English,98,2.35
46,7,711,Drama,Jimmy Bennett,Trucker ,2792,89263,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,English,781,2.35
,228,134,Comedy|Drama|Romance,Angela Sarafyan,Me You and Five Bucks ,7,771,http://www.imdb.com/title/tt2265431/?ref_=fn_tt_tt_1,English,228,
234,0,721,Drama|Fantasy|Horror|Thriller,Sid Haig,The Lords of Salem ,20376,5158,http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1,English,725,2.35
166,3,28,Comedy|Horror|Mystery,Morgana O'Reilly,Housebound ,23323,165,http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,English,46,2.35
56,21,0,Documentary,Lee Scott,Wal-Mart: The High Cost of Low Price ,4120,0,http://www.imdb.com/title/tt0473107/?ref_=fn_tt_tt_1,English,0,1.85
16,0,108,Drama|Fantasy|Romance,Nicole Muñoz,Fetching Cody ,1232,596,http://www.imdb.com/title/tt0475271/?ref_=fn_tt_tt_1,English,134,
9,11,636,Comedy|Drama,Chazz Palminteri,Once Upon a Time in Queens ,291,4036,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,English,975,1.89
18,34,71,Comedy|Drama,Monica Barladeanu,Closer to the Moon ,2841,588,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,English,98,2.35
4,65,146,Sci-Fi,Ashanti,Mutant World ,459,967,http://www.imdb.com/title/tt3626436/?ref_=fn_tt_tt_1,English,265,
,5,259,Comedy|Drama|Family,Brighton Sharbino,Growing Up Smith ,108,4320,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,English,660,1.85
6,764,492,Action|Crime|Thriller,Katrina Law,Checkmate ,735,2882,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,English,522,2.35
387,188,1000,Action|Crime|Mystery|Thriller,Tom Cruise,Jack Reacher ,226583,16385,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,English,3000,2.35
35,37,56,Drama|Horror|Mystery|Thriller,Timothy Hutton,#Horror ,1547,1044,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,English,418,
27,9,485,Action|Horror|Thriller,Rudy Youngblood,Wind Walkers ,133,2870,http://www.imdb.com/title/tt1236254/?ref_=fn_tt_tt_1,English,571,
145,0,31,Animation|Family|Fantasy|Musical,Adriana Caselotti,Snow White and the Seven Dwarfs ,133348,229,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,English,47,1.37
78,33,3,Drama,Mía Maestro,The Holy Girl ,2720,358,http://www.imdb.com/title/tt0300270/?ref_=fn_tt_tt_1,Spanish,5,1.85
10,74,387,Western,Brigitte Bardot,Shalako ,1978,2140,http://www.imdb.com/title/tt0063592/?ref_=fn_tt_tt_1,English,423,2.35
60,87,37,Adventure|Comedy|Horror,Zak Penn,Incident at Loch Ness ,3291,256,http://www.imdb.com/title/tt0374639/?ref_=fn_tt_tt_1,English,70,1.85
9,20,256,Drama,Lea Thompson,The Dog Lover ,162,2419,http://www.imdb.com/title/tt4063178/?ref_=fn_tt_tt_1,English,301,2.35
63,10,295,Horror|Thriller,Camren Bicondova,Girl House ,4948,2072,http://www.imdb.com/title/tt2577172/?ref_=fn_tt_tt_1,English,382,2.35
92,412,3,Crime|Romance|Thriller,Mathieu Amalric,The Blue Room ,2082,421,http://www.imdb.com/title/tt3230082/?ref_=fn_tt_tt_1,French,4,1.33
4,58,69,Horror|Thriller,Jessica Szohr,House at the End of the Drive ,330,1159,http://www.imdb.com/title/tt0464054/?ref_=fn_tt_tt_1,English,147,
53,7,356,Adventure|Comedy|Family,Burgess Meredith,Batman: The Movie ,22975,2658,http://www.imdb.com/title/tt0060153/?ref_=fn_tt_tt_1,English,370,1.85
116,0,452,Comedy|Crime,Jason Statham,"Lock, Stock and Two Smoking Barrels ",414976,28294,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,English,1000,1.85
,0,467,Western,Barry Corbin,The Ballad of Gregorio Cortez ,39,3164,http://www.imdb.com/title/tt3551840/?ref_=fn_tt_tt_1,English,655,
13,,,Action|Crime|Drama|Mystery,Karl Malden,The Streets of San Francisco             ,3405,416,http://www.imdb.com/title/tt0068135/?ref_=fn_tt_tt_1,English,0,4.0
98,346,141,Drama,Ulrich Thomsen,The Celebration ,65951,821,http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1,Danish,278,1.33
43,12000,636,Comedy|Drama,Steve Buscemi,Trees Lounge ,11369,14420,http://www.imdb.com/title/tt0117958/?ref_=fn_tt_tt_1,English,680,1.85
15,5,5,Drama,Long Nguyen,Journey from the Fall ,775,83,http://www.imdb.com/title/tt0433398/?ref_=fn_tt_tt_1,Vietnamese,24,1.85
14,7,548,Drama,Eric Dane,The Basket ,449,3475,http://www.imdb.com/title/tt0190255/?ref_=fn_tt_tt_1,English,783,1.85
56,5,98,Comedy|Horror,Stephen McHattie,Eddie: The Sleepwalking Cannibal ,1231,843,http://www.imdb.com/title/tt1480658/?ref_=fn_tt_tt_1,English,197,
79,17,652,Action|Crime|Drama|Thriller,Bruce Willis,Mercury Rising ,54316,16537,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,English,969,2.35
8,,109,Drama|Sci-Fi,James Morrison,Space: Above and Beyond             ,6381,611,http://www.imdb.com/title/tt0112173/?ref_=fn_tt_tt_1,English,121,1.33
16,135,0,Action|Biography|Drama|History,Elina Abai Kyzy,Queen of the Mountains ,3144,0,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,English,0,2.35
18,4,13,Action|Sci-Fi,Maury Chaykin,Def-Con 4 ,1339,289,http://www.imdb.com/title/tt0087130/?ref_=fn_tt_tt_1,English,23,1.85
35,4,624,Comedy,Judy Greer,The Hebrew Hammer ,4182,6227,http://www.imdb.com/title/tt0317640/?ref_=fn_tt_tt_1,English,1000,1.85
5,0,40,Comedy|Musical|Romance,Abhishek Bachchan,Neal 'N' Nikki ,1167,602,http://www.imdb.com/title/tt0470869/?ref_=fn_tt_tt_1,English,145,2.35
16,19,134,Comedy,Noureen DeWulf,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,5579,1499,http://www.imdb.com/title/tt1498870/?ref_=fn_tt_tt_1,English,460,1.85
24,0,511,Horror|Romance|Thriller,Bella Thorne,Forget Me Not ,4866,38121,http://www.imdb.com/title/tt1147684/?ref_=fn_tt_tt_1,English,516,2.35
