director_facebook_likes,actor_2_name,gross,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,content_rating,budget,title_year
50,Herman Koto,484221,6,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,Indonesian,Not Rated,1000000,2012
141,George W. Bush,274661,313,afghanistan|detainee|guantanamo bay|taxi|torture,http://www.imdb.com/title/tt0854678/?ref_=fn_tt_tt_1,English,R,1000000,2007
10,Marv Albert,144431,118,new york|new york cosmos|professional sports|soccer|soccer team,http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1,English,PG-13,1000000,2006
0,Rufus Graham,227241,15,bare chested male|discipline|imperialism|whipping|white slavery,http://www.imdb.com/title/tt0428609/?ref_=fn_tt_tt_1,English,Unrated,,2004
165,Fisher Stevens,112521,3258,actress|fame|inside joke|new york|one man show,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,English,PG-13,,2000
9,Tom Hamann,287761,86,antarctica,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,English,PG,1000000,2013
0,Brian Whitaker,100240,28,artist|denmark|lego|toy|toy company,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,English,G,1000000,2014
74,Randy Wayne,96734,263584,family relationships|loss of mother|san diego california|single mother|suicide attempt,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,English,PG-13,1000000,2012
5,Anil Kapoor,49000,2024,chocolate|christmas|christmas eve|death|suspect,http://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,Hindi,,1500000,2005
243,Greta Gerwig,100659,3833,cult film|eclipse|haunted house|lunar eclipse|secret,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,English,R,900000,2009
11,Clayne Crawford,48430,1452,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,English,R,500000,2010
29,Michael Lerner,21210,1141,gangster|organized crime|robbery|rosh hashanah|safecracking,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,English,R,1000000,1998
5,Patsy Kensit,,1042,car racing|crush|hustler|scam|watching television,http://www.imdb.com/title/tt0155197/?ref_=fn_tt_tt_1,English,R,1000000,1999
8,Louis Mustillo,22434,196,actor|magazine|model|rock band|suburb,http://www.imdb.com/title/tt0161743/?ref_=fn_tt_tt_1,English,R,,1996
82,James Gunn,12996,3905,action figure|press conference|superhero|superhero team|toy,http://www.imdb.com/title/tt0181836/?ref_=fn_tt_tt_1,English,R,1000000,2000
32,Emily Baldoni,,1647,birthday|digit in title|love|masturbation|teenager,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,English,,1000000,2009
0,Ana Claudia Talancón,10018,509,female nudity|female pubic hair|masturbation|panties|pubic hair,http://www.imdb.com/title/tt0472259/?ref_=fn_tt_tt_1,English,Not Rated,1000000,2006
4,Alexia Rasmussen,62480,928,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,English,R,1000000,2015
0,Paul Blackthorne,6387,2694,dream sequence|locked in a room|looking at self in mirror|medication|superhero,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,English,R,1000000,2006
18,Jamie Kennedy,5494,2633,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,http://www.imdb.com/title/tt0124137/?ref_=fn_tt_tt_1,English,R,,1997
0,Vanilla Ice,,1188,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,English,R,1000000,2005
53,Mariel Hemingway,721,1284,camp|die hard scenario|female protagonist|island|vice president,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,English,R,1000000,2006
436,Frank Whaley,703,920,based on play|character name in title,http://www.imdb.com/title/tt0271020/?ref_=fn_tt_tt_1,English,R,1500000,2001
50,Andrea Vergara,,351,corrupt police|drug cartel|drugs|mexico|police,http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1,Spanish,Not Rated,1000000,2013
3,Ayesha Omar,,19,pakistan|road trip,http://www.imdb.com/title/tt4590482/?ref_=fn_tt_tt_1,Urdu,,1000000,2015
57,Kevin McCarthy,,1635,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,http://www.imdb.com/title/tt0323120/?ref_=fn_tt_tt_1,English,Not Rated,1000000,2006
0,Matt Walsh,,2607,courtroom|independent film|internet|small town|youtube,http://www.imdb.com/title/tt3145220/?ref_=fn_tt_tt_1,English,,1000000,2014
0,A.J. Buckley,,997,police|revenge|sex|suburb|video camera,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,English,R,1000000,2006
15,Lauren C. Mayhew,,1752,erotica|masseuse|sister sister relationship|temptation|threesome,http://www.imdb.com/title/tt1414361/?ref_=fn_tt_tt_1,English,R,1000000,2009
82,Eddie Albert,,964,beatnik|businessman|necrophilia|party|partying,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,English,,,1965
3,Ossie Davis,,1593,,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,English,PG,1000000,2004
923,Chloë Grace Moretz,,52113,basketball|drug abuse|interracial rape|iowa|tween girl,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,English,R,,2008
0,Barbara Hershey,,1996,,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,English,R,1000000,2008
23,Janette Armand,,292,cult|homosexual|island|survival horror|zombie,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,English,R,500000,2009
142,Shanley Caswell,,1549,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,English,PG-13,1000000,2012
0,Germán Alcarazu,,90,best friend|deportation|moroccan|unrequited love|xenophobia,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,Spanish,Unrated,,2014
0,Marlene Forte,,2116,business trip|german|love|new york|singer songwriter,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,English,,1000000,2011
105,Sticky Fingaz,,1350,,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,English,PG-13,1000000,2009
142,Tom Berenger,,11466,1880s|cowboy|low budget film|shoot out|wild west,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,English,PG-13,1000000,2014
224,Anslem Richardson,,344,bare breasts|female frontal nudity|hunter|island|weekend,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,English,R,,2012
0,Alexander Vlahos,,1226,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,English,Not Rated,1000000,2012
6,Pierre Dulat,,109,dominance submissiveness|female nudity|human branding|human pet|power exchange,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,English,,1000000,2006
0,Chloe Rose,,231,,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,English,,1000000,2014
53,Kevin Gage,,1825,bare breasts|based on web series|claustrophobia|doctor|phobia,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,English,R,1000000,2015
3,Shona Kay,,656,desert|drifter|seduction|siege|zombie,http://www.imdb.com/title/tt2446502/?ref_=fn_tt_tt_1,English,Not Rated,1000000,2013
0,Luke Perry,,2677,,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,,PG,1000000,2014
0,Spencer Wilding,2319187,5056,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,English,R,20000000,2013
17,Dick Van Patten,,1567,disability|experiment|genius|intelligence|mouse,http://www.imdb.com/title/tt0062794/?ref_=fn_tt_tt_1,English,PG,,1968
0,Katia Winter,,1618,experiment|lsd|missing friend|mk ultra|radio broadcast,http://www.imdb.com/title/tt2011276/?ref_=fn_tt_tt_1,English,R,950000,2013
,David DeLuise,,1713,1990s|brother sister relationship|female protagonist|single mother|sitcom,http://www.imdb.com/title/tt0156196/?ref_=fn_tt_tt_1,English,,,
12,Gia Mantegna,,2468,bare breasts|female protagonist,http://www.imdb.com/title/tt2505294/?ref_=fn_tt_tt_1,English,Not Rated,950000,2014
29,Mike Colter,,2504,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,http://www.imdb.com/title/tt0825346/?ref_=fn_tt_tt_1,English,,989000,2007
0,Robert Kennedy Jr.,,104,two word title,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,English,,913000,2014
603,Karl Malden,9600000,11094,death|dock|longshoreman|murder|union,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,English,Not Rated,910000,1954
28,Geoff Stults,20186,2924,friendship|los angeles california|one night stand|roommate|single mother,http://www.imdb.com/title/tt1726589/?ref_=fn_tt_tt_1,English,R,930000,2011
163,Vlad Ivanov,1185783,264,female rear nudity|friend|hotel|rainy night|towel,http://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1,Romanian,Not Rated,590000,2007
171,Brian Dorton,,1343,anthology,http://www.imdb.com/title/tt3034146/?ref_=fn_tt_tt_1,English,,3000000,2015
171,G.J. Echternkamp,1007962,117,chatting|missing person poster|online dating|photographer|sexual predator,http://www.imdb.com/title/tt0424136/?ref_=fn_tt_tt_1,English,R,950000,2005
91,David Gallagher,381186,3299,deaf|death|dysfunctional family|godparent|secret,http://www.imdb.com/title/tt0414951/?ref_=fn_tt_tt_1,English,R,900000,2005
32,Reza Sixo Safai,439958,509,closeted lesbian|iranian|islamophobia|propaganda|teenager,http://www.imdb.com/title/tt1684628/?ref_=fn_tt_tt_1,Persian,R,,2011
0,Melonie Diaz,16097842,687,22 year old|b.a.r.t.|bay area|birthday|police,http://www.imdb.com/title/tt2334649/?ref_=fn_tt_tt_1,English,R,900000,2013
6,Michael Angarano,6643,4184,mini dress|mini skirt|money|voyeur|voyeurism,http://www.imdb.com/title/tt1935902/?ref_=fn_tt_tt_1,English,R,900000,2012
11,Donnie Dunagan,102797150,63,animal|bambi|deer|forest|hunter,http://www.imdb.com/title/tt0034492/?ref_=fn_tt_tt_1,English,Approved,,1942
0,Rian Bishop,442638,897,birthday|boxing|coach|gym|olympics,http://www.imdb.com/title/tt0814130/?ref_=fn_tt_tt_1,English,R,850000,2007
29,Harold Perrineau,42919096,15800,cigarette smoking|dea|drugs|inspired by true events|undercover,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,English,PG-13,15000000,2013
6,Rob McElhenney,819939,26017,christian|male frontal nudity|mormon|mormon missionary|nudity,http://www.imdb.com/title/tt0345551/?ref_=fn_tt_tt_1,English,R,850000,2003
0,Christophe Cherki,,0,foreign|french,http://www.imdb.com/title/tt1852001/?ref_=fn_tt_tt_1,French,,900000,2011
66,Ruby Dee,,5435,number in title|semi autobiographical,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,English,R,1000000,2013
15,Ari Graynor,1243961,3770,friend|friendship|gay|phone sex|sex,http://www.imdb.com/title/tt1996264/?ref_=fn_tt_tt_1,English,R,850000,2012
43,Janel Parrish,3094687,1751,best friends|friendship|masturbation|reference to matthias steiner|single,http://www.imdb.com/title/tt1405365/?ref_=fn_tt_tt_1,English,R,,2012
14,D. David Morin,15278,1185,bible|christian propaganda|christianity|time machine|zealot,http://www.imdb.com/title/tt0295725/?ref_=fn_tt_tt_1,English,PG,825000,2002
46,Johnny Harris,,926,bathroom|chase|girl|pimp|toilet,http://www.imdb.com/title/tt0490166/?ref_=fn_tt_tt_1,English,R,500000,2006
