num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,facenumber_in_poster,movie_imdb_link,language,budget,movie_facebook_likes
2,29,Jacob Zachar,1000,Comedy,Sid Haig,0,http://www.imdb.com/title/tt0469690/?ref_=fn_tt_tt_1,English,240000,72
17,142,Brock Baker,431,Comedy|Music|Romance,Matthew Emerick,3,http://www.imdb.com/title/tt2290113/?ref_=fn_tt_tt_1,English,250000,231
225,146,James Lance,27000,Action|Biography|Crime|Drama,Tom Hardy,0,http://www.imdb.com/title/tt1172570/?ref_=fn_tt_tt_1,English,,22000
5,494,Vivian Lamolli,814,Adventure|Drama|Fantasy|Thriller|Western,Mark Fantasia,0,http://www.imdb.com/title/tt3210710/?ref_=fn_tt_tt_1,English,250000,244
22,0,Donald Austin,2,Documentary,Brendan Doogie Milewski,0,http://www.imdb.com/title/tt1781784/?ref_=fn_tt_tt_1,English,225000,801
38,131,Josh Hamilton,254,Drama,Dan Futterman,1,http://www.imdb.com/title/tt0182508/?ref_=fn_tt_tt_1,English,225000,72
21,0,Nancy Ison,12,Comedy|Drama,Christina Hart,0,http://www.imdb.com/title/tt0168192/?ref_=fn_tt_tt_1,English,100000,17
67,21,Cecil Kellaway,57,Adventure|Horror|Sci-Fi,Kenneth Tobey,0,http://www.imdb.com/title/tt0045546/?ref_=fn_tt_tt_1,English,210000,465
69,51,Robert J. Wilke,618,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,English,5000000,0
208,28,Steve Bisley,728,Action|Adventure|Sci-Fi|Thriller,Hugh Keays-Byrne,0,http://www.imdb.com/title/tt0079501/?ref_=fn_tt_tt_1,English,200000,10000
77,31,Alex Désert,4000,Comedy|Drama,Jon Favreau,0,http://www.imdb.com/title/tt0117802/?ref_=fn_tt_tt_1,English,200000,0
122,93,Gian Maria Volontè,16000,Action|Drama|Western,Clint Eastwood,1,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,Italian,200000,0
35,28,Gilbert Roland,418,Comedy|Drama|History|Musical|Romance,Mae West,1,http://www.imdb.com/title/tt0024548/?ref_=fn_tt_tt_1,English,200000,328
15,0,Jasper Johal,66,Documentary,The Dalai Lama,0,http://www.imdb.com/title/tt0420723/?ref_=fn_tt_tt_1,English,200000,30
25,16,Chris Thomas,77000,Drama,Michael Joiner,7,http://www.imdb.com/title/tt1544600/?ref_=fn_tt_tt_1,English,200000,0
37,305,David Oyelowo,1000,Drama,Omari Hardwick,2,http://www.imdb.com/title/tt1211890/?ref_=fn_tt_tt_1,English,200000,569
76,9,Sebastian Schipper,24,Comedy|Drama|Romance,Devid Striesow,0,http://www.imdb.com/title/tt1517177/?ref_=fn_tt_tt_1,German,,2000
12,61,Leo Rossi,96,Drama|Music,William Joseph Elk III,0,http://www.imdb.com/title/tt0303313/?ref_=fn_tt_tt_1,English,200000,96
7,15,Natasha Bedingfield,178,Documentary|History|Music,Matisyahu,3,http://www.imdb.com/title/tt1301130/?ref_=fn_tt_tt_1,English,200000,26
450,273,David Costabile,17000,Crime|Drama|Thriller,Channing Tatum,0,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,English,30000000,29000
