director_name,num_critic_for_reviews,actor_2_name,gross,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,actor_2_facebook_likes,imdb_score
Curtis Hanson,119,Omar Benson Miller,116724075,8 Mile ,187181,1954,Evan Jones,0,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,USA,418,7.0
Jamel Debbouze,9,Youssef Hajdi,,Animal Kingdom: Let's go Ape ,590,488,Mélissa Theuriau,0,http://www.imdb.com/title/tt1220911/?ref_=fn_tt_tt_1,France,152,4.9
Brian Helgeland,167,Rufus Sewell,56083966,A Knight's Tale ,137003,18761,Bérénice Bejo,1,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,USA,3000,6.9
Gordon Chan,98,Lee Evans,22108977,The Medallion ,29861,1134,Anthony Chau-Sang Wong,1,http://www.imdb.com/title/tt0288045/?ref_=fn_tt_tt_1,Hong Kong,312,5.2
M. Night Shyamalan,234,Haley Joel Osment,293501675,The Sixth Sense ,704766,17540,Olivia Williams,0,http://www.imdb.com/title/tt0167404/?ref_=fn_tt_tt_1,USA,3000,8.1
Asger Leth,258,Mandy Gonzalez,18600911,Man on a Ledge ,125198,362,J. Smith-Cameron,6,http://www.imdb.com/title/tt1568338/?ref_=fn_tt_tt_1,USA,81,6.6
David Frankel,108,Kevin Pollak,7204138,The Big Year ,34809,2085,JoBeth Williams,0,http://www.imdb.com/title/tt1053810/?ref_=fn_tt_tt_1,USA,574,6.2
John G. Avildsen,81,William Zabka,90800000,The Karate Kid ,126907,2004,William Bassett,0,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,USA,641,7.2
David O. Russell,538,Christian Bale,150117807,American Hustle ,358416,83012,Bradley Cooper,5,http://www.imdb.com/title/tt1800241/?ref_=fn_tt_tt_1,USA,23000,7.3
Anne Fletcher,224,Denis O'Hare,163947053,The Proposal ,227824,18656,Craig T. Nelson,1,http://www.imdb.com/title/tt1041829/?ref_=fn_tt_tt_1,USA,896,6.7
Bruce Beresford,129,Annabeth Gish,116735231,Double Jeopardy ,56646,2129,Bruce Campbell,0,http://www.imdb.com/title/tt0150377/?ref_=fn_tt_tt_1,USA,489,6.4
Robert Zemeckis,125,Jeffrey Weissman,118500000,Back to the Future Part II ,340085,3660,Thomas F. Wilson,0,http://www.imdb.com/title/tt0096874/?ref_=fn_tt_tt_1,USA,869,7.8
Luc Besson,433,Morgan Freeman,126546825,Lucy ,327367,32325,Amr Waked,0,http://www.imdb.com/title/tt2872732/?ref_=fn_tt_tt_1,France,11000,6.4
Sam Taylor-Johnson,362,Luke Grimes,166147885,Fifty Shades of Grey ,220020,4585,Callum Rennie,0,http://www.imdb.com/title/tt2322441/?ref_=fn_tt_tt_1,USA,935,4.1
Robert Rodriguez,93,Salma Hayek,111760631,Spy Kids 3-D: Game Over ,40227,22935,Alexa PenaVega,3,http://www.imdb.com/title/tt0338459/?ref_=fn_tt_tt_1,USA,4000,4.1
Joel Schumacher,71,Matthew McConaughey,108706165,A Time to Kill ,99558,31349,Oliver Platt,3,http://www.imdb.com/title/tt0117913/?ref_=fn_tt_tt_1,USA,11000,7.4
Shawn Levy,104,Alyson Stoner,138614544,Cheaper by the Dozen ,75152,7014,Bonnie Hunt,15,http://www.imdb.com/title/tt0349205/?ref_=fn_tt_tt_1,USA,2000,5.8
Peter Berg,319,Scott Elrod,125069696,Lone Survivor ,203963,1261,Dan Bilzerian,0,http://www.imdb.com/title/tt1091191/?ref_=fn_tt_tt_1,USA,449,7.6
Penny Marshall,41,Lori Petty,107458785,A League of Their Own ,71754,16751,Rosie O'Donnell,3,http://www.imdb.com/title/tt0104694/?ref_=fn_tt_tt_1,USA,923,7.2
James Wan,300,Frances O'Connor,102310175,The Conjuring 2 ,64989,2676,Robin Atkin Downes,0,http://www.imdb.com/title/tt3065204/?ref_=fn_tt_tt_1,USA,575,7.8
David Fincher,556,Dustin Fitzsimons,96917897,The Social Network ,479453,10555,Marcella Lentz-Pope,0,http://www.imdb.com/title/tt1285016/?ref_=fn_tt_tt_1,USA,349,7.7
Ken Kwapis,161,Sabrina Revelle,93952276,He's Just Not That Into You ,132048,318,Sachiko Ishida,7,http://www.imdb.com/title/tt1001508/?ref_=fn_tt_tt_1,USA,50,6.4
David Zucker,151,Carmen Electra,90703745,Scary Movie 4 ,93748,5855,Regina Hall,8,http://www.imdb.com/title/tt0362120/?ref_=fn_tt_tt_1,USA,869,5.1
Wes Craven,212,Roger Jackson,89138076,Scream 3 ,98535,600,Nancy O'Dell,4,http://www.imdb.com/title/tt0134084/?ref_=fn_tt_tt_1,USA,157,5.5
Robert Zemeckis,111,Jeffrey Weissman,87666629,Back to the Future Part III ,283480,3986,Thomas F. Wilson,0,http://www.imdb.com/title/tt0099088/?ref_=fn_tt_tt_1,USA,869,7.4
Etan Cohen,173,Alison Brie,90353764,Get Hard ,85629,12556,Craig T. Nelson,2,http://www.imdb.com/title/tt2561572/?ref_=fn_tt_tt_1,USA,2000,6.0
Francis Ford Coppola,181,Anthony Hopkins,82522790,Bram Stoker's Dracula ,143835,42220,Gary Oldman,0,http://www.imdb.com/title/tt0103874/?ref_=fn_tt_tt_1,USA,12000,7.5
Nora Ephron,252,Mary Lynn Rajskub,94125426,Julie & Julia ,79264,13321,Vanessa Ferlito,2,http://www.imdb.com/title/tt1135503/?ref_=fn_tt_tt_1,USA,935,7.0
Brian Helgeland,216,Christopher Meloni,95001343,42 ,66511,16911,Nicole Beharie,0,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,USA,3000,7.5
Anthony Minghella,203,Matt Damon,81292135,The Talented Mr. Ripley ,137891,36810,Jack Davenport,1,http://www.imdb.com/title/tt0134119/?ref_=fn_tt_tt_1,USA,13000,7.3
Bobby Farrelly,218,Kathleen Turner,86208010,Dumb and Dumber To ,97045,16179,Rob Riggle,1,http://www.imdb.com/title/tt2096672/?ref_=fn_tt_tt_1,USA,899,5.7
Frank Marshall,118,Bruce Greenwood,81593527,Eight Below ,48806,24300,Wendy Crewson,1,http://www.imdb.com/title/tt0397313/?ref_=fn_tt_tt_1,USA,984,7.3
Nancy Meyers,241,Anne Hathaway,75274748,The Intern ,130661,36010,Rene Russo,2,http://www.imdb.com/title/tt2361509/?ref_=fn_tt_tt_1,USA,11000,7.2
Tim Story,119,Nadine Velazquez,90835030,Ride Along 2 ,28621,5178,Bruce McGill,0,http://www.imdb.com/title/tt2869728/?ref_=fn_tt_tt_1,USA,874,5.9
Michael Mann,89,Terry Kinney,72455275,The Last of the Mohicans ,113068,2144,Eric Schweig,1,http://www.imdb.com/title/tt0104691/?ref_=fn_tt_tt_1,USA,363,7.8
Taylor Hackford,209,Curtis Armstrong,75305995,Ray ,110394,5074,Harry Lennix,0,http://www.imdb.com/title/tt0350258/?ref_=fn_tt_tt_1,USA,876,7.7
Frank Miller,374,Powers Boothe,74098862,Sin City ,656640,3924,Jason Douglas,1,http://www.imdb.com/title/tt0401792/?ref_=fn_tt_tt_1,USA,472,8.1
Pete Travis,235,Edgar Ramírez,72266306,Vantage Point ,127528,6775,William Hurt,4,http://www.imdb.com/title/tt0443274/?ref_=fn_tt_tt_1,USA,897,6.6
John Hamburg,215,Jon Favreau,71347010,I Love You, Man ,166194,28928,Jane Curtin,2,http://www.imdb.com/title/tt1155056/?ref_=fn_tt_tt_1,USA,4000,7.1
Bobby Farrelly,109,Bruce McGill,70836296,Shallow Hal ,109445,2842,Susan Ward,2,http://www.imdb.com/title/tt0256380/?ref_=fn_tt_tt_1,USA,655,5.9
Oliver Stone,125,Jay O. Sanders,70405498,JFK ,113472,698,Cheryl Penland,1,http://www.imdb.com/title/tt0102138/?ref_=fn_tt_tt_1,France,256,8.0
John Whitesell,65,Nia Long,70163652,Big Momma's House 2 ,31968,19334,Marisol Nichols,0,http://www.imdb.com/title/tt0421729/?ref_=fn_tt_tt_1,USA,826,4.6
Gore Verbinski,125,Brad Pitt,66808615,The Mexican ,87351,43917,Julia Roberts,0,http://www.imdb.com/title/tt0236493/?ref_=fn_tt_tt_1,USA,11000,6.1
Angelina Jolie Pitt,322,Jack O'Connell,115603980,Unbroken ,103589,2938,Alex Russell,0,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,USA,698,7.2
Burr Steers,191,Hunter Parrish,64149837,17 Again ,146899,7009,Thomas Lennon,1,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,USA,2000,6.4
Nick Cassavetes,191,Kate Upton,83906114,The Other Woman ,104481,2357,David Thornton,2,http://www.imdb.com/title/tt2203939/?ref_=fn_tt_tt_1,USA,971,6.0
David R. Ellis,221,Andrew Fiscella,66466372,The Final Destination ,75345,303717,Shantel VanSanten,0,http://www.imdb.com/title/tt1144884/?ref_=fn_tt_tt_1,USA,137000,5.2
Steven Spielberg,459,Mark Rylance,72306065,Bridge of Spies ,178118,16944,Amy Ryan,0,http://www.imdb.com/title/tt3682448/?ref_=fn_tt_tt_1,USA,535,7.6
John Moore,131,David Keith,59068786,Behind Enemy Lines ,86902,2544,Sam Jaeger,2,http://www.imdb.com/title/tt0159273/?ref_=fn_tt_tt_1,USA,563,6.4
Nicholas Stoller,222,Mario Lopez,60923325,Get Him to the Greek ,147317,2091,Lino Facioli,2,http://www.imdb.com/title/tt1226229/?ref_=fn_tt_tt_1,USA,719,6.4
Peter Chelsom,118,Nick Cannon,57887882,Shall We Dance ,35508,2325,Omar Benson Miller,2,http://www.imdb.com/title/tt0358135/?ref_=fn_tt_tt_1,USA,593,6.1
Joe Dante,100,Denis Leary,53955614,Small Soldiers ,77415,8610,Robert Picardo,0,http://www.imdb.com/title/tt0122718/?ref_=fn_tt_tt_1,USA,835,6.1
Mark A.Z. Dippé,70,Frank Welker,54967359,Spawn ,52805,7039,Miko Hughes,0,http://www.imdb.com/title/tt0120177/?ref_=fn_tt_tt_1,USA,2000,5.2
Kevin Reynolds,138,James Frain,54228104,The Count of Monte Cristo ,104991,17152,Michael Wincott,1,http://www.imdb.com/title/tt0245844/?ref_=fn_tt_tt_1,UK,1000,7.7
Brad Furman,274,Margarita Levieva,57981889,The Lincoln Lawyer ,173848,13943,Frances Fisher,1,http://www.imdb.com/title/tt1189340/?ref_=fn_tt_tt_1,USA,980,7.3
Jaume Collet-Serra,349,Frank Langella,61094903,Unknown ,210542,17152,Aidan Quinn,3,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,UK,903,6.9
Christopher Nolan,341,Hugh Jackman,53082743,The Prestige ,844052,63986,Scarlett Johansson,1,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,USA,20000,8.5
Sean Anders,196,Christoph Waltz,54414716,Horrible Bosses 2 ,114294,30571,Lindsay Sloane,7,http://www.imdb.com/title/tt2170439/?ref_=fn_tt_tt_1,USA,11000,6.3
Cal Brunker,83,Paul Scheer,57011847,Escape from Planet Earth ,20615,3361,Jonathan Morgan Heit,2,http://www.imdb.com/title/tt0765446/?ref_=fn_tt_tt_1,USA,190,5.9
Mel Gibson,283,Dalia Hernández,50859889,Apocalypto ,236000,848,Jonathan Brewer,0,http://www.imdb.com/title/tt0472043/?ref_=fn_tt_tt_1,USA,78,7.8
John Glen,105,Desmond Llewelyn,51185897,The Living Daylights ,69457,1233,Art Malik,1,http://www.imdb.com/title/tt0093428/?ref_=fn_tt_tt_1,UK,244,6.7
Nimród Antal,351,Alice Braga,52000688,Predators ,171418,4243,Derek Mears,0,http://www.imdb.com/title/tt1424381/?ref_=fn_tt_tt_1,USA,1000,6.4
Ivan Reitman,16,Debra Winger,49851591,Legal Eagles ,7900,2179,Roscoe Lee Browne,3,http://www.imdb.com/title/tt0091396/?ref_=fn_tt_tt_1,USA,568,5.9
David Koepp,195,Charles S. Dutton,47781388,Secret Window ,147504,41293,Timothy Hutton,1,http://www.imdb.com/title/tt0363988/?ref_=fn_tt_tt_1,USA,534,6.6
Alejandro Agresti,175,Dylan Walsh,52320979,The Lake House ,114321,18693,Ebon Moss-Bachrach,0,http://www.imdb.com/title/tt0410297/?ref_=fn_tt_tt_1,USA,426,6.8
Iain Softley,193,Deneen Tyler,47806295,The Skeleton Key ,87447,1274,Joy Bryant,0,http://www.imdb.com/title/tt0397101/?ref_=fn_tt_tt_1,USA,351,6.5
Peter Hedges,169,Odeya Rush,51853450,The Odd Life of Timothy Green ,37398,9069,Common,0,http://www.imdb.com/title/tt1462769/?ref_=fn_tt_tt_1,USA,2000,6.6
Paul Weiland,128,Beau Garrett,46012734,Made of Honor ,54421,4298,Kevin Sussman,2,http://www.imdb.com/title/tt0866439/?ref_=fn_tt_tt_1,USA,689,5.8
Clint Eastwood,249,Steve Schirripa,47034272,Jersey Boys ,25465,2281,Scott Vance,1,http://www.imdb.com/title/tt1742044/?ref_=fn_tt_tt_1,USA,413,6.9
Francis Ford Coppola,91,Dean Stockwell,45856732,The Rainmaker ,46221,16762,Virginia Madsen,1,http://www.imdb.com/title/tt0119978/?ref_=fn_tt_tt_1,USA,936,7.1
Mathieu Kassovitz,207,Charles S. Dutton,59588068,Gothika ,89557,22318,Bernard Hill,1,http://www.imdb.com/title/tt0348836/?ref_=fn_tt_tt_1,USA,534,5.8
Steven Spielberg,77,Morgan Freeman,44175394,Amistad ,56509,37570,Matthew McConaughey,2,http://www.imdb.com/title/tt0118607/?ref_=fn_tt_tt_1,USA,11000,7.2
John McTiernan,25,José Wilker,45500797,Medicine Man ,17443,519,Sean Connery,2,http://www.imdb.com/title/tt0104839/?ref_=fn_tt_tt_1,USA,47,6.0
Colin Strause,211,Johnny Lewis,41797066,Aliens vs. Predator: Requiem ,92789,4324,Ian Whyte,0,http://www.imdb.com/title/tt0758730/?ref_=fn_tt_tt_1,USA,741,4.7
Donald Petrie,19,John Larroquette,38087756,Ri¢hie Ri¢h ,49612,4634,Jonathan Hyde,1,http://www.imdb.com/title/tt0110989/?ref_=fn_tt_tt_1,USA,450,5.2
Joan Chen,101,Sam Trammell,37752931,Autumn in New York ,20201,26938,Elaine Stritch,2,http://www.imdb.com/title/tt0174480/?ref_=fn_tt_tt_1,USA,1000,5.5
Marc Lawrence,175,Scott Porter,50562555,Music and Lyrics ,81334,2787,Haley Bennett,4,http://www.imdb.com/title/tt0758766/?ref_=fn_tt_tt_1,USA,690,6.5
Greg Mottola,342,Nelson Ascencio,37371385,Paul ,192462,390,Jeremy Owen,0,http://www.imdb.com/title/tt1092026/?ref_=fn_tt_tt_1,USA,61,7.0
Anne Fletcher,147,Tom Virtue,37101011,The Guilt Trip ,30394,1070,Julene Renee,1,http://www.imdb.com/title/tt1694020/?ref_=fn_tt_tt_1,USA,358,5.8
Wes Craven,420,Aimee Teegarden,38176892,Scream 4 ,104119,4486,Shenae Grimes-Beech,0,http://www.imdb.com/title/tt1262416/?ref_=fn_tt_tt_1,USA,741,6.2
Joel Schumacher,138,Chris Bauer,36283504,8MM ,104564,12970,Anthony Heald,1,http://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1,Germany,638,6.5
Oliver Stone,82,Kevin Dillon,35183792,The Doors ,68159,3044,Kathleen Quinlan,1,http://www.imdb.com/title/tt0101761/?ref_=fn_tt_tt_1,USA,576,7.2
Jake Kasdan,201,Randall Park,38543473,Sex Tape ,84382,1488,Nat Faxon,2,http://www.imdb.com/title/tt1956620/?ref_=fn_tt_tt_1,USA,392,5.1
Diane Keaton,82,Celia Weston,36037909,Hanging Up ,10132,1238,Jesse James,3,http://www.imdb.com/title/tt0162983/?ref_=fn_tt_tt_1,Germany,258,4.7
Steven Quale,277,Jacqueline MacInnes Wood,42575718,Final Destination 5 ,83788,3074,Courtney B. Vance,0,http://www.imdb.com/title/tt1622979/?ref_=fn_tt_tt_1,USA,682,5.9
Kelly Makin,90,Burt Young,33864342,Mickey Blue Eyes ,29968,2913,Vincent Pastore,1,http://www.imdb.com/title/tt0130121/?ref_=fn_tt_tt_1,UK,683,5.8
Mimi Leder,157,Haley Joel Osment,33508922,Pay It Forward ,95860,23920,Angie Dickinson,2,http://www.imdb.com/title/tt0223897/?ref_=fn_tt_tt_1,USA,3000,7.2
Bobby Farrelly,124,KaDee Strickland,42071069,Fever Pitch ,36223,1827,Ione Skye,1,http://www.imdb.com/title/tt0332047/?ref_=fn_tt_tt_1,USA,299,6.2
,3,Melissa Altro,,Arthur             ,8495,108,Daniel Brochu,0,http://www.imdb.com/title/tt0169414/?ref_=fn_tt_tt_1,Canada,21,7.4
Steven Brill,146,Shaun Weiss,32853640,Drillbit Taylor ,50199,3239,Matt Walsh,1,http://www.imdb.com/title/tt0817538/?ref_=fn_tt_tt_1,USA,613,5.7
Seth MacFarlane,303,Charlize Theron,42615685,A Million Ways to Die in the West ,136093,28927,Seth MacFarlane,3,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,USA,9000,6.1
Russell Mulcahy,70,Peter Boyle,32055248,The Shadow ,18723,2711,John Kapelos,0,http://www.imdb.com/title/tt0111143/?ref_=fn_tt_tt_1,USA,595,6.0
Stephen Daldry,283,Thomas Horn,31836745,Extremely Loud & Incredibly Close ,81298,15595,Stephen Henderson,1,http://www.imdb.com/title/tt0477302/?ref_=fn_tt_tt_1,USA,467,6.9
Roger Michell,212,Patti D'Arbanville,30993544,Morning Glory ,58871,621,Vanessa Aspillaga,0,http://www.imdb.com/title/tt1126618/?ref_=fn_tt_tt_1,USA,117,6.5
Jim Sheridan,98,Bill Duke,30981850,Get Rich or Die Tryin' ,35834,3969,Marc John Jefferies,0,http://www.imdb.com/title/tt0430308/?ref_=fn_tt_tt_1,USA,1000,5.0
Christian Duguay,110,Cary-Hiroyuki Tagawa,30199105,The Art of War ,25346,3753,Anne Archer,0,http://www.imdb.com/title/tt0160009/?ref_=fn_tt_tt_1,USA,1000,5.7
Chris Columbus,146,David Fine,29077547,Rent ,41685,5917,Jesse L. Martin,1,http://www.imdb.com/title/tt0294870/?ref_=fn_tt_tt_1,USA,1000,7.0
Chuck Russell,100,Jimmy Smits,29374178,Bless the Child ,12093,4565,Angela Bettis,0,http://www.imdb.com/title/tt0163983/?ref_=fn_tt_tt_1,USA,941,5.1
Sam Weisman,62,Valerie Perri,28535768,The Out-of-Towners ,10446,1335,Carlease Burke,2,http://www.imdb.com/title/tt0129280/?ref_=fn_tt_tt_1,USA,322,5.3
John Frankenheimer,70,Temuera Morrison,27663982,The Island of Dr. Moreau ,26051,10469,Marco Hofschneider,2,http://www.imdb.com/title/tt0116654/?ref_=fn_tt_tt_1,USA,368,4.4
Peter Hyams,107,Justin Chambers,27053815,The Musketeer ,12856,2888,Stephen Rea,0,http://www.imdb.com/title/tt0246544/?ref_=fn_tt_tt_1,Germany,931,4.7
Justin Chadwick,169,Scarlett Johansson,26814957,The Other Boleyn Girl ,84357,77823,Benedict Cumberbatch,3,http://www.imdb.com/title/tt0467200/?ref_=fn_tt_tt_1,UK,19000,6.7
Pat O'Connor,94,Charlize Theron,25178165,Sweet November ,70292,29484,Frank Langella,1,http://www.imdb.com/title/tt0230838/?ref_=fn_tt_tt_1,USA,9000,6.7
Stephen Hopkins,190,Andrea Frankle,25117498,The Reaping ,37412,960,William Ragsdale,0,http://www.imdb.com/title/tt0444682/?ref_=fn_tt_tt_1,USA,253,5.7
Martin Scorsese,112,David Carradine,32645,Mean Streets ,67797,23737,David Proval,0,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,USA,926,7.4
Penny Marshall,12,Cliff Robertson,24332324,Renaissance Man ,13830,3126,Lillo Brancato,1,http://www.imdb.com/title/tt0110971/?ref_=fn_tt_tt_1,USA,754,6.1
Olivier Megaton,201,Callum Blue,36665854,Colombiana ,76498,3432,Jesse Borrego,0,http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1,France,738,6.4
Frederik Du Chau,34,Jaleel White,22717758,The Magic Sword: Quest for Camelot ,11156,14275,Eric Idle,0,http://www.imdb.com/title/tt0120800/?ref_=fn_tt_tt_1,USA,908,6.2
Michael Caton-Jones,104,James Franco,22433915,City by the Sea ,21319,34377,John Doman,1,http://www.imdb.com/title/tt0269095/?ref_=fn_tt_tt_1,USA,11000,6.2
Irwin Winkler,55,Nathan Lane,22326247,At First Sight ,11232,3821,Steven Weber,1,http://www.imdb.com/title/tt0132512/?ref_=fn_tt_tt_1,USA,886,5.9
Joseph Kahn,86,Jay Hernandez,21176322,Torque ,23747,5039,Christina Milian,0,http://www.imdb.com/title/tt0329691/?ref_=fn_tt_tt_1,USA,1000,4.0
Harold Becker,50,Martin Landau,20300000,City Hall ,16741,17877,Bridget Fonda,2,http://www.imdb.com/title/tt0115907/?ref_=fn_tt_tt_1,USA,940,6.2
Paul Verhoeven,181,Elizabeth Berkley,20302961,Showgirls ,49874,18913,Robert Davi,0,http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1,France,893,4.6
Sofia Coppola,260,Shirley Henderson,15962471,Marie Antoinette ,79892,7243,Rip Torn,1,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,USA,887,6.4
Barbet Schroeder,40,Michael Rapaport,14942422,Kiss of Death ,14226,14008,Philip Baker Hall,3,http://www.imdb.com/title/tt0113552/?ref_=fn_tt_tt_1,USA,975,5.9
Stephen Kay,102,Miranda Richardson,14967182,Get Carter ,27305,14463,Lauren Lee Smith,1,http://www.imdb.com/title/tt0208988/?ref_=fn_tt_tt_1,USA,530,5.1
J.A. Bayona,371,Geraldine Chaplin,18996755,The Impossible ,145270,7099,Oaklee Pendergast,0,http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1,Spain,382,7.6
Elaine May,49,Warren Beatty,14375181,Ishtar ,8692,3374,Isabelle Adjani,2,http://www.imdb.com/title/tt0093278/?ref_=fn_tt_tt_1,USA,631,4.2
Wes Anderson,335,Meryl Streep,20999103,Fantastic Mr. Fox ,139114,24770,Helen McCrory,0,http://www.imdb.com/title/tt0432283/?ref_=fn_tt_tt_1,USA,11000,7.8
Stephen Herek,86,Stockard Channing,14448589,Life or Something Like It ,19364,12566,James Gammon,2,http://www.imdb.com/title/tt0282687/?ref_=fn_tt_tt_1,USA,944,5.8
John Carpenter,40,Michael McKean,14358033,Memoirs of an Invisible Man ,17365,2125,Patricia Heaton,2,http://www.imdb.com/title/tt0104850/?ref_=fn_tt_tt_1,USA,658,5.9
Jean-Pierre Jeunet,242,Jamel Debbouze,33201661,Amélie ,534262,809,Isabelle Nanty,0,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,France,326,8.4
Dennie Gordon,70,Bob Saget,14018364,New York Minute ,17722,3974,Riley Smith,1,http://www.imdb.com/title/tt0363282/?ref_=fn_tt_tt_1,USA,799,4.8
Charles Shyer,135,Nia Long,13395939,Alfie ,43442,3639,Jane Krakowski,4,http://www.imdb.com/title/tt0375173/?ref_=fn_tt_tt_1,UK,826,6.2
Ken Kwapis,125,Tim Blake Nelson,20113965,Big Miracle ,15231,1702,Andrew Daly,3,http://www.imdb.com/title/tt1430615/?ref_=fn_tt_tt_1,USA,596,6.5
Ulu Grosbard,54,Treat Williams,13376506,The Deep End of the Ocean ,10413,4327,Jonathan Jackson,1,http://www.imdb.com/title/tt0120646/?ref_=fn_tt_tt_1,USA,642,6.3
William Malone,104,Jeffrey Combs,13208023,Feardotcom ,17309,4262,Udo Kier,1,http://www.imdb.com/title/tt0295254/?ref_=fn_tt_tt_1,UK,886,3.3
Paul Weitz,157,Salma Hayek,13838130,Cirque du Freak: The Vampire's Assistant ,35990,20503,Patrick Fugit,3,http://www.imdb.com/title/tt0450405/?ref_=fn_tt_tt_1,USA,4000,5.9
Paul McGuigan,159,Spencer Wilding,5773519,Victor Frankenstein ,28618,12876,Daniel Mays,2,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,USA,1000,6.0
Danny DeVito,78,Amber Valletta,9652000,Duplex ,46205,3096,Harvey Fierstein,0,http://www.imdb.com/title/tt0266489/?ref_=fn_tt_tt_1,USA,627,5.8
Malcolm D. Lee,88,Sean Hayes,12081447,Soul Men ,7794,4103,Mike Epps,2,http://www.imdb.com/title/tt1111948/?ref_=fn_tt_tt_1,USA,760,6.5
Jerry Jameson,32,Jason Robards,7000000,Raise the Titanic ,2933,1883,Anne Archer,0,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,UK,372,4.7
Mic Rodgers,75,Daniel von Bargen,10431220,Universal Soldier: The Return ,24216,4024,Xander Berkeley,0,http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,USA,577,4.1
Christian Alvart,219,Dennis Quaid,10326062,Pandorum ,121432,14127,Eddie Rouse,0,http://www.imdb.com/title/tt1188729/?ref_=fn_tt_tt_1,Germany,2000,6.8
Gary Fleder,83,Mekhi Phifer,6114237,Impostor ,19986,2664,Tim Guinee,4,http://www.imdb.com/title/tt0160399/?ref_=fn_tt_tt_1,USA,1000,6.2
Christian Duguay,53,Bridgette Wilson-Sampras,4835968,Extreme Ops ,4821,4123,Rupert Graves,0,http://www.imdb.com/title/tt0283160/?ref_=fn_tt_tt_1,UK,545,4.5
Jean-Marie Poiré,61,Matt Ross,4777007,Just Visiting ,15130,1149,John Aylward,3,http://www.imdb.com/title/tt0189192/?ref_=fn_tt_tt_1,France,248,5.8
Danny Boyle,308,Benedict Wong,3675072,Sunshine ,190132,11623,Troy Garity,0,http://www.imdb.com/title/tt0448134/?ref_=fn_tt_tt_1,UK,372,7.3
Brian Robbins,70,Lou Saliba,18438149,A Thousand Words ,30842,222,Greg Collins,8,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,USA,46,5.9
