director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,aspect_ratio
Rich Moore,66,Sarah Silverman,975,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph ,4451,arcade|candy|glitch|king|medal,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345,English,USA,PG,2012,931,2.35
Robert Zemeckis,0,Eddie Deezen,15000,Adventure|Animation|Family|Fantasy,Tom Hanks,The Polar Express ,16264,boy|christmas|christmas eve|north pole|train,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444,English,USA,G,2004,726,2.35
Roland Emmerich,776,Sela Ward,890,Action|Adventure|Sci-Fi,Vivica A. Fox,Independence Day: Resurgence ,3233,alien|battle|defense|independence day|mothership,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520,English,USA,PG-13,2016,812,2.35
Dean DeBlois,255,America Ferrera,18000,Adventure|Animation|Family|Fantasy,Gerard Butler,How to Train Your Dragon ,20453,dragon|island|training|viking|village,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,492,English,USA,PG,2010,953,2.35
Jonathan Mostow,84,M.C. Gainey,648,Action|Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines ,1769,drifter|exploding truck|future|machine|skynet,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676,English,USA,R,2003,284,2.35
James Gunn,571,Vin Diesel,14000,Action|Adventure|Sci-Fi,Bradley Cooper,Guardians of the Galaxy ,32438,bounty hunter|outer space|raccoon|talking animal|tree,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1097,English,USA,PG-13,2014,14000,2.35
Christopher Nolan,22000,Anne Hathaway,11000,Adventure|Drama|Sci-Fi,Matthew McConaughey,Interstellar ,31488,black hole|father daughter relationship|saving the world|space travel|wormhole,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2725,English,USA,PG-13,2014,11000,2.35
Christopher Nolan,22000,Tom Hardy,29000,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,Inception ,81115,ambiguous ending|corporate espionage|dream|subconscious|thief,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,2803,English,USA,PG-13,2010,27000,2.35
Hideaki Anno,28,Shin'ya Tsukamoto,544,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence ,699,blood|godzilla|monster|sequel,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,13,Japanese,Japan,,2016,106,2.35
Peter Jackson,0,Adam Brown,5000,Adventure|Fantasy,Aidan Turner,The Hobbit: An Unexpected Journey ,9152,dragon|dwarf|hobbit|orc|wizard,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,1367,English,USA,PG-13,2012,972,2.35
Rob Cohen,357,Vin Diesel,23000,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,45327,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988,English,USA,PG-13,2001,14000,2.35
David Fincher,21000,Jason Flemyng,11000,Drama|Fantasy|Romance,Brad Pitt,The Curious Case of Benjamin Button ,13333,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,822,English,USA,PG-13,2008,1000,2.35
Matthew Vaughn,905,Michael Fassbender,34000,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: First Class ,50983,cia|cia agent|mutant|nuclear war|professor,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,698,English,USA,PG-13,2011,13000,2.35
Francis Lawrence,508,Philip Seymour Hoffman,34000,Adventure|Sci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,81385,death of sister|dystopia|execution|rebellion|revolution,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,383,English,USA,PG-13,2015,22000,2.35
Jon Turteltaub,226,Omar Benson Miller,12000,Action|Adventure|Family|Fantasy,Nicolas Cage,The Sorcerer's Apprentice ,13388,chosen one|enchanted object|love|spell|training,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,238,English,USA,PG,2010,418,2.35
Wolfgang Petersen,249,Mike Vogel,87000,Action|Adventure|Drama|Thriller,Jimmy Bennett,Poseidon ,92456,cruise|escape|ocean|passenger|water,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,629,English,USA,PG-13,2006,2000,2.35
James Bobin,33,Alan Rickman,40000,Adventure|Family|Fantasy,Johnny Depp,Alice Through the Looking Glass ,80806,clock|dark fantasy|mad hatter|queen|sequel,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,English,USA,PG,2016,25000,1.85
Chris Miller,50,Eric Idle,3000,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,Shrek the Third ,4705,disney spoof|fairy tale|prince|princess|tough guy,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,326,English,USA,PG,2007,795,1.85
Duncan Jones,0,Callum Rennie,3000,Action|Adventure|Fantasy,Dominic Cooper,Warcraft ,5505,based on video game|fictional language|fictional war|orc|sword and sorcery,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,781,English,USA,PG-13,2016,716,2.35
Alan Taylor,230,Emilia Clarke,24000,Action|Adventure|Sci-Fi,J.K. Simmons,Terminator Genisys ,38873,alternate timeline|cyborg|future|robot|time machine,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,867,English,USA,PG-13,2015,10000,2.35
Michael Apted,150,Shane Rangi,531,Adventure|Family|Fantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,764,dragon|king|mouse|quest|warrior,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,227,English,USA,PG,2010,82,1.78
Michael Bay,0,Jaime King,3000,Action|Drama|History|Romance|War,Jennifer Garner,Pearl Harbor ,5401,air raid|black smoke|japanese military|japanese navy|sunday,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,1999,English,USA,PG-13,2001,961,2.35
Michael Bay,0,Michael O'Neill,662,Action|Adventure|Sci-Fi,Zack Ward,Transformers ,2333,alien contact|autobot|decepticon|robot vs. robot|teenage hero,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,1782,English,USA,PG-13,2007,599,2.35
Oliver Stone,0,Angelina Jolie Pitt,12000,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,Alexander ,24598,ancient greece|conquest|greek|greek myth|king,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390,English,Germany,R,2004,11000,2.35
David Yates,282,Daniel Radcliffe,21000,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Order of the Phoenix ,33433,battle|magic|school|teacher|wizard,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,1108,English,UK,PG-13,2007,11000,2.35
Mike Newell,179,Daniel Radcliffe,21000,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Harry Potter and the Goblet of Fire ,53413,fire|goblet|magic|tournament|wizard,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,1896,English,UK,PG-13,2005,11000,2.35
Peter Berg,532,Charlize Theron,10000,Action|Drama,Will Smith,Hancock ,21584,bully comeuppance|destruction|prison|superhero|tough girl,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,590,English,USA,PG-13,2008,9000,2.35
Francis Lawrence,508,Alice Braga,10000,Drama|Horror|Sci-Fi,Will Smith,I Am Legend ,13076,new york city|pandemic|post apocalypse|survivalist|virus,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,1413,English,USA,PG-13,2007,1000,2.35
Tim Burton,13000,Christopher Lee,40000,Adventure|Comedy|Family|Fantasy,Johnny Depp,Charlie and the Chocolate Factory ,57844,chocolate|diminution|miniaturization|physical flexability|ticket,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,1361,English,USA,PG,2005,16000,1.85
Brad Bird,663,John Ratzenberger,1000,Animation|Comedy|Family|Fantasy,Janeane Garofalo,Ratatouille ,4764,chef|food|french|rat|restaurant,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,626,English,USA,G,2007,1000,2.35
Christopher Nolan,22000,Liam Neeson,23000,Action|Adventure,Christian Bale,Batman Begins ,59558,armored car|gangster|gotham|mixed martial arts|social decay,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,2685,English,USA,PG-13,2005,14000,2.35
Eric Darnell,35,Jada Pinkett Smith,1000,Action|Adventure|Animation|Comedy|Family,Bernie Mac,Madagascar: Escape 2 Africa ,3285,africa|madagascar|new york city|sequel|zoo,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,119,English,USA,PG,2008,851,1.85
Shawn Levy,189,Rami Malek,49000,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian ,54039,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,209,English,USA,PG,2009,3000,2.35
Gavin Hood,151,Ryan Reynolds,20000,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men Origins: Wolverine ,40054,army|civil war|claw fight|commando|wolverine the character,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,641,English,USA,PG-13,2009,16000,2.35
Lana Wachowski,0,Collin Chou,309,Action|Sci-Fi,Essie Davis,The Matrix Revolutions ,1062,battle|epic|fight|future|machine,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,2121,English,Australia,R,2003,269,2.35
Chris Buck,69,Maurice LaMarche,1000,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,Frozen ,2582,magic|sister love|sister sister relationship|snow|snowman,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,904,English,USA,PG,2013,523,2.24
Lana Wachowski,0,Daniel Bernhardt,234,Action|Sci-Fi,Steve Bastoni,The Matrix Reloaded ,534,car motorcycle chase|one against many|oracle|prophecy|stylized violence,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,2789,English,USA,R,2003,198,2.35
Alan Taylor,230,Natalie Portman,26000,Action|Adventure|Fantasy,Chris Hemsworth,Thor: The Dark World ,59803,arrest|portal|thor|warrior|weapon,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,532,English,USA,PG-13,2013,20000,2.35
George Miller,750,Charlize Theron,27000,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,Mad Max: Fury Road ,40025,australia|desert|escape|on the run|post apocalypse,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,1588,English,Australia,R,2015,9000,2.35
Ron Howard,2000,Ayelet Zurer,15000,Mystery|Thriller,Tom Hanks,Angels & Demons ,16948,conclave|illuminati|murder|reference to bernini|reference to raphael,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,435,English,USA,PG-13,2009,745,2.35
Kenneth Branagh,0,Natalie Portman,26000,Action|Adventure|Fantasy,Chris Hemsworth,Thor ,60059,battle|marvel cinematic universe|scientist|thor|throne,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,738,English,USA,PG-13,2011,20000,2.35
Byron Howard,59,Diedrich Bader,17000,Adventure|Animation|Comedy|Drama|Family,Chloë Grace Moretz,Bolt ,20007,cat|dog|hamster|new york city|superpower,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,178,English,USA,PG,2008,759,1.85
Hoyt Yeatman,12,Piper Mackenzie Harris,730,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Kelli Garner,G-Force ,2217,fbi director|guinea pig|household appliance|secret agent|talking mouse,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,90,English,USA,PG,2009,607,2.35
Jonathan Liebesman,473,Edgar Ramírez,14000,Action|Adventure|Fantasy,Liam Neeson,Wrath of the Titans ,16184,ares|hades|titan|underworld|zeus,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,253,English,USA,PG-13,2012,897,1.85
Tim Burton,13000,Chloë Grace Moretz,40000,Comedy|Fantasy|Horror,Johnny Depp,Dark Shadows ,80849,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,479,English,USA,PG-13,2012,17000,1.85
Christopher McQuarrie,188,Jeremy Renner,10000,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible - Rogue Nation ,21840,capture|computer hacker|mission|rogue agent|spy,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,440,English,China,PG-13,2015,10000,2.35
Joe Johnston,394,Simon Merrells,12000,Drama|Fantasy|Horror|Thriller,Anthony Hopkins,The Wolfman ,13071,asylum|death|full moon|transformation|werewolf,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1,432,English,USA,R,2010,490,1.85
David Yates,282,Alexander Skarsgård,11000,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,21175,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,2016,10000,2.35
Steve Hickner,58,Oprah Winfrey,2000,Adventure|Animation|Comedy|Family,Matthew Broderick,Bee Movie ,6576,bee|dream sequence|egg|scatological humor|squashed bug,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1,206,English,USA,PG,2007,852,1.85
Jennifer Yuh Nelson,90,Gary Oldman,11000,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Kung Fu Panda 2 ,21015,china|kung fu|panda|peacock|tigress,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,209,English,USA,PG,2011,10000,2.35
M. Night Shyamalan,0,Noah Ringer,1000,Action|Adventure|Family|Fantasy,Seychelle Gabriel,The Last Airbender ,2857,avatar|fire|kingdom|tribe|water,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1,1382,English,USA,PG,2010,756,2.35
J.J. Abrams,14000,Tom Cruise,22000,Action|Adventure|Thriller,Philip Seymour Hoffman,Mission: Impossible III ,34817,arms dealer|fictional government agency|mission|rescue|vatican,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1,871,English,USA,PG-13,2006,10000,2.35
Roland Emmerich,776,Jake Weber,17000,Action|Drama|Thriller,Channing Tatum,White House Down ,18204,black u.s. president|president|secret service|tour|white house,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,434,English,USA,PG-13,2013,551,2.35
Simon Wells,25,Dan Fogler,921,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Elisabeth Harnois,Mars Needs Moms ,2652,boy|martian|rescue|robot|sexism,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1,112,English,USA,PG,2011,562,2.35
David Bowers,42,Kate Winslet,20000,Adventure|Animation|Comedy|Family,Hugh Jackman,Flushed Away ,35161,boat|frog|rat|sewer|toad,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1,122,English,UK,PG,2006,14000,1.85
Joe Wright,456,Cara Delevingne,20000,Adventure|Family|Fantasy,Hugh Jackman,Pan ,21393,1940s|child hero|fantasy world|orphan|reference to peter pan,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,186,English,USA,PG,2015,548,2.35
Rob Minkoff,50,Zach Callison,3000,Adventure|Animation|Comedy|Family|Sci-Fi,Ty Burrell,Mr. Peabody & Sherman ,5810,dog|father son relationship|inventor|talking dog|time travel,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,130,English,USA,PG,2014,1000,1.85
Wolfgang Petersen,249,Orlando Bloom,11000,Adventure,Brad Pitt,Troy ,17944,greek|mythology|prince|trojan|troy,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1,1694,English,USA,R,2004,5000,2.35
Eric Darnell,35,Martin Short,851,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,2444,animal|circus|island name in title|lemur|penguin,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1,154,English,USA,PG,2012,770,1.85
Lee Tamahori,93,Colin Salmon,769,Action|Adventure|Thriller,Toby Stephens,Die Another Day ,2538,catfight|clinic|colonel|diamond|patricide,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1,1185,English,UK,PG-13,2002,766,2.35
Paul Feig,176,Kate McKinnon,783,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,Ghostbusters ,2097,ghost|ghostbuster|ghostbusters|male objectification|reboot,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,1211,English,USA,PG-13,2016,370,2.35
Michael Bay,0,Steve Buscemi,13000,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,Armageddon ,26029,asteroid|astronaut|bomb|meteorite|outer space,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,1998,12000,2.35
Barry Sonnenfeld,188,Rosario Dawson,10000,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Men in Black II ,14823,alien|lingerie|lingerie model|m.i.b.|pug,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1,606,English,USA,PG-13,2002,3000,1.85
Robert Zemeckis,0,Anthony Hopkins,18000,Action|Adventure|Animation|Fantasy,Robin Wright,Beowulf ,31523,creature|demon|king|reward|warrior,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,505,English,USA,PG-13,2007,12000,2.35
Alessandro Carloni,5,Angelina Jolie Pitt,24000,Action|Adventure|Animation|Comedy|Family,J.K. Simmons,Kung Fu Panda 3 ,36095,china|kung fu|panda|pig|village,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,145,English,USA,PG,2016,11000,2.35
Brad Bird,663,Jeremy Renner,10000,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible - Ghost Protocol ,21768,dubai|kremlin|race against time|russian|terrorist,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1,512,English,USA,PG-13,2011,10000,2.35
Peter Ramsey,52,Kamil McFadden,20000,Adventure|Animation|Family|Fantasy,Hugh Jackman,Rise of the Guardians ,20645,belief|box office hit|children|new york city|tooth,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1,174,English,USA,PG,2012,315,1.85
Dean Parisot,23,Richard Burgi,957,Comedy|Crime,John Michael Higgins,Fun with Dick and Jane ,1997,animal abuse|ceo|heist|suburb|unemployment,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1,258,English,USA,PG-13,2005,550,2.35
Edward Zwick,380,Tony Goldwyn,10000,Action|Drama|History|War,Tom Cruise,The Last Samurai ,11945,captain|emperor|honor|japan|samurai,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,928,English,USA,R,2003,956,2.35
Ridley Scott,0,María Valverde,23000,Action|Adventure|Drama,Christian Bale,Exodus: Gods and Kings ,26490,egypt|exodus|moses|pharaoh|plague,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,657,English,UK,PG-13,2014,893,2.35
J.J. Abrams,14000,Leonard Nimoy,26000,Action|Adventure|Sci-Fi,Chris Hemsworth,Star Trek ,39284,box office hit|future|lifted by the throat|star trek|vulcan,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1,1559,English,USA,PG-13,2009,12000,2.35
Sam Raimi,0,James Franco,24000,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man ,40484,evil|goblin|spider|spider man|superhero,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1,2012,English,USA,PG-13,2002,11000,1.85
Dean DeBlois,255,Djimon Hounsou,18000,Action|Adventure|Animation|Comedy|Family|Fantasy,Gerard Butler,How to Train Your Dragon 2 ,23378,dragon|father son relationship|husband wife relationship|mother son relationship|viking,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1,343,English,USA,PG,2014,3000,2.35
Alex Proyas,295,Elodie Yung,18000,Action|Adventure|Fantasy,Gerard Butler,Gods of Egypt ,19769,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1,273,English,USA,PG-13,2016,934,2.35
Rob Cohen,357,Joe Morton,820,Action|Adventure|Sci-Fi|Thriller,Sam Shepard,Stealth ,2705,artificial intelligence|box office flop|fighter jet|navy|pilot,http://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1,388,English,USA,PG-13,2005,780,2.35
Zack Snyder,0,Billy Crudup,986,Action|Drama|Mystery|Sci-Fi,Matt Frewer,Watchmen ,2530,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1,1229,English,USA,R,2009,745,2.35
Richard Donner,503,Rene Russo,5000,Action|Crime|Thriller,Jet Li,Lethal Weapon 4 ,6171,kung fu|lapd|martial arts|private investigator|triad,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,287,English,USA,R,1998,808,2.35
Ang Lee,0,Regi Davis,820,Action|Sci-Fi,Kevin Rankin,Hulk ,1814,1980s|c 130 hercules|monster|panzer|san francisco california,http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1,1445,English,USA,PG-13,2003,300,1.85
Jon M. Chu,209,Dwayne Johnson,17000,Action|Adventure|Sci-Fi|Thriller,Channing Tatum,G.I. Joe: Retaliation ,31958,general|gi joe|martial arts|ninja|president,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,288,English,USA,PG-13,2013,12000,2.35
Breck Eisner,42,Rainn Wilson,11000,Action|Adventure|Comedy|Thriller,Matthew McConaughey,Sahara ,13073,beach|civil war|desert|dictator|ship,http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1,463,English,UK,PG-13,2005,973,2.35
Hironobu Sakaguchi,6,Ming-Na Wen,12000,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Steve Buscemi,Final Fantasy: The Spirits Within ,15015,general|military|scientist|soldier|year 2065,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,788,English,USA,PG-13,2001,2000,1.85
Joe Johnston,394,Dominic Cooper,11000,Action|Adventure|Sci-Fi,Chris Evans,Captain America: The First Avenger ,19761,arctic|captain america|scientist|tesseract|war bond,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1,679,English,USA,PG-13,2011,3000,2.35
Michael Apted,150,Maria Grazia Cucinotta,766,Action|Adventure|Thriller,Colin Salmon,The World Is Not Enough ,2037,british|oil|scientist|terrorist|tycoon,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,683,English,UK,PG-13,1999,536,2.35
Peter Weir,608,Lee Ingleby,613,Action|Adventure|Drama|History|War,James D'Arcy,Master and Commander: The Far Side of the World ,1205,1800s|napoleonic wars|pursuit|royal navy|ship,http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1,684,English,USA,PG-13,2003,172,2.35
