director_name,num_critic_for_reviews,actor_1_facebook_likes,gross,genres,movie_title,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,title_year
Charles Ferguson,171,13000,4311834,Crime|Documentary,Inside Job ,Barney Frank,florida|iceland|interview|new york city new york|recession,129,USA,,2010
Max Joseph,158,804,3590010,Drama|Music|Romance,We Are Your Friends ,Jonny Weston,box office flop|critically bashed|male objectification|narcissism|wannabe dj,60,UK,2000000,2015
Jim Jarmusch,167,251,3300230,Action|Crime|Drama|Thriller,Ghost Dog: The Way of the Samurai ,Richard Portnow,african american|code|dog|pigeon|samurai,346,France,,1999
David Ayer,118,24000,3335839,Action|Crime|Drama|Thriller,Harsh Times ,Noel Gugliemi,blood splatter|friend|lapd|mexican|violence,222,USA,2000000,2005
Jerry Jameson,39,1000,2557668,Crime|Drama|Thriller,Captive ,Sydelle Noel,auto theft|based on true story|drug addict|kidnapping|violence,22,USA,2000000,2015
Steven Soderbergh,108,8000,2506446,Comedy|Romance,Full Frontal ,Blair Underwood,birthday|friend|hollywood|party|sex,172,USA,2000000,2002
Kevin Tenney,65,265,7369373,Horror|Mystery|Thriller,Witchboard ,Rose Marie,evil spirit|hatchet|ouija|ouija board|psychopathic killer,74,UK,2000000,1986
,8,459,,Comedy,Strangers with Candy             ,Maria Thayer,alternative comedy|female protagonist|high school|social satire|three word title,62,USA,,
Kenneth Branagh,85,597,4414535,Drama,Hamlet ,Richard Briers,classic literature|denmark|funeral|madness|prince,224,UK,18000000,1996
John Cameron Mitchell,160,71,1984378,Comedy|Drama|Romance,Shortbus ,Raphael Barker,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,206,USA,2000000,2006
Ari Folman,231,56,2283276,Animation|Biography|Documentary|Drama|History|War,Waltz with Bashir ,Zahava Solomon,bar|dog|interview|lebanon|nightmare,156,Israel,1500000,2008
Gary Rogers,7,178,1098224,Adventure,The Book of Mormon Movie, Volume 1: The Journey ,Bruce Newbold,jerusalem|journey|promised land|ship|wilderness,30,USA,2000000,2003
Charles Ferguson,79,393,1430185,Documentary|War,No End in Sight ,Donald Rumsfeld,american politics|iraq|iraq war|occupation|white house,55,USA,2000000,2007
Marielle Heller,168,10000,1477002,Drama|Romance,The Diary of a Teenage Girl ,Austin Lyon,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,72,USA,2000000,2015
,1,11000,,Comedy|Drama|Romance,Get Real             ,Debrah Farentino,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,26,USA,,
David Sington,107,168,1134049,Documentary|History,In the Shadow of the Moon ,Neil Armstrong,1960s|astronaut|moon|nasa|spacecraft accident,44,UK,2000000,2007
Kelly Reichardt,200,991,977600,Drama|Western,Meek's Cutoff ,Shirley Henderson,desert|oregon|survival|trust|water,98,USA,,2010
Fenton Bailey,123,373,653621,Biography|Documentary|History,Inside Deep Throat ,Linda Lovelace,clitoris|deep throat|fellatio|oral sex|porn industry,64,USA,2000000,2005
Bob Giraldi,39,388,110000,Crime|Drama|Romance,Dinner Rush ,Ajay Naidu,detective|food|gangster|police|restaurant,73,USA,,2000
Jill Sprecher,41,584,444354,Comedy|Drama,Clockwatchers ,Jamie Kennedy,office|office politics|photo booth|snobbery|title directed by female,111,UK,,1997
Huck Botko,46,189,535249,Comedy,The Virginity Hit ,Zack Pearlman,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,13,USA,3400000,2010
Luc Besson,30,1000,,Comedy|Drama|Thriller,Subway ,Jean-Hugues Anglade,band|blackmail|safe|subway|train,45,France,17000000,1985
David Duchovny,46,49000,371081,Comedy|Drama,House of D ,Frank Langella,artist|butchery|catholic|catholic school|friend,86,USA,6000000,2004
Mitchell Lichtenstein,221,386,347578,Comedy|Fantasy|Horror|Thriller,Teeth ,John Hensley,high school|purity|stepbrother|temptation|vagina dentata,161,USA,,2007
Lance Mungia,51,33,124494,Action|Adventure|Comedy|Drama|Music|Sci-Fi,Six-String Samurai ,Kim De Angelo,boy|guitar|orphan|rock 'n' roll|sword,102,USA,2000000,1998
Kundan Shah,1,353,,Action|Comedy|Romance|Thriller,Hum To Mohabbat Karega ,Shakti Kapoor,elevator|news reporter|police|restaurant|waiter,1,India,,2000
Michael Dowse,58,326,120620,Biography|Comedy|Drama|Music,It's All Gone Pete Tong ,Kate Magowan,deafness|disappearance|ears|ibiza|musician,67,UK,,2004
Hue Rhodes,45,22000,100669,Comedy|Drama,Saint John of Las Vegas ,Romany Malco,city name in title|male frontal nudity|place name in title,11,USA,3800000,2009
Shane Meadows,44,5000,,Comedy|Drama|Romance|Sport,24 7: Twenty Four Seven ,Karl Collins,fight|gang|hiking|wales|working class,21,UK,,1997
Roland Emmerich,74,25000,186354,Drama,Stonewall ,Matt Craven,box office flop|critically bashed|gay rights|new york city|stonewall riots,30,USA,13500000,2015
,20,780,,Comedy|Drama|Sci-Fi,Eureka             ,Salli Richardson-Whitfield,alternate reality|pacific northwest|small town|small town life|small town sheriff,136,USA,,
Jugal Hansraj,6,532,55202,Animation|Comedy|Family|Romance,Roadside Romeo ,Javed Jaffrey,india|love|love at first sight|mumbai india|reference to edward scissorhands,17,India,,2008
Danny Provenzano,5,584,,Crime|Drama,This Thing of Ours ,Chuck Zito,gangster|heist|internet|mafia|miami florida,18,USA,,2003
Bill Muir,10,589,549632,Adventure|Family|Fantasy,The Lost Medallion: The Adventures of Billy Stone ,Tiya Sircar,cave|cobra|island|medallion|waterfall,16,Thailand,,2013
Richard LaGravenese,81,10000,137945,Comedy|Drama|Musical|Romance,The Last Five Years ,Charly Bivona,based on play|number in title,40,USA,,2014
Noah Buschel,66,529,17580,Drama,The Missing Person ,Paul Adelstein,cellphone|detective|missing person|private detective|train,23,USA,1500000,2009
Brian Yuzna,46,787,,Horror|Romance|Sci-Fi,Return of the Living Dead III ,Sarah Douglas,female nudity|living dead|self mutilation|sequel|zombie,130,USA,2000000,1993
Hunter Richards,34,26000,12667,Drama|Romance,London ,Dane Cook,bar|coke|drugs|party|snorting,90,UK,14000,2005
Laurie Collyer,78,363,198407,Drama,Sherrybaby ,Michelle Hurst,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,78,USA,2000000,2006
Bruce McCulloch,52,985,13973532,Comedy|Crime,Stealing Harvard ,Chris Penn,black humor|crying during sex|harvard|humor|man with glasses,92,USA,25000000,2002
Aaron Hann,29,160,,Drama|Horror|Mystery|Sci-Fi|Thriller,Circle ,Kaiwi Lyman-Mersereau,alien abduction|debate|lesbian|pregnant|spaceship,59,USA,,2015
James Watkins,161,13000,5824,Horror|Thriller,Eden Lake ,Lorraine Stanley,camping|forest|lake|stabbed with glass|vomiting,357,UK,,2008
Catherine Hardwicke,18,638,2843,Thriller,Plush ,Marlene Forte,gay interest|guitarist|obsessed fan|seduction|sex scene,24,USA,,2013
Phil Claydon,107,513,,Action|Comedy|Fantasy|Horror,Vampire Killers ,Silvia Colloca,blood|breasts|female nudity|lesbian|vampire,91,UK,,2009
Ralph Ziman,30,29,4958,Action|Crime|Drama,Gangster's Paradise: Jerusalema ,Robert Hobbs,carjacking|drug lord|johannesburg south africa|police|post apartheid,23,South Africa,2000000,2008
John Simpson,24,766,,Crime|Drama|Thriller,Freeze Frame ,Ian McNeice,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,41,UK,2000000,2004
Colin Minihan,116,253,,Horror,Grave Encounters ,Ashleigh Gryzko,ghost|ghost hunting|labyrinth|paranormal|reality show,235,Canada,100000,2011
Conor McMahon,98,121,,Comedy|Horror,Stitches ,Jemma Curran,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,53,Ireland,,2012
Chris Shadley,25,413,,Crime|Drama|Horror|Mystery|Thriller,Nine Dead ,Marc Macaulay,betrayal|car|connection|death|gun,64,USA,2000000,2010
Simon Napier-Bell,,674,,Documentary,To Be Frank, Sinatra at 100 ,Louis Walsh,,,UK,2000000,2015
Woody Allen,40,11000,,Comedy,Bananas ,Louise Lasser,fictitious country|latin america|president|rebellion|reference to fidel castro,105,USA,2000000,1971
Simon Yin,20,473,13220,Thriller,Supercapitalist ,Kathy Uyen,,9,USA,,2012
Jeff Crook,8,601,,Action|Crime|Drama|Thriller,Rockaway ,Ricardo Chavira,one word title,6,USA,2000000,2007
,19,685,,Comedy|Drama,Wings             ,Amy Yasbeck,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,56,USA,,
Orson Welles,90,1000,7927,Crime|Drama|Film-Noir|Mystery|Thriller,The Lady from Shanghai ,Ted de Corsia,law partner|murder|partner|seaman|yacht,175,USA,2300000,1947
Dave Payne,21,633,,Horror|Thriller,No Man's Land: The Rise of Reeker ,Robert Pine,death|desert|robber|sheriff|waitress,31,USA,2000000,2008
James Cox,12,15000,,Crime|Drama,Highway ,Mark Rolston,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,67,USA,14000000,2002
Jonas Åkerlund,33,2000,,Comedy|Crime|Drama,Small Apartments ,Matt Lucas,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,26,USA,2000000,2012
Brad Copeland,9,34000,,Comedy,Coffee Town ,Glenn Howerton,barista|coffee|coffee shop|fight|insult,19,USA,2000000,2013
Paul Bunnell,94,416,2436,Comedy|Fantasy|Musical|Sci-Fi,The Ghastly Love of Johnny X ,Paul Williams,1950s|independent film|outlaw|trial,19,USA,2000000,2012
Phil Morrison,41,594,4556,Comedy|Drama,All Is Bright ,Peter Hermann,christmas tree|french canadian|new york|salesman,23,USA,,2013
Harald Reinl,38,16000,,Horror|Mystery,The Torture Chamber of Dr. Sadism ,Karin Dor,count|drawn and quartered|tied up|torture chamber|torture device,36,West Germany,,1967
James Cox,12,924,,Comedy|Drama,Straight A's ,Josh Meyers,addict|paternity|rascal|swimming pool|texas,20,USA,2000000,2013
Richard Lester,25,907,,Comedy|Musical,A Funny Thing Happened on the Way to the Forum ,Phil Silvers,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,72,USA,2000000,1966
Michael Moore,27,909,,Documentary,Slacker Uprising ,Steve Earle,character name in title|election campaign|presidential election,15,USA,2000000,2007
Tanner Beard,2,10000,,Action|Adventure|History|Western,The Legend of Hell's Gate: An American Conspiracy ,Glenn Morshower,1800s|doc holliday|robbers|sheriff|texas,14,USA,2000000,2011
Scott Dow,23,680,,Comedy|Horror,The Walking Deceased ,Dave Sheridan,zombie|zombie spoof,25,USA,1250000,2015
Derick Martini,32,2000,,Drama|Horror|Mystery|Thriller,The Curse of Downers Grove ,Tom Arnold,,22,USA,2000000,2015
Jerry Dugan,18,11000,,Thriller,Shark Lake ,James Chalke,blood|daughter|jail|police|shark,17,USA,2000000,2015
Tim Hunter,45,18000,4600000,Crime|Drama,River's Edge ,Ione Skye,death|friend|high school|murder|police,111,USA,1900000,1986
Michael Polish,60,548,1420578,Drama|Fantasy,Northfork ,Jon Gries,boy|caretaker|dam|evacuation|orphanage,122,USA,1900000,2003
William Kaufman,23,405,,Action|Thriller,The Marine 4: Moving Target ,David Lewis,killed in police car|mercenary|police officer shot in the leg|police officer shot through the heart|whistleblower,15,USA,1950000,2015
Rodrigo Cortés,363,16000,1028658,Drama|Mystery|Thriller,Buried ,Erik Palladino,buried alive|coffin|iraq|one person|single set production,447,Spain,3000000,2010
Richard Ayoade,249,920,466702,Comedy|Drama|Romance,Submarine ,Sally Hawkins,15 year old|school|teen comedy|teen movie|virginity,100,UK,,2010
Jehane Noujaim,68,161,,Documentary|Drama|History|News,The Square ,Aida Elkashef,,42,Egypt,1500000,2013
Pascal Arnold,14,533,18435,Drama,One to Another ,Pierre Perrier,fellatio|female frontal nudity|male frontal nudity|nude sunbathing|orgy,15,France,1400000,2006
Kimberly Peirce,359,17000,35266619,Drama|Fantasy|Horror,Carrie ,Portia Doubleday,outcast|prom|self injury|telekinesis|tragic event,371,USA,30000000,2013
Remo,15,733,95236,Drama|Musical,ABCD (Any Body Can Dance) ,Prabhudheva,,38,India,,2013
Wes Craven,256,40000,26505000,Horror,A Nightmare on Elm Street ,Amanda Wyss,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,668,USA,1800000,1984
James Marsh,194,41,2957978,Biography|Crime|Documentary|History|Thriller,Man on Wire ,Jean-Louis Blondeau,new york city|passion|reenactment|rooftop|tower,134,UK,1000000,2008
John Laing,,42,,Drama,Abandoned ,Rachel Nash,boat|one word title|sea|storm|survivor,6,New Zealand,,2015
Jamal Hill,10,628,444044,Drama,Brotherly Love ,Faizon Love,basketball|burglary|police|robbery|teenage girl,19,USA,1900000,2015
Daniel Stamm,311,463,40990055,Drama|Horror|Thriller,The Last Exorcism ,Patrick Fabian,cult film|documentary crew|exorcism|found footage|satanic ritual,300,France,1800000,2010
Sam Taylor-Johnson,205,1000,1445366,Biography|Drama|Music,Nowhere Boy ,Anne-Marie Duff,1960s|childhood|friendship|love|the beatles,75,UK,,2009
Elia Kazan,94,10000,,Drama,A Streetcar Named Desire ,Kim Hunter,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,233,USA,1800000,1951
Stanley Kubrick,192,654,,Comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Keenan Wynn,bomber|doomsday|general|u.s. president|war room,839,USA,1800000,1964
Carlos Carrera,85,201,5709616,Drama|Romance,El crimen del padre Amaro ,Pedro Armendáriz Jr.,church|love|mexico|politics|priest,110,Mexico,1800000,2002
Benh Zeitlin,663,2000,12784397,Drama|Fantasy,Beasts of the Southern Wild ,Dwight Henry,auroch|community|hospital|illness|six year old,269,USA,1800000,2012
J. Lee Thompson,62,595,,Action|Sci-Fi,Battle for the Planet of the Apes ,Claude Akins,ape|general|gorilla|outer space|planet of the apes,91,USA,1800000,1973
Maggie Greenwald,39,767,3050934,Drama|Music,Songcatcher ,Jane Adams,doctor|mountain|musician|song|university,78,USA,1800000,2000
Vera Farmiga,68,553,841206,Drama,Higher Ground ,Michael Chernus,1960s|belief in the afterlife|domestic violence|faith|minister,34,USA,,2011
Vijay Chandar,3,141,,Comedy|Romance,Vaalu ,Brahmanandam,,6,India,150000000,2015
Morgan Spurlock,130,16000,638476,Comedy|Documentary,The Greatest Movie Ever Sold ,Donald Trump,advertising|movie in title|product placement,45,USA,1500000,2011
Jonathan Wacks,13,12000,,Comedy|Horror,Ed and His Dead Mother ,Jon Gries,based on ed gein|dog|hyperactive|macabre|zombie,17,USA,1800000,1993
Khyentse Norbu,44,0,505295,Adventure|Drama,Travelers and Magicians ,Sonam Kinga,bhutan|buddhist|monk|storytelling|weaver,28,Australia,1800000,2003
Ted Post,26,16000,,Western,Hang 'Em High ,Alan Hale Jr.,imperative in title|judge|marshal|murder|vigilante,109,USA,1800000,1968
Richard Brooks,27,2000,,Crime|Drama|Film-Noir,Deadline - U.S.A. ,Kim Hunter,editor|gangster|newspaper|organized crime|press,28,USA,,1952
Tony Krantz,53,647,,Horror|Thriller,Sublime ,Cas Anvar,birthday|birthday party|colonoscopy|hospital|surgery,103,USA,1800000,2007
Mitchell Altieri,,467,,Comedy|Horror|Thriller,A Beginner's Guide to Snuff ,Bree Williamson,,,USA,,2016
W.D. Hogan,10,433,,Action|Sci-Fi,Independence Daysaster ,Nicholas Carella,fireworks|kiss|to be continued ending|uncle nephew relationship|usaf,12,Canada,1800000,2013
Corey Grant,4,761,,Comedy|Drama,Dysfunctional Friends ,Tatyana Ali,ex boyfriend ex girlfriend relationship|gossip|inheritance|mansion|reference to howard university,8,USA,1800000,2012
Tom Tykwer,181,486,7267324,Crime|Drama,Run Lola Run ,Armin Rohde,bechdel test failed|money|multiple outcomes|repeated event|subway,709,Germany,3500000,1998
Lucky McKee,114,701,145540,Drama|Horror,May ,Nora Zehetner,case|doll|dry humor|friend|love,277,USA,500000,2002
Richard Boddington,11,900,,Adventure|Family,Against the Wild ,Erin Pitt,cave|salmon,9,Canada,2000000,2013
David Hunt,1,86,,Horror,Living Dark: The Story of Ted the Caver ,Circus-Szalewski,brother|cave|caver|dark|funeral,1,USA,1750000,2013
Patricia Riggen,75,953,12589108,Adventure|Drama,Under the Same Moon ,Kate del Castillo,12 year old|boy|mexican|mexican immigrant|mexico,58,Mexico,,2007
J. Lee Thompson,80,595,,Action|Sci-Fi,Conquest of the Planet of the Apes ,John Randolph,ape|future|intelligence|revolution|slave revolt,95,USA,1700000,1972
Todd Field,179,1000,35918429,Crime|Drama,In the Bedroom ,Karen Allen,doctor|maine|only son|school choir|summer,510,USA,1700000,2001
Steven R. Monroe,225,635,92401,Horror|Thriller,I Spit on Your Grave ,Daniel Franzese,horror movie remake|rape|rape and revenge|rape victim|revenge,209,USA,2000000,2010
Mark Illsley,77,349,1943649,Comedy|Crime|Romance,Happy, Texas ,Jeremy Northam,banker|beauty pageant|escaped convict|gay|pageant,122,USA,1700000,1999
Pawel Pawlikowski,124,680,992238,Drama|Romance,My Summer of Love ,Dean Andrews,female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire,103,UK,1700000,2004
Ritesh Batra,195,638,4231500,Drama|Romance,The Lunchbox ,Lillete Dubey,delivery|delivery to wrong address|lunchbox|open ended|unconventional romance,162,India,1000000,2013
Sally Potter,76,887,396035,Drama|Romance,Yes ,Stephanie Leonidas,beach|lebanese|loss|muslim|restaurant,48,UK,1000000,2004
Frank Capra,51,319,,Comedy|Drama|Romance,You Can't Take It with You ,Lionel Barrymore,eccentric|friend|house|monopoly|stenographer,133,USA,1644736,1938
Fred Zinnemann,101,862,,Drama|Romance|War,From Here to Eternity ,Deborah Kerr,boxing|captain|hawaii|love|sergeant,150,USA,1650000,1953
John Ford,55,281,,Western,She Wore a Yellow Ribbon ,Victor McLaglen,captain|cavalry|fort|retirement|yellow ribbon,90,USA,1600000,1949
Brad J. Silverman,15,651,2507106,Drama|Music,Grace Unplugged ,Anthony Reynolds,christianity|love|reference to justin bieber|reference to taylor swift|worship,21,USA,,2013
Dave Meyers,16,489,6026908,Comedy|Drama,Foolish ,Marla Gibbs,accidental killing|drug humor|profanity|sexual humor|stand up comedy,13,USA,2000000,1999
David M. Matthews,5,713,2592808,Crime|Drama|Thriller,N-Secure ,Tempestt Bledsoe,betrayal|family relationships|insecurity|murder|passive aggression,15,USA,,2010
Nadine Labaki,109,227,1060591,Comedy|Drama|Romance,Caramel ,Nadine Labaki,caramel|friendship|police|secret|suitor,66,France,1300000,2007
Lluís Quílez,40,327,,Horror|Thriller,Out of the Dark ,Alejandro Furth,haunted house,18,USA,,2014
Eytan Fox,51,53,155972,Comedy|Drama|Romance,The Bubble ,Yousef 'Joe' Sweid,gay|hairy chest|homosexual|israel|male nudity,23,Israel,1500000,2006
Francis Ford Coppola,149,11000,,Drama|Mystery|Thriller,The Conversation ,Cindy Williams,corruption|neo noir|recording|saxophone|surveillance,313,USA,1600000,1974
Romesh Sharma,4,421,129319,Romance,Dil Jo Bhi Kahey... ,Bhoomika Chawla,,4,India,70000000,2005
François Truffaut,35,963,26893,Crime|Drama|Romance,Mississippi Mermaid ,Michel Bouquet,antibes|hotel|island|reunion|reunion island,26,France,1600000,1969
Adam Goldberg,22,2000,2580,Drama|Mystery,I Love Your Work ,Nicky Katt,film student|marriage|mental breakdown|movie star|obsession,40,USA,1650000,2003
Travis Zariwny,68,427,,Horror,Cabin Fever ,Samuel Davis,female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity,40,USA,,2016
Zack Snyder,287,3000,58885635,Action|Horror|Thriller,Dawn of the Dead ,Mekhi Phifer,mall|mayhem|nurse|rear entry sex|survival horror,1057,USA,26000000,2004
Adrienne Shelly,173,597,19067631,Comedy|Drama|Romance,Waitress ,Eddie Jemison,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,204,USA,2000000,2007
Newt Arnold,61,633,11806119,Action|Biography|Drama|Sport,Bloodsport ,Ken Siu,hand to hand combat|hong kong|kumite|martial arts|tournament,210,USA,1100000,1988
Frank Capra,96,607,,Comedy|Drama,Mr. Smith Goes to Washington ,Thomas Mitchell,camp|corruption|governor|senate|u.s. senate,245,USA,1500000,1939
Larry Clark,71,3000,7417210,Drama,Kids ,Justin Pierce,coming of age|marijuana|rape|virgin|weed,408,USA,1500000,1995
Noah Baumbach,110,436,7362100,Comedy|Drama,The Squid and the Whale ,Owen Kline,boy|divorce|tennis|tennis coach|writer,232,USA,1500000,2005
Charles Herman-Wurmfeld,110,378,7022940,Comedy|Drama|Romance,Kissing Jessica Stein ,Brian Stepanek,friend|friendship|journalist|new york city|personal ad,190,USA,1000000,2001
Yimou Zhang,101,9,190666,Comedy|Drama,A Woman, a Gun and a Noodle Shop ,Dahong Ni,betrayal|husband wife relationship|murder|noodles|salary,20,China,,2009
John Stockwell,2,260000,,Action,Kickboxer: Vengeance ,Sam Medina,,1,USA,17000000,2016
Alfred Hitchcock,97,472,,Film-Noir|Mystery|Romance|Thriller,Spellbound ,Leo G. Carroll,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,161,USA,1696377,1945
Atom Egoyan,53,991,5132222,Drama|Mystery|Romance,Exotica ,Sarah Polley,bird|cult film|egg|nightclub|toronto,83,Canada,2000000,1994
Vincent Gallo,106,1000,2365931,Comedy|Crime|Drama|Romance,Buffalo '66 ,Jan-Michael Vincent,shower|stripper|tap dancing|underwear|undressing,318,USA,1500000,1998
James Wan,445,852,53991137,Fantasy|Horror|Mystery|Thriller,Insidious ,Philip Friedman,baby|boy|coma|demon|house,752,USA,1500000,2010
Alex Cox,131,752,,Comedy|Crime|Sci-Fi|Thriller,Repo Man ,Miguel Sandoval,punk|punk rocker|repossession|televangelist|ufo,148,USA,1500000,1984
Fabián Bielinsky,94,827,1221261,Crime|Drama|Thriller,Nine Queens ,Leticia Brédice,con artist|hotel|partner|scam|stamp,125,Argentina,1500000,2000
Dror Moreh,105,0,2408553,Documentary|War,The Gatekeepers ,Yaakov Peri,interview|jerusalem|jewish|terrorism|terrorist bombing,33,Israel,,2012
Rebecca Miller,75,552,712294,Drama,The Ballad of Jack and Rose ,Ryan McDonald,commune|defecation|environmentalism|fellatio|island,68,USA,1500000,2005
Maggie Carey,97,801,3447339,Comedy|Romance,The To Do List ,Scott Porter,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,79,USA,1500000,2013
Roger Avary,37,902,418953,Crime|Drama|Thriller,Killing Zoe ,Jean-Hugues Anglade,bank|bastille day|call girl|childhood friend|drugs,93,France,1500000,1993
Henry Bean,84,33000,406035,Drama,The Believer ,Summer Phoenix,jew|jewish nazi|nazism|racism|skinhead,159,USA,1500000,2001
David Gordon Green,88,947,402820,Drama|Romance,Snow Angels ,Tom Noonan,flashback|football game|school|small town|snow,57,USA,,2007
Simeon Rice,6,393,,Action|Horror|Thriller,Unsullied ,Malone Thomas,,3,USA,1500000,2014
Brad Anderson,127,210,373967,Horror|Mystery,Session 9 ,Larry Fessenden,abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality,481,USA,1500000,2001
Jeff Garlin,32,813,194568,Comedy|Romance,I Want Someone to Eat Cheese With ,Joey Slotnick,cheese|city|ice cream|school|second city,28,USA,1500000,2006
Qasim Basir,8,1000,,Drama|Family,Mooz-Lum ,Evan Ross,one word title,14,USA,,2010
Adam Green,229,936,,Comedy|Horror,Hatchet ,Joel Murray,bayou|boat|louisiana|swamp|tour,235,USA,1500000,2006
Charles Chaplin,120,309,163245,Comedy|Drama|Family,Modern Times ,Fred Malatesta,actor director writer|invention|machine|music score composed by director|tramp,211,USA,1500000,1936
Pete Jones,31,954,119841,Drama,Stolen Summer ,Bonnie Hunt,catholic|catholicism|rabbi|school|summer,55,USA,1500000,2002
Bruce Campbell,100,634,173066,Comedy|Fantasy,My Name Is Bruce ,Timothy Patrick Quill,b movie|birthday|chinese|demon|small town,88,USA,1500000,2007
Mark Brown,14,890,92362,Comedy|Drama,The Salon ,Garrett Morris,,5,USA,1500000,2005
Adam Carolla,14,563,105943,Comedy,Road Hard ,David Alan Grier,girl in panties|panties|red panties|stand up comedy,11,USA,1500000,2015
Ira Sachs,39,826,,Drama|Music|Romance,Forty Shades of Blue ,Darren E. Burrows,love|music producer|previous marriage|rock 'n' roll|russian,26,USA,1500000,2005
John Sayles,35,38,183490,Drama|War,Amigo ,Ronnie Lazaro,american|filipino|friendship|guerrilla army|village,8,USA,1700000,2010
