num_critic_for_reviews,actor_3_facebook_likes,gross,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,title_year,imdb_score
135,2000,13101142,Comedy|Romance|Sport,Gerard Butler,23122,Judy Greer,5,http://www.imdb.com/title/tt1540128/?ref_=fn_tt_tt_1,50,English,2012,5.7
211,38,8324748,Biography|Drama|History,Terry Pheto,301,Tony Kgoroge,1,http://www.imdb.com/title/tt2304771/?ref_=fn_tt_tt_1,108,English,2013,7.1
57,521,,Biography|Drama|History|Romance,Paul Sorvino,2291,M. Emmet Walsh,0,http://www.imdb.com/title/tt0082979/?ref_=fn_tt_tt_1,127,English,1981,7.5
81,574,141340178,Drama|Thriller,Tom Cruise,14619,Kevin Pollak,0,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,319,English,1992,7.6
107,655,51758599,Action|Comedy|Crime|Drama|Thriller,Michael Jai White,5942,Bruce McGill,0,http://www.imdb.com/title/tt0242445/?ref_=fn_tt_tt_1,232,English,2001,5.5
100,330,117559438,Action|Comedy|Crime,Nia Long,1790,Tichina Arnold,1,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,148,English,2000,5.1
60,11,4091,Adventure|Animation|Comedy|Family|Fantasy,Kyle Hebert,369,Joe Ochman,0,http://www.imdb.com/title/tt3148834/?ref_=fn_tt_tt_1,16,English,2013,6.3
195,48,21426805,Action|Adventure|Horror|Sci-Fi|Thriller,Max Minghella,843,Dato Bakhtadze,0,http://www.imdb.com/title/tt1093357/?ref_=fn_tt_tt_1,211,English,2011,4.9
121,433,35057332,Drama|Music|Romance,Ryan Guzman,4863,Misha Gabriel Hamilton,0,http://www.imdb.com/title/tt1800741/?ref_=fn_tt_tt_1,72,English,2012,6.5
285,491,34014398,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,2604,Rachel Blanchard,0,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,1033,English,2006,5.6
103,178,28927720,Crime|Horror|Mystery|Thriller,Keanu Reeves,18688,Chris Ellis,0,http://www.imdb.com/title/tt0204626/?ref_=fn_tt_tt_1,181,English,2000,5.3
192,336,33682273,Action|Crime|Drama|Thriller,Laura Harring,2114,Eddie Jemison,1,http://www.imdb.com/title/tt0330793/?ref_=fn_tt_tt_1,622,English,2004,6.5
90,577,4280577,Drama|Romance|Sport,Sean Pertwee,2859,Stephen Dillane,0,http://www.imdb.com/title/tt0380389/?ref_=fn_tt_tt_1,114,English,2005,6.8
258,317,17120019,Action|Crime|Thriller,Jason Statham,27759,Robert John Burke,2,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,134,English,2012,6.5
56,551,8406264,Comedy|Drama|Romance,Angelina Jolie Pitt,13093,Jake Weber,3,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,175,English,1999,6.0
197,504,309125409,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,13649,Kenny Baker,0,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,647,English,1983,8.4
254,43,10955425,Action|Sci-Fi|Thriller,Ryan Kruger,391,Jeremy Crutchley,1,http://www.imdb.com/title/tt0483607/?ref_=fn_tt_tt_1,396,English,2008,6.0
299,50,34180954,Drama|Romance,Kate Winslet,14504,Susanne Lothar,0,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,370,English,2008,7.6
163,833,17225675,Comedy,Justin Theroux,4151,Joe Lo Truglio,2,http://www.imdb.com/title/tt1655460/?ref_=fn_tt_tt_1,139,English,2012,5.6
