num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,actor_3_name,plot_keywords,language,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
15,85,0,66,The Dalai Lama,Short Cut to Nirvana: Kumbh Mela ,131,Swami Krishnanad,,English,Unrated,200000,0,30
25,101,16,77000,Michael Joiner,The Grace Card ,2099,Michael Higgenbottom,christian film|forgiveness|hospital|pastor|police,English,PG-13,200000,21,0
37,97,305,1000,Omari Hardwick,Middle of Nowhere ,1034,Lorraine Toussaint,,English,R,200000,1000,569
76,119,9,24,Devid Striesow,3 ,4212,Sophie Rois,female nudity|full frontal female nudity|male frontal nudity|menage a trois|pubic hair,German,Unrated,,20,2000
12,103,61,96,William Joseph Elk III,The Business of Fancydancing ,460,Cynthia Geary,funeral|gay|native american protagonist|poet|reservation,English,,200000,90,96
7,86,15,178,Matisyahu,Call + Response ,48,Madeleine Albright,fair trade|human trafficking|non profit|rockumentary|slavery,English,PG-13,200000,58,26
450,106,273,17000,Channing Tatum,Side Effects ,148334,Katie Lowes,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,English,R,30000000,681,29000
60,90,10,169,R. Brandon Johnson,Malevolence ,2413,Richard Glover,abandoned house|bank|robber|swing|witness,English,R,200000,25,198
4,95,45,471,Marri Savinar,Shooting the Warwicks ,81,Bethany Blakey,family relationships|husband wife relationship|nudity|reality|reality spoof,English,,250000,89,47
42,94,156,259,Melanie Papalia,Super Hybrid ,1328,John Reardon,based on comic book|blue bra and panties|female protagonist|girl in bra and panties|killer car,English,PG-13,13000000,165,0
93,84,98,962,Greta Gerwig,Baghead ,3507,Elise Muller,actor|cabin|california|paper bag|vomiting,English,R,,873,443
1,89,15,138,Susan Chambers,Solitude ,78,Ali Daniels,,English,,,18,267
16,59,0,27,Marina Vlady,The Case of the Grinning Cat ,352,Léon Schwartzenberg,,French,,150000,0,44
54,126,0,0,Hanne Aagesen,Ordet ,9903,Ejner Federspiel,august|doctor|faith|patriarch|prayer,Danish,Not Rated,,0,863
38,86,782,3000,Bryce Dallas Howard,Good Dick ,6689,Jason Ritter,avoidant personality disorder|emotionally vulnerable|sex|video store|video store clerk,English,R,,985,0
66,87,131,505,William Katt,The Man from Earth ,129799,David Lee Smith,cro magnon|dialogue driven storyline|single set production|single setting|storytelling,English,Not Rated,200000,323,46000
11,106,0,2,Darryl Hunt,The Trials of Darryl Hunt ,771,John Reeves,false accusation|murder|north carolina|trial|wrongful conviction,English,PG-13,200000,0,246
6,86,32,563,Mia Farrow,An American Girl Holiday ,1338,Bruce Gooch,courtship|friend|girl|servant|sister,English,,200000,194,90
25,89,31,236,John Newton,Yesterday Was a Lie ,374,H.M. Wynant,claim in title|jazz|jazz singer|sexy woman|time manipulation,English,PG,2500000,189,83
13,105,27,178,Elaine Bromka,Theresa Is a Mother ,37,Matthew Gumley,,English,,200000,32,38
18,93,75,110,Paul Hickert,H. ,191,Rebecca Dayan,,English,,,79,142
3,94,178,433,Sally Kirkland,Archaeology of a Woman ,15,Elaine Bromka,,English,,200000,375,66
46,89,27,36,Bahare Seddiqi,Children of Heaven ,27882,Mohammad Amir Naji,class|gardening|race|school|shoe,Persian,PG,180000,35,0
143,97,67,507,Tom Cullen,Weekend ,19846,Vauxhall Jermaine,coming out|fellatio|male in bathtub|male nudity|nudity,English,Not Rated,120000,75,0
26,88,46,539,S. Epatha Merkerson,She's Gotta Have It ,4769,Tracy Camilla Johns,female nudity|male model|nudity|rite of passage|sex,English,R,175000,53,406
,78,0,0,Abigail Evans,Butterfly Girl ,27,Emily Gorell,,English,,180000,0,88
5,104,0,0,Iulia Ciochina,The World Is Mine ,354,Ana Vatamanu,,Romanian,,168000,0,34
242,92,259,574,Robin Lord Taylor,Another Earth ,71387,Flint Beverage,duplicate earth|janitor|planet|solar system|synchronicity,English,PG-13,100000,399,21000
48,108,826,2000,Topher Grace,The Calling ,6025,Christopher Heyerdahl,bouquet|house fire|praying|serial killer|tied to a chair,English,R,,1000,0
38,97,101,982,John Amos,Sweet Sweetback's Baadasssss Song ,3340,Melvin Van Peebles,black panther|hells angels|on the run|racist|racist cop,English,R,500000,535,566
,109,26,270,Charla Cochran,Perfect Cowboy ,8,Sienna Beckman,country singer|father son relationship|music group,English,,200000,54,65
91,78,184,376,Bebe Neuwirth,Tadpole ,5178,Ron Rifkin,best friend|boy|french|friend|love,English,PG-13,150000,346,132
232,85,18,200,Glen Hansard,Once ,90827,Darren Healy,immigrant|independent film|song|street|vacuum cleaner,English,R,180000,96,26000
18,88,3,142,Marilyn Rising,The Woman Chaser ,524,Max Kerstein,car salesman|filmmaking|pulp fiction|santa claus suit|truck driver,English,,1200000,23,73
29,93,2,58,Temple Grandin,The Horse Boy ,586,Simon Baron-Cohen,horse|journey|mongolia|shaman|travel,English,Unrated,160000,2,0
44,86,115,498,Alan Brent,When the Lights Went Out ,3813,Kate Ashfield,father daughter relationship|poltergeist|spirit|stairway|urination,English,,,204,0
2,98,21,52,Joel Moody,Heroes of Dirt ,53,Lia Tucker,bike|bmx|drugs|troubled teen|youth,English,PG-13,,36,197
277,88,177,383,Gunnar Hansen,The Texas Chain Saw Massacre ,96411,Marilyn Burns,cannibal|chainsaw|hitchhiker|independent film|leatherface,English,R,83532,371,0
43,25,27,39,Peter Robbins,A Charlie Brown Christmas ,21826,Christopher Shea,christmas|christmas tree|commercialism|meaning of christmas|tree,English,TV-G,150000,36,0
5,72,0,0,Naderev Sano,Antarctic Edge: 70° South ,123,Mike Brett,,English,,150000,0,215
16,66,232,502,Lisa Ann,Aroused ,502,Kayden Kross,aroused|photography|pornography documentary|pornstar,English,,150000,366,207
18,80,0,0,Ariel Hsing,Top Spin ,260,Michael Landers,,English,,150000,0,116
40,91,42,909,Michael Moore,Roger & Me ,22800,Bob Eubanks,factory|flint michigan|general motors|michigan|quest,English,R,160000,91,667
130,93,697,783,Ed Begley Jr.,Cat People ,14193,John Heard,cat|cat people|leopard|love|slip the undergarment,English,R,18000000,782,0
3,89,163,196,J.D. Williams,An American in Hollywood ,100,Samantha Esteban,place name in title,English,R,125000,180,72
136,85,100,120,Christopher Denham,Sound of My Voice ,15775,Constance Wu,cult|cult leader|female nudity|greedy institution|manipulation,English,R,,119,0
,62,,,,The Brain That Sings ,18,,autism|middle east|music therapy|united arab emirates,Arabic,,125000,,54
12,90,,,,The Blood of My Brother ,102,,american|blood|dream|patrol|tank,English,,120000,,14
171,90,9,830,Mark Duplass,Your Sister's Sister ,21618,Mel Eslyn,drunken sex|mashed potatoes|pancakes|tequila|title directed by female,English,R,125000,128,3000
,,,17,Diane Sorrentino,Romantic Schemer ,172,,,English,PG-13,125000,0,0
8,88,405,847,Christopher Judge,A Dog's Breakfast ,3262,Paul McGillion,dog|vegetarian,English,,120000,686,377
8,88,405,847,Christopher Judge,A Dog's Breakfast ,3262,Paul McGillion,dog|vegetarian,English,,120000,686,377
284,96,56,125,Judith O'Dea,Night of the Living Dead ,87978,S. William Hinzman,cemetery|farmhouse|radiation|running out of gas|zombie,English,Unrated,114000,108,0
36,94,5,12,Philippe Leroy,Une Femme Mariée ,1962,Rita Maiden,acting|actor|face slap|fashion|magazine,French,,120000,7,187
21,120,400,990,Jason Stuart,The Birth of a Nation ,1197,Aunjanue Ellis,,English,R,10000000,664,0
1,77,69,206,Richard Moll,The Work and the Story ,98,Christopher Robin Miller,latter day saints|lds film|mock documentary|mormon|mormonism,English,,103000,81,0
31,111,51,589,Alex Kendrick,Facing the Giants ,12399,Shannen Fields,christian|coach|faith|football|football team,English,PG,100000,150,0
159,81,7,220,Pfeifer Brown,The Gallows ,13521,Reese Mishler,breaking and entering|gallows|hanging|high school|stage,English,R,100000,40,0
152,89,121,195,Hal Landon Jr.,Eraserhead ,69831,Charlotte Stewart,apartment|baby|deformed baby|factory|surrealism,English,Unrated,20000,158,0
1,110,0,2,Stephen Carr,Over the Hill to the Poorhouse ,5,Mary Carr,family relationships|gang|idler|poorhouse|thief,,,100000,2,0
21,81,287,467,Robert Townsend,Hollywood Shuffle ,2770,Helen Martin,actor|african american|dream|two word title|written and directed by cast member,English,R,100000,322,471
57,100,545,1000,Kieran Culkin,The Mighty ,10499,Gena Rowlands,book|friendship|knight|learning disability|tutor,English,PG-13,,577,0
23,99,10,116,Leon Isaac Kennedy,Penitentiary ,509,Wilbur 'Hi-Fi' White,blaxploitation|boxing|convict|drifter|false accusation,English,R,100000,24,157
88,90,56,126,Fay Masterson,The Lost Skeleton of Cadavra ,4117,Larry Blamire,alien|cave|husband wife relationship|monster|skeleton,English,PG,40000,76,0
2,82,50,143,Kevin P. Farley,Dude, Where's My Dog?! ,73,Brandon Middleton,,English,PG,20000,134,178
193,88,307,3000,Brighton Sharbino,Cheap Thrills ,12796,Elissa Dowling,cocaine|extramarital affair|sex|shooting|violence,English,Not Rated,200000,982,0
50,103,0,0,Jonathan Blow,Indie Game: The Movie ,16701,Phil Fish,movie in title,English,Not Rated,100000,0,0
61,80,140,798,Danny Dyer,Closure ,5747,Ralph Brown,countryside|night|party|rape|scar,English,R,1800000,279,246
1,68,75,142,Sheldon Leonard,Open Secret ,67,Arthur O'Connell,anti semitism|gangster,English,Approved,,86,10
5,81,10,416,Claire Gordon-Harper,Echo Dr. ,101,Johnathan Hurley,android|artificial intelligence|home invasion|security system|tech noir,English,,100000,18,17
14,106,13,440,Liv Ullmann,The Night Visitor ,544,Andrew Keir,escape|independent film|mental illness|prison|revenge,English,GP,,98,65
5,77,0,45,Jon Brion,The Past is a Grotesque Animal ,80,David Barnes,artist|band|male rear nudity|sexuality|stage,English,Unrated,100000,0,82
241,114,616,956,Tony Goldwyn,The Last House on the Left ,67824,Martha MacIsaac,kidnapping|lake|microwave oven|psychopath|woods,English,R,15000000,878,0
16,80,0,103,Noam Chomsky,Peace, Propaganda & the Promised Land ,496,Arik Ascherman,arab israeli conflict|israel|media|middle east|palestine,English,,70000,0,110
138,84,194,1000,Mark Margolis,Pi ,142619,Stanley B. Herman,mathematician|nature|numbers|pattern|using a metal detector on a beach,English,R,60000,512,24000
5,86,117,238,Jack McGee,I Love You, Don't Touch Me! ,405,Tim DeZarn,female frontal nudity|female rear nudity|title directed by female|virgin|written and directed by cast member,English,R,,166,97
32,87,153,1000,Tia Carrere,20 Dates ,1622,Robert McKee,fake documentary|hidden camera|mockumentary|narrative|reality show,English,R,60000,184,30
18,80,3,118,Michelle Simone Miller,Queen Crab ,48,A.J. DeLucia,,English,,75000,15,34
193,100,0,0,Chemeeka Walker,Super Size Me ,85028,Amelia Giancarlo,experiment|fast food|food industry|meal|overeating,English,PG,65000,0,0
66,82,128,968,Clifton Collins Jr.,The FP ,1389,James DeBello,abbreviation in title|based on short film|competition dancing|dystopia|location in title,English,R,60000,407,0
65,82,442,10000,Anna Kendrick,Happy Christmas ,5507,Mark Webber,chicago illinois|drink|drinking|filmmaker|writer,English,R,70000,969,812
95,70,6,24,Virginia Leith,The Brain That Wouldn't Die ,4752,Bruce Kerr,brain|fiance|laboratory|surgeon|surgery,English,Approved,62000,16,1000
13,75,46,267,Ty Parker,Tiger Orange ,683,Loanne Bishop,coming out|father son relationship|gay|gay brother|toilet sex,English,Unrated,100000,87,182
15,87,272,969,Lena Dunham,Supporting Characters ,760,Alex Karpovsky,film editor|kiss|marriage proposal|movie screening|urination,English,Not Rated,,778,209
125,87,9,35,Justin Gordon,Absentia ,13065,Erin Cipolletti,anticipate|dead in absentia|foetus|tunnel|unreliable narration,English,R,70000,28,3000
36,98,73,138,Shari Albert,The Brothers McMullen ,6375,Maxine Bahns,abusive father|critically acclaimed|loss of father|love|true love,English,R,25000,111,265
73,83,8,111,Paul Daniel Ayotte,The Dirties ,3885,Matt Johnson,best friend|bully|friend|revenge|school,English,Not Rated,,19,1000
1,99,3,866,Marcello Mastroianni,Gabriela ,712,Joffre Soares,based on novel|brazil|female underarm hair|sex in a window|star appears nude,Portuguese,R,,308,114
113,98,433,969,Lena Dunham,Tiny Furniture ,11816,Jemima Kirke,adult returns home|girl with glasses|hipster|shower|title directed by female,English,Not Rated,65000,529,0
13,93,133,743,Richard Tyson,Hayride ,485,Corlandos Scott,,English,Not Rated,60000,413,284
,,15,1000,Corbin Bernsen,The Naked Ape ,128,Amanda MacDonald,coming of age|male nudity|road trip|skinny dipping|teenager,English,,,36,2
12,111,,,,Counting ,61,,city|city symphony|diary|essay|surveillance,English,,50000,,5
60,47,5,19,Dan Novy,The Call of Cthulhu ,6261,Barry Lynch,1920s|cthulhu|dream|sailor|silent film,English,,50000,9,0
10,92,,0,Chris 'Wonder' Schoeck,Bending Steel ,53,,,English,,50000,,33
161,97,236,852,Lin Shaye,The Signal ,48236,Beau Knapp,computer hacker|girlfriend in a coma|nosebleed|prosthetic leg|road trip,English,PG-13,4000000,680,10000
7,81,18,26,Taliesin Jaffe,The Image Revolution ,66,Jeff Dowd,comic book|comic book history|comics|spawn|walking dead,English,,50000,20,83
34,83,69,695,Jan Haley,This Is Martin Bonner ,733,Demetrius Grosse,estranged daughter|friendship|nevada|prisoner|unlikely friendship,English,R,42000,571,234
,96,281,948,Katrina Bowden,A True Story ,181,Kelen Coleman,ellipsis in title|long title|period in title|punctuation in title|title ends with period,English,,45000,482,72
75,90,15,552,Paul Schneider,George Washington ,6246,Damian Jewan Lee,cover up|north carolina|redemption|small town|teenager,English,Unrated,42000,61,451
21,90,113,20000,Derick Martini,Smiling Fish & Goat on Fire ,2631,Ion Overman,accountant|actor|animal in title|mail carrier|single parent,English,R,40000,467,0
3,95,279,883,Barry Corbin,Dawn of the Crescent Moon ,34,Shiree Nelson,,English,,75000,507,87
2,83,76,307,Elissa Dowling,Raymond Did It ,192,Lindsay Felton,blood|independent film|mutilation|violence,English,Unrated,40000,114,239
