director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,imdb_score
Rodrigo García,222,373,Michael McElhatton,3000,4370,Mark Williams,3,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,98,6.7
Jeta Amata,6,36,Nathin Butler,262,409,Razaaq Adoti,3,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1,4,5.6
Siddharth Anand,16,60,Mary Goggin,532,902,Vic Aviles,3,http://www.imdb.com/title/tt0833553/?ref_=fn_tt_tt_1,37,5.4
Vincent Paronnaud,242,106,Gena Rowlands,963,1754,Danielle Darrieux,0,http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1,158,8.0
Joe Dante,147,664,Teri Polo,844,4099,Haley Bennett,2,http://www.imdb.com/title/tt1085779/?ref_=fn_tt_tt_1,69,5.7
Dennis Gansel,93,93,Elyas M'Barek,287,635,Jennifer Ulrich,0,http://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1,96,7.6
Nicolas Winding Refn,253,500,Bella Heathcote,18000,19879,Charles Baker,2,http://www.imdb.com/title/tt1974419/?ref_=fn_tt_tt_1,73,7.0
Daniel Barber,224,641,Jack O'Connell,788,2486,Sean Harris,1,http://www.imdb.com/title/tt1289406/?ref_=fn_tt_tt_1,224,7.2
Sam Raimi,392,4000,James Franco,24000,46055,Kirsten Dunst,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,6.2
Robert Marcarelli,39,440,William Hootkins,488,2428,Ayla Kell,0,http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1,206,3.5
Jason Reitman,387,973,Jennifer Garner,24000,28817,Rainn Wilson,0,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,881,7.5
Ernie Barbarash,36,96,Aki Aleong,294,835,Brahim Achabbakhe,0,http://www.imdb.com/title/tt3488328/?ref_=fn_tt_tt_1,29,5.1
Guy Hamilton,120,175,Lois Maxwell,244,1105,Jill St. John,2,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,276,6.7
Francis Ford Coppola,208,3000,Marlon Brando,14000,28122,Robert Duvall,1,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,2238,9.2
Adrian Lyne,51,92,Cynthia Rhodes,225,791,Lee Ving,0,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1,128,6.1
Marc Webb,331,11000,Chloë Grace Moretz,23000,54075,Zooey Deschanel,43,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,494,7.7
Jane Campion,83,11,Ian Mune,1000,1051,Geneviève Lemon,1,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,241,7.6
Steven Soderbergh,324,11000,Alex Pettyfer,17000,46646,Matthew McConaughey,1,http://www.imdb.com/title/tt1915581/?ref_=fn_tt_tt_1,281,6.1
Jonathan Liebesman,140,82,Emma Caulfield,1000,2212,Angus Sampson,0,http://www.imdb.com/title/tt0282209/?ref_=fn_tt_tt_1,369,4.9
Guy Hamilton,136,189,Geoffrey Holder,581,1865,Clifton James,3,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,251,6.8
Jay Russell,79,430,Frankie Muniz,1000,2515,Cody Linley,0,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,149,7.0
Adam Brooks,160,61,Sakina Jaffrey,16000,16289,Paulina Gerzon,5,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1,168,7.2
Salim Akil,52,826,Loretta Devine,1000,5959,Laz Alonso,8,http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1,59,5.7
Baz Luhrmann,490,76,Elizabeth Debicki,29000,29769,Steve Bisley,4,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,7.3
George Clooney,351,566,Tate Donovan,21000,22745,Alex Borstein,0,http://www.imdb.com/title/tt0433383/?ref_=fn_tt_tt_1,526,7.5
Bennett Miller,271,27,Michael J. Burg,22000,22140,Kwesi Ameyaw,1,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,416,7.4
Robert Rodriguez,93,4000,Steve Buscemi,16000,33758,Salma Hayek,0,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1,202,7.2
Michael Winterbottom,71,887,Sarah Polley,14000,17104,Shirley Henderson,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,92,6.5
,54,1000,Adam Goldberg,4000,19949,Oliver Platt,0,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1,173,9.0
Michael Anderson,112,440,Jenny Agutter,1000,2951,Peter Ustinov,1,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,242,6.8
Guy Hamilton,118,244,Hervé Villechaize,16000,17611,Desmond Llewelyn,3,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,258,6.8
Craig R. Baxley,35,794,Vanity,1000,5282,Carl Weathers,2,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,65,5.2
Neil Marshall,342,159,Shauna Macdonald,513,1379,Craig Conway,0,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,1100,7.2
Don Kempf,14,69,Michael Jordan,13000,13448,Bob Costas,0,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,13,7.5
Matt Bettinelli-Olpin,137,270,Allison Miller,971,2517,Vanessa Ray,0,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,120,4.0
David O. Russell,50,380,Mary Tyler Moore,718,2240,David Patrick Kelly,3,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,105,6.8
Rob Zombie,261,597,Ken Foree,1000,3544,Lew Temple,0,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1,687,6.9
,96,970,Alyson Hannigan,4000,7970,Emma Caulfield,0,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,665,8.2
Rick Famuyiwa,180,190,Rick Fox,637,1342,Kiersey Clemons,3,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,89,7.3
Michael Rymer,28,826,Omar Epps,1000,4837,Nia Long,1,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,29,6.1
Sam Mendes,750,393,Helen McCrory,883,2039,Rory Kinnear,0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,7.8
Rob Zombie,202,303,Matthew McGrory,1000,2444,Erin Daniels,0,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1,922,6.0
Sharron Miller,8,23,Elizabeth MacRae,246,345,Charles Aidman,0,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,21,4.1
Ethan Coen,341,98,Fred Melamed,816,1120,Peter Breitmayer,1,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,324,7.0
Aaron Schneider,160,970,Robert Duvall,13000,19330,Bill Cobbs,1,http://www.imdb.com/title/tt1194263/?ref_=fn_tt_tt_1,97,7.1
Steve Miner,31,304,Richard E. Grant,687,1990,Lori Singer,0,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,79,6.2
Gina Prince-Bythewood,71,658,Nate Parker,893,3110,Darryl Stephens,1,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1,37,6.9
Tom Ford,281,292,Teddy Sears,14000,14816,Keri Lynn Pratt,2,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,247,7.6
Martin Scorsese,114,159,Barbara Hershey,883,1934,Roberts Blossom,0,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1,308,7.6
Michael Corrente,72,407,George Wendt,761,2018,Shawn Hatosy,3,http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1,100,6.4
Gurinder Chadha,119,397,Martin Henderson,729,2321,Anupam Kher,1,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1,276,6.2
Phillip Noyce,74,46,David Gulpilil,116,312,Deborah Mailman,1,http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1,249,7.5
Don Michael Paul,25,442,Faizon Love,692,3128,Lil' Wayne,0,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,46,2.0
Tony Maylam,39,38,Alun Armstrong,206,493,Alastair Duncan,0,http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1,75,6.2
,27,346,Xander Berkeley,787,2352,Aaron Stanford,1,http://www.imdb.com/title/tt1592154/?ref_=fn_tt_tt_1,83,7.7
Mitch Davis,27,35,Nathaniel Lees,11000,11116,Miriama Smith,2,http://www.imdb.com/title/tt0250371/?ref_=fn_tt_tt_1,85,6.5
,11,652,Ashley Scott,10000,12051,John Savage,1,http://www.imdb.com/title/tt0204993/?ref_=fn_tt_tt_1,160,7.4
Yash Chopra,29,397,Preity Zinta,8000,9984,Anupam Kher,0,http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1,119,7.9
David Mamet,158,501,Randy Couture,1000,2158,Jose Pablo Cantillo,0,http://www.imdb.com/title/tt1012804/?ref_=fn_tt_tt_1,119,6.8
Jay Duplass,223,224,Tim Guinee,490,1136,Katie Aselton,2,http://www.imdb.com/title/tt1336617/?ref_=fn_tt_tt_1,126,6.3
Kevin Brodie,25,359,Cheryl Ladd,655,1906,Jack Warden,0,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,20,6.3
Paul Schrader,97,617,Michael McKean,783,2684,Kurt Fuller,3,http://www.imdb.com/title/tt0298744/?ref_=fn_tt_tt_1,147,6.6
George Hickenlooper,117,628,Jimmy Fallon,4000,6526,Beth Grant,0,http://www.imdb.com/title/tt0432402/?ref_=fn_tt_tt_1,106,6.4
Lynne Ramsay,389,77,Siobhan Fallon Hogan,3000,3547,Ashley Gerasimovich,0,http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1,301,7.5
John Stephenson,9,149,Hans Matheson,2000,2909,Lesley Manville,0,http://www.imdb.com/title/tt2739338/?ref_=fn_tt_tt_1,34,5.8
Tim Chambers,34,455,Marley Shelton,1000,2589,Jennifer Butler,2,http://www.imdb.com/title/tt1034324/?ref_=fn_tt_tt_1,12,6.5
Curtis Hanson,7,172,Shelley Long,10000,11059,Rick Rossovich,0,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1,16,4.8
Rodrigo García,161,798,Jimmy Smits,6000,8876,Carla Gallo,6,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,65,7.2
Dick Richards,6,375,Terence Hill,963,2209,Jack O'Halloran,1,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,26,6.3
Jean-Marie Poiré,16,39,Isabelle Nanty,106,215,Valérie Lemercier,1,http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1,78,7.0
Sofia Coppola,301,106,Chris Pontius,227,684,Erin Wasson,0,http://www.imdb.com/title/tt1421051/?ref_=fn_tt_tt_1,198,6.3
Bob Gosse,52,184,Susie Abromeit,756,1417,Derek Wayne Johnson,1,http://www.imdb.com/title/tt1220628/?ref_=fn_tt_tt_1,72,5.3
Alex Zamm,12,611,Raquel Welch,1000,5213,Larry Miller,1,http://www.imdb.com/title/tt0118836/?ref_=fn_tt_tt_1,62,2.3
Spencer Susser,134,973,Natalie Portman,23000,44969,Rainn Wilson,0,http://www.imdb.com/title/tt1403177/?ref_=fn_tt_tt_1,99,7.1
Richard Shepard,151,13,Mark Wingett,554,1105,Richard Graham,2,http://www.imdb.com/title/tt2402105/?ref_=fn_tt_tt_1,66,6.2
Gus Van Sant,103,,Casey Affleck,13000,13000,,0,http://www.imdb.com/title/tt0302674/?ref_=fn_tt_tt_1,290,6.2
Thaddeus O'Sullivan,39,52,Luke Newberry,766,1251,Eleanor Bron,3,http://www.imdb.com/title/tt0301390/?ref_=fn_tt_tt_1,25,6.7
Peter Sollett,133,935,Josh Charles,7000,9660,Luke Grimes,0,http://www.imdb.com/title/tt1658801/?ref_=fn_tt_tt_1,25,6.5
Shari Springer Berman,104,281,Marian Seldes,474,2029,Dan Hedaya,4,http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1,29,5.9
Aleksey German,121,0,Yuriy Tsurilo,4,8,Valentin Golubenko,0,http://www.imdb.com/title/tt2328813/?ref_=fn_tt_tt_1,28,6.7
Stephen Milburn Anderson,27,410,Mike Starr,26000,27756,Paul Sanchez,2,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,38,6.0
Richard E. Grant,49,530,Julie Walters,876,2544,Miranda Richardson,3,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1,50,6.9
Troy Duffy,100,184,David Della Rocco,12000,12680,Bob Marley,2,http://www.imdb.com/title/tt0144117/?ref_=fn_tt_tt_1,876,7.9
David Lam,12,4,Louis Koo,91,198,Stephen Au,1,http://www.imdb.com/title/tt3469440/?ref_=fn_tt_tt_1,1,5.3
Francis Ford Coppola,112,507,Bruce Dern,1000,3150,Joanne Whalley,0,http://www.imdb.com/title/tt1756851/?ref_=fn_tt_tt_1,70,4.8
Vladlen Barbe,10,26,Wendee Lee,99,218,Ivan Okhlobystin,1,http://www.imdb.com/title/tt2243621/?ref_=fn_tt_tt_1,9,5.3
Richard Rich,2,29,Kate Higgins,122,236,Cindy Robinson,0,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1,6,6.0
Clint Eastwood,38,240,Chris Penn,16000,17209,Sydney Penny,0,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1,138,7.3
Robert C. Cooper,18,687,Christopher Judge,878,4334,Julian Sands,5,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1,42,7.4
Richard Linklater,152,787,Adam Goldberg,14000,18643,Cole Hauser,1,http://www.imdb.com/title/tt0106677/?ref_=fn_tt_tt_1,408,7.7
Kenny Ortega,44,578,Corbin Bleu,755,3009,Olesya Rulin,5,http://www.imdb.com/title/tt0810900/?ref_=fn_tt_tt_1,162,4.8
Kim Nguyen,6,63,Justin Edward Seale,149,414,John Ralston,0,http://www.imdb.com/title/tt4412528/?ref_=fn_tt_tt_1,6,7.2
Jackie Earle Haley,46,493,Edi Gathegi,15000,17377,Travis Aaron Wade,3,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1,38,5.8
Max Färberböck,63,36,Johanna Wokalek,177,333,Maria Schrader,1,http://www.imdb.com/title/tt0130444/?ref_=fn_tt_tt_1,51,7.3
Arie Posin,74,436,John Heard,710,2119,Tim DeKay,1,http://www.imdb.com/title/tt0406650/?ref_=fn_tt_tt_1,129,7.0
Damian Nieman,25,83,Jason Cerbone,240,490,Mark De Alessandro,8,http://www.imdb.com/title/tt0323939/?ref_=fn_tt_tt_1,65,6.4
Mark Tonderai,224,261,Nolan Gerard Funk,34000,35717,Gil Bellows,1,http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1,160,5.6
Denis Villeneuve,226,58,Mélissa Désormeaux-Poulin,131,343,Ahmad Massad,0,http://www.imdb.com/title/tt1255953/?ref_=fn_tt_tt_1,156,8.2
Gabriele Muccino,36,11,Silvio Muccino,60,132,Giulia Michelini,1,http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1,21,6.5
Ian Fitzgibbon,54,415,Brendan Coyle,1000,2728,Michael McElhatton,8,http://www.imdb.com/title/tt1003034/?ref_=fn_tt_tt_1,31,6.4
José Padilha,142,15,Fernanda Machado,585,666,André Ramiro,1,http://www.imdb.com/title/tt0861739/?ref_=fn_tt_tt_1,107,8.1
John R. Leonetti,271,300,Annabelle Wallis,1000,2323,Gabriel Bateman,0,http://www.imdb.com/title/tt3322940/?ref_=fn_tt_tt_1,291,5.4
Rachel Perkins,33,38,Magda Szubanski,46,225,Jessica Mauboy,7,http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1,31,6.3
John Singleton,64,15,Lloyd Avery II,27,106,Na'Blonka Durden,2,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1,183,7.8
Luis Valdez,18,51,Rosanna DeSoto,699,936,Danielle von Zerneck,1,http://www.imdb.com/title/tt0093378/?ref_=fn_tt_tt_1,63,6.8
Alan Alda,6,146,Len Cariou,804,1285,Sandy Dennis,2,http://www.imdb.com/title/tt0082405/?ref_=fn_tt_tt_1,33,7.2
Brian De Palma,121,517,David Margulies,754,2442,Nancy Allen,0,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,201,7.1
Stephen Sommers,14,689,Frances Conroy,876,4840,Anne Heche,0,http://www.imdb.com/title/tt0106223/?ref_=fn_tt_tt_1,54,6.2
Doug Liman,137,376,Jay Mohr,900,2475,Scott Wolf,3,http://www.imdb.com/title/tt0139239/?ref_=fn_tt_tt_1,418,7.3
Nicole Holofcener,111,180,Marin Hinkle,435,1140,Jake Cherry,2,http://www.imdb.com/title/tt0436331/?ref_=fn_tt_tt_1,166,5.9
Robert Wise,57,45,Paula Kelly,116,394,Eric Christmas,0,http://www.imdb.com/title/tt0066769/?ref_=fn_tt_tt_1,171,7.2
Louis Morneau,97,91,Bob Gunton,730,1405,Ned Bellamy,0,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1,160,3.6
