director_name,duration,director_facebook_likes,facenumber_in_poster,plot_keywords,content_rating,actor_2_facebook_likes,imdb_score
Yarrow Cheney,87,11,0,animal control|lost animal|mongrel|pet|terrier,PG,904,6.8
James L. Brooks,131,274,2,chef|college|housekeeper|letter|mexico,PG-13,964,6.5
Gil Kenan,91,27,0,babysitter|halloween|house|neighbor|suburb,PG,970,6.6
Barry Levinson,123,272,2,bank manager|hypochondriac|love triangle|prison|television,PG-13,450,6.6
Jerry Zucker,134,109,3,battle|king|king arthur|knight|marriage,PG-13,303,5.9
Andy Tennant,148,72,2,1860s|children|king|schoolteacher|siam,PG-13,103,6.7
Tarsem Singh,110,763,1,burned alive|castration|olympus|torture|torture device,R,1000,6.1
Florent-Emilio Siri,113,17,0,california|hostage|hostage negotiator|organized crime|police,R,13000,6.6
Don Bluth,94,383,0,alien|captain|escape|pilot|scientist,PG,1000,6.6
Ron Shelton,116,41,2,audition|kissing while having sex|machismo|murder|sex,PG-13,982,5.3
Paul W.S. Anderson,99,545,1,crash survivor|planet|sergeant|soldier|survivor,R,722,6.0
David Pastor,84,10,0,beach|disease|latex gloves|pandemic|virus,PG-13,552,6.0
Henry Selick,93,253,0,carnival|coma|death|monkey|nightmare,PG-13,889,4.7
John Moore,113,212,4,captain|desert|rescue|stranded|survivor,PG-13,845,6.1
M. Night Shyamalan,106,0,0,child with gun|comic book|invulnerability|superhero|train crash,PG-13,13000,7.2
Kyle Balda,91,22,0,antarctica|minion|queen|super villain|villain,PG,4000,6.4
Zack Snyder,128,0,4,alternate reality|escape|girl gang|prostitution|samurai,PG-13,2000,6.1
Brian De Palma,98,0,1,assassination|boxing|casino|conspiracy|long take,R,854,5.9
Barry Levinson,134,272,3,manifestation|ocean|spacecraft|spaceship|sphere,PG-13,270,6.0
Clay Kaytis,97,6,0,butt|downward duck|fish|kingfisher|pig,PG,1000,6.3
Andy Tennant,112,72,0,debt|rapper|treasure|treasure hunter|yacht,PG-13,1000,5.6
Judd Apatow,153,0,1,breasts|comedian|craigslist|infidelity|stand up comedian,R,561,6.4
Peter Berg,110,532,1,al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch,R,638,7.1
Adam McKay,122,285,5,car racing|french|friend|nascar|racing,PG-13,1000,6.6
Steve Carr,87,41,0,bear|doctor|false accusation|man with glasses|second part,PG,692,4.6
Mel Gibson,178,0,1,14th century|legend|revolt|scotland|tyranny,R,466,8.4
Sam Mendes,125,0,0,american abroad|gulf war|u.s. military|u.s. soldier|usmc,R,383,7.1
David Silverman,87,30,0,alaska|dome|lake|pig|the simpsons,PG-13,440,7.4
Frank Darabont,152,0,1,amnesia|california|communist|small town|writer,PG,826,6.9
Renny Harlin,116,212,0,car race|german|race car|race car driver|rookie,PG-13,658,4.5
Jean-Jacques Annaud,109,218,0,circus|death of protagonist|jungle|killing an animal|tiger,PG,17,7.1
M. Night Shyamalan,108,0,0,creature|pact|plot twist|village|woods,PG-13,2000,6.5
Betty Thomas,85,84,0,box office hit|doctor|dog|first part|tiger,PG-13,1000,5.3
M. Night Shyamalan,106,0,0,crop circle|faith|farm|glass of water|loss of faith,PG-13,529,6.7
Andrew Adamson,93,80,1,drag queen|physical appearance|princess|queen|sequel,PG,309,7.2
John Lasseter,117,487,0,car|desert|route 66|tow truck|truck,G,843,7.2
Garry Marshall,116,0,2,bride|columnist|journalist|maryland|wedding,PG,3000,5.5
Rob Cohen,132,357,0,agent|nsa|nsa agent|prague|russian,PG-13,223,5.8
Paul Tibbitt,92,5,0,book|magic|pirate|plankton|time machine,PG,861,6.0
Ron Howard,139,2000,1,bounty|fbi|millionaire|money|ransom,R,848,6.6
Quentin Tarantino,153,16000,1,france|german|nazis|revenge|scalping,R,11000,8.3
Steven Spielberg,142,14000,1,1990s|caught in a net|children|duel|hero,PG,8000,6.7
Brett Ratner,101,420,0,army|greek mythology|hercules|king|mercenary,PG-13,3000,6.0
Renny Harlin,124,212,0,airport|fuel|plane|police|terrorist,R,982,7.1
Clark Johnson,117,69,1,hostage|police|prison|swat team|training,PG-13,1000,6.0
,45,,0,apocalypse|death|husband wife relationship|mother son relationship|murder,TV-14,372,7.5
Cameron Crowe,141,488,1,death|dream|love|lynchian|reality,R,834,6.9
M. Night Shyamalan,110,0,1,apartment|bedtime story|eagle|stuttering|swimming pool,PG-13,579,5.6
Paul W.S. Anderson,109,545,0,alien|antarctica|predator|pyramid|satellite,PG-13,766,5.6
Betty Thomas,88,84,0,adidas|chipmunk|hospital|school|waste container,PG,1000,4.5
Randall Wallace,124,130,0,air cavalry|battle|major|soldier|vietnamese,R,973,7.1
Antoine Fuqua,119,845,3,political thriller|politics|president|speaker of the house|u.s. president,R,11000,6.5
Jonathan Frakes,103,906,0,alien|captain|commander|conspiracy|planet,PG,906,6.4
Jonathan Liebesman,116,473,0,alien|extraterrestrial|invasion|marine|mission,PG-13,697,5.8
Tim Burton,125,13000,0,dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman,PG-13,1000,8.0
Mike Nichols,125,0,1,blood|publisher|publishing house|werewolf|wolf,R,277,6.2
Steven Spielberg,146,14000,1,barbed wire|british|cavalry|horse|world war one,PG-13,19000,7.2
George Clooney,118,0,7,art|art expert|nazi stolen art|soldier|world war two,PG-13,13000,6.1
James Cameron,171,0,0,alien|estranged couple|ocean|submarine|underwater,PG-13,650,7.6
Oliver Stone,136,0,2,corporate greed|crisis|economy|greed|mentor,PG-13,592,6.3
Gary Shore,92,28,1,death of wife|dracula|tarantula|turk|vampire,PG-13,692,6.3
Edward Zwick,116,380,0,abduction|martial law|military|new york city|terrorist,R,13000,6.3
Matthew Vaughn,127,905,8,king|magic|one word title|pirate|village,PG-13,588,7.7
Jean-Jacques Annaud,136,218,1,austria|dalai lama|himalaya|mountain|tibet,PG-13,691,7.0
Ron Howard,111,2000,2,best friend|friend|investigation|secret|two word title,PG-13,1000,5.3
Joel Schumacher,116,541,2,cia|cia agent|terrorist|twin|twin brother,PG-13,405,5.6
Andrzej Bartkowiak,113,43,0,commando unit|extra chromosome|first person shooter|special forces|teleportation,R,585,5.2
Betty Thomas,97,84,1,boxer|espionage|spy|stealth|top secret,PG-13,229,5.4
Måns Mårlind,88,24,1,battle|cryogenics|detective|scientist|vampire,R,327,6.4
