director_facebook_likes,actor_3_facebook_likes,genres,cast_total_facebook_likes,facenumber_in_poster
6,12,Action|Drama|History|Thriller|War,151,1
,505,Drama|Family,2667,0
249,261,Action|Adventure,3089,1
63,422,Action|Crime|Drama,4810,4
143,100,Crime|Thriller,1291,6
79,93,Action|Crime|Drama|Thriller,857,1
51,8,Drama|Family,497,1
12,106,Comedy|Drama,1045,0
0,7,Mystery|Sci-Fi|Thriller,61,0
456,394,Adventure|Family|Fantasy,21404,4
197,578,Comedy|Drama|Family|Music|Musical|Romance,2553,0
,551,Crime|Drama,3026,0
23,130,Comedy|Drama,938,1
335,16,Fantasy|Thriller,206,0
277,327,Crime|Drama|Romance|Thriller,2412,0
84,95,Comedy,582,0
0,231,Horror,1951,0
0,56,Drama|Horror|Mystery,403,5
0,11,Drama,32015,0
11000,629,Comedy|Romance,12691,0
309,132,Drama|Family|Romance,825,0
0,748,Action|Adventure|Drama,26489,0
395,80,Drama|Romance,13707,1
9,428,Drama|Horror,1885,2
81,687,Drama|Romance,14823,0
2,555,Comedy|Horror,2634,0
228,358,Comedy|Horror|Sci-Fi,2020,0
0,116,Comedy|Drama|Romance,1218,2
357,326,Mystery|Thriller,4807,1
82,69,Drama|Romance,986,0
,904,Drama|Fantasy,5203,1
450,712,Comedy|Drama,18645,1
0,133,Horror|Sci-Fi|Thriller,837,0
120,145,Adventure|Drama|History|Thriller|War,1785,0
0,428,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,2649,0
8,400,Drama|Horror|Thriller,46868,0
0,127,Drama,673,0
11000,405,Comedy|Crime|Mystery,20132,0
13000,567,Action|Adventure|Sci-Fi|Thriller,2776,0
69,69,Comedy,955,2
69,585,Comedy,3354,1
47,407,Crime|Drama|Fantasy|Romance,3086,1
1000,268,Drama|Romance|Western,1652,2
5,710,Crime|Mystery|Thriller,50831,0
7,27,Comedy|Crime,1002,0
0,255,Horror|Mystery|Thriller,2537,2
171,143,Drama|Mystery|Thriller,954,0
89,511,Comedy|Fantasy,4073,2
675,968,Comedy|Drama|Romance,19928,2
13000,148,Drama|Thriller,753,0
0,242,Comedy|Crime,1566,0
99,960,Comedy|Fantasy,7921,6
30,296,Comedy|Drama|Romance,2251,1
2,0,Documentary,972,1
0,237,Drama,1966,0
378,611,Comedy,3559,0
24,545,Comedy,2662,3
131,90,Comedy|Crime|Romance|Thriller,776,1
101,71,Comedy|Drama,1208,0
0,939,Action|Crime|Horror|Thriller,4777,0
21,161,Adventure|Fantasy,1215,0
330,0,Documentary|Music,48,0
101,324,Adventure|Fantasy,1700,0
19,322,Drama|Romance,2353,1
5,842,Drama|Thriller,3408,0
60,444,Drama|Thriller,3130,4
81,687,Drama,4343,0
227,226,Drama|Fantasy,1298,0
234,221,Drama,13607,2
13,159,Comedy|Crime|Romance,975,3
212,195,Crime|Drama|Horror|Thriller,11083,0
0,209,Comedy|Horror|Mystery,2282,1
8,428,Comedy,2805,1
45,69,Drama,824,0
0,67,Crime|Drama|Thriller,916,0
272,70,Comedy,1403,4
12,15,Comedy|Romance,643,1
105,748,Drama|Romance,25269,0
137,476,Comedy|Drama|Romance,5796,0
58,9,Comedy|Drama,387,1
53,65,Drama|Horror|Sci-Fi,1038,1
,218,Comedy|Family|Romance,915,1
19,599,Biography|Drama,20135,1
19,9,Drama,629,2
8,2000,Comedy|Drama,10984,4
7,641,Action|Adventure|Crime|Thriller,2631,1
165,150,Comedy|Fantasy,1298,0
0,22,Adventure|Drama,183,0
0,69,Drama|Family|History|Musical,1541,0
55,5,Drama|Mystery|Romance|Thriller,242,3
177,4,Drama|War,457,1
0,183,Comedy|Drama|Romance,1585,5
21,359,Horror,2651,2
18,35,Horror|Thriller,644,1
548,104,Horror,609,0
4,271,Comedy|Romance,1932,2
103,111,Adventure|Biography|Drama|Romance,1150,1
335,635,Adventure|Drama|History,13391,2
160,94,Biography|Drama|History,1238,0
0,682,Drama|Romance,5987,0
149,248,Drama|History|Romance|War,1862,1
10,196,Biography|Drama,1281,0
541,288,Adventure|War|Western,2888,2
2,601,Drama,3229,3
24,83,Biography|Comedy|Musical|Romance|Western,731,0
69,106,Comedy|Crime|Drama,1269,0
6,24,Drama,222,1
89,388,Comedy|Crime|Drama,2658,0
136,48,Adventure|Comedy|Musical|Romance,282,0
29,64,Drama,298,2
13,480,Comedy|Drama,5977,0
174,767,Action|Mystery|Thriller,17151,3
,395,Comedy|Drama|War,2195,5
154,77,Drama,465,2
11,121,Comedy|Drama|Music,2323,3
104,318,Comedy,2726,0
2,6,Action|Thriller,2886,3
473,624,Comedy|Drama,3455,1
117,556,Crime|Drama|Thriller,3036,2
,496,Drama|Music,4337,2
10,178,Comedy|Fantasy|Horror|Thriller,3617,0
541,242,Comedy|Drama|Romance|Western,1970,2
174,188,Biography|Crime|Drama|History,970,1
160,75,Drama,646,0
22,367,Action|Crime|Drama|Mystery|Thriller,2402,1
13000,118,Thriller,771,0
22,159,Horror|Mystery,1122,0
0,78,Comedy,987,2
0,111,Comedy|Drama|Romance,995,2
386,248,Biography|Drama,4238,2
195,50,Drama|Mystery|Thriller,1044,0
0,83,Horror,1592,1
47,108,Horror|Thriller,836,1
0,199,Comedy|Fantasy|Horror|Thriller,1347,0
0,542,Action|Adventure|Comedy|Musical,2238,0
48,689,Horror,3075,0
22,10,Drama|History,222,0
12,4,Comedy|Drama|Fantasy|Horror,44,0
0,681,Comedy|Romance,3574,3
82,536,Action|Comedy|Sci-Fi,2486,4
9,405,Comedy|Drama,20009,4
23,660,Action|Comedy|Romance,6380,3
28,131,Action|Biography|Crime|Drama|Family|Fantasy,1043,0
0,31,Crime|Drama|Mystery|Thriller,668,0
6,467,Action|Comedy|Crime|Thriller,2406,6
,119,Drama|Thriller,1393,3
0,460,Horror|Thriller,2307,0
41,739,Action|Animation|Crime|Sci-Fi|Thriller,5526,0
117,0,Documentary,24,0
892,50,Action|Adventure|Fantasy|Thriller,854,1
14,597,Action|Crime|Drama|Thriller,3854,2
19,322,Drama|Thriller,2497,0
0,37,Crime|Mystery|Thriller,1183,1
0,605,Comedy,2861,0
10,34,Documentary,11218,0
78,969,Biography|Drama|Thriller,22834,8
0,43,Drama|Romance,320,1
0,539,Comedy|Drama,3608,0
141,535,Drama|Music,26495,0
353,40,Crime|Drama,1211,0
8,78,Comedy|Music,1430,2
19,80,Biography|Drama|Music,1011,7
22,303,Crime|Drama|Mystery,11860,0
346,26,Drama,216,1
84,378,Comedy|Family,2076,0
38,377,Drama|Romance,2747,0
73,129,Action|Crime|Drama|Thriller,1105,4
246,491,Comedy,3717,5
4,405,Drama|Romance,2020,0
39,0,Drama,17,7
2000,449,Drama|Horror,2997,0
673,332,Drama|Western,2693,1
6,194,Drama|Romance,1936,0
13,6,Crime|Drama,308,0
101,157,Comedy|Drama|Romance,2016,4
38,898,Action|Comedy|Horror|Thriller,170118,0
644,559,Comedy,3468,6
82,177,Action|Adventure|Thriller,1198,2
43,463,Horror|Sci-Fi|Thriller,1962,0
964,248,Drama|Family|Fantasy|Romance,1844,0
0,557,Drama,3559,4
0,360,Comedy|Documentary,1964,0
21,189,Horror,1081,0
52,482,Comedy,1965,0
909,184,Crime|Documentary|Drama,1779,2
611,4,Drama,900,1
28,217,Fantasy|Horror,1472,0
133,249,Drama|Romance,1665,0
65,535,Horror|Sci-Fi|Thriller,3708,0
301,412,Horror|Mystery,2239,0
9,12,Biography|Comedy|Documentary,159,1
174,110,Drama|Romance,649,0
57,158,Action|Adventure|Sci-Fi,1186,0
188,693,Comedy|Drama|Family|Sport,4277,0
8,49,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,373,0
41,155,Horror|Thriller,1862,0
767,87,Adventure|Drama|War,1035,2
32,175,Adventure|Comedy|Sci-Fi,1441,1
13000,416,Comedy|Thriller,2811,1
0,180,Comedy|Drama|Romance,1328,2
18,307,Fantasy|Horror|Thriller,2899,0
13000,14,Thriller,70,1
1000,220,Comedy|Documentary|Music,2165,0
85,748,Western,14696,2
78,77,Comedy|Drama|Music,1163,0
23,706,Action|Comedy|Crime,4815,3
174,125,Drama,1444,1
176,760,Drama|War,3847,0
9,200,Comedy,1936,3
,0,Animation|Comedy,11,0
393,281,Action|Adventure|Romance|Western,2269,0
18,233,Comedy,2321,0
0,48,Drama|Romance,328,1
4,152,Comedy|Fantasy,1389,1
152,135,Action|Fantasy|Horror|Sci-Fi|Thriller,1395,1
78,469,Drama,3049,0
15,453,Comedy|Drama,2510,1
,110,Drama|War,1400,0
375,31,Drama|Romance,1394,0
70,163,Comedy|Drama,1616,0
0,51,Comedy|Romance,858,1
300,200,Crime|Drama|History|Romance,1292,0
132,547,Comedy|Drama,3692,0
21,124,Family|Fantasy|Musical,1011,1
16,222,Fantasy|Horror,1806,0
45,267,Comedy|Crime,1363,0
0,180,Drama|Romance,1618,0
11,194,Drama,12250,2
18,844,Comedy|Crime|Thriller,9555,3
232,353,Biography|Drama,11459,4
