num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,title_year
17,252,252,1000,,Action|Horror|Sci-Fi,Johnny Pacar,The Dead Undead ,2510,Matthew R. Anderson,English,USA,R,2010
9,0,0,12,,Horror,Piero Maggiò,The Vatican Exorcisms ,12,Joe Marino,English,Italy,R,2013
242,345,269,2000,,Drama|Romance|War,Humphrey Bogart,Casablanca ,3442,Conrad Veidt,English,USA,PG,1942
95,0,5,12,,Drama|Horror|Mystery|Thriller,Talia Zucker,Lake Mungo ,29,Martin Sharpe,English,Australia,R,2008
14,6,20,964,,Comedy|Drama,Ranbir Kapoor,Rocket Singh: Salesman of the Year ,1052,Gauhar Khan,Hindi,India,,2009
87,136,42,844,,Drama|Sci-Fi,Bruce Dern,Silent Running ,1080,Jesse Vint,English,USA,GP,1972
141,80,794,13000,117235247,Drama|Sport,Sylvester Stallone,Rocky ,16094,Carl Weathers,English,USA,PG,1976
16,2,9,321,,Drama,Christopher Abbott,The Sleepwalker ,622,Gitte Witt,English,Norway,Not Rated,2014
212,0,606,2000,21378000,Fantasy|Horror,Jamie Lee Curtis,The Fog ,4878,Janet Leigh,English,USA,R,1980
30,62,69,883,,Adventure|Comedy|History,Albert Finney,Tom Jones ,1371,Hugh Griffith,English,UK,Unrated,1963
270,6,142,707,31537320,Horror|Mystery|Thriller,Shelley Hennig,Unfriended ,1565,Heather Sossaman,English,USA,R,2014
211,17000,595,22000,,Crime|Drama,Robert De Niro,Taxi Driver ,23525,Peter Boyle,English,USA,R,1976
161,287,725,1000,17986000,Horror,Patrick Macnee,The Howling ,4438,Dee Wallace,English,USA,R,1981
184,92,177,650,16067035,Action|Adventure|Thriller,Ursula Andress,Dr. No ,1421,Lois Maxwell,English,UK,Approved,1962
270,18,300,1000,18112929,Horror|Mystery|Sci-Fi|Thriller,Jesse McCartney,Chernobyl Diaries ,2665,Jonathan Sadowski,English,USA,R,2012
203,385,100,266,14564027,Fantasy|Horror,Andrew Robinson,Hellraiser ,673,Clare Higgins,English,UK,R,1987
29,18,295,634,20773070,Drama,Benjamin A. Onyango,God's Not Dead 2 ,1810,Maria Canals-Barrera,English,USA,PG,2016
137,65,683,1000,10042266,Drama|Horror|Mystery|Thriller,Julian Morris,Cry_Wolf ,3155,Lindy Booth,English,USA,PG-13,2005
107,2,3,43,10037390,Action|Adventure|Drama|Sci-Fi|Thriller,Hiroshi Abe,Godzilla 2000 ,53,Sakae Kimura,Japanese,Japan,PG,1999
377,310,616,33000,9701559,Drama|Romance,Ryan Gosling,Blue Valentine ,35941,John Doman,English,USA,R,2010
169,2,226,2000,9013113,Adventure|Comedy|Drama,Kevin Zegers,Transamerica ,3192,Paul Borghese,English,USA,R,2005
225,19,128,403,53245055,Horror,Fernanda Andrade,The Devil Inside ,988,Brian Johnson,English,USA,R,2012
101,199,44,503,9000000,Comedy|Drama|Music,Charles Napier,Beyond the Valley of the Dolls ,731,Harrison Page,English,USA,X,1970
39,0,102,356,,Drama|Romance|Western,James Drury,Love Me Tender ,831,Debra Paget,English,USA,,1956
372,49,,861,23808111,Documentary,Billy West,An Inconvenient Truth ,929,,English,USA,PG,2006
40,23,88,183,,Action|Drama|Romance|War,James Brown,Sands of Iwo Jima ,510,Forrest Tucker,English,USA,Approved,1949
129,17000,184,543,5355376,Biography|Documentary|Music,Mick Jagger,Shine a Light ,1218,Albert Maysles,English,USA,PG-13,2008
285,0,389,640,7186670,Adventure|Horror,Daryl Sabara,The Green Inferno ,2082,Magda Apanowicz,English,USA,R,2013
29,0,30,202,,Drama|Family|Romance,Juliet Stevenson,Departure ,283,Niamh Cusack,English,UK,,2015
337,20,365,422,5997134,Biography|Comedy|Drama|Romance,W. Earl Brown,The Sessions ,1899,Rhea Perlman,English,USA,R,2012
120,11,2,37,4417124,Documentary,Michael Pollan,Food, Inc. ,42,Barbara Kowalcyk,English,USA,PG,2008
40,10,245,544,5355847,Drama,Rachel Hendrix,October Baby ,1147,Jason Burkey,English,USA,PG-13,2011
38,122,458,22000,3386698,Comedy|Drama|Romance,Philip Seymour Hoffman,Next Stop Wonderland ,23461,Holland Taylor,English,USA,R,1998
387,655,973,24000,143492840,Comedy|Drama|Romance,J.K. Simmons,Juno ,28817,Rainn Wilson,English,USA,PG-13,2007
185,7,180,3000,5283379,Comedy|Drama,Ty Burrell,The Skeleton Twins ,3986,Kathleen Rose Perkins,English,USA,R,2014
348,46,287,321,2981638,Drama|Mystery|Thriller,Christopher Abbott,Martha Marcy May Marlene ,1263,Brady Corbet,English,USA,R,2011
155,9,313,612,3122616,Comedy|Drama,Gaby Hoffmann,Obvious Child ,1587,Jake Lacy,English,USA,R,2014
181,33,229,496,2508841,Crime|Drama,Charlie McDermott,Frozen River ,994,Misty Upham,English,USA,R,2008
149,9,13,130,4946250,Documentary|Music,Sheryl Crow,20 Feet from Stardom ,198,Merry Clayton,English,USA,PG-13,2013
54,56,13,21000,1950218,Comedy|Drama,Robert Downey Jr.,Two Girls and a Guy ,21124,Angel David,English,USA,R,1997
18,132,584,778,1277257,Comedy|Drama|Romance,Kevin Corrigan,Walking and Talking ,2400,Vincent Pastore,English,UK,R,1996
122,11,121,1000,45857453,Comedy|Drama|Music,Tom Wilkinson,The Full Monty ,2323,Lesley Sharp,English,UK,R,1997
87,2,5,783,1677838,Documentary,Ed Begley Jr.,Who Killed the Electric Car? ,1447,Colette Divine,English,USA,PG,2006
51,112,428,1000,1744858,Comedy|Drama|Romance|Sport,Justin Theroux,The Broken Hearts Club: A Romantic Comedy ,3085,Mary McCormack,English,USA,R,2000
260,152,124,1000,,Comedy|Fantasy|Mystery,Daniel Roebuck,Bubba Ho-Tep ,1587,Ella Joyce,English,USA,R,2002
218,11,543,2000,80021740,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,Goosebumps ,5497,Ken Marino,English,USA,PG,2015
16,12,6,245,982214,Drama,Sonja Sohn,Slam ,295,Bonz Malone,English,USA,R,1998
12,13,25,957,798341,Crime|Drama|Mystery,Wilford Brimley,Brigham City ,1107,Rick Macy,English,USA,PG-13,2001
1,10,97,353,610991,Drama|Romance,Karisma Kapoor,Fiza ,773,Jaya Bhaduri,Hindi,India,,2000
48,0,842,1000,,Comedy,Madeline Kahn,History of the World: Part I ,3931,Dom DeLuise,English,USA,R,1981
59,406,194,406,582024,Comedy|Sci-Fi,Trey Parker,Orgazmo ,904,Matt Stone,English,USA,NC-17,1997
88,234,463,11000,548712,Drama|Romance,Zooey Deschanel,All the Real Girls ,12385,Shea Whigham,English,USA,R,2003
28,4,301,611,464655,Comedy|Drama,David Arquette,Dream with the Fishes ,1692,Kathryn Erbe,English,USA,R,1997
44,22,275,638,464126,Drama,Frances Fisher,Blue Car ,1641,A.J. Buckley,English,USA,R,2002
13,0,268,844,428535,Comedy|Romance,Cheech Marin,Luminarias ,2289,Robert Beltran,English,USA,R,2000
117,71,145,11000,750100,Drama,James Franco,Palo Alto ,12234,Olivia Crocicchia,English,USA,R,2013
100,13,7,20,621240,Crime|Drama,Shahir Kabaha,Ajami ,42,Ranin Karim,Arabic,Germany,,2009
117,21,772,1000,104077,Comedy|Drama|Fantasy|Romance,Leslie Bibb,Wristcutters: A Love Story ,4720,Chase Ellison,English,USA,R,2006
140,135,11,7000,334658,Drama|Romance|Sci-Fi,Steven Yeun,I Origins ,7098,Venida Evans,English,USA,R,2014
29,2,551,855,279282,Comedy|Drama|Romance,Shiri Appleby,The Battle of Shaker Heights ,2489,Kathleen Quinlan,English,USA,PG-13,2003
308,0,310,873,43982842,Drama|Fantasy|Thriller,Michael Imperioli,The Lovely Bones ,2369,Tom McCarthy,English,USA,PG-13,2009
248,50,0,3,484221,Biography|Crime|Documentary|History,Anwar Congo,The Act of Killing ,6,Syamsul Arifin,Indonesian,UK,Not Rated,2012
84,141,23,141,274661,Crime|Documentary|War,Alex Gibney,Taxi to the Dark Side ,313,Greg D'Agostino,English,USA,R,2007
40,10,5,102,144431,Documentary|Sport,Pelé,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,118,Ahmet Ertegun,English,UK,PG-13,2006
,0,0,12,227241,Drama,Kumar Gaurav,Guiana 1838 ,15,Aasheekaa Bathija,English,USA,Unrated,2004
13,165,679,978,112521,Comedy|Drama,Mira Sorvino,Lisa Picard Is Famous ,3258,Melissa Gilbert,English,USA,PG-13,2000
31,9,9,53,287761,Adventure|Biography|Documentary|Drama,Josh Swanson,Antarctica: A Year on Ice ,86,Anthony Powell,English,New Zealand,PG,2013
43,0,0,20,100240,Documentary,G.W. Krauss,A Lego Brickumentary ,28,Jason Bateman,English,Denmark,G,2014
2,74,891,260000,96734,Action|Drama,Matthew Ziff,Hardflip ,263584,Raquel Elizabeth Ames,English,USA,PG-13,2012
4,5,219,724,49000,Thriller,Emraan Hashmi,Chocolate: Deep Dark Secrets ,2024,Sunil Shetty,Hindi,India,,2005
238,243,725,969,100659,Horror,Lena Dunham,The House of the Devil ,3833,Dee Wallace,English,USA,R,2009
112,11,271,443,48430,Comedy|Crime|Thriller,David Hyde Pierce,The Perfect Host ,1452,Nathaniel Parker,English,USA,R,2010
33,29,117,499,21210,Comedy|Crime,Harvey Fierstein,Safe Men ,1141,Josh Pais,English,USA,R,1998
8,5,73,590,,Crime|Drama|Romance,Patrick Renna,Speedway Junky ,1042,Adrienne Frantz,English,USA,R,1999
95,8,14,96,22434,Comedy|Drama,Yul Vazquez,The Last Big Thing ,196,James Lorinz,English,USA,R,1996
29,82,490,2000,12996,Action|Comedy|Fantasy|Sci-Fi,Judy Greer,The Specials ,3905,Jamie Kennedy,English,USA,R,2000
3,32,256,386,,Comedy|Romance,Will Rothhaar,16 to Life ,1647,Hallee Hirsh,English,USA,,2009
71,0,61,262,10018,Crime|Drama|Thriller,Jordana Spiro,Alone with Her ,509,Jonathon Trent,English,USA,Not Rated,2006
36,4,150,446,62480,Drama|Sci-Fi,Nora Zehetner,Creative Control ,928,Meredith Hagner,English,USA,R,2015
56,0,394,975,6387,Comedy|Drama|Sci-Fi,Michael Rapaport,Special ,2694,Ian Bohen,English,USA,R,2006
8,18,422,491,5494,Comedy|Drama,Frances Bay,Sparkler ,2633,Veronica Cartwright,English,USA,R,1997
3,0,94,639,,Action|Adventure|Comedy|Fantasy|Sci-Fi,Scott Levy,The Helix... Loaded ,1188,Jennifer Sky,English,USA,R,2005
8,53,176,563,721,Action|Drama,David Keith,In Her Line of Fire ,1284,Jesse Hutch,English,Germany,R,2006
9,436,4,474,703,Comedy|Drama,Lynn Cohen,The Jimmy Show ,920,Heather Bucha,English,USA,R,2001
87,50,8,327,,Crime|Drama|Romance,Kenny Johnston,Heli ,351,Gabriel Reyes,Spanish,Mexico,Not Rated,2013
6,3,4,7,,Comedy|Family,Rasheed Naz,Karachi se Lahore ,19,Javed Sheikh,Urdu,Pakistan,,2015
14,57,228,442,,Drama|Romance,Ilene Graff,Loving Annabelle ,1635,Laura Breckenridge,English,USA,Not Rated,2006
20,0,396,782,,Comedy|Drama,Jason Ritter,Hits ,2607,Amy Sedaris,English,USA,,2014
23,0,131,363,,Crime|Drama|Thriller,Nicole Randall Johnson,Jimmy and Judy ,997,James Eckhouse,English,USA,R,2006
6,15,106,984,,Comedy,Randy Wayne,Frat Party ,1752,Alicia Ziegler,English,USA,R,2009
12,82,47,694,,Drama,Oliver Reed,The Party's Over ,964,Louise Sorel,English,UK,,1965
2,3,149,767,,Drama,Aidan Quinn,Proud ,1593,Janet Hubert,English,USA,PG,2004
12,923,904,34000,,Drama,Jennifer Lawrence,The Poker House ,52113,Bokeem Woodbine,English,USA,R,2008
,0,171,1000,,Drama,Joe Mantegna,Childless ,1996,Diane Venora,English,USA,R,2008
64,23,23,199,,Comedy|Horror|Sci-Fi,Russell Hodgkinson,ZMD: Zombies of Mass Destruction ,292,Kevin Hamedani,English,USA,R,2009
7,142,317,458,,Horror,Maureen McCormick,Snow White: A Deadly Summer ,1549,Tim Abell,English,USA,PG-13,2012
9,0,0,90,,Drama|Romance,Álex Angulo,Hidden Away ,90,Joseba Ugalde,Spanish,Spain,Unrated,2014
21,0,360,898,,Comedy|Drama|Romance,Nicole Beharie,My Last Day Without You ,2116,Reg E. Cathey,English,USA,,2011
,105,110,592,,Comedy|Music,Wesley Jonathan,Steppin: The Movie ,1350,Chrystee Pharris,English,USA,PG-13,2009
1,142,402,10000,,Western,William McNamara,Doc Holliday's Revenge ,11466,Randy Jay Burrell,English,USA,PG-13,2014
95,224,37,224,,Horror|Thriller,Katie Aselton,Black Rock ,344,Jay Paulson,English,USA,R,2012
40,0,177,335,,Horror|Mystery,David Oakes,Truth or Die ,1226,Jennie Jacques,English,UK,Not Rated,2012
6,6,0,92,,Drama|Thriller,Magi Avila,The Pet ,109,Summer Napoles,English,USA,,2006
16,0,36,57,,Drama|Musical|Sci-Fi,Boyd Banks,Bang Bang Baby ,231,Kristian Bruun,English,Canada,,2014
39,53,253,677,,Horror,Angelina Armani,Fear Clinic ,1825,Fiona Dourif,English,USA,R,2015
150,3,115,214,,Action|Comedy|Horror,Jason K. Wixom,Zombie Hunter ,656,Jarrod Phillips,English,USA,Not Rated,2013
1,0,426,657,,Drama,Justin Baldoni,A Fine Step ,2677,Leonor Varela,,USA,PG,2014
393,0,888,3000,2319187,Crime|Drama|Mystery|Thriller,Rosario Dawson,Trance ,5056,Tuppence Middleton,English,UK,R,2013
32,17,113,754,,Drama|Romance|Sci-Fi,Cliff Robertson,Charly ,1567,Claire Bloom,English,USA,PG,1968
78,0,302,696,,Horror|Thriller,Monique Candelaria,Banshee Chapter ,1618,Michael McMillian,English,Germany,R,2013
,,223,775,,Comedy,Eric Lloyd,Jesse             ,1713,Bruno Campos,English,USA,,
8,12,354,529,,Drama,Kimberly Williams-Paisley,Ask Me Anything ,2468,Cathryn de Prume,English,USA,Not Rated,2014
6,29,558,1000,,Comedy|Romance,Vanessa Williams,And Then Came Love ,2504,Eartha Kitt,English,USA,,2007
9,0,17,56,,Documentary|News,Alma Martinez,Food Chains ,104,Eve Ensler,English,USA,,2014
134,603,279,10000,9600000,Crime|Drama|Romance,Marlon Brando,On the Waterfront ,11094,Rod Steiger,English,USA,Not Rated,1954
18,28,501,945,20186,Comedy,Justin Kirk,L!fe Happens ,2924,Kristen Johnston,English,USA,R,2011
233,163,27,131,1185783,Drama,Anamaria Marinca,4 Months, 3 Weeks and 2 Days ,264,Alexandru Potocean,Romanian,Romania,Not Rated,2007
10,171,76,1000,,Horror,Javier Botet,The Horror Network Vol. 1 ,1343,Jan Cornet,English,USA,,2015
231,171,0,109,1007962,Crime|Drama|Thriller,Odessa Rae,Hard Candy ,117,Patrick Wilson,English,USA,R,2005
65,91,659,982,381186,Drama|Thriller,Katy Mixon,The Quiet ,3299,Edie Falco,English,USA,R,2005
76,32,127,144,439958,Drama,Sarah Kazemy,Circumstance ,509,Sina Amedson,Persian,France,R,2011
327,0,88,282,16097842,Biography|Drama|Romance,Ahna O'Reilly,Fruitvale Station ,687,Ariana Neal,English,USA,R,2013
62,6,727,975,6643,Comedy|Fantasy|Thriller,Jack McBrayer,The Brass Teapot ,4184,Alia Shawkat,English,USA,R,2012
116,11,8,16,102797150,Animation|Drama|Family,Sam Edwards,Bambi ,63,Ann Gillis,English,USA,Approved,1942
73,0,102,465,442638,Comedy|Romance|Sport,John Enos III,The Hammer ,897,Adam Carolla,English,USA,R,2007
238,29,874,12000,42919096,Action|Drama|Thriller,Dwayne Johnson,Snitch ,15800,Nadine Velazquez,English,USA,PG-13,2013
35,6,522,23000,819939,Comedy|Drama|Romance,Joseph Gordon-Levitt,Latter Days ,26017,Jacqueline Bisset,English,USA,R,2003
2,0,0,0,,Drama,Stana Roumillac,Elza ,0,Teddy Doloir,French,France,,2011
6,66,734,904,,Drama,Bokeem Woodbine,1982 ,5435,Quinton Aaron,English,USA,R,2013
115,15,567,938,1243961,Comedy,James Wolk,For a Good Time, Call... ,3770,Nia Vardalos,English,USA,R,2012
193,43,172,904,3094687,Comedy|Drama|Romance,Ari Graynor,Celeste & Jesse Forever ,1751,Rob Huebel,English,USA,R,2012
16,14,221,284,15278,Drama|Fantasy|Sci-Fi,Gavin MacLeod,Time Changer ,1185,Hal Linden,English,USA,PG,2002
68,46,141,418,,Crime|Drama|Thriller,Lorraine Stanley,London to Brighton ,926,Georgia Groome,English,UK,R,2006
16,63,175,489,,Action|Comedy|Drama|Sci-Fi,Eddie Griffin,American Hero ,1278,Michelle Tabora,English,USA,,2015
7,8,487,1000,,Mystery|Thriller,Tommy O'Reilly,Windsor Drive ,3336,Matt Cohen,English,USA,,2015
354,0,620,786,7098492,Drama|Mystery,Shahab Hosseini,A Separation ,2501,Peyman Moaadi,Persian,Iran,PG-13,2011
16,5,10,49,,Thriller,Jo Hartley,Crying with Laughter ,81,Joe Cassidy,English,UK,,2009
74,377,236,529,4771000,Comedy|Drama,Heather Matarazzo,Welcome to the Dollhouse ,1502,Christina Vidal,English,USA,R,1995
11,9,86,159,1001437,Drama|Romance,Allison Dean,Ruby in Paradise ,423,Dorothy Lyman,English,USA,R,1993
59,6,68,302,2073984,Drama|Romance,Victor Rasuk,Raising Victor Vargas ,663,Judy Marte,English,France,R,2002
71,21,3,426,9950,Crime|Drama|Romance,Louise Brooks,Pandora's Box ,455,Fritz Kortner,German,Germany,Not Rated,1929
5,0,167,940,,Drama,Martin Landau,Harrison Montgomery ,1484,Diane Baker,English,USA,,2008
25,0,0,24,,Drama,Norma Aleandro,Live-In Maid ,29,Claudia Lapacó,Spanish,Argentina,Unrated,2004
29,37,501,574,144583,Drama|Thriller,Kevin Pollak,Deterrence ,1983,Timothy Hutton,English,France,R,1999
17,3,181,262,,Crime|Drama|Romance,Zachary Knighton,The Mudge Boy ,991,Ryan Donowho,English,USA,R,2003
13,0,258,1000,58163,Drama,Leslie Bibb,The Young Unknowns ,2359,Arly Jover,English,USA,R,2000
6,247,152,247,35688,Comedy,Shane Dawson,Not Cool ,954,Cherami Leigh,English,USA,Not Rated,2014
224,75,13,35,41709,Comedy|Horror,Bjørn Sundquist,Dead Snow ,116,Ane Dahl Torp,Norwegian,Norway,Not Rated,2009
33,38,69,214,1310270,Action|Adventure|Drama|War,Corbin Allred,Saints and Soldiers ,587,Kirby Heyborne,English,USA,PG-13,2003
1,0,37,134,,Horror|Sci-Fi|Short|Thriller,Taylor Pigeon,Vessel ,315,Whit Spurgeon,English,USA,,2012
100,0,425,11000,115000000,Comedy|Drama|Music,Harrison Ford,American Graffiti ,14954,Mackenzie Phillips,English,USA,PG,1973
21,21,0,25,,Documentary|War,Scott Helvenston,Iraq for Sale: The War Profiteers ,25,Donna Zovko,English,USA,,2006
82,8,357,2000,5518918,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,Tina Fey,Aqua Teen Hunger Force Colon Movie Film for Theaters ,3071,Chris Kattan,English,USA,R,2007
271,365,522,934,4007792,Comedy|Drama|Romance,Mary Lynn Rajskub,Safety Not Guaranteed ,2714,Jeff Garlin,English,USA,R,2012
5,15,95,312,7705974,Comedy|Documentary,Isaac C. Singleton Jr.,Kevin Hart: Laugh at My Pain ,548,Jeanette Branch,English,USA,R,2011
255,214,246,513,26297,Crime|Horror|Thriller,MyAnna Buring,Kill List ,1269,Neil Maskell,English,UK,Not Rated,2011
292,243,74,969,77501,Horror,Lena Dunham,The Innkeepers ,1252,Pat Healy,English,USA,R,2011
178,687,389,10000,42638165,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,The Unborn ,12183,Rachel Brosnahan,English,USA,PG-13,2009
120,973,48,319,,Drama,Jean-Louis Trintignant,The Conformist ,500,Dominique Sanda,Italian,Italy,R,1970
31,168,21,108,47329,Drama,Raymond J. Barry,Interview with the Assassin ,243,Renee Faia,English,USA,R,2002
114,4,201,1000,18378,Crime|Drama|Horror|Thriller,Julian Morris,Donkey Punch ,1558,Tom Burke,English,UK,R,2008
233,129,280,935,,Horror,Luke Grimes,All the Boys Love Mandy Lane ,2170,Whitney Able,English,USA,R,2006
8,3,118,717,,Horror,Dichen Lachman,Bled ,1117,Michele Morrow,English,USA,R,2009
