duration,facenumber_in_poster,movie_imdb_link,country,aspect_ratio,movie_facebook_likes
99,1,http://www.imdb.com/title/tt1655420/?ref_=fn_tt_tt_1,UK,2.35,17000
96,0,http://www.imdb.com/title/tt0365485/?ref_=fn_tt_tt_1,USA,2.35,808
104,0,http://www.imdb.com/title/tt0119572/?ref_=fn_tt_tt_1,USA,1.85,1000
108,1,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,USA,2.35,15000
108,3,http://www.imdb.com/title/tt0399862/?ref_=fn_tt_tt_1,USA,2.35,1000
87,1,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1,USA,2.35,0
89,0,http://www.imdb.com/title/tt0151804/?ref_=fn_tt_tt_1,USA,1.85,16000
97,0,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,Germany,1.85,0
106,3,http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1,USA,1.85,20000
100,0,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,USA,1.85,0
89,9,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,USA,1.85,0
114,0,http://www.imdb.com/title/tt0086984/?ref_=fn_tt_tt_1,USA,1.85,0
95,3,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,USA,2.35,0
97,1,http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1,UK,1.85,0
94,10,http://www.imdb.com/title/tt1333125/?ref_=fn_tt_tt_1,USA,1.85,25000
103,0,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,USA,2.35,25000
95,0,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,USA,2.35,518
101,2,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,USA,2.35,25000
87,1,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,USA,1.85,0
40,2,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,USA,1.78,0
101,2,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,USA,1.85,35000
82,0,http://www.imdb.com/title/tt1748227/?ref_=fn_tt_tt_1,USA,2.35,14000
74,0,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,USA,1.85,49
130,3,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,Canada,1.85,0
112,0,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,France,2.35,0
96,1,http://www.imdb.com/title/tt0231448/?ref_=fn_tt_tt_1,USA,2.35,398
89,0,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,USA,2.35,0
100,0,http://www.imdb.com/title/tt0425413/?ref_=fn_tt_tt_1,UK,2.35,0
78,0,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,USA,2.35,425
121,2,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,USA,2.35,0
85,2,http://www.imdb.com/title/tt0279286/?ref_=fn_tt_tt_1,USA,1.85,0
120,0,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,USA,1.85,0
106,0,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,USA,,0
83,5,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,USA,1.85,0
120,1,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,Italy,1.85,0
111,0,http://www.imdb.com/title/tt1985017/?ref_=fn_tt_tt_1,USA,2.35,0
100,1,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,UK,1.85,561
89,0,http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1,USA,1.85,944
115,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,Germany,2.35,18000
135,0,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,UK,2.35,345
92,4,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,USA,1.85,208
120,1,http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1,Germany,2.35,0
97,1,http://www.imdb.com/title/tt1411664/?ref_=fn_tt_tt_1,USA,1.85,0
135,0,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,USA,1.85,1000
93,1,http://www.imdb.com/title/tt3387542/?ref_=fn_tt_tt_1,USA,1.85,10000
118,0,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,USA,2.35,106
97,2,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,USA,1.85,0
98,0,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,USA,1.85,0
98,0,http://www.imdb.com/title/tt0278731/?ref_=fn_tt_tt_1,Canada,1.78,0
101,0,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,USA,1.85,242
132,1,http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1,UK,2.35,0
106,1,http://www.imdb.com/title/tt1491044/?ref_=fn_tt_tt_1,USA,1.85,20000
55,0,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,Poland,1.33,0
168,0,http://www.imdb.com/title/tt0432637/?ref_=fn_tt_tt_1,India,2.35,533
87,2,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,France,1.85,795
98,0,http://www.imdb.com/title/tt1726669/?ref_=fn_tt_tt_1,USA,1.85,12000
96,4,http://www.imdb.com/title/tt1285309/?ref_=fn_tt_tt_1,USA,2.35,0
104,1,http://www.imdb.com/title/tt0285861/?ref_=fn_tt_tt_1,Canada,2.35,0
93,2,http://www.imdb.com/title/tt0784972/?ref_=fn_tt_tt_1,USA,1.85,319
95,3,http://www.imdb.com/title/tt0765120/?ref_=fn_tt_tt_1,Hong Kong,2.35,0
119,0,http://www.imdb.com/title/tt0120709/?ref_=fn_tt_tt_1,Spain,1.85,74
89,0,http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1,UK,1.85,725
107,3,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,USA,1.78,883
85,2,http://www.imdb.com/title/tt0286112/?ref_=fn_tt_tt_1,Hong Kong,1.85,0
93,0,http://www.imdb.com/title/tt0330099/?ref_=fn_tt_tt_1,USA,1.66,952
101,0,http://www.imdb.com/title/tt0120018/?ref_=fn_tt_tt_1,France,1.66,33
103,0,http://www.imdb.com/title/tt2752688/?ref_=fn_tt_tt_1,USA,1.85,5000
101,1,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,France,2.35,85
123,0,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,UK,2.35,12000
111,2,http://www.imdb.com/title/tt0373024/?ref_=fn_tt_tt_1,USA,2.35,345
86,2,http://www.imdb.com/title/tt0253126/?ref_=fn_tt_tt_1,UK,1.85,117
