director_name,num_critic_for_reviews,actor_1_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,language,country,content_rating,imdb_score,movie_facebook_likes
Joel Schumacher,216,991,46563158,Radha Mitchell,Phone Booth ,2562,Richard T. Jones,629,English,USA,R,7.1,0
Adam Shankman,80,683,41227069,Lauren German,A Walk to Remember ,2436,Paz de la Huerta,962,English,USA,PG,7.4,19000
Tim Robbins,77,276,39025000,Lois Smith,Dead Man Walking ,903,Robert Prosky,190,English,UK,R,7.6,0
Roger Kumble,101,4000,38201895,Sarah Michelle Gellar,Cruel Intentions ,6223,Eric Mabius,749,English,USA,R,6.9,0
Kevin Greutert,156,723,27669413,Costas Mandylor,Saw VI ,3101,George Newbern,194,English,Canada,R,6.0,0
Mel Brooks,48,1000,,Madeline Kahn,History of the World: Part I ,3931,Dom DeLuise,131,English,USA,R,6.9,0
Gina Prince-Bythewood,109,664,37766350,Nate Parker,The Secret Life of Bees ,3376,Jennifer Hudson,56,English,USA,PG-13,7.3,0
Rob Pritts,62,584,23978402,Vincent Pastore,Corky Romano ,3850,Peter Berg,100,English,USA,PG-13,4.6,365
Brian De Palma,33,636,21370057,Steven Bauer,Raising Cain ,1852,Gregg Henry,80,English,USA,R,6.0,541
Norman Jewison,20,13000,,Sylvester Stallone,F.I.S.T. ,14735,Rod Steiger,35,English,USA,PG,6.4,745
Tobe Hooper,52,425,4884663,Louise Fletcher,Invaders from Mars ,1661,William Bassett,64,English,USA,PG,5.5,902
John Crowley,351,838,38317535,Julie Walters,Brooklyn ,995,Eva Birthistle,212,English,UK,PG-13,7.5,36000
Stanley Kubrick,124,385,,Ryan O'Neal,Barry Lyndon ,1104,Hardy Krüger,369,English,UK,PG,8.1,0
Brendan Malloy,37,799,13903262,Lee Majors,Out Cold ,4291,Thomas Lennon,90,English,USA,PG-13,6.3,0
Reginald Hudlin,58,8000,13592872,Will Ferrell,The Ladies Man ,10982,Tim Meadows,79,English,USA,R,5.1,671
Dustin Hoffman,175,358,18381787,Luke Newberry,Quartet ,1114,Pauline Collins,126,English,UK,PG-13,6.8,13000
Gregory Poirier,75,1000,13558739,Shannon Elizabeth,Tomcats ,2729,David Ogden Stiers,121,English,USA,R,5.3,449
Bill Paxton,161,11000,13103828,Matthew McConaughey,Frailty ,12237,Matt O'Leary,463,English,USA,R,7.3,5000
Simon Curtis,203,16000,33305037,Ryan Reynolds,Woman in Gold ,17866,Elizabeth McGovern,147,English,UK,PG-13,7.3,34000
Bill Condon,188,14000,10214647,Liam Neeson,Kinsey ,17490,Dylan Baker,204,English,USA,R,7.1,0
Sam Raimi,221,901,11501093,Patricia Tallman,Army of Darkness ,3913,Embeth Davidtz,604,English,USA,R,7.6,10000
Dewey Nicks,66,960,4814244,Jaime King,Slackers ,2415,Jim Rash,107,English,Canada,R,5.3,405
Lasse Hallström,80,40000,9170214,Johnny Depp,What's Eating Gilbert Grape ,69746,Kevin Tighe,292,English,USA,PG-13,7.8,14000
Philip Saville,25,866,4068087,Henry Ian Cusick,The Visual Bible: The Gospel of John ,1281,Scott Handy,74,English,Canada,PG-13,7.7,0
Mike Leigh,169,979,3753806,Eddie Marsan,Vera Drake ,3133,Imelda Staunton,165,English,UK,R,7.7,0
Daisy von Scherler Mayer,70,658,3034181,Michael McKean,The Guru ,1559,Jimi Mistry,128,English,UK,R,5.4,550
Mira Nair,15,1000,2832826,Anjelica Huston,The Perez Family ,3072,Vincent Gallo,19,English,USA,R,6.2,174
Ethan Coen,535,3000,13214255,Justin Timberlake,Inside Llewyn Davis ,4082,Alex Karpovsky,313,English,USA,R,7.4,26000
Tim Blake Nelson,92,1000,16017403,Mekhi Phifer,O ,3300,John Heard,153,English,USA,R,6.2,0
William A. Graham,14,14000,2807854,Milla Jovovich,Return to the Blue Lagoon ,14281,Lisa Pelikan,39,English,USA,PG-13,5.1,967
Martin Ritt,13,338,,Frank Finlay,The Molly Maguires ,800,Samantha Eggar,36,English,USA,PG,6.9,608
John Turturro,87,14000,540085,Kate Winslet,Romance & Cigarettes ,28004,Eddie Izzard,69,English,USA,R,6.3,0
Agnieszka Holland,78,60,352786,Phyllida Law,Copying Beethoven ,150,Angus Barnett,86,English,USA,PG-13,6.8,0
Tobe Hooper,223,887,76600000,Heather O'Rourke,Poltergeist ,3876,Craig T. Nelson,321,English,USA,PG,7.4,11000
Rowan Joffe,136,845,,Sam Riley,Brighton Rock ,3117,Geoff Bell,59,English,UK,R,5.7,0
David Hackl,160,3000,56729973,Julie Benz,Saw V ,5286,Scott Patterson,262,English,USA,R,5.8,0
Giuliano Montaldo,28,917,,John Cassavetes,Machine Gun McCain ,1827,Britt Ekland,12,English,Italy,GP,6.2,85
Lisa Azuelos,54,142,,Nora Dunn,LOL ,248,Alix Freihage,111,English,USA,PG-13,4.3,18000
Ray Lawrence,75,172,399879,John Howard,Jindabyne ,378,Max Cullen,115,English,Australia,R,6.4,302
Karan Johar,20,8000,3275443,Shah Rukh Khan,Kabhi Alvida Naa Kehna ,10822,Preity Zinta,264,Hindi,India,R,6.0,659
Oliver Parker,105,893,18535191,Minnie Driver,An Ideal Husband ,2640,Jeremy Northam,132,English,UK,PG-13,6.9,646
Ruairi Robinson,120,805,23838,Romola Garai,The Last Days on Mars ,2271,Tom Cullen,160,English,UK,R,5.5,0
Jaume Balagueró,108,541,22160085,Lena Olin,Darkness ,1228,Francesc Pagès,349,English,USA,PG-13,5.4,1000
Stanley Kubrick,285,273,56715371,Keir Dullea,2001: A Space Odyssey ,727,Glenn Beck,1736,English,UK,G,8.3,24000
Steven Spielberg,215,861,434949459,Henry Thomas,E.T. the Extra-Terrestrial ,2811,Peter Coyote,515,English,USA,PG,7.9,34000
Jon Kasdan,81,17000,11043445,Kristen Stewart,In the Land of Women ,20312,Dustin Milligan,74,English,USA,PG-13,6.5,1000
Léa Pool,17,882,,William Hurt,The Blue Butterfly ,1554,Raoul Max Trujillo,28,English,Canada,PG,6.3,392
Floyd Mutrux,5,665,125169,Ricky Schroder,There Goes My Baby ,2272,Seymour Cassel,31,English,USA,R,6.4,119
,3,381,,Antonia Thomas,Lovesick             ,592,Hannah Britland,18,English,UK,,7.9,0
Sajid Khan,10,564,1165104,Arjun Rampal,Housefull ,1121,Riteish Deshmukh,43,Hindi,India,,5.3,250
Christopher Cain,43,482,1066555,Jon Gries,September Dawn ,1526,Trent Ford,111,,USA,R,5.8,411
Dean Wright,43,639,5669081,Santiago Cabrera,For Greater Glory: The True Story of Cristiada ,1807,Catalina Sandino Moreno,57,Spanish,Mexico,R,6.6,0
Eric Lartigau,94,68,,Karin Viard,La Famille Bélier ,175,François Damiens,27,French,France,,7.4,0
Gus Van Sant,161,49000,138339411,Robin Williams,Good Will Hunting ,63710,Minnie Driver,682,English,USA,R,8.3,31000
Shintaro Shimosawa,38,14000,,Al Pacino,Misconduct ,27660,Glen Powell,50,English,USA,R,5.3,0
Darren Lynn Bousman,210,723,80150343,Costas Mandylor,Saw III ,3189,Leigh Whannell,614,English,USA,R,6.2,0
Ivan Reitman,52,13000,85300000,Bill Murray,Stripes ,27378,Judge Reinhold,134,English,USA,R,6.9,0
Peyton Reed,139,4000,68353550,Kirsten Dunst,Bring It On ,5270,Clare Kramer,385,English,USA,PG-13,5.9,0
James DeMonaco,165,798,78845130,Frank Grillo,The Purge: Election Year ,2480,Mykelti Williamson,94,English,France,R,6.1,0
Robert Iscove,96,23000,63319509,Paul Walker,She's All That ,28734,Kieran Culkin,389,English,USA,PG-13,5.8,0
Lee Daniels,323,939,47536959,Mo'Nique,Precious ,3276,Mariah Carey,275,English,USA,R,7.3,12000
Darren Lynn Bousman,190,723,63270259,Costas Mandylor,Saw IV ,3492,Angus Macfadyen,319,English,USA,R,5.9,0
Geoffrey Sax,173,494,55865715,Deborah Kara Unger,White Noise ,2013,Mike Dopud,403,English,UK,PG-13,5.5,0
Tyler Perry,46,1000,63231524,Boris Kodjoe,Madea's Family Reunion ,5264,Blair Underwood,137,English,USA,PG-13,5.0,676
Martin Scorsese,59,10000,52293982,Tom Cruise,The Color of Money ,11895,Mary Elizabeth Mastrantonio,115,English,USA,R,7.0,0
Ken Annakin,53,726,,Richard Burton,The Longest Day ,1554,Eddie Albert,192,English,USA,G,7.8,0
Stephen Herek,22,633,50752337,Lane Smith,The Mighty Ducks ,3362,Elden Henson,46,English,USA,PG,6.4,0
Takashi Shimizu,203,4000,110175871,Sarah Michelle Gellar,The Grudge ,7461,Ted Raimi,911,English,USA,PG-13,5.9,4000
Dennis Dugan,77,11000,38624000,Adam Sandler,Happy Gilmore ,13162,Frances Bay,289,English,USA,PG-13,7.0,0
Victor Salva,190,1000,37470017,Eileen Brennan,Jeepers Creepers ,1982,Jonathan Breck,985,English,Germany,R,6.1,0
Stephen Herek,81,18000,40485039,Keanu Reeves,Bill & Ted's Excellent Adventure ,20795,Al Leong,181,English,USA,PG,6.9,0
Carol Reed,56,695,16800000,Oliver Reed,Oliver! ,1593,Jack Wild,138,English,UK,G,7.5,0
John Madden,264,1000,46377022,Tom Wilkinson,The Best Exotic Marigold Hotel ,1898,Celia Imrie,266,English,UK,PG-13,7.3,48000
Chuck Sheetz,44,759,36696761,Diedrich Bader,Recess: School's Out ,2197,Dabney Coleman,38,English,USA,G,6.5,227
George Miller,117,794,36200000,Tina Turner,Mad Max Beyond Thunderdome ,1529,Angelo Rossitto,193,English,Australia,PG-13,6.2,0
Mark L. Lester,124,1000,,Bill Duke,Commando ,3192,Rae Dawn Chong,437,English,USA,R,6.7,0
William Brent Bell,159,4000,35794166,Lauren Cohan,The Boy ,4687,Stephanie Lemelin,155,English,USA,PG-13,6.0,20000
John Erick Dowdle,273,2000,33583175,Bojana Novakovic,Devil ,5628,Geoffrey Arend,319,English,USA,PG-13,6.3,16000
Marcus Raboy,26,723,32983713,John Witherspoon,Friday After Next ,3712,Katt Williams,66,English,USA,R,5.8,981
Leigh Whannell,242,852,52200504,Lin Shaye,Insidious: Chapter 3 ,2426,Leigh Whannell,183,English,Canada,PG-13,6.1,29000
Michael Schultz,55,854,33000000,Mike Starr,The Last Dragon ,3394,Keshia Knight Pulliam,109,English,USA,PG-13,6.9,0
Guy Ritchie,151,26000,30093107,Jason Statham,Snatch ,39175,Jason Flemyng,726,English,UK,R,8.3,27000
Brett Leonard,48,535,32101000,Jeff Fahey,The Lawnmower Man ,1109,Troy Evans,96,English,UK,R,5.4,0
Peter Sollett,166,904,31487293,Ari Graynor,Nick and Norah's Infinite Playlist ,2807,Aaron Yoo,129,English,USA,PG-13,6.7,0
Kevin Smith,206,13000,30651422,Matt Damon,Dogma ,16693,George Carlin,1015,English,USA,R,7.4,10000
Bob Dolman,92,931,30306281,Erika Christensen,The Banger Sisters ,1917,Sal Lopez,147,English,USA,R,5.6,744
Joe Dante,78,745,29500000,Albert Brooks,Twilight Zone: The Movie ,1954,Vic Morrow,121,English,USA,PG,6.5,0
Rowdy Herrington,83,623,30050028,Ben Gazzara,Road House ,2484,Kelly Lynch,201,English,USA,R,6.5,0
Keenen Ivory Wayans,8,851,29392418,Jada Pinkett Smith,A Low Down Dirty Shame ,3190,Charles S. Dutton,26,English,USA,R,5.8,368
John Polson,86,931,28563926,Erika Christensen,Swimfan ,3819,Jason Ritter,217,English,USA,PG-13,5.0,720
Greg Coolidge,85,1000,28435406,Dane Cook,Employee of the Month ,4441,Jessica Simpson,151,English,USA,PG-13,5.5,0
Harry Elfont,76,982,25339117,Ethan Embry,Can't Hardly Wait ,4259,Charlie Korsmo,247,English,USA,PG-13,6.5,0
Francis Ford Coppola,60,10000,25600000,Tom Cruise,The Outsiders ,12097,Tom Waits,308,English,USA,PG-13,7.2,10000
David Lowery,78,3000,,Bryce Dallas Howard,Pete's Dragon ,3691,Isiah Whitlock Jr.,6,English,USA,PG,7.3,21000
David Cronenberg,112,1000,,Tom Skerritt,The Dead Zone ,2013,Anthony Zerbe,182,English,USA,R,7.2,0
Ciarán Foy,189,1000,27736779,Laila Haley,Sinister 2 ,2403,Jaden Klein,126,English,USA,R,5.2,13000
Salim Akil,82,1000,24397469,Omari Hardwick,Sparkle ,5804,Mike Epps,48,English,USA,PG-13,5.7,0
Jamie Blanks,120,690,20384136,Marley Shelton,Valentine ,2402,Johnny Whitworth,371,English,USA,R,4.7,0
Olatunde Osunsanmi,183,14000,25464480,Milla Jovovich,The Fourth Kind ,15251,Hakeem Kae-Kazim,330,English,USA,PG-13,5.9,15000
Robert Altman,211,11000,20338609,Meryl Streep,A Prairie Home Companion ,12946,Lily Tomlin,280,English,USA,PG-13,6.8,683
Leon Ichaso,14,556,18272447,Khandi Alexander,Sugar Hill ,2149,Steve Harris,35,English,USA,R,5.9,331
Joseph Zito,54,371,,Billy Drago,Invasion U.S.A. ,857,Eddie Jones,90,English,USA,R,5.3,0
Malcolm D. Lee,55,2000,17378977,Jurnee Smollett-Bell,Roll Bounce ,7552,Shad Moss,75,English,USA,PG-13,6.0,997
Wes Anderson,179,13000,17096053,Bill Murray,Rushmore ,15716,Olivia Williams,640,English,USA,R,7.7,5000
Colin Strause,221,929,21371425,David Zayas,Skyline ,3679,Brittany Daniel,944,English,USA,PG-13,4.4,13000
John Madden,158,220,33071558,Tina Desai,The Second Best Exotic Marigold Hotel ,583,Ronald Pickup,100,English,UK,PG,6.6,21000
Patricia Rozema,73,918,17655201,Julia Ormond,Kit Kittredge: An American Girl ,3317,Willow Smith,24,English,USA,G,6.7,851
Mark Rosman,65,1000,16247775,Ben Feldman,The Perfect Man ,4789,Vanessa Lengies,104,English,USA,PG,5.5,767
Spike Lee,23,18000,16153600,Denzel Washington,Mo' Better Blues ,19065,Charlie Murphy,30,English,USA,R,6.5,720
Steve Oedekerk,63,176,16033556,Steve Oedekerk,Kung Pow: Enter the Fist ,361,Jennifer Tung,518,English,USA,PG-13,6.2,0
Ron Underwood,132,651,16667084,Reba McEntire,Tremors ,3119,Michael Gross,248,English,USA,PG-13,7.1,11000
Rob Schmidt,191,2000,15417771,Kevin Zegers,Wrong Turn ,3416,Julian Richings,540,English,USA,R,6.1,0
Walter Hill,52,2000,,Dennis Quaid,The Long Riders ,6296,Randy Quaid,78,English,USA,R,7.1,680
James Foley,91,258,15156200,Byron Mann,The Corruptor ,571,Kim Chan,131,English,USA,R,6.0,328
Jeff Nichols,368,11000,21589307,Matthew McConaughey,Mud ,13960,Sam Shepard,261,English,USA,PG-13,7.4,27000
Robert Ben Garant,89,655,20339754,Wendi McLendon-Covey,Reno 911!: Miami ,2737,Carlos Alazraqui,73,English,USA,R,5.9,441
Morgan Spurlock,83,773,28873374,Harry Styles,One Direction: This Is Us ,2787,Niall Horan,68,English,USA,PG,4.1,0
Neal Brennan,83,839,15102127,Rob Riggle,The Goods: Live Hard, Sell Hard ,3973,Charles Napier,59,English,USA,R,5.8,0
Tuck Tucker,33,1000,13684949,Jennifer Jason Leigh,Hey Arnold! The Movie ,3752,Paul Sorvino,43,English,USA,PG,5.9,227
Simon Curtis,386,13000,14597405,Eddie Redmayne,My Week with Marilyn ,17204,Julia Ormond,216,English,UK,R,7.0,17000
Richard Shepard,191,3000,12570442,Adam Scott,The Matador ,4053,Hope Davis,234,English,USA,R,6.8,808
Theodore Witcher,16,962,12514138,Leonard Roberts,Love Jones ,3871,Larenz Tate,28,English,USA,R,7.4,1000
Joel Edgerton,297,1000,43771291,Busy Philipps,The Gift ,3215,Wendell Pierce,279,English,USA,R,7.1,15000
Jim Hanon,47,772,11703287,Chase Ellison,End of the Spear ,1058,Jack Guzman,148,English,USA,PG-13,7.0,1000
Tommy O'Haver,63,15000,11560259,Mila Kunis,Get Over It ,22485,Carmen Electra,180,English,USA,PG-13,5.8,0
Mike Judge,144,989,10824921,Gary Cole,Office Space ,3462,Diedrich Bader,621,English,USA,R,7.8,16000
Michael Patrick Jann,77,4000,10561238,Kirsten Dunst,Drop Dead Gorgeous ,6388,Ellen Barkin,321,English,Germany,PG-13,6.5,0
Tim Burton,325,11000,14479776,Christoph Waltz,Big Eyes ,12418,Jon Polito,147,English,USA,PG-13,7.0,20000
Peter Berg,100,4000,9801782,Jon Favreau,Very Bad Things ,6046,Jeanne Tripplehorn,481,English,USA,R,6.3,0
Joe Nussbaum,52,7000,8070311,Steve Carell,Sleepover ,13626,Hunter Parrish,75,English,USA,PG,5.3,0
Brian De Palma,98,537,,Melanie Griffith,Body Double ,1856,Gregg Henry,178,English,USA,R,6.8,0
Jorma Taccone,163,1000,8460995,Jasper Cole,MacGruber ,2618,Powers Boothe,125,English,USA,R,5.5,0
Stephen Frears,137,460,8111360,Sophie Okonedo,Dirty Pretty Things ,1334,Sergi López,203,English,UK,R,7.4,0
Elizabeth Banks,180,20000,8828771,Hugh Jackman,Movie 43 ,41059,Seth MacFarlane,352,English,USA,R,4.3,25000
Florian Henckel von Donnersmarck,321,40000,67631157,Johnny Depp,The Tourist ,55175,Rufus Sewell,374,English,USA,PG-13,6.0,25000
Jeff Lowell,100,939,7563670,Stephen Root,Over Her Dead Body ,3651,Wendi McLendon-Covey,53,English,USA,PG-13,5.2,518
Lorene Scafaria,265,7000,6619173,Steve Carell,Seeking a Friend for the End of the World ,7747,Rob Huebel,221,English,USA,R,6.7,25000
Miguel Arteta,212,1000,6857503,Kurtwood Smith,Cedar Rapids ,4769,Alia Shawkat,85,English,USA,R,6.3,0
,68,1000,,Michaela Conlin,Bones             ,2198,Tamara Taylor,173,English,USA,TV-14,7.9,0
Tony Kaye,162,1000,6712241,Ethan Suplee,American History X ,3858,Stacy Keach,1420,English,USA,R,8.6,35000
Marcus Dunstan,147,1000,6842058,Daniel Sharman,The Collection ,3818,Lee Tergesen,99,English,USA,R,6.1,14000
Timothy Björklund,33,886,6491350,Nathan Lane,Teacher's Pet ,5139,Jerry Stiller,26,English,USA,PG,5.8,49
François Girard,94,24,9473382,Johannes Silberschneider,The Red Violin ,29,Carlo Cecchi,247,French,Canada,R,7.7,0
David Lynch,143,874,6197866,Sissy Spacek,The Straight Story ,1351,Everett McGill,414,English,France,G,8.0,0
Scott Kalvert,38,12000,6044618,Norman Reedus,Deuces Wild ,26961,Frankie Muniz,92,English,USA,R,5.6,398
Jason Bateman,126,628,7764027,Beth Grant,Bad Words ,2061,Patricia Belcher,119,English,USA,R,6.7,0
David Schwimmer,168,427,5998971,Dylan Moran,Run, Fatboy, Run ,1022,India de Beaufort,143,English,UK,PG-13,6.6,0
Allan Arkush,19,753,,Bernadette Peters,Heartbeeps ,2791,Christopher Guest,31,English,USA,PG,4.2,425
Mike Binder,91,1000,21569041,Jennifer Ehle,Black or White ,3745,Jillian Estell,57,English,USA,PG-13,6.6,0
Eric Bross,46,719,4356743,Jerry Stiller,On the Line ,2446,Dave Foley,79,English,USA,PG,4.1,0
Werner Herzog,198,23000,5484375,Christian Bale,Rescue Dawn ,24270,François Chau,205,English,USA,PG-13,7.3,0
Dan Fogelman,139,14000,5348317,Al Pacino,Danny Collins ,18712,Melissa Benoist,100,English,USA,R,7.1,0
Jay Duplass,182,2000,4244155,Judy Greer,Jeff, Who Lives at Home ,3374,Rae Dawn Chong,112,English,USA,R,6.5,0
Luca Guadagnino,181,144,5004648,Flavio Parenti,I Am Love ,474,Alba Rohrwacher,114,Italian,Italy,R,7.0,0
John Putch,23,823,3333823,Robert Picardo,Atlas Shrugged II: The Strike ,5262,Esai Morales,122,English,USA,PG-13,5.5,0
Peter Medak,30,10000,3275585,Gary Oldman,Romeo Is Bleeding ,13160,Lena Olin,88,English,UK,R,6.6,561
Steven Soderbergh,111,402,3193102,Peter Fonda,The Limey ,1335,William Lucking,240,English,USA,R,7.1,944
Paul Haggis,287,3000,54557348,Don Cheadle,Crash ,5732,Jennifer Esposito,1624,English,Germany,R,7.9,18000
Terence Davies,96,902,3041803,Eric Stoltz,The House of Mirth ,2735,Elizabeth McGovern,181,English,UK,PG,7.1,345
Harley Cokeliss,27,754,3060858,Cliff Robertson,Malone ,1891,Dennis Burkley,37,English,USA,R,5.6,208
Victor Salva,44,634,1055654,Scott Mechlowicz,Peaceful Warrior ,2673,Agnes Bruckner,175,English,Germany,PG-13,7.3,0
Tom Brady,49,982,2331318,Don Johnson,Bucky Larson: Born to Be a Star ,2603,Nicholas Turturro,64,English,USA,R,3.3,0
Spike Lee,57,1000,2185266,Gillian White,Bamboozled ,4266,Jada Pinkett Smith,186,English,USA,R,6.5,1000
Jason Zada,185,533,26583369,Eoin Macken,The Forest ,578,Gen Seto,127,English,USA,PG-13,4.8,10000
Franklin J. Schaffner,2,902,800000,Frank Langella,Sphinx ,2079,John Gielgud,21,English,USA,PG,5.2,106
Noah Baumbach,270,6000,7574066,Naomi Watts,While We're Young ,6322,Dree Hemingway,96,English,USA,R,6.3,0
Chris Weitz,94,749,1754319,Demián Bichir,A Better Life ,2214,Robert Peters,81,English,USA,PG-13,7.2,0
David Cronenberg,157,530,1641788,Miranda Richardson,Spider ,1381,Lynn Redgrave,213,English,Canada,R,6.8,0
Eric Blakeney,49,14000,1631839,Liam Neeson,Gun Shy ,17665,Mitch Pileggi,91,English,USA,R,5.7,242
Douglas McGrath,80,16000,1309849,Charlie Hunnam,Nicholas Nickleby ,29177,Jim Broadbent,103,English,UK,PG,7.2,0
Ariel Vromen,221,11000,1939441,Chris Evans,The Iceman ,23187,Robert Davi,144,English,USA,R,6.9,20000
,53,20,447093,Krystyna Janda,Dekalog             ,25,Olgierd Lukaszewicz,37,Polish,Poland,TV-MA,9.1,0
Rakesh Roshan,20,307,,Naseeruddin Shah,Krrish ,616,Sharat Saxena,110,Hindi,India,Not Rated,6.3,533
John Waters,90,975,1276984,Alicia Witt,Cecil B. DeMented ,3059,Kevin Nealon,150,English,France,R,6.2,795
William Friedkin,376,11000,1987762,Matthew McConaughey,Killer Joe ,11853,Carol Sutton,216,English,USA,R,6.7,12000
Derrick Borte,144,2000,1474508,Demi Moore,The Joneses ,4607,Robert Pralgo,88,English,USA,R,6.5,0
Richard Kwietniowski,82,22000,1011054,Philip Seymour Hoffman,Owning Mahowny ,23513,Maury Chaykin,83,English,Canada,R,7.2,0
Bob Odenkirk,51,966,900926,Jenna Fischer,The Brothers Solomon ,3307,Will Forte,46,English,USA,R,5.3,319
Kar-Wai Wong,192,20000,866778,Natalie Portman,My Blueberry Nights ,20364,Adriane Lenox,117,English,Hong Kong,PG-13,6.7,0
John Turturro,36,816,836641,Beverly D'Angelo,Illuminata ,1585,George DiCenzo,40,English,Spain,R,6.2,74
Guy Ritchie,71,990,598645,Bruce Greenwood,Swept Away ,2006,David Thornton,215,English,UK,R,3.6,725
Joshua Seftel,79,603,578527,Bashar Rahal,War, Inc. ,988,Ned Bellamy,112,English,USA,R,5.7,883
Stephen Chow,246,478,488872,Wei Zhao,Shaolin Soccer ,700,Kwok-Kwan Chan,243,Cantonese,Hong Kong,PG,7.3,0
Vincent Gallo,115,787,365734,Vincent Gallo,The Brown Bunny ,883,Anna Vareschi,226,English,USA,Not Rated,5.0,952
Claude Chabrol,34,678,231417,Isabelle Huppert,The Swindle ,1256,Michel Serrault,21,French,France,,6.6,33
Jon Stewart,129,374,3093491,Numan Acar,Rosewater ,1283,Haluk Bilginer,37,English,USA,R,6.6,5000
